from_stop,AE,AG,AL,AO,AS,BA,BC,BQ,BU,BZ,CD,CI,CP,CX,DD,DE,DN,DS,EE,EF,EG,EH,EN,EO,ER,EU,EW,FM,FQ,FR,FT,FV,GI,GL,GS,GY,HF,HH,HI,HM,HS,HU,HX,ID,IF,IJ,IQ,IZ,JD,JI,JJ,JK,JM,JN,JO,JP,JQ,KB,KE,KK,KR,KW,KX,KY,LB,LI,LK,LU,MM,MS,MW,NB,NI,NL,NM,NO,NQ,NW,OA,OG,PB,PD,PL,QB,QS,QU,RC,RM,RN,RP,SA,SB,SH,SN,SS,SV,SZ,TA,TB,TL,TX,TY,UG,UI,UP,UY,VG,VP,WG,WH,WK,WL,WU,XG,XJ,XN,XP,XQ,XU,XV,XW,YN,YU,ZD,ZF,ZL,ZU,ZW,ZY
CD,434.5,81.4,279.7,233.9,392.6,667.9,275.9,606.1,340.3,334.3,0.0,640.5,460.1,216.7,591.9,360.9,407.8,329.9,161.6,119.1,260.9,402.2,472.0,216.0,352.3,577.8,598.1,476.2,376.1,427.5,162.8,158.3,1217.8,129.8,401.7,301.1,574.5,396.6,282.5,462.4,319.7,377.0,671.4,171.4,307.7,496.2,490.9,94.9,683.2,129.2,407.9,316.9,376.2,151.7,146.7,349.6,355.0,132.1,353.2,89.2,338.6,420.8,692.3,628.5,292.3,657.2,545.6,258.1,274.1,290.1,68.8,10.3,544.7,157.5,457.4,331.5,690.7,427.9,143.6,609.7,282.4,243.2,284.8,507.0,211.1,396.7,239.1,442.0,588.6,365.2,150.6,373.6,338.3,587.7,497.8,559.4,553.6,230.1,527.7,539.7,184.2,394.5,78.3,371.1,189.6,190.0,240.3,352.0,482.0,551.0,246.4,180.6,233.5,147.6,82.9,599.9,322.1,101.0,139.9,280.3,382.5,68.9,476.3,419.8,386.2,425.5,94.5,356.9,493.3
CI,237.9,573.0,388.4,466.1,344.6,202.2,457.3,103.9,286.0,391.4,662.7,0.0,246.4,693.6,123.5,393.0,329.4,377.5,555.8,644.9,505.9,382.4,215.6,626.5,390.9,293.2,219.1,196.6,373.4,270.6,531.6,501.9,917.5,621.2,381.2,425.6,172.6,337.3,389.8,226.4,444.2,340.4,358.6,540.2,406.1,175.8,234.5,636.5,298.9,534.8,256.4,374.0,894.3,589.4,629.5,366.0,873.1,495.8,879.0,580.8,864.4,238.2,308.0,244.2,451.4,290.6,59.2,783.9,467.2,337.7,565.9,656.5,137.1,503.0,211.4,849.6,377.9,309.9,635.0,107.5,409.5,478.0,443.9,229.2,511.2,877.0,414.8,286.1,118.3,380.5,676.4,280.2,329.4,101.3,180.4,246.6,275.8,421.3,249.9,29.2,527.8,374.0,604.1,409.7,666.5,473.3,419.7,298.9,225.6,162.8,460.3,685.6,449.2,513.3,608.7,233.3,825.1,564.0,521.0,806.1,329.8,610.5,220.5,317.6,341.8,221.3,620.3,375.6,293.2
CP,106.9,393.7,204.8,400.8,89.6,238.6,273.7,323.2,110.5,384.5,519.0,333.3,0.0,558.9,273.2,209.6,74.4,259.9,372.2,461.3,440.6,323.2,148.1,554.4,263.0,146.8,354.2,124.5,108.1,139.6,439.0,318.3,1043.3,487.8,282.2,178.8,141.2,75.3,336.9,131.0,178.9,301.2,326.9,437.3,257.7,78.5,170.5,452.9,338.7,402.0,53.1,377.4,708.1,395.5,444.4,182.4,712.5,312.2,695.4,397.2,680.8,69.1,347.8,291.4,378.3,312.7,204.4,600.3,359.2,220.1,382.3,472.9,226.2,364.0,105.7,673.7,346.6,54.9,491.3,318.3,297.2,292.0,370.8,82.8,345.4,743.9,237.5,40.8,155.3,128.4,492.8,102.4,135.6,231.5,136.3,214.9,129.4,272.9,112.0,246.1,344.2,275.0,420.5,292.1,531.8,305.2,322.7,116.7,161.3,136.8,336.5,522.8,396.4,384.1,425.1,263.9,664.3,413.1,391.8,622.5,92.8,426.9,114.8,62.6,93.6,81.5,436.7,192.0,69.1
CX,488.3,135.2,319.2,282.6,446.4,625.3,315.4,659.9,379.8,374.5,225.1,694.3,475.7,0.0,645.7,400.4,461.6,383.7,201.1,88.5,299.9,459.2,525.8,191.9,438.8,631.6,755.5,530.0,429.9,481.3,216.6,197.8,1271.6,183.6,476.0,340.6,614.6,453.7,368.9,516.2,359.2,417.2,710.9,225.2,361.5,550.0,544.7,148.7,722.7,179.1,461.7,357.1,362.7,205.5,200.5,389.1,341.5,171.6,339.7,143.0,325.1,474.6,731.8,668.0,332.5,696.7,599.4,244.6,327.9,343.9,122.6,82.1,598.5,212.4,511.2,318.0,730.2,425.9,197.4,663.5,336.2,297.0,325.0,546.5,250.6,383.2,259.4,491.4,642.4,419.0,137.1,427.4,389.7,641.5,551.6,598.9,593.1,283.9,567.2,593.5,223.7,468.8,64.8,457.6,25.6,243.8,294.1,411.9,535.8,604.8,300.2,129.2,309.5,201.4,154.7,639.4,308.6,154.8,193.7,266.8,422.0,122.7,530.7,417.8,425.7,477.2,166.3,383.0,532.8
DD,279.7,507.0,322.4,526.2,337.2,101.9,391.3,61.6,220.0,451.5,646.9,60.0,222.6,676.5,0.0,327.0,322.0,414.7,489.8,578.9,566.0,478.0,275.7,682.3,428.1,227.2,176.8,257.7,366.0,312.4,556.6,435.9,974.5,605.4,437.0,400.2,207.5,329.9,449.9,286.5,418.8,456.0,258.3,565.2,412.5,214.9,294.6,570.5,198.6,523.2,249.0,434.1,836.0,523.4,572.3,300.0,814.8,429.8,813.0,514.8,798.4,241.9,207.7,143.9,511.5,244.1,119.3,717.9,527.3,374.9,499.9,590.5,161.1,493.0,272.5,791.3,277.6,302.5,619.2,65.2,469.6,446.8,504.0,163.2,463.0,856.5,348.8,278.7,160.3,355.1,610.4,254.8,304.0,125.3,226.1,146.3,209.8,427.7,183.9,89.3,461.8,429.8,538.1,446.9,649.4,497.8,479.8,273.5,285.7,197.7,520.4,619.6,509.3,501.7,542.7,186.8,781.9,526.6,509.4,740.1,272.0,544.5,280.6,310.2,336.6,204.1,554.3,309.6,227.2
DE,128.1,340.4,151.5,432.4,128.8,252.8,220.2,409.9,110.6,416.0,475.8,418.2,72.8,505.6,358.1,0.0,113.6,288.0,318.9,408.0,472.2,351.3,169.3,511.4,300.8,237.5,385.7,145.7,157.6,160.8,385.7,264.8,1064.5,434.5,310.3,218.0,234.0,124.6,401.2,162.3,228.4,329.3,341.1,394.3,277.9,181.6,191.7,399.6,352.9,348.7,74.3,398.6,664.9,352.5,401.4,129.1,659.2,258.9,642.1,343.9,627.5,90.3,362.0,305.6,411.2,326.9,297.4,546.8,399.8,248.2,329.0,419.6,310.9,321.0,126.9,620.4,360.8,94.1,448.3,417.4,325.3,356.7,403.7,165.2,292.1,690.6,184.2,79.8,248.3,167.6,439.5,121.0,166.9,315.8,157.5,229.1,211.8,292.9,185.9,339.1,290.9,303.1,367.2,320.2,478.5,326.7,342.9,148.2,182.3,210.7,387.7,469.5,427.0,330.8,371.6,269.4,611.0,359.8,338.5,569.2,21.5,373.6,136.0,101.8,132.8,112.8,383.4,138.7,151.5
DN,106.6,326.4,141.8,356.4,15.2,316.2,210.7,387.2,133.0,314.3,466.3,428.7,74.8,495.9,368.6,155.9,0.0,215.5,309.2,398.3,396.2,278.8,183.0,501.7,228.9,248.0,362.6,152.5,43.9,99.6,376.0,255.3,998.9,424.8,237.8,96.1,231.0,7.9,292.6,134.5,114.7,256.8,401.8,384.6,213.3,192.1,201.9,389.9,413.6,342.6,84.8,296.9,655.4,342.8,391.7,146.9,634.2,249.2,632.4,334.2,617.8,100.8,422.7,358.9,401.5,387.6,307.9,537.3,308.0,175.7,319.3,409.9,321.4,312.4,133.7,610.7,421.1,20.0,438.6,390.8,250.3,247.6,394.0,157.7,282.4,675.9,168.2,45.2,258.8,51.0,429.8,63.7,104.8,326.5,168.0,289.8,204.3,228.5,178.4,320.8,281.2,230.6,357.5,247.7,468.8,317.2,278.3,74.3,193.0,221.2,302.4,439.0,352.0,321.1,362.1,330.3,601.3,346.0,328.8,559.5,104.5,363.9,147.1,11.9,37.8,113.5,373.7,138.5,144.0
DS,292.4,252.7,198.5,177.6,204.8,468.7,151.9,451.7,259.1,135.5,324.7,450.1,364.9,483.3,390.0,236.9,220.0,0.0,296.6,385.7,217.4,118.0,270.1,369.4,68.1,375.9,566.9,315.1,188.3,325.1,195.5,242.7,1040.4,283.2,59.0,177.1,358.9,212.1,113.8,280.9,195.7,96.0,625.1,204.1,101.9,294.3,289.0,266.3,565.4,214.8,220.1,118.1,642.8,330.2,309.5,227.9,621.6,236.6,619.8,295.6,605.2,292.7,574.5,510.7,165.4,610.9,343.7,524.7,129.2,59.8,261.4,335.1,342.8,183.0,311.2,598.1,644.4,240.1,297.0,455.3,71.5,158.0,157.9,392.5,191.2,663.3,158.7,249.8,386.7,177.4,417.2,185.8,148.1,385.8,295.9,513.1,439.1,117.1,413.2,380.9,268.6,51.8,344.9,86.9,456.2,153.3,99.7,170.3,280.1,349.1,140.3,306.7,173.2,193.3,349.5,553.6,534.0,244.0,201.0,546.9,258.5,351.3,275.0,232.0,257.9,235.6,361.1,219.5,378.8
EE,450.8,97.7,218.6,250.2,408.9,524.7,214.8,586.5,279.2,350.6,237.6,620.9,375.1,267.2,572.3,299.8,330.7,346.2,0.0,169.6,277.2,418.5,519.3,273.0,368.6,584.3,571.1,492.5,392.4,443.8,179.1,97.2,1198.2,196.1,418.0,240.0,567.3,416.2,298.7,478.7,258.6,393.3,610.3,187.7,324.0,441.6,538.2,161.2,622.1,141.6,424.2,333.2,426.7,114.1,163.0,288.5,405.5,71.0,403.7,82.3,389.1,437.1,631.2,567.4,308.6,596.1,526.0,308.6,290.4,306.4,90.6,181.2,525.1,174.9,473.7,382.0,629.6,325.3,209.9,590.1,298.7,259.5,301.1,445.9,150.0,447.2,158.8,350.5,518.4,381.5,201.1,389.9,352.2,568.1,504.3,498.3,492.5,246.4,466.6,520.1,123.1,410.8,128.8,387.4,240.1,206.3,256.6,374.4,529.3,557.5,262.7,210.3,249.8,163.9,133.4,538.8,372.6,117.3,156.2,330.8,321.4,135.2,483.4,317.2,325.1,439.7,145.0,282.4,432.2
EF,470.4,171.5,409.0,194.0,428.5,719.3,393.6,652.4,469.6,285.9,164.2,700.7,505.5,155.7,640.6,506.0,443.7,385.1,331.3,0.0,211.3,370.6,520.7,103.3,350.2,603.9,748.0,512.1,412.0,463.4,198.7,287.6,1264.1,122.7,387.4,446.2,586.9,435.8,280.3,498.3,464.8,328.6,800.7,207.3,343.6,544.9,539.6,185.1,816.0,204.7,443.8,268.5,356.4,263.1,182.6,497.0,335.2,261.4,365.5,186.8,350.9,456.7,825.1,761.3,243.9,786.5,594.3,281.6,305.4,370.2,180.2,174.6,593.4,238.0,493.3,311.7,820.0,463.8,136.5,656.0,322.0,318.0,236.4,551.6,351.2,395.7,349.2,473.5,614.7,401.1,174.1,409.5,371.8,636.4,523.9,688.7,598.2,309.5,572.3,586.0,313.5,380.2,242.6,369.0,128.6,269.4,332.2,394.0,530.7,577.1,282.3,40.6,220.9,227.0,247.2,729.2,287.2,180.4,219.3,303.8,517.2,233.2,503.0,455.7,481.6,459.3,258.8,488.6,537.9
EG,331.6,334.9,297.5,167.2,307.6,507.9,250.9,490.9,358.1,74.5,363.8,489.3,384.6,384.4,429.2,335.9,322.8,173.7,317.7,406.8,0.0,159.2,309.3,317.3,151.9,415.1,606.1,354.3,291.1,342.5,232.7,263.8,1143.2,322.3,176.0,276.1,398.1,314.9,90.9,320.1,294.7,117.2,664.3,241.3,200.9,333.5,328.2,305.4,604.6,235.9,322.9,57.1,585.1,351.3,330.6,326.9,563.9,257.7,594.2,330.3,579.6,335.8,613.7,549.9,32.5,650.1,382.9,510.3,168.3,158.8,327.8,418.4,382.0,204.1,350.4,540.4,683.6,342.9,336.1,494.5,110.6,179.1,25.0,430.7,212.3,567.8,257.7,352.6,425.9,280.2,402.8,288.6,250.9,425.0,335.1,552.3,477.3,184.0,451.4,420.1,289.7,168.8,366.0,170.7,357.3,174.4,120.8,273.1,319.3,388.3,161.4,345.8,150.3,214.4,370.6,592.8,515.9,265.1,222.1,532.5,357.5,372.4,314.2,334.8,360.7,338.4,382.2,318.5,417.0
EH,297.7,333.6,246.3,243.4,252.6,474.0,199.7,457.0,306.9,201.3,390.5,455.4,370.2,503.1,395.3,284.7,267.8,122.5,316.4,405.5,283.2,0.0,275.4,433.5,41.7,381.2,572.2,320.4,236.1,330.4,261.3,262.5,1088.2,349.0,124.8,224.9,364.2,259.9,179.6,286.2,243.5,49.2,630.4,269.9,149.7,299.6,294.3,332.1,570.7,258.7,316.2,183.9,662.6,350.0,353.4,275.7,641.4,256.4,639.6,341.4,625.0,298.0,579.8,516.0,231.2,616.2,349.0,544.5,195.0,107.6,326.5,417.1,348.1,226.9,316.5,617.9,649.7,369.7,362.8,460.6,137.3,184.0,223.7,397.8,215.0,683.1,206.5,345.9,392.0,225.2,437.0,233.6,195.9,391.1,301.2,518.4,444.4,164.9,418.5,386.2,288.4,117.6,364.7,21.9,476.0,197.2,165.5,218.1,285.4,354.4,206.1,372.5,239.0,237.2,369.3,558.9,608.5,287.9,244.9,566.7,389.6,371.1,280.3,279.8,305.7,345.1,380.9,267.3,384.1
EN,114.6,483.5,294.6,452.5,215.9,285.9,363.5,247.5,192.2,377.8,619.1,270.0,135.5,648.7,209.9,299.4,200.7,311.7,462.0,551.1,492.3,375.0,0.0,654.5,325.1,129.5,237.5,76.4,244.7,147.3,451.9,408.1,1095.1,577.6,334.0,305.1,129.4,211.9,376.2,106.3,315.5,353.0,338.7,460.5,309.5,55.6,19.2,542.7,385.3,414.9,151.1,360.4,808.2,498.8,544.5,272.2,802.3,402.0,785.2,487.0,770.6,132.9,394.4,338.0,441.0,324.5,163.6,690.1,411.0,271.9,472.1,562.7,162.7,387.7,91.2,763.5,358.4,181.2,594.6,254.8,349.0,343.8,433.5,153.8,374.8,833.7,327.3,167.1,140.3,254.7,582.6,151.8,197.7,205.7,60.2,226.7,200.4,324.7,177.7,200.8,434.0,326.8,510.3,343.9,621.6,360.2,374.5,178.8,10.0,102.7,401.8,586.9,435.6,400.2,514.9,267.2,754.1,442.5,404.7,712.3,219.1,516.7,81.7,188.9,219.9,99.2,526.5,295.2,140.1
EO,367.0,68.1,305.6,160.0,325.1,610.8,290.2,545.3,366.2,268.0,140.1,583.4,392.6,312.8,534.8,402.6,340.3,262.4,227.9,215.2,193.4,330.1,432.3,0.0,280.2,500.5,541.0,408.7,308.6,360.0,95.3,184.2,1160.7,98.6,329.6,342.8,497.2,329.1,210.4,394.9,361.4,310.7,697.3,103.9,240.2,408.3,454.7,81.7,709.1,101.3,340.4,250.6,472.3,159.7,79.2,393.6,451.1,158.0,449.3,83.4,434.7,353.3,718.2,654.4,226.0,683.1,488.5,354.2,202.0,222.6,76.8,150.5,487.6,133.5,389.9,427.6,716.6,360.4,112.4,552.6,214.9,214.6,218.5,448.2,247.8,492.8,265.0,374.5,511.3,300.6,246.7,306.1,270.8,530.6,420.5,585.3,494.8,206.1,468.9,482.6,210.1,322.4,174.4,299.0,285.7,166.0,172.8,284.5,445.5,473.7,178.9,142.2,159.6,123.6,179.0,625.8,368.7,81.1,115.9,376.4,413.8,180.8,399.0,352.3,385.0,358.0,190.6,385.2,434.5
ER,255.9,291.8,204.5,201.6,210.8,429.5,157.9,411.5,265.1,159.5,348.7,413.6,326.6,461.3,353.5,242.5,226.0,80.7,274.6,363.7,241.4,49.8,230.4,391.7,0.0,339.4,381.1,278.6,194.3,288.6,219.5,220.7,1046.4,307.2,83.0,183.1,336.1,214.8,137.8,244.4,201.7,59.5,588.6,228.1,107.9,257.8,252.8,290.3,528.9,213.3,274.4,142.1,620.8,308.2,311.6,233.9,614.9,214.6,597.8,299.6,583.2,256.2,538.0,481.6,189.4,574.4,307.2,502.7,160.0,65.8,284.7,375.3,306.3,186.1,274.7,576.1,607.9,327.9,321.0,418.8,98.0,142.2,181.9,356.0,173.2,641.3,164.7,313.8,350.2,183.9,395.2,191.8,156.5,349.3,259.4,476.6,402.6,123.1,376.7,344.4,246.6,75.8,322.9,18.7,434.2,155.4,123.7,170.2,243.6,312.6,164.3,363.8,197.2,195.4,327.5,517.1,566.7,240.9,203.1,524.9,347.8,329.3,237.9,238.0,263.9,301.4,339.1,225.5,342.3
