from_stop,AI,AL,AM,AP,BE,BF,BJ,BK,BL,BM,BU,BX,CC,CP,CT,CW,CY,DB,DL,DV,DW,EE,EG,ES,EV,EX,EY,EZ,FA,FB,FK,FX,FY,GE,GN,GP,GR,HA,HI,HN,HR,HX,IB,IC,IJ,IS,JB,JH,JQ,JS,JX,JZ,KE,KF,KG,KJ,KT,KX,LI,LN,LQ,LV,LX,MF,MG,MH,MN,MP,MT,NB,NL,NM,NR,NU,NV,NY,NZ,OD,OP,OS,OW,OZ,PD,PJ,PK,PT,PV,PW,PZ,QE,QF,QO,QR,QT,QV,RH,RK,RL,RN,RX,RZ,SB,SM,SN,SQ,SR,ST,TD,TF,TJ,TK,TO,TX,TZ,UD,UF,UM,UN,UO,UP,US,UU,VA,VK,VN,VO,VQ,VV,VY,VZ,WC,WF,WI,WN,WO,WT,WV,WW,WZ,XE,XH,XI,XJ,XV,YC,YW,YX,YZ,ZH,ZK,ZM,ZV
BU,772.5,869.9,821.0,360.1,149.2,148.9,80.3,172.1,531.1,217.8,0.0,337.0,160.5,842.2,309.7,405.8,81.7,445.3,910.7,343.2,299.5,451.7,731.9,598.7,120.9,76.5,529.5,27.1,131.9,399.8,190.8,395.2,216.2,324.4,204.6,432.4,481.2,790.2,397.0,352.7,314.8,220.3,352.7,83.8,344.9,151.2,292.5,426.3,389.2,776.6,641.7,380.1,53.4,210.2,275.9,369.6,927.4,83.3,281.6,633.6,443.8,145.7,795.7,379.3,10.2,84.4,420.1,212.2,220.1,145.4,842.6,430.9,298.0,363.5,392.8,348.8,209.6,247.2,754.9,718.7,420.7,379.6,280.7,258.8,329.7,410.9,149.8,372.3,746.6,573.3,586.4,409.8,388.7,247.8,488.9,179.5,578.9,464.8,132.0,381.9,384.8,113.4,344.9,373.4,575.2,332.3,448.7,295.3,565.9,434.3,105.0,167.4,400.4,487.9,375.8,405.2,292.9,677.8,107.9,267.9,117.3,81.9,248.1,80.2,378.5,231.9,85.9,145.9,705.2,186.0,331.6,209.7,751.6,180.5,660.4,328.0,65.5,781.2,854.0,273.5,514.3,64.9,396.6,213.6,427.7,231.3,93.2,464.7,132.6,357.9,264.4,357.2
BX,962.2,1012.4,965.8,31.4,439.0,370.1,280.1,462.4,283.6,174.1,347.0,0.0,200.3,1031.9,159.2,197.4,310.0,658.0,928.7,6.1,130.0,180.6,921.6,757.5,410.7,318.0,719.2,334.9,348.8,128.7,480.6,113.1,124.4,425.0,138.2,180.4,233.7,979.9,178.6,67.3,29.4,188.7,67.3,304.3,445.5,193.1,69.3,194.4,184.2,963.7,831.4,569.8,332.1,501.8,534.7,87.5,951.0,251.4,520.1,823.3,179.1,440.4,985.4,97.2,357.2,307.3,609.8,129.0,172.9,424.1,1032.3,148.8,60.4,150.2,119.5,94.0,131.1,183.3,944.6,911.6,139.6,110.7,78.6,107.4,588.5,600.6,428.5,118.3,936.3,763.0,758.1,138.7,177.7,118.6,678.6,453.3,737.7,200.1,232.9,571.6,84.7,333.9,133.7,134.1,734.0,63.0,196.7,99.9,755.6,624.0,253.7,330.3,100.3,240.4,121.8,594.9,519.7,870.7,317.9,138.6,256.9,394.1,348.7,368.9,550.2,118.3,365.1,360.7,898.0,176.2,138.4,178.1,941.3,188.2,850.1,89.2,355.3,970.9,957.7,124.0,266.8,326.9,116.7,314.2,617.4,546.9,348.2,217.2,210.9,99.8,75.4,22.8
CC,844.2,941.6,892.7,230.4,242.7,186.1,115.0,266.1,462.5,139.4,166.2,198.9,0.0,913.9,189.6,295.2,194.1,542.1,1007.5,205.1,179.3,359.5,803.6,603.7,198.0,134.0,626.3,140.6,164.8,310.0,284.3,275.1,95.6,329.4,135.1,359.3,412.6,861.9,325.9,214.6,176.7,103.5,217.9,101.4,349.9,97.5,180.5,315.7,331.5,848.3,713.4,476.9,216.2,303.7,372.7,249.5,999.1,151.9,378.4,705.3,328.9,332.1,867.4,259.2,176.4,191.4,516.9,154.0,59.5,231.7,914.3,310.8,210.8,252.9,293.9,243.8,102.3,86.6,789.2,790.4,300.6,260.5,142.6,151.4,426.5,507.7,228.1,265.6,818.3,670.1,604.3,317.6,278.1,127.6,585.7,276.3,583.9,349.9,110.6,478.7,283.7,134.7,236.4,281.4,580.2,194.2,375.6,163.9,662.7,531.1,122.1,146.3,299.3,419.3,269.1,502.0,389.7,749.5,158.5,93.1,77.1,240.6,253.1,162.6,454.6,71.3,179.4,176.7,776.9,111.9,221.1,92.9,823.3,63.7,732.1,209.3,159.0,852.9,925.7,155.0,445.7,211.0,276.5,218.6,524.5,328.1,232.3,396.1,115.3,252.9,200.4,221.8
CP,164.5,219.6,170.7,1041.4,883.6,752.4,867.4,907.0,1256.8,914.3,866.2,1074.0,859.7,0.0,1007.3,1092.3,871.4,517.5,274.3,1067.8,995.7,1149.7,154.5,437.6,780.2,806.7,452.0,840.6,782.6,1125.5,925.2,1076.5,912.7,664.9,901.1,1113.7,1206.9,182.2,1122.7,1027.5,1011.3,919.5,1027.5,823.0,712.5,870.8,965.6,1112.8,1114.9,126.3,219.9,536.4,849.6,946.4,658.1,1050.9,277.1,904.3,627.8,251.0,1115.4,935.4,37.0,1060.6,876.4,874.1,497.9,908.7,936.0,826.2,18.7,1112.2,1000.3,1050.0,1116.3,1030.1,906.1,946.4,226.1,285.7,1107.0,1046.8,969.0,936.5,698.4,483.1,822.6,1098.0,138.6,380.4,369.9,1123.5,1075.2,935.6,325.4,751.0,455.4,1094.4,863.0,435.0,1066.1,856.3,1033.5,1099.1,401.6,1054.3,1130.0,1033.5,373.0,405.4,874.5,740.8,1081.7,1213.6,1101.5,509.5,639.1,222.6,910.9,952.9,829.5,881.6,694.9,805.1,540.7,931.1,852.1,817.7,214.0,885.2,1016.9,908.9,143.6,879.7,217.9,1022.9,831.7,89.1,203.7,970.0,1240.0,854.6,1072.4,730.2,386.5,688.8,882.9,1190.4,888.6,1035.9,959.2,1050.7
CT,939.6,1037.0,988.1,128.6,416.4,336.6,257.5,439.8,304.1,151.5,324.4,161.2,195.7,1009.3,0.0,96.0,287.4,612.4,1077.8,155.0,64.9,236.9,899.0,734.9,388.1,284.5,696.6,312.3,315.3,218.2,458.0,163.7,101.8,402.4,141.3,200.9,254.2,957.3,318.3,183.2,196.9,138.7,179.9,281.7,422.9,170.5,185.4,116.5,296.9,943.7,808.8,547.2,309.5,477.4,512.1,138.1,1094.5,228.8,497.5,800.7,134.0,417.8,962.8,147.8,339.5,284.7,587.2,148.9,144.3,401.5,1009.7,199.4,210.4,53.7,216.4,88.8,108.5,133.9,921.7,885.8,189.2,69.8,128.9,161.4,565.9,578.0,405.9,277.0,913.7,740.4,735.5,210.7,78.9,143.0,656.0,426.8,715.1,155.0,210.3,549.0,153.3,311.3,35.1,257.2,711.4,136.7,217.2,107.6,733.0,601.4,231.1,296.8,168.9,260.9,240.3,572.3,497.1,844.9,295.3,133.9,234.3,369.8,326.1,346.3,527.6,113.7,342.5,330.8,872.3,208.6,23.8,148.8,918.7,181.8,827.5,112.5,332.7,948.3,1021.1,86.7,287.3,304.3,165.1,291.6,594.8,524.3,325.6,237.7,188.3,78.4,202.6,137.9
CW,1013.6,1111.0,1062.1,145.4,490.4,410.6,331.5,513.3,277.3,225.5,398.4,191.0,269.7,1083.3,73.9,0.0,361.4,686.4,1049.5,184.8,124.6,253.7,973.0,802.7,462.1,358.5,770.6,386.3,389.3,235.0,532.0,176.2,175.8,476.4,219.9,203.4,227.4,1031.3,335.1,200.0,206.7,212.7,200.0,355.7,496.9,244.5,192.5,20.4,313.7,1017.7,882.8,621.2,383.5,553.2,586.1,154.9,1071.8,302.8,571.5,874.7,57.5,491.8,1036.8,164.6,408.6,358.7,661.2,210.7,218.3,475.5,1083.7,216.2,237.7,31.4,235.0,98.6,182.5,207.9,987.4,959.8,143.4,79.6,140.8,173.3,639.9,652.0,479.9,297.8,987.7,814.4,803.3,227.5,20.5,202.5,730.0,493.8,782.9,78.5,284.3,623.0,170.1,385.3,47.0,274.0,779.2,146.5,238.5,119.5,807.0,675.4,305.1,370.8,182.7,234.1,257.1,646.3,571.1,918.9,369.3,207.9,308.3,445.5,400.1,420.3,601.6,187.7,416.5,401.2,946.2,248.6,83.5,222.8,992.7,255.8,901.5,126.9,406.7,1022.3,1078.5,146.4,260.5,378.3,195.9,365.6,668.8,598.3,399.6,210.9,262.3,92.0,212.4,154.7
CY,741.1,838.5,789.6,334.0,93.0,167.6,122.6,116.4,519.9,191.7,73.3,310.9,205.7,810.8,283.6,379.7,0.0,413.9,879.3,317.1,273.4,440.5,700.5,549.5,153.3,107.0,498.1,100.5,146.3,388.6,134.6,369.1,190.1,217.0,178.5,440.3,470.0,758.8,385.8,326.6,288.7,265.5,326.6,108.1,237.5,125.1,269.1,400.2,378.0,745.2,610.3,348.7,22.0,155.8,244.5,343.5,896.0,125.6,250.2,602.2,417.7,102.6,764.3,353.2,61.7,2.7,388.7,186.1,282.0,114.0,811.2,404.8,310.2,337.4,379.4,322.7,183.5,292.4,723.5,687.3,394.6,353.5,254.6,232.7,298.3,379.5,118.4,361.1,715.2,541.9,550.1,398.6,362.6,221.7,457.5,141.1,529.7,438.7,174.0,350.5,358.7,137.7,318.8,362.2,526.0,306.2,456.6,269.2,534.5,402.9,129.3,136.0,374.3,476.7,364.6,373.8,261.5,646.4,42.0,241.8,159.3,84.0,140.7,93.5,342.2,221.5,55.0,157.0,673.7,180.6,305.5,254.9,720.2,225.7,629.0,304.7,79.4,749.8,822.6,247.4,503.1,16.8,365.0,106.2,396.3,199.9,38.1,453.5,106.5,328.5,238.3,331.1
DB,477.0,597.6,551.0,677.9,421.8,448.8,500.6,444.7,778.5,535.6,452.6,654.8,556.1,546.7,627.5,723.6,409.6,0.0,513.9,661.0,617.3,743.3,436.4,409.5,472.4,455.8,318.3,477.0,465.4,691.4,463.4,713.0,534.0,272.5,522.4,675.3,728.6,494.7,688.6,670.5,632.6,635.8,673.8,515.7,320.1,469.0,610.3,744.1,680.8,548.9,346.2,219.0,387.8,482.8,286.4,687.4,536.2,488.6,271.8,338.1,761.6,473.6,500.2,697.1,441.0,412.3,192.4,530.0,603.3,376.9,547.1,748.7,651.0,681.3,680.4,666.6,527.4,630.4,482.4,409.2,738.5,697.4,598.5,576.6,340.2,47.0,378.0,663.9,451.1,334.0,371.6,701.4,706.5,565.6,318.8,347.6,351.2,782.6,510.9,156.3,702.6,545.3,662.7,665.0,347.5,650.1,691.6,613.1,307.9,208.7,525.6,416.9,718.2,735.3,667.4,244.1,283.1,368.3,451.7,585.7,525.9,435.1,302.5,412.6,319.9,565.4,403.8,479.4,395.7,524.5,649.4,625.2,456.1,576.1,364.9,648.6,428.2,485.7,542.9,591.3,761.7,392.8,714.4,337.8,287.8,298.6,421.1,712.1,450.4,675.7,582.2,675.0
DL,216.4,83.6,97.8,1093.3,935.5,804.3,919.3,958.9,1252.5,966.2,918.1,1125.9,911.6,223.8,1059.2,1144.2,923.3,569.4,0.0,1119.7,1047.6,1173.1,206.4,489.5,832.1,858.6,503.9,892.5,834.5,1121.2,977.1,1142.2,964.6,716.8,953.0,1172.9,1202.6,234.1,1118.4,1109.6,1063.2,971.4,1109.6,874.9,764.4,922.7,1017.5,1164.7,1110.6,140.4,271.8,588.3,901.5,998.3,710.0,1102.8,141.1,956.2,679.7,302.9,1167.3,987.3,177.3,1112.5,928.3,926.0,549.8,960.6,987.9,878.1,224.2,1143.1,1082.4,1101.9,1112.0,1082.0,958.0,998.3,278.0,337.6,1158.9,1098.7,1020.9,988.4,750.3,535.0,874.5,1093.7,190.5,432.3,421.8,1131.2,1127.1,987.5,377.3,802.9,507.3,1146.3,914.9,486.9,1118.0,908.2,1085.4,1094.8,453.5,1106.2,1189.2,1085.4,424.9,457.3,926.4,792.7,1133.6,1209.3,1097.2,561.4,691.0,274.5,962.8,1004.8,881.4,933.5,746.8,857.0,592.6,983.0,904.0,869.6,265.9,937.1,1068.8,960.8,195.5,931.6,269.8,1074.8,883.6,162.8,28.9,1021.9,1235.7,906.5,1124.3,782.1,438.4,740.7,934.8,1186.1,940.5,1087.8,1011.1,1102.6
DV,968.4,1018.6,972.0,25.2,445.2,376.3,286.3,468.6,277.4,180.3,353.2,6.1,206.5,1038.1,153.0,191.2,316.2,664.2,934.9,0.0,123.8,174.4,927.8,763.7,416.9,324.2,725.4,341.1,355.0,122.5,486.8,106.9,130.6,431.2,144.4,174.2,227.5,986.1,184.8,66.1,35.6,183.5,66.1,310.5,451.7,199.3,75.5,188.2,190.4,969.9,837.6,576.0,338.3,508.0,540.9,81.3,957.2,257.6,526.3,829.5,172.9,446.6,991.6,91.0,363.4,313.5,616.0,135.2,179.1,430.3,1038.5,142.6,66.6,144.0,113.3,87.8,137.3,178.7,950.8,917.8,133.4,104.5,84.8,113.6,594.7,606.8,434.7,124.5,942.5,769.2,764.3,132.5,171.5,124.8,684.8,459.5,743.9,193.9,239.1,577.8,78.5,340.1,127.5,140.3,740.2,69.2,190.5,104.8,761.8,630.2,259.9,336.5,94.1,234.2,128.0,601.1,525.9,876.9,324.1,144.8,263.1,400.3,354.9,375.1,556.4,124.5,371.3,366.9,904.2,182.4,132.2,184.3,947.5,194.4,856.3,83.0,361.5,977.1,963.9,117.8,260.6,333.1,110.5,320.4,623.6,553.1,354.4,211.0,217.1,93.6,81.6,16.6
