from_stop,AI,AP,BA,BC,BR,BX,BZ,CA,CE,CI,CJ,CV,CW,CY,CZ,DO,DW,EJ,EK,EL,EP,ER,FC,FE,FH,FR,FV,GD,GF,GI,GP,GR,GW,GX,HK,HL,HM,HO,HQ,HY,ID,IM,IV,IY,JE,JH,JX,KB,KC,KD,KH,KI,KJ,KN,KO,KV,LI,LV,LX,MD,MJ,MN,MQ,NA,NH,NI,NM,NO,NR,NZ,OE,OF,OJ,OO,OQ,OS,OW,OX,PA,PB,PO,PP,PU,QJ,QL,RG,SG,SN,SV,TF,TM,TX,UK,UW,UZ,VB,VG,VH,VJ,VM,VU,VW,WN,WQ,WS,WU,WW,XO,XR,XT,YA,YR,YV,YZ,ZB,ZC,ZL
CJ,144.3,204.1,73.7,550.2,163.0,598.0,276.7,192.7,513.6,75.7,0.0,288.2,229.3,104.1,363.1,174.4,484.6,511.5,192.0,120.1,642.2,99.5,684.0,506.7,362.6,327.9,110.1,635.4,578.7,74.8,319.5,256.1,449.8,163.1,584.0,200.0,442.2,265.2,632.2,315.3,252.0,153.0,714.6,432.6,164.7,618.7,395.9,113.1,218.6,287.1,137.4,235.7,2517.4,331.8,185.4,128.5,65.0,498.1,38.9,595.7,448.1,542.7,424.4,402.0,377.8,279.4,221.8,401.3,390.5,481.4,232.4,621.5,270.2,452.6,255.4,675.0,528.5,446.8,421.5,64.0,489.2,736.2,291.8,378.8,395.2,141.7,597.3,249.6,149.0,242.1,41.4,242.3,330.7,178.3,462.1,158.6,219.1,291.4,638.5,356.1,259.4,637.9,440.2,459.7,643.7,165.7,440.9,100.7,262.7,251.1,167.7,631.6,143.1,323.0,606.4,561.0,160.9
CV,198.4,203.3,289.1,321.5,202.0,339.4,80.7,288.2,257.2,248.4,329.2,0.0,144.3,263.1,106.4,135.4,263.0,282.8,192.6,349.1,441.1,314.9,490.1,250.0,111.8,71.2,214.2,359.3,350.0,264.0,72.5,120.4,176.9,191.1,355.3,114.9,185.5,152.5,431.1,27.0,334.0,244.3,538.5,175.9,140.6,397.1,139.2,260.2,127.0,112.8,194.4,309.5,2464.7,75.1,259.4,244.2,294.0,217.3,332.1,309.0,163.7,283.4,167.7,172.1,162.0,113.9,310.0,144.6,133.8,197.0,193.4,427.5,80.3,195.9,113.3,474.0,271.8,190.1,137.1,279.4,232.5,507.5,10.6,122.1,151.8,239.0,368.6,182.9,268.4,65.3,299.5,82.3,74.0,174.8,205.4,205.6,104.7,95.3,381.8,99.4,112.8,436.8,211.5,203.0,387.0,176.6,184.2,311.7,95.6,212.1,143.1,402.9,232.4,98.0,349.7,276.6,241.1
CW,158.3,183.4,266.5,417.1,260.6,437.2,60.1,325.4,352.8,225.8,243.2,127.1,0.0,240.5,202.0,67.7,348.8,378.4,251.2,356.3,536.7,285.3,585.7,345.6,207.4,166.8,205.9,446.6,445.6,241.4,167.8,179.0,261.0,249.7,450.9,43.1,281.1,8.2,526.7,154.2,302.4,191.2,634.1,271.5,199.2,492.7,234.8,246.0,185.6,171.4,200.4,277.9,2510.5,170.7,227.8,201.5,301.2,309.3,274.0,406.9,259.3,381.9,263.3,267.7,246.5,148.1,278.4,240.2,229.4,292.6,124.2,523.1,138.9,291.5,171.9,569.6,367.4,285.7,232.7,256.8,328.1,603.1,137.8,217.7,247.4,207.6,464.2,113.7,295.1,62.8,276.9,140.9,169.6,127.7,301.0,165.5,163.3,139.7,477.4,195.0,171.4,532.4,307.1,298.6,482.6,145.0,279.8,282.1,154.2,142.9,117.1,498.5,200.8,171.3,445.3,372.2,209.5
CY,126.2,178.9,58.7,554.9,115.2,572.8,251.5,121.0,490.6,35.0,98.6,292.9,234.0,0.0,384.0,179.1,496.4,516.2,144.2,122.3,646.9,88.1,695.8,511.4,398.0,332.6,69.4,620.7,583.4,37.2,324.2,267.9,443.0,115.3,588.7,204.7,463.1,242.2,636.9,320.0,197.3,100.1,719.3,453.5,146.6,630.5,416.8,65.3,195.3,264.1,89.6,181.5,2451.8,352.7,131.4,110.4,67.2,491.3,105.3,586.6,441.3,516.8,445.3,449.7,382.5,284.1,173.3,422.2,411.4,474.6,237.1,633.3,274.9,473.5,218.0,679.7,549.4,467.7,409.9,52.6,510.1,713.2,303.6,399.7,429.4,116.5,602.0,226.6,101.2,272.4,72.7,254.1,360.2,158.7,483.0,133.4,223.8,296.1,643.2,377.0,264.1,642.6,444.9,480.6,648.4,140.5,461.8,84.9,267.4,255.8,172.4,636.3,72.2,327.7,611.1,554.2,113.1
CZ,264.5,269.4,355.2,236.6,268.1,268.3,146.8,354.3,172.3,314.5,380.4,117.6,210.4,329.2,0.0,201.5,171.5,197.9,258.7,415.2,378.9,381.0,416.8,177.3,104.9,134.9,277.9,278.3,265.1,330.1,115.9,186.5,58.9,257.2,282.0,181.0,117.0,218.6,368.9,131.4,400.1,310.4,465.2,69.4,206.7,312.2,77.0,326.3,193.1,178.9,260.5,375.6,2429.7,21.2,325.5,310.3,360.1,107.2,398.2,231.4,57.2,201.4,99.2,109.9,114.5,157.3,376.1,82.4,71.6,90.5,259.5,365.3,166.5,127.4,179.4,400.7,191.9,83.6,30.6,345.5,126.0,434.2,149.7,15.6,89.6,305.1,295.3,249.0,334.5,131.4,365.6,148.4,99.0,240.9,98.9,271.7,170.8,138.7,309.1,37.2,178.9,374.6,126.6,134.5,314.3,242.7,115.7,377.8,161.7,278.2,209.2,329.6,298.5,141.4,277.0,196.7,307.2
DO,89.5,114.6,197.7,418.4,197.0,438.5,61.4,256.6,354.1,157.0,174.4,128.4,53.8,171.7,203.3,0.0,350.1,379.7,187.6,287.5,538.0,216.5,587.0,346.9,208.7,168.1,137.1,447.9,446.9,172.6,169.1,176.5,262.3,168.3,452.2,24.5,282.4,62.0,528.0,155.5,233.6,122.4,635.4,272.8,96.3,494.0,236.1,177.2,99.2,172.7,131.6,209.1,2441.7,172.0,159.0,132.7,232.4,310.6,205.2,408.2,260.6,383.2,264.6,269.0,247.8,149.4,209.6,241.5,230.7,293.9,56.9,524.4,140.2,292.8,108.3,570.9,368.7,287.0,234.0,188.0,329.4,604.4,139.1,219.0,248.7,138.8,465.5,46.4,226.3,64.1,208.1,142.2,170.9,58.9,302.3,96.7,99.7,141.0,478.7,196.3,172.7,533.7,308.4,299.9,483.9,76.2,281.1,213.3,155.5,75.6,48.3,499.8,132.0,172.6,446.6,373.5,140.7
DW,387.9,401.4,483.6,102.7,400.1,217.4,305.2,486.3,96.2,446.5,527.3,282.6,368.8,461.2,192.1,333.4,0.0,64.0,390.7,547.2,335.0,513.0,365.9,187.8,199.7,281.1,412.3,170.5,131.2,462.1,236.9,344.8,153.8,389.2,231.1,339.4,89.9,377.0,325.0,252.4,512.5,449.0,414.3,115.9,365.1,178.3,144.9,458.3,351.5,341.0,392.5,488.0,2378.8,179.6,437.9,442.3,492.1,121.3,530.2,136.1,126.0,64.6,140.9,94.0,143.7,242.1,488.5,157.6,146.8,119.0,391.4,321.4,251.3,169.1,337.8,349.8,96.6,112.1,163.0,477.5,49.6,383.3,270.7,178.0,141.6,437.1,244.4,380.9,466.5,289.8,497.6,302.2,245.2,351.7,76.7,433.6,329.2,259.7,214.0,155.6,341.0,330.7,52.2,176.2,219.2,369.0,157.4,509.8,283.9,410.1,341.1,275.9,410.2,262.4,181.9,101.4,419.6
EJ,409.3,422.8,508.6,98.0,421.5,238.8,326.6,507.7,117.6,467.9,494.2,296.5,390.2,482.6,204.0,354.8,75.8,0.0,412.1,568.6,356.4,534.4,387.3,227.2,221.1,295.0,431.3,157.5,126.5,483.5,244.6,370.0,175.2,410.6,252.5,360.8,103.8,398.4,346.4,266.3,533.9,472.6,435.7,155.3,386.5,173.6,158.8,479.7,372.9,362.4,413.9,509.4,2400.2,201.0,459.3,463.7,513.5,157.1,551.6,175.5,147.4,62.8,154.8,115.4,165.1,263.5,509.9,179.0,168.2,158.4,412.8,342.8,272.7,183.0,359.2,371.2,136.0,151.5,184.4,498.9,89.0,404.7,284.6,199.4,163.0,458.5,265.8,402.3,487.9,311.2,519.0,323.6,259.1,373.1,116.1,455.0,350.6,273.6,209.3,177.0,362.4,352.1,73.6,190.1,214.5,390.4,171.3,531.2,305.3,431.5,362.5,271.2,451.8,276.3,177.2,140.8,441.0
EK,98.8,60.4,146.2,468.5,59.1,488.6,227.2,145.3,404.2,105.5,174.3,208.9,219.6,120.2,283.8,164.7,410.0,429.8,0.0,206.2,580.3,172.0,637.1,427.4,283.3,248.6,71.3,528.0,497.0,121.1,240.2,187.7,354.3,48.2,502.3,190.3,362.9,227.8,570.3,236.0,171.5,108.0,685.5,353.3,114.3,544.1,316.6,117.3,163.0,180.1,51.5,147.0,2377.3,252.5,96.9,101.3,151.1,394.7,189.2,488.7,341.1,433.3,345.1,320.3,298.5,200.1,147.5,322.0,311.2,374.4,222.7,566.7,190.9,373.3,185.7,621.0,449.2,367.5,314.5,136.5,409.9,654.5,219.6,299.5,323.0,96.1,515.6,212.2,125.5,229.9,156.6,170.1,251.4,108.4,382.8,92.6,203.8,212.1,579.8,276.8,180.1,576.0,358.5,380.4,585.0,89.2,361.6,168.8,183.4,241.4,122.3,549.9,192.5,243.7,547.7,454.0,78.6
EL,167.3,156.0,72.2,584.1,156.3,604.2,309.2,162.1,519.8,76.1,92.1,324.5,316.2,97.4,399.4,261.3,515.8,545.4,185.3,0.0,695.9,98.0,752.7,543.0,398.9,364.2,112.9,643.6,612.6,61.0,355.8,299.5,458.4,156.4,617.9,286.9,478.5,324.4,685.9,351.6,238.4,126.4,801.1,468.9,253.1,659.7,432.2,106.4,301.8,295.7,130.7,222.6,2466.1,368.1,172.5,117.5,37.8,506.7,97.2,604.3,456.7,548.9,460.7,435.9,414.1,315.7,214.4,437.6,426.8,490.0,319.3,682.3,306.5,488.9,314.6,736.6,564.8,483.1,430.1,62.5,525.5,770.1,335.2,415.1,438.6,112.3,631.2,308.8,142.3,324.6,64.6,285.7,367.0,204.0,498.4,161.1,253.7,327.7,695.4,392.4,295.7,691.6,474.1,496.0,700.6,184.8,477.2,94.8,299.0,338.0,254.6,665.5,169.7,359.3,663.3,569.6,154.2
EP,566.8,528.4,614.2,385.5,527.1,254.2,478.5,613.3,321.2,573.5,650.5,452.5,529.0,588.2,355.9,474.1,317.2,346.8,517.7,674.2,0.0,640.0,280.4,373.6,373.0,448.4,536.9,335.5,373.7,589.1,396.5,489.3,373.6,516.2,240.5,499.7,342.7,537.2,110.7,422.3,639.5,578.2,221.8,425.4,497.3,409.0,347.9,585.3,483.7,481.7,519.5,615.0,2233.0,352.9,564.9,569.3,619.1,418.5,657.2,436.9,345.8,350.3,376.4,285.3,317.0,415.4,615.5,330.9,320.1,446.5,532.1,107.1,424.6,404.6,470.0,222.1,397.4,439.6,386.6,604.5,350.4,297.8,440.6,371.6,314.9,564.1,302.5,521.6,593.5,463.1,624.6,471.7,412.5,492.4,377.5,560.6,461.4,429.6,243.5,328.9,481.7,116.4,275.5,411.7,238.2,509.7,392.9,636.8,457.2,550.8,481.8,187.2,571.1,432.3,275.9,402.2,546.6
ER,159.8,148.5,32.0,576.6,148.8,594.5,301.7,154.6,512.3,68.6,102.3,317.0,304.8,89.9,391.9,249.9,518.1,537.9,177.8,104.7,688.4,0.0,745.2,535.5,391.4,356.7,103.0,644.4,605.1,53.5,348.3,292.0,450.9,148.9,610.4,275.5,471.0,313.0,678.4,344.1,230.9,116.7,793.6,461.4,202.4,652.2,424.7,98.9,294.1,288.2,123.2,215.1,2417.2,360.6,165.0,110.0,49.6,499.2,76.9,594.5,449.2,538.5,453.2,428.4,406.6,308.2,206.9,430.1,419.3,482.5,307.9,674.8,299.0,481.4,303.2,761.9,557.3,475.6,417.8,38.1,518.0,762.6,327.7,407.6,431.1,104.8,623.7,297.4,134.8,320.6,75.1,278.2,359.5,196.5,490.9,153.6,246.2,320.2,687.9,384.9,288.2,684.1,466.6,488.5,693.1,177.3,469.7,5.9,291.5,326.6,243.2,658.0,129.7,351.8,655.8,562.1,146.7
FC,669.5,631.1,713.3,426.1,629.8,297.0,581.2,716.0,361.8,676.2,745.0,555.2,584.0,690.9,458.6,529.1,367.6,387.4,620.4,776.9,226.0,742.7,0.0,414.2,475.7,551.1,642.0,376.1,414.3,691.8,499.2,544.3,425.7,618.9,281.1,554.7,383.3,592.2,216.0,525.0,742.2,680.9,221.5,457.3,552.3,449.6,400.3,688.0,538.7,536.7,622.2,717.7,2120.6,455.6,667.6,672.0,721.8,459.1,759.9,475.2,386.4,388.0,400.8,342.8,419.7,518.1,718.2,433.6,422.8,460.4,587.1,212.4,527.3,429.0,521.9,111.9,438.0,453.5,428.2,707.2,391.0,206.5,543.3,438.4,417.6,666.8,343.1,576.6,696.2,560.3,727.3,526.7,515.2,547.4,418.1,663.3,516.4,532.3,284.1,431.6,536.7,221.7,316.1,436.1,278.8,564.7,417.3,739.5,559.9,605.8,536.8,227.8,626.1,535.0,316.5,442.8,649.3
FE,409.3,414.2,496.4,140.5,412.9,396.3,291.6,499.1,252.8,459.3,517.0,262.4,355.2,474.0,183.1,346.3,202.8,240.6,403.5,560.0,405.6,525.8,436.5,0.0,288.1,250.1,425.1,100.9,139.1,474.9,299.1,331.3,248.9,402.0,382.6,325.8,186.7,363.4,395.6,289.5,544.9,457.8,484.9,106.9,351.5,174.4,241.7,471.1,337.9,323.7,405.3,520.4,2449.4,204.4,470.3,455.1,504.9,75.0,543.0,250.6,235.7,178.6,237.7,250.6,297.7,300.4,520.9,265.6,254.8,130.0,404.3,392.0,291.2,265.9,321.1,420.4,213.4,123.1,209.1,490.3,147.5,453.9,273.1,194.1,272.8,449.9,401.0,393.8,479.3,273.7,510.4,293.2,274.9,385.7,120.4,416.5,315.6,292.0,131.7,220.4,323.7,401.3,208.8,273.0,136.9,387.5,254.2,522.6,306.5,423.0,354.0,193.6,443.3,323.6,99.6,218.2,452.0
FH,261.9,266.8,352.6,256.8,265.5,276.9,169.9,351.7,192.5,311.9,377.8,127.1,233.5,326.6,105.3,198.9,188.5,218.1,256.1,412.6,376.4,378.4,425.4,282.7,0.0,107.6,275.3,316.3,285.3,327.5,54.2,180.1,157.2,254.6,290.6,204.1,143.6,241.7,366.4,96.9,397.5,307.8,473.8,174.8,204.1,332.4,97.3,323.7,190.5,176.3,257.9,373.0,2438.3,102.3,322.9,307.7,357.5,212.6,395.6,269.4,129.4,221.6,125.8,107.4,68.8,73.1,373.5,79.9,69.1,195.9,256.9,362.8,82.3,154.0,176.8,409.3,229.9,189.0,136.0,342.9,200.9,442.8,115.2,121.0,87.1,302.5,303.9,246.4,331.9,154.5,363.0,133.2,71.7,238.3,204.3,269.1,168.2,92.3,368.1,78.3,176.3,372.1,146.8,161.1,373.3,240.1,142.3,375.2,114.9,275.6,206.6,338.2,295.9,95.0,336.0,234.7,304.6
FR,234.6,239.5,325.3,305.7,238.2,325.8,116.9,324.4,241.4,284.6,350.5,87.7,180.5,299.3,90.6,171.6,237.4,267.0,228.8,385.3,425.3,351.1,474.3,234.2,99.4,0.0,248.0,335.2,334.2,300.2,105.2,152.8,149.6,227.3,339.5,151.1,169.7,188.7,415.3,120.7,370.2,280.5,522.7,160.1,176.8,381.3,123.4,296.4,163.2,149.0,230.6,345.7,2487.2,59.3,295.6,280.4,330.2,197.9,368.3,295.5,147.9,270.5,151.9,156.3,160.9,146.6,346.2,128.8,118.0,181.2,229.6,411.7,116.5,180.1,149.5,458.2,256.0,174.3,121.3,315.6,216.7,491.7,98.4,106.3,136.0,275.2,352.8,219.1,304.6,101.5,335.7,118.5,24.7,211.0,189.6,241.8,140.9,128.0,366.0,83.6,149.0,421.0,195.7,187.2,371.2,212.8,168.4,347.9,131.8,248.3,179.3,387.1,268.6,130.7,333.9,260.8,277.3
FV,89.8,45.4,74.8,473.5,45.7,493.6,248.4,73.9,409.2,34.1,102.9,213.9,196.3,48.8,288.8,141.4,415.0,434.8,74.7,134.8,585.3,100.6,642.1,432.4,288.3,253.6,0.0,541.3,502.0,49.7,245.2,192.7,347.8,45.8,507.3,167.0,367.9,204.5,575.3,241.0,136.5,36.6,690.5,358.3,110.2,549.1,321.6,45.9,158.9,185.1,20.1,112.0,2382.3,257.5,61.9,29.9,79.7,396.1,117.8,493.7,346.1,435.4,350.1,325.3,303.5,205.1,112.5,327.0,316.2,379.4,199.4,571.7,195.9,378.3,177.4,626.0,454.2,372.5,314.7,65.1,414.9,659.5,224.6,304.5,328.0,24.7,520.6,188.9,54.1,206.6,85.2,175.1,256.4,122.3,387.8,50.5,143.1,217.1,584.8,281.8,185.1,581.0,363.5,385.4,590.0,104.1,366.6,97.4,188.4,218.1,134.7,554.9,121.1,248.7,552.7,459.0,43.6
GD,535.5,514.3,596.5,59.0,513.0,328.1,410.2,606.8,216.7,567.0,577.5,395.6,473.8,581.7,295.5,446.3,184.7,170.8,511.2,660.1,365.1,625.9,403.6,126.1,312.6,386.5,532.8,0.0,57.6,582.6,336.1,469.1,278.2,502.1,342.1,444.4,195.3,489.6,355.1,357.8,625.4,561.9,444.4,246.8,470.1,100.5,250.3,571.2,456.5,440.6,505.4,600.9,2408.9,292.5,558.4,562.8,605.0,193.6,643.1,264.7,238.9,97.1,246.3,206.9,256.6,355.0,601.4,270.5,259.7,249.9,504.3,359.1,364.2,274.5,439.7,379.9,227.5,243.0,280.7,598.0,180.5,413.4,376.1,290.9,254.5,550.0,357.3,501.4,579.4,389.3,610.5,422.7,350.6,464.6,207.6,546.5,434.2,365.1,91.2,268.5,453.9,360.8,165.1,281.6,96.4,506.1,262.8,622.7,396.8,530.6,454.0,153.1,523.1,367.8,59.1,232.3,532.5
