from_stop,AH,AI,AL,AM,AP,AZ,BD,BE,BF,BJ,BK,BL,BM,BU,BX,CC,CP,CT,CW,CY,DB,DE,DL,DV,DW,EB,EE,EG,ES,EV,EX,EY,EZ,FA,FB,FK,FN,FX,FY,GE,GN,GP,GR,HA,HE,HI,HN,HR,HS,HX,IB,IC,IJ,IS,IT,JB,JH,JQ,JS,JX,JZ,KC,KE,KF,KG,KJ,KT,KX,LI,LN,LQ,LV,LX,MD,MF,MG,MH,MN,MP,MT,NB,NC,NL,NM,NR,NU,NV,NW,NY,NZ,OD,ON,OP,OS,OW,OZ,PD,PJ,PK,PQ,PR,PT,PV,PW,PZ,QE,QF,QO,QR,QT,QV,RG,RH,RK,RL,RN,RT,RX,RZ,SB,SM,SN,SQ,SR,ST,SX,TD,TF,TJ,TK,TO,TX,TZ,UD,UF,UM,UN,UO,UP,US,UU,VA,VK,VN,VO,VQ,VV,VY,VZ,WC,WF,WI,WN,WO,WR,WT,WV,WW,WZ,XA,XE,XH,XI,XJ,XO,XV,YC,YH,YJ,YP,YQ,YW,YX,YZ,ZH,ZK,ZM,ZO,ZV
HI,295.6,865.0,885.9,880.3,150.8,453.4,450.5,790.5,823.1,707.8,749.1,363.8,513.8,690.4,143.2,696.5,884.1,201.7,183.2,774.8,893.2,281.6,945.4,113.8,143.2,286.0,369.5,796.5,920.1,711.7,876.3,728.3,828.1,775.4,337.3,679.6,445.5,348.9,566.5,972.6,486.6,385.3,365.4,911.8,397.9,0.0,174.9,266.7,300.1,704.5,125.7,784.6,824.7,705.1,416.8,532.7,201.2,293.8,1014.6,1021.8,994.5,460.4,690.7,842.0,936.6,350.8,926.7,682.2,820.4,936.7,266.8,770.3,946.9,422.9,310.7,712.7,826.5,1013.7,524.3,673.5,825.0,433.8,869.0,353.6,10.8,167.9,96.3,308.8,488.3,569.6,653.4,516.5,841.7,758.6,309.9,420.2,211.5,190.8,958.2,413.3,286.3,826.4,1025.7,38.0,920.3,824.1,924.8,345.1,131.4,108.8,793.2,428.5,975.7,788.4,236.1,728.2,405.5,818.7,337.9,783.5,201.6,285.3,882.8,582.1,356.0,292.5,159.7,872.4,805.1,657.5,829.0,361.1,394.5,122.6,1026.5,798.5,816.3,716.4,656.9,751.8,862.7,924.7,752.4,865.7,580.4,1032.6,762.2,832.9,817.0,187.6,714.7,875.7,713.7,933.6,367.6,498.6,901.9,1005.3,989.9,453.1,127.2,386.4,721.4,341.1,467.0,1546.2,858.6,428.8,453.1,313.6,423.4,965.9,703.8,336.4,685.0,334.7,30.0,461.3,139.0
HN,151.3,858.8,879.7,874.1,261.7,309.1,306.2,901.4,934.0,818.7,860.0,219.5,624.7,801.3,254.1,708.6,877.9,312.6,300.1,881.4,872.8,137.3,939.2,224.7,67.7,141.7,480.4,790.3,913.9,822.6,987.2,839.2,939.0,886.3,448.2,790.5,301.2,459.8,677.4,1083.5,597.5,496.2,476.3,905.6,248.2,161.0,0.0,122.4,155.8,815.4,236.6,895.5,935.6,816.0,336.8,643.6,312.1,404.7,987.6,1015.6,1105.4,380.4,809.2,952.9,1047.5,461.7,920.5,793.1,931.3,930.5,377.7,881.2,940.7,342.9,421.6,823.6,937.4,1005.1,635.2,784.4,935.9,289.5,862.8,464.5,148.5,278.8,207.2,168.4,599.2,680.5,764.3,372.2,835.5,752.4,417.1,531.1,92.6,66.5,1069.1,269.0,142.0,862.4,1136.6,163.5,914.1,817.9,918.6,456.0,242.3,175.8,904.1,348.5,1089.3,782.2,347.0,839.1,321.7,869.3,448.8,894.4,312.5,396.2,873.4,693.0,466.9,148.2,104.6,926.6,916.0,768.4,939.9,472.0,505.4,189.6,1137.4,909.4,810.1,827.3,767.8,862.7,973.6,1030.2,863.3,976.6,691.3,1143.5,873.1,826.7,829.1,298.5,742.2,869.5,725.8,927.4,292.5,609.5,1012.8,978.3,983.7,308.8,46.4,497.3,832.3,452.0,387.0,1466.2,918.3,284.5,308.8,169.3,279.1,1076.8,814.7,448.3,795.9,445.6,132.1,381.3,249.9
HR,131.0,893.6,914.5,908.9,308.3,288.8,285.9,948.0,980.6,865.3,906.6,143.8,671.3,847.9,300.7,743.4,912.7,359.2,340.7,932.3,907.6,117.0,974.0,271.3,160.3,121.4,527.0,825.1,948.7,869.2,1033.8,854.3,985.6,932.9,494.8,837.1,280.9,506.4,724.0,1041.3,644.1,542.8,522.9,940.4,233.3,207.6,143.2,0.0,96.3,842.5,283.2,942.1,982.2,860.4,397.8,690.2,358.7,451.3,1022.4,1050.4,1063.2,441.4,848.2,999.5,1094.1,508.3,955.3,839.7,977.9,965.3,424.3,927.8,975.5,403.9,468.2,870.2,984.0,1040.5,681.8,831.0,982.5,269.2,897.6,511.1,195.1,325.4,253.8,144.2,645.8,727.1,810.9,351.9,870.3,787.2,467.4,577.7,161.8,141.1,1115.7,248.7,61.9,897.2,1183.2,210.1,948.9,852.7,953.4,502.6,288.9,222.4,919.2,409.5,1133.2,817.0,393.6,885.7,386.5,904.1,495.4,941.0,359.1,442.8,911.4,739.6,513.5,127.9,197.2,961.4,918.7,815.0,986.5,518.6,552.0,236.2,1096.9,956.0,844.9,873.9,814.4,909.3,1020.2,1023.9,909.9,1023.2,737.9,1190.1,919.7,861.5,863.9,345.1,777.0,904.3,760.6,962.2,348.6,656.1,1059.4,1013.1,1018.5,288.5,139.0,543.9,878.9,498.6,448.0,1527.2,953.1,264.2,288.5,149.0,258.8,1123.4,861.3,493.9,842.5,492.2,178.7,442.3,296.5
HS,118.3,929.0,949.9,944.3,343.7,276.1,273.2,983.4,1016.0,900.7,942.0,65.8,706.7,883.3,336.1,778.8,948.1,394.6,376.1,967.7,943.0,104.3,1009.4,306.7,195.7,108.7,562.4,860.5,984.1,904.6,1069.2,889.7,1021.0,968.3,530.2,872.5,268.2,541.8,759.4,1076.7,679.5,578.2,558.3,975.8,220.6,243.0,178.6,109.0,0.0,877.9,318.6,977.5,1017.6,895.8,438.8,725.6,394.1,486.7,1057.8,1085.8,1098.6,482.4,883.6,1034.9,1129.5,543.7,990.7,875.1,1013.3,1000.7,459.7,963.2,1010.9,444.9,503.6,905.6,1019.4,1075.9,717.2,866.4,1017.9,256.5,933.0,546.5,230.5,360.8,289.2,113.5,681.2,762.5,846.3,339.2,905.7,822.6,502.8,613.1,197.2,176.5,1151.1,236.0,64.5,932.6,1218.6,245.5,984.3,888.1,988.8,538.0,324.3,257.8,954.6,450.5,1168.6,852.4,429.0,921.1,427.5,939.5,530.8,976.4,394.5,478.2,946.8,775.0,548.9,97.2,232.6,996.8,954.1,850.4,1021.9,554.0,587.4,271.6,1132.3,991.4,880.3,909.3,849.8,944.7,1055.6,1059.3,945.3,1058.6,773.3,1225.5,955.1,896.9,899.3,380.5,812.4,939.7,796.0,997.6,389.6,691.5,1094.8,1048.5,1053.9,275.8,174.4,579.3,914.3,534.0,489.0,1562.6,988.5,251.5,275.8,118.3,246.1,1158.8,896.7,529.3,877.9,527.6,214.1,483.3,331.9
HX,894.5,468.6,598.3,614.6,634.0,1052.3,1049.4,486.6,371.0,169.1,445.2,962.7,175.6,151.7,670.4,121.8,534.6,684.9,522.4,290.3,357.0,880.5,558.4,670.0,742.1,884.9,608.3,613.0,432.4,302.8,424.2,189.6,297.9,471.5,576.1,375.7,1044.4,587.7,194.6,433.9,245.4,624.1,604.2,500.1,996.8,667.6,773.8,865.6,899.0,0.0,676.0,245.9,286.0,166.4,1015.7,246.7,515.2,532.6,475.9,534.1,455.8,1059.3,373.3,538.1,484.5,589.6,561.6,143.5,489.6,449.0,526.6,466.4,465.0,1021.8,549.5,174.0,287.8,474.4,238.3,76.2,415.3,1032.7,550.4,592.4,678.5,651.1,652.5,907.7,401.5,197.7,38.2,1115.4,587.9,464.1,545.0,350.8,809.0,789.7,470.0,1012.2,885.2,267.3,573.6,666.8,490.3,332.3,437.1,583.9,614.6,707.7,254.5,1027.4,529.4,346.6,474.9,189.5,1000.6,259.6,576.7,331.4,684.8,524.1,395.1,296.1,594.8,891.4,763.7,333.7,246.0,118.8,376.9,596.3,633.3,721.5,487.8,467.7,521.8,177.7,59.6,271.8,410.6,380.6,448.5,327.0,110.2,580.5,458.3,538.4,201.8,665.9,83.0,543.7,94.5,477.3,971.4,379.8,449.8,466.6,503.9,1052.0,726.1,625.2,396.4,553.4,1065.9,1792.1,319.9,1027.7,1052.0,912.5,1022.3,513.8,294.9,576.2,146.3,534.5,673.8,1060.2,675.9
IB,366.7,936.1,957.0,951.4,51.9,524.5,521.6,798.9,831.5,716.2,757.5,434.9,522.2,698.8,17.4,704.9,955.2,97.9,191.6,783.2,901.6,352.7,1016.5,21.7,214.3,357.1,377.9,867.6,979.5,720.1,884.7,736.7,836.5,783.8,345.7,688.0,516.6,357.3,574.9,981.0,495.0,393.7,373.8,982.9,469.0,139.8,246.0,337.8,371.2,712.9,0.0,793.0,833.1,713.5,487.9,541.1,209.6,302.2,1023.0,1081.2,1002.9,531.5,699.1,850.4,945.0,359.2,997.8,690.6,828.8,996.1,275.2,778.7,1012.1,494.0,319.1,721.1,834.9,1022.1,532.7,681.9,833.4,504.9,940.1,362.0,150.7,110.9,66.2,379.9,496.7,578.0,661.8,587.6,912.8,829.7,318.3,428.6,282.6,261.9,966.6,484.4,357.4,834.8,1034.1,139.0,991.4,879.4,984.2,353.5,81.3,179.9,801.6,499.6,984.1,859.5,244.5,736.6,476.6,827.1,346.3,791.9,122.1,293.7,942.2,590.5,364.4,363.6,230.8,880.8,813.5,665.9,837.4,369.5,402.9,193.7,1034.9,806.9,887.4,724.8,665.3,760.2,871.1,933.1,760.8,874.1,588.8,1041.0,770.6,904.0,825.4,83.8,723.1,946.8,722.1,1024.4,438.7,507.0,910.3,1013.7,1051.0,524.2,198.3,394.8,729.8,349.5,538.1,1617.3,867.0,499.9,524.2,384.7,494.5,974.3,712.2,344.8,693.4,343.1,146.0,532.4,46.9
IC,1060.2,394.8,514.4,524.8,799.7,1218.0,1215.1,288.6,172.2,178.4,247.2,1128.4,341.3,140.5,836.1,340.9,468.7,850.6,688.1,91.5,260.3,1046.2,490.6,835.7,907.8,1050.6,774.0,539.2,347.7,127.7,225.4,228.7,51.9,273.5,741.8,177.7,1210.1,753.4,360.3,350.0,411.1,796.9,769.9,434.2,1162.5,833.3,939.5,1031.3,1064.7,311.5,841.7,0.0,230.2,205.5,1181.4,345.6,680.9,698.3,410.0,449.4,371.9,1225.0,174.5,340.1,285.7,755.3,477.7,148.1,290.8,364.3,692.3,268.4,399.1,1187.5,715.2,126.9,224.6,392.6,354.2,280.5,216.5,1198.4,484.5,761.1,844.2,816.8,818.2,1073.4,446.5,363.4,260.4,1281.1,473.4,390.3,714.4,516.5,976.1,955.4,307.3,1177.9,1050.9,193.5,374.8,832.5,424.4,271.7,352.4,749.6,780.3,873.4,293.6,1193.1,330.6,272.8,640.6,246.6,1170.1,185.8,742.4,132.6,850.5,689.8,307.2,349.1,760.5,1057.1,929.4,372.8,172.2,228.3,178.1,762.0,799.0,887.2,387.9,268.9,448.0,187.0,263.9,118.9,211.8,317.7,250.5,271.2,275.9,381.7,260.3,464.6,392.1,836.5,321.7,477.8,322.0,411.4,1137.1,424.8,251.0,400.7,438.0,1217.7,891.8,790.9,197.6,719.1,1231.6,1735.9,359.0,1193.4,1217.7,1078.2,1188.0,315.0,96.1,740.9,185.4,700.2,839.5,1225.9,841.6
IJ,1038.9,269.2,312.2,328.5,778.4,1196.7,1193.8,312.1,206.6,224.9,322.2,1107.1,320.0,207.5,814.8,337.6,248.5,829.3,660.8,210.6,168.6,1024.9,272.3,814.4,886.5,1029.3,752.7,401.5,230.6,157.3,183.7,225.4,280.2,301.8,720.5,230.2,1188.8,732.1,339.0,147.8,389.8,768.5,748.6,214.0,1141.2,812.0,918.2,1010.0,1043.4,290.2,820.4,228.2,0.0,202.2,1160.1,391.1,659.6,677.0,189.8,253.0,169.7,1203.7,258.8,415.1,251.9,734.0,275.5,199.3,231.1,214.0,671.0,291.9,178.9,1166.2,693.9,229.8,343.6,188.9,382.7,259.2,156.8,1177.1,264.3,736.8,822.9,795.5,796.9,1052.1,476.1,342.1,239.1,1259.8,301.8,298.6,693.1,495.2,954.8,934.1,183.9,1156.6,1029.6,101.8,333.1,811.2,204.2,180.0,225.9,728.3,759.0,852.1,175.9,1171.8,283.1,181.1,619.3,89.4,1148.8,94.1,721.1,201.7,829.2,668.5,218.7,378.7,739.2,1035.8,903.0,288.7,80.5,207.0,155.3,740.7,777.7,865.9,201.7,209.2,326.6,233.5,242.6,126.3,170.1,99.9,277.7,40.9,254.6,340.0,288.6,311.0,388.8,815.2,300.4,257.6,311.9,191.2,1110.9,454.4,243.2,180.5,217.8,1196.4,870.5,769.6,289.5,697.8,1210.3,1644.2,190.1,1172.1,1196.4,1056.9,1166.7,273.3,230.9,719.6,182.1,678.9,818.2,1204.6,820.3
IS,915.7,354.2,464.7,481.0,655.2,1073.5,1070.6,402.0,285.6,83.7,360.6,983.9,196.8,66.3,691.6,135.3,401.0,706.1,537.6,209.2,190.5,901.7,420.8,691.2,763.3,906.1,629.5,493.2,265.9,235.4,338.8,23.1,212.5,386.9,597.3,291.1,1065.6,608.9,215.8,283.7,266.6,645.3,625.4,366.5,1018.0,688.8,795.0,886.8,920.2,167.0,697.2,160.5,218.6,0.0,1036.9,267.9,536.4,553.8,339.7,367.6,305.6,1080.5,280.3,453.5,399.1,610.8,428.0,58.1,404.2,282.5,547.8,381.8,331.4,1043.0,570.7,88.6,202.4,323.4,259.5,136.0,329.9,1053.9,416.8,613.6,699.7,672.3,673.7,928.9,422.7,218.9,115.9,1136.6,432.2,349.1,569.9,372.0,831.6,810.9,402.6,1033.4,906.4,157.6,488.2,688.0,356.7,165.8,270.6,605.1,635.8,728.9,88.0,1048.6,438.2,209.0,496.1,122.1,1025.6,164.5,597.9,246.0,706.0,545.3,228.6,317.3,616.0,912.6,779.8,167.2,179.1,83.8,291.5,617.5,654.5,742.7,391.9,382.3,406.8,92.3,119.4,204.4,325.2,266.3,363.9,259.6,131.4,495.1,373.7,423.4,186.5,692.0,143.0,410.1,116.4,343.7,987.7,401.0,364.4,330.4,367.7,1073.2,747.3,646.4,311.0,574.6,1087.1,1625.6,153.4,1048.9,1073.2,933.7,1043.5,428.4,209.5,596.4,18.9,555.7,695.0,1081.4,697.1
IT,376.5,971.5,992.4,986.8,505.0,162.5,193.5,1144.7,1177.3,1062.0,1103.3,469.0,868.0,1044.6,497.4,940.1,990.6,555.9,537.4,1129.0,985.5,386.8,1051.9,468.0,375.0,342.2,723.7,903.0,1026.6,1065.9,1230.5,1051.0,1182.3,1129.6,691.5,1033.8,170.4,703.1,920.7,1119.2,840.8,739.5,719.6,1018.3,234.2,404.3,357.9,371.9,405.3,1039.2,479.9,1138.8,1083.2,1057.1,0.0,886.9,555.4,648.0,1100.3,1128.3,1141.1,112.6,1044.9,1196.2,1144.5,705.0,1033.2,1036.4,1174.6,1043.2,621.0,1124.5,1053.4,75.1,664.9,1066.9,1180.7,1118.4,878.5,1027.7,1179.2,179.2,975.5,707.8,391.8,522.1,450.5,414.0,842.5,923.8,1007.6,352.8,948.2,865.1,664.1,774.4,376.5,355.8,1192.4,291.8,391.5,975.1,1154.6,406.8,1026.8,930.6,1031.3,699.3,485.6,419.1,1016.8,32.8,1141.9,894.9,590.3,1032.1,13.2,982.0,692.1,1137.7,555.8,639.5,989.3,936.3,710.2,397.7,403.0,1039.3,996.6,1011.7,1183.2,715.3,748.7,432.9,1174.8,1152.7,922.8,1070.6,1011.1,1051.0,1216.9,1101.8,1106.6,1124.2,934.6,1147.7,1116.4,939.4,1060.6,541.8,973.7,982.2,957.3,1040.1,50.3,852.8,1164.1,1091.0,1096.4,226.1,353.7,740.6,1075.6,695.3,119.2,1518.5,1031.0,265.1,162.7,418.8,283.8,1132.1,1058.0,690.6,1039.2,688.9,375.4,131.5,493.2
JB,758.8,510.8,630.4,640.8,498.3,916.6,913.7,273.6,306.2,256.1,232.2,827.0,62.1,238.7,534.7,301.8,584.7,549.4,386.7,253.6,378.9,744.8,606.6,534.3,606.4,749.2,472.6,655.2,463.7,194.6,359.2,276.6,311.2,258.5,440.4,162.5,908.7,452.2,114.8,466.0,109.7,495.5,468.5,550.2,855.7,531.9,638.3,729.9,763.3,252.8,540.3,286.2,346.2,253.4,880.0,0.0,379.7,396.9,525.8,565.4,487.9,923.6,181.2,325.1,419.7,453.9,593.5,230.5,303.5,480.3,390.9,253.4,515.1,886.1,413.8,261.0,374.8,508.6,8.3,221.8,308.1,897.0,600.5,459.7,542.8,515.4,516.8,775.9,154.7,117.9,201.7,979.7,589.4,506.3,409.3,215.1,680.1,654.0,441.3,876.7,749.5,309.3,508.8,531.1,540.4,419.3,468.4,448.2,478.9,572.0,341.5,891.7,464.6,388.8,339.2,276.5,864.9,301.8,441.0,266.6,549.1,388.4,423.2,49.3,459.1,755.7,628.0,420.7,288.2,205.8,312.1,460.6,497.6,585.8,548.0,281.6,564.0,264.7,205.2,234.9,345.8,440.6,235.5,387.2,128.7,515.7,245.3,580.6,381.8,530.2,263.0,593.8,274.5,527.4,835.7,133.0,385.0,516.7,554.0,909.8,590.4,489.5,204.5,417.7,930.4,1851.9,406.9,892.2,916.3,776.8,886.6,449.0,186.9,440.5,233.3,398.8,538.1,924.5,540.2
JH,459.9,887.1,943.4,937.8,199.4,617.7,614.8,649.9,682.5,567.2,608.5,528.1,373.2,549.8,235.8,612.9,932.7,250.3,87.8,634.2,752.6,445.9,956.5,235.4,307.5,450.3,228.9,854.0,830.5,571.1,735.7,587.7,687.5,634.8,196.7,539.0,609.8,208.3,425.9,832.0,346.0,251.8,224.8,898.2,562.2,233.0,339.2,431.0,464.4,563.9,241.4,644.0,684.1,564.5,581.1,392.1,0.0,153.2,874.0,932.2,853.9,624.7,557.7,701.4,796.0,210.2,959.7,541.6,679.8,847.1,126.2,629.7,863.1,587.2,170.1,572.1,685.9,872.5,383.7,532.9,684.4,598.1,948.5,216.0,243.9,216.5,217.9,473.1,347.7,429.0,512.8,680.8,899.2,816.1,169.3,279.6,381.2,355.1,817.6,577.6,450.6,685.8,885.1,232.2,888.4,730.4,835.2,204.5,180.0,273.1,652.6,592.8,840.9,765.1,95.5,587.6,569.8,678.1,197.3,642.9,250.2,144.7,793.2,441.5,215.4,456.8,329.1,731.8,664.5,516.9,688.4,220.5,253.9,286.9,885.9,657.9,873.8,575.8,516.3,611.2,722.1,778.7,611.8,725.1,439.8,892.0,621.6,890.4,692.9,236.2,574.1,941.8,585.6,875.4,536.8,358.0,761.3,864.7,902.0,617.4,291.5,245.8,580.8,200.5,631.3,1702.1,718.0,593.1,617.4,477.9,587.7,825.3,563.2,195.8,544.4,194.1,239.2,625.6,241.3
JQ,552.7,904.7,1014.0,1030.3,292.2,710.5,707.6,667.5,700.1,584.8,626.1,620.9,390.8,567.4,328.6,630.5,950.3,343.1,174.6,651.8,770.2,538.7,974.1,328.2,400.3,543.1,75.6,946.8,848.1,588.7,753.3,605.3,705.1,652.4,43.5,556.6,702.6,91.1,443.5,849.6,363.6,91.4,117.0,915.8,655.0,325.8,432.0,523.8,557.2,581.5,334.2,661.6,701.7,582.1,673.9,409.7,173.4,0.0,891.6,949.8,871.5,717.5,567.7,719.0,813.6,93.0,977.3,559.2,697.4,864.7,184.8,647.3,880.7,680.0,52.9,589.7,703.5,890.7,401.3,550.5,702.0,690.9,966.1,59.7,336.7,309.3,310.7,565.9,365.3,446.6,530.4,773.6,983.3,900.2,70.1,297.2,468.6,447.9,835.2,670.4,543.4,703.4,902.7,325.0,906.0,748.0,852.8,51.2,272.8,365.9,670.2,685.6,852.7,782.7,60.4,605.2,662.6,695.7,80.1,660.5,343.0,6.6,810.8,459.1,107.6,549.6,416.8,749.4,682.1,534.5,706.0,103.3,146.1,379.7,903.5,675.5,957.9,593.4,533.9,628.8,739.7,801.7,629.4,742.7,457.4,909.6,639.2,974.5,710.5,329.0,591.7,959.4,603.2,893.0,624.7,375.6,778.9,882.3,919.6,710.2,384.3,138.0,598.4,83.3,724.1,1794.9,735.6,685.9,710.2,570.7,680.5,842.9,580.8,96.6,562.0,102.2,332.0,718.4,334.1
JS,1088.1,123.0,141.9,171.2,970.0,1245.9,1243.0,393.8,288.3,416.5,403.9,1156.3,511.6,399.1,1006.4,434.6,102.3,1020.9,858.4,401.4,144.0,1074.1,82.4,1006.0,1078.1,1078.5,944.3,250.6,66.4,325.0,265.4,315.2,471.0,383.5,912.1,373.0,1238.0,923.7,530.6,133.0,581.4,960.1,940.2,67.8,1185.0,1003.6,1019.0,1059.2,1092.6,481.8,1012.0,419.0,191.5,341.4,1193.6,544.8,851.2,868.6,0.0,88.8,150.7,1429.5,435.8,496.8,312.6,925.6,101.1,390.9,312.8,49.8,862.6,373.6,32.7,1392.0,885.5,421.4,535.2,114.9,553.2,450.8,238.5,1226.3,118.1,928.4,1014.5,987.1,988.5,1105.2,645.5,533.7,430.7,1309.0,155.6,240.5,881.0,686.8,1043.0,1016.9,244.6,1205.8,1078.8,218.1,414.8,1002.8,58.0,174.5,61.7,919.9,950.6,1043.7,246.8,1205.3,370.6,193.6,810.9,281.0,1219.0,225.0,912.7,283.4,1020.8,860.1,106.9,548.1,930.8,1085.0,1099.7,283.2,272.1,398.6,237.0,932.3,969.3,1057.5,151.4,290.9,180.4,425.1,434.2,337.3,251.8,103.0,359.4,150.5,446.2,421.7,370.3,164.8,485.8,1001.9,442.3,111.4,415.7,45.0,1164.4,623.8,303.9,8.3,27.9,1245.6,1062.1,961.2,458.9,889.4,1436.1,1548.6,261.0,1221.3,1245.6,1106.1,1215.9,355.0,421.7,912.2,360.4,870.5,1009.8,1189.2,1011.9
JX,1094.7,175.7,218.7,235.0,1002.7,1252.5,1249.6,426.5,321.0,436.2,436.6,1162.9,544.3,418.8,1039.1,456.5,155.0,1053.6,885.1,434.1,179.1,1080.7,160.8,1038.7,1006.6,1085.1,977.0,308.0,63.8,341.3,298.1,347.9,503.7,416.2,944.8,405.7,1244.6,956.4,563.3,165.7,614.1,992.8,972.9,120.5,1197.0,1036.3,1025.6,1065.8,1099.2,514.5,1044.7,451.7,224.2,352.4,1200.2,577.5,883.9,901.3,78.3,0.0,187.6,1284.3,460.9,529.5,384.3,958.3,179.5,410.6,345.5,47.2,895.3,406.3,85.4,1246.8,918.2,441.1,554.9,153.2,585.9,483.5,271.2,1232.9,170.8,961.1,1047.2,1019.8,1021.2,1107.9,678.2,566.4,463.4,1315.6,208.3,293.2,917.4,719.5,1044.2,1023.5,316.3,1212.4,1085.4,234.4,447.5,1035.5,110.7,171.9,59.1,952.6,983.3,1076.4,279.5,1211.9,397.5,191.0,843.6,313.7,1229.4,241.3,945.4,316.1,1053.5,892.8,101.1,580.8,963.5,1091.6,1023.1,280.6,255.9,431.3,269.7,965.0,1002.0,1090.2,229.8,323.6,233.1,444.8,466.9,310.3,284.5,130.3,392.1,183.2,478.9,454.4,403.0,217.5,507.7,1039.5,464.2,164.1,437.6,97.7,1171.0,656.5,323.7,69.0,106.3,1252.2,990.6,993.9,491.6,922.1,1290.9,1601.3,293.7,1227.9,1252.2,1112.7,1222.5,387.7,454.4,943.9,371.4,903.2,1042.5,1195.8,1044.6
JZ,1208.2,212.1,197.4,226.7,947.7,1366.0,1363.1,371.5,266.0,392.0,381.6,1276.4,489.3,374.6,984.1,394.3,191.4,998.6,830.1,379.1,177.7,1194.2,137.9,983.7,1055.8,1198.6,922.0,306.1,173.5,289.7,264.3,274.9,448.7,361.2,889.8,350.7,1358.1,901.4,508.3,38.8,559.1,937.8,917.9,156.9,1310.5,981.3,1087.5,1179.3,1212.7,459.5,989.7,396.7,169.2,308.2,1341.7,522.5,828.9,846.3,132.7,195.9,0.0,1364.3,405.9,474.5,247.4,903.3,156.6,366.4,290.5,156.9,840.3,351.3,121.8,1326.8,863.2,396.9,510.7,131.0,530.9,428.5,216.2,1346.4,207.2,906.1,992.2,964.8,966.2,1221.4,623.2,511.4,408.4,1429.1,244.7,329.6,862.4,664.5,1124.1,1103.4,179.4,1325.9,1198.9,182.8,354.5,980.5,147.1,228.6,168.8,897.6,928.3,1021.4,206.5,1250.6,304.5,229.7,788.6,258.7,1329.4,189.7,890.4,261.1,998.5,837.8,210.8,525.8,908.5,1205.1,1072.3,337.3,204.3,376.3,214.7,910.0,947.0,1035.2,86.2,268.6,269.5,400.6,411.9,258.7,229.5,75.3,337.1,128.2,423.9,361.4,348.0,253.9,445.5,984.5,402.0,200.5,375.4,134.1,1209.7,601.5,238.7,123.4,148.5,1365.7,1039.8,938.9,436.6,867.1,1370.9,1637.7,220.7,1341.4,1365.7,1226.2,1336.0,294.7,399.4,888.9,327.2,848.2,987.5,1234.5,989.6
KC,399.0,1016.5,1037.4,1031.8,527.5,185.0,216.0,1167.2,1199.8,1084.5,1125.8,491.5,890.5,1067.1,519.9,962.6,1035.6,578.4,559.9,1151.5,1030.5,409.3,1096.9,490.5,397.5,364.7,746.2,948.0,1071.6,1088.4,1253.0,1073.5,1204.8,1152.1,714.0,1056.3,192.9,725.6,943.2,1164.2,863.3,762.0,742.1,1063.3,256.7,426.8,380.4,394.4,427.8,1061.7,502.4,1161.3,1201.4,1079.6,112.5,909.4,577.9,670.5,1145.3,1173.3,1186.1,0.0,1067.4,1218.7,1313.3,727.5,1078.2,1058.9,1197.1,1088.2,643.5,1147.0,1098.4,92.5,687.4,1089.4,1203.2,1163.4,901.0,1050.2,1201.7,201.7,1020.5,730.3,414.3,544.6,473.0,436.5,865.0,946.3,1030.1,375.3,993.2,910.1,686.6,796.9,399.0,378.3,1334.9,314.3,414.0,1020.1,1197.1,429.3,1071.8,975.6,1076.3,721.8,508.1,441.6,1061.8,150.4,1184.4,939.9,612.8,1104.9,100.2,1027.0,714.6,1160.2,578.3,662.0,1034.3,958.8,732.7,420.2,425.5,1084.3,1041.6,1034.2,1205.7,737.8,771.2,455.4,1219.8,1175.2,967.8,1093.1,1033.6,1128.5,1239.4,1146.8,1129.1,1242.4,957.1,1190.2,1138.9,984.4,1083.1,564.3,996.2,1027.2,979.8,1085.1,167.9,875.3,1278.6,1136.0,1141.4,248.6,376.2,763.1,1098.1,717.8,54.7,1563.5,1076.0,287.6,185.2,441.3,306.3,1174.6,1080.5,713.1,1061.7,711.4,397.9,174.0,515.7
