from_stop,AG,AK,AL,AM,AN,AO,AS,AT,BA,BK,BM,BP,BV,BY,CE,CF,CG,CI,DC,DE,DH,DP,DT,DV,EK,ES,EY,FC,FD,FE,FH,FO,FP,FQ,FW,GD,GI,GJ,GW,HE,HG,HT,HU,HZ,IB,IF,IJ,IO,IR,IW,JE,JF,JI,JJ,JP,JX,JZ,KF,KL,KN,KY,KZ,LA,LE,LI,LJ,LO,LW,MC,ME,MI,MN,MR,MT,NB,NG,NI,OC,OP,OV,PB,PJ,PR,PT,PZ,QC,QF,QJ,QK,QL,QQ,QR,QS,QT,RG,RI,RP,RQ,RR,RT,SH,SM,SX,SY,TO,TQ,TR,TX,UF,UH,UL,UN,UQ,UR,UU,VB,VF,VG,VH,VP,VW,WA,WF,WJ,WS,WU,WV,WX,XI,XK,XO,XP,XQ,XW,YG,YJ,YR,YV,YW,ZC,ZK,ZS,ZT,ZY
BM,776.9,716.3,484.5,666.2,485.0,673.1,527.8,230.6,544.1,1526.7,0.0,395.6,414.9,177.4,251.9,786.7,714.3,587.7,621.5,468.0,850.6,552.6,382.3,434.8,623.2,676.7,231.7,250.7,701.3,304.1,507.1,668.1,832.5,694.4,669.1,722.8,205.2,728.2,660.8,145.9,227.3,496.1,719.4,275.9,248.7,805.5,403.9,225.4,476.0,194.9,434.4,277.3,258.6,435.3,498.2,736.6,619.2,798.3,642.1,710.6,211.5,664.7,695.6,697.9,508.5,225.3,766.1,437.9,449.1,840.3,574.9,752.6,565.5,464.1,211.4,289.7,445.1,790.2,701.7,460.6,707.3,584.6,244.7,578.0,32.7,387.5,634.8,244.3,623.3,353.4,613.0,767.8,602.8,274.3,522.7,633.2,678.0,279.9,244.4,542.3,617.8,78.0,497.0,655.7,234.2,834.9,823.1,274.5,705.4,659.8,819.8,413.3,690.3,540.4,451.4,233.7,568.2,802.2,261.2,790.2,828.0,458.4,245.8,203.2,808.1,494.9,147.2,503.6,494.8,185.8,726.3,224.2,594.3,775.3,560.3,693.1,113.4,616.2,724.2,517.8,624.3,168.2,189.7,209.3
BP,779.1,718.5,486.7,434.3,142.5,438.3,256.4,399.3,551.1,1526.1,468.7,0.0,19.2,344.2,420.6,788.9,716.5,589.9,386.7,470.2,852.8,281.2,110.9,437.0,625.4,678.9,345.7,364.7,703.5,472.8,235.7,670.3,834.7,459.6,671.3,725.0,390.6,493.4,663.0,378.2,472.1,61.7,484.6,379.1,313.3,807.7,406.1,352.1,182.6,366.7,72.6,446.0,323.2,213.0,226.8,501.8,384.4,800.5,640.9,479.4,376.9,666.9,697.8,700.1,112.1,273.4,768.3,190.9,181.8,842.5,303.5,755.7,294.1,466.3,338.5,458.4,173.7,790.2,703.9,462.8,709.5,586.8,371.4,580.2,436.0,168.0,363.4,308.9,351.9,418.0,615.2,770.0,338.0,443.0,120.8,635.4,680.2,344.5,309.0,609.2,346.4,395.4,499.7,420.9,348.2,842.0,825.3,401.2,707.6,459.6,822.0,141.9,692.5,542.6,453.6,327.1,570.4,799.6,320.1,792.4,830.2,187.0,341.5,317.2,810.3,93.6,314.0,51.2,497.0,299.8,491.5,350.9,322.9,777.5,325.5,695.3,402.3,443.8,726.4,520.0,634.0,397.4,296.4,336.3
BV,798.4,737.8,506.0,450.7,135.8,457.6,275.7,418.6,570.4,1506.8,488.0,19.2,0.0,363.5,439.9,808.2,735.8,609.2,406.0,489.5,872.1,287.3,130.2,456.3,644.7,698.2,365.0,384.0,722.8,492.1,254.0,689.6,854.0,478.9,690.6,744.3,409.9,512.7,682.3,397.5,491.4,42.4,503.9,398.4,332.6,827.0,425.4,371.4,163.3,386.0,80.8,465.3,342.5,193.7,232.9,521.1,403.7,819.8,660.2,498.7,396.2,686.2,717.1,719.4,92.8,292.7,787.6,171.6,162.5,861.8,322.8,775.0,313.4,485.6,357.8,477.7,193.0,809.5,723.2,482.1,728.8,606.1,390.7,599.5,455.3,187.3,382.7,328.2,371.2,437.3,634.5,789.3,357.3,462.3,101.5,654.7,699.5,363.8,328.3,589.9,365.7,414.7,519.0,440.2,367.5,861.3,844.6,420.5,726.9,478.9,841.3,161.2,711.8,561.9,472.9,346.4,589.7,818.9,339.4,811.7,849.5,206.3,360.8,336.5,829.6,86.9,333.3,31.9,516.3,319.1,510.8,370.2,342.2,796.8,344.8,714.6,421.6,463.1,745.7,627.1,653.3,416.7,315.7,355.6
BY,707.3,646.7,414.9,624.5,415.4,628.5,458.2,212.2,479.3,1457.1,226.2,344.4,363.7,0.0,233.5,717.1,644.7,518.1,576.9,398.4,781.0,483.0,312.7,365.2,553.6,607.1,208.5,249.8,631.7,285.7,437.5,598.5,762.9,649.8,599.5,653.2,279.5,683.6,591.2,267.1,361.0,385.8,674.8,257.5,204.1,735.9,334.3,207.0,424.8,22.4,426.8,258.9,214.0,384.1,428.6,692.0,574.6,728.7,569.1,669.6,265.8,595.1,626.0,628.3,406.7,155.7,696.5,368.3,379.5,770.7,505.3,683.9,495.9,394.5,193.4,271.3,375.5,718.4,632.1,391.0,637.7,515.0,226.3,508.4,193.5,336.3,565.2,199.7,553.7,346.2,543.4,698.2,539.8,255.9,415.4,563.6,608.4,237.8,199.8,472.7,548.2,284.3,427.9,611.1,233.3,770.2,753.5,256.1,635.8,653.7,750.2,343.7,620.7,470.8,381.8,215.3,498.6,727.8,210.9,720.6,758.4,388.8,227.4,177.6,738.5,387.6,40.2,396.3,425.2,195.0,681.7,205.8,524.7,705.7,515.7,623.5,106.2,601.2,654.6,448.2,562.2,78.3,120.1,227.1
CE,791.9,731.3,499.5,489.1,413.5,496.0,362.8,42.0,563.9,1541.7,239.6,389.6,395.3,192.4,0.0,801.7,729.3,602.7,444.4,483.0,865.6,439.8,307.7,449.8,638.2,691.7,152.2,140.9,716.3,52.1,394.3,683.1,847.5,517.3,684.1,737.8,197.1,551.1,675.8,184.7,278.6,362.8,542.3,133.0,134.5,820.5,418.9,117.9,454.2,214.9,403.8,25.3,143.1,412.0,385.4,559.5,442.1,813.3,653.7,537.1,183.4,679.7,710.6,712.9,383.7,240.3,781.1,387.9,399.1,855.3,409.9,768.5,400.5,479.1,104.3,37.7,332.3,803.0,716.7,475.6,722.3,599.6,101.8,593.0,206.9,364.2,469.8,178.4,458.3,430.8,628.0,782.8,444.4,22.3,392.4,648.2,693.0,113.3,138.8,557.3,452.8,210.5,512.5,478.6,154.7,854.8,838.1,57.4,720.4,547.2,834.8,338.7,705.3,555.4,466.4,90.8,583.2,812.4,189.6,805.2,843.0,345.6,102.9,123.7,823.1,364.6,162.2,373.3,509.8,106.3,549.2,81.3,429.3,790.3,383.2,708.1,190.8,501.5,739.2,532.8,646.8,245.6,204.7,205.8
CF,384.0,337.8,470.6,1025.7,818.5,1061.2,861.3,856.8,411.9,1494.4,800.1,747.5,766.8,701.7,878.1,0.0,327.2,450.7,1009.6,588.7,63.8,886.1,715.8,555.5,486.2,379.6,792.5,803.9,404.2,930.3,840.6,441.5,45.7,1051.0,282.0,438.7,841.9,1084.8,401.1,782.6,864.0,788.9,1076.0,831.4,778.0,105.1,673.8,780.9,827.9,724.2,829.9,903.5,787.9,787.2,831.7,1093.2,1002.4,405.4,370.0,1067.2,823.7,367.6,398.5,398.6,809.8,665.9,373.2,763.1,774.3,433.6,908.4,397.2,899.0,564.8,766.9,893.2,778.6,429.4,308.8,666.8,423.2,448.6,800.2,550.9,767.4,739.4,968.3,773.6,956.8,622.0,577.9,374.9,936.3,900.5,818.5,390.4,372.5,811.7,773.7,551.4,951.3,795.8,703.2,1027.8,795.0,449.3,379.6,873.5,408.3,1016.9,459.0,746.8,380.8,436.5,657.6,789.2,471.3,441.4,784.8,89.8,467.2,791.9,801.3,764.0,447.3,790.7,671.5,799.4,701.0,746.6,1083.3,779.7,927.8,12.2,940.1,356.6,682.4,1004.3,427.1,521.9,381.5,754.9,681.2,801.0
CG,208.7,144.2,365.9,1032.3,825.1,1067.8,867.9,863.4,307.2,1501.0,806.7,754.1,773.4,708.3,884.7,374.4,0.0,346.0,1016.2,484.0,438.3,892.7,722.4,450.8,381.5,186.0,799.1,810.5,210.6,936.9,847.2,247.9,420.2,1057.6,146.2,245.1,848.5,1091.4,207.5,789.2,870.6,795.5,1082.6,838.0,784.6,393.2,533.9,787.5,834.5,730.8,836.5,910.1,794.5,793.8,838.3,1099.8,1009.0,229.8,176.4,1073.8,830.3,174.0,204.9,157.0,816.4,672.5,197.6,769.7,780.9,258.0,915.0,211.1,905.6,460.1,773.5,899.8,785.2,312.5,254.2,562.1,229.6,379.6,806.8,446.2,774.0,746.0,974.9,780.2,963.4,517.3,473.2,236.0,949.5,907.1,825.1,320.1,267.8,818.3,780.3,446.7,957.9,776.5,598.5,1034.4,801.6,273.7,274.1,880.1,214.7,1024.1,342.1,753.4,187.2,331.8,552.9,795.8,402.3,324.5,797.1,377.9,350.3,798.5,807.9,770.6,330.4,797.3,678.1,806.0,596.3,753.2,1089.9,786.3,934.4,363.0,946.7,251.9,689.0,1010.9,233.5,417.2,259.3,761.5,687.8,807.6
CI,392.5,292.0,141.5,840.4,633.2,875.9,676.0,600.8,46.8,1527.7,614.8,562.2,581.5,516.4,622.1,464.5,290.0,0.0,824.3,259.6,528.4,700.8,530.5,226.4,35.5,252.4,607.2,618.6,277.0,674.3,655.3,277.9,510.3,865.7,244.8,321.9,656.6,899.5,257.8,604.8,678.7,603.6,890.7,646.1,592.7,483.3,309.5,595.6,660.2,538.9,644.6,647.5,602.6,601.2,646.4,907.9,817.1,413.9,214.4,885.5,638.4,240.4,271.3,273.6,624.5,480.6,381.7,574.9,586.1,438.8,723.1,329.2,713.7,235.7,582.0,659.9,593.3,386.5,150.5,337.7,320.6,198.9,614.9,190.4,582.1,554.1,783.0,588.3,771.5,292.9,217.4,383.4,757.6,644.5,620.4,76.7,121.5,626.4,588.4,222.3,766.0,585.7,374.6,842.5,609.7,438.3,398.8,644.7,281.1,834.8,418.3,561.5,303.6,107.4,328.5,603.9,143.9,395.9,599.5,468.0,426.5,606.6,616.0,578.7,406.6,605.4,486.2,614.1,371.9,561.3,898.0,594.4,742.5,453.1,754.8,136.6,497.1,819.0,299.9,192.8,226.5,569.6,495.9,615.7
DC,959.5,898.9,667.1,130.7,305.5,137.6,175.6,422.0,731.5,1709.3,575.9,361.9,367.6,524.6,443.3,969.3,896.9,770.3,0.0,650.6,1033.2,343.6,280.0,617.4,805.8,859.3,456.6,475.6,883.9,495.5,298.1,850.7,1015.1,158.9,851.7,905.4,501.5,192.7,843.4,489.1,583.0,335.1,183.9,490.0,424.2,988.1,586.5,454.2,426.5,547.1,376.1,468.7,434.1,456.9,289.2,199.5,30.8,980.9,821.3,178.7,487.8,847.3,878.2,880.5,356.0,453.8,948.7,434.8,425.7,1022.9,232.1,936.1,192.7,646.7,440.6,458.4,236.1,970.6,884.3,643.2,889.9,767.2,482.3,760.6,543.2,439.6,153.8,419.8,366.9,598.4,795.6,950.4,353.0,465.7,364.7,815.8,860.6,455.4,419.9,724.9,361.4,506.3,680.1,50.6,459.1,1022.4,1005.7,438.7,888.0,158.9,1002.4,278.1,872.9,723.0,634.0,433.2,750.8,980.0,431.0,972.8,1010.6,249.4,447.6,428.1,990.7,336.9,494.4,345.6,677.4,410.7,172.8,461.8,234.0,957.9,91.4,875.7,527.1,143.1,906.8,700.4,814.4,577.8,476.8,447.2
DE,446.7,382.2,150.4,738.4,534.1,776.8,576.9,501.7,214.8,1428.6,515.7,463.1,482.4,417.3,523.0,581.2,380.2,253.6,725.2,0.0,645.1,601.7,431.4,24.6,289.1,342.6,508.1,519.5,367.2,575.2,556.2,334.0,627.0,766.6,335.0,388.7,557.5,800.4,326.7,505.7,579.6,504.5,791.6,547.0,493.6,600.0,210.4,496.5,543.5,439.8,545.5,548.4,503.5,502.8,547.3,808.8,718.0,476.4,304.6,786.4,539.3,330.6,361.5,363.8,525.4,381.5,444.2,478.7,489.9,506.2,624.0,419.4,614.6,130.0,482.9,560.8,494.2,453.9,368.9,293.3,373.2,250.5,515.8,243.9,483.0,455.0,683.9,489.2,672.4,248.5,278.9,443.4,658.5,545.4,534.1,299.1,343.9,527.3,489.3,220.9,666.9,486.6,330.2,743.4,510.6,505.7,489.0,545.6,371.3,735.7,485.7,462.4,356.2,206.3,284.1,504.8,234.1,463.3,500.4,584.7,493.9,507.5,516.9,479.6,474.0,506.3,387.1,515.0,327.5,462.2,798.9,495.3,643.4,569.8,655.7,359.0,398.0,719.9,390.1,183.7,297.7,470.5,396.8,516.6
DH,443.8,397.6,530.4,1082.6,878.3,1121.0,921.1,916.6,471.7,1554.2,859.9,807.3,826.6,761.5,937.9,73.7,387.0,510.5,1069.4,648.5,0.0,945.9,775.6,615.3,546.0,439.4,852.3,863.7,464.0,990.1,900.4,501.3,18.1,1110.8,341.8,498.5,901.7,1144.6,460.9,849.9,923.8,848.7,1135.8,891.2,837.8,45.9,733.6,840.7,887.7,784.0,889.7,963.3,847.7,847.0,891.5,1153.0,1062.2,465.2,432.7,1130.6,883.5,427.4,458.3,414.8,869.6,725.7,433.0,822.9,834.1,493.4,968.2,457.0,958.8,624.6,827.1,953.0,838.4,487.0,368.6,726.6,483.0,508.4,860.0,610.7,827.2,799.2,1028.1,833.4,1016.6,681.8,637.7,434.7,1002.7,960.3,878.3,450.2,432.3,871.5,833.5,611.2,1011.1,830.8,763.5,1087.6,854.8,504.2,395.8,933.3,468.1,1079.9,518.8,806.6,440.6,496.3,717.4,849.0,531.1,496.4,844.6,59.1,527.0,851.7,861.1,823.8,507.1,850.5,731.3,859.2,760.8,806.4,1143.1,839.5,987.6,86.0,999.9,416.4,742.2,1064.1,486.9,581.7,448.8,814.7,741.0,860.8
DP,893.7,833.1,601.3,386.6,145.0,434.3,225.1,410.7,665.7,1603.4,557.2,298.0,278.7,458.8,432.0,903.5,831.1,704.5,404.2,584.8,967.4,0.0,278.9,551.6,740.0,793.5,445.3,464.3,818.1,484.2,129.8,784.9,949.3,414.8,785.9,839.6,490.2,448.6,777.6,477.8,571.7,246.2,439.8,478.7,412.9,922.3,520.7,442.9,298.9,481.3,290.7,457.4,422.8,329.3,55.3,457.0,366.2,915.1,755.5,434.6,476.5,781.5,812.4,814.7,238.4,388.0,882.9,317.2,308.1,957.1,272.2,870.3,262.8,580.9,429.3,447.1,96.1,904.8,818.5,577.4,824.1,701.4,471.0,694.8,524.5,378.2,332.1,408.5,320.6,532.6,729.8,884.6,306.7,454.4,259.1,750.0,794.8,444.1,408.6,686.5,315.1,495.0,614.3,391.6,447.8,956.6,939.9,427.4,822.2,383.9,936.6,231.2,807.1,657.2,568.2,421.9,685.0,914.2,419.7,907.0,944.8,84.2,436.3,416.8,924.9,199.1,428.6,256.7,611.6,399.4,447.1,450.5,291.6,892.1,303.9,809.9,515.8,368.1,841.0,723.7,748.6,512.0,411.0,435.9
