from_stop,AF,AI,AK,AM,AQ,AT,BE,BO,BV,BZ,CC,CE,CL,CO,CP,DB,DK,DN,DQ,DR,DW,EB,EF,EI,EJ,EN,EP,ET,FF,FJ,FL,FO,FQ,FR,FT,FW,FX,FZ,GD,GG,GI,GK,GR,GT,GV,HA,HB,HD,HG,HH,HO,HP,HT,IF,IS,IT,IY,IZ,JE,JM,JP,JS,JV,KB,KC,KE,KH,KI,KL,KN,KO,KP,KQ,KR,KS,KZ,LC,LU,ME,MH,ML,MW,NB,NK,NO,NT,NU,NX,NZ,OE,OG,OK,OR,PA,PC,PD,PE,PG,PN,PP,QD,QE,QH,QY,RD,RN,RY,SB,SJ,SL,SQ,SU,SX,TE,TL,TN,TO,TS,TY,UL,UM,UO,UV,VA,VF,VR,VV,VW,VX,WA,WE,WJ,WN,WR,WW,WY,XC,XI,XK,XO,YE,YF,YI,YJ,YT,YX,YY,ZE,ZI,ZT
CC,636.1,329.7,647.2,1859.2,107.3,580.9,1894.2,566.9,265.6,1916.9,0.0,592.2,1893.6,728.6,623.3,540.0,470.5,632.9,1906.3,362.8,281.9,603.6,253.9,1896.1,207.3,673.2,74.1,291.1,243.4,518.7,203.1,486.2,405.5,626.6,488.0,1916.4,736.9,663.8,465.8,749.7,335.3,1953.1,494.9,406.1,636.7,1909.0,602.8,1899.3,461.1,69.1,548.6,501.4,429.8,416.7,653.5,291.6,638.7,387.8,141.0,104.9,1860.8,1857.9,287.7,383.6,1800.3,680.1,146.1,1897.9,579.5,719.3,614.5,296.4,1914.8,1943.4,602.8,1872.7,1913.3,1822.8,561.5,507.2,1921.9,181.3,118.7,1654.2,172.7,749.3,684.6,602.6,662.6,367.3,395.8,648.6,1886.3,1902.8,424.7,630.8,637.7,383.3,1842.6,627.8,663.4,1882.9,354.1,616.7,295.1,1919.7,1827.6,1896.2,454.7,33.8,1916.4,486.9,647.7,128.5,668.7,1805.9,583.0,354.7,395.5,276.8,486.9,1890.5,36.6,123.3,292.3,761.0,632.8,1864.7,367.2,681.4,692.8,1930.2,1871.8,565.6,363.0,52.3,448.1,261.3,1839.5,706.2,385.4,606.2,405.4,622.9,633.5,629.3,587.8,447.2,1942.2,551.8
CE,235.0,954.2,360.5,1476.1,731.8,294.2,1511.1,34.1,348.0,1533.8,624.4,0.0,1510.5,441.9,336.6,547.8,557.2,346.2,1523.2,987.3,906.4,316.9,878.4,1513.0,406.6,386.5,660.9,507.6,867.9,232.0,410.4,494.0,1030.0,339.9,201.3,1533.3,450.2,276.5,644.5,344.8,492.1,1570.0,502.7,767.5,350.0,1525.9,29.0,1516.2,468.9,555.2,50.4,214.7,608.5,595.4,366.8,916.1,237.6,255.9,483.3,519.4,1477.7,1474.8,373.0,1008.1,1417.2,393.4,478.2,1514.8,292.8,432.6,327.8,512.9,1531.7,1560.3,201.7,1489.6,1530.2,1439.7,160.4,220.5,1538.8,433.0,705.5,1676.2,441.6,320.7,397.9,10.4,375.9,728.7,757.2,361.9,1503.2,1519.7,786.1,344.1,351.0,562.0,1459.5,341.1,376.7,1499.8,715.5,330.0,919.6,1536.6,1444.5,1513.1,816.1,658.3,1533.3,494.7,361.0,715.3,271.9,1422.8,296.3,979.2,1020.0,493.3,200.2,1507.4,661.1,561.9,916.8,346.8,346.1,1481.6,991.7,394.7,406.1,1547.1,1488.7,60.9,724.4,572.0,626.8,477.8,1456.4,419.5,472.1,32.4,1029.9,336.2,232.4,342.6,301.1,1071.7,1559.1,150.7
CL,1409.9,2161.8,1566.4,109.0,1939.4,1519.8,0.6,1420.9,1555.6,37.3,1832.0,1424.6,0.0,1570.1,1562.2,1755.4,1764.8,1571.8,250.8,2194.9,2114.0,1542.5,2086.0,103.9,1614.2,1540.4,1868.5,1715.2,2075.5,1457.6,1618.0,1701.6,2237.6,1565.5,1426.9,149.1,1675.8,1488.3,1852.1,1556.6,1699.7,162.4,1710.3,1970.3,1575.6,166.0,1435.2,107.1,1676.5,1762.8,1437.2,1440.3,1816.1,1803.0,1592.4,2123.7,1397.7,1463.5,1690.9,1727.0,146.7,250.0,1580.6,2215.7,127.8,1533.5,1685.8,20.4,1518.4,1658.2,1553.4,1720.5,259.3,200.4,1415.3,112.2,121.1,203.8,1336.3,1446.1,129.7,1640.6,1913.1,2064.3,1649.2,1532.5,1623.5,1435.0,1601.5,1931.5,1960.0,1587.5,238.1,211.9,1988.9,1569.7,1576.6,1769.6,82.1,1564.8,1597.6,227.4,1918.3,1555.6,2127.2,182.7,208.6,240.7,2018.9,1865.9,173.4,1702.3,1586.6,1922.9,1483.7,186.9,1521.9,2186.8,2227.6,1700.9,1425.8,282.6,1868.7,1769.5,2124.4,1558.6,1571.7,72.5,2199.3,1525.2,1631.7,187.2,21.7,1383.1,1927.2,1779.6,1834.4,1685.4,89.3,1645.1,1679.7,1438.6,2237.5,1561.8,1392.5,1523.5,1526.7,2279.3,199.2,1344.6
CO,149.2,1054.6,58.7,1532.1,832.2,145.0,1567.1,298.0,448.4,1589.8,724.8,301.7,1566.5,0.0,201.9,648.2,657.6,115.1,1579.2,1087.7,1006.8,112.3,978.8,1569.0,507.0,32.7,761.3,608.0,968.3,197.2,510.8,594.4,1130.4,79.3,265.4,1589.3,226.4,112.8,744.9,103.5,592.5,1626.0,603.1,867.9,69.2,1581.9,312.3,1572.2,569.3,655.6,314.3,214.5,708.9,695.8,135.7,1016.5,164.0,356.3,583.7,619.8,1533.7,1530.8,473.4,1108.5,1473.2,25.8,578.6,1570.8,148.7,208.8,96.7,613.3,1587.7,1616.3,128.2,1545.6,1586.2,1495.7,231.4,208.7,1594.8,533.4,805.9,1791.1,542.0,177.0,213.2,312.1,192.0,829.1,857.6,130.8,1559.2,1575.7,886.5,113.0,119.9,662.4,1515.5,189.3,144.5,1555.8,815.9,195.3,1020.0,1592.6,1500.5,1569.1,916.5,758.7,1589.3,595.1,185.2,815.7,108.2,1478.8,145.2,1079.6,1120.4,593.7,229.0,1563.4,761.5,662.3,1017.2,105.5,200.1,1537.6,1092.1,149.7,205.0,1603.1,1544.7,260.2,824.8,672.4,727.2,578.2,1512.4,235.6,572.5,315.7,1130.3,212.0,176.5,148.0,140.4,1172.1,1615.1,181.5
CP,273.6,941.9,130.8,1604.0,719.5,66.8,1639.0,293.7,335.7,1661.7,612.1,319.0,1638.4,212.2,0.0,535.5,544.9,116.5,1651.1,975.0,894.1,87.2,866.1,1640.9,394.3,156.8,648.6,495.3,855.6,84.5,398.1,481.7,1017.7,110.2,152.7,1661.2,196.1,195.3,632.2,233.3,479.8,1697.9,490.4,755.2,120.3,1653.8,329.6,1644.1,456.6,542.9,275.4,101.8,596.2,583.1,137.1,903.8,285.8,243.6,471.0,507.1,1605.6,1602.7,360.7,995.8,1545.1,163.7,465.9,1642.7,105.5,178.5,98.1,500.6,1659.6,1688.2,250.0,1617.5,1658.1,1567.6,353.2,96.0,1666.7,420.7,693.2,1811.6,429.3,280.8,143.8,329.4,121.8,716.4,744.9,132.2,1631.1,1647.6,773.8,114.4,121.3,549.7,1587.4,159.3,147.0,1627.7,703.2,6.5,907.3,1664.5,1572.4,1641.0,803.8,646.0,1661.2,482.4,24.4,703.0,200.2,1550.7,102.0,966.9,1007.7,481.0,116.3,1635.3,648.8,549.6,904.5,235.3,9.5,1609.5,979.4,212.9,152.0,1675.0,1616.6,322.6,712.1,559.7,614.5,465.5,1584.3,165.4,459.8,333.0,1017.6,154.4,298.3,160.8,97.2,1059.4,1687.0,303.3
DB,571.5,837.2,580.0,1792.0,614.8,513.7,1827.0,499.7,271.1,1849.7,507.4,525.0,1826.4,661.4,556.1,0.0,237.4,565.7,1839.1,870.3,789.4,536.4,761.4,1828.9,326.8,606.0,543.9,271.6,750.9,451.5,322.6,74.6,913.0,559.4,420.8,1849.2,669.7,596.6,324.7,682.5,172.3,1885.9,83.3,801.9,569.5,1841.8,535.6,1832.1,91.0,438.2,481.4,434.2,288.7,275.6,586.3,799.1,571.5,320.6,366.3,402.4,1793.6,1790.7,296.1,891.1,1733.1,612.9,361.2,1830.7,512.3,652.1,547.3,305.1,1847.6,1876.2,535.6,1805.5,1846.1,1755.6,494.3,440.0,1854.7,316.0,588.5,1897.9,324.6,682.1,617.4,535.4,595.4,763.1,791.6,581.4,1819.1,1835.6,820.5,563.6,570.5,242.2,1775.4,560.6,596.2,1815.7,749.9,549.5,802.6,1852.5,1760.4,1829.0,850.5,541.3,1849.2,65.2,580.5,598.3,601.5,1738.7,515.8,862.2,903.0,334.3,419.7,1823.3,544.1,444.9,799.8,684.5,565.6,1797.5,874.7,614.2,625.6,1863.0,1804.6,497.9,758.8,455.0,307.0,246.3,1772.3,639.0,152.3,539.0,912.9,555.7,566.3,562.1,520.6,954.7,1875.0,484.6
DK,580.2,769.6,591.3,1803.3,547.2,525.0,1838.3,511.0,282.4,1861.0,439.8,536.3,1837.7,672.7,567.4,259.3,0.0,577.0,1850.4,802.7,721.8,547.7,693.8,1840.2,259.2,617.3,476.3,204.0,683.3,462.8,255.0,205.5,845.4,570.7,432.1,1860.5,681.0,607.9,257.1,693.8,104.7,1897.2,214.2,813.2,580.8,1853.1,546.9,1843.4,180.4,370.6,492.7,445.5,221.1,208.0,597.6,731.5,582.8,331.9,298.7,334.8,1804.9,1802.0,307.4,823.5,1744.4,624.2,293.6,1842.0,523.6,663.4,558.6,237.5,1858.9,1887.5,546.9,1816.8,1857.4,1766.9,505.6,451.3,1866.0,248.4,520.9,1909.2,257.0,693.4,628.7,546.7,606.7,774.4,802.9,592.7,1830.4,1846.9,831.8,574.9,581.8,174.6,1786.7,571.9,607.5,1827.0,761.2,560.8,735.0,1863.8,1771.7,1840.3,861.8,473.7,1860.5,206.2,591.8,530.7,612.8,1750.0,527.1,794.6,835.4,266.7,431.0,1834.6,476.5,377.3,732.2,705.1,576.9,1808.8,807.1,625.5,636.9,1874.3,1815.9,509.7,770.1,387.4,239.4,178.7,1783.6,650.3,65.9,550.3,845.3,567.0,577.6,573.4,531.9,887.1,1886.3,495.9
DN,217.1,971.5,66.3,1597.4,749.1,61.9,1632.4,323.3,365.3,1655.1,641.7,348.6,1631.8,147.7,118.8,565.1,574.5,0.0,1644.5,1004.6,923.7,29.2,895.7,1634.3,423.9,92.3,678.2,524.9,885.2,114.1,427.7,511.3,1047.3,45.7,182.3,1654.6,111.2,178.1,661.8,168.8,509.4,1691.3,520.0,784.8,55.8,1647.2,359.2,1637.5,486.2,572.5,305.0,131.4,625.8,612.7,45.6,933.4,229.3,273.2,500.6,536.7,1599.0,1596.1,390.3,1025.4,1538.5,99.2,495.5,1636.1,65.6,93.6,18.3,530.2,1653.0,1681.6,193.5,1610.9,1651.5,1561.0,296.7,125.6,1660.1,450.3,722.8,1841.2,458.9,242.3,98.0,359.0,108.9,746.0,774.5,15.6,1624.5,1641.0,803.4,2.0,4.8,579.3,1580.8,151.0,55.5,1621.1,732.8,112.2,936.9,1657.9,1565.8,1634.4,833.4,675.6,1654.6,512.0,102.1,732.6,173.5,1544.1,62.1,996.5,1037.3,510.6,145.9,1628.7,678.4,579.2,934.1,170.8,117.0,1602.9,1009.0,204.6,89.8,1668.4,1610.0,325.5,741.7,589.3,644.1,495.1,1577.7,140.5,489.4,362.6,1047.2,146.1,241.8,152.5,57.3,1089.0,1680.4,246.8
DQ,1393.0,2144.9,1549.5,262.8,1922.5,1502.9,235.8,1404.0,1538.7,258.5,1815.1,1407.7,235.2,1553.2,1545.3,1738.5,1747.9,1554.9,0.0,2178.0,2097.1,1525.6,2069.1,253.9,1597.3,1523.5,1851.6,1698.3,2058.6,1440.7,1601.1,1684.7,2220.7,1548.6,1410.0,245.4,1658.9,1471.4,1835.2,1539.7,1682.8,258.7,1693.4,1953.4,1558.7,262.3,1418.3,207.6,1659.6,1745.9,1420.3,1423.4,1799.2,1786.1,1575.5,2106.8,1380.8,1446.6,1674.0,1710.1,232.7,173.6,1563.7,2198.8,281.6,1516.6,1668.9,220.9,1501.5,1641.3,1536.5,1703.6,38.8,296.7,1398.4,266.0,217.4,313.5,1319.4,1429.2,226.0,1623.7,1896.2,2047.4,1632.3,1515.6,1606.6,1418.1,1584.6,1914.6,1943.1,1570.6,324.1,297.9,1972.0,1552.8,1559.7,1752.7,235.9,1547.9,1580.7,60.3,1901.4,1538.7,2110.3,256.8,318.3,56.8,2002.0,1849.0,269.7,1685.4,1569.7,1906.0,1466.8,338.4,1505.0,2169.9,2210.7,1684.0,1408.9,206.2,1851.8,1752.6,2107.5,1541.7,1554.8,172.5,2182.4,1508.3,1614.8,283.5,213.4,1366.7,1910.3,1762.7,1817.5,1668.5,243.1,1628.2,1662.8,1421.7,2220.6,1544.9,1375.6,1506.6,1509.8,2262.4,295.5,1327.7
DR,995.8,34.7,1004.3,2217.8,256.0,938.0,2252.8,924.0,622.7,2275.5,357.0,949.3,2252.2,1085.7,980.4,897.1,827.6,990.0,2264.9,0.0,87.5,960.7,132.5,2254.7,564.4,1030.3,431.2,648.2,124.0,875.8,560.2,843.3,59.4,983.7,845.1,2275.0,1094.0,1020.9,822.9,1106.8,692.4,2311.7,852.0,414.5,993.8,2267.6,959.9,2257.9,818.2,426.2,905.7,858.5,786.9,773.8,1010.6,99.5,995.8,744.9,498.1,462.0,2219.4,2216.5,644.8,191.5,2158.9,1037.2,503.2,2256.5,936.6,1076.4,971.6,653.5,2273.4,2302.0,959.9,2231.3,2271.9,2181.4,918.6,864.3,2280.5,538.4,475.8,1662.6,529.8,1106.4,1041.7,959.7,1019.7,375.7,404.2,1005.7,2244.9,2261.4,433.1,987.9,994.8,740.4,2201.2,984.9,1020.5,2241.5,362.5,973.8,103.0,2278.3,2186.2,2254.8,463.1,350.6,2275.0,844.0,1004.8,485.6,1025.8,2164.5,940.1,162.6,49.4,633.9,844.0,2249.1,320.3,480.4,72.2,1108.8,989.9,2223.3,21.1,1038.5,1049.9,2288.8,2230.4,922.2,371.4,409.4,805.2,618.4,2198.1,1063.3,742.5,963.3,59.3,980.0,990.6,986.4,944.9,255.1,2300.8,908.9
DW,923.1,117.6,931.6,2145.1,183.3,865.3,2180.1,851.3,550.0,2202.8,284.3,876.6,2179.5,1013.0,907.7,824.4,754.9,917.3,2192.2,104.8,0.0,888.0,98.6,2182.0,491.7,957.6,358.5,575.5,38.4,803.1,487.5,770.6,123.5,911.0,772.4,2202.3,1021.3,948.2,750.2,1034.1,619.7,2239.0,779.3,341.8,921.1,2194.9,887.2,2185.2,745.5,353.5,833.0,785.8,714.2,701.1,937.9,9.6,923.1,672.2,425.4,389.3,2146.7,2143.8,572.1,101.6,2086.2,964.5,430.5,2183.8,863.9,1003.7,898.9,580.8,2200.7,2229.3,887.2,2158.6,2199.2,2108.7,845.9,791.6,2207.8,465.7,403.1,1589.9,457.1,1033.7,969.0,887.0,947.0,303.0,331.5,933.0,2172.2,2188.7,360.4,915.2,922.1,667.7,2128.5,912.2,947.8,2168.8,289.8,901.1,13.1,2205.6,2113.5,2182.1,390.4,277.9,2202.3,771.3,932.1,412.9,953.1,2091.8,867.4,72.7,113.5,561.2,771.3,2176.4,247.6,407.7,80.2,1036.1,917.2,2150.6,85.2,965.8,977.2,2216.1,2157.7,849.5,298.7,336.7,732.5,545.7,2125.4,990.6,669.8,890.6,123.4,907.3,917.9,913.7,872.2,165.2,2228.1,836.2
EB,194.3,942.2,43.5,1574.6,719.8,32.6,1609.6,294.0,336.0,1632.3,612.4,319.3,1609.0,124.9,89.5,535.8,545.2,29.2,1621.7,975.3,894.4,0.0,866.4,1611.5,394.6,69.5,648.9,495.6,855.9,84.8,398.4,482.0,1018.0,22.9,153.0,1631.8,140.5,155.3,632.5,146.0,480.1,1668.5,490.7,755.5,33.0,1624.4,329.9,1614.7,456.9,543.2,275.7,102.1,596.5,583.4,49.8,904.1,206.5,243.9,471.3,507.4,1576.2,1573.3,361.0,996.1,1515.7,76.4,466.2,1613.3,36.3,122.9,10.8,500.9,1630.2,1658.8,170.7,1588.1,1628.7,1538.2,273.9,96.3,1637.3,421.0,693.5,1811.9,429.6,219.5,101.6,329.7,79.6,716.7,745.2,44.9,1601.7,1618.2,774.1,27.1,34.0,550.0,1558.0,121.7,59.7,1598.3,703.5,82.9,907.6,1635.1,1543.0,1611.6,804.1,646.3,1631.8,482.7,72.8,703.3,150.7,1521.3,32.8,967.2,1008.0,481.3,116.6,1605.9,649.1,549.9,904.8,148.0,87.7,1580.1,979.7,175.3,109.8,1645.6,1587.2,302.7,712.4,560.0,614.8,465.8,1554.9,123.2,460.1,333.3,1017.9,116.8,219.0,123.2,28.0,1059.7,1657.6,224.0
EF,877.3,107.6,885.8,2099.3,137.5,819.5,2134.3,805.5,504.2,2157.0,238.5,830.8,2133.7,967.2,861.9,778.6,709.1,871.5,2146.4,140.7,98.6,842.2,0.0,2136.2,445.9,911.8,312.7,529.7,60.1,757.3,441.7,724.8,200.2,865.2,726.6,2156.5,975.5,902.4,704.4,988.3,573.9,2193.2,733.5,296.0,875.3,2149.1,841.4,2139.4,699.7,307.7,787.2,740.0,668.4,655.3,892.1,108.3,877.3,626.4,379.6,343.5,2100.9,2098.0,526.3,200.3,2040.4,918.7,384.7,2138.0,818.1,957.9,853.1,535.0,2154.9,2183.5,841.4,2112.8,2153.4,2062.9,800.1,745.8,2162.0,419.9,357.3,1544.1,411.3,987.9,923.2,841.2,901.2,257.2,285.7,887.2,2126.4,2142.9,314.6,869.4,876.3,621.9,2082.7,866.4,902.0,2123.0,244.0,855.3,111.8,2159.8,2067.7,2136.3,344.6,232.1,2156.5,725.5,886.3,367.1,907.3,2046.0,821.6,171.4,190.2,515.4,725.5,2130.6,201.8,361.9,70.2,990.3,871.4,2104.8,161.9,920.0,931.4,2170.3,2111.9,803.7,252.9,290.9,686.7,499.9,2079.6,944.8,624.0,844.8,200.1,861.5,872.1,867.9,826.4,263.9,2182.3,790.4
EI,1390.6,2142.5,1547.1,113.5,1920.1,1500.5,106.2,1401.6,1536.3,144.2,1812.7,1405.3,106.8,1550.8,1542.9,1736.1,1745.5,1552.5,231.5,2175.6,2094.7,1523.2,2066.7,0.0,1594.9,1521.1,1849.2,1695.9,2056.2,1438.3,1598.7,1682.3,2218.3,1546.2,1407.6,129.8,1656.5,1469.0,1832.8,1537.3,1680.4,143.1,1691.0,1951.0,1556.3,146.7,1415.9,87.8,1657.2,1743.5,1417.9,1421.0,1796.8,1783.7,1573.1,2104.4,1378.4,1444.2,1671.6,1707.7,127.4,230.7,1561.3,2196.4,132.3,1514.2,1666.5,86.4,1499.1,1638.9,1534.1,1701.2,240.0,181.1,1396.0,116.7,101.8,208.2,1317.0,1426.8,110.4,1621.3,1893.8,2045.0,1629.9,1513.2,1604.2,1415.7,1582.2,1912.2,1940.7,1568.2,218.8,192.6,1969.6,1550.4,1557.3,1750.3,86.6,1545.5,1578.3,208.1,1899.0,1536.3,2107.9,163.4,213.0,221.4,1999.6,1846.6,154.1,1683.0,1567.3,1903.6,1464.4,233.1,1502.6,2167.5,2208.3,1681.6,1406.5,263.3,1849.4,1750.2,2105.1,1539.3,1552.4,53.2,2180.0,1505.9,1612.4,167.9,64.1,1363.8,1907.9,1760.3,1815.1,1666.1,93.8,1625.8,1660.4,1419.3,2218.2,1542.5,1373.2,1504.2,1507.4,2260.0,179.9,1325.3
EJ,428.7,547.5,439.8,1651.8,325.1,373.5,1686.8,359.5,58.2,1709.5,217.7,384.8,1686.2,521.2,415.9,349.8,280.3,425.5,1698.9,580.6,499.7,396.2,471.7,1688.7,0.0,465.8,254.2,100.9,461.2,311.3,3.8,296.0,623.3,419.2,280.6,1709.0,529.5,456.4,275.6,542.3,145.1,1745.7,304.7,623.9,429.3,1701.6,395.4,1691.9,270.9,148.5,341.2,294.0,239.6,226.5,446.1,509.4,431.3,180.4,76.6,112.7,1653.4,1650.5,80.3,601.4,1592.9,472.7,71.5,1690.5,372.1,511.9,407.1,106.2,1707.4,1736.0,395.4,1665.3,1705.9,1615.4,354.1,299.8,1714.5,26.3,298.8,1757.7,34.9,541.9,477.2,395.2,455.2,585.1,613.6,441.2,1678.9,1695.4,642.5,423.4,430.3,193.1,1635.2,420.4,456.0,1675.5,571.9,409.3,512.9,1712.3,1620.2,1688.8,672.5,251.6,1709.0,296.7,440.3,308.6,461.3,1598.5,375.6,572.5,613.3,86.6,279.5,1683.1,254.4,155.2,510.1,544.3,425.4,1657.3,585.0,474.0,485.4,1722.8,1664.4,357.7,580.8,165.3,257.9,71.1,1632.1,498.8,195.2,398.8,623.2,415.5,426.1,421.9,380.4,665.0,1734.8,344.4
EN,122.1,1021.8,25.9,1505.0,799.4,112.2,1540.0,270.9,415.6,1562.7,692.0,274.6,1539.4,55.3,169.1,615.4,624.8,82.3,1552.1,1054.9,974.0,79.5,946.0,1541.9,474.2,0.0,728.5,575.2,935.5,164.4,478.0,561.6,1097.6,46.5,232.6,1562.2,193.6,85.7,712.1,76.4,559.7,1598.9,570.3,835.1,36.5,1554.8,285.2,1545.1,536.5,622.8,287.2,181.7,676.1,663.0,102.9,983.7,136.9,323.5,550.9,587.0,1506.6,1503.7,440.6,1075.7,1449.2,6.8,545.8,1543.7,115.9,176.0,63.9,580.5,1560.6,1589.2,101.1,1518.5,1559.1,1468.6,204.3,175.9,1567.7,500.6,773.1,1764.0,509.2,149.9,180.4,285.0,159.2,796.3,824.8,98.0,1532.1,1548.6,853.7,80.2,87.1,629.6,1488.4,162.2,112.8,1528.7,783.1,162.5,987.2,1565.5,1473.4,1542.0,883.7,725.9,1562.2,562.3,152.4,782.9,81.1,1451.7,112.4,1046.8,1087.6,560.9,196.2,1536.3,728.7,629.5,984.4,78.4,167.3,1510.5,1059.3,122.6,172.2,1576.0,1517.6,233.1,792.0,639.6,694.4,545.4,1485.3,202.8,539.7,288.6,1097.5,184.9,149.4,120.9,107.6,1139.3,1588.0,154.4
EP,685.2,393.9,693.7,1905.7,171.5,627.4,1940.7,613.4,312.1,1963.4,64.1,638.7,1940.1,775.1,669.8,586.5,517.0,679.4,1952.8,427.0,346.1,650.1,318.1,1942.6,253.8,719.7,0.0,337.6,307.6,565.2,249.6,532.7,469.7,673.1,534.5,1962.9,783.4,710.3,512.3,796.2,381.8,1999.6,541.4,470.3,683.2,1955.5,649.3,1945.8,507.6,115.6,595.1,547.9,476.3,463.2,700.0,355.8,685.2,434.3,187.5,151.4,1907.3,1904.4,334.2,447.8,1846.8,726.6,192.6,1944.4,626.0,765.8,661.0,342.9,1961.3,1989.9,649.3,1919.2,1959.8,1869.3,608.0,553.7,1968.4,227.8,113.4,1718.4,219.2,795.8,731.1,649.1,709.1,431.5,460.0,695.1,1932.8,1949.3,488.9,677.3,684.2,429.8,1889.1,674.3,709.9,1929.4,418.3,663.2,359.3,1966.2,1874.1,1942.7,518.9,98.0,1962.9,533.4,694.2,123.2,715.2,1852.4,629.5,418.9,459.7,323.3,533.4,1937.0,100.8,169.8,356.5,798.2,679.3,1911.2,431.4,727.9,739.3,1976.7,1918.3,611.6,427.2,98.8,494.6,307.8,1886.0,752.7,431.9,652.7,469.6,669.4,680.0,675.8,634.3,511.4,1988.7,598.3
ET,521.2,602.8,532.3,1744.3,380.4,466.0,1779.3,452.0,150.7,1802.0,273.0,477.3,1778.7,613.7,508.4,306.1,236.6,518.0,1791.4,635.9,555.0,488.7,527.0,1781.2,92.4,558.3,309.5,0.0,516.5,403.8,88.2,252.3,678.6,511.7,373.1,1801.5,622.0,548.9,231.9,634.8,101.4,1838.2,261.0,679.2,521.8,1794.1,487.9,1784.4,227.2,203.8,433.7,386.5,195.9,182.8,538.6,564.7,523.8,272.9,131.9,168.0,1745.9,1743.0,172.8,656.7,1688.5,565.2,126.8,1783.0,464.6,604.4,499.6,70.7,1799.9,1828.5,487.9,1757.8,1798.4,1707.9,446.6,392.3,1807.0,81.6,354.1,1850.2,90.2,634.4,569.7,487.7,547.7,640.4,668.9,533.7,1771.4,1787.9,697.8,515.9,522.8,149.4,1727.7,512.9,548.5,1768.0,627.2,501.8,568.2,1804.8,1712.7,1781.3,727.8,306.9,1801.5,253.0,532.8,363.9,553.8,1691.0,468.1,627.8,668.6,99.9,372.0,1775.6,309.7,210.5,565.4,636.8,517.9,1749.8,640.3,566.5,577.9,1815.3,1756.9,450.7,636.1,220.6,214.2,27.4,1724.6,591.3,151.5,491.3,678.5,508.0,518.6,514.4,472.9,720.3,1827.3,436.9
FF,884.6,79.1,893.1,2106.6,144.8,826.8,2141.6,812.8,511.5,2164.3,245.8,838.1,2141.0,974.5,869.2,785.9,716.4,878.8,2153.7,112.2,38.4,849.5,60.1,2143.5,453.2,919.1,320.0,537.0,0.0,764.6,449.0,732.1,162.0,872.5,733.9,2163.8,982.8,909.7,711.7,995.6,581.2,2200.5,740.8,303.3,882.6,2156.4,848.7,2146.7,707.0,315.0,794.5,747.3,675.7,662.6,899.4,48.1,884.6,633.7,386.9,350.8,2108.2,2105.3,533.6,140.1,2047.7,926.0,392.0,2145.3,825.4,965.2,860.4,542.3,2162.2,2190.8,848.7,2120.1,2160.7,2070.2,807.4,753.1,2169.3,427.2,364.6,1551.4,418.6,995.2,930.5,848.5,908.5,264.5,293.0,894.5,2133.7,2150.2,321.9,876.7,883.6,629.2,2090.0,873.7,909.3,2130.3,251.3,862.6,51.6,2167.1,2075.0,2143.6,351.9,239.4,2163.8,732.8,893.6,374.4,914.6,2053.3,828.9,111.2,152.0,522.7,732.8,2137.9,209.1,369.2,41.7,997.6,878.7,2112.1,123.7,927.3,938.7,2177.6,2119.2,811.0,260.2,298.2,694.0,507.2,2086.9,952.1,631.3,852.1,161.9,868.8,879.4,875.2,833.7,203.7,2189.6,797.7
FJ,220.7,857.3,128.4,1519.4,634.9,62.1,1554.4,209.1,251.1,1577.1,527.5,234.4,1553.8,209.8,104.5,450.9,460.3,114.1,1566.5,890.4,809.5,84.8,781.5,1556.3,309.7,154.4,564.0,410.7,771.0,0.0,313.5,397.1,933.1,107.8,68.1,1576.6,218.1,145.0,547.6,230.9,395.2,1613.3,405.8,670.6,117.9,1569.2,245.0,1559.5,372.0,458.3,190.8,17.2,511.6,498.5,134.7,819.2,235.5,159.0,386.4,422.5,1521.0,1518.1,276.1,911.2,1460.5,161.3,381.3,1558.1,60.7,200.5,95.7,416.0,1575.0,1603.6,199.7,1532.9,1573.5,1483.0,302.9,11.5,1582.1,336.1,608.6,1727.0,344.7,230.5,165.8,244.8,143.8,631.8,660.3,129.8,1546.5,1563.0,689.2,112.0,118.9,465.1,1502.8,109.0,144.6,1543.1,618.6,97.9,822.7,1579.9,1487.8,1556.4,719.2,561.4,1576.6,397.8,128.9,618.4,149.9,1466.1,64.2,882.3,923.1,396.4,31.8,1550.7,564.2,465.0,819.9,232.9,114.0,1524.9,894.8,162.6,174.0,1590.4,1532.0,237.5,627.5,475.1,529.9,380.9,1499.7,187.4,375.2,248.4,933.0,104.1,248.0,110.5,69.0,974.8,1602.4,253.0
