from_stop,AD,AI,AO,CC,CL,CO,CX,CY,DK,DO,DV,EB,EC,ED,EG,EH,EX,FB,FD,FF,FI,FL,FQ,FT,GF,GG,GJ,GN,GO,GQ,HR,IK,IO,IQ,IT,JB,JF,JH,JL,JO,JT,JU,JW,JZ,KF,KN,KV,KW,LD,LK,LU,LX,MG,MI,MO,MQ,ND,NH,NI,NL,NO,NX,OH,OI,OR,PA,PB,PE,PR,PX,PY,PZ,QB,QK,QO,RB,RD,RH,RL,RT,RY,SE,SM,TD,TP,TW,TZ,UM,UU,UV,UX,VB,VH,VN,VV,WC,WF,WM,WR,WU,XG,XN,XO,XX,XZ,YO,ZA,ZE,ZI,ZJ,ZV,ZX
DV,498.1,527.2,465.9,449.8,513.5,465.7,478.1,577.6,468.3,674.0,0.0,374.2,507.0,439.2,508.7,537.1,587.3,624.2,465.7,121.4,630.9,456.2,396.1,344.7,199.5,341.1,220.3,709.7,573.6,304.6,464.4,394.4,47.2,576.7,103.8,451.8,307.2,501.1,486.9,637.3,445.3,445.8,330.5,312.6,452.9,279.6,466.3,115.8,311.7,584.9,401.9,534.7,640.8,480.6,530.1,336.7,410.5,446.0,609.9,462.7,419.1,412.1,630.3,445.5,240.2,628.9,497.7,590.1,487.2,28.8,291.6,286.3,577.9,640.8,501.7,413.8,288.3,497.6,372.3,491.7,473.9,348.6,66.4,578.8,458.6,625.9,510.9,585.2,541.5,272.3,490.2,654.3,578.3,2016.4,589.3,383.2,477.7,350.3,136.0,544.1,494.6,449.4,428.2,447.1,290.8,98.6,293.1,89.3,504.1,482.8,557.1,114.9
EB,252.6,631.5,253.1,252.2,617.8,260.0,231.8,681.9,572.6,514.8,381.9,0.0,310.3,233.5,303.0,299.8,375.2,365.1,260.0,314.2,425.2,244.1,500.4,449.0,444.2,556.1,465.0,504.0,361.5,130.2,258.7,198.1,348.1,699.2,279.8,246.1,81.8,242.0,642.4,506.3,549.6,550.1,48.5,195.1,595.6,228.8,207.2,360.8,53.6,326.7,196.2,275.6,381.7,623.3,634.4,79.9,532.8,240.3,350.8,567.0,213.4,516.4,449.5,239.8,252.0,369.8,661.2,331.0,281.5,363.8,216.7,260.4,319.7,501.7,337.4,216.2,220.2,291.9,518.4,327.4,268.2,91.8,435.7,319.7,562.9,434.9,414.7,420.9,335.8,246.4,284.5,442.2,366.2,2171.9,383.6,163.5,265.6,454.6,363.0,338.4,637.3,243.7,283.2,241.4,217.9,343.6,508.1,295.1,437.4,207.6,298.0,341.9
EC,153.5,800.1,438.2,401.3,786.4,233.4,206.9,850.5,741.2,224.9,619.0,329.6,0.0,288.0,371.5,166.3,85.4,163.4,233.4,467.2,163.4,108.5,669.0,617.5,597.2,709.1,617.9,192.2,71.7,324.7,247.3,366.7,501.6,684.8,432.8,307.6,276.3,100.6,708.2,216.4,718.2,718.7,285.9,348.1,690.3,381.8,141.8,513.8,286.6,77.5,360.6,35.3,180.0,717.9,803.0,311.6,701.3,294.6,153.3,735.6,251.9,685.0,159.6,224.7,405.0,168.1,735.1,129.3,350.0,516.8,369.7,413.5,70.8,211.8,132.6,384.8,373.2,360.5,671.3,166.9,349.5,323.5,648.6,118.1,731.5,144.7,124.8,202.8,404.4,399.4,254.5,152.3,76.3,1967.1,214.9,358.0,93.2,623.2,516.0,91.3,731.9,221.0,95.6,310.1,370.9,496.6,661.1,448.1,147.5,376.8,96.3,494.9
ED,160.3,593.6,231.7,194.8,579.9,127.9,142.0,644.0,534.7,478.9,500.4,269.1,260.3,0.0,141.6,192.3,364.9,333.2,127.9,396.6,293.1,234.0,462.5,417.0,410.3,532.3,431.1,371.9,351.4,202.9,160.7,160.2,466.9,661.3,362.2,22.6,202.1,249.9,604.5,480.0,511.7,512.2,225.4,277.5,557.7,311.2,215.1,394.3,267.8,291.3,176.3,225.7,349.8,585.4,596.5,338.8,496.2,9.6,321.0,529.1,125.3,478.5,413.6,139.8,334.4,337.9,623.3,299.1,120.1,482.1,299.1,342.8,284.3,483.5,412.3,178.3,302.6,130.5,600.8,375.5,180.1,350.7,520.2,287.8,525.0,359.8,404.6,417.9,174.4,328.8,149.0,401.3,356.1,2134.0,251.5,248.0,268.4,416.7,445.4,206.3,599.4,136.2,264.7,35.8,300.3,412.4,458.3,377.5,427.3,146.8,266.1,424.3
EG,218.6,637.7,275.8,238.9,624.0,226.5,240.6,688.1,578.8,537.2,544.5,313.2,318.8,141.6,0.0,257.6,424.4,391.5,226.5,440.7,351.4,332.6,506.6,461.1,454.4,576.4,475.2,430.2,450.0,247.0,259.3,204.3,511.0,666.0,406.3,118.9,246.2,348.5,648.6,538.3,555.8,556.3,269.5,321.6,542.2,355.3,313.7,438.4,311.9,349.6,220.4,284.0,408.1,569.9,640.6,338.2,539.0,131.9,384.6,573.2,169.4,522.6,471.9,238.4,378.5,396.2,667.4,357.4,60.9,526.2,343.2,386.9,342.6,541.8,510.9,222.4,346.7,11.0,644.7,474.1,224.2,350.1,564.3,346.1,569.1,418.1,503.2,476.2,32.7,372.9,247.6,459.6,454.7,2032.7,309.8,292.1,354.1,460.8,489.5,264.6,583.9,234.8,363.3,116.0,344.4,456.5,502.4,421.6,525.9,135.8,324.4,468.4
EH,51.1,679.8,317.9,279.9,666.1,127.9,68.9,730.2,620.9,373.3,553.0,296.5,150.4,172.3,256.0,0.0,233.7,223.2,132.6,485.3,266.0,200.3,548.7,497.3,496.5,618.5,522.0,344.8,224.7,291.6,123.8,246.4,518.1,747.5,450.9,192.1,243.2,170.3,690.7,364.8,597.9,598.4,257.5,366.2,648.6,399.9,190.5,480.5,295.2,186.0,267.2,115.7,239.8,671.6,682.7,318.2,581.1,179.1,213.4,615.3,128.4,564.7,308.0,101.2,423.1,232.6,714.2,193.8,229.8,534.9,387.8,431.5,174.3,360.2,279.8,264.5,391.3,240.2,689.5,289.4,224.9,330.1,611.1,176.7,611.2,338.5,273.2,396.6,284.1,417.5,149.6,300.7,224.7,1960.0,225.5,324.9,181.4,502.9,534.1,96.3,685.6,96.5,246.1,194.4,389.0,514.7,544.5,466.2,300.6,256.5,156.1,513.0
EX,224.0,842.0,480.1,443.2,828.3,275.3,248.8,892.4,783.1,139.5,707.6,374.7,92.4,329.8,413.5,236.8,0.0,141.1,275.3,549.9,77.1,124.4,710.9,665.4,658.7,780.7,680.7,105.6,87.5,369.8,289.2,408.6,583.8,755.3,515.5,350.8,321.4,171.0,852.9,131.0,760.1,760.6,331.0,430.8,760.7,464.5,178.9,596.5,369.3,60.1,435.8,105.8,157.7,788.4,844.9,394.3,744.6,336.6,105.8,777.5,293.8,726.9,74.2,266.6,487.7,102.2,872.9,107.0,393.1,599.5,452.4,496.1,66.4,125.2,98.2,426.7,455.9,402.4,753.9,132.6,392.6,406.2,736.0,73.3,773.4,58.4,90.5,116.5,446.3,482.1,296.4,66.9,82.8,2037.6,120.8,403.1,124.9,665.1,598.7,161.8,802.4,264.2,178.3,353.1,453.6,579.3,745.0,530.8,113.2,418.7,107.3,577.6
FB,261.1,833.5,463.1,454.2,819.8,266.8,240.3,883.9,774.6,298.0,601.6,345.1,169.1,321.3,405.0,235.4,158.4,0.0,266.8,533.9,303.5,201.0,702.4,651.0,650.2,772.2,671.0,265.3,191.1,340.2,280.7,400.1,568.3,748.1,499.5,333.9,291.8,189.5,844.4,289.5,751.6,752.1,301.4,414.8,753.5,448.5,195.9,580.5,343.8,136.1,406.2,169.2,47.2,781.2,836.4,366.8,734.8,328.1,72.3,769.0,285.3,718.4,232.7,258.1,471.7,73.1,863.2,34.0,383.5,583.5,436.4,480.1,129.1,284.9,205.6,418.2,439.9,393.9,738.1,240.0,382.9,378.7,655.4,76.9,764.9,218.1,197.9,276.2,437.8,466.1,287.9,225.4,190.2,2030.4,278.2,373.5,182.1,656.6,582.7,154.6,795.2,254.5,254.9,343.4,437.6,563.3,727.8,514.8,220.6,410.2,68.5,561.6
FD,83.9,634.8,272.9,236.0,621.1,0.0,63.1,685.2,575.9,425.8,494.7,238.2,220.8,123.5,207.2,131.1,286.2,294.1,0.0,427.0,271.2,155.1,503.7,458.2,451.5,573.5,472.3,350.0,272.5,233.3,32.7,201.4,461.4,702.5,392.6,143.3,184.9,171.0,645.7,417.3,552.9,553.4,194.5,307.9,598.9,341.6,136.2,473.6,236.9,255.7,217.5,197.1,310.7,626.6,637.7,259.9,536.1,130.3,284.3,570.3,70.6,519.7,360.5,60.9,364.8,298.8,664.5,260.0,185.7,476.6,329.5,373.2,248.7,412.7,333.4,219.5,333.0,196.1,631.0,296.6,168.2,271.8,548.5,248.7,566.2,337.9,325.7,396.0,240.0,359.2,21.0,353.2,277.2,1999.8,229.6,266.6,176.6,457.9,475.8,177.7,640.6,57.3,185.8,145.6,330.7,456.4,499.5,407.9,348.4,212.4,227.0,454.7
FF,425.3,493.4,366.3,350.2,479.7,392.9,405.3,543.8,434.5,601.2,136.3,301.4,434.2,366.4,435.9,464.3,514.5,551.4,392.9,0.0,558.1,383.4,362.3,310.9,198.9,310.5,219.7,636.9,500.8,231.8,391.6,294.8,103.0,546.1,31.0,379.0,234.4,428.3,456.3,564.5,411.5,412.0,257.7,239.8,422.3,206.8,393.5,115.2,238.9,512.1,329.1,461.9,568.0,450.0,496.3,263.9,379.9,373.2,537.1,428.9,346.3,378.3,568.7,372.7,167.4,556.1,467.1,517.3,414.4,118.2,218.8,213.5,505.1,568.0,428.9,314.2,215.5,424.8,272.8,418.9,401.1,275.8,202.8,506.0,424.8,553.1,438.1,512.4,468.7,199.5,417.4,581.5,505.5,2015.8,516.5,310.4,404.9,316.5,117.4,471.3,464.0,376.6,355.4,374.3,218.0,98.0,262.5,49.5,431.3,373.1,484.3,96.3
FI,309.2,805.9,444.0,407.1,792.2,348.3,321.8,856.3,747.0,185.7,753.8,447.7,165.4,293.7,377.4,320.8,72.9,214.1,348.3,622.9,0.0,197.4,674.8,629.3,622.6,744.6,643.4,78.7,160.5,442.8,362.2,372.5,656.8,748.7,588.5,313.5,394.4,244.0,816.8,186.8,724.0,724.5,404.0,503.8,770.0,537.5,251.9,669.5,442.3,133.1,388.6,178.8,230.7,797.7,808.8,467.3,707.2,300.5,160.5,741.4,366.8,690.8,120.4,339.6,560.7,175.2,835.6,180.0,355.9,745.6,525.4,569.1,139.4,190.3,171.9,390.6,528.9,366.3,826.9,206.3,464.4,479.2,783.4,146.3,737.3,66.6,164.2,124.7,410.2,555.1,369.4,108.1,155.8,2031.0,42.4,476.1,178.5,629.0,671.7,205.8,811.7,336.0,251.3,315.8,526.6,652.3,670.6,603.8,186.9,382.6,180.3,650.6
FL,145.1,717.5,355.6,338.2,703.8,150.8,124.3,767.9,658.6,270.6,569.4,247.1,65.7,205.3,289.0,192.3,131.0,239.9,150.8,425.4,209.4,0.0,586.4,535.0,534.2,656.2,555.0,237.9,117.3,242.2,164.7,284.1,459.3,785.2,391.0,217.9,193.8,116.8,728.4,262.1,635.6,636.1,203.4,306.3,681.6,340.0,54.4,472.0,244.8,102.1,308.2,99.0,256.5,709.3,720.4,269.8,618.8,212.1,154.6,653.0,169.3,602.4,205.3,142.1,363.2,171.4,747.2,205.8,267.5,475.0,327.9,371.6,145.1,257.5,178.2,302.2,331.4,277.9,629.6,226.5,266.9,281.7,599.0,142.5,648.9,190.7,170.5,248.8,321.8,357.6,171.9,198.0,122.0,2030.8,251.9,275.5,21.4,540.6,474.2,238.9,723.3,138.5,53.8,227.4,329.1,454.8,619.3,406.3,193.2,294.2,172.8,453.1
FQ,515.5,131.0,432.2,416.1,117.3,483.1,495.5,181.4,72.1,834.1,341.3,510.1,615.6,456.6,526.1,554.5,721.3,688.4,483.1,345.8,648.3,589.2,0.0,53.1,251.4,187.5,187.9,727.1,706.6,443.9,481.8,360.7,307.5,198.7,328.2,469.2,443.1,605.1,141.9,835.2,49.1,93.3,466.4,518.5,188.6,450.7,570.3,235.4,508.8,646.5,437.3,580.9,705.0,161.6,133.9,535.1,257.2,463.4,674.1,66.5,436.5,59.6,768.8,462.9,391.4,693.1,160.7,654.3,504.6,323.2,462.7,451.0,639.5,838.7,767.5,380.1,459.4,515.0,343.4,706.2,491.3,547.0,407.8,643.0,62.4,715.0,759.8,773.1,558.9,443.4,507.6,756.5,711.3,1806.9,606.7,489.0,610.7,45.7,322.2,561.5,197.7,466.8,619.9,464.5,461.9,253.5,159.5,313.7,782.5,457.0,621.3,272.3
FT,462.3,182.4,379.0,351.1,168.7,429.9,442.3,232.8,123.5,780.9,288.1,456.9,562.3,403.4,472.9,494.3,666.9,635.2,429.9,292.6,602.8,536.0,51.3,0.0,198.2,134.3,142.4,673.9,653.4,390.7,428.6,307.5,262.0,250.1,275.0,421.9,389.9,559.6,193.3,782.0,100.5,101.0,420.9,465.3,240.0,397.5,517.1,182.2,455.6,601.0,384.1,527.7,651.8,213.0,185.3,481.9,118.2,417.9,625.2,117.9,383.3,67.3,715.6,409.7,338.2,647.6,212.1,608.8,452.5,270.0,409.5,397.8,586.3,785.5,722.0,326.9,406.2,461.8,280.0,653.0,445.8,493.8,354.6,597.5,113.8,661.8,706.6,727.6,505.7,390.2,454.4,703.3,658.1,1858.3,553.5,435.8,570.4,5.5,269.0,508.3,249.1,413.6,566.7,411.3,408.7,200.3,106.3,260.5,729.3,403.8,568.1,219.1
GF,459.1,336.9,375.8,359.7,323.2,426.7,439.1,387.3,278.0,730.4,173.3,430.6,559.2,400.2,469.7,498.1,664.9,632.0,426.7,177.8,591.9,532.8,205.8,154.4,0.0,132.8,20.7,670.7,650.2,387.5,425.4,304.3,140.0,386.4,160.2,412.8,363.6,548.7,296.6,693.7,255.0,255.5,386.9,335.3,262.6,302.3,513.9,67.4,368.1,590.1,380.9,524.5,648.6,290.3,339.8,393.1,220.2,407.0,617.7,272.4,380.1,221.8,712.4,406.5,243.0,636.7,307.4,597.9,448.2,155.2,314.3,302.6,583.1,697.2,558.1,323.7,311.0,458.6,327.8,548.1,434.9,405.0,239.8,586.6,268.3,658.6,567.3,641.6,502.5,295.0,451.2,700.1,654.9,1926.3,550.3,432.6,554.3,160.0,154.2,505.1,304.3,410.4,484.6,408.1,313.5,85.5,47.9,145.7,560.5,385.5,564.9,151.3
GG,576.5,323.1,493.2,477.1,306.0,544.1,556.5,359.3,264.1,840.9,298.4,541.1,676.6,517.6,587.1,615.5,782.3,749.4,544.1,288.3,709.3,650.2,213.2,147.3,125.0,0.0,106.1,788.1,767.6,504.9,542.8,421.7,264.6,289.3,270.7,530.2,474.1,666.1,312.7,804.2,207.0,300.5,497.4,460.4,331.3,427.4,631.3,192.5,478.6,707.5,498.3,641.9,766.0,304.3,311.8,503.6,213.1,524.4,735.1,224.4,497.5,272.9,829.8,523.9,368.1,754.1,338.6,715.3,565.6,280.3,439.4,427.7,700.5,807.7,668.6,441.1,436.1,576.0,279.6,658.6,552.3,515.5,364.9,704.0,240.3,776.0,677.8,752.1,619.9,420.1,568.6,817.5,772.3,1888.2,667.7,550.0,671.7,152.9,279.3,622.5,340.4,527.8,595.1,525.5,438.6,210.6,77.7,256.2,671.0,510.6,682.3,208.5
GJ,478.0,316.1,394.7,359.1,302.4,445.6,458.0,366.5,257.2,749.3,192.2,449.5,578.1,419.1,488.6,517.0,682.6,650.9,445.6,196.7,610.8,551.7,185.0,139.5,18.8,112.0,0.0,689.6,669.1,406.4,444.3,323.2,158.9,365.6,179.1,429.9,382.5,567.6,275.8,712.6,234.2,234.7,405.8,354.2,241.8,321.2,532.8,86.3,387.0,609.0,399.8,543.4,667.5,269.5,319.0,412.0,200.7,425.9,640.9,251.6,399.0,201.0,731.3,425.4,261.9,655.6,286.6,616.8,467.1,174.1,333.2,321.5,602.0,716.1,577.0,342.6,329.9,477.5,346.7,567.0,453.8,423.9,258.7,605.5,247.5,677.5,586.2,660.5,521.4,313.9,470.1,719.0,673.8,1919.1,569.2,451.5,586.1,139.2,173.1,524.0,283.5,429.3,503.5,427.0,332.4,104.4,27.1,164.6,579.4,404.4,583.8,170.2
GN,365.4,862.1,500.2,463.3,848.4,374.2,347.7,912.5,803.2,211.6,779.7,473.6,191.5,349.9,433.6,384.0,97.6,240.0,374.2,648.8,56.1,223.3,731.0,685.5,678.8,800.8,699.6,0.0,186.4,468.7,388.1,428.7,682.7,804.9,614.4,369.7,420.3,269.9,873.0,212.7,780.2,780.7,429.9,529.7,826.2,563.4,277.8,695.4,468.2,159.0,534.7,204.7,256.6,853.9,865.0,493.2,763.4,356.7,204.7,797.6,392.7,747.0,146.3,365.5,586.6,201.1,891.8,205.9,412.1,771.5,551.3,595.0,165.3,216.2,197.8,446.8,554.8,422.5,852.8,232.2,490.3,505.1,809.3,172.2,793.5,92.5,190.1,150.6,466.4,581.0,395.3,134.0,181.7,2087.2,98.6,502.0,204.4,685.2,697.6,262.0,867.9,361.9,277.2,372.0,552.5,678.2,726.8,629.7,212.8,438.8,206.2,676.5
GO,283.0,856.5,494.6,457.7,842.8,289.8,263.3,906.9,797.6,227.9,669.4,386.1,129.4,344.3,428.0,294.6,88.3,198.4,289.8,529.9,166.7,138.9,725.4,674.0,659.9,771.8,680.7,195.2,0.0,381.2,303.7,423.1,563.8,814.3,495.5,364.1,332.8,230.0,867.4,219.4,774.6,775.1,342.4,410.8,819.7,444.5,193.4,576.5,349.3,93.8,447.2,164.8,215.0,847.4,859.4,374.3,757.8,351.1,163.1,792.0,308.3,741.4,162.6,281.1,467.7,159.5,886.2,164.3,406.5,661.2,432.4,476.1,100.1,214.8,67.9,441.2,435.9,416.9,733.9,102.3,405.9,386.2,699.0,130.6,787.9,148.0,60.2,124.1,460.8,462.1,310.9,155.3,4.7,2096.6,209.2,414.5,139.4,679.6,578.7,220.8,861.4,277.5,184.1,366.4,433.6,559.3,723.8,510.8,82.9,433.2,150.7,557.6
