from_stop,AF,AH,AO,AS,AT,BA,BM,BP,BQ,BS,BU,BX,CD,CH,CM,CX,DF,DH,DR,DT,DV,EB,EF,EH,EL,EO,EU,FI,FK,FL,FP,FQ,FS,FX,GK,GN,GU,HA,HD,HH,HN,HP,HX,IE,IK,IM,IN,IU,IZ,JD,JL,JP,JY,KA,KB,KH,KJ,KM,KR,KV,KX,LA,LE,LI,LQ,LR,LS,MC,MQ,MS,MT,MU,MZ,NA,NC,NI,NL,OG,OJ,OQ,OS,PB,PL,PV,PW,QA,QE,QF,QJ,QK,QP,QU,QY,RE,RF,RH,RO,RW,RX,RZ,SA,SB,SD,SK,SM,SP,TC,TF,TN,TQ,TW,UD,UQ,US,UY,UZ,VA,VO,VT,VU,VV,VY,VZ,WB,WI,WJ,WM,WP,WR,WV,WY,XA,XC,XG,XJ,XO,XU,YB,YC,YD,YL,YR,YV,ZA,ZB,ZF,ZG,ZM,ZN,ZV,ZW
BU,888.7,181.2,265.2,1880.6,1511.2,1622.0,80.5,1593.2,195.9,1638.9,0.0,661.7,139.5,1793.0,1564.0,644.0,1758.0,178.8,1745.4,1567.4,1557.8,1657.0,1818.5,1494.4,188.0,600.6,1634.8,579.9,320.4,96.2,588.2,2126.2,542.6,1563.8,1468.1,1726.9,312.7,562.9,620.1,73.2,549.2,44.9,1745.7,733.6,146.3,1817.3,1556.3,1611.7,1468.7,325.6,151.0,290.8,1531.7,1651.5,1686.4,1606.5,1383.3,1819.6,1482.4,336.9,241.8,1489.6,1619.0,1668.1,588.2,161.5,105.4,1812.2,1655.9,1525.4,1740.1,291.4,174.4,587.3,194.6,655.4,292.6,276.3,159.3,159.3,1471.8,1636.7,604.2,289.3,66.8,1677.5,393.8,1609.4,165.0,1852.6,39.9,1611.0,1601.8,1732.6,210.3,672.3,1617.3,1558.8,1583.0,607.9,1599.5,323.8,214.5,558.3,1575.6,253.9,1577.4,151.7,1742.4,1668.1,562.9,1583.8,1509.3,1881.6,1722.6,1677.1,31.1,213.3,1482.2,113.5,1450.4,1634.8,307.8,1706.5,332.3,203.9,1786.8,1383.4,1578.0,145.9,565.2,137.8,1731.0,373.6,1593.6,1604.9,100.5,168.6,670.0,1631.5,1681.8,111.9,211.1,577.6,1584.5,369.9,338.0,1667.3,1640.3,86.5,1693.6
BX,678.1,530.0,371.0,1484.0,1114.6,1225.4,525.1,1197.9,583.8,1242.3,545.1,0.0,433.4,1396.4,1167.4,520.1,1361.4,509.1,1348.8,1170.8,1161.2,1260.4,1421.9,1097.8,411.8,564.0,1238.2,495.6,447.6,582.6,509.6,1892.7,440.6,1167.2,1069.5,1330.3,443.0,478.6,541.5,495.2,464.9,486.6,1349.1,322.3,534.2,1420.7,1159.7,1215.1,1072.1,466.4,518.9,425.6,1135.1,1254.9,1289.8,1209.9,986.7,1423.0,1085.8,485.8,452.3,1093.0,1222.4,1271.5,339.0,549.4,426.5,1415.4,1259.3,1128.8,1343.5,418.6,452.5,592.5,524.9,534.7,281.3,403.5,527.2,474.5,1075.2,1240.1,520.7,424.1,465.6,1280.9,321.1,1212.8,495.3,1456.0,585.0,1214.4,1205.2,1336.0,597.8,548.4,1220.7,1162.2,1186.4,571.3,1218.2,451.0,449.0,474.0,1179.0,359.7,1177.2,539.6,1345.8,1271.9,484.3,1187.2,1112.7,1485.0,1326.0,1280.5,500.4,470.9,1085.6,535.5,1053.8,1238.2,435.0,1309.9,263.5,452.7,1390.2,986.8,1181.4,480.6,550.5,505.7,1334.4,296.7,1197.0,1208.3,538.3,389.4,546.1,1234.9,1285.2,547.5,434.9,499.0,1187.9,297.2,472.8,1270.7,1243.7,474.4,1297.0
CD,860.6,140.8,233.1,1768.0,1398.6,1509.4,158.3,1480.6,157.2,1526.3,136.5,559.0,0.0,1680.4,1451.4,615.9,1645.4,119.9,1632.8,1454.8,1445.2,1544.4,1705.9,1381.8,159.9,572.5,1522.2,551.8,233.1,174.0,560.1,1998.9,514.5,1451.2,1355.5,1614.3,185.4,534.8,592.0,86.6,521.1,78.0,1633.1,606.3,107.6,1704.7,1443.7,1499.1,1356.1,198.3,64.6,163.5,1419.1,1538.9,1573.8,1493.9,1270.7,1707.0,1369.8,304.8,211.4,1377.0,1506.4,1555.5,537.1,122.8,84.7,1699.6,1543.3,1412.8,1627.5,204.1,63.8,559.2,135.7,627.3,260.5,189.0,72.9,85.3,1359.2,1524.1,576.1,162.0,57.0,1564.9,407.3,1496.8,106.1,1740.0,176.4,1498.4,1489.2,1620.0,171.6,644.2,1504.7,1446.2,1470.4,579.8,1486.9,236.5,182.4,530.2,1463.0,221.8,1464.8,113.0,1629.8,1555.5,534.8,1471.2,1396.7,1769.0,1610.0,1564.5,91.8,185.2,1369.6,126.9,1337.8,1522.2,220.5,1593.9,345.8,147.4,1674.2,1270.8,1465.4,93.0,537.1,31.4,1618.4,341.5,1481.0,1492.3,129.7,140.5,641.9,1518.9,1569.2,138.9,183.0,549.5,1471.9,383.4,210.7,1554.7,1527.7,47.8,1581.0
CH,1432.4,1811.7,1789.3,87.5,470.6,584.3,1745.8,552.6,1935.4,598.3,1778.2,1580.0,1827.3,0.0,523.4,1379.6,216.1,1813.8,75.3,578.3,587.5,616.4,288.5,453.8,1816.1,1441.2,594.2,1481.4,1851.9,1809.1,1428.4,1910.6,1359.4,523.2,512.4,106.1,1851.8,1464.4,1460.3,1812.7,1450.7,1784.4,57.2,1474.8,1885.8,287.3,647.7,571.1,572.6,1864.7,1890.5,1829.9,662.7,610.9,645.8,599.8,506.8,289.6,548.3,1813.8,1869.9,489.9,578.4,627.5,1561.5,1901.0,1802.0,191.4,615.3,619.9,168.1,1822.9,1809.4,1471.9,1829.6,1476.8,1742.0,1807.8,1898.8,1794.3,537.7,257.9,1444.4,1828.4,1806.3,147.5,1733.3,568.8,1800.0,322.6,1818.1,219.4,658.6,88.1,1949.8,1407.9,674.1,518.2,623.3,1448.5,654.2,1855.3,1841.6,1459.8,569.8,1778.0,536.8,1891.2,200.5,627.5,1403.1,543.2,468.7,88.5,98.1,636.5,1770.6,1841.4,548.1,1853.0,589.7,594.2,1839.3,114.2,1671.8,1806.4,166.0,506.9,537.4,1865.2,1429.9,1858.8,159.0,1768.3,236.4,564.3,1840.0,1793.7,1405.6,590.9,641.2,1851.4,1839.2,1417.8,675.9,1709.4,1877.1,626.7,613.4,1826.0,653.0
CM,1196.3,1575.6,1553.2,578.1,42.7,63.1,1509.7,54.0,1699.3,99.7,1542.1,1343.9,1591.2,490.5,0.0,1143.5,455.5,1577.7,442.9,88.7,97.9,117.8,516.0,59.5,1580.0,1205.1,73.0,1245.3,1615.8,1573.0,1192.3,1776.2,1123.3,53.8,258.3,424.4,1615.7,1228.3,1224.2,1576.6,1214.6,1548.3,443.2,1238.7,1649.7,514.8,126.5,49.9,186.4,1628.6,1654.4,1593.8,141.5,112.3,147.2,78.6,277.4,517.1,294.2,1577.7,1633.8,235.8,57.2,106.3,1325.4,1664.9,1565.9,509.7,94.1,130.3,437.6,1586.8,1573.3,1235.8,1593.5,1240.7,1505.9,1571.7,1662.7,1558.2,283.6,334.2,1208.3,1592.3,1570.2,375.0,1497.2,99.4,1563.9,550.1,1582.0,308.5,137.4,430.1,1713.7,1171.8,152.9,48.8,102.1,1212.4,133.0,1619.2,1605.5,1223.7,80.2,1541.9,47.2,1655.1,439.9,128.9,1167.0,53.6,44.6,579.1,420.1,137.9,1534.5,1605.3,294.0,1616.9,233.4,95.6,1603.2,404.0,1435.7,1570.3,484.3,277.5,13.9,1629.1,1193.8,1622.7,428.5,1532.2,291.1,43.1,1603.9,1557.6,1169.5,105.0,120.0,1615.3,1603.1,1181.7,154.7,1473.3,1641.0,105.5,92.2,1589.9,154.4
CX,438.2,742.6,552.0,1358.9,989.5,1100.3,708.5,1072.8,722.0,1117.2,683.3,481.4,645.6,1271.3,1042.3,0.0,1236.3,721.7,1223.7,1045.7,1036.1,1135.3,1296.8,972.7,578.8,203.9,1113.1,244.1,614.6,720.8,191.1,2210.4,122.1,1042.1,944.4,1205.2,610.0,227.1,223.0,633.4,213.4,624.8,1224.0,362.9,672.4,1295.6,1034.6,1090.0,947.0,633.4,657.1,592.6,1010.0,1129.8,1164.7,1084.8,861.6,1297.9,960.7,666.8,632.6,967.9,1097.3,1146.4,327.1,687.6,564.7,1290.5,1134.2,1003.7,1218.4,585.6,665.6,234.6,737.5,234.2,504.7,570.5,665.4,687.1,950.1,1115.0,202.2,591.1,603.8,1155.8,496.0,1087.7,707.9,1330.9,723.2,1089.3,1080.1,1210.9,736.4,28.3,1095.6,1037.1,1061.3,211.2,1093.1,618.0,616.6,222.5,1053.9,540.7,1052.1,677.8,1220.7,1146.8,165.8,1062.1,987.6,1359.9,1200.9,1155.4,638.6,604.1,960.5,673.7,928.7,1113.1,602.0,1184.8,434.5,569.1,1265.1,861.7,1056.3,646.1,192.6,643.9,1209.3,531.0,1071.9,1083.2,676.5,556.4,78.4,1109.8,1160.1,685.7,601.9,180.5,1062.8,472.1,639.8,1145.6,1118.6,612.6,1171.9
DF,1386.1,1765.4,1743.0,272.4,424.3,538.0,1699.5,506.3,1889.1,552.0,1731.9,1533.7,1781.0,184.8,477.1,1333.3,0.0,1767.5,199.9,532.0,541.2,570.1,413.1,407.5,1769.8,1394.9,547.9,1435.1,1805.6,1762.8,1382.1,1864.3,1313.1,476.9,466.1,118.7,1805.5,1418.1,1414.0,1766.4,1404.4,1738.1,137.5,1428.5,1839.5,411.9,601.4,524.8,526.3,1818.4,1844.2,1783.6,616.4,564.6,599.5,553.5,460.5,414.2,502.0,1767.5,1823.6,443.6,532.1,581.2,1515.2,1854.7,1755.7,204.0,569.0,573.6,292.7,1776.6,1763.1,1425.6,1783.3,1430.5,1695.7,1761.5,1852.5,1748.0,491.4,271.4,1398.1,1782.1,1760.0,272.1,1687.0,522.5,1753.7,447.2,1771.8,245.7,612.3,212.7,1903.5,1361.6,627.8,471.9,577.0,1402.2,607.9,1809.0,1795.3,1413.5,523.5,1731.7,490.5,1844.9,15.5,581.2,1356.8,496.9,422.4,273.4,222.7,590.2,1724.3,1795.1,501.8,1806.7,543.4,547.9,1793.0,238.8,1625.5,1760.1,178.6,460.6,491.1,1818.9,1383.6,1812.5,283.6,1722.0,228.3,518.0,1793.7,1747.4,1359.3,544.6,594.9,1805.1,1792.9,1371.5,629.6,1663.1,1830.8,580.4,567.1,1779.7,606.7
DH,962.5,113.5,335.0,1869.9,1500.5,1611.3,112.6,1582.5,283.4,1628.2,198.5,660.9,126.1,1782.3,1553.3,717.8,1747.3,0.0,1734.7,1556.7,1547.1,1646.3,1807.8,1483.7,261.8,674.4,1624.1,653.7,335.0,229.4,662.0,2100.8,616.4,1553.1,1457.4,1716.2,287.3,636.7,693.9,212.8,623.0,204.2,1735.0,708.2,233.8,1806.6,1545.6,1601.0,1458.0,300.2,190.8,265.4,1521.0,1640.8,1675.7,1595.8,1372.6,1808.9,1471.7,399.4,313.3,1478.9,1608.3,1657.4,639.0,249.0,201.2,1801.5,1645.2,1514.7,1729.4,306.0,108.2,661.1,37.1,729.2,362.4,290.9,199.1,93.1,1461.1,1626.0,678.0,263.9,183.2,1666.8,509.2,1598.7,12.8,1841.9,238.4,1600.3,1591.1,1721.9,297.8,746.1,1606.6,1548.1,1572.3,681.7,1588.8,338.4,284.3,632.1,1564.9,323.7,1566.7,239.2,1731.7,1657.4,636.7,1573.1,1498.6,1870.9,1711.9,1666.4,190.9,287.1,1471.5,253.1,1439.7,1624.1,322.4,1695.8,447.7,249.3,1776.1,1372.7,1567.3,219.2,639.0,157.6,1720.3,443.4,1582.9,1594.2,255.9,242.4,743.8,1620.8,1671.1,265.1,284.9,651.4,1573.8,485.3,312.6,1656.6,1629.6,174.0,1682.9
DR,1372.8,1752.1,1729.7,172.9,411.0,524.7,1686.2,493.0,1875.8,538.7,1718.6,1520.4,1767.7,85.3,463.8,1320.0,221.2,1754.2,0.0,518.7,527.9,556.8,213.1,394.2,1756.5,1381.6,534.6,1421.8,1792.3,1749.5,1368.8,1851.0,1299.8,463.6,452.8,111.2,1792.2,1404.8,1400.7,1753.1,1391.1,1724.8,62.3,1415.2,1826.2,211.9,588.1,511.5,513.0,1805.1,1830.9,1770.3,603.1,551.3,586.2,540.2,447.2,214.2,488.7,1754.2,1810.3,430.3,518.8,567.9,1501.9,1841.4,1742.4,196.5,555.7,560.3,92.7,1763.3,1749.8,1412.3,1770.0,1417.2,1682.4,1748.2,1839.2,1734.7,478.1,182.5,1384.8,1768.8,1746.7,72.1,1673.7,509.2,1740.4,247.2,1758.5,144.0,599.0,12.7,1890.2,1348.3,614.5,458.6,563.7,1388.9,594.6,1795.7,1782.0,1400.2,510.2,1718.4,477.2,1831.6,205.6,567.9,1343.5,483.6,409.1,173.9,22.7,576.9,1711.0,1781.8,488.5,1793.4,530.1,534.6,1779.7,38.8,1612.2,1746.8,171.1,447.3,477.8,1805.6,1370.3,1799.2,83.6,1708.7,161.0,504.7,1780.4,1734.1,1346.0,531.3,581.6,1791.8,1779.6,1358.2,616.3,1649.8,1817.5,567.1,553.8,1766.4,593.4
DT,1117.2,1496.5,1474.1,652.3,116.9,151.2,1430.6,142.1,1620.2,187.8,1463.0,1264.8,1512.1,564.7,88.0,1064.4,529.7,1498.6,517.1,0.0,9.1,205.9,590.2,133.7,1500.9,1126.0,161.1,1166.2,1536.7,1493.9,1113.2,1748.5,1044.2,128.0,255.4,498.6,1536.6,1149.2,1145.1,1497.5,1135.5,1469.2,517.4,1159.6,1570.6,589.0,111.0,138.0,97.6,1549.5,1575.3,1514.7,86.4,200.4,235.3,161.2,188.6,591.3,269.7,1498.6,1554.7,276.9,145.3,194.4,1246.3,1585.8,1486.8,583.9,182.2,41.5,511.8,1507.7,1494.2,1156.7,1514.4,1161.6,1426.8,1492.6,1583.6,1479.1,259.1,408.4,1129.2,1513.2,1491.1,449.2,1418.1,173.6,1484.8,624.3,1502.9,382.7,156.5,504.3,1634.6,1092.7,172.0,123.0,137.7,1133.3,154.2,1540.1,1526.4,1144.6,8.1,1462.8,40.7,1576.0,514.1,217.0,1087.9,34.3,118.8,653.3,494.3,226.0,1455.4,1526.2,269.5,1537.8,144.6,183.7,1524.1,478.2,1356.6,1491.2,558.5,188.7,102.0,1550.0,1114.7,1543.6,502.7,1453.1,365.3,131.2,1524.8,1478.5,1090.4,193.1,208.1,1536.2,1524.0,1102.6,139.2,1394.2,1561.9,193.6,180.3,1510.8,242.5
DV,1108.0,1487.3,1464.9,661.9,126.5,160.8,1421.4,151.7,1611.0,197.4,1453.8,1255.6,1502.9,574.3,97.6,1055.2,539.3,1489.4,526.7,9.5,0.0,215.5,599.8,143.3,1491.7,1116.8,170.7,1157.0,1527.5,1484.7,1104.0,1739.3,1035.0,137.6,246.2,508.2,1527.4,1140.0,1135.9,1488.3,1126.3,1460.0,527.0,1150.4,1561.4,598.6,101.8,147.6,88.4,1540.3,1566.1,1505.5,77.2,210.0,244.9,152.0,179.4,600.9,260.5,1489.4,1545.5,267.7,154.9,204.0,1237.1,1576.6,1477.6,593.5,191.8,32.3,521.4,1498.5,1485.0,1147.5,1505.2,1152.4,1417.6,1483.4,1574.4,1469.9,249.9,418.0,1120.0,1504.0,1481.9,458.8,1408.9,183.2,1475.6,633.9,1493.7,392.3,147.3,513.9,1625.4,1083.5,162.8,132.6,128.5,1124.1,145.0,1530.9,1517.2,1135.4,17.7,1453.6,50.3,1566.8,523.7,226.6,1078.7,43.9,128.4,662.9,503.9,235.6,1446.2,1517.0,260.3,1528.6,135.4,193.3,1514.9,487.8,1347.4,1482.0,568.1,179.5,111.6,1540.8,1105.5,1534.4,512.3,1443.9,374.9,140.8,1515.6,1469.3,1081.2,202.7,217.7,1527.0,1514.8,1093.4,130.0,1385.0,1552.7,203.2,185.8,1501.6,252.1
EB,1299.3,1678.6,1656.2,681.1,145.7,143.1,1616.1,82.4,1802.3,46.1,1645.1,1446.9,1694.2,593.5,127.8,1246.5,558.5,1680.7,545.9,216.6,225.8,0.0,619.0,162.5,1683.0,1308.1,142.6,1348.3,1718.8,1676.0,1295.3,1879.2,1226.3,103.1,361.3,527.4,1714.2,1331.3,1327.2,1679.6,1317.6,1651.3,546.2,1341.7,1752.7,617.8,206.5,129.9,290.7,1737.6,1757.4,1696.8,221.5,5.4,22.8,158.6,381.7,620.1,397.2,1680.7,1736.8,338.8,101.7,105.7,1428.4,1767.9,1668.9,612.5,93.5,253.2,540.6,1689.8,1675.8,1338.8,1696.5,1343.7,1608.9,1674.7,1765.7,1661.2,386.6,437.2,1306.4,1695.3,1673.2,478.0,1600.2,140.1,1666.9,653.1,1685.0,411.5,217.4,533.1,1816.7,1274.8,232.9,108.1,182.1,1315.4,216.8,1722.2,1720.8,1326.7,208.1,1644.9,171.5,1758.1,542.9,11.4,1270.0,181.5,147.6,682.1,523.1,20.0,1637.5,1708.3,397.0,1719.9,337.7,42.0,1706.2,507.0,1538.7,1673.3,587.3,381.8,113.8,1732.1,1296.8,1725.7,531.5,1635.2,394.1,123.1,1706.9,1660.6,1272.5,118.0,119.4,1718.3,1706.1,1284.7,234.7,1576.3,1744.0,63.4,161.8,1692.9,30.0
EF,1456.2,1835.5,1813.1,416.4,494.4,608.1,1769.6,576.4,1959.2,622.1,1802.0,1603.8,1851.1,328.8,547.2,1403.4,464.7,1837.6,243.4,602.1,611.3,640.2,0.0,477.6,1839.9,1465.0,618.0,1505.2,1875.7,1832.9,1452.2,1875.6,1383.2,547.0,536.2,354.7,1875.6,1488.2,1484.1,1836.5,1474.5,1808.2,305.8,1498.6,1909.6,16.8,671.5,594.9,596.4,1888.5,1914.3,1853.7,686.5,634.7,669.6,623.6,530.6,19.1,572.1,1837.6,1893.7,513.7,602.2,651.3,1585.3,1924.8,1825.8,440.0,639.1,643.7,238.1,1846.7,1833.2,1495.7,1853.4,1500.6,1765.8,1831.6,1922.6,1818.1,561.5,265.9,1468.2,1852.2,1830.1,161.2,1757.1,592.6,1823.8,52.1,1841.9,227.4,682.4,230.6,1973.6,1431.7,697.9,542.0,647.1,1472.3,678.0,1879.1,1865.4,1483.6,593.6,1801.8,560.6,1915.0,449.1,651.3,1426.9,567.0,492.5,417.4,220.6,660.3,1794.4,1865.2,571.9,1876.8,613.5,618.0,1863.1,204.5,1695.6,1830.2,414.6,530.7,561.2,1889.0,1453.7,1882.6,229.0,1792.1,244.4,588.1,1863.8,1817.5,1429.4,614.7,665.0,1875.2,1863.0,1441.6,699.7,1733.2,1900.9,650.5,637.2,1849.8,676.8
EH,1136.7,1516.0,1493.6,518.5,16.7,130.4,1450.1,98.7,1639.7,144.4,1482.5,1284.3,1531.6,430.9,69.5,1083.9,395.9,1518.1,383.3,124.4,133.6,162.5,456.4,0.0,1520.4,1145.5,140.3,1185.7,1556.2,1513.4,1132.7,1716.6,1063.7,69.3,198.7,364.8,1556.1,1168.7,1164.6,1517.0,1155.0,1488.7,383.6,1179.1,1590.1,455.2,193.8,117.2,222.1,1569.0,1594.8,1534.2,208.8,157.0,191.9,145.9,313.1,457.5,234.6,1518.1,1574.2,176.2,124.5,173.6,1265.8,1605.3,1506.3,450.1,161.4,166.0,378.0,1527.2,1513.7,1176.2,1533.9,1181.1,1446.3,1512.1,1603.1,1498.6,224.0,274.6,1148.7,1532.7,1510.6,315.4,1437.6,114.9,1504.3,490.5,1522.4,248.9,204.7,370.5,1654.1,1112.2,220.2,64.3,169.4,1152.8,200.3,1559.6,1545.9,1164.1,115.9,1482.3,82.9,1595.5,380.3,173.6,1107.4,89.3,14.8,519.5,360.5,182.6,1474.9,1545.7,234.4,1557.3,269.1,140.3,1543.6,344.4,1376.1,1510.7,424.7,313.2,83.5,1569.5,1134.2,1563.1,368.9,1472.6,231.5,110.4,1544.3,1498.0,1109.9,137.0,187.3,1555.7,1543.5,1122.1,222.0,1413.7,1581.4,172.8,159.5,1530.3,199.1
EL,765.7,269.0,200.4,1757.6,1388.2,1499.0,211.3,1470.2,228.2,1515.9,189.5,542.2,151.8,1670.0,1441.0,521.0,1635.0,248.1,1622.4,1444.4,1434.8,1534.0,1695.5,1371.4,0.0,477.6,1511.8,456.9,197.4,227.0,465.2,2059.7,419.6,1440.8,1345.1,1603.9,197.3,439.9,497.1,139.6,426.2,131.0,1622.7,667.1,178.6,1694.3,1433.3,1488.7,1345.7,210.2,163.3,175.4,1408.7,1528.5,1563.4,1483.5,1260.3,1696.6,1359.4,290.4,99.6,1366.6,1496.0,1545.1,465.2,193.8,70.9,1689.2,1532.9,1402.4,1617.1,168.4,192.0,464.3,263.9,532.4,173.1,153.3,171.6,290.1,1348.8,1513.7,481.2,173.9,110.0,1554.5,270.8,1486.4,234.3,1729.6,229.4,1488.0,1478.8,1609.6,242.6,549.3,1494.3,1435.8,1460.0,484.9,1476.5,200.8,110.6,435.3,1452.6,189.1,1454.4,184.0,1619.4,1545.1,439.9,1460.8,1386.3,1758.6,1599.6,1554.1,144.8,71.1,1359.2,179.9,1327.4,1511.8,184.8,1583.5,209.3,80.9,1663.8,1260.4,1455.0,134.1,442.2,150.1,1608.0,254.1,1470.6,1481.9,182.7,62.6,547.0,1508.5,1558.8,191.9,68.9,454.6,1461.5,246.9,222.6,1544.3,1517.3,118.8,1570.6
EO,456.5,695.2,504.6,1416.1,1046.7,1157.5,657.7,1128.7,674.6,1174.4,635.9,416.5,598.2,1328.5,1099.5,179.5,1293.5,674.3,1280.9,1102.9,1093.3,1192.5,1354.0,1029.9,531.4,0.0,1170.3,102.2,567.2,673.4,58.7,2208.3,78.1,1099.3,1003.6,1262.4,567.1,85.2,90.6,586.0,103.9,577.4,1281.2,360.8,625.0,1352.8,1091.8,1147.2,1004.2,580.0,609.7,545.2,1067.2,1187.0,1221.9,1142.0,918.8,1355.1,1017.9,619.4,585.2,1025.1,1154.5,1203.6,262.2,640.2,517.3,1347.7,1191.4,1060.9,1275.6,538.2,618.2,89.2,690.1,212.1,457.3,523.1,618.0,639.7,1007.3,1172.2,57.3,543.7,556.4,1213.0,448.6,1144.9,660.5,1388.1,675.8,1146.5,1137.3,1268.1,689.0,207.8,1152.8,1094.3,1118.5,7.2,1135.0,570.6,556.9,101.0,1111.1,493.3,1112.9,630.4,1277.9,1203.6,29.9,1119.3,1044.8,1417.1,1258.1,1212.6,591.2,556.7,1017.7,626.3,985.9,1170.3,554.6,1242.0,387.1,521.7,1322.3,918.9,1113.5,580.5,47.2,596.5,1266.5,483.6,1129.1,1140.4,629.1,509.0,205.5,1167.0,1217.3,638.3,554.5,48.1,1120.0,424.7,592.4,1202.8,1175.8,565.2,1229.1
EU,1214.6,1593.9,1571.5,668.9,133.5,83.7,1531.4,80.5,1717.6,124.9,1560.4,1362.2,1609.5,581.3,93.0,1161.8,546.3,1596.0,533.7,181.8,189.9,142.6,606.8,150.3,1598.3,1223.4,0.0,1263.6,1634.1,1591.3,1210.6,1845.9,1141.6,90.9,349.1,515.2,1634.0,1246.6,1242.5,1594.9,1232.9,1566.6,534.0,1257.0,1668.0,605.6,93.1,70.5,195.0,1652.9,1672.7,1612.1,125.8,137.5,165.5,99.2,286.0,607.9,367.1,1596.0,1652.1,326.6,30.8,79.9,1343.7,1683.2,1584.2,600.5,67.7,157.5,528.4,1605.1,1591.1,1254.1,1611.8,1259.0,1524.2,1590.0,1681.0,1576.5,356.5,425.0,1226.6,1610.6,1588.5,465.8,1515.5,144.6,1582.2,640.9,1600.3,399.3,136.3,520.9,1731.6,1190.1,151.8,95.9,117.5,1230.7,74.1,1637.5,1649.5,1242.0,173.3,1560.2,136.7,1673.4,530.7,131.1,1185.3,146.7,135.4,669.9,510.9,122.5,1552.8,1623.6,366.9,1635.2,242.0,120.8,1621.5,494.8,1454.0,1588.6,575.1,286.1,79.0,1666.8,1212.1,1641.0,519.3,1550.5,381.9,63.7,1622.2,1575.9,1187.8,130.2,93.6,1633.6,1621.4,1200.0,112.4,1491.6,1659.3,79.1,19.2,1608.2,172.7
FI,454.3,671.2,480.6,1453.4,1084.0,1194.8,633.7,1166.0,650.6,1211.7,611.9,414.3,574.2,1365.8,1136.8,216.8,1330.8,650.3,1318.2,1140.2,1130.6,1229.8,1391.3,1067.2,507.4,78.5,1207.6,0.0,543.2,649.4,98.7,2245.6,115.4,1136.6,1040.9,1299.7,543.1,15.8,130.6,562.0,79.5,553.4,1318.5,398.1,601.0,1390.1,1129.1,1184.5,1041.5,556.0,585.7,521.2,1104.5,1224.3,1259.2,1179.3,956.1,1392.4,1055.2,595.4,561.2,1062.4,1191.8,1240.9,260.0,616.2,493.3,1385.0,1228.7,1098.2,1312.9,514.2,594.2,65.2,666.1,219.9,433.3,499.1,594.0,615.7,1044.6,1209.5,103.1,519.7,532.4,1250.3,424.6,1182.2,636.5,1425.4,651.8,1183.8,1174.6,1305.4,665.0,245.1,1190.1,1131.6,1155.8,85.8,1172.3,546.6,532.9,76.6,1148.4,469.3,1150.2,606.4,1315.2,1240.9,69.9,1156.6,1082.1,1454.4,1295.4,1249.9,567.2,532.7,1055.0,602.3,1023.2,1207.6,530.6,1279.3,363.1,497.7,1359.6,956.2,1150.8,556.5,43.1,572.5,1303.8,459.6,1166.4,1177.7,605.1,485.0,242.8,1204.3,1254.6,614.3,530.5,88.1,1157.3,400.7,568.4,1240.1,1213.1,541.2,1266.4
FK,813.3,306.0,248.0,1805.2,1435.8,1546.6,315.5,1517.8,332.4,1563.5,293.7,589.8,209.4,1717.6,1488.6,568.6,1682.6,285.1,1670.0,1492.0,1482.4,1581.6,1743.1,1419.0,189.2,525.2,1559.4,504.5,0.0,331.2,512.8,2065.9,467.2,1488.4,1392.7,1651.5,177.9,487.5,544.7,243.8,473.8,235.2,1670.3,719.3,282.8,1741.9,1480.9,1536.3,1393.3,190.8,267.5,156.0,1456.3,1576.1,1611.0,1531.1,1307.9,1744.2,1407.0,362.8,243.0,1414.2,1543.6,1592.7,512.8,298.0,175.1,1736.8,1580.5,1450.0,1664.7,52.5,229.0,511.9,300.9,580.0,220.7,32.7,275.8,250.5,1396.4,1561.3,528.8,154.5,214.2,1602.1,318.4,1534.0,271.3,1777.2,333.6,1535.6,1526.4,1657.2,346.8,596.9,1541.9,1483.4,1507.6,532.5,1524.1,35.5,254.0,482.9,1500.2,236.7,1502.0,288.2,1667.0,1592.7,487.5,1508.4,1433.9,1806.2,1647.2,1601.7,249.0,214.5,1406.8,284.1,1375.0,1559.4,51.5,1631.1,256.9,179.5,1711.4,1308.0,1502.6,238.3,489.8,254.3,1655.6,301.7,1518.2,1529.5,286.9,166.8,594.6,1556.1,1606.4,296.1,212.3,502.2,1509.1,294.5,203.2,1591.9,1564.9,223.0,1618.2
