from_stop,AF,AH,AO,AT,BA,BM,BP,BQ,BS,BU,BX,CD,CM,CX,DH,DT,DV,EB,EH,EL,EO,EU,FI,FK,FL,FP,FQ,FS,FX,GK,GU,HA,HD,HH,HN,HP,IE,IK,IN,IU,IZ,JD,JL,JP,JY,KA,KB,KH,KJ,KR,KV,KX,LA,LE,LI,LQ,LR,LS,MQ,MS,MU,MZ,NA,NC,NI,NL,OG,OJ,OQ,OS,PL,PV,PW,QE,QJ,QP,QY,RF,RH,RO,RW,RX,RZ,SA,SB,SD,SK,SM,SP,TC,TF,TQ,TW,UD,UQ,UZ,VA,VO,VT,VU,VV,VY,VZ,WI,WJ,WP,WR,WV,WY,XA,XG,XO,XU,YB,YC,YL,YR,YV,ZA,ZB,ZF,ZG,ZM,ZN,ZV,ZW
BX,141.0,508.4,175.6,610.8,607.0,464.0,610.6,328.5,643.4,431.6,0.0,225.3,613.3,162.9,422.1,656.2,639.1,648.9,636.1,289.5,93.4,674.6,73.0,625.1,422.8,268.9,2226.9,43.6,641.4,603.7,599.3,97.4,295.0,339.9,69.2,390.5,24.4,335.5,643.1,624.9,659.3,621.9,311.2,608.2,636.4,668.5,658.0,698.4,553.8,643.8,387.0,212.2,575.7,718.3,734.1,34.9,361.9,248.9,712.2,634.0,618.0,379.7,99.8,463.0,144.6,233.7,605.5,270.8,404.5,635.1,204.1,555.2,302.4,129.7,512.0,463.5,687.2,328.3,113.6,769.4,652.1,711.6,169.2,639.3,616.3,173.4,132.5,627.3,174.6,645.4,365.3,641.5,229.5,629.5,643.9,706.7,456.8,213.3,629.4,469.3,598.1,626.2,594.0,168.5,272.3,571.5,602.5,244.3,145.0,288.2,163.1,653.6,392.1,264.8,182.6,698.3,446.4,271.3,278.0,667.6,152.2,583.8,725.9,655.0,377.6,644.6
CD,162.4,290.4,125.1,385.4,388.9,251.7,385.2,103.6,425.4,213.6,257.0,0.0,395.3,191.7,196.7,438.2,421.1,430.9,418.1,98.8,150.6,456.6,214.0,389.7,204.7,253.1,2001.5,188.8,416.0,385.7,381.3,257.4,279.2,121.9,173.6,172.4,207.8,117.5,425.1,406.9,441.3,403.9,93.2,387.1,418.4,450.4,440.0,480.4,335.7,425.8,169.0,110.3,357.7,500.3,516.1,292.0,149.5,23.7,494.2,416.0,396.9,161.7,207.6,245.0,157.2,183.3,387.5,45.3,179.1,417.1,247.3,337.2,135.0,147.1,294.0,245.5,469.1,110.3,190.1,551.3,426.7,493.5,198.1,421.2,396.4,66.1,255.5,409.3,104.1,390.2,147.3,423.4,213.7,411.5,427.4,488.7,229.3,40.6,411.4,251.3,380.0,408.2,376.0,124.8,81.7,353.5,384.5,19.3,193.7,62.7,112.6,435.5,174.1,39.8,237.4,480.3,228.4,80.6,262.2,449.6,140.1,365.8,507.9,437.0,159.6,445.3
CM,511.3,271.0,536.0,117.5,104.9,208.9,187.4,514.4,97.2,241.5,671.0,410.8,0.0,591.0,388.9,42.8,25.7,92.7,103.4,509.7,567.8,243.5,602.5,214.0,204.3,697.0,2263.1,602.8,162.2,172.6,179.6,606.3,723.1,301.5,590.9,240.6,621.8,336.9,212.0,78.9,228.2,238.0,386.8,211.8,205.3,101.8,101.8,196.3,142.7,212.7,351.7,521.1,113.0,287.2,188.1,706.0,385.2,434.6,166.2,202.9,206.9,451.3,556.5,225.6,506.1,594.1,194.4,462.2,407.2,204.0,632.2,176.2,483.9,575.8,274.6,273.4,208.6,403.9,539.1,290.8,150.7,280.5,597.3,208.2,228.4,477.0,672.8,14.5,515.0,112.7,351.3,95.5,657.6,97.0,112.7,166.5,257.3,451.5,198.3,394.7,167.0,47.1,182.9,535.7,492.5,160.4,10.8,430.2,542.6,422.8,523.5,107.6,238.3,450.7,586.4,152.3,331.1,491.5,706.1,236.5,550.9,176.0,185.7,223.9,350.2,88.4
CX,78.8,452.4,131.4,594.2,551.0,408.0,567.5,282.0,597.4,375.6,164.0,178.8,557.3,0.0,375.6,600.2,583.1,592.9,580.1,217.0,57.5,618.6,121.0,569.1,366.8,105.9,2142.7,95.8,594.9,547.7,543.3,145.4,132.0,283.9,80.6,334.5,114.8,279.5,588.9,568.9,603.3,565.9,255.2,552.2,580.4,612.5,602.0,642.4,497.8,587.8,331.0,168.0,519.7,662.3,678.1,199.0,305.9,204.1,656.2,578.0,562.0,323.7,131.5,407.0,82.4,184.2,549.5,224.3,358.0,579.1,50.7,499.2,246.4,85.5,456.0,407.5,631.2,272.3,51.4,713.4,627.4,655.6,43.2,591.1,560.3,129.2,155.8,571.8,130.4,589.4,309.3,585.5,66.5,573.5,587.9,650.7,400.8,169.1,574.9,413.3,542.1,570.2,538.0,124.3,199.8,515.5,546.5,197.8,117.6,241.7,118.9,597.6,336.1,220.2,120.4,642.3,390.4,198.8,115.0,611.6,108.0,527.8,669.9,599.0,321.6,588.6
DH,323.4,225.1,330.1,411.3,368.1,207.1,484.6,308.5,414.5,260.0,462.0,204.9,374.4,396.7,0.0,417.3,400.2,410.0,397.2,303.8,355.5,435.7,419.0,386.2,222.8,458.1,2080.0,393.8,456.0,364.8,360.4,418.4,484.2,247.8,378.6,259.1,412.8,243.4,406.0,386.0,420.4,383.0,219.1,369.3,397.5,429.6,419.1,459.5,314.9,404.9,294.9,315.2,336.8,479.4,495.2,497.0,269.8,230.6,473.3,395.1,379.1,95.9,368.6,167.8,319.9,382.9,366.6,256.3,18.2,396.2,452.3,316.3,269.7,352.1,136.0,291.9,448.3,236.2,351.2,530.5,444.5,472.7,403.0,408.2,377.4,271.1,453.8,388.9,309.1,406.5,273.2,402.6,418.7,390.6,405.0,467.8,275.8,245.6,392.0,377.2,359.2,387.3,355.1,329.8,286.6,332.6,363.6,224.3,354.7,217.3,317.6,414.7,256.8,246.7,398.5,459.4,354.3,285.6,467.2,428.7,345.0,344.9,487.0,416.1,285.5,405.7
DT,543.8,303.5,611.7,103.5,137.4,239.1,176.8,590.1,99.6,274.0,703.5,486.5,32.4,623.5,421.4,0.0,11.7,125.2,89.4,585.4,600.3,276.0,635.0,246.5,236.8,739.7,2295.6,635.3,148.2,205.1,209.0,638.8,765.8,334.0,623.4,273.1,654.3,369.4,246.3,111.4,260.7,270.5,419.3,241.2,237.8,58.9,86.8,228.8,175.2,245.2,384.2,596.8,142.4,319.7,220.6,738.5,412.1,512.2,198.7,235.4,282.6,437.3,589.0,258.1,540.3,664.5,226.9,537.9,446.2,236.5,664.7,208.7,516.4,608.3,307.1,305.9,241.1,436.4,571.6,323.3,136.7,313.0,629.8,248.5,260.9,552.7,698.6,17.9,590.7,98.7,383.8,128.0,700.3,83.0,97.2,199.0,289.8,527.2,232.3,427.2,199.5,70.0,215.4,611.4,568.2,192.9,43.2,505.9,575.1,498.9,599.2,140.1,270.8,528.3,618.9,184.8,363.6,567.2,748.8,269.0,626.6,208.5,218.2,256.4,382.7,120.9
DV,547.1,306.8,599.9,91.7,140.7,242.4,165.0,578.3,111.8,277.3,731.8,474.7,35.7,626.8,452.0,12.1,0.0,128.5,77.6,573.6,625.3,279.3,638.3,249.8,240.1,727.9,2298.9,663.6,136.4,208.4,197.2,642.1,754.0,337.3,648.4,276.4,682.6,372.7,249.6,114.7,264.0,273.8,422.6,229.4,241.1,71.1,99.0,232.1,178.5,248.5,387.5,585.0,130.6,323.0,223.9,766.8,415.4,500.4,202.0,238.7,270.8,425.5,592.3,261.4,543.6,652.7,230.2,526.1,434.4,239.8,668.0,212.0,539.5,621.9,310.4,309.2,244.4,439.7,574.9,326.6,124.9,316.3,633.1,251.8,264.2,540.9,723.6,21.2,578.9,86.9,387.1,131.3,688.5,71.2,85.4,202.3,293.1,515.4,235.6,430.5,202.8,58.2,218.7,599.6,556.4,196.2,46.5,494.1,578.4,487.1,587.4,143.4,274.1,516.5,622.2,188.1,366.9,555.4,737.0,272.3,614.8,211.8,221.5,259.7,386.0,124.2
EB,509.0,268.7,533.7,147.5,102.6,204.3,220.8,512.1,95.7,239.2,668.7,408.5,74.8,588.7,386.6,117.7,100.6,0.0,133.4,507.4,565.5,241.2,600.2,211.7,202.0,694.7,2261.6,600.5,192.2,170.3,177.3,604.0,720.8,299.2,588.6,238.3,619.5,334.6,211.5,76.6,225.9,235.7,384.5,209.5,203.0,110.8,100.3,194.0,140.4,210.4,349.4,518.8,110.7,284.9,185.8,703.7,377.3,434.2,163.9,200.6,204.6,432.9,554.2,223.3,505.5,586.5,192.1,459.9,404.9,201.7,629.9,173.9,481.6,573.5,272.3,271.1,206.3,401.6,536.8,288.5,180.7,278.2,595.0,213.7,226.1,474.7,663.8,89.3,512.7,142.7,349.0,93.2,655.3,145.0,141.2,164.2,264.4,449.2,197.5,392.4,164.7,87.7,180.6,533.4,490.2,158.1,64.0,427.9,540.3,420.5,521.2,105.3,236.0,450.3,584.1,150.0,328.8,489.2,703.8,234.2,548.6,173.7,183.4,221.6,347.9,47.5
EH,536.9,305.9,543.6,35.4,139.8,241.5,87.3,522.0,167.9,276.4,675.5,418.4,112.7,610.2,395.7,89.1,76.9,163.4,0.0,517.3,569.0,278.4,632.5,266.1,239.2,671.6,2293.5,607.3,58.7,207.5,208.5,631.9,697.7,336.4,592.1,275.5,626.3,456.9,248.7,139.4,263.1,272.9,432.6,240.7,240.2,148.1,172.5,231.2,177.6,247.6,386.6,528.7,141.9,322.1,248.6,710.5,414.5,444.1,226.7,237.8,273.3,369.2,582.1,260.5,533.4,596.4,229.3,469.8,378.1,238.9,665.8,211.1,483.2,565.6,309.5,308.3,283.9,449.7,564.7,345.2,47.2,315.4,616.5,250.9,272.8,484.6,667.3,98.2,522.6,30.6,386.2,156.0,632.2,82.5,7.8,227.0,292.2,459.1,234.7,429.6,201.9,100.1,217.8,543.3,500.1,195.3,117.0,437.8,568.2,430.8,531.1,168.1,273.2,460.2,612.0,212.8,366.0,499.1,680.7,271.4,558.5,210.9,246.2,258.8,385.1,159.1
EL,255.9,417.6,191.2,512.6,516.2,373.2,515.8,230.3,562.6,340.8,323.1,127.1,522.5,235.6,323.9,565.4,548.3,558.1,545.3,0.0,216.6,583.8,280.1,516.9,332.0,291.6,2112.1,254.9,543.2,512.9,508.5,304.5,317.7,249.1,239.7,299.7,273.9,244.7,554.1,534.1,568.5,531.1,220.4,514.3,545.6,577.7,567.2,607.6,463.0,553.0,296.2,176.3,484.9,627.5,643.3,358.1,271.1,152.4,621.4,543.2,524.1,288.9,306.9,372.2,259.5,244.0,514.7,172.6,306.3,544.3,285.8,464.4,262.2,213.2,421.2,372.7,596.4,237.5,228.5,678.6,553.9,620.8,278.9,556.3,523.6,132.2,314.9,537.0,170.2,517.4,274.5,550.7,252.2,538.7,553.1,615.9,356.6,133.1,540.1,378.5,507.3,535.4,503.2,190.9,72.9,480.7,511.7,146.1,294.7,190.0,178.7,562.8,301.3,168.5,297.5,607.5,355.6,19.1,300.7,576.8,206.1,493.0,635.1,564.2,286.8,553.8
EO,47.5,421.1,82.1,517.3,519.7,376.7,520.5,235.0,556.1,344.3,106.4,131.8,526.0,69.4,328.6,568.9,551.8,561.6,548.8,196.0,0.0,587.3,63.4,537.8,335.5,175.4,2133.4,38.2,547.9,516.4,512.0,87.8,201.5,252.6,23.0,303.2,57.2,248.2,555.8,537.6,572.0,534.6,223.9,520.9,549.1,581.2,570.7,611.1,466.5,556.5,299.7,118.7,488.4,631.0,646.8,141.4,280.2,155.4,624.9,546.7,530.7,292.4,90.2,375.7,51.1,140.2,518.2,177.3,311.0,547.8,110.6,467.9,215.1,36.2,424.7,376.2,599.9,241.0,20.1,682.0,558.6,624.3,75.7,552.0,529.0,79.9,104.9,540.5,81.1,522.1,278.0,554.2,136.0,542.2,556.6,619.4,360.1,119.8,542.1,382.0,510.8,538.9,506.7,75.0,178.8,484.2,515.2,150.8,86.3,194.7,69.6,566.3,304.8,171.3,89.1,611.0,359.1,177.8,184.5,580.3,58.7,496.5,638.6,567.7,290.3,576.0
EU,569.0,328.7,593.7,296.8,222.7,264.3,370.1,572.1,318.7,299.2,728.7,468.5,283.8,648.7,446.6,326.7,309.6,306.6,282.7,567.4,625.5,0.0,660.2,253.7,262.0,754.7,2290.9,660.5,341.5,191.8,227.9,664.0,780.8,359.2,648.6,298.3,679.5,394.6,185.0,232.0,227.0,277.7,444.5,236.8,204.5,333.8,323.3,124.6,182.4,231.9,409.4,578.8,222.3,43.6,180.8,763.7,437.3,494.2,158.9,202.1,246.6,500.0,614.2,283.3,565.5,646.5,234.1,519.9,464.9,223.2,689.9,233.9,541.6,633.5,332.3,331.1,93.7,461.6,596.8,155.0,330.0,36.9,655.0,187.2,268.1,534.7,723.8,298.3,572.7,292.0,409.0,187.1,715.3,276.1,290.5,134.3,315.0,509.2,219.0,452.4,166.2,296.7,222.6,593.4,550.2,200.1,273.0,487.9,600.3,480.5,581.2,176.5,296.0,510.3,644.1,131.7,388.8,549.2,763.8,207.7,608.6,215.7,153.5,64.6,407.9,302.3
FI,113.7,455.6,148.3,597.4,554.2,411.2,586.7,301.2,600.6,378.8,108.7,198.0,560.5,135.6,394.8,603.4,586.3,596.1,583.3,262.2,66.1,621.8,0.0,572.3,370.0,241.6,2199.6,40.5,642.1,550.9,546.5,44.6,267.7,287.1,41.9,337.7,59.5,282.7,592.1,572.1,606.5,569.1,258.4,555.4,583.6,615.7,605.2,645.6,501.0,591.0,334.2,184.9,522.9,665.5,681.3,143.7,309.1,223.3,659.4,581.2,565.2,326.9,47.0,410.2,117.3,201.1,552.7,243.5,377.2,582.3,176.8,502.4,249.6,102.4,459.2,410.7,634.4,275.5,86.3,716.6,630.6,658.8,141.9,594.3,563.5,146.1,118.5,575.0,147.3,592.6,312.5,588.7,202.2,576.7,591.1,653.9,394.6,186.0,578.1,416.5,545.3,573.4,541.2,141.2,245.0,518.7,549.7,217.0,92.2,260.9,135.8,600.8,339.3,239.4,155.3,645.5,393.6,244.0,250.7,614.8,124.9,531.0,673.1,602.2,324.8,591.8
FK,504.5,279.9,511.2,228.0,184.8,217.8,297.9,489.6,221.2,250.4,643.1,385.9,191.1,577.8,363.3,234.0,216.9,226.7,213.9,484.9,536.6,234.4,600.1,0.0,213.2,639.2,2261.1,574.9,272.7,163.5,123.8,599.5,665.3,310.4,559.7,249.5,593.9,424.5,202.9,202.7,219.1,97.6,400.2,94.9,196.2,246.3,235.8,276.2,71.2,203.6,360.6,496.3,153.5,278.1,313.0,678.1,394.1,409.8,291.1,193.8,104.7,336.8,549.7,234.5,499.3,569.3,19.5,437.4,345.7,194.9,633.4,125.0,450.8,533.2,283.5,282.3,247.0,417.3,532.3,329.1,261.2,271.4,584.1,199.1,49.3,452.2,641.6,205.1,490.2,223.2,360.2,219.3,599.8,207.3,221.7,266.5,266.2,426.7,189.2,403.6,157.9,204.0,80.7,510.9,467.7,43.5,180.3,405.4,535.8,398.4,498.7,231.4,247.2,425.9,579.6,263.9,340.0,466.7,648.3,227.4,526.1,85.5,285.7,214.8,359.1,241.1
FL,306.9,85.5,331.6,227.3,184.1,41.1,297.2,310.0,220.5,37.1,466.6,206.3,190.4,386.6,203.4,233.3,216.2,226.0,213.2,305.3,363.4,251.7,398.1,202.2,0.0,492.6,2125.1,398.4,272.0,180.8,176.4,401.9,518.7,97.1,386.5,36.2,417.4,132.5,220.2,202.0,236.4,199.0,182.4,185.3,213.5,245.6,235.1,275.5,130.9,220.9,147.3,316.7,152.8,295.4,311.2,501.6,180.8,232.1,289.3,211.1,195.1,230.7,352.1,40.1,301.7,389.7,182.6,257.8,221.7,212.2,427.8,132.3,279.5,371.4,89.1,69.0,264.3,199.5,334.7,346.5,260.5,288.7,392.9,216.4,193.4,272.6,468.4,204.4,310.6,222.5,146.9,218.6,453.2,206.6,221.0,283.8,52.9,247.1,208.0,190.3,175.2,203.3,171.1,331.3,288.1,148.6,179.6,225.8,338.2,218.4,319.1,230.7,33.9,246.3,382.0,275.4,126.7,287.1,501.7,244.7,346.5,160.9,303.0,232.1,145.8,240.4
