from_stop,AA,AH,AK,AM,AO,AS,AU,BH,BT,BW,BZ,CB,CC,CI,CU,CY,CZ,DA,DB,DG,DH,DI,DK,DY,EC,EF,EJ,EL,ET,EX,EZ,FB,FI,FL,FM,FR,FU,FV,GA,GK,GL,GM,GO,GQ,GS,GX,GZ,HC,HU,HV,IC,IF,IH,II,IQ,IR,IS,IU,IV,JB,JF,JH,JN,JP,JU,KC,KE,KG,KR,KS,KU,KY,LE,LG,LP,LR,LS,LT,MG,MJ,MM,MP,NF,NL,NT,NX,OC,OE,OF,OH,OQ,PJ,PL,PP,PQ,PW,PX,QA,QN,QP,QR,QT,QW,QZ,RL,RN,RU,SH,SL,SM,SP,SR,SY,SZ,TB,TI,TN,TS,TU,TX,TY,TZ,UE,UG,UI,UU,VJ,VP,VV,VW,VX,WJ,WK,WL,WT,XB,XC,XG,XR,XV,XX,YD,YG,YM,YN,YS,YW,ZC,ZD,ZM,ZX
BZ,520.8,499.7,276.0,405.6,254.7,281.5,310.3,344.8,216.8,795.5,0.0,606.1,731.2,520.2,310.6,790.1,252.0,295.3,562.2,180.4,220.5,243.0,265.9,319.7,333.0,241.0,166.6,534.3,525.1,721.9,805.5,353.3,236.6,377.6,286.8,256.1,230.1,2349.4,196.7,749.2,236.4,51.3,316.2,415.1,406.6,736.0,275.6,757.6,215.3,176.1,231.9,245.4,223.5,547.5,522.7,530.2,754.4,304.7,244.5,759.0,254.5,273.0,530.8,317.6,263.3,517.0,324.8,186.5,210.7,531.7,217.5,847.4,266.1,335.6,303.3,221.2,239.6,309.6,563.8,264.5,254.5,757.3,338.9,79.5,239.1,236.3,787.1,805.4,600.2,270.0,298.9,238.8,740.9,577.6,776.4,329.0,833.0,229.1,247.0,490.6,274.1,520.1,767.9,243.8,755.3,277.7,372.0,218.2,306.9,383.4,243.9,400.7,487.6,557.2,241.0,454.1,84.3,212.2,227.5,689.5,192.7,520.3,280.1,372.9,255.1,368.6,309.9,483.2,245.7,269.9,221.7,301.6,285.0,225.9,253.3,256.3,310.9,66.4,391.7,300.6,267.4,281.4,380.6,789.1,296.1,806.4,442.5,582.1,545.9,262.2,325.0
CB,236.3,166.9,800.1,843.4,714.7,641.8,662.9,873.8,678.2,368.4,615.2,0.0,304.1,144.6,663.2,363.0,572.1,707.6,91.6,704.5,573.1,665.2,700.3,843.8,857.1,765.1,599.7,201.5,83.8,406.3,489.9,877.4,760.7,901.7,647.1,696.1,754.2,2450.4,607.5,433.6,513.5,663.1,662.7,254.9,246.4,308.9,635.9,442.0,549.9,624.1,756.0,565.5,528.7,76.7,123.1,197.4,327.3,819.8,768.6,331.9,607.1,729.8,198.0,664.1,675.6,164.2,848.9,634.5,684.3,122.3,494.6,420.3,571.3,726.0,827.4,688.0,763.7,723.1,123.2,617.1,589.1,441.7,872.7,552.7,591.7,653.7,471.5,378.3,129.5,732.8,730.2,573.4,425.3,166.7,349.3,675.5,405.9,575.1,680.1,153.0,551.2,165.8,340.8,559.7,328.2,724.1,718.5,742.3,696.3,856.3,470.6,266.5,280.7,115.6,765.1,283.0,547.9,736.3,660.6,373.9,610.1,125.7,626.6,897.0,779.2,908.0,741.2,219.7,598.3,575.1,448.4,648.1,695.4,632.4,777.4,520.7,767.2,671.3,217.3,712.9,533.8,805.5,227.7,362.0,642.6,379.3,231.3,147.0,105.3,679.6,715.4
CC,344.2,253.3,935.3,978.6,849.9,777.0,798.1,1009.0,813.4,120.6,750.4,282.3,0.0,323.6,798.4,115.2,707.3,842.8,202.9,839.7,708.3,800.4,835.5,979.0,992.3,900.3,734.9,287.9,298.1,154.8,192.0,1012.6,895.9,1036.9,782.3,831.3,889.4,2445.2,742.7,127.4,648.7,798.3,797.9,341.3,332.8,4.8,771.1,149.7,685.1,759.3,891.2,700.7,663.9,217.8,283.6,283.8,19.4,955.0,903.8,84.1,742.3,865.0,284.4,799.3,810.8,250.6,984.1,769.7,819.5,282.8,629.8,116.1,706.5,861.2,962.6,823.2,898.9,858.3,254.2,752.3,724.3,143.8,1007.9,687.9,726.9,788.9,173.6,130.5,240.9,868.0,865.4,708.6,135.7,381.0,101.5,810.7,158.1,710.3,815.3,294.0,686.4,289.8,32.9,694.9,80.4,859.3,853.7,877.5,831.5,991.5,605.8,352.9,389.9,329.9,900.3,392.2,683.1,871.5,795.8,177.8,745.3,253.9,761.8,1032.2,914.4,1043.2,876.4,328.9,733.5,710.3,583.6,783.3,830.6,767.6,912.6,655.9,902.4,806.5,303.7,848.1,669.0,940.7,314.1,57.8,777.8,94.6,340.5,222.8,236.3,814.8,850.6
CI,127.5,166.1,719.5,762.8,634.1,561.2,582.3,793.2,597.6,371.1,534.6,162.3,306.8,0.0,582.6,365.7,491.5,627.0,174.6,623.9,492.5,584.6,619.7,763.2,776.5,684.5,519.1,200.7,60.7,297.5,381.1,796.8,680.1,821.1,566.5,615.5,673.6,2369.8,526.9,324.8,432.9,582.5,582.1,149.9,158.4,311.6,555.3,333.2,469.3,543.5,675.4,484.9,448.1,159.7,58.3,196.6,330.0,739.2,688.0,334.6,526.5,649.2,197.2,583.5,595.0,124.5,768.3,553.9,603.7,73.4,414.0,423.0,490.7,645.4,746.8,607.4,683.1,642.5,206.2,536.5,508.5,332.9,792.1,472.1,511.1,573.1,362.7,381.0,212.5,652.2,649.6,492.8,316.5,57.3,352.0,594.9,408.6,494.5,599.5,44.2,470.6,73.7,343.5,479.1,330.9,643.5,637.9,661.7,615.7,775.7,390.0,185.9,171.9,92.8,684.5,174.2,467.3,655.7,580.0,265.1,529.5,98.0,546.0,816.4,698.6,827.4,660.6,110.9,517.7,494.5,367.8,567.5,614.8,551.8,696.8,440.1,686.6,590.7,136.7,632.3,453.2,724.9,147.1,364.7,562.0,382.0,122.5,230.0,188.3,599.0,634.8
CU,571.0,549.9,380.5,247.2,292.8,83.8,18.7,277.6,82.0,845.7,317.2,656.3,781.4,570.4,0.0,840.3,120.5,53.6,612.4,305.3,117.7,266.0,278.4,424.2,439.1,365.9,131.9,584.5,575.3,772.1,855.7,459.4,361.5,342.6,89.1,274.2,287.7,2292.3,95.7,799.4,369.3,263.9,215.7,465.3,456.8,786.2,77.9,807.8,137.1,242.5,279.7,113.9,194.3,597.7,572.9,580.4,804.6,223.6,267.3,809.2,69.4,212.1,581.0,217.1,25.5,567.2,430.9,252.9,88.1,581.9,350.4,897.6,236.9,228.3,411.3,266.1,364.5,283.2,614.0,64.9,176.3,807.5,276.5,232.5,138.4,254.5,837.3,855.6,650.4,215.1,212.5,160.6,791.1,627.8,826.6,222.3,883.2,97.6,94.0,540.8,407.0,570.3,818.1,262.0,805.5,206.4,265.3,343.1,199.6,260.1,384.5,450.9,537.8,607.4,305.9,504.3,227.7,337.1,73.4,739.7,210.9,570.5,179.6,337.9,380.0,311.8,223.5,533.4,145.0,240.7,362.3,201.1,255.5,120.6,378.2,227.1,249.5,272.1,441.9,58.9,240.2,247.4,430.8,839.3,195.6,856.6,492.7,632.3,596.1,280.4,217.7
CY,378.2,290.9,972.9,1016.2,887.5,814.6,835.7,1046.6,851.0,5.3,788.0,319.9,113.9,361.2,836.0,0.0,744.9,880.4,240.5,877.3,745.9,838.0,873.1,1016.6,1029.9,937.9,772.5,325.5,335.7,210.4,247.6,1050.2,933.5,1074.5,819.9,868.9,925.4,2482.8,780.3,183.0,690.1,835.9,835.5,378.9,370.4,114.7,808.7,205.3,722.7,796.9,928.8,730.5,701.5,252.9,321.2,321.4,137.1,992.6,941.4,77.3,779.9,902.6,322.0,836.9,848.4,288.2,1021.7,807.3,857.1,320.4,667.4,126.0,744.1,898.8,1000.2,860.8,936.5,895.9,291.8,789.9,761.9,199.4,1045.5,725.5,764.5,819.7,229.2,15.2,278.5,905.6,903.0,746.2,191.3,416.8,13.7,848.3,104.5,747.9,852.9,331.6,724.0,327.4,150.6,732.5,34.7,896.9,891.3,915.1,866.2,1029.1,643.4,390.5,427.5,367.5,937.9,429.8,720.7,909.1,833.4,197.7,782.9,288.0,799.4,1069.8,952.0,1080.8,914.0,366.5,771.1,747.9,621.2,820.9,868.2,805.2,950.2,693.5,940.0,844.1,341.3,885.7,706.6,978.3,351.7,101.3,815.4,43.2,378.1,260.4,273.9,852.4,888.2
CZ,457.9,436.8,303.2,321.4,281.9,97.1,89.3,351.8,184.7,732.6,219.5,543.2,668.3,457.3,118.1,727.2,0.0,171.8,499.3,207.6,96.2,168.3,241.3,346.9,360.2,268.2,99.0,471.4,462.2,659.0,742.6,380.5,263.8,404.8,102.4,237.1,257.3,2304.5,62.8,686.3,314.3,166.2,203.7,352.2,343.7,673.1,91.2,694.7,24.0,144.8,259.1,4.9,81.2,484.6,459.8,467.3,691.5,297.8,271.7,696.1,148.5,300.2,467.9,205.1,143.7,454.1,352.0,155.2,178.6,468.8,295.4,784.5,123.8,267.0,330.5,248.4,266.8,264.1,500.9,158.5,63.2,694.4,350.7,156.9,114.8,156.8,724.2,742.5,537.3,297.2,286.7,47.5,678.0,514.7,713.5,216.5,770.1,30.4,157.5,427.7,352.0,457.2,705.0,153.0,692.4,280.6,259.5,245.4,237.3,334.3,271.4,337.8,424.7,494.3,268.2,391.2,152.1,239.4,136.9,626.6,113.2,457.4,167.6,400.1,282.3,395.8,297.7,420.3,121.4,127.6,249.2,189.1,236.4,87.7,280.5,114.0,338.1,174.4,328.8,177.1,127.1,308.6,317.7,726.2,183.6,743.5,379.6,519.2,483.0,182.7,256.4
DA,609.4,591.9,395.2,261.9,307.5,125.8,60.7,292.3,96.7,887.7,309.7,698.3,823.4,612.4,41.9,882.3,162.5,0.0,648.2,305.6,157.5,305.8,293.1,438.9,453.8,405.7,173.9,626.5,617.3,814.1,897.7,474.1,401.3,357.3,131.1,288.9,304.0,2307.0,137.7,841.4,384.0,303.7,230.4,507.3,498.8,828.2,119.9,849.8,179.1,282.3,294.4,155.9,236.3,642.2,614.9,622.4,846.6,238.3,282.0,851.2,89.2,226.8,623.0,240.5,40.2,609.2,445.6,292.7,102.8,618.7,365.1,939.6,278.9,243.0,426.0,280.8,404.3,297.9,656.0,79.6,218.3,849.5,291.2,247.2,178.2,294.8,879.3,897.6,692.4,229.8,227.2,202.6,833.1,674.9,868.6,237.0,925.2,139.6,136.0,582.8,421.7,612.3,860.1,301.8,847.5,221.1,280.0,382.9,210.4,274.8,426.5,492.9,579.8,649.4,320.6,546.3,242.4,376.9,115.4,781.7,250.7,609.0,194.3,352.6,419.8,326.5,238.2,575.4,184.8,282.7,404.3,215.8,270.2,162.6,418.0,269.1,264.2,311.9,483.9,5.2,282.2,262.1,472.8,881.3,210.3,898.6,534.7,674.3,638.1,320.2,232.4
DB,255.8,122.3,755.5,801.7,670.1,597.2,618.3,829.2,633.6,273.8,570.6,82.2,209.5,167.5,618.6,265.1,527.5,665.9,0.0,659.9,528.5,620.6,655.7,799.2,812.5,720.5,555.1,156.9,106.7,282.8,363.2,832.8,716.1,857.1,602.5,651.5,709.6,2405.8,562.9,298.6,468.9,618.5,618.1,210.3,201.8,214.3,591.3,318.5,505.3,579.5,711.4,520.9,484.1,17.7,146.0,152.8,232.7,775.2,724.0,237.3,562.5,685.2,153.4,622.4,631.0,119.6,804.3,589.9,639.7,147.5,450.0,325.7,526.7,681.4,782.8,643.4,719.1,678.5,90.1,572.5,544.5,315.0,828.1,504.8,547.1,606.3,344.8,283.7,40.8,688.2,685.6,528.8,301.8,187.8,254.7,633.8,314.2,530.5,635.5,163.0,506.6,158.8,246.2,515.1,233.6,679.5,673.9,697.7,651.7,811.7,426.0,221.9,282.8,138.5,720.5,249.3,503.3,688.4,616.0,250.4,565.5,122.9,584.9,849.1,734.6,866.3,696.6,225.7,553.7,530.5,403.8,603.5,650.8,584.5,732.8,472.8,722.6,626.7,172.7,668.3,489.2,760.9,183.1,264.1,598.0,281.4,240.6,52.4,72.2,635.0,670.8
DG,602.4,581.3,146.4,234.9,74.2,252.6,244.8,215.2,201.2,877.1,174.5,687.7,812.8,601.8,273.3,871.7,223.1,279.7,643.8,0.0,222.7,245.2,85.4,190.1,203.4,111.4,137.7,615.9,606.7,803.5,887.1,223.7,107.0,248.0,257.9,75.6,59.4,2307.6,167.8,830.8,293.8,121.2,135.7,496.7,488.2,817.6,246.7,839.2,239.7,178.3,51.4,216.5,225.7,629.1,604.3,611.8,836.0,211.3,64.0,840.6,256.7,92.5,612.4,137.1,247.7,598.6,195.2,188.7,195.1,613.3,274.9,929.0,268.3,155.1,173.7,40.7,110.0,129.1,645.4,253.2,278.9,838.9,209.3,157.0,241.3,238.5,868.7,887.0,681.8,89.5,118.4,263.2,822.5,659.2,858.0,148.5,914.6,200.2,231.4,572.2,331.5,601.7,849.5,246.0,836.9,97.2,191.5,88.6,126.4,253.8,301.3,482.3,569.2,638.8,60.5,535.7,152.2,82.6,211.9,771.1,194.9,601.9,99.6,243.3,125.5,239.0,129.4,564.8,247.9,272.1,279.1,121.1,104.5,197.0,123.7,258.5,130.4,129.4,473.3,285.0,269.6,100.9,462.2,870.7,115.6,888.0,524.1,663.7,627.5,264.4,144.5
DH,499.0,477.9,326.3,304.4,305.0,189.0,123.9,334.8,139.2,773.7,242.6,584.3,709.4,498.4,124.2,768.3,116.3,168.6,540.4,230.7,0.0,191.4,316.2,370.0,383.3,291.3,174.9,512.5,503.3,700.1,783.7,403.6,286.9,399.8,194.3,306.4,280.4,2349.5,151.7,727.4,316.8,189.3,237.9,393.3,384.8,714.2,183.1,735.8,94.1,167.9,282.2,109.7,122.3,525.7,500.9,508.4,732.6,280.8,294.8,737.2,68.1,269.3,509.0,239.3,136.6,495.2,375.1,178.3,145.3,509.9,297.9,825.6,164.9,285.5,353.6,271.5,289.9,298.3,542.0,78.1,133.3,735.5,333.7,180.0,18.5,179.9,765.3,783.6,578.4,272.3,269.7,117.6,719.1,555.8,754.6,279.5,811.2,119.3,199.2,468.8,354.5,498.3,746.1,187.4,733.5,263.6,322.5,268.5,256.8,317.3,312.5,378.9,465.8,535.4,291.3,432.3,175.2,262.5,178.6,667.7,136.3,498.5,201.8,395.1,305.4,369.0,280.7,461.4,25.1,168.7,290.3,223.3,270.6,176.6,303.6,155.1,306.7,197.5,369.9,173.9,211.0,304.6,358.8,767.3,217.8,784.6,420.7,560.3,524.1,205.8,274.9
