from_stop,AE,AI,AQ,AY,BA,BC,BG,BQ,BS,BX,CF,CL,CO,CT,CU,CW,DE,DI,DM,DP,DS,DX,DZ,ED,EF,EG,EJ,EL,EM,EO,EP,EQ,FA,FC,FG,FI,FJ,FL,FN,FV,GB,GE,GF,GG,HD,HE,HI,HJ,HK,HP,HU,IF,IK,IQ,IU,IX,JB,JD,JE,JI,JP,JX,KA,KE,KF,KL,KO,KP,KY,LC,LE,LN,LT,MF,ML,MS,MT,MU,MX,NC,ND,NE,NF,NI,NK,NQ,NT,OA,OC,OD,OE,OF,OL,OM,OQ,OZ,PB,PG,PK,PP,PQ,PR,PV,QH,QL,QM,QN,QO,QP,QT,QW,RA,RB,RF,RH,RJ,RL,RO,RX,SA,SB,SD,SH,SQ,SV,SY,SZ,TA,TC,TG,TI,TM,TQ,TU,TW,UA,UF,UG,UK,UM,UP,UQ,UY,UZ,VD,VF,VN,VP,VR,VS,VZ,WB,WF,WH,WL,WY,WZ,XG,XJ,XN,YA,YF,YJ,YL,YM,YY,ZA,ZB,ZD,ZK,ZL,ZQ,ZR,ZV,ZW,ZX,ZY
HD,379.2,219.5,1009.3,331.7,904.6,403.9,232.4,382.3,373.7,332.7,338.8,294.8,841.3,282.5,277.5,278.0,947.3,263.8,349.1,308.8,220.2,162.0,929.6,418.4,703.4,892.0,888.3,956.0,350.3,318.0,419.6,929.3,894.7,905.8,863.3,375.1,291.1,232.6,252.1,189.5,347.4,360.8,310.6,885.3,0.0,900.2,418.6,246.2,649.9,865.0,822.5,346.5,2591.9,396.3,354.2,362.5,936.7,193.9,275.4,311.8,882.4,175.9,597.7,166.5,285.7,877.2,299.0,845.3,408.6,594.8,351.3,270.0,410.0,344.4,276.3,323.8,825.8,367.0,433.9,280.5,323.3,875.7,420.1,892.3,908.8,77.2,370.2,316.8,415.3,803.6,845.7,282.0,949.2,837.2,268.1,421.1,877.6,332.0,856.9,952.7,1008.4,426.0,380.6,925.1,357.8,595.5,843.1,364.7,942.9,306.8,348.9,268.1,365.0,909.5,380.5,855.8,906.4,864.8,330.7,250.8,370.9,867.6,810.5,872.9,816.6,370.9,864.1,356.1,866.4,312.6,349.1,245.1,859.2,872.1,340.3,292.1,400.3,876.6,235.5,861.6,327.8,197.2,425.3,247.9,354.7,437.9,189.0,401.3,862.2,349.1,317.9,376.2,340.1,395.0,369.1,326.2,868.5,817.3,318.4,330.5,306.4,934.6,371.6,903.6,1002.4,849.0,373.8,350.5,394.2,572.5,372.0,238.1,896.3,823.0,848.4,862.4,410.7
HE,1039.2,826.7,346.2,925.8,203.7,958.5,892.4,1042.3,910.9,992.7,998.8,954.8,333.4,942.5,937.5,870.3,284.2,763.7,905.8,968.8,880.2,822.0,228.7,1009.9,484.3,242.0,256.2,261.0,938.1,855.2,874.8,266.2,227.2,204.9,49.0,1035.1,951.1,804.9,912.1,849.5,900.0,922.6,847.8,264.2,836.1,0.0,973.2,825.7,630.2,45.4,113.2,883.7,2476.6,1056.3,1014.2,915.1,248.6,853.9,935.4,829.1,83.1,835.9,578.0,826.5,785.6,327.1,959.0,50.2,1000.1,575.1,932.1,811.2,964.6,938.5,936.3,983.8,132.8,1027.0,988.5,940.5,983.3,316.2,1080.1,3.5,276.7,871.8,922.8,976.8,952.5,130.6,213.6,942.0,248.3,329.3,928.1,970.9,210.1,992.0,292.3,251.8,307.5,975.8,917.8,224.2,895.0,459.8,306.1,901.9,242.0,806.7,866.2,928.1,902.2,272.4,1040.5,12.3,21.3,337.5,990.7,910.8,908.1,44.5,137.5,132.2,166.6,912.5,356.2,893.3,298.2,972.6,886.3,823.4,86.5,277.4,877.5,952.1,937.5,226.6,787.6,313.7,987.8,857.2,977.9,774.7,891.9,1029.4,849.0,938.5,212.2,886.3,977.9,913.4,879.8,947.6,956.9,877.5,309.0,124.3,855.6,990.5,882.6,233.7,1031.6,207.8,301.5,176.0,911.0,1010.5,931.4,552.8,924.6,898.1,215.1,72.1,349.1,212.4,1002.2
HI,216.7,261.4,1122.3,227.2,979.8,14.6,218.0,154.9,216.3,254.8,223.4,280.4,916.5,268.1,198.5,305.0,1060.3,273.7,173.7,294.4,294.9,313.6,1004.8,108.7,778.6,967.2,963.5,1037.1,58.2,141.9,667.5,1042.3,969.9,981.0,938.5,179.1,195.0,235.6,237.7,341.1,59.9,144.9,149.3,960.5,397.4,976.4,0.0,271.2,725.1,946.4,897.7,187.7,2713.4,273.5,246.6,48.0,1024.7,280.2,215.3,336.8,963.8,265.5,672.9,318.1,295.6,952.4,226.3,926.7,98.9,672.9,131.9,277.0,8.5,256.6,261.9,129.2,901.0,289.1,15.3,231.5,200.5,950.9,297.3,967.5,984.0,433.1,84.6,169.6,109.1,878.8,920.9,205.0,1024.4,912.4,160.5,73.9,952.8,209.2,932.1,1027.9,1083.6,78.8,223.2,1000.3,177.8,670.7,918.3,105.8,1018.1,316.7,371.8,160.5,158.2,984.7,234.4,990.6,981.6,940.0,223.1,236.4,129.0,942.8,885.7,938.8,891.8,148.7,939.3,114.2,941.6,189.8,135.4,258.1,934.4,947.3,157.9,277.7,118.3,951.8,260.5,936.8,130.4,303.5,78.1,272.9,141.9,99.1,252.4,95.1,937.4,149.1,170.7,124.8,158.7,25.5,39.4,353.2,943.7,892.5,178.2,132.3,333.4,1009.8,131.1,978.8,1077.6,924.2,236.6,155.9,112.2,647.7,38.5,223.7,971.5,898.2,923.6,937.6,52.1
HJ,338.3,73.4,948.6,215.3,806.1,246.2,191.5,302.1,198.6,291.8,297.9,253.9,742.8,241.6,220.1,135.0,897.0,51.3,193.5,267.9,106.9,125.6,831.1,297.6,604.9,793.5,793.8,863.4,225.8,142.9,566.3,868.6,796.2,807.3,764.8,288.1,250.2,65.6,211.2,153.1,187.7,210.3,135.5,786.8,296.2,802.7,260.9,0.0,551.4,772.7,724.0,171.4,2539.7,355.4,313.3,202.2,851.0,92.2,234.5,102.5,790.1,77.5,499.2,130.1,77.0,778.7,258.1,753.0,287.8,499.2,219.8,102.6,252.3,228.0,235.4,235.1,727.3,326.1,276.2,239.6,282.4,777.2,379.2,793.8,810.3,331.9,210.5,275.5,240.2,705.1,747.2,241.1,850.7,738.7,227.2,258.6,779.1,291.1,758.4,854.2,909.9,263.5,205.5,826.6,182.7,497.0,744.6,189.6,844.4,98.1,137.5,227.2,189.9,811.0,339.6,816.9,807.9,766.3,289.8,209.9,195.8,769.1,712.0,765.1,718.1,200.2,765.6,181.0,767.9,271.7,174.0,88.1,760.7,773.6,165.2,251.2,225.2,778.1,26.2,763.1,241.8,115.5,265.6,38.6,179.6,317.1,64.4,226.2,763.7,174.0,276.6,201.1,167.5,235.3,244.6,150.9,770.0,718.8,143.3,241.8,156.0,836.1,282.9,805.1,903.9,750.5,192.9,261.8,219.1,474.0,212.3,197.2,797.8,724.5,749.9,763.9,289.9
HK,745.0,539.1,783.0,638.2,640.5,670.9,598.2,726.8,623.3,698.5,704.6,660.6,577.2,648.3,643.3,582.7,721.0,476.1,618.2,674.6,572.6,585.5,665.5,722.3,358.4,627.9,624.2,697.8,650.5,567.6,638.3,703.0,630.6,641.7,599.2,712.8,656.9,517.3,617.9,613.0,612.4,635.0,560.2,621.2,599.6,637.1,685.6,538.1,0.0,607.1,558.4,596.1,2467.2,762.1,720.0,627.5,685.4,557.9,641.2,541.5,624.5,543.2,83.1,590.0,498.0,613.1,664.8,587.4,712.5,94.0,644.5,523.6,677.0,650.9,642.1,659.8,561.7,732.8,700.9,646.3,689.1,611.6,785.9,628.2,644.7,635.3,635.2,682.6,664.9,539.5,581.6,649.2,685.1,573.1,633.9,683.3,613.5,697.8,592.8,688.6,744.3,688.2,630.2,661.0,607.4,327.1,579.0,614.3,678.8,519.1,578.6,633.9,614.6,645.4,746.3,651.3,642.3,600.7,696.5,616.6,620.5,603.5,546.4,608.8,552.5,624.9,600.0,605.7,602.3,678.4,598.7,535.8,595.1,608.0,589.9,657.9,649.9,612.5,500.0,597.5,666.5,581.2,690.3,487.1,604.3,741.8,530.1,650.9,598.1,598.7,683.7,625.8,592.2,660.0,669.3,589.9,604.4,553.2,568.0,666.5,595.0,670.5,707.6,639.5,738.3,584.9,623.4,686.5,643.8,63.3,637.0,603.9,632.2,558.9,584.3,598.3,714.6
HP,993.7,781.2,381.4,880.3,238.9,913.0,846.9,996.8,865.4,947.2,953.3,909.3,328.3,897.0,892.0,824.8,329.8,732.4,860.3,923.3,834.7,776.5,262.7,964.4,438.8,249.2,295.4,296.2,892.6,809.7,829.3,301.4,262.4,240.1,84.2,989.6,905.6,755.4,866.6,804.0,857.7,877.1,802.3,299.4,790.6,35.1,929.0,780.2,584.7,0.0,105.0,838.2,2433.6,1010.8,968.7,869.0,282.6,808.4,889.9,784.9,37.6,790.4,532.5,781.0,740.1,322.0,911.3,4.7,954.6,532.5,890.1,765.7,919.1,893.0,890.8,938.3,168.0,981.5,943.0,896.3,937.8,312.4,1034.6,37.5,311.9,826.3,877.3,931.3,907.0,158.1,248.8,896.5,283.5,324.2,882.6,925.4,245.3,946.5,287.2,287.0,342.7,930.3,872.3,259.4,849.5,414.3,301.0,856.4,277.2,761.2,818.6,882.6,856.7,307.6,995.0,47.5,56.5,332.4,945.2,865.3,862.6,79.7,150.9,158.1,172.5,866.1,352.4,849.1,293.1,927.1,840.8,777.9,121.7,312.6,832.0,906.6,892.0,232.5,742.1,308.6,940.5,811.7,932.4,729.2,846.4,983.9,803.5,893.0,218.1,840.8,932.4,867.9,834.3,902.1,911.4,832.0,303.9,159.5,810.1,945.0,837.1,268.9,986.1,241.8,336.7,162.4,865.7,965.0,885.9,507.3,879.1,852.6,250.3,106.1,344.0,218.3,956.7
HU,953.7,747.8,309.0,846.9,166.5,879.6,806.9,935.5,832.0,907.2,913.3,869.3,292.0,857.0,852.0,791.4,257.4,699.0,826.9,883.3,781.3,831.0,191.5,931.0,402.5,204.8,219.0,223.8,859.2,776.3,883.8,229.0,190.0,167.7,63.7,921.5,865.6,722.0,826.6,858.5,824.3,843.7,768.9,227.0,845.1,101.6,894.3,746.8,548.4,136.1,0.0,804.8,2472.2,970.8,928.7,835.6,211.4,766.6,849.9,750.2,153.5,751.9,496.2,835.5,706.7,285.7,873.5,116.4,921.2,496.2,856.7,732.3,885.7,859.6,850.8,868.5,77.6,941.5,909.6,855.0,897.8,274.8,994.6,92.7,239.5,880.8,843.9,891.3,873.6,58.6,176.4,856.5,211.1,287.9,842.6,892.0,172.9,906.5,250.9,214.6,270.3,896.9,838.9,187.0,816.1,378.0,264.7,823.0,204.8,727.8,785.2,842.6,823.3,235.2,955.0,115.8,106.8,296.1,905.2,825.3,829.2,68.0,51.4,125.7,129.4,832.7,314.8,814.4,256.8,887.1,807.4,744.5,36.6,240.2,798.6,866.6,858.6,189.4,708.7,272.3,875.2,789.9,899.0,695.8,813.0,950.5,738.8,859.6,175.0,807.4,892.4,834.5,800.9,868.7,878.0,798.6,267.6,69.1,776.7,875.2,803.7,196.5,916.3,210.6,264.3,62.9,826.3,895.2,852.5,471.0,845.7,812.6,209.1,74.9,307.7,175.2,923.3
IF,283.7,179.9,1040.8,180.0,898.3,181.8,257.0,246.1,46.8,304.7,273.3,319.4,835.0,307.1,164.1,223.5,978.8,192.2,137.5,333.4,213.4,232.1,923.3,241.6,697.1,885.7,882.0,955.6,169.8,43.9,631.8,960.8,888.4,899.5,857.0,232.1,197.6,158.1,276.7,259.6,131.7,154.3,36.5,879.0,361.7,894.9,196.5,189.7,643.6,864.9,816.2,0.0,2631.9,302.8,296.5,146.8,943.2,198.7,181.9,255.3,882.3,184.0,591.4,236.6,214.1,870.9,248.9,845.2,231.8,588.5,163.8,195.5,187.9,198.6,300.9,179.1,819.5,339.0,211.8,252.8,229.8,869.4,326.6,886.0,902.5,397.4,154.5,219.5,141.2,797.3,839.4,188.5,942.9,830.9,210.4,159.6,871.3,238.5,850.6,946.4,1002.1,164.5,53.7,918.8,11.3,589.2,836.8,90.6,936.6,235.2,292.4,210.4,30.5,903.2,285.0,909.1,900.1,858.5,273.0,275.4,111.3,861.3,804.2,866.6,810.3,144.2,857.8,82.0,860.1,219.1,118.0,176.6,852.9,865.8,109.2,316.7,126.2,870.3,179.0,855.3,185.8,222.0,186.2,191.4,123.6,261.1,170.9,127.2,855.9,118.0,220.6,107.1,111.5,170.9,188.6,271.7,862.2,811.0,17.6,185.8,251.9,928.3,226.9,897.3,996.1,842.7,66.9,205.8,120.1,566.2,156.3,262.7,890.0,816.7,842.1,856.1,233.9
IK,2868.9,2656.4,2465.5,2755.5,2491.0,2788.2,2722.1,2872.0,2740.6,2822.4,2828.5,2784.5,2538.1,2772.2,2767.2,2700.0,2434.0,2593.4,2735.5,2798.5,2709.9,2651.7,2496.0,2839.6,2579.5,2466.4,2560.1,2442.7,2767.8,2684.9,2704.5,2416.0,2531.1,2472.2,2528.8,2864.8,2780.8,2634.6,2741.8,2679.2,2729.7,2752.3,2677.5,2568.1,2665.8,2528.8,2802.9,2655.4,2526.0,2493.6,2535.7,2713.4,0.0,2886.0,2843.9,2744.8,2423.4,2683.6,2765.1,2658.8,2511.0,2665.6,2473.8,2656.2,2615.3,2574.0,2788.7,2473.9,2829.8,2470.9,2761.8,2640.9,2794.3,2768.2,2766.0,2813.5,2506.9,2856.7,2818.2,2770.2,2813.0,2572.5,2909.8,2532.4,2580.6,2701.5,2752.5,2806.5,2782.2,2484.7,2517.5,2771.7,2459.5,2534.0,2757.8,2800.6,2514.0,2821.7,2553.7,2451.9,2496.1,2805.5,2747.5,2452.9,2724.7,2471.6,2539.9,2731.6,2461.7,2636.4,2695.9,2757.8,2731.9,2576.3,2870.2,2484.4,2550.2,2561.6,2820.4,2740.5,2737.8,2524.3,2491.6,2554.0,2449.7,2742.2,2560.9,2723.0,2563.2,2802.3,2716.0,2653.1,2572.4,2581.3,2707.2,2781.8,2767.2,2484.9,2617.3,2558.4,2817.5,2686.9,2807.6,2604.4,2721.6,2859.1,2678.7,2768.2,2436.6,2716.0,2807.6,2743.1,2709.5,2777.3,2786.6,2707.2,2565.3,2498.4,2685.3,2820.2,2712.3,2519.9,2861.3,2516.6,2490.1,2594.4,2740.7,2840.2,2761.1,2448.6,2754.3,2727.8,2509.3,2504.1,2545.2,2499.1,2831.9
IQ,246.1,352.1,1205.0,250.0,1062.5,249.0,230.3,235.9,354.5,267.1,235.7,292.7,999.2,280.4,180.2,395.7,1153.4,370.6,235.6,306.7,385.6,404.3,1087.5,263.5,861.3,1049.9,1050.2,1119.8,195.4,279.1,679.8,1125.0,1052.6,1063.7,1021.2,221.9,141.4,330.3,250.0,431.8,192.5,172.5,271.7,1043.2,409.7,1059.1,263.7,361.9,807.8,1029.1,980.4,307.6,2796.1,0.0,258.9,207.0,1107.4,370.9,161.7,421.8,1046.5,356.2,755.6,408.8,378.3,1035.1,152.2,1009.4,253.7,755.6,163.0,367.7,255.1,279.4,274.2,168.9,983.7,301.4,279.0,202.9,101.4,1033.6,23.7,1050.2,1066.7,445.4,215.3,141.0,301.4,961.5,1003.6,153.2,1107.1,995.1,172.8,266.2,1035.5,92.7,1014.8,1110.6,1166.3,271.1,361.4,1083.0,318.9,753.4,1001.0,298.1,1100.8,399.4,456.8,172.8,326.1,1067.4,247.4,1073.3,1064.3,1022.7,235.4,248.7,297.7,1025.5,968.4,1021.5,974.5,182.6,1022.0,306.5,1024.3,122.2,234.1,348.8,1017.1,1030.0,256.6,290.0,310.6,1034.5,351.2,1019.5,130.2,394.2,270.4,363.6,281.5,283.0,343.1,287.4,1020.1,247.8,99.1,303.0,242.8,240.1,214.2,443.9,1026.4,975.2,279.5,175.6,424.1,1092.5,216.7,1061.5,1160.3,1006.9,368.8,195.6,304.5,730.4,217.1,236.0,1054.2,980.9,1006.3,1020.3,255.8
IU,75.7,304.1,1147.0,267.4,1004.5,257.7,169.3,173.6,363.2,101.5,45.9,202.6,941.2,120.9,197.6,347.7,1085.0,298.4,269.2,239.1,337.6,356.3,1029.5,248.0,803.3,991.9,988.2,1061.8,204.1,287.8,621.8,1067.0,994.6,1005.7,963.2,166.4,196.0,282.3,182.4,383.8,201.2,214.6,280.4,985.2,351.7,1001.1,272.4,313.9,749.8,971.1,922.4,316.3,2738.1,274.5,0.0,216.3,1049.4,322.9,195.5,363.8,988.5,308.2,697.6,360.8,320.3,977.1,219.1,951.4,238.2,694.7,205.1,319.7,263.8,296.8,115.4,177.6,925.7,135.8,267.8,200.6,201.5,975.6,298.3,992.2,1008.7,387.4,224.0,170.6,310.1,903.5,945.6,202.1,1049.1,937.1,94.5,274.9,977.5,210.2,956.8,1052.6,1108.3,279.8,370.1,1025.0,327.6,695.4,943.0,306.8,1042.8,341.4,400.9,94.5,334.8,1009.4,58.0,1015.3,1006.3,964.7,23.4,147.4,306.4,967.5,910.4,972.8,916.5,224.7,964.0,315.2,966.3,190.8,242.8,300.8,959.1,972.0,265.3,222.4,319.3,976.5,303.2,961.5,181.6,346.2,279.1,309.4,290.2,267.5,295.1,296.1,962.1,256.5,171.7,311.7,258.1,248.8,222.9,395.9,968.4,917.2,288.2,177.8,376.1,1034.5,201.2,1003.5,1102.3,948.9,383.3,190.4,313.2,672.4,225.8,166.1,996.2,922.9,948.3,962.3,240.3
IX,185.7,213.3,1074.2,179.1,931.7,43.3,169.9,148.1,200.9,206.1,174.7,232.3,868.4,219.4,150.4,256.9,1022.6,237.5,125.6,246.3,246.8,264.9,956.1,143.6,730.5,918.5,919.4,989.0,71.2,126.5,619.4,994.2,921.8,932.9,890.4,134.1,146.9,187.5,189.6,293.0,11.8,102.3,132.9,912.4,349.3,928.3,58.0,222.5,677.0,899.5,849.0,168.8,2665.3,224.8,198.5,0.0,976.6,232.1,167.2,288.7,915.7,217.4,624.8,270.0,247.5,904.3,178.2,878.6,133.8,624.8,89.3,228.9,49.4,208.5,213.8,81.1,852.9,241.0,73.3,182.8,152.4,902.2,249.2,918.8,935.9,385.0,36.5,121.5,93.7,830.7,872.8,156.3,976.3,864.3,112.4,58.5,904.7,161.1,884.0,979.8,1035.5,63.4,207.8,952.2,162.4,622.0,870.2,90.4,970.0,268.6,323.7,112.4,142.8,936.6,186.4,942.5,933.5,891.9,175.0,188.3,113.6,894.7,837.6,890.7,843.7,100.6,890.6,98.8,892.9,141.7,87.3,209.4,886.3,899.2,109.8,229.0,102.9,903.7,212.4,888.7,89.4,254.8,62.7,224.8,126.5,157.2,204.3,79.7,889.3,101.0,122.6,109.4,110.6,32.4,69.6,305.1,895.6,844.4,140.7,87.8,285.3,961.7,128.9,930.1,1028.9,876.1,215.8,107.8,96.8,599.6,9.5,175.0,923.4,849.5,875.5,889.5,110.2
JB,1014.1,808.2,159.3,907.3,109.3,940.0,867.3,995.9,892.4,967.6,973.7,929.7,255.6,917.4,912.4,851.8,97.3,745.2,887.3,943.7,841.7,822.0,114.3,991.4,462.9,191.3,178.4,13.5,919.6,836.7,874.8,79.3,149.4,90.5,204.4,981.9,926.0,786.4,887.0,849.5,881.5,904.1,829.3,186.4,836.1,242.3,954.7,807.2,608.8,286.5,199.8,865.2,2337.6,1031.2,989.1,896.6,0.0,827.0,910.3,810.6,325.5,812.3,556.6,826.5,767.1,249.3,931.7,292.0,981.6,556.6,913.6,792.7,946.1,920.0,911.2,928.9,166.9,1001.9,970.0,915.4,958.2,238.4,1055.0,233.4,198.9,871.8,904.3,951.7,934.0,144.7,135.8,916.9,66.5,251.5,903.0,952.4,132.3,966.9,214.5,22.7,72.6,957.3,899.3,50.3,876.5,438.4,228.3,883.4,32.5,788.2,845.6,903.0,883.7,194.6,1015.4,256.5,247.5,259.7,965.6,885.7,889.6,208.7,151.6,204.7,175.7,893.1,278.4,874.8,220.4,947.5,867.8,804.9,210.0,199.6,859.0,927.0,919.0,209.8,769.1,235.9,937.2,850.3,959.4,756.2,873.4,1010.9,799.2,920.0,161.5,867.8,952.8,894.9,861.3,929.1,938.4,859.0,231.2,158.4,837.1,935.6,864.1,138.2,976.7,241.5,66.6,190.1,892.7,955.6,912.9,531.4,906.1,873.0,234.2,164.1,271.3,224.0,983.7
JD,310.7,68.2,987.0,247.0,844.5,277.9,163.9,313.8,230.3,264.2,270.3,226.3,781.2,214.0,209.0,108.7,925.0,113.1,225.2,240.3,68.9,56.0,869.5,329.3,643.3,831.9,828.2,901.8,257.5,174.6,524.7,907.0,834.6,845.7,803.2,306.6,222.6,81.3,183.6,83.5,219.4,242.0,167.2,825.2,254.6,841.1,292.6,94.9,589.8,811.1,762.4,203.1,2578.1,327.8,285.7,234.5,889.4,0.0,206.9,160.5,828.5,24.6,537.6,60.5,135.0,817.1,230.5,791.4,319.5,534.7,251.5,118.7,284.0,259.7,207.8,255.3,765.7,298.5,307.9,212.0,254.8,815.6,351.6,832.2,848.7,290.3,242.2,248.3,271.9,743.5,785.6,213.5,889.1,777.1,199.6,290.3,817.5,263.5,796.8,892.6,948.3,295.2,237.2,865.0,214.4,535.4,783.0,221.3,882.8,156.1,197.6,199.6,221.6,849.4,312.0,855.3,846.3,804.7,262.2,182.3,227.5,807.5,750.4,812.8,756.5,231.9,804.0,212.7,806.3,244.1,205.7,75.8,799.1,812.0,196.9,223.6,256.9,816.5,84.2,801.5,259.3,27.9,297.3,96.6,211.3,348.8,37.7,257.9,802.1,205.7,249.4,232.8,199.2,267.0,276.3,156.9,808.4,757.2,175.0,262.0,137.1,874.5,303.1,843.5,942.3,788.9,230.4,282.0,250.8,512.4,244.0,169.6,836.2,762.9,788.3,802.3,321.6
JE,202.7,227.5,1070.4,88.2,927.9,212.9,95.7,199.8,243.1,185.9,162.3,158.1,864.6,145.8,18.4,271.1,1008.4,221.8,90.0,172.1,261.0,279.7,952.9,227.4,726.7,915.3,911.6,985.2,159.3,167.7,545.2,990.4,918.0,929.1,886.6,185.8,15.6,205.7,115.4,307.2,156.4,126.3,160.3,908.6,275.1,924.5,227.6,237.3,673.2,894.5,845.8,196.2,2661.5,120.8,177.7,171.5,972.8,246.3,0.0,287.2,911.9,231.6,621.0,284.2,243.7,900.5,63.3,874.8,217.6,618.1,126.9,243.1,219.0,117.6,139.6,132.8,849.1,220.2,242.9,67.2,47.8,899.0,144.6,915.6,932.1,310.8,179.2,104.9,255.4,826.9,869.0,6.5,972.5,860.5,91.6,230.1,900.9,56.5,880.2,976.0,1031.7,235.0,250.0,948.4,207.5,618.8,866.4,204.8,966.2,264.8,324.3,91.6,214.7,932.8,204.0,938.7,929.7,888.1,154.2,114.1,168.3,890.9,833.8,896.2,839.9,116.2,887.4,190.7,889.7,37.1,133.8,224.2,882.5,895.4,137.7,155.4,240.4,899.9,226.6,884.9,95.9,269.6,234.3,232.8,152.1,246.9,218.5,241.4,885.5,146.5,81.0,173.6,81.0,204.0,178.1,319.3,891.8,840.6,168.1,139.5,299.5,957.9,180.6,926.9,1025.7,872.3,263.2,159.5,234.3,595.8,181.0,101.4,919.6,846.3,871.7,885.7,219.7
JI,385.6,131.0,945.3,274.2,802.8,305.1,238.8,361.0,257.5,339.1,345.2,301.2,739.5,288.9,279.0,60.8,883.3,52.4,252.4,315.2,123.2,184.5,827.8,356.5,601.6,790.2,786.5,860.1,284.7,201.8,613.6,865.3,792.9,804.0,761.5,347.0,297.5,96.9,258.5,212.0,249.8,269.2,194.4,783.5,343.5,799.4,319.8,115.8,548.1,769.4,720.7,230.3,2536.4,402.7,360.6,261.1,847.7,137.8,281.8,0.0,786.8,136.4,495.9,189.0,93.7,775.4,305.4,749.7,346.7,495.9,282.2,107.6,311.2,286.9,282.7,294.0,724.0,373.4,335.1,286.9,329.7,773.9,426.5,790.5,807.0,379.2,269.4,323.2,299.1,701.8,743.9,288.4,847.4,735.4,274.5,317.5,775.8,338.4,755.1,850.9,906.6,322.4,264.4,823.3,241.6,493.7,741.3,248.5,841.1,114.8,35.0,274.5,248.8,807.7,386.9,813.6,804.6,763.0,337.1,257.2,254.7,765.8,708.7,761.8,714.8,258.2,762.3,239.9,764.6,319.0,232.9,68.9,757.4,770.3,224.1,298.5,284.1,774.8,77.7,759.8,300.7,112.8,324.5,64.8,238.5,376.0,123.3,285.1,760.4,232.9,324.3,260.0,226.4,294.2,303.5,48.3,766.7,715.5,202.2,300.7,53.4,832.8,341.8,801.8,900.6,747.2,251.8,320.7,278.0,470.7,271.2,244.5,794.5,721.2,746.6,760.6,348.8
JP,1019.7,807.2,407.7,906.3,265.2,939.0,872.9,1022.8,891.4,973.2,979.3,935.3,354.3,923.0,918.0,850.8,345.7,744.2,886.3,949.3,860.7,802.5,290.2,990.4,464.8,273.9,317.7,322.5,918.6,835.7,855.3,327.7,288.7,266.4,110.5,1015.6,931.6,785.4,892.6,830.0,880.5,903.1,828.3,325.7,816.6,61.4,953.7,806.2,610.7,26.2,129.7,864.2,2459.6,1036.8,994.7,895.6,310.1,834.4,915.9,809.6,0.0,816.4,558.5,807.0,766.1,348.0,939.5,20.6,980.6,555.6,912.6,791.7,945.1,919.0,916.8,964.3,194.3,1007.5,969.0,921.0,963.8,337.1,1060.6,65.0,338.2,852.3,903.3,957.3,933.0,184.1,275.1,922.5,309.8,350.2,908.6,951.4,271.6,972.5,313.2,313.3,369.0,956.3,898.3,285.7,875.5,440.3,327.0,882.4,303.5,787.2,846.7,908.6,882.7,333.9,1021.0,73.8,82.8,358.4,971.2,891.3,888.6,106.0,176.9,193.7,198.5,893.0,377.1,873.8,319.1,953.1,866.8,803.9,148.0,338.9,858.0,932.6,918.0,258.5,768.1,334.6,968.3,837.7,958.4,755.2,872.4,1009.9,829.5,919.0,244.1,866.8,958.4,893.9,860.3,928.1,937.4,858.0,329.9,185.8,836.1,971.0,863.1,295.2,1012.1,269.3,363.0,188.4,891.5,991.0,911.9,533.3,905.1,878.6,276.6,133.6,370.0,244.3,982.7
JX,302.7,43.5,962.3,222.3,819.8,253.2,155.9,305.8,205.6,256.2,262.3,218.3,756.5,206.0,201.0,118.6,900.3,88.4,200.5,232.3,44.2,48.0,844.8,304.6,618.6,807.2,803.5,877.1,232.8,149.9,516.7,882.3,809.9,821.0,778.5,295.1,214.6,56.6,175.6,75.5,194.7,217.3,142.5,800.5,246.6,816.4,267.9,70.2,565.1,786.4,737.7,178.4,2553.4,319.8,277.7,209.8,864.7,14.6,198.9,135.8,803.8,0.0,512.9,52.5,110.3,792.4,222.5,766.7,294.8,510.0,226.8,94.0,259.3,235.0,199.8,242.1,741.0,290.5,283.2,204.0,246.8,790.9,343.6,807.5,824.0,282.3,217.5,240.3,247.2,718.8,760.9,205.5,864.4,752.4,191.6,265.6,792.8,255.5,772.1,867.9,923.6,270.5,212.5,840.3,189.7,510.7,758.3,196.6,858.1,131.4,172.9,191.6,196.9,824.7,304.0,830.6,821.6,780.0,254.2,174.3,202.8,782.8,725.7,788.1,731.8,207.2,779.3,188.0,781.6,236.1,181.0,75.1,774.4,787.3,172.2,215.6,232.2,791.8,59.5,776.8,248.8,37.9,272.6,71.9,186.6,324.1,13.0,233.2,777.4,181.0,241.4,208.1,174.5,242.3,251.6,166.8,783.7,732.5,150.3,248.8,147.0,849.8,289.9,818.8,917.6,764.2,205.7,268.8,226.1,487.7,219.3,161.6,811.5,738.2,763.6,777.6,296.9
