from_stop,AD,AF,AJ,AK,AM,AQ,AR,AV,AY,AZ,BE,BK,CG,CI,CJ,CK,CP,CR,DI,DK,DQ,DT,DV,DY,EE,EH,EJ,EK,EM,EN,EQ,FH,FM,FN,GF,GI,GN,GQ,GW,GY,HF,HK,HL,HS,HT,HV,IC,IF,IG,IJ,IL,IN,IS,IU,IZ,JU,JV,KE,KG,KI,KJ,KP,KQ,KT,KU,KW,KY,LF,LJ,LK,LL,MC,MF,ML,MP,MQ,MR,MY,NA,OB,OD,OR,OT,PB,PF,PJ,PN,PP,QI,QN,QQ,QR,QT,QU,RH,RI,RJ,RM,RT,RZ,SL,ST,SX,TB,TF,TQ,TT,TY,UD,UO,UR,UW,UX,VA,VK,VO,VX,VZ,WC,WE,WH,WI,WQ,WR,WX,WY,WZ,XA,XI,XK,XL,XQ,XV,XW,YF,YG,YI,YL,YR,YT,ZE,ZI,ZN
BE,899.4,785.0,248.5,804.9,185.7,824.5,12.8,198.4,752.4,789.9,0.0,317.8,149.4,219.1,193.6,882.6,664.8,298.3,872.5,128.0,402.0,169.9,908.8,405.8,402.7,222.6,152.1,906.1,468.9,891.1,227.9,199.3,790.2,203.3,163.7,350.2,800.3,179.3,342.0,912.1,211.3,430.0,134.2,304.1,901.4,63.2,332.5,346.5,194.5,856.0,146.9,901.9,240.1,858.9,198.8,770.8,262.7,205.2,314.2,135.6,400.1,209.2,220.7,170.7,864.8,742.1,848.5,877.7,836.2,793.3,231.9,776.3,782.8,739.2,854.7,1398.4,732.1,240.5,302.6,350.5,368.0,785.0,368.0,245.8,198.2,220.6,872.9,185.9,833.1,203.5,757.5,813.0,856.0,240.9,357.0,507.3,704.4,108.8,246.2,759.9,687.8,205.2,587.0,886.5,227.5,328.3,179.2,306.5,67.3,869.2,862.3,282.6,870.3,75.4,312.1,106.3,447.3,854.4,783.0,119.2,861.9,353.5,770.7,886.0,97.2,764.6,155.0,837.0,271.1,309.3,326.5,238.1,776.9,197.8,391.5,52.5,889.4,87.9,249.9,361.5,751.3,896.9,735.1
BK,902.2,787.0,189.2,807.7,265.6,833.7,289.0,218.6,755.2,782.1,301.8,0.0,213.3,239.3,242.3,836.8,619.0,239.0,874.5,250.1,342.7,217.9,910.8,346.5,343.4,272.2,249.2,908.1,409.6,893.1,168.6,309.2,792.2,292.4,211.7,290.9,802.3,268.4,282.7,914.1,272.2,370.7,223.3,244.8,903.4,274.9,273.2,287.2,258.4,858.0,236.0,903.9,289.1,860.9,262.7,772.8,201.2,253.9,256.1,210.2,340.8,298.3,87.0,141.4,866.8,873.5,850.5,879.7,838.2,795.3,80.6,778.3,784.8,870.6,856.7,1467.5,686.3,260.7,243.3,291.2,308.7,787.0,308.7,186.5,138.9,284.5,874.9,260.3,835.1,250.2,760.3,767.2,858.0,71.6,297.7,448.0,658.6,265.5,238.4,761.9,689.8,243.8,574.4,888.5,268.5,269.0,254.7,247.0,271.2,871.2,993.7,223.3,872.3,282.4,252.8,273.0,578.7,856.4,785.0,285.9,863.9,310.8,772.7,888.0,263.9,767.4,218.9,839.0,209.8,250.0,267.2,75.3,778.9,251.1,332.2,291.4,892.2,302.2,284.3,301.5,882.7,898.9,728.0
CG,929.1,814.7,171.3,834.6,47.8,854.2,127.9,121.2,782.1,819.6,140.7,240.6,0.0,141.9,144.9,818.9,601.1,201.6,902.2,89.0,324.8,92.7,938.5,328.6,325.5,73.1,151.8,935.8,391.7,920.8,165.7,211.8,819.9,80.6,86.5,273.0,830.0,107.3,264.8,941.8,61.8,352.8,62.2,226.9,931.1,147.3,255.3,269.3,45.0,885.7,74.9,931.6,191.7,888.6,49.3,800.5,185.5,156.5,237.0,112.8,322.9,86.5,143.5,93.5,894.5,771.8,878.2,907.4,865.9,823.0,154.7,806.0,812.5,768.9,884.4,1428.1,668.4,163.3,225.4,273.3,290.8,814.7,290.8,181.3,121.0,71.1,902.6,162.9,862.8,126.3,787.2,749.3,885.7,163.7,279.8,430.1,640.7,104.4,96.7,789.6,717.5,112.7,616.7,916.2,78.0,251.1,41.3,229.3,150.4,898.9,892.0,178.3,900.0,161.6,234.9,111.9,477.0,884.1,812.7,124.8,891.6,276.3,800.4,915.7,102.8,794.3,5.6,866.7,193.9,232.1,249.3,160.9,806.6,120.6,314.3,170.6,919.1,172.0,172.7,284.3,781.0,926.6,764.8
CI,854.0,739.6,166.1,759.5,185.6,786.3,144.7,10.6,707.0,744.5,157.5,235.4,130.7,0.0,87.0,837.2,619.4,215.9,827.1,163.1,319.6,77.7,863.4,323.4,320.3,203.9,81.1,860.7,386.5,845.7,145.5,141.1,744.8,209.8,92.4,267.8,754.9,185.8,259.6,866.7,192.6,347.6,140.7,221.7,856.0,106.8,250.1,264.1,175.8,810.6,153.4,856.5,133.8,813.5,180.1,725.4,178.1,98.6,233.0,42.1,317.7,215.7,138.3,88.3,819.4,696.7,803.1,832.3,790.8,747.9,149.5,730.9,737.4,693.8,809.3,1353.0,686.7,21.3,220.2,268.1,285.6,739.6,285.6,163.4,115.8,201.9,827.5,114.9,787.7,44.1,712.1,767.6,810.6,158.5,274.6,424.9,659.0,172.8,215.3,714.5,642.4,161.2,541.6,841.1,208.8,245.9,172.1,224.1,103.1,823.8,816.9,200.2,824.9,114.3,229.7,170.3,401.9,809.0,737.6,183.2,816.5,287.7,725.3,840.6,161.2,719.2,136.3,791.6,186.7,226.9,244.1,156.7,731.5,79.2,309.1,123.3,844.0,134.1,78.2,278.4,705.9,851.5,689.7
CJ,891.0,776.6,170.3,796.5,182.8,816.1,181.7,87.5,744.0,781.5,194.5,239.6,134.9,108.2,0.0,817.9,600.1,220.1,864.1,171.7,323.8,139.5,900.4,327.6,324.5,208.1,103.4,897.7,390.7,882.7,149.7,141.9,781.8,214.0,133.3,272.0,791.9,190.0,263.8,903.7,196.8,351.8,144.9,225.9,893.0,143.8,254.3,268.3,180.0,847.6,157.6,893.5,104.8,850.5,184.3,762.4,184.5,69.6,236.0,79.1,321.9,219.9,142.5,92.5,856.4,733.7,840.1,869.3,827.8,784.9,153.7,767.9,774.4,730.8,846.3,1448.6,667.4,129.6,224.4,272.3,289.8,776.6,289.8,167.6,120.0,206.1,864.5,76.0,824.7,119.1,749.1,748.3,847.6,162.7,278.8,429.1,639.7,187.1,219.5,751.5,679.4,165.4,578.6,878.1,213.0,250.1,176.3,228.3,140.1,860.8,853.9,204.4,861.9,151.3,233.9,194.6,438.9,846.0,774.6,207.5,853.5,275.3,762.3,877.6,185.5,756.2,140.5,828.6,192.9,231.1,248.3,159.9,768.5,148.9,313.3,160.3,881.0,171.1,153.2,283.3,742.9,888.5,726.7
CK,356.3,602.2,779.7,111.1,869.9,641.7,897.7,827.3,209.3,607.1,910.5,887.2,822.0,848.0,851.0,0.0,238.1,829.5,562.0,858.8,832.7,826.6,633.2,886.8,882.2,862.7,857.9,593.5,831.6,614.5,759.1,815.6,571.0,901.1,820.4,798.2,608.9,877.1,790.0,636.5,882.8,909.5,832.0,811.2,604.2,883.6,780.5,824.8,867.1,673.2,844.7,626.3,897.8,633.3,871.4,579.4,710.7,862.6,762.2,818.9,830.8,907.0,790.1,750.1,682.0,301.7,665.7,613.1,624.4,610.5,801.3,593.5,600.0,353.2,544.2,1736.7,186.4,869.4,809.7,798.5,816.0,602.2,852.8,777.0,724.5,893.2,605.5,872.6,650.3,858.9,200.8,75.2,673.2,810.3,805.0,416.4,350.4,874.2,828.9,577.1,473.3,839.4,606.3,576.0,859.0,823.5,863.4,813.6,879.9,686.4,334.3,813.8,559.8,891.1,760.1,881.7,568.4,635.0,563.8,894.6,679.1,831.4,587.9,703.2,872.6,221.5,827.6,654.2,719.1,757.3,833.6,807.5,573.4,854.5,871.0,900.1,252.2,910.9,893.0,839.8,416.3,586.4,425.1
CP,486.8,706.0,523.7,263.7,618.3,803.9,641.7,571.3,311.1,752.3,654.5,631.2,566.0,592.0,595.0,217.7,0.0,573.5,599.4,602.8,576.7,570.6,670.6,630.8,626.2,606.7,601.9,630.9,527.8,651.9,503.1,663.1,608.4,645.1,564.4,542.2,646.3,621.1,534.0,673.9,624.9,653.5,576.0,555.2,641.6,627.6,524.5,568.8,611.1,828.2,588.7,663.7,641.8,670.7,615.4,616.8,452.5,606.6,506.2,562.9,574.8,651.0,534.1,494.1,837.0,284.9,820.7,650.5,661.8,765.5,545.3,748.5,755.0,336.4,581.6,1516.5,67.2,613.4,553.7,542.5,560.0,706.0,596.8,521.0,468.5,637.2,642.9,616.6,805.3,602.9,353.4,148.1,828.2,554.3,549.0,524.3,112.2,618.2,572.9,732.1,581.2,583.4,368.1,613.4,603.0,567.5,607.4,557.4,623.9,841.4,371.7,557.8,597.2,635.1,504.1,625.7,330.2,672.4,601.2,638.6,834.1,596.0,742.9,858.2,616.6,323.3,571.6,809.2,461.1,501.3,577.6,552.5,610.8,603.8,615.0,644.1,354.8,654.9,637.0,583.1,399.5,623.8,533.0
CR,862.6,747.4,75.2,768.1,202.4,786.9,247.6,177.2,715.6,752.3,260.4,237.1,171.9,197.9,200.9,797.2,579.4,0.0,834.9,208.7,303.1,176.5,871.2,306.9,303.8,100.9,207.8,868.5,370.0,853.5,51.3,267.8,752.6,228.2,170.3,251.3,762.7,227.0,243.1,874.5,144.2,331.1,181.9,205.2,863.8,233.5,233.6,247.6,122.7,818.4,194.6,864.3,247.7,821.3,119.0,733.2,161.6,212.5,216.5,168.8,301.2,234.1,140.0,100.0,827.2,833.9,810.9,840.1,798.6,755.7,151.2,738.7,745.2,831.0,817.1,1427.9,646.7,219.3,203.7,251.6,261.8,747.4,269.1,33.4,99.3,156.5,835.3,218.9,795.5,208.8,720.7,727.6,818.4,160.2,258.1,408.4,619.0,224.1,67.1,722.3,650.2,152.1,534.8,848.9,97.2,229.4,188.9,207.4,229.8,831.6,954.1,13.0,832.7,241.0,213.2,231.6,539.1,816.8,745.4,244.5,824.3,254.6,733.1,848.4,222.5,727.8,172.5,799.4,170.2,210.4,227.6,158.4,739.3,209.7,292.6,250.0,852.6,260.8,242.9,261.9,843.1,859.3,688.4
DI,674.2,287.8,878.6,545.2,937.3,378.5,862.2,829.2,527.2,343.9,875.0,986.1,889.4,849.9,845.7,608.0,641.0,928.4,0.0,926.2,931.6,894.0,147.1,985.7,981.1,961.6,804.2,58.9,824.0,85.8,858.0,808.0,108.4,968.5,887.8,897.1,180.5,944.5,888.9,150.4,951.3,1008.4,899.4,910.1,96.1,824.3,879.4,923.7,934.5,410.0,912.1,140.2,877.4,156.8,938.8,162.5,809.6,857.3,861.1,787.7,929.7,974.4,889.0,847.0,418.8,560.6,402.5,136.6,141.2,347.3,900.2,330.3,336.8,553.3,29.7,1729.1,607.3,871.3,908.6,897.4,914.9,287.8,951.7,875.9,823.4,960.6,139.9,825.5,387.1,860.8,532.3,536.3,410.0,909.2,903.9,580.1,753.3,890.3,927.8,313.9,394.2,919.9,774.4,51.6,957.9,922.4,930.8,912.5,820.6,423.2,491.0,912.7,83.3,831.8,859.0,887.8,825.8,169.4,135.3,900.7,415.9,930.3,324.7,440.0,878.7,539.4,895.0,391.0,818.0,856.2,932.5,906.4,144.9,890.6,969.9,840.8,664.2,851.6,894.9,938.7,653.5,51.8,441.5
DK,901.1,786.7,201.5,803.3,145.7,833.4,99.9,148.1,754.1,781.8,112.7,267.5,102.4,168.8,175.1,884.3,666.5,248.0,874.2,0.0,355.0,122.9,910.5,355.5,352.4,172.3,153.8,904.5,421.9,892.8,180.9,197.7,788.6,156.3,116.7,303.2,802.0,129.0,295.0,913.8,161.3,379.7,83.9,257.1,903.1,119.3,294.0,299.5,147.5,857.7,99.9,900.3,221.9,860.6,148.5,772.5,213.5,186.7,268.4,137.3,353.1,162.2,173.7,120.4,866.5,743.8,850.2,876.1,837.9,795.0,184.9,778.0,784.5,740.9,856.4,1400.1,733.8,193.5,255.6,303.5,313.7,786.7,321.0,198.8,147.9,170.3,874.6,184.3,834.8,156.5,759.2,814.7,857.7,193.9,310.0,460.3,706.1,37.1,199.2,761.6,689.5,154.9,588.7,888.2,180.5,281.3,132.2,259.3,122.4,870.9,864.0,235.6,872.0,133.6,265.1,80.9,449.0,856.1,784.7,93.8,860.3,323.1,772.4,887.7,71.8,763.0,108.0,835.4,222.1,259.0,279.5,192.1,774.2,152.8,344.5,142.6,891.1,144.0,202.9,313.8,753.0,898.6,736.8
DQ,835.0,719.8,259.7,740.5,349.9,759.3,377.7,307.3,688.0,724.7,390.5,367.2,302.0,328.0,331.0,769.6,551.8,309.5,807.3,338.8,0.0,306.6,843.6,109.4,55.8,342.7,337.9,840.9,342.4,825.9,239.1,397.9,725.0,381.1,300.4,25.2,735.1,357.1,51.6,846.9,362.8,105.3,312.0,131.8,836.2,363.6,104.8,109.2,347.1,790.8,324.7,836.7,377.8,793.7,351.4,705.6,108.7,342.6,76.8,298.9,2.0,387.0,270.1,230.1,799.6,828.4,783.3,812.5,771.0,728.1,281.3,711.1,717.6,825.5,789.5,1474.1,619.1,349.4,100.4,95.1,84.2,719.8,136.1,257.0,204.5,373.2,807.7,352.6,767.9,338.9,693.1,700.0,790.8,290.3,103.2,380.8,591.4,354.2,308.9,694.7,622.6,319.4,507.2,821.3,339.0,114.0,343.4,96.1,359.9,804.0,889.1,293.8,805.1,371.1,126.9,361.7,572.6,789.2,717.8,374.6,796.7,139.2,705.5,820.8,352.6,700.2,307.6,771.8,97.3,124.1,131.3,287.5,711.7,334.5,71.7,380.1,825.0,390.9,373.0,123.1,837.6,831.7,660.8
DT,897.4,783.0,144.0,802.9,128.7,822.5,156.5,75.1,750.4,787.9,169.3,213.3,80.8,77.7,117.6,791.6,573.8,193.8,870.5,117.6,297.5,0.0,906.8,301.3,298.2,154.0,124.5,904.1,364.4,889.1,123.4,184.5,788.2,159.9,14.6,245.7,798.3,135.9,237.5,910.1,142.7,325.5,90.8,199.6,899.4,150.2,228.0,242.0,125.9,854.0,103.5,899.9,164.4,856.9,130.2,768.8,158.2,129.2,209.7,85.5,295.6,165.8,116.2,66.2,862.8,740.1,846.5,875.7,834.2,791.3,127.4,774.3,780.8,737.2,852.7,1422.3,641.1,99.1,198.1,246.0,263.5,783.0,263.5,141.3,93.7,152.0,870.9,139.2,831.1,33.5,755.5,722.0,854.0,136.4,252.5,402.8,613.4,133.0,172.6,757.9,685.8,111.3,585.0,884.5,158.9,223.8,122.2,202.0,146.5,867.2,860.3,178.1,868.3,157.7,207.6,140.5,445.3,852.4,781.0,153.4,859.9,249.0,768.7,884.0,131.4,762.6,86.4,835.0,166.6,204.8,222.0,133.6,774.9,27.8,287.0,166.7,887.4,177.5,79.9,257.0,749.3,894.9,733.1
