from_stop,AB,AG,AY,BC,BF,BM,BS,BZ,CA,CB,CF,CO,CW,CX,CY,DA,DJ,DK,DY,EA,EE,EF,EH,EK,EL,ET,EW,EZ,FB,FF,FG,FI,FK,FL,FQ,GA,GG,GH,GI,GL,GY,GZ,HB,HC,HP,HS,HT,HV,HW,HX,IB,IJ,IN,IR,IT,JA,JF,JK,JM,JP,JX,KC,KE,KH,KN,KT,KZ,LK,ME,MO,MS,MV,MW,NB,ND,NK,NN,NQ,NR,NU,OA,OJ,OL,OM,ON,OW,OX,PQ,PY,QA,QJ,QN,QO,QQ,QR,RG,RM,RS,SB,SC,SD,SK,SL,SP,SR,SS,SV,TB,TD,TK,TQ,TR,UJ,UN,UQ,UV,UY,VJ,VT,VY,WF,WJ,WT,WW,WX,XB,XH,XJ,XQ,XZ,YC,YH,YT,YU,ZB,ZF,ZJ,ZL,ZO,ZW
CF,786.8,2940.6,617.1,107.5,831.4,438.7,723.0,577.3,297.8,842.5,0.0,177.9,751.1,399.7,230.0,846.2,809.6,823.0,803.4,504.4,110.1,803.9,368.7,724.4,823.9,49.4,47.2,182.7,840.1,752.1,786.0,700.0,471.0,529.8,303.8,148.6,787.3,238.4,197.8,720.3,95.7,831.1,587.9,727.6,848.4,759.8,748.6,739.7,492.7,693.0,418.3,338.9,188.2,765.5,551.7,138.9,170.7,46.4,515.3,741.5,321.1,620.2,202.5,319.3,519.7,795.9,643.4,576.1,777.2,207.0,607.9,213.1,663.5,846.3,418.1,766.5,514.7,101.6,824.1,142.2,88.2,498.4,120.1,838.9,763.5,137.1,580.3,219.7,843.8,774.6,431.3,861.2,728.7,545.8,122.4,507.3,742.8,227.3,125.9,450.5,805.9,60.9,537.7,494.5,53.3,597.8,5.7,796.2,272.0,818.0,509.7,117.4,569.6,513.8,420.0,168.2,114.4,473.4,145.6,81.0,407.5,521.2,583.8,117.2,551.9,558.1,773.2,577.8,539.9,145.8,556.0,132.6,3.8,451.4,636.6,861.0,563.9,86.0,102.6,741.4
CO,660.0,2787.9,490.3,79.2,707.7,301.9,600.4,450.5,253.8,715.7,184.8,0.0,624.3,279.3,55.4,719.4,682.8,696.2,676.6,377.6,211.8,677.1,248.3,597.6,697.1,211.2,209.0,45.5,713.3,625.3,659.2,573.2,406.1,403.0,114.0,162.1,660.5,194.4,5.8,593.5,91.0,704.3,461.1,600.8,721.6,633.0,619.1,612.9,365.9,566.2,297.9,160.9,59.1,638.7,427.5,240.9,80.0,208.2,434.9,614.7,277.1,504.5,44.8,249.0,417.3,669.1,508.9,449.3,650.4,14.9,510.2,35.1,497.1,719.5,291.3,639.7,449.8,203.3,697.3,34.6,204.0,398.8,221.8,712.1,636.0,150.6,476.1,175.7,717.0,647.8,304.5,734.4,601.9,381.1,90.6,404.9,616.0,49.3,227.6,343.2,679.1,228.3,435.3,429.6,215.1,482.1,190.6,669.4,94.0,691.2,382.9,219.1,449.7,387.0,317.6,204.5,216.1,346.6,185.1,182.7,280.7,356.5,518.9,172.4,425.1,431.3,646.4,512.9,413.1,206.9,491.1,234.3,188.7,349.0,512.8,734.2,437.1,100.7,201.5,614.6
CW,181.8,2514.7,242.3,705.6,246.4,496.8,204.6,510.0,532.8,226.6,774.9,650.0,0.0,478.9,662.2,230.3,224.6,198.8,218.4,437.1,767.4,188.0,468.8,45.1,208.0,770.2,768.0,705.5,255.1,165.1,181.0,122.0,437.2,462.5,623.8,691.1,167.8,591.7,661.4,201.9,717.4,215.2,520.6,39.1,232.5,70.4,161.6,161.7,402.0,174.6,497.5,658.9,680.9,146.0,329.9,749.6,659.8,736.1,433.1,28.0,594.2,274.4,689.7,512.5,483.8,176.4,260.9,427.6,172.2,670.6,334.1,604.8,249.1,210.2,534.9,161.5,480.9,717.0,208.2,684.7,730.4,392.7,730.8,223.0,67.2,679.6,343.4,609.7,214.1,169.6,525.3,245.3,55.2,542.7,722.2,471.8,8.3,631.9,736.6,454.8,190.0,787.3,501.8,460.7,729.2,287.4,780.7,180.3,592.0,198.4,359.7,774.7,312.0,365.3,464.8,733.5,749.7,460.2,714.1,737.6,524.3,518.1,384.1,701.4,484.6,490.8,188.2,378.1,504.5,735.9,347.1,743.3,778.8,437.6,264.8,245.1,528.5,747.0,794.4,52.9
CX,552.9,2679.2,307.6,322.9,595.9,22.5,474.6,341.8,91.3,597.7,392.2,267.3,502.7,0.0,279.5,601.4,574.1,587.5,567.9,268.9,384.7,559.1,27.3,476.0,579.1,387.5,385.3,322.8,604.6,503.7,552.1,451.6,124.0,294.3,241.1,308.4,538.9,150.2,278.7,471.9,334.7,586.3,352.4,479.2,603.6,511.4,500.2,491.3,257.2,444.6,18.5,276.2,298.2,517.1,251.3,366.9,277.1,353.4,214.9,493.1,152.7,255.6,307.0,71.0,219.3,547.5,278.8,340.6,543.3,287.9,243.3,222.1,298.9,539.8,182.6,532.6,167.7,334.3,579.3,302.0,347.7,198.0,348.1,594.1,515.1,296.9,215.7,168.2,525.7,540.7,195.8,616.4,480.3,229.5,339.5,206.9,494.4,249.2,353.9,63.8,561.1,404.6,237.3,147.5,346.5,233.2,398.0,551.4,209.3,582.5,261.6,392.0,237.1,278.3,119.6,350.8,367.0,237.9,331.4,354.9,172.0,204.9,219.2,318.7,316.4,322.6,537.7,213.2,304.4,353.2,191.4,360.6,396.1,151.0,272.0,616.2,328.4,363.7,411.7,493.0
CY,682.2,2810.1,512.5,114.5,729.9,324.1,618.4,472.7,276.0,737.9,220.1,65.4,646.5,301.5,0.0,741.6,705.0,718.4,698.8,399.8,249.1,699.3,270.5,619.8,719.3,246.5,244.3,67.1,738.5,647.5,681.4,595.4,428.3,425.2,136.2,144.7,682.7,216.6,59.6,615.7,126.3,726.5,483.3,623.0,743.8,655.2,641.3,635.1,388.1,588.4,320.1,183.1,41.7,660.9,449.7,203.5,68.7,243.5,457.1,636.9,299.3,526.7,27.4,271.2,439.5,691.3,531.1,471.5,672.6,50.4,532.4,57.3,519.3,741.7,313.5,661.9,472.0,170.6,714.9,88.2,184.0,421.0,184.4,734.3,656.5,133.2,498.3,197.9,739.2,670.0,326.7,756.6,624.1,403.3,131.1,427.1,638.2,20.7,190.2,365.4,701.3,263.6,457.5,451.8,250.4,504.3,225.9,691.6,116.2,713.4,405.1,254.4,471.9,409.2,339.8,187.1,203.3,368.8,167.7,218.0,302.9,378.7,541.1,155.0,447.3,453.5,668.6,535.1,435.3,189.5,513.3,196.9,224.0,371.2,535.0,756.4,459.3,136.0,236.8,636.8
DA,152.7,2519.0,337.5,765.8,232.7,592.0,299.8,570.2,623.5,53.9,835.1,710.2,241.6,574.1,722.4,0.0,210.9,242.3,204.7,497.3,827.6,48.5,564.0,247.3,25.3,830.4,828.2,765.7,241.4,393.0,112.5,235.2,532.4,522.7,684.0,751.3,80.7,680.2,721.6,297.1,777.6,65.3,580.8,227.0,109.4,181.1,389.5,260.7,497.2,269.8,592.7,719.1,741.1,91.1,425.1,809.8,720.0,796.3,528.3,230.2,684.9,369.6,749.9,603.2,579.0,89.3,356.1,505.8,103.7,730.8,429.3,665.0,344.3,265.6,530.9,132.4,576.1,777.2,85.1,744.9,790.6,487.9,791.0,115.4,263.9,739.8,438.6,661.5,263.1,140.5,544.1,122.2,185.2,637.9,782.4,567.0,242.2,692.1,796.8,550.0,80.4,847.5,597.0,555.9,789.4,382.6,840.9,57.2,652.2,237.3,454.9,834.9,407.2,443.5,560.0,793.7,809.9,520.4,774.3,797.8,520.3,613.3,479.3,761.6,544.8,551.0,174.5,473.3,564.7,796.1,442.3,803.5,839.0,532.8,360.0,35.4,588.7,807.2,854.6,240.8
DJ,129.8,2480.7,279.9,743.2,65.9,534.4,242.2,547.6,570.4,185.5,812.5,687.6,199.0,516.5,699.8,189.2,0.0,184.0,138.1,474.7,805.0,146.9,506.4,232.7,166.9,807.8,805.6,738.8,74.5,249.7,129.0,177.6,474.8,500.1,649.6,728.7,144.7,629.3,699.0,239.5,755.0,174.1,558.2,175.5,191.4,207.7,243.5,202.4,439.6,212.2,535.1,696.5,718.5,135.1,371.8,787.5,697.4,773.7,466.8,227.1,631.8,312.0,727.3,550.1,521.4,153.3,298.5,465.2,120.2,708.2,371.7,642.4,286.7,207.3,572.5,109.5,518.5,754.6,162.5,722.3,768.0,430.7,768.4,181.9,210.0,717.2,381.0,647.3,204.8,117.6,562.9,204.2,176.6,580.3,759.8,509.4,190.7,669.5,774.2,492.4,148.9,824.9,539.4,498.3,766.8,325.0,818.3,139.2,629.6,179.0,397.3,812.3,349.6,402.9,502.4,771.1,787.3,497.8,751.7,775.2,561.9,555.7,421.7,739.0,522.2,528.4,56.0,415.7,542.1,773.5,384.7,780.9,816.4,475.2,302.4,204.0,566.1,784.6,832.0,189.3
DK,171.4,2504.3,241.5,704.8,236.0,496.0,203.8,509.2,532.0,227.1,774.1,649.2,187.1,478.1,661.4,230.8,214.2,0.0,208.0,436.3,766.6,188.5,468.0,165.6,208.5,769.4,767.2,704.7,244.7,193.3,170.6,84.4,436.4,461.7,623.0,690.3,186.3,590.9,660.6,201.1,716.6,215.7,519.8,163.6,233.0,195.8,189.8,53.5,401.2,173.8,496.7,658.1,680.1,176.7,329.1,748.8,659.0,735.3,432.3,182.7,593.4,273.6,688.9,511.7,483.0,194.9,260.1,426.8,161.8,669.8,333.3,604.0,248.3,68.3,534.1,151.1,480.1,716.2,208.7,683.9,729.6,391.9,730.0,223.5,200.5,678.8,342.6,608.9,149.7,159.2,524.5,245.8,164.7,541.9,721.4,471.0,178.8,631.1,735.8,454.0,190.5,786.5,501.0,459.9,728.4,286.6,779.9,180.8,591.2,123.9,358.9,773.9,311.2,364.5,464.0,732.7,748.9,459.4,713.3,736.8,523.5,517.3,383.3,700.6,483.8,490.0,177.8,377.3,503.7,735.1,346.3,742.5,778.0,436.8,264.0,245.6,527.7,746.2,793.6,177.4
DY,169.3,2520.2,319.4,782.7,83.8,573.9,285.0,581.5,609.9,225.0,852.0,727.1,238.5,556.0,739.3,228.7,150.8,223.5,0.0,514.2,844.5,186.4,545.9,272.2,206.4,847.3,845.1,778.3,112.9,289.2,168.5,217.1,514.3,539.6,689.1,768.2,184.2,668.8,738.5,279.0,794.5,213.6,597.7,215.0,230.9,247.2,283.0,241.9,479.1,251.7,574.6,736.0,758.0,174.6,407.0,827.0,736.9,813.2,506.3,266.6,671.3,351.5,766.8,589.6,560.9,192.8,338.0,504.7,159.7,747.7,411.2,681.9,326.2,246.8,612.0,149.0,558.0,794.1,202.0,761.8,807.5,470.2,807.9,221.4,251.2,756.7,420.5,686.8,244.3,157.1,602.4,243.7,216.1,619.8,799.3,548.9,230.2,709.0,813.7,531.9,188.4,864.4,578.9,537.8,806.3,364.5,857.8,178.7,669.1,218.5,436.8,851.8,389.1,442.4,541.9,810.6,826.8,537.3,791.2,814.7,601.4,595.2,461.2,778.5,561.7,567.9,185.8,455.2,581.6,813.0,424.2,820.4,855.9,514.7,341.9,243.5,605.6,824.1,868.7,228.8
EA,478.0,2605.9,340.4,442.1,522.6,373.6,446.3,72.8,299.8,569.4,511.4,386.5,474.4,309.8,398.7,573.1,500.8,514.2,494.6,0.0,503.9,530.8,278.8,447.7,550.8,506.7,504.5,442.0,531.3,475.4,477.2,423.3,316.4,25.3,360.3,427.6,510.6,356.5,397.9,443.6,453.9,558.0,83.4,450.9,575.3,483.1,471.9,463.0,165.9,416.3,411.7,395.4,417.4,488.8,231.8,486.1,396.3,472.6,238.8,464.8,361.2,304.5,426.2,279.5,289.5,519.2,327.7,267.3,468.4,407.1,310.2,341.3,347.2,537.5,207.2,457.7,360.1,453.5,551.0,421.2,466.9,198.4,467.3,565.8,486.8,416.1,276.1,337.8,535.0,465.8,220.4,588.1,452.0,297.0,458.7,277.5,466.1,368.4,473.1,331.6,532.8,523.8,307.5,339.9,465.7,282.1,517.2,523.1,328.5,509.2,182.9,511.2,249.7,205.0,275.3,470.0,486.2,98.3,450.6,474.1,196.6,272.4,338.1,437.9,47.4,53.6,464.4,332.1,110.6,472.4,330.3,479.8,515.3,243.3,320.9,587.9,134.6,483.5,530.9,464.7
EE,784.4,2910.4,612.8,139.7,832.1,472.8,720.6,573.0,330.0,838.2,97.4,210.1,746.8,431.9,210.1,841.9,802.9,818.7,796.7,500.1,0.0,799.6,400.9,720.1,819.6,121.4,121.6,182.5,835.8,745.4,781.7,693.3,503.2,523.1,266.3,113.3,784.9,270.6,211.7,713.6,127.9,826.8,583.6,720.9,844.1,755.5,744.3,735.4,488.4,688.7,450.5,301.4,168.3,761.2,581.5,101.5,147.2,120.8,547.5,737.2,353.3,652.4,180.2,351.5,551.9,791.6,675.6,571.8,772.9,202.5,640.1,227.3,619.6,842.0,413.8,762.2,546.9,66.3,819.8,174.4,52.9,527.8,84.8,834.6,756.8,101.8,612.5,251.9,837.1,770.3,427.0,856.9,724.4,503.6,154.6,539.5,738.5,240.4,88.2,482.7,801.6,140.9,569.9,526.7,129.6,630.0,103.2,791.9,234.5,811.3,503.0,5.3,601.8,509.5,452.2,132.9,79.1,466.7,110.3,45.7,403.2,479.0,616.0,81.9,545.2,553.8,768.9,610.0,535.6,110.5,588.2,97.3,101.3,483.6,668.8,856.7,561.5,118.2,68.3,737.1
EF,104.1,2470.4,288.9,717.2,184.1,543.4,251.2,521.6,574.9,72.9,786.5,661.6,193.0,525.5,673.8,42.2,162.3,193.7,156.1,448.7,779.0,0.0,515.4,198.7,20.0,781.8,779.6,717.1,192.8,344.4,63.9,186.6,483.8,474.1,635.4,702.7,32.1,631.6,673.0,248.5,729.0,61.5,532.2,178.4,60.8,132.5,340.9,212.1,448.6,221.2,544.1,670.5,692.5,42.5,376.5,761.2,671.4,747.7,479.7,181.6,636.3,321.0,701.3,554.6,530.4,40.7,307.5,457.2,55.1,682.2,380.7,616.4,295.7,217.0,482.3,83.8,527.5,728.6,36.5,696.3,742.0,439.3,742.4,69.3,215.3,691.2,390.0,612.9,214.5,91.9,495.5,73.6,136.6,589.3,733.8,518.4,193.6,643.5,748.2,501.4,36.3,798.9,548.4,507.3,740.8,334.0,792.3,8.6,603.6,188.7,406.3,786.3,358.6,394.9,511.4,745.1,761.3,471.8,725.7,749.2,471.7,564.7,430.7,713.0,496.2,502.4,125.9,424.7,516.1,747.5,393.7,754.9,790.4,484.2,311.4,64.2,540.1,758.6,806.0,192.2
