from_stop,AG,AM,AZ,BE,BP,BR,BX,CA,CC,CD,CE,CG,CY,DA,DB,DF,DG,DP,DQ,DY,DZ,EJ,EL,EU,FA,FB,FF,FH,FR,FW,FZ,GA,GJ,GQ,GR,GV,GW,HC,HK,HM,HO,HQ,HR,HU,HV,IA,IC,IF,IG,IN,IQ,IT,JF,JI,JJ,JQ,JR,JY,KB,KD,KF,KL,KO,KQ,KT,KX,LP,LU,MH,MP,MQ,MS,MT,MX,MY,MZ,NA,NB,NC,NE,NP,NT,NW,OD,OF,OL,OO,OQ,OV,PH,PJ,PN,PQ,PT,PU,PZ,QN,QU,QV,RD,RI,RM,RN,RO,RS,SD,SH,SL,SO,ST,SW,TD,TH,TZ,UF,UI,UL,UM,UU,VC,VG,VL,VQ,VV,WN,WW,WY,XF,XG,XJ,XR,XU,XZ,YB,YF,YG,ZE,ZH,ZL,ZS
CE,166.7,1839.7,372.4,359.1,576.4,51.2,222.0,495.8,335.8,491.5,0.0,145.9,403.3,476.4,105.1,492.6,424.1,150.3,410.3,165.5,480.7,633.4,413.6,100.7,309.9,198.3,340.8,401.4,546.7,138.4,479.2,400.4,408.2,394.6,275.7,468.7,372.0,350.2,148.6,558.0,519.9,445.5,113.7,120.5,215.0,302.2,437.7,399.1,512.7,129.2,357.1,293.3,405.3,187.5,212.0,180.1,494.3,338.3,340.8,177.0,443.8,418.7,130.7,115.3,321.1,287.0,72.2,132.3,438.3,408.7,153.1,424.8,527.6,105.0,434.1,398.9,450.0,461.5,348.5,447.0,154.6,297.8,521.0,413.6,88.1,255.6,438.3,408.6,426.3,319.0,368.0,198.3,368.8,541.9,425.0,302.3,192.2,230.9,388.1,400.0,248.4,269.5,486.1,472.1,464.3,127.6,500.1,386.2,178.9,462.6,129.8,195.9,212.2,474.4,339.9,545.6,392.9,354.8,206.7,332.5,496.8,418.0,519.2,285.6,513.5,306.6,451.8,193.8,46.2,242.1,270.8,397.9,227.6,365.3,391.1,403.5,337.8,286.4,408.4,251.4
CG,204.6,1842.5,294.9,312.4,529.7,115.0,158.6,449.1,289.1,448.6,160.3,0.0,484.5,447.1,122.6,445.9,377.4,203.2,448.2,250.8,434.0,586.7,451.5,186.0,343.6,233.0,294.1,354.7,500.0,210.2,517.1,353.7,454.7,347.9,361.0,422.0,325.3,307.3,233.9,511.3,475.9,483.4,206.3,138.0,252.9,340.1,475.6,437.0,466.0,146.7,286.9,331.2,358.6,272.8,165.3,265.4,451.4,291.6,426.1,218.7,486.5,372.0,168.6,35.6,274.4,256.3,157.5,171.9,476.2,450.6,230.3,480.3,480.9,176.4,387.4,438.7,403.3,418.6,301.8,400.3,192.5,383.1,474.3,373.9,109.9,208.9,480.0,446.5,490.5,273.7,321.3,283.6,322.1,499.0,466.7,255.6,145.5,184.4,426.0,353.3,199.3,222.8,524.0,510.9,502.2,145.1,538.2,339.5,264.2,500.5,192.2,233.8,165.5,512.3,293.2,498.9,434.6,392.7,292.0,289.6,450.1,453.0,562.1,238.9,466.8,259.9,405.1,279.1,174.7,195.4,224.1,351.2,180.9,318.6,344.4,488.8,291.1,239.7,502.8,289.3
CY,299.0,1603.9,651.2,567.5,808.1,418.4,572.5,704.2,544.2,722.8,401.1,490.6,0.0,173.1,472.3,737.9,652.6,419.5,170.4,236.6,689.1,841.8,189.9,301.8,151.3,338.1,549.2,609.8,783.3,411.8,239.3,608.8,100.1,648.9,126.7,736.8,630.3,554.4,253.3,766.4,731.0,201.4,376.4,487.7,251.3,155.7,214.0,175.4,758.0,496.4,607.8,167.0,692.9,347.4,540.3,281.7,771.2,546.7,139.4,370.8,135.7,699.8,334.2,485.6,529.5,595.2,331.0,417.0,198.4,144.2,374.2,194.5,736.0,378.4,721.7,114.3,695.3,161.0,556.9,692.3,306.8,139.6,729.4,629.0,424.9,561.1,218.4,168.7,114.0,586.6,576.4,293.6,577.2,787.2,120.6,510.7,559.4,598.3,190.3,681.1,520.2,605.3,246.2,233.1,224.4,490.6,267.8,594.6,306.7,222.7,361.3,270.4,579.4,170.0,603.0,754.0,195.9,128.7,251.5,536.7,760.6,128.6,284.3,565.1,721.9,586.1,714.9,289.1,364.8,578.6,479.2,606.3,594.8,637.0,599.5,120.7,617.5,494.8,100.3,223.1
DA,350.1,1459.1,723.3,567.9,785.2,488.8,598.1,704.6,544.6,705.1,498.0,542.5,163.5,0.0,515.9,701.4,724.2,520.6,308.5,333.5,689.5,842.2,215.7,398.7,202.4,423.2,549.6,610.2,755.5,508.7,256.7,609.2,83.3,720.5,223.6,808.4,701.9,563.8,350.2,766.8,731.4,274.7,473.3,531.3,302.4,206.8,190.0,231.2,721.5,540.0,679.9,218.1,765.4,444.3,612.4,378.6,800.2,547.1,236.3,400.3,44.1,724.6,385.3,555.4,529.9,675.8,427.9,513.9,257.1,241.1,487.4,267.8,736.4,475.3,789.7,211.2,658.8,130.7,557.3,655.8,362.1,236.5,729.8,629.4,443.2,561.5,82.1,288.3,115.8,667.7,576.8,367.0,577.6,755.5,212.6,511.1,585.0,623.9,322.4,705.9,592.3,575.4,228.0,278.5,293.5,538.4,236.6,595.0,403.6,288.2,448.9,321.5,605.0,262.0,674.6,754.4,138.8,153.3,348.4,546.1,761.0,225.5,227.5,637.2,722.3,658.2,786.5,372.6,461.7,634.9,479.6,606.7,620.4,708.6,599.9,217.6,689.1,495.2,128.1,274.2
DB,165.5,1746.8,278.8,302.0,504.7,63.2,202.4,476.2,316.2,401.4,104.7,126.3,476.1,469.4,0.0,416.5,338.2,212.7,409.1,238.3,398.2,483.1,350.3,173.5,308.7,193.9,321.2,303.8,461.9,219.7,435.5,380.8,481.0,336.3,348.5,410.4,286.1,275.5,221.4,481.8,437.2,383.5,204.5,53.7,213.8,301.0,374.4,335.8,436.6,23.0,263.5,292.1,347.0,260.3,174.9,252.9,436.0,263.6,413.6,175.8,461.5,360.4,129.5,121.9,301.5,228.7,145.0,181.4,396.4,407.5,191.2,363.3,508.0,185.9,375.8,399.6,373.9,441.9,328.9,370.9,153.4,370.6,501.4,394.0,69.1,197.3,437.1,407.4,499.1,225.4,348.4,241.9,349.2,465.8,423.8,282.7,172.6,213.3,386.9,341.7,154.8,211.2,444.2,428.4,365.5,22.4,436.8,366.6,251.7,418.9,153.1,194.7,192.6,473.2,281.6,469.4,391.7,353.6,279.5,312.9,438.5,418.7,475.5,199.7,437.3,220.7,393.5,247.5,137.8,213.2,251.2,307.1,208.0,279.4,371.5,476.3,279.5,266.8,481.2,250.2
DF,504.8,1704.8,331.6,228.0,74.3,486.0,377.8,139.2,220.0,170.4,527.5,484.9,717.3,617.3,488.3,0.0,162.3,631.4,687.5,568.4,159.6,156.1,648.6,500.9,648.0,501.8,252.5,262.0,76.3,636.9,624.0,202.7,629.7,185.4,575.6,224.2,160.0,198.6,548.8,80.7,198.8,601.4,612.2,503.7,553.1,640.3,672.7,634.1,20.0,433.7,264.5,631.4,305.0,587.7,332.0,613.5,262.8,211.0,640.7,517.6,661.5,269.1,468.8,512.7,313.5,204.2,567.8,600.1,601.5,731.1,512.5,584.1,206.5,603.5,192.7,698.8,33.5,589.8,232.7,90.5,492.7,597.7,199.9,174.9,473.9,306.8,669.6,667.3,665.5,310.7,252.2,581.2,253.0,87.8,710.3,253.7,358.5,319.8,681.3,286.6,280.6,265.3,649.3,590.9,583.4,510.8,644.1,219.8,579.1,581.4,474.4,534.0,320.8,759.7,132.8,68.3,715.2,679.7,583.3,324.9,231.1,717.9,638.0,253.4,127.7,227.4,195.0,594.0,544.7,291.7,263.2,167.3,370.5,166.7,139.8,767.3,174.0,278.8,677.8,589.5
DG,411.5,1611.5,220.3,287.2,203.8,375.7,266.5,134.8,220.8,128.8,417.2,374.6,690.4,590.4,378.0,174.3,0.0,521.1,594.2,472.4,97.3,256.3,551.9,407.6,554.7,408.5,311.7,184.2,219.7,526.6,530.7,239.1,602.8,92.1,548.7,109.5,48.7,260.7,455.5,180.9,144.3,508.1,501.9,393.4,459.8,547.0,576.0,537.4,200.2,337.0,153.2,538.1,122.3,494.4,220.7,487.0,143.1,248.8,613.8,424.3,634.6,119.6,375.5,402.4,314.3,110.9,457.5,489.8,508.2,661.9,419.2,490.8,168.5,493.2,74.9,654.0,131.7,562.9,233.5,128.7,399.4,570.8,124.1,183.1,363.6,201.6,642.7,574.0,638.6,208.6,253.0,487.9,253.8,188.0,617.0,261.9,247.2,208.5,611.1,137.1,178.5,154.0,556.0,497.6,490.1,400.5,550.8,233.4,485.8,488.1,381.1,440.7,209.5,666.4,39.5,168.5,624.5,586.4,556.4,325.7,145.6,673.1,544.7,142.1,136.4,116.1,132.4,500.7,434.4,180.4,264.0,237.9,259.2,55.4,140.6,740.4,80.7,279.6,650.9,496.2
DP,203.3,1791.2,433.6,431.7,623.6,134.5,277.9,568.4,408.4,534.1,99.2,210.5,394.8,472.7,188.4,549.2,463.9,0.0,446.5,157.0,535.9,694.9,432.9,92.2,346.5,189.8,413.4,474.0,594.6,7.0,515.4,473.0,399.7,460.2,267.2,548.1,441.6,422.8,140.1,619.5,592.5,481.7,24.8,203.8,251.6,338.8,457.0,418.4,569.3,212.5,411.3,329.9,484.7,179.0,284.6,171.6,566.9,410.9,332.3,164.5,435.3,491.3,167.3,195.3,393.7,410.7,63.7,86.1,474.5,420.3,144.6,474.8,600.2,48.9,513.5,390.4,506.6,424.3,421.1,503.6,191.2,289.3,593.6,493.2,123.0,328.2,474.9,444.8,417.8,373.2,440.6,189.8,441.4,598.5,396.7,374.9,264.8,303.7,390.9,472.6,302.6,356.2,522.3,508.3,448.1,210.9,519.6,458.8,170.4,498.8,121.3,232.5,284.8,446.1,414.3,607.1,429.5,391.4,198.2,405.1,569.4,409.5,560.4,358.2,575.0,379.2,526.2,185.3,62.9,314.7,343.4,470.5,300.2,448.3,463.7,395.0,428.8,359.0,399.9,288.0
DQ,261.9,1533.0,577.4,600.6,745.5,405.4,527.8,692.3,577.7,656.0,426.1,450.5,170.4,226.4,427.7,671.1,585.8,493.8,0.0,308.3,677.3,836.3,123.1,373.5,106.7,335.0,625.1,602.4,716.5,481.9,172.5,642.3,175.3,582.1,198.4,670.0,563.5,574.1,325.0,760.9,716.4,138.8,457.2,443.1,214.2,118.6,147.2,108.6,691.2,414.0,562.1,129.9,626.1,419.1,473.5,353.4,708.6,562.2,211.1,316.9,183.7,633.0,297.1,464.1,625.7,556.1,402.7,487.1,131.6,152.4,399.2,118.1,724.1,448.5,654.9,120.1,628.5,240.4,590.4,625.5,273.9,211.3,717.5,679.9,356.7,495.9,159.3,101.9,193.4,524.0,609.9,278.8,610.7,720.4,106.4,606.9,496.8,511.9,196.1,614.3,453.4,538.5,179.4,165.4,157.6,450.2,200.8,628.1,378.4,155.9,365.5,233.3,516.8,155.8,536.2,748.5,113.9,75.8,323.2,637.1,711.1,139.2,212.5,498.3,716.4,519.3,648.1,284.4,389.7,511.8,575.4,605.7,530.0,570.2,637.4,192.4,550.7,591.0,175.5,186.0
DY,126.3,1718.8,439.2,489.6,636.2,181.7,352.5,626.3,466.3,546.7,164.4,257.7,237.7,310.8,235.6,561.8,476.5,187.0,289.4,0.0,548.5,707.5,308.9,65.1,209.4,101.4,471.3,531.9,607.2,175.1,358.3,530.9,242.6,472.8,110.1,560.7,454.2,480.7,16.6,632.1,650.4,324.6,150.4,251.0,159.6,201.7,333.0,294.4,581.9,259.7,423.9,192.8,497.3,110.7,342.5,45.0,624.8,468.8,175.2,134.1,278.2,549.2,161.5,245.8,451.6,417.5,94.3,180.3,317.4,265.6,137.5,303.9,658.1,141.7,526.1,233.3,519.2,267.2,479.0,516.2,138.3,132.2,651.5,544.1,189.9,386.1,360.9,287.7,260.7,385.8,498.5,56.9,499.3,611.1,239.6,432.8,322.7,361.4,233.8,530.5,315.2,368.8,365.2,351.2,343.4,258.1,386.6,516.7,70.0,341.7,128.8,116.0,342.7,289.0,426.9,619.7,338.4,251.9,41.1,463.0,627.3,252.4,398.3,416.1,587.6,437.1,538.8,52.4,128.1,372.6,401.3,528.4,358.1,460.9,521.6,237.9,441.4,416.9,242.8,150.9
DZ,504.2,1609.8,327.7,276.3,161.9,467.4,377.2,92.9,201.4,31.4,508.9,466.3,698.7,598.7,469.7,178.4,161.7,612.8,686.9,549.8,0.0,214.4,635.4,500.3,638.3,501.2,281.0,243.4,182.5,618.3,623.4,266.0,611.1,184.8,557.0,96.7,159.4,249.8,566.5,139.0,156.8,600.8,593.6,485.1,588.5,630.6,659.5,620.9,158.3,420.5,263.9,621.7,148.8,587.1,299.8,594.9,153.2,237.9,622.1,517.0,642.9,145.0,468.2,494.1,294.9,203.6,549.2,581.5,600.9,712.5,511.9,583.5,164.5,584.9,33.0,680.2,130.3,571.2,214.1,127.3,492.1,579.1,157.9,163.7,455.3,300.1,651.0,666.7,646.9,292.1,233.6,606.8,234.4,146.1,709.7,242.5,343.9,319.2,662.7,162.5,262.0,252.5,648.7,590.3,582.8,492.2,643.5,251.8,619.9,580.8,473.8,533.4,332.9,759.1,132.2,126.6,696.6,711.1,564.7,306.3,189.1,699.3,637.4,248.4,94.5,226.8,56.0,602.3,526.1,291.1,244.6,225.7,369.9,166.1,121.2,748.7,173.4,260.2,659.2,579.8
EJ,566.3,1647.3,397.3,276.1,164.3,512.8,400.0,201.7,279.3,232.9,554.3,547.4,779.8,679.8,486.5,89.9,224.8,662.3,747.8,630.9,222.1,0.0,681.3,562.4,695.5,563.3,263.0,289.1,166.3,669.3,686.5,228.8,692.2,247.9,638.1,286.7,222.5,184.9,610.3,142.9,261.3,663.9,674.7,503.3,614.6,687.8,705.4,666.8,110.0,466.4,327.0,678.9,367.5,649.2,345.7,676.0,325.3,197.3,703.2,579.1,724.0,331.6,530.3,575.2,376.0,266.7,594.6,631.0,664.0,791.3,574.0,646.6,269.0,635.5,255.2,761.3,96.0,652.3,292.0,153.0,554.2,660.2,262.4,201.0,536.4,369.7,732.1,727.6,728.0,338.0,264.1,642.7,251.5,114.6,770.6,264.2,421.0,382.3,740.5,349.1,307.9,322.1,711.8,653.4,645.9,509.0,706.6,245.9,640.6,643.9,535.9,595.5,383.3,820.0,195.3,158.3,777.7,740.0,645.8,387.4,293.6,780.4,700.5,294.3,190.2,289.9,257.5,655.5,607.2,354.2,325.7,223.6,402.2,229.2,202.3,829.8,236.5,341.3,740.3,637.0
