from_stop,AD,AR,AX,BA,BO,CC,CE,CI,CR,CW,DB,DD,DH,DT,DX,EM,EO,ET,FE,FT,FU,FY,FZ,GB,GF,GI,GJ,GL,GR,GS,GT,HD,HG,HT,IC,IH,IQ,IT,IY,JB,JE,JI,JJ,JK,JQ,JR,JT,JY,JZ,KD,KX,LK,LM,LU,LW,LX,LZ,MC,MD,ME,MI,MK,ML,MU,MW,MX,ND,NF,NM,NO,NQ,NS,NX,OB,OG,OK,ON,OQ,OX,OZ,PC,PF,PQ,PR,PY,QA,QG,QH,QM,QS,QW,QY,RK,RP,RY,SB,SH,SI,SL,SX,TD,TF,TQ,TR,TX,UK,UY,UZ,VE,VF,VJ,VM,VO,VP,VW,VX,WA,WE,WI,WJ,WO,WW,XD,XW,YC,YE,YF,YJ,YP,YV,ZD,ZE,ZG,ZL,ZQ,ZR,ZT
DB,565.6,572.5,653.6,60.8,443.5,205.5,277.2,640.0,215.6,128.9,0.0,396.4,520.7,192.4,454.4,685.3,431.8,643.7,717.1,209.1,340.1,645.7,547.2,693.1,626.2,708.1,554.4,635.8,198.1,512.5,635.7,106.0,324.9,141.2,561.2,469.8,383.1,634.1,178.5,619.8,335.5,549.1,564.2,3218.0,516.4,366.6,482.1,571.0,229.2,589.3,126.2,461.3,552.1,221.8,335.6,184.6,432.5,255.8,277.7,392.9,250.9,623.3,275.3,350.1,454.8,546.6,559.9,598.7,201.9,555.8,664.9,280.9,673.4,660.6,297.5,598.1,484.2,608.7,356.2,785.6,137.5,308.6,1.4,127.3,274.6,357.3,708.1,241.6,782.5,703.2,704.2,93.8,659.0,433.1,263.9,113.6,389.7,95.2,666.0,736.7,344.6,621.1,78.5,232.9,654.6,402.7,283.6,737.2,599.7,277.8,664.9,382.0,772.9,425.1,445.5,393.5,662.5,114.6,485.2,118.7,109.4,314.5,660.2,213.9,175.7,307.0,755.0,394.5,334.8,265.3,172.4,466.6,646.0,169.3,688.3,477.0,238.3
DD,766.4,773.3,854.4,261.6,112.9,238.8,478.0,840.8,248.9,329.7,200.7,0.0,721.5,270.3,655.2,886.1,632.6,844.5,917.9,409.9,174.8,846.5,748.0,893.9,827.0,908.9,755.2,836.6,276.0,713.3,836.5,306.8,167.9,237.1,762.0,670.6,101.6,834.9,256.4,820.6,536.3,749.9,765.0,3458.4,717.2,59.2,682.9,771.8,307.1,790.1,327.0,188.0,752.9,317.7,536.4,280.5,96.9,142.2,478.5,61.2,147.1,824.1,476.1,91.8,181.5,747.4,760.7,799.5,279.8,756.6,865.7,160.3,874.2,861.4,223.9,798.9,685.0,809.5,97.9,986.4,338.3,509.4,202.1,328.1,231.8,558.1,908.9,192.1,983.3,904.0,905.0,286.1,859.8,159.8,221.1,267.4,6.6,296.0,866.8,937.5,133.7,821.9,279.3,433.7,855.4,71.2,484.4,938.0,800.5,478.6,865.7,128.7,973.7,151.8,109.9,594.3,863.3,315.4,686.0,319.5,272.0,149.2,861.0,291.8,271.6,185.9,955.8,595.3,157.5,191.7,268.3,667.4,846.8,265.2,889.1,677.8,316.2
DH,190.6,174.1,278.6,510.2,728.9,610.6,337.6,265.0,620.7,502.4,529.5,693.6,0.0,599.1,239.7,310.3,262.3,268.7,345.4,376.7,745.7,270.7,172.2,318.1,255.8,333.1,65.1,237.4,604.8,46.9,260.7,474.5,679.7,547.9,91.7,109.3,691.8,259.1,585.2,244.8,326.8,146.5,59.6,2951.9,155.9,663.8,43.3,172.6,635.9,214.3,494.7,767.7,32.8,628.5,395.5,591.3,712.9,598.1,337.6,690.1,587.6,248.3,335.2,647.3,763.5,171.6,184.9,200.3,608.6,90.2,289.9,635.7,298.4,285.6,699.3,223.1,194.5,233.7,653.4,410.6,506.0,368.5,530.9,576.8,679.7,265.0,333.1,646.7,407.5,330.9,329.2,543.2,284.0,741.8,670.1,563.0,686.9,463.7,291.0,361.7,641.8,246.1,527.9,406.1,298.9,700.1,259.5,362.2,201.3,337.7,266.5,690.7,397.9,733.8,725.9,260.5,287.5,564.0,124.7,607.2,558.8,720.1,285.2,620.6,582.4,661.8,380.2,246.3,689.6,667.1,579.1,144.5,247.6,576.0,313.3,187.3,649.3
DT,662.5,669.4,750.5,145.7,324.6,86.6,374.1,736.9,96.7,225.8,96.8,277.5,617.6,0.0,551.3,782.2,528.7,740.6,814.0,306.0,366.8,742.6,644.1,790.0,723.1,805.0,651.3,732.7,5.7,609.4,732.6,202.9,206.0,49.7,658.1,566.7,264.2,731.0,12.7,716.7,432.4,646.0,661.1,3314.9,613.3,247.7,579.0,667.9,36.7,686.2,223.1,342.4,649.0,130.3,432.5,93.1,313.6,136.9,374.6,274.0,132.0,720.2,372.2,231.2,335.9,643.5,656.8,695.6,19.2,652.7,761.8,162.0,770.3,757.5,178.6,695.0,581.1,705.6,237.3,882.5,234.4,405.5,98.2,200.1,155.7,454.2,805.0,122.7,879.4,800.1,801.1,132.5,755.9,314.2,145.0,113.8,270.8,192.1,762.9,833.6,225.7,718.0,148.2,329.8,751.5,283.8,380.5,834.1,696.6,374.7,761.8,263.1,869.8,306.2,326.6,490.4,759.4,187.3,582.1,215.6,118.4,346.5,757.1,31.2,84.2,188.1,851.9,491.4,215.9,146.4,80.9,563.5,742.9,77.8,785.2,573.9,55.6
DX,281.0,287.9,369.0,481.0,699.7,581.4,307.9,355.4,591.5,473.2,500.3,664.4,234.6,569.9,0.0,400.7,22.5,359.1,432.5,347.5,716.5,361.1,262.6,408.5,346.2,423.5,269.8,351.2,575.6,227.9,351.1,445.3,656.8,518.7,276.6,185.2,662.6,349.5,556.0,335.2,260.5,264.5,279.6,3065.7,231.8,634.6,197.5,286.4,606.7,304.7,465.5,738.5,267.5,599.3,366.3,562.1,683.7,568.9,308.4,660.9,558.4,338.7,306.0,618.1,734.3,262.0,275.3,314.1,579.4,271.2,387.8,606.5,388.8,376.0,670.1,313.5,42.1,324.1,624.2,501.0,476.8,339.3,501.7,544.4,650.5,198.7,423.5,617.5,497.9,421.3,419.6,514.0,374.4,712.6,640.9,538.5,657.7,434.5,381.4,452.1,612.6,336.5,505.5,376.9,370.0,670.9,169.3,452.6,315.1,308.5,380.3,661.5,488.3,704.6,696.7,72.1,377.9,534.8,200.6,578.0,529.6,690.9,375.6,591.4,553.2,632.6,470.6,180.0,660.4,637.9,549.9,182.0,361.4,546.8,403.7,48.5,620.1
EM,206.6,226.7,77.3,699.0,917.7,799.4,525.9,183.3,809.5,691.2,718.3,882.4,325.9,787.9,428.5,0.0,451.1,167.0,109.2,565.5,934.5,89.4,188.9,91.9,199.5,151.8,272.4,235.9,793.6,310.8,159.0,663.3,868.5,736.7,232.8,298.1,880.6,184.7,774.0,154.3,516.1,328.1,262.6,3045.4,344.7,852.6,252.5,200.1,824.7,162.6,683.5,956.5,306.5,817.3,584.3,780.1,901.7,781.3,526.4,878.9,776.4,144.3,524.0,836.1,952.3,187.6,200.9,230.0,797.4,299.9,149.4,824.5,72.2,84.3,888.1,171.4,383.3,165.4,842.2,100.2,694.8,557.3,719.7,765.6,868.5,453.8,151.8,835.5,111.4,102.0,28.0,732.0,232.3,930.6,857.8,751.8,875.7,652.5,209.3,135.5,830.6,102.4,716.7,594.9,217.2,888.9,448.3,66.1,181.4,526.5,242.9,879.5,166.1,922.6,914.7,449.3,22.0,752.8,313.5,796.0,747.6,908.9,32.4,809.4,771.2,850.6,83.9,435.1,878.4,855.9,767.9,333.3,211.4,764.8,132.0,376.1,833.8
EO,303.6,310.5,391.6,451.6,670.3,552.0,278.5,378.0,562.1,443.8,470.9,635.0,258.7,540.5,22.5,423.3,0.0,381.7,455.1,318.1,687.1,383.7,285.2,431.1,364.2,446.1,292.4,373.8,546.2,250.5,373.7,415.9,621.1,489.3,299.2,207.8,633.2,372.1,526.6,357.8,231.6,287.1,302.2,3088.3,254.4,605.2,220.1,309.0,577.3,327.3,436.1,709.1,290.1,569.9,336.9,532.7,654.3,533.9,279.0,631.5,529.0,361.3,276.6,588.7,704.9,284.6,297.9,336.7,550.0,293.8,402.9,577.1,411.4,398.6,640.7,336.1,64.7,346.7,594.8,523.6,447.4,309.9,472.3,518.2,621.1,197.4,446.1,588.1,520.5,441.2,442.2,484.6,397.0,683.2,610.4,504.4,628.3,405.1,404.0,474.7,583.2,359.1,469.3,347.5,392.6,641.5,146.7,475.2,337.7,279.1,402.9,632.1,510.9,675.2,667.3,49.5,400.5,505.4,223.2,548.6,500.2,661.5,398.2,562.0,523.8,603.2,493.0,201.2,631.0,608.5,520.5,204.6,384.0,517.4,426.3,71.1,586.4
ET,146.8,148.9,137.1,639.2,857.9,739.6,466.1,105.5,749.7,631.4,658.5,822.6,266.1,728.1,368.7,168.8,391.3,0.0,200.6,505.7,874.7,129.2,129.1,176.6,121.2,191.6,212.6,158.1,733.8,251.0,59.0,603.5,808.7,676.9,173.0,238.3,820.8,84.7,714.2,54.3,456.3,250.3,202.8,2989.4,284.9,792.8,192.7,122.3,764.9,84.8,623.7,896.7,246.7,757.5,524.5,720.3,841.9,721.5,466.6,819.1,716.6,88.8,464.2,776.3,892.5,127.8,141.1,152.2,737.6,240.1,38.7,764.7,156.9,144.1,828.3,76.0,323.5,65.4,782.4,269.1,635.0,497.5,659.9,705.8,808.7,394.0,191.6,775.7,266.0,186.7,187.7,672.2,154.0,870.8,798.0,692.0,815.9,592.7,131.5,220.2,770.8,104.6,656.9,535.1,139.4,829.1,388.5,220.7,103.6,466.7,165.1,819.7,256.4,862.8,854.9,389.5,146.0,693.0,253.7,736.2,687.8,849.1,143.7,749.6,711.4,790.8,238.5,375.3,818.6,796.1,708.1,273.5,133.6,705.0,171.8,316.3,774.0
FE,229.1,249.2,99.8,721.5,940.2,821.9,549.1,205.8,832.0,713.7,740.8,904.9,347.1,810.4,448.6,100.9,473.6,189.5,0.0,588.0,957.0,111.9,211.4,23.9,224.2,171.9,294.9,258.4,816.1,333.3,181.5,683.4,897.3,756.8,255.3,320.6,903.1,204.8,791.2,176.8,538.1,346.4,285.1,3055.4,367.2,875.1,275.0,222.6,847.2,185.1,706.0,979.0,329.0,839.8,606.8,802.6,921.8,809.4,548.9,901.4,798.9,166.8,546.5,858.6,972.4,210.1,223.4,252.5,819.9,322.4,179.4,847.0,48.7,106.8,910.6,193.9,403.4,185.5,864.7,136.7,717.3,579.8,739.8,784.9,891.0,476.3,174.3,858.0,120.8,81.2,116.5,752.1,254.8,953.1,881.4,779.0,898.2,675.0,231.8,49.0,853.1,124.9,746.0,617.4,239.7,911.4,468.4,78.8,203.9,549.0,265.4,902.0,56.8,945.1,937.2,471.8,78.1,775.3,336.0,818.5,770.1,931.4,57.7,829.5,793.7,873.1,96.8,457.6,900.9,878.4,790.4,353.4,233.9,784.9,152.1,398.6,858.2
FT,463.7,470.6,551.7,212.0,430.7,312.4,175.3,538.1,322.5,204.2,231.3,395.4,418.8,300.9,352.5,583.4,329.9,541.8,615.2,0.0,447.5,543.8,445.3,591.2,524.3,606.2,452.5,533.9,306.6,410.6,533.8,176.3,381.5,249.7,459.3,367.9,393.6,532.2,287.0,517.9,233.6,447.2,462.3,3116.1,414.5,365.6,380.2,469.1,337.7,487.4,196.5,469.5,450.2,330.3,97.3,293.1,414.7,294.3,175.8,391.9,289.4,521.4,173.4,349.1,465.3,444.7,458.0,496.8,310.4,453.9,563.0,337.5,571.5,558.7,401.1,496.2,382.3,506.8,355.2,683.7,207.8,70.3,232.7,278.6,381.5,255.4,606.2,348.5,680.6,601.3,602.3,245.0,557.1,443.6,370.8,264.8,388.7,165.5,564.1,634.8,343.6,519.2,229.7,131.0,552.7,401.9,181.7,635.3,497.8,175.9,563.0,392.5,671.0,435.6,427.7,291.6,560.6,265.8,383.3,309.0,260.6,421.9,558.3,322.4,284.2,363.6,653.1,292.6,391.4,368.9,280.9,364.7,544.1,277.8,586.4,375.1,346.8
FU,827.8,834.7,915.8,323.0,129.4,293.3,539.4,902.2,303.4,391.1,262.1,172.4,782.9,348.4,716.6,947.5,694.0,905.9,979.3,471.3,0.0,907.9,809.4,955.3,888.4,970.3,816.6,898.0,354.1,774.7,897.9,368.2,173.2,298.5,823.4,732.0,106.9,896.3,334.5,882.0,597.7,811.3,826.4,3482.8,778.6,148.1,744.3,833.2,385.2,851.5,388.4,56.9,814.3,379.1,597.8,341.9,145.4,244.5,539.9,121.8,249.4,885.5,537.5,172.4,63.4,808.8,822.1,860.9,357.9,818.0,927.1,217.3,935.6,922.8,278.4,860.3,746.4,870.9,166.8,1047.8,399.7,570.8,263.5,389.5,286.3,619.5,970.3,246.6,1044.7,965.4,966.4,347.5,921.2,60.8,275.6,328.8,165.7,357.4,928.2,998.9,165.7,883.3,340.7,495.1,916.8,111.8,545.8,999.4,861.9,540.0,927.1,121.8,1035.1,87.5,132.4,655.7,924.7,376.8,747.4,380.9,333.4,65.0,922.4,369.9,333.0,191.2,1017.2,656.7,162.8,246.2,329.7,728.8,908.2,326.6,950.5,739.2,394.3
FY,171.9,192.0,24.6,664.3,883.0,764.7,491.2,148.6,774.8,656.5,683.6,847.7,291.2,753.2,393.8,74.3,416.4,132.3,106.1,530.8,899.8,0.0,154.2,82.1,164.8,61.3,237.7,201.2,758.9,276.1,124.3,628.6,833.8,702.0,198.1,263.4,845.9,150.0,739.3,119.6,481.4,293.4,227.9,2992.7,310.0,817.9,217.8,165.4,790.0,127.9,648.8,921.8,271.8,782.6,549.6,745.4,867.0,746.6,491.7,844.2,741.7,109.6,489.3,801.4,917.6,152.9,166.2,195.3,762.7,265.2,114.7,789.8,62.4,31.6,853.4,136.7,348.6,130.7,807.5,174.6,660.1,522.6,685.0,730.9,833.8,419.1,61.3,800.8,171.5,92.2,93.2,697.3,197.6,895.9,823.1,717.1,841.0,617.8,174.6,125.7,795.9,67.7,682.0,560.2,182.5,854.2,413.6,126.2,146.7,491.8,208.2,844.8,161.9,887.9,880.0,414.6,51.5,718.1,278.8,761.3,712.9,874.2,49.2,774.7,736.5,815.9,144.0,400.4,843.7,821.2,733.2,298.6,176.7,730.1,41.5,341.4,799.1
FZ,71.2,169.7,139.9,563.6,782.3,664.0,390.5,126.3,674.1,555.8,582.9,747.0,190.5,652.5,293.1,171.6,315.7,130.0,203.4,430.1,799.1,132.0,0.0,179.4,112.5,194.4,137.0,178.9,658.2,175.4,122.0,527.9,733.1,601.3,97.4,162.7,745.2,120.4,638.6,106.1,380.7,173.1,127.2,2904.5,209.3,717.2,117.1,143.1,689.3,75.6,548.1,821.1,171.1,681.9,448.9,644.7,766.3,645.9,391.0,743.5,641.0,109.6,388.6,700.7,816.9,52.2,65.5,173.0,662.0,164.5,151.2,689.1,159.7,146.9,752.7,84.4,247.9,95.0,706.8,271.9,559.4,421.9,584.3,630.2,733.1,318.4,194.4,700.1,268.8,189.5,190.5,596.6,145.3,795.2,722.4,616.4,740.3,517.1,152.3,223.0,695.2,107.4,581.3,459.5,160.2,753.5,312.9,223.5,124.4,391.1,185.9,744.1,259.2,787.2,779.3,313.9,148.8,617.4,178.1,660.6,612.2,773.5,146.5,674.0,635.8,715.2,241.3,299.7,743.0,720.5,632.5,197.9,154.4,629.4,174.6,240.7,698.4
