from_stop,AL,AO,AV,BF,BI,BK,BM,BQ,BR,CH,CI,CR,CS,CT,CZ,DA,DD,DF,DK,DL,DN,DO,EB,EI,EJ,EK,EL,EO,ES,EU,FB,FF,FU,FW,FX,GC,GJ,GL,GS,GV,GX,HK,HR,HS,HU,HV,HZ,IG,IJ,IQ,JA,JE,JF,JZ,KF,KJ,KL,KM,KN,KU,KW,KX,KY,LB,LE,LG,LO,LR,LW,MA,MD,MJ,MM,MO,MR,MW,MY,NE,NO,NQ,NR,NT,NU,NW,OI,OQ,OX,OZ,PC,PH,PJ,PK,PQ,PR,PS,PZ,QD,QE,QG,QK,QN,RB,RC,RE,RH,RL,RT,RW,SA,SJ,SL,SM,SP,SQ,SX,SY,TC,TD,TE,TL,TU,UA,UB,UD,UF,UG,UN,UQ,UT,UZ,VE,VK,VL,VQ,VT,WF,WH,WL,WO,WP,WU,WV,XA,XD,XF,XH,XQ,XT,XX,YB,YH,YQ,YV,YY,YZ,ZB,ZP,ZV,ZX
CI,223.3,236.0,512.8,542.0,400.6,537.3,294.7,302.7,528.5,266.6,0.0,248.9,528.9,429.3,418.6,327.2,670.0,633.8,633.1,462.3,329.6,662.5,739.6,685.0,681.1,601.6,422.7,645.2,679.0,284.3,559.4,212.0,237.3,158.0,620.4,668.7,536.9,289.4,389.2,299.1,266.1,261.8,264.3,714.5,715.5,325.8,429.6,280.1,104.3,174.9,163.9,252.6,18.2,623.2,516.5,618.7,1282.4,573.3,609.1,133.9,512.2,207.5,493.6,99.2,477.4,696.5,94.5,182.9,167.9,205.7,256.2,218.2,676.5,133.6,37.5,220.7,173.6,668.3,262.7,710.5,687.3,165.7,430.6,437.3,601.6,207.1,151.7,641.8,503.7,665.0,709.4,97.8,350.2,717.7,287.9,200.0,186.9,160.4,356.4,568.5,112.8,384.2,231.4,507.5,201.1,714.2,58.0,308.3,244.2,200.2,700.2,208.5,703.1,202.7,647.0,630.3,291.9,162.4,300.2,400.6,683.4,150.5,198.4,460.7,657.5,632.4,702.5,693.2,268.9,387.0,680.9,450.5,717.0,169.5,32.7,251.6,283.6,235.9,571.0,190.2,392.4,638.4,626.2,404.7,296.1,233.3,607.8,140.4,670.1,279.1,519.7,24.9,377.8,221.4,155.5,684.6,265.7,462.5,202.1
CR,70.4,40.9,760.1,789.3,647.9,784.6,102.3,149.6,775.8,128.3,255.6,0.0,776.2,676.6,665.9,550.7,917.3,881.1,880.4,709.6,576.4,909.8,929.0,932.3,928.4,848.9,670.0,892.5,868.4,466.9,806.7,459.3,493.0,405.3,867.7,887.7,784.2,112.3,636.5,104.0,55.7,12.9,69.2,961.8,962.8,573.1,676.9,85.0,351.6,222.7,211.6,30.7,237.9,842.2,763.8,866.0,1127.5,820.6,856.4,100.9,759.5,103.1,740.9,346.5,724.7,915.5,215.1,135.6,415.2,257.5,45.8,154.6,923.8,380.9,293.2,60.7,106.3,887.3,102.5,930.0,906.3,240.6,677.9,684.6,848.9,97.7,155.1,889.1,751.0,884.0,956.7,353.5,597.5,965.0,110.8,93.7,434.2,166.4,550.0,815.8,368.5,631.5,267.6,754.8,448.4,961.5,238.2,113.2,4.6,163.3,919.2,226.7,950.4,35.0,930.4,877.6,539.2,144.1,121.8,567.8,902.4,186.5,216.6,708.0,904.8,851.4,949.8,912.2,73.8,634.3,928.2,697.8,964.3,416.8,288.4,155.5,106.5,12.9,818.3,238.0,639.7,857.4,873.5,652.0,119.0,251.5,855.1,176.4,889.1,63.6,767.0,231.4,625.1,257.6,108.2,931.9,99.5,709.8,136.2
CS,743.5,756.2,201.9,97.3,272.4,438.8,814.9,822.9,112.8,786.8,543.3,769.1,0.0,301.1,205.7,467.6,338.0,471.8,294.5,113.0,345.5,348.5,407.6,353.0,349.1,263.0,294.5,306.6,347.0,465.2,154.6,326.3,417.7,379.8,455.6,337.4,433.8,809.6,431.7,819.3,786.3,782.0,784.5,382.5,376.9,361.7,301.4,800.3,434.1,677.1,666.1,772.8,551.8,356.7,185.2,280.1,1529.4,128.6,444.3,654.1,319.4,727.7,77.9,439.2,166.2,389.1,596.7,703.1,442.5,707.9,776.4,720.4,362.5,440.2,494.4,740.9,693.8,360.9,782.9,379.7,404.9,667.9,302.4,206.7,436.8,727.3,653.9,303.2,192.8,382.6,395.4,534.2,386.1,385.7,808.1,720.2,487.7,662.6,372.3,403.7,513.1,420.1,733.6,196.6,337.0,269.5,560.2,828.5,764.4,702.4,417.8,710.7,389.1,722.9,248.9,475.3,307.8,664.6,820.4,442.3,352.1,652.7,700.6,300.6,325.5,371.6,469.6,361.9,789.1,146.7,448.0,310.8,287.4,368.9,499.2,771.8,803.8,756.1,126.3,692.4,264.2,377.6,461.4,276.5,816.3,735.5,269.2,642.6,362.7,799.3,208.8,545.3,413.7,723.6,675.7,271.3,785.9,181.5,704.3
CT,646.5,659.2,167.9,243.6,62.8,427.4,714.3,725.9,283.3,689.8,446.3,672.1,283.7,0.0,173.4,370.6,528.8,523.9,387.9,217.1,248.5,539.3,598.4,543.8,539.9,356.4,84.9,400.0,537.8,368.2,314.2,229.3,320.7,282.8,510.5,528.2,427.0,712.6,334.7,722.3,689.3,685.0,687.5,573.3,462.8,264.7,91.8,703.3,337.1,580.1,569.1,675.8,454.8,547.5,271.3,373.5,1432.4,319.4,499.2,557.1,82.8,630.7,248.4,342.2,185.4,579.9,499.7,606.1,345.5,610.9,679.4,623.4,553.3,343.2,397.4,643.9,596.8,553.6,685.9,570.5,595.7,570.9,1.2,192.1,491.7,630.3,556.9,396.6,158.8,573.4,586.2,437.2,289.1,576.5,711.1,619.6,390.7,565.6,275.3,458.6,416.1,323.1,636.6,145.3,240.0,377.0,463.2,731.5,667.4,605.4,608.6,613.7,579.9,625.9,439.7,520.4,210.8,567.6,723.4,327.3,542.9,555.7,603.6,31.3,516.3,562.4,660.4,552.7,692.1,141.8,638.8,21.1,479.0,271.9,402.2,674.8,706.8,659.1,317.1,595.4,54.6,568.4,516.3,21.7,719.3,638.5,362.6,545.6,553.5,702.3,174.8,448.3,316.7,626.6,578.7,439.4,688.9,200.7,607.3
CZ,636.7,649.4,94.1,136.6,165.6,417.6,708.1,716.1,188.8,680.0,436.5,662.3,189.2,194.3,0.0,360.8,421.8,555.6,293.4,122.6,238.7,432.3,491.4,436.8,432.9,261.9,187.7,305.5,430.8,358.4,219.7,219.5,310.9,273.0,539.4,421.2,517.6,702.8,324.9,712.5,679.5,675.2,677.7,466.3,375.8,254.9,194.6,693.5,327.3,570.3,559.3,666.0,445.0,440.5,176.8,279.0,1422.6,212.4,528.1,547.3,211.6,620.9,153.9,332.4,58.7,472.9,489.9,596.3,335.7,601.1,669.6,613.6,446.3,333.4,387.6,634.1,587.0,444.7,676.1,463.5,488.7,561.1,195.6,18.7,520.6,620.5,547.1,302.1,85.0,466.4,479.2,427.4,279.3,469.5,701.3,613.4,380.9,555.8,265.5,487.5,406.3,313.3,626.8,88.8,230.2,303.2,453.4,721.7,657.6,595.6,501.6,603.9,472.9,616.1,332.7,559.1,201.0,557.8,713.6,335.5,435.9,545.9,593.8,192.8,409.3,455.4,553.4,445.7,682.3,47.3,531.8,203.0,371.2,262.1,392.4,665.0,697.0,649.3,210.1,585.6,157.4,461.4,545.2,169.7,709.5,628.7,268.1,535.8,446.5,692.5,101.0,438.5,306.9,616.8,568.9,344.9,679.1,43.8,597.5
DA,500.9,513.6,454.4,483.6,342.2,460.9,572.3,580.3,470.1,544.2,299.1,526.5,470.5,370.9,360.2,0.0,593.6,557.4,574.7,403.9,271.2,586.1,663.2,608.6,604.7,543.2,364.3,586.8,602.6,215.3,501.0,153.6,78.3,137.2,544.0,593.0,460.5,567.0,312.8,576.7,543.7,539.4,541.9,638.1,657.1,267.4,371.2,557.7,191.5,434.5,423.5,530.2,309.2,612.3,458.1,560.3,1480.6,514.9,532.7,411.5,453.8,485.1,435.2,196.6,419.0,671.8,354.1,460.5,199.9,465.3,533.8,477.8,600.1,197.6,251.8,498.3,451.2,616.5,540.3,634.1,676.5,425.3,372.2,378.9,525.2,484.7,411.3,583.4,445.3,638.2,633.0,291.6,291.8,641.3,565.5,477.6,245.1,420.0,298.0,492.1,236.9,325.8,491.0,449.1,142.7,655.8,317.6,585.9,521.8,459.8,665.6,468.1,626.7,480.3,570.6,553.9,233.5,422.0,577.8,342.2,639.2,410.1,458.0,402.3,581.1,627.2,626.1,629.4,546.5,328.6,604.5,392.1,609.1,126.3,255.0,529.2,561.2,513.5,512.6,449.8,334.0,633.2,549.8,346.3,573.7,492.9,549.4,400.0,618.3,556.7,461.3,302.7,319.4,481.0,433.1,593.0,543.3,404.1,461.7
DD,919.8,932.5,391.3,305.7,469.9,285.9,991.2,999.2,388.2,963.1,728.3,945.4,339.6,539.7,431.6,629.9,0.0,256.0,248.2,388.4,506.6,180.6,191.8,98.4,48.7,242.5,492.0,260.3,131.2,440.8,284.0,487.4,580.0,560.1,297.8,103.6,280.9,985.9,410.5,995.6,962.6,958.3,960.8,105.3,289.2,565.7,498.9,976.6,663.5,853.4,842.4,949.1,728.1,140.9,316.7,225.4,1569.9,258.0,280.7,830.4,527.8,904.0,353.3,658.4,374.6,173.3,773.0,879.4,727.1,884.2,952.7,896.7,143.2,692.8,679.4,917.2,870.1,145.1,959.2,145.9,189.1,844.2,538.4,415.1,288.2,903.6,830.2,254.2,400.4,166.8,245.3,719.2,547.2,99.9,984.4,896.5,746.1,838.9,533.4,331.3,753.0,581.2,909.9,405.0,498.1,277.6,736.5,1004.8,940.7,878.7,202.0,887.0,199.5,899.2,137.1,259.5,468.9,840.9,996.7,659.8,118.3,829.0,876.9,509.0,39.7,155.8,253.8,128.1,965.4,422.1,232.2,519.2,175.6,549.2,684.2,948.1,980.1,932.4,255.7,868.7,461.7,161.8,292.0,474.0,992.6,911.8,236.3,818.9,146.9,975.6,384.4,721.6,574.8,899.9,852.0,159.5,962.2,389.9,880.6
DF,872.3,885.0,512.0,426.4,418.4,234.4,943.7,895.7,508.9,915.6,672.1,897.9,460.3,447.1,436.4,578.4,280.8,0.0,368.9,480.1,455.1,273.3,222.6,295.8,291.9,363.2,440.5,381.0,162.0,389.3,404.7,435.9,528.5,508.6,77.8,217.5,229.4,874.1,421.6,948.1,915.1,910.8,913.3,325.3,409.9,514.2,447.4,929.1,562.9,805.9,794.9,901.6,680.6,129.9,437.4,346.1,1490.4,378.7,24.7,782.9,530.0,856.5,474.0,568.0,495.2,258.1,725.5,831.9,571.3,836.7,905.2,849.2,287.3,569.0,623.2,869.7,822.6,236.7,911.7,259.8,244.5,796.7,448.4,455.1,32.1,856.1,782.7,374.9,521.1,222.2,320.2,663.0,495.7,328.5,880.9,849.0,616.5,791.4,481.9,75.2,641.9,529.7,862.4,525.3,446.6,398.3,689.0,894.3,893.2,831.2,257.4,839.5,313.9,851.7,257.8,3.4,417.4,793.4,884.9,608.3,232.2,781.5,829.4,478.5,268.3,181.2,144.0,242.0,917.9,404.8,122.4,468.3,296.3,497.7,628.0,900.6,868.3,884.9,376.4,821.2,410.2,187.2,83.6,422.5,889.1,864.3,357.0,771.4,218.9,928.1,505.1,674.1,523.3,852.4,804.5,280.2,914.7,480.3,833.1
DK,867.2,879.9,366.1,261.5,396.1,328.7,938.6,946.6,340.9,910.5,667.0,892.8,295.4,424.8,329.4,591.3,227.9,361.7,0.0,254.7,469.2,238.4,297.5,242.9,239.0,86.7,418.2,12.0,236.9,483.6,170.6,450.0,541.4,503.5,345.5,227.3,323.7,933.3,448.7,943.0,910.0,905.7,908.2,272.4,117.2,485.4,425.1,924.0,557.8,800.8,789.8,896.5,675.5,246.6,127.2,103.8,1584.7,186.7,334.2,777.8,483.6,851.4,306.0,562.9,330.4,279.0,720.4,826.8,566.2,831.6,900.1,844.1,252.4,563.9,618.1,864.6,817.5,250.8,906.6,269.6,294.8,791.6,426.1,348.1,326.7,851.0,777.6,126.9,357.0,272.5,285.3,657.9,509.8,275.6,931.8,843.9,611.4,786.3,496.0,293.6,636.8,543.8,857.3,360.8,460.7,259.3,683.9,952.2,888.1,826.1,307.7,834.4,279.0,846.6,102.9,365.2,431.5,788.3,944.1,566.0,242.0,776.4,824.3,456.2,215.4,261.5,359.5,251.8,912.8,270.4,337.9,446.0,134.8,492.6,622.9,895.5,927.5,879.8,189.0,816.1,387.9,267.5,351.3,400.2,940.0,859.2,92.9,766.3,252.6,923.0,366.1,669.0,537.4,847.3,799.4,118.7,909.6,345.7,828.0
DL,666.6,679.3,223.0,135.8,195.5,477.3,738.0,746.0,122.3,709.9,466.4,692.2,122.7,224.2,128.8,390.7,376.5,510.3,244.9,0.0,268.6,387.0,446.1,391.5,387.6,213.4,217.6,257.0,385.5,388.3,171.2,249.4,340.8,302.9,494.1,375.9,472.3,732.7,354.8,742.4,709.4,705.1,707.6,421.0,327.3,284.8,224.5,723.4,357.2,600.2,589.2,695.9,474.9,395.2,128.3,230.5,1452.5,167.1,482.8,577.2,307.1,650.8,87.4,362.3,187.6,427.6,519.8,626.2,365.6,631.0,699.5,643.5,401.0,363.3,417.5,664.0,616.9,399.4,706.0,418.2,443.4,591.0,225.5,147.5,475.3,650.4,577.0,253.6,213.9,421.1,433.9,457.3,309.2,424.2,731.2,643.3,410.8,585.7,295.4,442.2,436.2,343.2,656.7,217.7,260.1,308.0,483.3,751.6,687.5,625.5,456.3,633.8,427.6,646.0,287.4,513.8,230.9,587.7,743.5,365.4,390.6,575.8,623.7,255.6,364.0,410.1,508.1,400.4,712.2,69.8,486.5,245.4,325.9,292.0,422.3,694.9,726.9,679.2,164.8,615.5,187.3,416.1,499.9,199.6,739.4,658.6,219.6,565.7,401.2,722.4,229.9,468.4,336.8,646.7,598.8,296.4,709.0,172.7,627.4
