from_stop,AD,AW,AX,AZ,BJ,BL,BS,CB,CC,CU,CV,CZ,ED,EQ,EV,EZ,FM,FN,FO,HH,HL,HQ,IE,IT,JB,JQ,JW,KE,KF,KG,KL,KM,KV,KZ,LD,LI,LU,LW,LX,MG,ML,MO,MP,MQ,NF,NS,NV,OV,PA,PP,QN,QR,QU,RA,RF,RI,RQ,RT,SA,SB,SG,SH,SK,SZ,TC,TE,TP,TW,UI,UP,UU,UV,UZ,VA,VE,VM,WI,WJ,XE,XI,XJ,XK,YF,YG,YJ,YP,YS,YX,ZA,ZB,ZG,ZI,ZL
CV,111.2,317.7,292.1,243.5,424.8,430.9,337.6,349.3,180.4,2288.3,0.0,316.3,214.1,337.6,293.6,339.9,510.1,172.5,200.8,104.1,350.2,438.1,239.7,303.7,415.3,324.8,210.6,273.0,162.9,210.7,519.5,370.3,332.0,243.9,242.4,209.2,149.7,176.6,127.0,357.1,442.5,361.6,365.1,509.2,374.3,382.8,480.6,520.8,269.5,322.1,461.2,399.2,478.5,358.2,162.6,373.4,208.4,281.7,160.1,454.1,222.5,298.4,287.4,421.0,288.7,210.9,310.7,314.7,107.0,465.8,129.6,460.1,447.7,260.2,282.2,317.1,300.2,233.4,411.4,349.1,161.8,140.7,237.0,28.7,254.9,208.6,434.2,304.3,515.6,441.5,257.1,214.5,261.8
CZ,386.0,200.5,55.1,146.3,187.8,165.1,100.6,254.0,143.7,2018.3,289.9,0.0,481.7,70.6,99.6,48.4,300.5,127.3,101.7,392.7,80.2,172.3,60.1,12.3,278.7,162.3,225.7,28.3,437.7,192.2,282.5,104.5,74.1,161.5,360.9,92.5,147.4,191.7,172.8,87.1,176.7,95.8,156.6,247.9,108.5,145.8,214.8,255.0,68.5,56.3,164.9,133.4,212.7,96.5,437.4,104.9,162.7,321.6,164.8,188.3,78.0,181.2,190.2,155.2,22.9,138.6,47.5,51.2,192.8,228.8,234.1,194.3,210.7,79.2,115.9,79.9,99.2,67.1,201.8,83.3,242.6,415.5,135.3,261.1,136.8,407.7,168.4,38.5,249.8,159.9,43.7,489.3,164.6
ED,104.3,335.3,436.5,460.7,430.5,611.4,391.0,237.6,384.6,2488.6,204.1,491.7,0.0,536.7,435.3,540.2,490.0,376.7,402.9,185.2,550.5,638.4,444.2,504.0,303.6,529.0,409.3,472.8,105.8,419.0,525.2,577.1,532.3,448.1,130.7,413.4,356.6,380.8,331.2,557.4,642.8,561.9,345.0,713.6,574.6,388.5,680.9,721.1,464.7,522.4,635.2,599.5,678.8,558.8,229.9,571.0,428.4,170.0,364.3,654.4,420.4,354.6,491.6,621.3,488.6,415.1,511.0,520.7,311.2,471.5,333.8,660.4,453.4,464.4,486.4,521.3,421.7,437.6,391.3,549.4,366.0,83.6,441.2,232.9,419.0,331.2,634.5,546.8,715.9,641.8,461.0,157.4,466.0
EQ,423.9,237.4,84.7,184.2,224.7,150.0,137.5,291.9,157.3,1942.4,326.8,81.3,517.4,0.0,136.0,93.2,336.2,164.2,135.7,416.8,83.5,100.4,97.0,93.6,315.6,217.8,263.6,66.2,474.6,230.1,319.4,105.8,67.5,180.1,397.8,129.4,183.1,227.4,209.7,90.4,177.0,96.1,192.3,198.9,107.6,182.7,213.9,192.8,105.4,13.9,130.2,67.6,140.4,19.5,474.3,32.0,200.6,358.5,200.5,168.0,116.2,218.1,227.1,155.5,50.5,189.2,84.4,115.5,228.5,265.7,272.0,122.4,247.6,114.9,170.4,157.5,136.1,103.5,238.7,11.4,299.4,452.4,172.2,296.8,174.7,444.6,168.7,44.1,146.5,102.8,79.4,525.0,200.3
EV,356.5,109.1,65.3,123.3,151.4,230.7,64.2,221.8,99.0,2103.5,271.9,106.6,433.0,151.6,0.0,146.2,264.1,109.3,80.5,374.7,165.4,253.3,56.3,120.4,231.5,162.1,202.2,87.7,419.7,201.8,246.1,192.0,155.1,143.5,313.7,88.7,129.4,172.2,154.8,172.3,257.7,176.8,120.2,328.9,189.5,109.4,297.3,336.0,33.3,137.3,250.1,214.4,293.7,177.5,419.4,185.9,160.5,274.4,145.3,269.3,82.1,89.8,154.2,236.2,103.5,139.4,125.9,115.6,173.3,192.4,216.1,275.3,174.3,57.4,111.7,114.3,23.5,63.3,165.4,164.3,224.6,397.5,117.3,241.6,35.5,389.7,249.4,170.3,330.8,240.9,72.3,469.8,128.6
EZ,424.5,239.0,93.6,155.0,226.3,130.4,139.1,307.5,158.0,1969.8,328.4,38.4,520.2,93.7,133.5,0.0,339.0,165.8,138.5,417.4,31.7,145.8,98.6,26.1,317.2,162.7,264.2,66.8,476.2,234.8,321.0,76.3,39.4,200.0,399.4,131.0,185.9,230.2,211.3,38.6,142.0,61.1,195.1,212.8,73.8,184.3,180.1,220.3,103.9,79.4,116.4,156.5,178.0,112.9,475.9,128.0,201.2,360.1,203.3,153.6,124.4,219.7,200.1,120.5,61.0,177.1,86.0,32.3,231.3,267.3,272.6,151.5,249.2,80.5,116.3,80.3,134.6,105.6,240.3,106.4,281.1,454.0,173.8,299.6,169.0,446.2,133.7,112.4,215.1,183.0,82.2,527.8,203.1
FM,460.4,182.3,245.3,306.8,239.3,420.2,199.8,237.3,322.2,1980.3,468.4,300.5,450.0,291.1,244.1,349.0,0.0,305.8,278.5,552.8,340.4,259.2,286.2,312.8,247.0,384.1,398.7,281.6,473.4,398.3,201.4,385.9,341.1,320.7,329.2,290.5,325.9,370.2,351.3,332.0,337.2,370.7,153.8,358.7,383.4,197.3,391.8,351.6,273.5,307.3,290.0,359.8,300.2,268.3,597.5,260.5,357.0,289.9,343.3,325.6,297.5,201.6,350.7,430.1,297.8,330.8,319.8,329.8,371.3,255.1,412.6,281.2,262.2,299.1,345.5,346.7,230.5,293.2,83.6,280.4,421.1,451.2,313.8,439.6,262.8,586.2,345.5,336.3,306.4,262.6,269.8,525.0,325.1
FN,258.6,145.1,119.5,70.9,252.2,258.3,165.0,242.8,7.8,2115.7,162.5,143.7,361.5,165.0,121.0,167.3,337.5,0.0,26.1,251.5,177.6,265.5,67.1,131.1,267.5,152.2,98.3,100.4,310.3,64.8,346.9,197.7,159.4,71.3,349.7,36.6,22.7,64.3,45.4,184.5,269.9,189.0,192.5,336.6,201.7,210.2,308.0,348.2,96.9,149.5,288.6,226.6,305.9,185.6,310.0,200.8,35.8,310.4,37.4,281.5,49.9,125.8,114.8,248.4,116.1,38.3,138.1,142.1,65.4,293.2,106.7,287.5,275.1,87.6,109.6,144.5,127.6,60.8,238.8,176.5,134.1,288.1,64.4,133.7,82.3,280.3,261.6,131.7,343.0,268.9,84.5,361.9,89.2
FO,272.7,116.8,91.2,57.7,226.0,230.0,136.7,216.6,41.9,2089.5,188.1,90.5,388.8,135.5,91.2,139.0,309.2,25.5,0.0,290.9,149.3,237.2,40.9,104.9,241.3,122.0,120.1,72.1,337.6,96.2,320.7,169.4,131.1,40.4,321.4,8.3,45.6,89.9,72.7,156.2,241.6,160.7,164.2,312.4,173.4,184.0,281.8,322.0,68.6,121.2,234.0,200.4,277.6,159.4,337.3,169.8,78.4,282.1,64.7,253.2,15.3,97.5,88.6,220.1,89.5,36.8,109.8,115.6,91.0,264.9,132.3,259.2,248.9,59.3,81.3,116.2,99.3,32.5,210.5,148.2,161.4,313.7,33.5,161.0,56.1,305.9,233.3,103.4,314.7,240.6,56.2,387.5,64.7
HH,67.0,401.9,376.3,340.7,509.0,499.7,421.8,301.6,267.0,2372.5,84.1,389.4,195.2,420.6,376.3,424.1,582.8,256.7,296.7,0.0,448.2,522.3,323.9,401.7,382.6,405.0,289.3,356.7,130.2,322.5,603.7,461.0,424.1,347.4,209.7,293.4,250.4,274.6,211.2,441.3,540.5,445.8,424.0,611.7,472.3,467.0,578.6,618.8,353.7,420.1,519.1,483.4,576.5,446.5,58.4,468.7,308.4,249.0,258.1,552.1,300.4,382.6,371.6,505.2,372.5,313.9,394.9,400.7,205.0,550.0,227.6,544.3,531.9,344.4,366.4,401.3,384.4,331.4,470.3,433.3,239.7,108.0,321.2,112.9,342.3,159.7,532.2,439.3,613.6,509.9,355.1,195.6,361.5
HL,426.1,252.1,106.7,188.4,239.4,122.3,152.2,320.6,168.6,1938.0,341.5,71.8,533.3,65.6,149.7,33.3,352.1,178.9,153.3,444.3,0.0,114.0,111.7,59.5,330.3,200.1,277.3,80.4,489.3,241.1,334.1,68.2,31.3,193.8,412.5,144.1,199.0,243.3,224.4,6.8,113.0,53.0,208.2,184.2,65.7,197.4,151.1,191.3,120.1,51.3,84.6,128.4,149.0,91.5,489.0,99.9,214.3,373.2,216.4,124.6,129.6,232.8,233.5,112.4,64.2,209.0,99.1,65.7,244.4,280.4,285.7,119.7,262.3,113.9,149.7,113.7,150.8,118.7,253.4,78.3,313.1,467.1,186.9,312.7,185.2,459.3,104.7,48.6,186.1,154.9,95.3,540.9,216.2
HQ,527.2,341.7,196.3,331.3,329.0,239.3,241.8,395.2,260.6,1844.1,431.1,194.3,622.9,104.2,239.3,176.2,270.7,268.5,241.2,520.1,142.8,0.0,201.3,202.4,419.9,339.0,366.9,169.5,578.9,333.4,294.8,178.7,166.3,283.4,502.1,233.7,291.3,332.9,314.0,134.4,77.9,152.0,297.8,102.9,143.8,287.0,132.5,92.3,209.7,119.4,30.7,171.9,40.9,84.2,578.6,69.9,303.9,462.8,306.0,66.3,220.5,322.4,331.4,229.4,153.8,279.8,188.7,208.6,334.0,348.5,375.3,21.9,351.9,256.8,292.6,256.6,240.4,208.3,343.0,92.5,402.7,556.7,276.5,402.3,278.0,548.9,86.2,138.2,47.1,25.5,184.9,630.5,305.8
IE,325.8,140.3,52.3,99.1,185.0,171.3,97.8,238.0,59.3,2048.5,229.7,51.6,428.7,97.8,59.3,100.1,297.7,67.1,39.8,332.5,110.4,198.3,0.0,63.9,262.7,121.1,160.0,32.7,377.5,129.3,279.7,130.5,100.1,101.3,344.9,32.3,87.2,131.5,112.6,117.3,202.7,121.8,153.8,273.5,134.5,143.0,240.8,281.0,29.7,82.3,195.1,159.4,238.7,118.4,377.2,130.9,102.5,305.6,104.6,214.3,17.9,121.0,130.0,181.2,48.9,97.2,70.9,74.6,132.6,226.0,173.9,220.3,207.9,20.4,74.7,77.3,60.4,7.0,199.0,109.3,201.3,355.3,75.1,200.9,77.5,347.5,194.4,64.5,275.8,201.7,17.3,429.1,104.4
IT,386.8,212.8,67.4,129.3,200.1,146.8,112.9,281.3,129.3,2006.0,302.2,12.3,494.0,82.9,110.4,36.1,312.8,139.6,112.3,405.0,67.9,182.0,72.4,0.0,291.0,154.0,232.5,40.6,450.0,208.6,294.8,112.5,75.6,154.5,373.2,104.8,159.7,204.0,185.1,74.8,178.2,97.3,168.9,249.0,110.0,158.1,216.3,256.5,80.8,68.6,152.6,145.7,214.2,104.7,449.7,117.2,190.8,333.9,177.1,189.8,90.3,193.5,187.4,156.7,34.8,169.7,59.8,19.6,205.1,241.1,246.4,187.7,223.0,67.8,103.6,67.6,111.5,79.4,214.1,95.6,273.8,427.8,147.6,273.4,145.9,420.0,169.9,101.6,251.3,163.2,56.0,501.6,176.9
JB,302.3,90.6,191.8,215.1,185.8,386.5,146.3,64.2,206.2,2243.9,376.7,271.9,291.9,293.2,190.6,295.5,245.3,214.1,186.8,380.9,305.8,393.7,229.3,259.3,0.0,296.4,312.5,228.6,315.3,279.0,280.5,325.9,287.6,229.0,171.1,198.8,236.9,278.5,259.6,312.7,398.1,317.2,100.3,464.8,329.9,143.8,436.2,476.4,220.0,277.7,416.8,354.8,434.1,313.8,439.4,329.0,249.5,131.8,251.6,409.7,212.1,109.9,259.0,376.6,244.3,225.4,266.3,276.3,279.6,226.8,320.9,415.7,208.7,245.6,253.8,293.2,177.0,223.0,146.6,304.7,348.3,293.1,222.1,347.9,171.1,494.5,389.8,259.9,471.2,397.1,216.3,366.9,233.4
JQ,419.1,227.1,162.4,121.5,284.4,257.8,197.2,339.8,161.6,2112.6,334.5,152.3,529.5,210.7,156.9,146.7,397.1,171.9,144.6,437.3,178.5,288.6,135.4,144.0,349.5,0.0,264.8,146.8,482.3,264.4,379.1,219.1,182.2,206.1,431.7,136.6,192.0,232.3,217.4,185.4,288.8,203.9,257.2,355.5,216.6,242.4,322.9,363.1,129.8,196.4,259.2,273.5,320.8,236.6,482.0,249.0,223.1,392.4,209.4,296.4,143.6,207.8,37.4,254.0,162.6,202.0,185.0,112.1,233.4,325.4,274.7,294.3,307.3,106.4,111.0,110.8,156.5,142.4,298.4,227.4,287.2,460.1,179.9,305.7,167.5,452.3,280.5,229.4,357.9,300.0,131.4,529.9,57.3
JW,287.5,225.8,194.8,164.6,332.9,323.6,245.7,338.5,90.9,2196.4,202.9,194.1,401.9,244.5,200.2,248.0,418.2,80.6,106.8,305.7,258.3,346.2,142.4,211.8,348.2,228.9,0.0,180.6,350.7,146.4,427.6,284.9,248.0,171.3,430.2,117.3,60.5,24.4,85.8,265.2,345.2,269.7,273.2,416.4,282.4,290.9,388.7,428.9,172.2,224.8,343.0,307.3,386.6,270.4,350.4,278.8,132.3,391.1,72.4,362.2,124.3,206.5,195.5,329.1,196.4,137.8,218.8,224.6,105.8,373.9,147.1,368.2,355.8,168.3,190.3,225.2,208.3,136.1,319.5,257.2,155.6,328.5,145.1,168.7,166.2,320.7,336.9,263.2,418.3,333.8,165.2,402.3,169.9
KE,346.1,172.1,26.2,130.8,159.4,142.4,72.2,240.6,88.6,2015.2,261.5,18.8,452.8,63.3,71.2,66.8,271.6,98.9,72.8,364.3,77.6,165.0,31.2,30.6,250.3,155.5,191.8,0.0,409.3,191.4,254.1,103.7,66.8,133.1,332.5,64.1,118.5,162.8,144.4,84.0,169.4,88.5,128.2,240.6,101.7,117.4,208.0,248.2,39.6,49.0,161.8,126.1,205.9,89.2,409.0,97.6,150.1,293.2,136.4,181.0,57.5,152.8,161.8,147.9,15.2,129.0,37.6,69.6,163.9,200.4,205.2,187.0,182.3,50.8,105.1,92.2,70.8,38.2,173.4,76.0,214.2,387.1,106.9,232.7,105.2,379.3,161.1,82.0,242.5,152.6,14.8,460.4,136.2
KF,59.6,336.7,437.9,414.5,431.9,601.9,392.4,239.0,351.4,2459.3,170.9,487.3,103.8,508.6,436.7,510.9,491.4,343.5,369.7,138.2,521.2,609.1,410.7,474.7,305.0,495.8,381.6,444.0,0.0,381.7,526.6,541.3,503.0,414.9,132.1,380.2,320.7,347.6,298.0,528.1,613.5,532.6,346.4,680.2,545.3,389.9,651.6,691.8,440.5,493.1,632.2,570.2,649.5,529.2,196.7,544.4,379.4,171.4,331.1,625.1,393.5,356.0,458.4,592.0,459.7,381.9,481.7,485.7,278.0,472.9,300.6,631.1,454.8,431.2,453.2,488.1,423.1,404.4,392.7,520.1,332.8,20.2,408.0,199.7,417.2,298.0,605.2,475.3,686.6,612.5,428.1,51.5,432.8
KG,292.1,196.8,168.7,135.6,303.9,294.6,216.7,309.5,59.4,2167.4,207.5,168.0,404.0,215.5,171.2,216.5,386.7,51.6,75.3,310.3,233.6,317.2,116.3,187.1,319.2,199.9,137.8,151.6,355.3,0.0,398.6,255.9,219.0,142.3,401.4,88.3,96.1,106.8,90.4,240.5,352.7,240.7,248.5,389.9,257.7,261.9,357.2,397.4,146.1,198.7,314.0,278.3,361.9,241.4,355.0,247.3,103.3,362.1,113.5,337.5,95.3,177.5,166.5,300.1,167.4,108.8,189.8,195.6,114.7,344.9,156.0,339.2,326.8,136.8,161.3,196.2,179.3,110.0,290.5,225.7,160.2,333.1,116.1,176.2,137.2,325.3,344.4,234.2,392.2,304.8,133.7,411.2,138.4
KL,495.6,217.5,227.3,336.5,129.7,422.0,181.8,257.5,327.5,2009.7,498.0,307.4,485.2,325.9,226.1,331.0,237.9,335.4,308.1,574.2,341.3,293.0,268.2,294.8,282.2,381.8,433.8,264.1,508.6,400.3,0.0,361.4,323.1,350.3,364.4,300.6,358.2,399.8,380.9,348.2,371.0,352.7,160.1,396.0,365.4,126.6,425.6,385.4,255.5,313.2,323.8,390.3,334.0,305.9,632.7,291.6,370.8,325.1,372.9,359.4,287.4,236.8,380.4,412.1,279.8,346.7,301.8,311.8,400.9,53.6,442.2,315.0,71.7,281.1,335.4,328.7,212.5,275.2,205.3,314.2,469.6,486.4,343.4,469.2,264.8,615.8,379.3,295.4,340.2,296.4,251.8,560.2,354.8
KM,555.9,381.9,230.0,313.5,369.2,45.1,282.0,450.4,298.4,2031.0,471.3,209.9,656.6,195.4,281.0,171.4,481.9,308.7,281.4,574.1,138.0,207.0,235.0,197.6,460.1,320.8,401.6,210.2,619.1,401.2,463.9,0.0,131.6,342.9,542.3,273.9,328.8,373.1,354.2,129.6,125.2,116.0,338.0,196.0,107.8,327.2,156.8,203.5,243.4,181.1,177.6,258.2,161.2,221.3,618.8,229.7,359.9,503.0,346.2,136.8,267.3,362.6,354.2,50.6,194.4,338.8,228.9,223.1,374.2,410.2,409.0,212.7,392.1,252.0,287.8,251.8,280.6,242.0,383.2,208.1,424.0,596.9,316.7,442.5,315.0,589.1,116.9,214.1,191.8,216.7,225.1,664.2,339.5
KV,416.3,242.3,96.9,183.6,229.6,83.4,142.4,310.8,158.8,1949.9,331.7,80.0,531.4,55.8,141.4,41.5,342.3,169.1,151.4,434.5,19.7,125.9,101.9,75.6,320.5,208.3,262.0,70.6,479.5,261.6,324.3,44.7,0.0,203.3,402.7,134.3,197.1,233.5,214.6,18.7,102.5,29.5,206.3,173.7,42.2,187.6,140.6,180.8,110.3,41.5,96.5,118.6,146.4,81.7,479.2,90.1,220.3,363.4,214.5,122.0,127.7,223.0,232.0,88.9,54.8,199.2,89.3,93.2,234.6,270.6,283.8,131.6,252.5,128.9,157.9,121.9,141.0,108.9,243.6,68.5,284.4,457.3,177.1,310.8,175.4,449.5,94.2,74.5,175.6,145.1,93.4,539.0,208.1
KZ,309.7,171.2,166.2,110.0,278.3,269.0,191.1,283.9,52.2,2141.8,225.1,144.9,424.1,189.9,145.6,193.4,384.2,62.5,72.8,327.9,224.3,291.6,113.8,177.8,293.6,174.3,155.4,126.0,372.9,155.0,373.0,230.3,193.4,0.0,375.8,62.7,82.6,147.5,108.0,210.6,296.0,215.1,218.6,387.8,248.4,236.3,354.7,394.9,143.6,196.2,288.4,252.7,352.6,215.8,372.6,224.2,113.7,336.5,120.6,328.2,69.7,151.9,140.9,274.5,141.8,92.6,164.2,170.0,128.0,319.3,169.3,313.6,301.2,113.7,135.7,170.6,153.7,107.5,264.9,202.6,177.8,350.7,7.3,216.9,111.6,342.9,308.3,208.6,389.7,279.2,131.2,424.5,137.6
LD,131.1,204.5,305.7,329.0,299.7,500.4,260.2,106.8,320.1,2357.8,242.4,385.8,120.7,407.1,304.5,409.4,359.2,328.0,300.7,209.7,419.7,507.6,343.2,373.2,172.8,410.3,426.4,342.5,144.1,392.9,394.4,439.8,401.5,342.9,0.0,312.7,350.8,392.4,369.5,426.6,512.0,431.1,214.2,578.7,443.8,257.7,550.1,590.3,333.9,391.6,530.7,468.7,548.0,427.7,268.2,442.9,363.4,39.2,365.5,523.6,326.0,223.8,372.9,490.5,358.2,339.3,380.2,390.2,349.5,340.7,372.1,529.6,322.6,359.5,367.7,407.1,290.9,336.9,260.5,418.6,404.3,121.9,336.0,271.2,285.0,369.5,503.7,373.8,585.1,511.0,330.2,195.7,347.3
