from_stop,AC,AK,AQ,AR,AW,AY,AZ,BD,BF,BL,BR,BS,CG,CU,DC,DR,DV,EK,EM,ER,ES,FA,FB,FT,GF,HA,HX,HY,HZ,IB,IP,JE,JF,KA,KB,KF,KN,KV,KZ,LH,LO,LP,LU,LV,MF,MV,NG,NL,NP,NR,NZ,OF,OU,PM,PU,PY,QA,QD,QJ,QW,RE,RG,RU,RW,RX,SJ,SN,SO,SZ,TA,TC,TR,UD,UJ,VA,VB,VC,VG,VP,VT,WG,WR,WW,XJ,YA,YS,ZA,ZD
BR,97.7,71.0,324.5,257.8,242.4,115.8,159.4,80.6,177.3,224.7,0.0,283.0,300.5,178.6,244.9,214.0,205.9,142.6,173.5,81.1,156.7,161.6,211.6,230.6,198.4,96.0,238.2,163.9,70.9,273.2,192.7,215.6,165.3,231.8,153.5,1758.3,106.8,178.4,203.7,149.8,226.3,109.6,185.0,103.4,125.8,169.7,70.1,312.9,71.0,148.4,263.4,157.5,122.6,128.9,255.2,96.4,72.0,252.6,293.3,252.1,192.9,171.1,185.0,73.1,176.7,134.0,307.4,175.7,171.6,257.9,117.1,273.9,199.5,105.8,311.6,244.0,180.9,145.0,166.6,100.9,237.8,117.4,304.3,76.0,280.6,263.9,172.1,131.2
BS,409.9,322.3,173.7,101.0,487.5,379.7,376.9,221.4,349.2,94.6,348.5,0.0,272.6,380.3,499.5,337.4,419.3,378.1,264.1,327.5,382.4,248.6,295.5,451.4,429.8,324.4,462.6,351.9,396.1,10.2,400.5,438.8,288.7,474.6,325.4,1781.1,379.4,327.2,408.9,367.3,261.2,239.2,308.4,360.8,244.9,228.2,354.1,236.6,352.9,289.9,58.8,265.6,372.3,308.8,71.1,360.3,228.3,469.4,22.7,452.3,314.7,388.6,273.5,334.4,300.1,263.6,180.7,341.2,403.5,233.6,358.9,249.6,368.2,219.4,287.3,43.1,397.7,251.1,390.0,322.6,213.5,374.8,280.0,227.3,480.6,239.6,363.8,362.7
CG,297.1,291.0,168.5,299.0,409.4,289.9,381.8,224.5,352.3,289.3,235.7,271.0,0.0,385.2,377.3,92.9,417.4,360.0,90.2,192.6,385.0,96.3,24.6,430.8,369.7,202.2,303.9,111.4,283.3,309.4,403.6,436.9,66.8,297.5,328.5,1733.6,224.0,65.5,412.0,370.4,96.9,242.3,38.2,323.6,187.3,121.8,241.3,34.9,288.4,93.5,232.4,163.7,130.4,112.4,199.1,270.5,226.4,347.2,256.2,397.3,57.6,391.7,87.7,209.4,45.4,266.2,85.8,100.7,393.1,49.0,334.5,33.2,371.3,222.5,16.4,285.2,270.1,145.9,392.6,215.5,66.8,337.6,44.5,230.4,402.5,42.3,361.5,218.4
CU,213.0,137.9,401.6,334.9,85.2,182.6,86.8,157.7,57.1,328.5,197.3,360.1,367.2,0.0,112.7,353.8,38.9,53.5,313.3,220.9,92.3,360.6,351.4,73.4,49.4,167.3,167.0,303.7,193.9,350.3,17.5,58.4,305.1,211.3,45.8,1898.1,221.8,344.4,28.5,77.2,303.4,186.7,324.8,106.8,209.4,255.9,205.2,390.0,123.1,288.4,340.5,234.6,288.6,268.7,332.3,163.2,175.8,102.8,370.4,94.9,331.1,98.5,315.7,212.9,316.5,211.1,384.5,315.5,63.2,335.0,77.8,351.0,12.6,188.4,388.7,321.1,176.1,231.2,58.2,270.1,314.9,120.8,381.4,153.1,123.4,341.0,68.6,198.0
DC,300.1,225.6,446.2,422.0,32.0,256.5,160.7,244.8,115.8,415.6,253.0,447.2,454.3,123.5,0.0,360.6,130.8,127.4,320.1,227.7,166.2,334.4,358.2,50.1,96.6,181.9,182.6,310.5,264.1,437.4,112.0,50.2,311.9,176.9,132.9,1880.3,240.9,351.2,120.4,151.1,344.8,273.8,331.6,180.7,296.5,270.5,279.1,476.8,197.0,295.0,427.6,321.7,295.4,275.5,419.4,237.1,262.9,63.4,457.5,19.9,337.9,172.4,331.6,312.8,323.3,298.2,415.0,322.3,145.6,422.1,151.7,438.1,136.2,275.5,369.3,408.2,150.3,245.8,132.1,349.9,402.0,194.7,468.5,240.2,25.1,428.1,156.6,271.9
DR,292.4,288.1,292.8,388.2,404.7,285.2,372.1,276.6,372.0,381.8,231.0,337.4,95.1,399.5,372.6,0.0,419.6,355.3,85.5,183.9,377.6,99.8,71.2,422.8,364.7,197.5,299.2,106.1,297.1,347.6,398.2,422.9,62.1,292.8,348.2,1819.2,216.0,64.2,409.2,362.5,92.2,252.6,44.6,324.3,178.6,117.1,236.6,135.5,283.7,88.9,291.3,159.0,129.1,107.7,259.3,265.8,293.4,342.5,322.6,392.8,50.9,383.8,79.0,200.7,32.1,254.5,171.4,95.4,392.5,137.7,329.8,133.8,391.0,208.6,82.3,320.3,270.8,141.2,387.5,210.3,156.0,338.3,119.1,270.7,397.8,142.9,384.8,213.7
DV,249.9,163.0,392.6,371.8,126.0,187.8,92.0,194.6,94.0,365.4,202.8,397.0,404.1,36.8,93.9,307.0,0.0,58.7,266.5,174.1,97.5,280.8,304.6,98.6,74.6,128.3,172.2,256.9,209.1,387.2,16.9,83.6,258.3,123.3,82.7,1851.3,227.0,297.6,9.3,82.4,291.2,223.6,278.0,112.0,250.8,216.9,210.4,426.6,128.3,241.6,377.4,271.5,241.8,221.9,369.2,168.4,212.7,63.8,407.3,113.9,284.3,103.7,278.0,237.3,269.7,248.0,361.4,268.7,76.9,371.9,83.0,387.9,49.5,225.3,315.7,358.0,96.7,192.2,63.4,281.2,351.8,126.0,418.3,190.0,119.1,377.9,80.7,203.2
EK,206.8,108.0,388.9,350.2,99.7,129.0,33.2,174.3,102.9,343.8,143.7,375.4,389.3,44.1,127.2,319.4,71.4,0.0,278.9,186.5,38.7,293.2,317.0,90.7,63.9,124.6,140.9,269.3,167.2,365.6,52.6,72.9,270.7,157.7,73.7,1863.7,168.2,310.0,61.0,23.6,303.6,202.0,290.4,53.2,229.2,213.2,151.6,405.1,69.5,254.0,366.6,249.9,254.2,234.3,341.8,109.6,191.1,87.3,385.7,109.6,296.7,44.9,290.4,185.3,282.1,226.4,399.8,281.1,45.6,350.3,24.2,366.3,56.8,203.7,328.1,336.4,122.5,188.5,32.1,222.4,330.2,67.2,344.4,168.4,137.9,356.3,29.4,144.4
EM,228.2,223.3,167.4,301.5,358.5,221.0,307.9,212.4,307.8,295.1,166.8,271.4,90.0,335.3,326.4,81.8,362.3,291.1,0.0,119.7,313.4,13.1,79.4,379.4,307.4,151.3,235.0,114.3,214.4,316.9,343.5,364.1,33.1,228.6,284.0,1732.5,151.8,72.4,351.9,298.3,46.0,188.4,52.8,260.1,132.4,70.9,172.4,105.8,219.5,24.6,227.4,112.8,132.3,43.5,201.6,201.6,229.2,285.2,256.6,346.4,59.1,319.6,32.8,152.7,44.5,190.3,84.7,103.6,336.8,51.0,265.6,67.0,326.8,162.4,90.5,287.7,208.4,77.0,323.3,146.1,69.3,274.1,97.4,206.5,351.6,57.0,320.6,149.5
ER,146.5,145.7,280.6,306.6,236.5,150.7,248.3,129.4,264.5,300.2,75.4,331.8,172.4,273.1,251.4,150.9,280.4,231.5,110.4,0.0,253.8,124.7,148.5,267.5,225.5,103.1,153.1,100.8,119.7,322.0,259.0,252.5,102.2,146.7,258.0,1695.2,69.9,141.5,270.0,238.7,135.1,158.4,121.9,200.5,185.6,104.9,153.3,212.7,159.9,85.3,312.2,146.8,85.7,65.8,298.2,131.3,147.5,203.3,342.1,262.3,128.2,260.0,121.9,58.3,113.6,182.8,196.3,112.6,268.7,162.6,206.0,178.6,285.8,160.1,159.6,292.8,126.5,80.2,263.7,112.9,180.9,159.2,175.9,124.8,243.7,168.6,261.0,67.6
ES,217.3,114.7,352.9,346.4,175.9,139.5,5.0,169.2,121.6,340.0,177.4,371.6,288.8,91.1,143.8,267.3,118.4,46.9,226.8,134.4,0.0,241.1,264.9,137.7,110.9,88.6,109.8,217.2,160.8,361.8,97.0,119.9,218.6,118.9,97.8,1811.6,178.7,257.9,108.0,13.8,251.5,198.2,238.3,63.7,225.4,177.2,162.1,401.3,80.0,201.9,352.8,246.1,202.1,182.2,338.0,120.1,187.3,113.7,381.9,156.4,244.6,6.1,238.3,195.8,230.0,222.6,321.7,229.0,92.6,346.5,34.7,362.5,103.8,194.4,276.0,332.6,57.0,152.5,79.1,232.9,326.4,77.7,292.3,164.6,169.0,352.5,76.4,154.9
FA,243.8,235.1,153.2,287.3,374.1,236.6,323.5,226.7,340.6,280.9,172.7,257.2,69.0,350.9,342.0,97.4,377.9,306.7,14.4,135.3,329.0,0.0,95.0,392.2,323.0,166.9,250.6,129.9,248.5,302.7,356.5,379.7,48.7,244.2,316.8,1718.3,167.4,88.0,367.5,313.9,61.6,204.0,68.4,275.7,152.3,86.5,188.0,91.8,235.1,40.2,224.0,128.4,147.9,59.1,187.4,217.2,244.8,300.8,242.4,362.0,74.7,335.2,48.4,168.3,60.1,205.9,70.5,119.2,352.4,36.8,281.2,52.8,359.6,178.0,90.5,273.5,224.0,92.6,338.9,161.7,55.1,289.7,83.2,222.1,367.2,42.8,336.2,165.1
FB,271.3,266.4,196.7,327.2,383.6,264.1,351.0,255.5,380.5,320.8,209.9,299.2,26.3,378.4,351.5,72.5,398.5,334.2,42.5,162.8,356.5,56.8,0.0,404.5,343.6,176.4,278.1,87.0,257.5,342.6,379.7,401.8,41.0,271.7,356.7,1761.8,194.9,45.1,388.1,341.4,71.1,231.5,17.8,303.2,157.5,96.0,215.5,63.1,262.6,67.7,253.1,137.9,110.0,86.6,227.3,244.7,272.3,321.4,284.4,371.5,31.8,362.7,57.9,195.8,25.0,233.4,114.0,76.3,379.9,77.2,308.7,61.4,399.5,187.5,10.0,313.4,249.7,120.1,366.4,189.2,95.0,317.2,72.7,249.6,376.7,70.5,363.7,192.6
FT,289.2,202.8,477.8,411.1,58.1,227.6,129.0,233.9,104.9,401.9,242.1,436.3,445.1,91.8,40.5,418.0,99.1,98.5,377.5,282.3,137.3,389.0,415.6,0.0,82.9,222.5,187.6,367.9,248.9,426.5,80.5,21.3,369.3,256.3,122.0,1885.3,264.0,408.6,91.5,122.2,376.8,262.9,386.2,149.0,279.1,311.1,250.2,466.2,168.1,352.4,416.7,310.8,352.8,332.9,408.5,208.2,249.2,68.4,446.6,22.7,396.9,143.5,386.2,277.1,377.9,287.3,460.7,379.7,105.4,411.2,122.8,427.2,107.3,259.1,464.9,397.3,218.3,286.4,100.4,321.0,391.1,163.0,457.6,229.3,51.2,417.2,127.7,243.0
GF,223.2,148.1,411.8,345.1,35.9,206.1,128.0,167.9,38.9,338.7,236.7,370.3,382.1,78.4,76.2,364.0,117.4,71.6,323.5,231.1,133.5,370.8,361.6,42.1,0.0,182.6,142.7,313.9,204.1,360.5,96.0,27.1,315.3,177.6,56.0,1840.4,245.3,354.6,107.0,118.4,313.6,196.9,335.0,146.2,224.1,271.2,220.1,400.2,162.5,298.6,361.5,244.8,298.8,278.9,336.7,186.7,186.0,23.5,380.6,61.7,341.3,139.7,325.9,262.4,326.7,221.3,394.7,325.7,118.2,345.2,137.0,361.2,66.3,193.1,398.9,331.3,151.0,246.5,113.2,280.3,325.1,160.2,391.6,163.3,43.1,351.2,78.8,221.5
HA,148.1,173.4,264.2,308.2,207.1,178.4,251.9,132.3,206.1,301.8,86.7,308.8,203.7,214.7,175.0,178.6,222.0,218.6,138.1,45.7,257.4,152.4,176.2,228.0,167.1,0.0,180.8,128.5,134.3,319.0,203.2,225.3,129.9,150.1,223.2,1722.9,97.6,169.2,211.6,242.3,162.8,160.0,149.6,228.2,150.0,88.5,181.0,240.5,187.6,113.2,262.7,130.4,113.4,93.5,236.9,159.0,149.1,144.9,294.0,195.0,155.9,263.6,149.6,72.6,141.3,177.1,233.0,140.3,236.8,190.3,233.7,206.3,227.4,161.7,187.3,291.7,73.2,63.8,223.3,94.6,208.6,186.9,203.6,126.4,200.2,196.3,240.6,38.2
HX,307.2,187.3,397.0,463.0,128.8,192.3,112.2,287.1,156.8,456.6,241.0,441.6,297.1,165.4,134.5,272.0,172.7,169.3,231.5,178.5,107.1,245.8,269.6,162.6,117.8,132.7,0.0,221.9,267.6,478.4,153.9,144.8,223.3,51.1,173.9,1738.3,73.3,262.6,162.3,120.9,256.2,314.8,243.0,135.7,282.8,221.3,194.9,333.9,201.5,206.6,395.5,263.2,206.8,186.9,369.7,172.9,303.9,95.6,426.8,154.5,249.3,101.4,243.0,228.6,234.7,339.2,317.4,233.7,95.6,283.7,141.9,299.7,178.1,316.5,280.7,449.2,102.3,196.6,109.9,270.5,302.0,121.7,297.0,281.2,136.0,289.7,136.6,109.2
HY,215.5,210.6,299.4,372.0,305.7,208.3,295.2,199.7,295.1,365.6,154.1,344.0,117.5,322.6,323.1,130.4,349.6,278.4,107.2,107.0,300.7,121.5,90.0,369.2,294.7,148.0,220.7,0.0,201.7,387.4,330.8,351.4,98.9,215.9,271.3,1683.2,139.1,57.3,339.2,285.6,129.0,227.4,75.7,247.4,196.7,135.2,159.7,125.9,206.8,82.3,297.9,177.1,22.9,62.6,272.1,188.9,216.5,272.5,329.2,343.1,69.4,306.9,115.8,140.0,82.9,251.8,173.2,11.7,324.1,122.0,252.9,106.2,314.1,229.1,101.1,358.2,195.7,110.5,310.6,181.9,139.8,261.4,75.0,193.8,348.3,115.3,307.9,136.8
HZ,40.6,114.1,342.6,278.3,328.2,143.7,202.4,110.9,179.0,280.4,89.8,303.5,265.9,210.8,296.1,226.0,257.1,185.6,198.5,106.1,216.4,212.8,236.6,284.9,258.1,121.0,241.2,188.9,0.0,280.7,246.8,258.6,190.3,234.8,182.1,1783.3,145.0,216.6,246.7,192.8,210.2,130.1,218.5,154.6,152.8,166.9,95.1,300.9,114.0,182.1,284.7,178.0,160.8,153.9,278.4,124.3,106.2,266.0,313.8,303.8,224.8,214.1,197.0,85.1,201.7,154.5,284.4,200.7,231.3,250.7,160.1,266.7,242.5,140.3,247.7,264.5,202.8,142.2,226.3,129.9,258.3,168.6,264.0,96.5,321.3,256.7,222.3,155.7
IB,419.7,312.1,183.5,90.8,477.3,369.5,366.7,211.2,339.0,84.4,323.7,9.7,280.6,370.1,459.7,347.2,409.1,367.9,273.9,337.3,372.2,258.4,305.3,441.2,419.6,334.2,472.4,361.7,424.4,0.0,387.7,428.6,298.5,484.4,315.2,1790.9,389.2,337.0,398.7,357.1,271.0,229.0,318.2,350.6,234.7,238.0,363.9,246.2,342.7,299.8,57.8,255.4,382.1,318.6,80.9,350.1,218.1,479.2,32.5,441.9,324.5,378.4,283.3,344.2,309.9,253.4,190.5,351.0,384.8,243.4,348.7,259.4,358.0,209.2,297.1,52.9,407.5,260.9,379.8,312.4,223.3,364.6,289.8,217.1,470.4,249.4,353.6,384.9
IP,232.9,146.0,411.4,354.8,93.4,170.8,72.7,177.6,74.7,346.1,185.8,380.0,391.6,17.5,112.7,358.9,18.7,41.7,320.7,226.0,80.5,332.7,358.8,81.6,57.4,147.1,155.2,311.1,192.1,370.2,0.0,66.6,312.5,142.1,65.7,1905.5,210.0,349.5,8.3,65.4,321.0,206.6,329.9,92.7,222.8,235.7,193.4,409.9,111.3,295.6,360.4,254.5,296.0,276.1,352.2,151.4,193.4,82.6,390.3,103.1,340.1,86.7,329.9,220.3,321.6,231.0,404.4,322.9,49.1,354.9,66.0,370.9,32.5,202.8,408.6,341.0,162.0,211.0,44.1,264.2,334.8,106.7,401.3,173.0,131.6,360.9,70.9,186.2
JE,282.9,185.2,466.1,404.8,59.4,206.2,110.4,228.9,98.6,398.4,220.9,430.0,443.9,73.2,54.2,396.6,80.5,77.1,356.1,263.7,115.9,370.4,394.2,17.7,79.4,201.8,166.2,346.5,244.4,420.2,61.7,0.0,347.9,234.9,115.7,1863.9,245.4,387.2,70.1,100.8,373.3,256.6,367.6,130.4,283.8,290.4,228.8,459.7,146.7,331.2,421.2,304.5,331.4,311.5,396.4,186.8,245.7,47.0,440.3,36.6,373.9,122.1,367.6,262.5,359.3,281.0,454.4,358.3,95.3,404.9,101.4,420.9,85.9,258.3,405.3,391.0,199.7,265.7,81.8,299.6,384.8,144.4,451.3,223.0,64.9,410.9,99.1,221.6
JF,230.2,225.3,230.6,326.0,342.5,223.0,309.9,214.4,309.8,319.6,168.8,275.2,73.7,337.3,310.4,48.6,357.4,293.1,23.3,121.7,315.4,37.6,46.2,363.4,302.5,135.3,237.0,81.1,216.4,285.4,338.6,360.7,0.0,230.6,286.0,1757.0,153.8,39.2,347.0,300.3,30.0,190.4,19.6,262.1,116.4,54.9,174.4,110.5,221.5,26.6,229.1,96.8,104.1,45.5,203.3,203.6,231.2,280.3,260.4,330.4,25.9,321.6,16.8,154.7,11.3,192.3,109.2,70.4,338.8,75.5,267.6,91.5,328.8,146.4,57.3,258.1,208.6,79.0,325.3,148.1,93.8,276.1,94.1,208.5,335.6,81.5,322.6,151.5
KA,255.8,206.6,371.9,415.9,166.1,211.6,87.1,240.0,194.1,409.5,194.4,416.5,311.4,202.7,147.5,286.3,210.0,129.0,245.8,153.4,82.0,260.1,283.9,199.9,155.1,107.6,64.7,236.2,242.0,426.7,191.2,182.1,237.6,0.0,211.2,1803.1,97.6,276.9,199.6,95.8,270.5,267.7,257.3,110.6,257.7,196.2,214.2,348.2,141.2,220.9,370.4,238.1,221.1,201.2,344.6,192.2,256.8,132.9,401.7,167.5,263.6,76.3,257.3,180.3,249.0,284.8,340.7,248.0,109.0,298.0,116.8,314.0,215.4,269.4,295.0,399.4,76.0,171.5,123.3,202.3,316.3,96.6,311.3,234.1,172.7,304.0,150.0,126.4
KB,167.1,92.6,355.7,289.0,162.0,150.0,71.9,113.1,23.7,282.6,180.6,314.2,328.1,54.8,144.4,307.9,93.8,70.4,267.4,175.0,77.4,314.7,305.5,133.7,106.9,189.9,165.9,257.8,148.0,304.4,75.0,115.9,259.2,196.4,0.0,1852.2,189.2,298.5,83.4,62.3,257.5,140.8,278.9,90.1,168.0,279.5,164.0,343.9,106.4,242.5,305.4,188.7,242.7,222.8,280.6,130.6,129.9,169.8,324.5,126.8,285.2,83.6,269.8,206.3,270.6,165.2,338.6,269.6,70.6,289.1,80.9,305.1,42.7,142.5,342.8,275.2,159.4,247.4,57.1,224.2,269.0,104.1,335.5,107.2,155.1,295.1,30.9,165.4
KF,1685.3,1680.4,1516.3,1573.2,1762.8,1678.1,1765.0,1669.5,1790.8,1586.8,1623.9,1640.9,1604.1,1799.4,1777.7,1662.5,1806.7,1748.2,1622.0,1576.8,1770.5,1580.1,1625.7,1796.6,1751.8,1617.8,1689.3,1538.6,1671.5,1639.7,1787.9,1778.8,1613.8,1685.7,1828.7,0.0,1608.9,1593.0,1796.3,1755.4,1646.7,1697.2,1611.4,1717.2,1748.2,1643.7,1629.5,1568.1,1676.6,1597.1,1608.5,1685.6,1523.5,1577.4,1594.2,1658.7,1686.3,1729.6,1628.7,1788.6,1605.1,1776.7,1633.5,1609.8,1618.6,1721.6,1512.2,1550.4,1821.5,1572.5,1722.7,1588.5,1812.1,1722.7,1636.8,1646.9,1656.3,1619.0,1808.0,1651.7,1570.8,1731.2,1613.7,1663.6,1770.0,1578.5,1777.7,1606.6
KN,233.8,113.9,335.6,399.5,166.5,118.9,167.9,222.3,194.5,393.1,142.9,424.7,225.5,203.1,181.4,198.6,210.4,199.7,158.1,117.1,162.8,172.4,196.2,200.3,155.5,71.3,83.1,148.5,177.3,414.9,189.0,182.5,149.9,76.7,211.6,1742.9,0.0,189.2,200.0,206.9,182.8,251.3,169.6,103.2,225.7,159.9,121.5,260.7,128.1,133.2,344.1,201.8,133.4,113.5,308.3,99.5,240.4,133.3,365.4,192.3,177.5,157.1,169.6,152.4,161.3,275.7,244.0,160.3,160.3,210.3,174.2,226.3,215.8,253.0,207.3,385.7,56.5,135.2,165.6,197.1,228.6,89.2,223.6,217.7,173.7,216.3,229.0,35.8
