from_stop,AT,BI,BK,BS,BT,BX,CC,DA,DD,DE,DQ,DR,DU,EA,ED,EF,EH,EO,EX,EY,FF,FI,FK,FL,FR,FT,FV,GG,GI,GQ,HD,HG,HI,HM,HN,HP,HT,HV,ID,IE,IN,IS,IV,JF,JH,JW,KA,KL,KT,LE,LS,MA,MD,ME,MG,MH,MI,MQ,MV,MY,NK,NP,NQ,OD,OK,OT,OU,OX,OY,PD,PF,PG,PI,PQ,PR,QC,QF,QM,RM,RZ,SS,TF,TG,TV,TW,TZ,UB,UD,UO,UR,UY,VB,VD,VF,VH,VI,VQ,WK,WO,WQ,XQ,XS,YF,YN,YR,YT,YU,YX,ZB,ZG,ZL
DQ,263.1,259.1,609.5,185.4,322.8,265.4,220.4,305.4,308.2,337.7,0.0,93.6,135.2,165.6,547.9,227.3,402.1,109.6,326.6,130.0,386.8,466.5,124.1,247.0,233.1,142.1,208.7,238.2,155.8,318.1,351.8,536.6,149.3,213.1,538.5,139.7,269.1,241.5,217.6,62.6,322.4,630.0,124.3,173.7,265.3,338.6,517.4,344.8,189.3,517.4,215.5,210.1,84.5,215.4,181.2,145.4,230.2,299.6,130.3,268.7,281.3,621.3,344.2,185.0,157.3,221.8,199.6,361.3,266.5,328.3,297.4,601.6,132.9,196.4,298.8,250.1,1640.6,181.6,187.7,590.5,200.6,346.5,208.4,171.0,174.3,131.2,278.1,227.3,285.9,357.5,119.4,235.4,148.3,115.2,185.8,558.6,624.3,200.4,182.9,578.0,161.8,226.3,183.0,577.7,149.8,495.3,262.2,326.3,175.2,100.4,176.1
DR,220.2,269.2,549.5,132.2,272.2,275.5,167.2,277.2,280.0,309.5,49.2,0.0,54.4,63.8,528.0,237.4,373.9,24.1,275.7,56.5,364.9,444.6,40.2,257.1,235.6,152.2,218.8,248.3,154.1,289.9,329.9,496.7,159.4,177.9,371.3,149.8,247.2,188.3,166.4,100.3,339.3,608.1,134.4,113.4,275.4,296.4,495.5,316.6,144.8,495.5,212.9,220.2,90.9,155.1,87.5,155.5,240.3,249.0,70.0,278.8,255.1,575.1,316.0,124.7,167.4,197.2,105.9,339.4,244.6,300.1,307.5,579.7,39.3,206.5,256.6,260.2,1650.7,118.6,127.4,544.3,127.1,295.6,173.2,77.3,139.1,141.3,227.5,203.3,264.0,329.3,56.4,245.5,158.4,92.0,195.9,538.7,578.1,140.1,193.0,558.1,88.3,152.8,122.3,555.8,76.3,473.4,272.3,298.1,173.9,71.5,186.2
DU,237.9,304.2,566.5,149.9,289.9,302.8,184.9,294.9,297.7,327.2,66.2,52.6,0.0,116.5,545.0,272.4,391.6,41.8,293.4,74.2,381.1,461.6,57.9,296.4,253.3,187.2,253.8,283.3,171.8,307.6,346.9,513.7,178.3,195.6,388.3,184.8,264.2,198.4,184.1,128.9,357.0,625.1,169.4,137.7,310.4,314.1,512.5,334.3,162.5,512.5,230.6,255.2,108.6,172.8,140.2,190.5,275.3,266.7,87.7,313.8,263.4,592.1,333.7,142.4,202.4,208.9,160.5,356.4,261.6,317.8,338.3,608.3,87.6,241.5,274.3,295.2,1685.7,136.3,145.1,561.3,144.8,313.3,190.9,130.0,156.8,176.3,245.2,221.0,281.0,347.0,74.1,280.5,193.4,109.7,230.9,555.7,595.2,172.4,228.0,575.1,106.0,170.5,137.7,572.8,94.3,490.4,290.7,315.8,191.6,89.2,221.2
EA,178.8,327.9,585.9,142.5,277.7,295.4,177.5,287.5,298.0,319.8,76.9,66.3,120.8,0.0,532.0,280.0,323.8,82.8,242.0,91.7,392.9,480.3,106.6,320.1,232.3,210.9,277.5,294.5,164.4,307.9,357.9,520.7,170.9,138.8,495.4,180.5,275.2,166.0,176.7,147.3,303.7,643.8,200.8,130.3,341.8,260.8,523.5,334.6,162.8,523.5,230.9,278.9,143.4,113.7,23.6,221.9,306.7,237.9,136.4,333.2,180.4,597.7,326.3,83.3,226.1,113.8,65.0,367.4,280.3,310.4,362.0,610.7,33.2,272.9,274.6,291.2,1709.4,77.7,93.7,566.9,74.2,261.9,141.8,5.3,157.1,200.0,237.8,200.0,292.0,339.6,107.4,304.2,218.8,150.7,262.3,542.7,608.4,98.7,259.4,562.1,59.9,99.9,59.5,583.8,64.2,501.4,283.3,316.1,184.2,131.7,213.8
ED,610.6,746.8,105.2,595.1,669.0,702.5,616.9,710.3,713.1,742.6,480.4,499.2,538.0,477.0,0.0,678.2,657.7,507.7,657.4,535.6,496.4,380.1,523.8,734.7,623.6,629.8,696.4,693.3,643.5,723.0,238.8,118.9,637.0,540.9,502.8,627.4,341.1,597.8,629.3,522.9,620.9,338.5,612.0,577.9,746.6,683.9,218.7,685.7,607.7,218.7,603.2,687.1,572.2,545.7,500.7,633.1,717.9,661.0,553.6,742.3,426.0,121.7,686.2,536.6,645.0,390.2,466.6,229.7,486.5,733.2,785.1,310.1,497.5,684.1,689.7,662.8,1587.9,535.7,533.9,128.6,467.0,677.3,545.6,490.5,579.6,618.9,660.6,624.1,395.5,709.7,540.0,723.1,636.0,602.9,673.5,68.5,118.7,522.3,670.6,87.9,503.8,429.3,517.5,280.6,515.8,196.6,690.4,731.2,662.9,588.1,663.8
EF,134.4,74.5,675.5,139.1,117.6,69.1,139.6,114.2,117.0,146.5,296.9,283.3,282.8,296.9,682.4,0.0,210.9,248.3,145.4,286.7,485.4,444.9,232.3,93.7,118.3,85.7,102.5,15.0,159.0,126.9,544.5,634.9,165.5,202.8,409.8,175.1,420.2,160.7,107.3,225.6,176.3,623.3,104.3,158.2,68.3,133.4,638.7,153.6,125.0,638.7,86.8,58.7,260.1,206.4,312.5,83.4,69.9,94.4,191.6,64.0,258.5,687.3,153.0,207.4,70.9,258.2,312.9,595.2,417.6,137.1,110.7,594.9,289.3,90.2,93.6,44.9,1534.4,262.6,210.1,656.5,294.4,165.3,198.1,302.3,164.0,96.1,72.9,142.0,425.5,166.3,245.6,82.1,79.5,205.9,52.9,693.1,690.3,222.8,76.7,698.8,260.1,237.2,246.0,571.8,272.1,623.4,57.0,135.1,114.9,240.7,77.4
EH,166.3,164.9,630.1,201.4,117.3,137.8,192.0,85.2,56.0,68.7,279.9,298.7,337.5,278.5,605.9,182.3,0.0,297.8,70.8,255.5,440.0,488.6,282.5,167.9,131.0,252.2,200.3,173.2,205.3,45.6,439.5,589.5,211.8,147.2,364.4,221.4,356.8,172.9,179.3,342.6,33.4,563.6,270.8,222.5,158.7,44.5,593.3,20.8,199.8,593.3,110.6,194.5,306.8,182.8,294.1,246.8,171.1,121.0,241.8,154.4,195.2,641.9,21.3,185.0,234.3,241.6,266.1,449.0,354.2,35.6,184.2,535.2,270.9,188.0,87.7,169.9,1429.8,261.1,182.3,611.1,186.9,54.6,151.9,283.9,185.9,262.6,144.9,186.4,373.6,50.9,270.8,156.3,246.0,256.1,193.1,616.6,644.9,170.7,216.9,653.4,223.7,173.8,249.0,526.4,235.7,578.0,150.7,106.1,219.1,287.4,214.9
EO,196.0,269.8,548.8,108.0,248.0,260.9,143.0,253.0,255.8,285.3,48.5,34.9,34.4,106.9,527.3,238.0,349.7,0.0,251.5,32.3,364.2,443.9,16.0,257.7,211.4,152.8,219.4,248.9,129.9,265.7,329.2,496.0,136.4,153.7,370.6,146.0,246.5,164.1,142.2,111.2,315.1,607.4,135.0,89.2,276.0,272.2,494.8,292.4,120.6,494.8,188.7,220.8,66.7,130.9,122.5,156.1,240.9,224.8,45.8,279.4,249.2,574.4,291.8,100.5,168.0,196.2,139.4,338.7,243.9,275.9,308.1,579.0,74.2,207.1,232.4,256.7,1651.3,94.4,103.2,543.6,102.9,271.4,149.0,112.3,114.9,141.9,203.3,179.1,263.3,305.1,32.2,246.1,159.0,67.8,196.5,538.0,577.4,115.9,193.6,557.4,64.1,128.6,95.8,555.1,52.1,472.7,248.8,273.9,149.7,47.3,179.3
EX,104.5,178.4,636.9,171.7,83.7,150.5,130.2,118.3,121.1,150.6,286.7,296.0,304.1,266.5,612.7,155.6,92.0,269.6,0.0,261.5,446.8,406.3,253.6,181.4,101.0,213.9,213.8,149.6,175.6,131.0,446.3,596.3,182.1,149.2,371.2,191.7,363.6,111.1,147.3,313.1,94.8,570.4,232.5,192.8,172.2,51.9,600.1,157.7,161.5,600.1,80.6,164.5,277.9,135.1,282.1,214.8,184.6,51.2,212.9,167.9,176.5,648.7,157.1,156.1,202.3,205.1,272.9,455.8,361.0,141.2,214.6,542.0,258.9,201.5,74.0,140.2,1522.9,232.2,153.4,617.9,193.7,19.8,144.5,271.9,156.2,224.3,77.6,128.1,380.4,170.4,241.9,169.8,207.7,227.2,169.5,623.4,651.7,170.2,193.3,660.2,229.7,180.6,215.6,533.2,241.7,584.8,138.4,139.2,180.8,258.5,182.9
EY,200.8,280.1,589.9,136.3,276.3,286.4,171.3,281.3,284.1,313.6,90.8,77.2,76.7,82.9,528.3,248.3,378.0,42.2,256.3,0.0,396.9,476.6,44.3,268.0,239.7,163.1,229.7,259.2,158.2,294.0,361.9,517.0,164.7,160.8,517.4,160.7,279.2,188.0,170.5,144.4,325.7,640.1,145.3,117.5,286.3,282.8,527.5,320.7,148.9,527.5,217.0,231.1,95.0,135.7,106.6,166.4,251.2,253.1,74.1,289.7,220.7,601.7,320.1,105.3,178.3,166.2,107.0,371.4,276.6,304.2,318.4,611.7,83.4,217.4,260.7,271.1,1661.6,99.7,108.0,570.9,70.5,276.2,156.1,96.4,143.2,152.2,231.6,207.4,296.0,333.4,60.5,256.4,169.3,96.1,206.8,539.0,604.7,120.7,203.9,558.4,31.7,96.2,81.5,587.8,19.7,505.4,277.1,302.2,178.0,75.6,197.1
FF,453.6,557.2,449.4,418.1,410.7,443.4,453.1,451.2,454.0,484.3,298.0,316.8,354.8,293.8,394.7,419.9,399.4,325.3,399.1,357.7,0.0,218.8,341.4,550.5,365.3,440.2,506.8,434.2,440.0,464.7,220.3,387.1,446.5,414.6,69.8,437.8,136.8,447.8,451.5,360.7,361.8,424.0,421.6,406.9,563.4,428.3,412.6,427.4,432.5,412.6,344.9,507.4,381.8,388.5,318.3,443.5,528.3,402.7,370.4,562.9,139.4,460.4,427.9,358.9,459.4,159.9,285.3,229.8,157.4,474.9,590.5,407.2,318.3,493.7,431.4,403.7,1605.5,352.5,361.6,430.4,342.1,419.0,409.7,308.1,425.0,429.3,402.3,467.9,85.5,451.4,357.6,532.7,446.4,392.4,483.9,405.4,474.9,388.9,481.0,424.8,327.8,264.0,335.1,345.7,339.5,397.3,432.1,472.9,459.8,372.7,474.2
FI,383.0,490.7,309.1,422.6,406.9,440.4,401.8,448.2,451.0,480.5,432.6,451.4,490.2,429.2,320.8,416.1,395.6,459.9,395.3,492.3,222.9,0.0,476.0,483.8,361.5,451.7,485.8,431.2,442.5,460.9,219.9,268.5,449.0,395.7,199.9,458.6,279.7,389.6,388.0,495.3,358.8,213.7,470.3,441.7,484.5,421.8,272.3,423.6,408.5,272.3,341.1,425.0,517.2,413.6,452.9,449.4,460.0,398.9,505.8,480.2,265.8,320.9,424.1,433.5,436.9,298.8,418.8,210.8,292.0,471.1,526.9,185.3,449.7,473.5,427.6,400.7,1447.2,487.9,430.8,290.1,476.7,415.2,400.4,442.7,434.4,462.1,398.5,375.7,264.3,447.6,492.2,472.2,445.5,527.8,461.0,331.5,323.9,419.2,460.0,332.4,462.4,399.5,469.7,168.1,474.4,257.0,428.3,469.1,427.8,507.3,423.6
FK,179.9,255.3,564.8,91.9,231.9,244.8,126.9,236.9,239.7,269.2,64.5,50.9,50.4,122.9,543.3,223.5,333.6,15.9,235.4,54.3,380.2,459.9,0.0,243.2,195.3,138.3,204.9,234.4,113.8,249.6,345.2,512.0,120.3,137.6,495.6,129.9,262.5,148.0,126.1,127.2,299.0,623.4,120.5,73.1,261.5,256.1,510.8,276.3,104.5,510.8,172.6,206.3,50.6,114.8,138.5,141.6,226.4,208.7,29.7,264.9,241.9,590.4,275.7,84.4,153.5,193.8,146.6,354.7,259.9,259.8,293.6,595.0,90.2,192.6,216.3,240.6,1636.8,78.3,87.1,559.6,124.9,255.3,132.9,128.3,98.8,127.4,187.2,163.0,279.3,289.0,16.1,231.6,144.5,51.7,182.0,554.0,593.4,99.8,179.1,573.4,86.1,150.6,79.7,571.1,74.1,488.7,232.7,257.8,133.6,31.2,163.2
FL,244.1,41.6,751.1,209.6,159.8,76.2,210.1,88.3,123.3,123.3,367.4,353.8,308.0,355.0,693.1,96.9,187.7,318.8,189.3,357.2,561.0,573.5,302.8,0.0,186.0,182.7,74.5,82.8,225.2,133.2,549.4,681.8,236.0,273.3,481.1,245.6,462.4,231.2,170.7,260.2,202.6,720.0,201.3,222.6,47.8,159.7,714.3,159.9,195.5,714.3,162.4,57.4,205.8,272.6,383.0,180.4,27.3,162.1,257.8,52.1,322.3,762.9,160.5,277.9,163.6,336.1,385.3,558.9,464.1,143.4,74.2,664.5,359.5,57.9,119.9,115.4,1478.7,328.8,280.6,732.1,356.1,209.2,268.6,372.8,234.5,193.1,140.6,209.7,496.8,143.1,316.1,17.3,176.5,272.1,73.9,703.8,770.6,293.3,97.7,723.2,330.6,343.0,316.5,647.4,342.6,699.0,93.4,111.9,211.9,311.2,174.4
FR,77.4,156.6,618.5,95.1,45.3,106.3,49.7,114.1,116.9,146.4,252.9,239.3,238.8,230.9,625.4,82.0,164.6,204.3,91.1,234.0,428.4,387.9,188.3,149.7,0.0,133.4,151.7,97.1,115.0,126.8,482.4,577.9,121.5,121.7,352.8,131.1,399.7,61.9,74.8,239.5,148.0,566.3,152.0,114.2,150.4,105.1,581.7,153.5,81.0,581.7,29.8,90.9,216.1,107.6,254.6,143.8,125.9,40.1,147.6,146.1,179.4,630.3,152.9,128.6,131.3,184.7,255.0,491.9,397.1,137.0,192.8,537.9,231.4,139.4,93.5,66.6,1583.6,204.7,125.9,599.5,229.8,111.0,117.0,244.4,120.0,143.8,57.2,23.6,368.5,166.2,201.6,138.1,127.2,161.9,126.9,636.1,633.3,142.7,125.9,641.8,202.2,216.7,188.1,514.8,214.2,566.4,94.2,135.0,100.3,196.7,111.9
FT,158.7,169.0,699.8,65.1,188.6,163.6,83.6,193.6,196.4,225.9,222.9,209.3,208.8,214.8,655.9,94.4,290.3,174.3,214.7,212.7,509.7,469.2,158.3,172.5,152.0,0.0,134.2,109.5,85.0,206.3,489.5,659.2,91.5,128.8,434.1,101.1,406.8,104.7,82.8,162.3,255.7,647.6,18.5,84.2,162.8,212.8,663.0,233.0,47.1,663.0,111.1,135.6,186.1,132.7,238.5,70.9,155.7,165.4,117.6,158.5,247.8,711.6,232.4,133.4,65.6,222.6,238.9,499.0,404.2,216.5,205.2,619.2,215.3,121.9,173.0,139.4,1566.1,188.6,136.1,680.8,220.4,234.6,124.1,228.3,90.0,10.3,143.9,119.7,449.8,245.7,171.6,160.9,6.1,131.9,111.3,666.6,714.6,148.8,108.4,723.1,186.1,223.8,172.0,596.1,198.1,647.7,151.5,214.5,33.0,166.7,52.1
FV,194.3,49.3,706.8,183.4,189.8,122.6,183.9,96.0,133.7,131.0,261.8,231.1,255.5,295.0,645.2,121.2,195.4,213.2,219.3,234.3,545.3,578.0,197.2,48.4,216.0,133.0,0.0,106.9,173.2,143.6,496.9,633.9,166.7,230.5,469.7,157.1,414.2,196.8,148.8,207.7,229.4,672.1,115.2,202.5,55.5,189.7,698.6,170.3,169.3,698.6,146.7,105.9,157.6,224.9,318.7,111.6,71.5,192.1,175.0,59.8,351.1,718.6,169.7,229.7,123.5,363.5,323.0,506.4,411.6,153.8,87.6,693.8,270.4,12.6,149.9,162.0,1430.8,254.7,232.4,687.8,304.5,239.2,225.8,308.5,191.7,122.1,170.6,158.5,431.0,150.8,192.5,60.0,139.2,159.9,59.1,655.9,721.6,245.1,25.8,675.3,266.1,297.1,256.1,631.7,254.1,683.3,135.5,119.6,166.1,173.5,142.3
GG,192.4,59.4,689.8,152.0,127.7,63.6,152.5,103.6,106.4,135.9,309.8,296.2,295.7,301.7,696.7,14.2,200.3,261.2,155.5,299.6,498.9,459.2,245.2,80.4,128.4,100.0,92.6,0.0,171.9,116.3,558.8,649.2,178.4,215.9,424.1,188.0,434.5,173.6,117.4,238.3,185.7,637.6,118.6,171.1,53.2,145.5,653.0,143.0,137.9,653.0,101.1,48.8,273.0,219.3,325.4,97.7,60.0,104.5,204.5,48.9,266.8,701.6,142.4,220.3,80.9,271.3,327.7,609.5,431.9,126.5,91.4,620.8,306.2,80.3,103.0,55.0,1524.5,275.5,223.0,670.8,307.3,175.4,211.0,315.2,176.9,110.4,83.0,152.1,439.8,155.7,258.5,68.8,93.8,218.8,43.0,707.4,704.6,250.3,66.8,713.1,273.0,251.5,258.9,586.1,284.7,637.7,67.1,124.5,129.2,253.6,91.7
GI,115.2,234.6,645.9,29.5,169.5,182.4,64.5,174.5,177.3,206.8,169.3,155.7,155.2,161.2,584.3,167.0,271.2,120.7,170.7,159.1,506.6,466.9,104.7,226.9,132.9,104.3,184.3,181.5,0.0,187.2,417.9,573.0,6.5,57.2,431.8,16.0,335.2,85.6,63.7,185.9,236.6,645.3,99.9,24.0,228.4,193.7,660.7,213.9,42.1,660.7,110.2,185.7,132.5,61.1,184.9,121.0,205.8,146.3,64.0,224.1,207.0,657.7,213.3,79.8,120.2,176.3,187.2,427.4,332.6,197.4,266.6,616.9,165.7,172.0,153.9,178.2,1616.2,135.0,79.4,626.9,165.3,190.6,52.5,174.7,18.4,106.8,124.8,100.6,352.0,226.6,118.0,211.0,98.1,78.3,161.4,595.0,665.4,109.8,158.5,614.4,132.5,152.2,118.4,593.8,144.5,645.4,170.3,195.4,71.2,113.1,100.8
