from_stop,AE,AT,AZ,BA,BG,BR,BS,BX,CB,CE,CF,CJ,CM,CY,DF,DJ,DR,DS,DT,ED,EH,EW,EZ,FE,FG,FV,FY,GD,GE,GJ,GO,GP,GQ,HD,HM,HN,HS,HW,HZ,IA,IF,IG,IL,IY,JA,JJ,JV,KF,KQ,KS,KV,KW,LC,LJ,LL,LM,LZ,MI,MK,MS,MV,ND,NJ,NP,NQ,NW,OH,PE,PJ,PQ,PU,QW,QY,RT,SA,SB,SE,SF,SL,SN,SR,TA,TC,TD,TQ,TW,UD,UE,UF,UK,UN,VA,VE,VF,VY,WA,WB,WP,WW,XD,XE,YG,YW,ZC,ZD,ZI,ZL,ZV
CF,679.5,1115.4,1128.7,527.7,1050.3,933.8,298.9,990.4,1077.0,920.5,0.0,587.4,953.7,1064.4,652.0,1034.8,262.9,1025.3,483.8,738.9,488.0,570.3,530.4,667.9,996.1,1129.2,1052.3,520.9,508.7,825.9,265.6,414.5,484.3,660.5,1000.6,511.1,869.0,698.4,908.4,998.6,767.2,469.5,522.7,545.3,478.8,1028.4,549.4,611.4,838.9,1052.5,1084.5,479.3,177.5,1008.0,904.6,352.7,513.4,2627.9,870.5,724.1,351.0,272.8,361.4,562.0,890.7,974.8,443.3,884.0,869.2,105.1,841.6,295.9,857.4,465.1,652.0,663.2,566.4,944.6,1050.6,417.1,535.0,534.0,1114.9,565.0,487.9,1047.0,1138.3,784.9,928.0,740.7,431.7,395.5,14.7,514.7,562.5,1105.8,370.9,1084.3,579.6,1082.1,795.7,567.8,513.1,868.0,801.4,591.2,558.0,854.1
CJ,426.5,1232.7,1246.0,269.6,1167.6,1051.1,452.3,1107.7,1194.3,1037.8,625.1,0.0,1071.0,1181.7,769.3,1152.1,479.3,1142.6,601.1,485.9,97.0,687.6,647.7,785.2,1113.4,1246.5,1169.6,638.2,626.0,943.2,330.3,337.9,601.6,615.1,1117.9,154.4,783.6,538.9,1025.7,1115.9,514.2,586.8,640.0,662.6,596.1,1145.7,666.7,728.7,956.2,1169.8,1201.8,596.6,429.0,1125.3,1021.9,402.9,630.7,2745.2,987.8,634.8,274.4,323.1,234.5,679.3,1008.0,1092.1,560.6,1001.3,616.2,611.9,588.6,300.0,974.7,170.6,606.6,410.2,313.4,1061.9,1167.9,534.4,652.3,651.3,1232.2,30.0,605.2,1164.3,1255.6,699.5,1045.3,487.7,355.1,512.8,639.9,632.0,304.4,1223.1,488.2,1201.6,696.9,1199.4,913.0,685.1,630.4,985.3,918.7,338.2,675.3,971.4
CM,426.3,315.1,328.4,585.1,295.3,19.8,742.2,162.8,276.7,92.9,1074.4,1129.7,0.0,288.8,690.1,314.1,928.6,197.7,521.9,476.2,1030.3,608.4,568.5,356.1,168.5,301.6,252.0,615.3,546.8,219.0,842.4,895.0,550.0,350.5,173.7,1053.4,475.7,440.1,115.4,44.8,504.5,658.1,560.8,583.4,556.6,228.1,587.5,649.5,169.4,365.0,284.2,667.9,878.3,207.7,149.7,767.8,590.1,2071.0,241.3,330.8,893.3,835.2,903.7,600.1,133.1,147.2,518.5,214.5,670.7,1061.2,643.1,838.2,166.4,1007.4,359.0,464.7,541.3,79.2,250.3,547.3,723.6,628.4,314.6,1107.3,582.3,377.5,310.7,391.6,100.4,542.2,867.8,569.7,1089.2,609.1,621.1,305.5,729.9,281.0,434.7,170.6,154.3,605.9,551.2,155.8,243.5,516.5,652.4,184.6
CY,361.2,553.3,566.6,520.0,533.5,280.5,962.4,401.0,514.9,331.1,1294.6,1349.9,300.4,0.0,811.6,552.3,1148.8,435.9,643.4,411.1,1250.5,729.9,690.0,576.3,406.7,539.8,490.2,730.6,668.3,439.2,1062.6,1115.2,770.2,472.0,411.2,1273.6,597.2,464.1,174.9,355.6,439.4,779.6,682.3,704.9,770.9,466.3,709.0,771.0,227.0,603.2,522.4,789.4,1098.5,445.9,376.6,988.0,711.6,2223.3,358.2,452.3,1102.5,1055.4,1123.9,721.6,180.3,385.4,640.0,191.3,605.6,1281.4,578.0,1058.4,213.6,1227.6,480.5,399.6,476.2,211.1,488.5,668.8,845.1,749.9,552.8,1327.5,703.8,312.4,548.9,513.1,338.6,477.1,1088.0,690.7,1309.4,730.6,602.1,526.2,950.1,519.2,654.9,378.3,275.8,727.4,672.7,203.0,463.7,451.4,773.9,231.2
DF,475.1,827.1,840.4,385.3,874.5,645.5,374.6,702.1,788.7,632.2,706.8,762.1,665.4,776.1,0.0,859.0,561.0,737.0,171.5,439.1,662.7,258.0,218.1,492.1,707.8,840.9,764.0,262.7,196.4,650.1,474.8,527.4,308.5,348.2,713.0,685.8,516.7,386.1,620.1,720.6,488.5,311.7,210.4,90.2,303.0,740.1,237.1,299.1,550.6,876.7,796.2,321.5,510.7,719.7,616.3,400.2,239.7,2339.6,577.6,367.9,514.7,467.6,536.1,249.7,600.5,686.5,172.1,595.7,719.5,693.6,691.9,470.6,569.1,639.8,339.7,513.5,408.6,656.3,762.3,200.9,377.2,282.0,826.6,739.7,235.9,758.7,850.0,432.6,639.7,591.0,500.2,222.8,721.6,262.7,420.1,800.0,362.3,796.0,403.8,818.1,507.4,71.2,200.8,579.7,625.6,433.4,306.0,565.8
DJ,591.8,213.7,227.0,684.1,15.4,251.7,840.0,135.2,162.8,195.5,1172.2,1227.5,271.6,518.2,855.6,0.0,1026.4,354.5,687.4,641.7,1128.1,773.9,734.0,565.5,325.3,176.1,187.5,780.8,712.3,428.4,940.2,992.8,647.8,516.0,329.8,1151.2,641.2,605.6,344.8,316.5,670.0,823.6,726.3,748.9,654.4,233.7,753.0,815.0,334.9,50.8,182.8,833.4,976.1,221.3,315.2,865.6,755.6,2205.7,406.8,496.3,991.1,933.0,1001.5,765.6,362.5,150.8,684.0,380.0,836.2,1159.0,808.6,936.0,353.4,1105.2,524.5,630.2,706.8,308.6,189.2,712.8,889.1,793.9,259.2,1205.1,747.8,543.0,185.2,557.1,187.5,707.7,965.6,735.2,1187.0,774.6,718.9,268.3,827.7,155.5,644.1,400.0,319.8,771.4,716.7,364.0,452.9,682.0,817.9,350.1
DR,568.9,1004.8,1018.1,417.1,939.7,823.2,188.3,879.8,966.4,809.9,278.1,476.8,843.1,953.8,541.4,924.2,0.0,914.7,373.2,628.3,377.4,459.7,419.8,557.3,885.5,1018.6,941.7,410.3,398.1,715.3,155.0,303.9,373.7,549.9,890.7,400.5,758.4,587.8,797.8,888.0,656.6,358.9,412.1,434.7,368.2,917.8,438.8,500.8,728.3,941.9,973.9,368.7,82.0,897.4,794.0,242.1,402.8,2517.3,759.9,613.5,240.4,162.2,250.8,451.4,780.1,864.2,332.7,773.4,758.6,264.9,731.0,185.3,746.8,354.5,541.4,552.6,455.8,834.0,940.0,306.5,424.4,423.4,1004.3,454.4,377.3,936.4,1027.7,674.3,817.4,630.1,321.1,284.9,292.9,404.1,451.9,995.2,260.3,973.7,469.0,971.5,685.1,457.2,402.5,757.4,690.8,480.6,447.4,743.5
DS,492.7,314.4,327.7,651.5,270.5,152.6,852.5,138.0,263.5,96.4,1184.7,1240.0,172.5,419.1,756.5,289.3,1038.9,0.0,588.3,542.6,1140.6,674.8,634.9,466.4,30.2,276.8,193.5,681.7,613.2,329.3,952.7,1005.3,660.3,416.9,25.7,1163.7,542.1,506.5,245.7,217.4,570.9,724.5,627.2,649.8,666.9,169.6,653.9,715.9,235.8,340.2,283.5,734.3,988.6,149.2,216.1,878.1,656.5,2038.9,307.7,397.2,1003.6,945.5,1014.0,666.5,263.4,122.4,584.9,280.9,737.1,1171.5,709.5,948.5,254.3,1117.7,425.4,531.1,607.7,209.5,191.8,613.7,790.0,694.8,256.1,1217.6,648.7,443.9,285.9,458.0,88.4,608.6,978.1,636.1,1199.5,675.5,733.6,247.0,840.2,256.2,545.0,300.9,220.7,672.3,617.6,264.9,353.8,582.9,718.8,251.0
DT,303.5,690.4,703.7,248.6,737.8,508.8,237.9,565.4,652.0,495.5,570.1,625.4,528.7,639.4,213.0,722.3,424.3,600.3,0.0,267.5,526.0,86.4,46.5,355.4,571.1,704.2,627.3,132.2,24.8,513.4,338.1,390.7,171.8,176.6,576.3,549.1,345.1,214.5,483.4,573.6,316.9,175.0,38.8,106.3,166.3,603.4,65.5,127.5,413.9,740.0,659.5,184.8,374.0,583.0,479.6,263.5,68.1,2202.9,445.5,196.3,389.0,330.9,399.4,78.1,465.7,549.8,35.4,459.0,547.9,556.9,520.3,333.9,432.4,503.1,168.1,341.9,271.9,519.6,625.6,64.2,240.5,145.3,689.9,603.0,93.6,622.0,713.3,261.0,503.0,419.4,363.5,86.6,584.9,126.0,283.4,680.8,225.6,659.3,267.1,657.1,370.7,128.8,29.2,443.0,488.9,296.7,169.3,429.1
ED,69.3,662.8,676.1,228.1,647.0,478.0,484.7,514.5,624.4,444.6,806.4,490.6,497.9,397.6,468.0,665.8,660.6,549.4,254.9,0.0,391.2,161.0,200.9,444.1,520.2,653.3,599.7,387.2,222.6,602.1,511.6,397.9,321.0,142.5,525.4,414.3,311.0,52.9,372.4,542.8,82.7,305.4,253.5,361.3,327.6,575.8,181.9,119.9,293.1,716.7,631.9,294.5,610.3,555.4,428.7,509.2,282.8,2200.8,414.9,162.2,455.7,504.4,415.8,169.3,354.7,498.9,290.4,239.1,313.7,793.2,286.1,481.3,321.4,368.3,134.0,107.7,184.3,408.6,598.0,319.2,283.8,400.3,662.3,468.2,308.3,88.0,662.4,226.9,452.1,185.2,409.2,341.6,821.2,381.0,310.2,653.2,472.4,631.7,355.8,551.5,327.9,383.8,218.2,332.0,577.6,159.5,424.3,279.0
EH,329.4,1135.6,1148.9,172.5,1070.5,954.0,355.2,1010.6,1097.2,940.7,528.0,99.3,973.9,1084.6,672.2,1055.0,382.2,1045.5,504.0,388.8,0.0,590.5,550.6,688.1,1016.3,1149.4,1072.5,541.1,528.9,846.1,233.2,240.8,504.5,518.0,1020.8,57.3,686.5,441.8,928.6,1018.8,417.1,489.7,542.9,565.5,499.0,1048.6,569.6,631.6,859.1,1072.7,1104.7,499.5,331.9,1028.2,924.8,305.8,533.6,2648.1,890.7,537.7,177.3,226.0,137.4,582.2,910.9,995.0,463.5,904.2,519.1,514.8,491.5,202.9,877.6,73.5,509.5,313.1,216.3,964.8,1070.8,437.3,555.2,554.2,1135.1,76.9,508.1,1067.2,1158.5,602.4,948.2,390.6,258.0,415.7,542.8,534.9,207.3,1126.0,391.1,1104.5,599.8,1102.3,815.9,588.0,533.3,888.2,821.6,241.1,578.2,874.3
EW,217.0,784.3,797.6,342.5,831.7,602.7,331.8,659.3,745.9,589.4,664.0,719.3,622.6,733.3,306.9,816.2,518.2,694.2,93.8,181.0,619.9,0.0,39.8,449.3,665.0,798.1,721.2,226.1,61.5,607.3,432.0,484.6,265.7,90.1,670.2,643.0,258.6,128.0,577.3,667.5,230.4,268.9,92.4,200.2,260.2,697.3,20.8,41.0,507.8,833.9,753.4,278.7,467.9,676.9,573.5,357.4,121.7,2296.8,539.4,109.8,482.9,424.8,493.3,8.3,559.6,643.7,129.3,552.9,461.4,650.8,433.8,427.8,526.3,597.0,81.6,255.4,332.0,613.5,719.5,158.1,334.4,239.2,783.8,696.9,147.2,715.9,807.2,174.5,596.9,332.9,457.4,180.5,678.8,219.9,377.3,774.7,319.5,753.2,361.0,751.0,464.6,222.7,57.1,536.9,582.8,307.2,263.2,523.0
EZ,256.9,744.4,757.7,302.6,791.8,562.8,291.9,619.4,706.0,549.5,624.1,679.4,582.7,693.4,267.0,776.3,478.3,654.3,53.9,220.9,580.0,39.8,0.0,409.4,625.1,758.2,681.3,180.0,21.7,567.4,392.1,444.7,225.8,130.0,630.3,603.1,298.5,167.9,537.4,627.6,270.3,229.0,52.5,160.3,220.3,657.4,18.9,80.9,467.9,794.0,713.5,238.8,428.0,637.0,533.6,317.5,81.8,2256.9,499.5,149.7,432.0,384.9,469.6,31.5,517.3,603.8,89.4,513.0,501.3,610.9,473.7,387.9,486.4,557.1,121.5,295.3,325.9,573.6,679.6,118.2,294.5,199.3,743.9,657.0,107.3,676.0,767.3,214.4,557.0,372.8,417.5,140.1,638.9,180.0,337.4,717.3,279.6,713.3,321.1,735.4,424.7,182.8,17.3,497.0,542.9,347.1,223.3,483.1
FE,387.0,635.1,648.4,230.1,603.7,342.3,386.0,482.8,596.7,412.9,718.2,773.5,362.2,590.8,553.0,588.2,572.4,517.7,384.8,446.4,674.1,471.3,431.4,0.0,488.5,621.6,572.0,415.7,409.7,157.9,486.2,538.8,193.8,575.6,493.0,697.2,744.1,499.4,417.4,417.4,474.7,388.5,423.7,446.3,200.4,548.1,450.4,512.4,481.8,605.9,604.2,398.3,522.1,527.7,469.7,411.6,414.4,2391.0,561.3,595.3,526.1,479.0,563.7,463.0,435.1,467.2,344.3,530.7,576.7,705.0,549.1,482.0,468.4,651.2,567.1,370.7,273.9,381.2,570.3,318.1,454.0,435.0,718.1,751.1,388.9,693.7,630.7,660.0,420.4,448.2,511.6,296.5,733.0,415.7,264.9,691.5,373.7,601.0,78.5,496.9,474.3,468.8,414.1,457.8,133.4,298.7,459.0,500.8
FG,462.4,284.1,297.4,621.2,240.2,122.3,822.2,107.7,233.2,66.1,1154.4,1209.7,142.2,388.8,726.2,259.0,1008.6,29.1,558.0,512.3,1110.3,644.5,604.6,436.1,0.0,246.5,163.2,651.4,582.9,299.0,922.4,975.0,630.0,386.6,4.5,1133.4,511.8,476.2,215.4,187.1,540.6,694.2,596.9,619.5,636.6,139.3,623.6,685.6,205.5,309.9,253.2,704.0,958.3,118.9,185.8,847.8,626.2,2008.6,277.4,366.9,973.3,915.2,983.7,636.2,233.1,92.1,554.6,250.6,706.8,1141.2,679.2,918.2,224.0,1087.4,395.1,500.8,577.4,179.2,161.5,583.4,759.7,664.5,225.8,1187.3,618.4,413.6,255.6,427.7,58.1,578.3,947.8,605.8,1169.2,645.2,703.3,216.7,809.9,225.9,514.7,270.6,190.4,642.0,587.3,234.6,323.5,552.6,688.5,220.7
FV,589.9,199.8,213.1,748.7,147.9,249.8,949.7,133.3,148.9,193.6,1281.9,1337.2,269.7,516.3,853.7,166.7,1136.1,340.6,685.5,639.8,1237.8,772.0,732.1,563.6,311.4,0.0,173.6,778.9,710.4,426.5,1049.9,1102.5,757.5,514.1,315.9,1260.9,639.3,603.7,342.9,314.6,668.1,821.7,724.4,747.0,764.1,219.8,751.1,813.1,333.0,217.6,168.9,831.5,1085.8,207.4,313.3,975.3,753.7,2203.8,404.9,494.4,1100.8,1042.7,1111.2,763.7,360.6,148.9,682.1,378.1,834.3,1268.7,806.7,1045.7,351.5,1214.9,522.6,628.3,704.9,306.7,175.3,710.9,887.2,792.0,245.3,1314.8,745.9,541.1,9.1,555.2,185.6,705.8,1075.3,733.3,1296.7,772.7,830.8,254.4,937.4,141.6,642.2,398.1,317.9,769.5,714.8,362.1,451.0,680.1,816.0,348.2
FY,540.4,63.0,76.3,699.2,154.7,200.3,900.2,140.1,24.6,144.1,1232.4,1287.7,220.2,466.8,804.2,173.5,1086.6,166.9,636.0,590.3,1188.3,722.5,682.6,514.1,137.7,149.0,0.0,723.2,660.9,377.0,1000.4,1053.0,708.0,464.6,142.2,1211.4,589.8,554.2,293.4,275.4,618.6,772.2,674.9,697.5,714.6,46.1,701.6,763.6,265.4,224.4,41.6,782.0,1036.3,33.7,263.8,925.8,704.2,2091.9,350.8,444.9,1040.3,993.2,1077.9,714.2,313.5,154.2,632.6,328.6,784.8,1219.2,757.2,996.2,302.0,1165.4,473.1,578.8,655.4,257.2,1.6,661.4,837.7,742.5,108.5,1265.3,696.4,491.6,156.6,505.7,136.1,656.3,1025.8,683.3,1248.7,723.2,781.3,106.0,887.9,31.9,592.7,372.9,268.4,720.0,665.3,312.6,401.5,632.1,768.0,298.7
GD,406.6,768.3,781.6,270.2,759.4,719.4,259.5,643.3,729.9,573.4,591.7,647.0,739.3,717.3,389.6,743.9,445.9,678.2,176.5,433.8,547.6,252.7,212.8,377.0,649.0,782.1,705.2,0.0,191.1,535.0,359.7,412.3,193.4,342.9,653.5,570.7,511.4,380.8,561.3,784.2,483.2,196.6,150.2,282.9,187.9,681.3,231.8,293.8,491.8,761.6,737.4,206.4,395.6,660.9,557.5,285.1,120.9,2280.8,523.4,362.6,399.6,352.5,421.0,244.4,541.2,627.7,96.2,536.9,596.3,578.5,568.7,355.5,510.3,524.7,334.4,390.3,293.5,597.5,703.5,85.8,262.1,52.1,767.8,624.6,95.4,699.9,791.2,427.3,580.9,467.8,385.1,107.7,606.5,0.0,305.0,741.2,247.2,737.2,288.7,874.0,448.6,305.4,195.5,520.9,510.5,318.3,43.3,507.0
GE,278.6,722.7,736.0,280.9,770.1,541.1,270.2,597.7,684.3,527.8,602.4,657.7,561.0,671.7,245.3,754.6,456.6,632.6,32.2,242.6,558.3,61.5,21.7,387.7,603.4,736.5,659.6,158.3,0.0,545.7,370.4,423.0,204.1,151.7,608.6,581.4,320.2,189.6,515.7,616.2,292.0,207.3,30.8,138.6,198.6,635.7,40.7,102.6,446.2,772.3,691.8,217.1,406.3,615.3,511.9,295.8,60.1,2235.2,473.2,171.4,410.3,363.2,447.9,53.2,496.1,582.1,67.7,491.3,523.0,589.2,495.4,366.2,464.7,535.4,143.2,317.0,304.2,551.9,657.9,96.5,272.8,177.6,722.2,635.3,85.6,654.3,745.6,236.1,535.3,394.5,395.8,118.4,617.2,158.3,315.7,713.1,257.9,691.6,299.4,713.7,403.0,161.1,4.4,475.3,521.2,329.0,201.6,461.4
