from_stop,AC,AE,AH,AI,AO,AQ,AU,BA,BC,BE,BR,BS,BU,BV,BW,BY,CJ,CS,CW,CZ,DY,EC,ED,EZ,FB,FC,FQ,FZ,GA,GO,GS,HA,HC,HG,HK,HM,HZ,IJ,IM,IT,IV,JE,JL,JN,JP,KH,KI,KL,KP,LO,LT,LX,MK,MO,MP,MT,NI,NY,OF,OV,OX,OZ,PC,PG,PH,PU,PY,QA,QK,QU,QW,RE,RH,SM,UB,UM,UO,US,UX,VC,VF,VH,VL,VO,WD,WI,WR,WX,XA,XC,XI,XL,XR,YJ,YK,YP,ZM,ZR
BR,155.0,280.1,289.7,301.8,230.7,217.6,79.1,17.8,213.2,322.2,0.0,336.8,751.5,255.5,63.9,11.7,251.4,129.7,274.5,144.9,561.3,363.1,408.8,358.9,236.2,593.4,151.6,2101.3,160.5,197.5,586.1,254.1,210.6,95.1,168.5,186.7,67.4,713.7,288.3,648.3,67.9,323.5,134.3,107.3,168.3,260.8,168.1,49.2,446.1,111.1,550.7,128.6,268.9,28.9,642.4,168.3,252.4,214.7,75.3,135.0,266.6,32.3,325.7,55.0,326.1,326.7,330.3,751.0,221.9,240.1,546.4,753.4,151.8,762.1,124.7,103.8,598.5,185.6,321.5,257.6,267.6,168.5,429.1,277.1,315.6,101.3,389.2,146.7,188.0,80.7,176.0,104.9,586.0,683.0,316.2,637.1,737.4,214.2
BS,203.5,115.8,544.5,38.6,122.6,120.1,295.1,352.5,212.9,656.9,334.6,0.0,508.6,131.5,270.9,323.3,77.5,464.4,150.1,479.6,822.8,697.8,743.5,693.6,214.2,894.6,237.9,1824.2,495.2,197.2,889.5,588.8,545.3,240.9,275.0,197.5,378.9,460.1,104.3,951.7,358.5,658.2,191.0,414.7,189.7,92.6,209.0,285.6,780.8,224.9,851.9,457.6,603.6,307.2,943.6,503.0,581.1,290.6,382.3,221.3,601.3,343.8,14.9,279.1,9.4,13.7,122.6,508.1,259.0,110.9,847.6,510.5,486.5,519.2,256.8,260.5,785.6,175.6,644.2,294.7,129.5,254.8,763.8,134.2,650.3,234.7,723.9,230.0,301.2,255.3,262.3,321.5,798.1,440.1,24.2,938.3,494.5,548.9
BU,662.1,593.9,918.9,619.7,585.7,655.3,753.7,829.1,738.3,671.2,811.2,581.0,0.0,617.4,747.3,799.9,658.6,859.1,601.8,801.9,355.8,613.9,771.8,549.4,761.3,427.6,671.2,2209.1,817.5,722.6,422.5,799.5,776.0,717.5,751.6,726.9,855.5,51.3,584.2,484.7,835.1,814.6,667.6,873.3,640.0,555.7,730.2,762.2,639.6,701.5,384.9,785.6,867.0,784.5,476.6,732.0,909.4,742.4,858.9,697.9,641.7,820.4,595.8,755.7,570.3,594.8,568.3,120.5,762.1,632.8,380.6,55.6,808.8,105.4,712.4,719.1,318.6,638.7,833.2,797.8,605.3,651.0,823.4,597.3,602.7,711.3,532.6,706.6,804.3,745.0,647.8,798.1,331.1,205.2,605.3,471.3,138.9,869.1
BV,121.2,23.4,475.7,110.3,110.1,37.8,212.8,270.2,130.6,574.6,252.3,103.3,544.2,0.0,188.4,241.0,59.9,382.1,168.8,397.3,813.7,615.5,657.2,611.3,153.6,845.8,155.6,1874.4,412.9,114.9,838.5,506.5,463.0,158.6,192.7,115.2,296.6,495.7,32.7,900.7,276.2,575.9,108.7,332.4,110.6,80.1,171.3,203.3,698.5,142.6,803.1,381.0,521.3,224.9,894.8,420.7,504.8,218.7,300.0,139.0,519.0,261.5,118.2,196.8,92.6,117.1,74.7,543.7,176.7,15.4,798.8,546.1,404.2,554.8,171.5,178.2,821.2,189.6,573.9,212.4,12.0,172.5,681.5,184.7,568.0,152.4,641.6,147.7,218.9,200.5,180.0,239.2,833.7,475.7,124.7,889.5,530.1,466.6
BW,91.0,215.0,353.6,237.8,166.7,153.6,36.0,81.7,149.2,386.1,63.8,272.8,687.5,191.5,0.0,52.5,187.4,193.6,199.1,208.8,625.2,427.0,472.7,422.8,172.2,657.3,87.6,2037.3,224.4,133.5,650.0,318.0,274.5,31.1,104.5,122.7,108.1,649.7,224.3,705.8,87.7,387.4,70.3,148.0,100.4,196.8,58.7,14.8,510.0,47.1,614.6,192.5,332.8,37.1,706.3,232.2,310.3,150.7,111.5,71.0,330.5,73.0,261.6,8.3,262.1,262.7,266.3,687.0,157.9,176.1,610.3,689.4,215.7,698.1,60.7,39.8,662.4,121.6,385.4,193.6,203.6,104.5,493.0,213.1,379.5,37.3,453.1,79.7,144.9,16.7,112.0,50.7,649.9,619.0,252.2,701.0,673.4,278.1
BY,143.2,267.2,301.0,290.0,218.9,205.8,67.3,29.1,201.4,333.5,11.2,325.0,739.7,243.7,52.1,0.0,239.6,141.0,251.3,156.2,572.6,374.4,416.1,370.2,224.4,604.7,139.8,2089.5,171.8,185.7,597.4,265.4,221.9,83.3,156.7,174.9,55.6,691.2,280.0,659.6,56.1,334.8,122.5,95.5,156.5,249.0,110.9,37.4,457.4,99.3,562.0,139.9,280.2,17.1,653.7,179.6,257.7,202.9,58.9,123.2,277.9,20.5,313.9,43.2,314.3,314.9,318.5,739.2,210.1,228.3,557.7,741.6,163.1,750.3,112.9,92.0,609.8,173.8,332.8,245.8,255.8,160.7,440.4,265.3,326.9,89.5,400.5,131.9,176.2,73.3,164.2,93.1,597.3,671.2,304.4,648.4,725.6,225.5
CJ,125.9,73.3,480.4,50.3,158.9,42.5,217.5,274.9,135.3,579.3,257.0,89.0,593.0,53.9,193.3,245.7,0.0,386.8,173.5,402.0,818.4,620.2,665.9,616.0,160.4,850.5,160.3,1913.3,417.6,119.6,843.2,511.2,467.7,163.3,197.4,119.9,301.3,544.5,85.0,905.4,280.9,580.6,113.4,337.1,112.1,128.9,131.4,208.0,703.2,147.3,807.8,380.0,526.0,229.6,899.5,425.4,503.5,213.0,304.7,143.7,523.7,266.2,74.1,201.5,98.5,75.2,123.5,592.5,181.4,33.3,803.5,594.9,408.9,603.6,179.2,182.9,855.6,194.3,578.6,217.1,60.8,177.2,686.2,189.4,572.7,157.1,646.3,152.4,223.6,177.7,184.7,243.9,843.1,524.5,64.7,894.2,578.9,471.3
CS,274.8,399.9,159.9,421.6,350.5,337.4,198.9,145.7,333.0,300.9,119.7,456.6,871.3,380.5,183.5,131.5,371.2,0.0,382.9,123.6,540.0,341.8,387.5,337.6,358.1,572.1,271.4,2221.1,139.2,317.3,564.8,144.0,189.3,214.9,288.3,306.5,187.2,822.8,411.6,627.0,187.7,193.7,254.1,227.1,288.1,380.6,242.5,169.0,424.8,230.9,529.4,101.6,247.6,148.7,621.1,147.0,225.1,324.1,195.1,254.8,245.3,152.1,445.4,174.8,445.9,446.5,450.1,870.8,341.7,359.9,525.1,873.2,130.5,881.9,244.5,223.6,577.2,305.4,191.7,377.4,387.4,288.3,407.8,396.9,294.3,221.1,367.9,263.5,307.8,200.5,295.8,224.7,564.7,802.8,436.0,615.8,857.2,84.4
CW,116.4,93.7,515.4,163.6,73.6,151.0,208.0,283.4,192.6,587.8,265.5,124.9,528.2,105.8,201.6,265.6,177.2,395.3,0.0,410.5,826.9,628.7,670.4,624.5,215.6,859.0,168.8,1933.5,426.1,176.9,851.7,531.1,476.2,171.8,205.9,181.2,309.8,501.8,84.0,907.5,289.4,589.1,133.3,327.6,100.9,48.9,185.3,216.5,723.1,155.8,816.3,394.2,545.9,238.8,908.0,433.9,518.0,231.9,313.2,163.6,532.2,274.7,128.4,210.0,114.2,127.3,76.7,539.1,216.4,132.6,812.0,541.5,417.4,550.2,166.7,173.4,816.6,202.8,587.1,252.1,105.1,188.4,706.1,15.9,581.2,165.6,654.8,160.9,258.6,199.3,193.2,252.4,829.1,471.1,149.2,914.1,514.1,491.2
CZ,300.0,425.1,273.6,446.8,375.7,362.6,224.1,170.9,358.2,213.7,144.9,481.8,817.0,405.7,208.7,156.7,396.4,113.6,408.1,0.0,452.8,254.6,300.3,250.4,383.3,484.9,296.6,2246.3,15.6,342.5,477.6,145.6,85.8,240.1,313.5,331.7,212.4,876.1,436.8,539.8,212.9,224.6,279.3,252.3,313.3,405.8,267.7,194.2,337.6,256.1,442.2,21.9,123.9,173.9,533.9,59.8,101.4,349.3,220.3,280.0,158.1,177.3,470.6,200.0,471.1,471.7,475.3,937.6,366.9,385.1,437.9,872.7,6.8,922.5,269.7,248.8,490.0,330.6,305.4,402.6,412.6,313.5,320.6,422.1,207.1,246.3,280.7,288.7,333.0,225.7,321.0,249.9,477.5,828.0,461.2,528.6,882.4,198.1
DY,689.6,814.7,563.0,836.4,765.3,752.2,613.7,560.5,747.8,315.3,534.5,871.4,364.1,795.3,598.3,546.3,786.0,503.2,797.7,446.0,0.0,258.0,419.9,193.5,772.9,71.7,686.2,2511.6,461.6,732.1,66.6,443.6,420.1,629.7,703.1,721.3,602.0,423.2,826.4,128.8,602.5,458.7,668.9,641.9,702.9,795.4,657.3,583.8,283.7,645.7,29.0,424.0,511.1,563.5,120.7,376.1,547.5,738.9,609.9,669.6,285.8,566.9,860.2,589.6,860.7,861.3,864.9,484.7,756.5,774.7,24.7,419.8,452.9,469.6,659.3,638.4,37.2,720.2,477.3,792.2,802.2,703.1,467.5,811.7,246.8,635.9,176.7,678.3,722.6,615.3,710.6,639.5,24.7,569.4,850.8,115.4,503.1,513.2
EC,492.3,617.4,304.9,639.1,568.0,554.9,416.4,363.2,550.5,136.0,337.2,674.1,643.1,598.0,401.0,349.0,588.7,305.9,600.4,248.7,278.9,0.0,222.6,76.5,575.6,311.0,488.9,2438.6,264.3,534.8,303.7,246.3,222.8,432.4,505.8,524.0,404.7,702.2,629.1,365.9,405.2,261.4,471.6,444.6,505.6,598.1,460.0,386.5,213.8,448.4,268.3,226.7,313.8,366.9,360.0,178.8,350.2,541.6,412.6,472.3,88.5,369.6,662.9,392.3,663.4,664.0,667.6,763.7,559.2,577.4,264.0,698.8,255.6,748.6,462.0,441.1,316.1,522.9,219.2,594.9,604.9,505.8,270.2,614.4,49.5,438.6,106.8,481.0,525.3,418.0,513.3,442.2,303.6,848.4,653.5,354.7,782.1,315.9
ED,555.9,679.9,463.9,702.7,631.6,618.5,480.0,426.8,614.1,122.6,400.8,737.7,778.9,652.4,460.8,408.6,652.3,369.5,675.4,312.3,418.7,220.5,0.0,216.3,637.1,450.8,552.5,2502.2,323.9,598.4,443.5,305.9,286.4,496.0,569.4,587.6,468.3,834.3,689.2,499.3,464.8,325.0,535.2,508.2,564.1,661.7,569.0,450.1,242.5,512.0,408.1,296.0,373.4,425.8,499.8,242.4,419.8,611.6,476.2,535.9,152.1,433.2,722.6,455.9,727.0,727.6,727.2,903.5,618.8,641.0,403.8,838.6,319.2,888.4,528.6,504.7,455.9,586.5,439.8,658.5,668.5,569.4,51.5,678.0,173.0,502.2,246.6,544.6,584.9,486.0,576.9,505.8,443.4,988.2,717.1,490.5,921.9,379.5
EZ,496.0,621.1,369.4,642.8,571.7,558.6,420.1,366.9,554.2,139.7,340.9,677.8,566.5,601.7,404.7,352.7,592.4,309.6,604.1,252.4,202.3,64.4,226.3,0.0,579.3,234.4,492.6,2442.3,268.0,538.5,227.1,250.0,226.5,436.1,509.5,527.7,408.4,625.6,632.8,289.3,408.9,265.1,475.3,448.3,509.3,601.8,463.7,390.2,137.2,452.1,191.7,230.4,317.5,369.9,283.4,182.5,353.9,545.3,416.3,476.0,92.2,373.3,666.6,396.0,667.1,667.7,671.3,687.1,562.9,581.1,187.4,622.2,259.3,672.0,465.7,444.8,239.5,526.6,283.7,598.6,608.6,509.5,273.9,618.1,53.2,442.3,30.2,484.7,529.0,421.7,517.0,445.9,227.0,771.8,657.2,278.1,705.5,319.6
FB,153.6,148.8,377.5,169.5,222.7,87.4,245.2,312.3,25.6,616.7,292.3,210.3,660.2,123.2,228.4,281.0,121.2,424.2,204.3,439.4,855.8,657.6,699.3,653.4,0.0,885.8,197.7,1975.8,452.9,157.0,880.6,521.5,505.1,200.7,234.8,157.3,338.7,622.4,158.1,936.4,316.2,571.2,148.7,332.6,138.1,216.8,214.2,243.3,738.5,184.7,845.2,421.0,561.3,264.9,936.9,462.8,546.9,258.7,342.1,179.0,561.1,303.6,193.3,238.9,214.0,196.5,198.0,659.7,138.0,109.9,840.9,662.1,446.3,670.8,203.9,210.6,893.0,231.7,477.2,97.3,137.4,217.3,721.5,208.8,610.1,194.5,683.7,192.8,211.4,236.5,222.1,281.3,880.5,591.7,186.0,929.5,648.2,464.0
FC,718.9,842.9,592.3,865.7,794.6,781.5,643.0,589.8,777.1,344.6,563.8,900.7,413.1,819.4,627.8,575.6,815.3,532.5,827.0,475.3,48.9,287.3,449.2,222.8,800.1,0.0,715.5,2560.6,490.9,761.4,95.9,472.9,449.4,659.0,732.4,750.6,631.3,472.2,852.2,158.1,631.8,488.0,698.2,671.2,728.3,824.7,731.2,613.1,313.0,675.0,29.8,459.0,540.4,592.8,119.0,405.4,576.8,778.6,639.2,698.9,315.1,596.2,889.5,618.9,890.0,890.6,894.2,533.7,785.8,804.0,34.1,468.8,482.2,518.6,688.6,667.7,86.1,749.5,506.6,821.5,831.5,736.4,496.8,841.0,276.1,665.2,206.0,707.6,751.9,649.0,739.9,668.8,73.6,618.4,880.1,43.7,552.1,542.5
FQ,77.5,151.6,440.6,223.8,79.0,140.1,123.0,168.7,135.7,473.1,150.8,185.1,599.8,172.2,87.1,139.5,173.9,280.6,141.3,295.8,712.2,514.0,559.7,509.8,160.8,744.3,0.0,1941.4,311.4,120.0,737.0,405.0,361.5,57.1,91.2,138.3,195.1,551.3,140.1,799.2,174.7,474.4,56.8,235.0,90.8,109.1,28.5,101.8,597.0,41.1,701.6,273.8,419.8,123.4,793.3,319.2,397.3,60.7,198.5,16.2,417.5,160.0,200.0,95.3,174.4,198.9,148.3,599.3,177.5,162.6,697.3,601.7,302.7,610.4,118.5,82.9,749.4,33.9,472.4,213.2,165.3,16.8,580.0,125.4,466.5,50.9,540.1,7.9,219.7,71.5,24.3,137.7,736.9,531.3,209.4,788.0,585.7,365.1
FZ,1662.0,1635.5,2061.0,1730.8,1578.9,1696.6,1753.6,1829.0,1738.2,2133.4,1811.1,1692.1,1974.6,1656.1,1747.4,1799.8,1730.4,1940.9,1660.9,1956.1,2288.8,2174.3,2220.0,2170.1,1763.3,2360.6,1664.4,0.0,1971.7,1722.5,2355.5,2065.3,2021.8,1717.4,1751.5,1726.8,1855.4,1926.1,1624.0,2417.7,1835.0,2134.7,1667.5,1873.2,1639.9,1593.0,1685.5,1762.1,2257.3,1701.4,2317.9,1934.1,2080.1,1784.4,2409.6,1979.5,2057.6,1767.1,1858.8,1697.8,2077.8,1820.3,1707.0,1755.6,1681.4,1705.9,1697.4,1974.1,1762.0,1719.1,2313.6,1976.5,1963.0,1985.2,1715.3,1719.0,2251.6,1631.9,2132.7,1797.7,1649.2,1647.7,2240.3,1609.3,2126.8,1711.2,2200.4,1706.5,1804.2,1731.8,1641.0,1798.0,2264.1,1906.1,1716.4,2404.3,1960.5,2025.4
GA,315.6,440.7,289.2,462.4,391.3,378.2,239.7,186.5,373.8,229.3,160.5,497.4,832.6,416.1,224.5,172.3,412.0,129.2,435.1,15.6,468.4,270.2,315.9,266.0,396.8,500.5,312.2,2261.9,0.0,358.1,493.2,161.2,54.9,255.7,329.1,347.3,228.0,891.7,448.9,555.4,228.5,240.2,294.9,267.9,328.9,421.4,328.7,209.8,353.2,271.7,457.8,31.8,103.2,189.5,549.5,75.4,80.7,375.3,235.9,295.6,173.7,192.9,486.2,215.6,486.7,487.3,490.9,953.2,382.5,400.7,453.5,888.3,8.7,938.1,288.3,264.4,505.6,346.2,321.0,418.2,428.2,329.1,336.2,437.7,222.7,261.9,296.3,304.3,348.6,241.3,336.6,265.5,493.1,843.6,476.8,544.2,898.0,213.7
GO,139.3,135.6,418.3,157.3,208.4,73.1,230.9,298.0,15.6,602.4,280.1,196.0,655.3,116.2,216.4,268.8,106.9,409.9,178.6,425.1,841.5,643.3,689.0,639.1,40.7,873.6,183.4,2016.8,440.7,0.0,866.3,534.3,490.8,186.4,220.5,143.0,324.4,606.8,147.3,928.5,304.0,603.7,136.5,333.1,117.2,202.5,154.5,231.1,726.3,170.4,830.9,403.1,549.1,252.7,922.6,448.5,526.6,236.1,327.8,166.8,546.8,289.3,181.1,224.6,203.7,182.2,185.8,654.8,138.5,95.6,826.6,657.2,432.0,665.9,192.6,196.3,878.7,217.4,518.0,97.8,123.1,200.3,709.3,194.5,595.8,180.2,669.4,175.5,214.0,200.8,207.8,267.0,866.2,586.8,171.7,917.3,641.2,494.4
GS,714.4,838.4,587.8,861.2,790.1,777.0,638.5,585.3,772.6,340.1,559.3,896.2,450.8,814.9,623.3,571.1,810.8,528.0,833.9,470.8,86.6,282.8,440.7,218.3,795.6,118.7,711.0,2598.3,486.4,756.9,0.0,468.4,444.9,654.5,727.9,746.1,626.8,509.9,851.2,62.1,627.3,483.5,693.7,666.7,729.5,820.2,682.1,608.6,308.5,670.5,76.0,454.5,535.9,588.3,167.7,400.9,578.3,774.1,634.7,694.4,310.6,591.7,885.1,614.4,885.5,886.1,889.7,571.4,781.3,799.5,71.7,506.5,477.7,556.3,684.1,663.2,123.8,745.0,502.1,817.0,827.0,730.6,492.3,836.5,271.6,660.7,201.5,706.1,747.4,640.1,735.4,664.3,111.3,656.1,875.6,162.4,589.8,538.0
HA,389.2,513.2,153.9,536.0,464.9,451.8,313.3,260.1,447.4,231.3,234.1,571.0,834.6,489.7,298.1,245.9,485.6,164.0,497.3,145.6,470.4,272.2,313.9,268.0,472.5,502.5,385.8,2335.5,161.2,431.7,495.2,0.0,105.7,329.3,402.7,420.9,301.6,893.7,522.5,557.4,302.1,78.9,368.5,341.5,402.5,495.0,401.5,283.4,355.2,345.3,459.8,129.3,269.1,263.8,551.5,75.7,252.6,448.9,309.5,369.2,175.7,266.5,559.9,289.2,560.3,560.9,564.5,955.2,456.1,474.3,455.5,890.3,152.5,940.1,361.9,338.0,507.6,419.8,185.7,491.8,501.8,402.7,338.2,511.3,224.7,335.5,298.3,377.9,422.2,314.9,410.2,339.1,495.1,917.2,550.4,546.2,973.6,69.5
HC,363.5,488.6,267.5,510.3,439.2,426.1,287.6,234.4,421.7,185.6,208.4,545.3,788.9,469.2,272.2,220.2,459.9,177.1,471.6,79.8,424.7,226.5,272.2,222.3,446.8,456.8,360.1,2309.8,58.9,406.0,449.5,113.5,0.0,303.6,377.0,395.2,275.9,848.0,500.3,511.7,276.4,192.5,342.8,315.8,376.8,469.3,331.2,257.7,309.5,319.6,414.1,97.9,163.3,237.4,505.8,50.0,140.8,412.8,283.8,343.5,130.0,240.8,534.1,263.5,534.6,535.2,538.8,909.5,430.4,448.6,409.8,844.6,72.9,894.4,333.2,312.3,461.9,394.1,299.3,466.1,476.1,377.0,292.5,485.6,179.0,309.8,252.6,352.2,396.5,289.2,384.5,313.4,449.4,891.5,524.7,500.5,927.9,183.1
