from_stop,AH,AR,AT,AV,BD,BG,BR,BT,CB,CS,CU,CW,DB,DP,DR,DY,EC,ED,EI,EN,ES,EU,EV,EW,FA,FF,GG,GH,GK,GN,GO,GT,HA,HE,HG,HN,HO,HT,HX,IB,IE,IG,II,IO,IS,IX,IY,IZ,JE,JI,JO,JQ,JU,KI,KT,KW,LA,LE,LG,LH,LJ,LO,LU,LV,LW,LZ,MI,MO,NH,NQ,NV,NW,OF,OL,OR,OV,OW,PD,PL,PP,PR,QD,QK,QL,QQ,QR,QV,QW,RP,RY,SB,SJ,SM,ST,TB,TO,TW,TY,UF,UI,UQ,US,UT,UX,VF,VG,VL,WM,WT,WW,XF,XG,XH,YB,YE,YH,YP,YR,YX,YZ,ZD,ZH,ZO,ZQ,ZS,ZU,ZW
CU,589.4,401.2,432.3,569.0,768.1,504.8,302.7,53.1,211.6,450.1,0.0,1125.0,419.2,174.9,320.7,406.8,82.1,505.6,790.6,69.7,1054.2,709.0,391.6,274.3,395.2,1132.5,731.0,20.8,353.2,1037.9,381.5,1348.3,98.7,15.0,767.7,311.6,1118.4,354.0,781.5,970.5,274.0,269.0,290.7,1123.7,30.0,322.6,168.5,537.8,234.0,305.1,413.6,958.4,81.7,715.7,117.1,87.1,46.1,882.7,317.7,84.6,412.3,302.1,1106.6,1302.2,412.5,73.1,440.1,280.6,213.0,279.9,184.9,876.9,126.4,275.5,337.0,235.8,1135.9,309.9,298.9,6.3,386.7,291.9,246.0,492.5,773.1,658.8,854.8,224.1,750.1,288.1,1226.5,486.6,73.3,1249.4,346.9,215.8,389.9,191.1,1220.3,200.3,3084.9,262.9,1331.1,234.2,289.4,151.4,1190.0,1269.4,1295.0,577.6,737.9,502.6,741.3,313.5,864.3,579.2,111.9,219.2,138.9,274.8,325.0,332.0,796.2,1153.3,609.4,693.6,353.3
CW,886.6,1264.2,1220.8,317.3,84.2,802.0,1091.2,1119.6,1000.1,805.2,1137.0,0.0,724.0,1081.9,964.4,989.2,1099.3,802.8,149.2,1086.9,70.7,617.6,974.0,1008.7,1183.7,68.3,639.6,1116.1,1216.2,87.0,1244.5,223.2,1032.8,1152.1,466.5,1174.6,6.6,1217.0,591.4,367.3,1007.3,1057.5,1025.1,137.2,1159.6,905.0,997.1,349.8,1097.0,1093.6,768.7,656.4,1050.0,416.4,1065.7,1083.8,1175.7,241.3,988.1,1138.0,729.7,963.8,120.1,177.1,1275.5,1083.7,795.2,1143.6,1012.1,1068.4,973.4,161.9,994.0,1064.0,1200.0,1024.3,10.8,1098.4,1161.9,1143.4,1249.7,1154.9,1109.0,789.7,366.3,358.3,213.4,1087.1,286.7,931.8,101.4,395.0,1098.0,124.3,1209.9,996.7,1252.9,1064.0,95.2,1073.2,2515.9,997.3,206.0,974.0,896.0,1078.4,64.9,144.3,169.9,559.7,564.7,674.4,216.8,1176.5,149.3,306.2,1048.8,1082.2,981.5,961.4,1113.5,1195.0,128.2,28.2,276.0,437.5,1216.3
DB,170.1,676.4,644.3,186.8,348.8,85.5,514.7,383.8,429.2,81.1,434.3,705.7,0.0,505.4,240.0,265.1,516.5,86.3,371.3,504.1,634.9,289.7,249.9,284.6,607.2,713.2,311.7,455.2,639.7,618.6,668.0,929.0,456.3,419.2,385.5,598.1,699.1,642.9,594.1,551.2,283.2,481.0,301.0,704.4,409.9,180.9,273.0,155.6,520.5,517.1,44.6,771.0,473.5,296.4,489.2,417.8,426.0,463.4,237.3,415.3,5.6,239.7,687.3,882.9,699.0,359.6,71.1,567.1,288.0,491.9,396.9,449.9,417.5,487.5,623.5,452.6,717.3,521.9,585.4,427.9,673.2,578.4,532.5,73.2,353.8,276.6,435.5,510.6,367.9,207.7,807.2,104.4,404.0,825.9,633.4,272.6,676.4,487.5,801.0,496.7,2649.6,273.2,911.8,249.9,171.9,482.1,770.7,850.1,875.7,158.3,550.5,83.3,359.1,600.0,445.0,197.0,324.7,505.7,405.0,237.3,537.0,618.5,414.0,734.0,227.2,274.3,639.8
DP,645.1,305.5,415.3,624.7,823.8,560.5,285.7,114.9,194.6,505.8,179.3,1180.7,474.9,0.0,376.4,450.6,154.6,561.3,846.3,142.2,1109.9,764.7,446.1,330.0,378.2,1188.2,786.7,171.4,257.5,1093.6,285.8,1404.0,112.6,164.2,823.4,215.9,1174.1,258.3,764.5,1026.2,329.7,252.0,346.4,1179.4,154.9,364.6,224.2,593.5,138.3,288.1,469.3,941.4,105.3,771.4,69.9,79.1,171.0,938.4,357.8,133.3,468.0,357.8,1162.3,1357.9,316.8,128.8,495.8,184.9,268.7,262.9,167.9,932.6,109.4,258.5,241.3,218.8,1191.6,292.9,203.2,172.9,291.0,196.2,150.3,548.2,828.8,714.5,910.5,128.4,805.8,343.8,1282.2,542.3,93.3,1305.1,251.2,271.5,294.2,136.9,1276.0,146.1,3067.9,318.6,1386.8,289.9,345.1,55.7,1245.7,1325.1,1350.7,633.3,720.9,558.3,797.0,217.8,920.0,634.9,167.6,123.5,121.9,330.5,308.0,236.3,851.9,1209.0,665.1,749.3,257.6
DR,384.8,558.3,514.9,364.4,563.5,300.2,385.3,274.1,299.8,245.5,324.6,920.4,214.6,376.0,0.0,202.2,393.4,301.0,586.0,381.0,849.6,504.4,187.0,137.8,477.8,927.9,526.4,345.5,510.3,833.3,538.6,1143.7,326.9,309.5,563.1,468.7,913.8,513.5,708.9,765.9,155.5,339.2,156.7,919.1,300.2,118.0,163.3,333.2,391.1,387.7,209.0,885.8,344.1,515.9,359.8,308.1,316.3,678.1,67.5,305.6,207.7,72.9,902.0,1097.6,569.6,249.9,235.5,437.7,160.3,362.5,267.5,664.6,288.1,358.1,494.1,318.4,932.0,392.5,456.0,318.2,543.8,449.0,403.1,287.9,568.5,454.2,650.2,381.2,545.5,37.9,1021.9,282.0,294.3,1040.6,504.0,162.9,547.0,358.1,1015.7,367.3,2896.5,126.4,1126.5,122.2,84.8,372.4,985.4,1064.8,1090.4,373.0,665.3,277.3,536.7,470.6,659.7,374.6,215.0,376.3,275.6,90.5,407.6,489.1,591.6,948.7,404.8,489.0,510.4
DY,413.6,600.9,557.5,393.2,592.3,329.0,427.9,375.6,342.4,274.3,426.1,949.2,243.4,418.6,212.2,0.0,436.0,329.8,614.8,423.6,878.4,533.2,15.2,299.8,520.4,956.7,555.2,452.8,552.9,862.1,581.2,1172.5,369.5,411.0,591.9,511.3,942.6,556.1,751.5,794.7,317.5,394.2,316.2,947.9,401.7,116.6,264.8,362.0,433.7,430.3,237.8,928.4,386.7,544.7,402.4,420.5,417.8,706.9,151.8,407.1,236.5,234.9,930.8,1126.4,612.2,351.4,264.3,480.3,322.3,405.1,310.1,693.4,330.7,400.7,536.7,361.0,960.8,435.1,498.6,419.7,586.4,491.6,445.7,316.7,597.3,483.0,679.0,423.8,574.3,181.4,1050.7,310.8,434.7,1073.6,546.6,264.4,589.6,400.7,1044.5,409.9,2925.3,288.4,1155.3,284.2,129.8,415.1,1014.2,1093.6,1119.2,401.8,707.9,306.1,565.5,513.2,688.5,403.4,316.5,418.9,318.2,252.5,450.2,531.7,620.4,977.5,433.6,517.8,553.0
EC,689.0,440.6,432.0,668.6,867.7,604.4,302.4,152.7,216.9,549.7,99.5,1152.5,518.8,186.8,420.0,467.3,0.0,605.2,890.2,30.3,1081.7,808.6,462.8,373.9,394.9,1160.0,830.6,78.6,403.9,1065.4,432.2,1375.8,98.4,114.6,867.3,362.3,1145.9,407.1,781.2,1070.1,373.6,256.3,392.8,1223.3,129.6,381.3,268.1,637.4,284.7,304.8,513.2,958.1,81.4,820.1,116.8,186.7,145.7,982.3,374.5,184.2,511.9,401.7,1206.2,1329.7,463.2,172.7,539.7,331.3,312.6,279.6,184.6,968.8,126.1,275.2,387.7,240.3,1164.1,309.6,349.6,105.9,437.4,342.6,296.7,592.1,872.7,758.4,954.4,274.8,849.7,387.7,1254.0,586.2,172.9,1272.7,397.6,315.4,440.6,190.8,1247.8,200.0,3084.6,362.5,1358.6,333.8,389.0,158.3,1217.5,1296.9,1322.5,677.2,737.6,602.2,840.9,364.2,963.9,678.8,211.5,269.9,138.6,374.4,324.7,382.7,895.8,1180.8,709.0,793.2,404.0
ED,143.9,770.0,737.9,280.4,414.8,38.9,608.3,477.4,522.8,174.7,527.9,771.7,93.5,599.0,333.6,358.7,610.1,0.0,437.3,597.7,700.9,355.7,343.5,378.2,700.8,779.2,377.7,548.8,733.3,684.6,761.6,995.0,549.9,512.8,479.1,691.7,765.1,736.5,687.7,617.2,376.8,562.2,394.6,770.4,503.5,274.5,366.6,249.2,614.1,610.7,138.2,864.6,567.1,362.4,582.8,511.4,519.6,529.4,330.9,508.9,99.2,333.3,753.3,948.9,792.6,453.2,164.7,660.7,381.6,585.5,490.5,515.9,511.1,581.1,717.1,546.2,783.3,615.5,679.0,521.5,766.8,672.0,626.1,68.1,419.8,370.2,501.5,604.2,461.5,301.3,873.2,198.0,497.6,896.1,727.0,366.2,770.0,581.1,867.0,590.3,2747.8,366.8,977.8,343.5,265.5,575.7,836.7,916.1,941.7,224.3,644.1,128.6,452.7,693.6,511.0,290.6,418.3,599.3,498.6,330.9,630.6,712.1,489.9,800.0,320.8,340.3,733.4
EI,544.9,1070.1,1026.7,339.4,75.2,460.3,897.1,766.2,806.0,463.5,816.7,180.6,382.3,887.8,622.7,647.5,898.9,461.1,0.0,886.5,251.4,275.9,632.3,667.0,989.6,208.3,297.9,837.6,1022.1,267.7,1050.4,263.3,838.7,801.6,488.6,980.5,187.2,1022.9,673.8,130.0,665.6,863.4,683.4,139.4,792.3,563.3,655.4,371.9,902.9,899.5,427.0,608.8,855.9,74.7,871.6,800.2,808.4,92.0,619.7,797.7,388.0,622.1,156.5,217.2,1081.4,742.0,453.5,949.5,670.4,874.3,779.3,184.0,799.9,869.9,1005.9,830.2,169.7,904.3,967.8,810.3,1055.6,960.8,914.9,448.0,98.2,380.4,64.1,893.0,308.8,590.1,178.4,417.1,786.4,164.4,1015.8,655.0,1058.8,869.9,135.3,879.1,2428.0,655.6,246.1,632.3,554.3,864.5,141.9,184.4,210.0,218.0,699.5,332.7,238.9,982.4,171.4,328.3,707.1,888.1,787.4,619.7,919.4,1000.9,150.3,152.3,298.1,95.8,1022.2
EN,658.6,421.5,401.6,638.2,837.3,574.0,272.0,122.3,180.9,519.3,69.1,1122.1,488.4,156.4,389.9,436.9,12.4,574.8,859.8,0.0,1051.3,778.2,432.4,343.5,364.5,1129.6,800.2,48.2,373.5,1035.0,401.8,1345.4,68.0,84.2,836.9,331.9,1115.5,374.3,750.8,1039.7,343.2,238.3,359.9,1192.9,99.2,350.9,237.7,607.0,254.3,274.4,482.8,927.7,51.0,784.9,86.4,156.3,115.3,951.9,344.1,153.8,481.5,371.3,1175.8,1299.3,432.8,142.3,509.3,300.9,282.2,249.2,154.2,946.1,95.7,244.8,357.3,205.1,1133.0,279.2,319.2,75.5,407.0,312.2,266.3,561.7,842.3,728.0,924.0,244.4,819.3,357.3,1223.6,555.8,142.5,1246.5,367.2,285.0,410.2,160.4,1217.4,169.6,3054.2,332.1,1328.2,303.4,358.6,127.9,1187.1,1266.5,1292.1,646.8,707.2,571.8,810.5,333.8,933.5,648.4,181.1,239.5,108.2,344.0,294.3,352.3,865.4,1150.4,678.6,762.8,373.6
ES,815.8,1193.4,1150.0,388.1,155.0,731.2,1020.4,1048.8,929.3,734.4,1066.2,70.7,653.2,1011.1,893.6,918.4,1028.5,732.0,220.0,1016.1,0.0,546.8,903.2,937.9,1112.9,78.2,568.8,1045.3,1145.4,16.2,1173.7,294.0,962.0,1081.3,537.3,1103.8,64.1,1146.2,520.6,296.5,936.5,986.7,954.3,147.1,1088.8,834.2,926.3,420.6,1026.2,1022.8,697.9,585.6,979.2,345.6,994.9,1013.0,1104.9,312.1,917.3,1067.2,658.9,893.0,130.0,247.9,1204.7,1012.9,724.4,1072.8,941.3,997.6,902.6,232.7,923.2,993.2,1129.2,953.5,81.6,1027.6,1091.1,1072.6,1178.9,1084.1,1038.2,718.9,295.5,429.1,284.2,1016.3,357.5,861.0,172.2,465.8,1027.2,195.1,1139.1,925.9,1182.1,993.2,166.0,1002.4,2445.1,926.5,276.8,903.2,825.2,1007.6,135.7,215.1,240.7,488.9,493.9,603.6,287.6,1105.7,220.1,377.0,978.0,1011.4,910.7,890.6,1042.7,1124.2,199.0,99.0,346.8,366.7,1145.5
EU,478.3,992.2,960.1,512.6,248.4,393.7,814.9,699.6,745.0,396.9,750.1,605.3,315.7,821.2,555.8,580.9,832.3,394.5,270.9,819.9,534.5,0.0,565.7,600.4,923.0,612.8,22.0,771.0,955.5,518.2,983.8,828.6,772.1,735.0,661.8,913.9,598.7,958.7,966.3,450.8,599.0,784.4,616.8,604.0,725.7,496.7,588.8,471.4,836.3,832.9,360.4,1031.3,789.3,200.8,805.0,733.6,741.8,363.0,553.1,731.1,321.4,555.5,586.9,782.5,1014.8,675.4,386.9,882.9,603.8,807.7,712.7,349.5,733.3,803.3,939.3,768.4,616.9,837.7,901.2,743.7,989.0,894.2,848.3,381.4,253.4,553.6,335.1,826.4,482.0,523.5,706.8,420.2,719.8,729.7,949.2,588.4,992.2,803.3,700.6,812.5,2581.4,589.0,811.4,565.7,487.7,797.9,670.3,749.7,775.3,151.4,939.6,266.1,412.1,915.8,344.6,501.5,640.5,821.5,720.8,553.1,852.8,934.3,323.5,633.6,471.3,173.9,955.6
EV,398.4,609.0,565.6,378.0,577.1,313.8,436.0,360.4,344.9,259.1,410.9,934.0,228.2,426.7,220.6,15.2,444.1,314.6,599.6,431.7,863.2,518.0,0.0,261.2,528.5,941.5,540.0,460.9,561.0,846.9,589.3,1157.3,377.6,395.8,576.7,519.4,927.4,561.8,759.6,779.5,259.8,402.3,277.6,932.7,386.5,101.4,249.6,346.8,441.8,438.4,222.6,936.5,394.8,524.7,410.5,428.6,402.6,691.7,159.9,391.9,221.3,243.0,915.6,1111.2,620.3,336.2,249.1,488.4,264.6,413.2,318.2,685.9,338.8,408.8,544.8,369.1,944.9,443.2,506.7,404.5,594.5,499.7,453.8,301.5,582.1,467.8,663.8,431.9,559.1,189.5,1035.5,295.6,380.6,1058.4,554.7,249.2,597.7,408.8,1029.3,418.0,2910.1,249.8,1140.1,226.5,114.6,423.2,999.0,1078.4,1104.0,386.6,716.0,311.6,550.3,521.3,673.3,388.2,301.3,427.0,326.3,213.9,458.3,539.8,605.2,962.3,418.4,502.6,561.1
EW,428.3,575.0,561.4,407.9,607.0,343.7,431.8,226.9,340.7,289.0,277.4,963.9,258.1,348.7,117.0,245.7,359.6,344.5,629.5,347.2,893.1,547.9,230.5,0.0,524.3,971.4,569.9,298.3,527.0,876.8,555.3,1187.2,364.4,262.3,606.6,485.4,957.3,527.8,755.4,809.4,108.3,398.1,16.4,962.6,253.0,161.5,116.1,376.7,407.8,434.2,252.5,932.3,359.2,554.6,339.4,260.9,269.1,721.6,114.0,258.4,251.2,98.4,945.5,1141.1,586.3,202.7,279.0,454.4,113.1,409.0,314.0,715.8,334.6,404.6,510.8,364.9,974.8,439.0,472.7,271.0,560.5,465.7,419.8,331.4,612.0,497.7,693.7,397.9,589.0,84.4,1065.4,325.5,247.1,1088.3,520.7,115.7,563.7,388.4,1059.2,397.6,2940.0,30.2,1170.0,75.0,128.3,325.2,1028.9,1108.3,1133.9,416.5,711.8,341.5,580.2,487.3,703.2,418.1,167.8,393.0,322.1,71.1,454.1,505.8,635.1,992.2,448.3,532.5,527.1
FA,754.3,538.9,37.1,733.9,933.0,669.7,176.3,394.3,167.9,615.0,411.7,1196.0,584.1,356.6,478.4,510.8,374.0,670.5,955.5,361.6,1125.2,873.9,506.3,566.0,0.0,1203.5,895.9,390.8,490.9,1108.9,519.2,1419.3,307.5,426.8,932.6,449.3,1189.4,494.1,824.7,1135.4,583.7,128.5,584.9,1288.6,434.3,424.8,503.6,702.7,371.7,80.0,578.5,1001.6,324.7,880.6,340.4,358.5,450.4,1047.6,418.0,412.7,577.2,501.1,1271.5,1373.2,550.2,408.2,605.0,418.3,548.1,105.2,200.2,1034.1,268.7,164.7,474.7,144.5,1207.6,75.2,436.6,418.1,524.4,429.6,383.7,657.4,938.0,823.7,1019.7,361.8,915.0,447.6,1297.5,651.5,372.7,1320.4,484.6,550.9,527.6,338.7,1291.3,347.9,3128.1,554.6,1402.1,550.4,470.5,353.1,1261.0,1340.4,1366.0,742.5,781.1,667.5,906.2,451.2,1029.2,744.1,447.0,356.9,256.2,518.7,60.1,469.7,961.1,1224.3,774.3,858.5,491.0
