from_stop,AA,AK,AM,AQ,AW,BB,BG,BH,BN,BP,BT,BW,BX,BY,BZ,CC,CF,CJ,CK,CM,DF,DN,DW,DX,EB,FB,FE,FS,FW,GQ,GX,HE,HR,HV,HW,IB,IC,IG,IJ,IL,IM,IP,IV,IX,IZ,JC,JD,JH,JJ,JK,JR,KB,KJ,KP,LF,LP,MB,MF,ML,MN,MT,MW,NA,NI,NK,NP,NQ,NR,NS,NX,OI,OJ,OM,OO,PB,PP,PT,PX,QF,QN,QZ,RB,RF,RV,SA,SC,SD,SH,SJ,SK,SV,TD,TQ,TS,TV,UB,UD,UH,UO,UW,VF,VI,VN,VP,VU,VZ,WR,WV,WX,XK,XO,XQ,XR,XY,YF,YI,YL,YN,YW,ZS,ZV
BT,793.8,833.0,846.8,921.6,342.9,464.9,98.8,448.0,4.4,477.1,0.0,890.2,360.2,661.4,428.1,306.4,544.4,817.8,196.3,283.7,715.3,857.1,839.1,275.0,876.1,138.7,870.1,809.5,224.4,878.3,737.6,789.7,146.1,29.1,386.0,711.5,204.8,110.3,480.7,426.0,742.8,625.1,408.9,910.4,913.7,825.3,971.2,153.8,206.4,363.6,751.9,916.8,210.3,651.4,2242.6,307.2,642.5,665.2,475.4,132.4,530.5,690.2,833.5,206.7,484.6,784.1,737.6,331.8,639.1,631.9,744.9,364.6,754.7,645.6,858.6,462.8,403.0,191.2,893.7,687.7,280.3,17.2,523.5,465.6,202.8,1056.2,297.5,63.2,427.9,670.9,935.8,33.4,842.3,673.7,813.4,819.2,790.1,48.4,855.6,777.3,782.7,216.6,368.3,783.6,680.8,309.3,304.0,737.4,699.5,88.4,297.9,901.2,101.3,664.9,354.6,613.2,390.9,642.8,936.9,709.0,451.3
BW,360.1,158.2,413.1,255.1,850.7,573.7,907.9,954.0,963.3,588.1,953.7,0.0,868.0,577.7,865.0,795.5,655.4,173.4,938.4,769.9,440.8,444.2,447.3,820.8,15.2,1009.3,306.6,264.0,978.4,178.5,463.1,492.6,955.2,988.1,543.3,437.0,891.0,1029.7,986.7,933.8,409.7,564.2,845.8,266.3,366.2,391.6,195.5,871.0,889.4,869.6,318.2,556.4,992.5,539.1,2385.4,895.6,596.6,429.1,586.4,941.5,802.4,492.0,399.8,889.1,593.4,207.1,262.4,837.8,551.4,606.2,311.2,564.7,469.8,447.4,311.1,571.6,516.3,943.5,346.2,502.8,815.5,936.6,960.4,902.5,996.0,165.9,794.6,957.4,536.7,236.2,388.3,904.2,294.8,516.8,267.9,513.9,258.6,967.8,37.3,121.6,508.2,879.2,561.0,114.8,225.5,817.1,790.2,303.7,420.0,897.5,784.1,100.0,910.4,525.6,828.0,575.5,898.7,317.2,389.4,385.3,562.3
BX,1005.6,967.0,1035.5,789.7,73.1,799.1,360.8,332.8,324.3,811.3,329.0,1009.1,0.0,529.5,269.1,174.3,878.6,951.8,317.2,148.7,583.4,1191.3,707.2,199.6,1024.3,346.5,738.2,923.5,357.2,828.3,605.7,657.8,377.4,298.0,720.2,579.6,269.8,368.7,365.5,267.0,1077.0,493.2,249.9,778.5,936.1,1037.1,839.3,208.2,268.2,248.4,963.7,1251.0,371.3,519.5,2110.7,274.4,510.6,999.4,809.6,433.1,371.5,1024.4,1045.3,267.9,818.8,918.1,907.9,216.6,507.2,500.0,956.7,698.8,622.8,979.8,881.0,797.0,737.2,322.3,916.1,555.8,194.3,351.4,364.5,306.6,374.8,868.9,173.4,294.6,762.1,1005.1,958.2,367.6,864.7,541.8,927.4,687.3,856.6,382.6,1046.4,1111.5,650.8,258.0,702.5,1117.8,1015.0,40.8,169.0,949.2,567.6,371.6,162.9,928.5,358.1,533.0,195.6,481.3,231.9,977.0,959.3,1043.2,785.5
BY,580.5,541.9,610.4,338.1,370.6,882.8,501.9,473.9,507.0,897.2,511.7,584.0,387.9,0.0,384.9,315.4,964.5,526.7,458.3,289.8,121.2,664.6,246.4,340.7,599.2,529.2,286.6,498.4,498.3,403.2,131.8,183.9,518.5,480.7,852.4,125.0,410.9,551.4,506.6,453.7,634.6,104.0,365.8,326.9,511.0,612.0,387.7,390.9,409.3,389.5,538.6,776.8,512.4,78.5,1871.1,415.5,8.4,649.5,895.5,574.2,305.5,755.0,620.2,409.0,902.5,493.0,482.8,357.7,91.2,28.4,531.6,845.0,130.9,669.1,455.9,880.7,825.4,463.4,491.0,72.1,335.4,534.1,480.3,422.4,515.9,443.0,314.5,477.3,845.8,674.4,533.1,555.5,439.6,56.6,502.3,213.4,431.5,565.3,621.3,705.6,176.9,399.1,848.7,698.9,684.3,337.0,310.1,524.1,142.5,512.7,304.0,503.4,499.2,65.4,347.9,115.4,418.6,596.8,534.2,605.7,871.4
BZ,845.8,807.2,875.7,629.9,323.5,839.3,395.9,444.8,508.6,851.5,499.0,849.3,340.8,369.7,0.0,286.3,918.8,792.0,367.2,260.7,423.6,929.9,547.4,311.6,864.5,500.1,578.4,763.7,446.4,668.5,445.9,498.0,427.4,533.4,760.4,419.8,335.7,575.0,477.5,174.8,899.9,330.5,18.8,618.7,776.3,877.3,679.5,361.8,337.3,360.4,803.9,1042.1,432.3,360.1,1950.9,386.4,361.2,914.8,849.8,468.2,211.7,1020.3,885.5,337.6,859.0,758.3,748.1,328.6,347.4,340.2,796.9,739.0,463.0,934.4,721.2,837.2,777.4,372.3,756.3,396.0,306.3,481.9,95.3,37.4,424.8,734.8,285.4,448.2,802.3,939.7,798.4,449.5,704.9,382.0,767.6,527.5,696.8,513.1,886.6,970.9,491.0,347.5,742.7,964.2,949.6,289.9,281.0,789.4,407.8,406.7,274.9,768.7,393.2,373.2,92.3,322.2,287.3,862.1,799.5,871.0,825.7
CC,981.6,908.4,1034.6,731.1,362.1,652.7,209.3,158.4,322.0,664.9,312.4,950.5,379.4,470.9,305.6,0.0,732.2,893.2,148.9,27.7,524.8,1044.9,648.6,31.3,965.7,416.8,679.6,864.9,182.8,769.7,547.1,599.2,209.1,346.8,573.8,521.0,101.5,388.4,191.1,303.5,930.6,434.6,286.4,719.9,877.5,1013.1,780.7,471.5,99.9,74.0,939.7,1104.6,196.9,460.9,2052.1,100.0,452.0,853.0,663.2,281.6,388.3,878.0,1021.3,99.6,672.4,859.5,849.3,42.2,448.6,441.4,932.7,552.4,564.2,833.4,822.4,650.6,590.8,154.0,857.5,497.2,26.0,295.3,401.0,343.1,204.4,810.3,8.8,380.9,615.7,858.7,899.6,262.9,806.1,483.2,868.8,628.7,798.0,326.5,1043.4,965.1,592.2,89.7,556.1,971.4,868.6,328.5,5.3,925.2,509.0,220.1,30.4,869.9,206.6,474.4,232.1,422.7,332.7,830.6,900.7,896.8,639.1
CF,503.8,543.0,556.8,855.4,880.9,174.9,486.9,836.1,542.3,136.1,532.7,600.2,898.2,927.6,884.2,694.5,0.0,527.8,584.4,722.3,790.7,567.1,899.4,663.1,586.1,637.1,839.6,519.5,612.5,588.3,813.0,865.1,534.2,567.1,122.3,786.9,592.9,608.7,868.8,882.1,457.3,914.1,865.0,866.6,623.7,535.3,795.8,691.8,594.5,751.7,461.9,626.8,598.4,888.6,2630.7,695.3,936.1,375.2,134.4,520.5,966.9,400.2,543.5,594.8,194.6,494.1,447.6,719.9,901.3,956.1,454.9,143.7,830.1,355.6,568.6,172.8,113.0,579.3,603.7,852.7,668.4,515.6,979.6,921.7,590.9,776.0,685.6,601.2,137.9,380.9,645.8,483.2,552.3,866.7,523.4,894.6,500.1,546.8,565.6,487.3,858.1,604.7,140.0,493.6,390.8,847.3,699.8,447.4,769.9,476.5,690.9,611.2,489.4,875.5,810.7,925.5,928.9,352.8,646.9,419.0,91.3
CJ,186.6,15.1,239.6,362.1,785.6,488.9,823.1,888.9,878.5,503.3,868.9,175.6,802.9,512.6,799.9,730.4,570.6,0.0,873.3,704.8,375.7,270.7,484.4,755.7,190.8,973.3,413.6,90.5,913.3,173.3,398.0,450.1,870.4,903.3,458.5,371.9,825.9,944.9,921.6,868.7,236.2,499.1,780.7,373.3,208.2,218.1,302.5,805.9,824.3,804.5,144.7,382.9,927.4,474.0,2320.3,830.5,531.5,255.6,501.6,856.7,720.5,361.1,226.3,824.0,508.6,33.7,88.9,772.7,486.3,541.1,137.7,479.9,415.1,275.2,153.1,486.8,431.5,878.4,188.2,437.7,750.4,851.8,895.3,837.4,927.1,272.9,729.5,892.3,451.9,280.5,230.3,819.4,137.3,451.7,94.4,479.6,85.1,883.0,212.9,297.2,443.1,814.1,476.2,290.5,290.4,752.0,725.1,130.2,354.9,812.7,719.0,83.3,825.6,460.5,762.9,510.4,833.6,202.9,231.4,211.8,477.5
CK,859.0,898.2,912.0,794.5,538.0,530.1,86.7,290.5,199.4,542.3,189.8,955.4,555.3,534.3,369.0,148.9,609.6,883.0,0.0,176.7,588.2,922.3,712.0,117.5,941.3,294.2,743.0,874.7,79.1,833.1,610.5,662.6,60.1,224.2,451.2,584.4,47.3,265.8,323.2,366.9,808.0,498.0,349.8,783.3,978.9,890.5,844.1,348.9,48.9,206.1,817.1,982.0,65.0,524.3,2115.5,161.9,515.4,730.4,540.6,155.1,451.7,755.4,898.7,49.2,549.8,849.3,802.8,174.3,512.0,504.8,810.1,429.8,627.6,710.8,923.8,528.0,468.2,5.1,958.9,560.6,122.8,172.7,464.4,406.5,57.5,873.7,140.0,258.3,493.1,736.1,1001.0,140.3,907.5,546.6,878.6,692.1,855.3,203.9,920.8,842.5,655.6,59.1,433.5,848.8,746.0,504.4,154.2,802.6,572.4,97.5,145.3,966.4,84.0,537.8,295.5,486.1,396.1,708.0,1002.1,774.2,516.5
CM,934.8,896.2,964.7,718.9,349.9,678.3,234.9,184.0,347.6,690.5,338.0,938.3,367.2,458.7,293.4,25.5,757.8,881.0,174.5,0.0,512.6,1070.5,636.4,56.9,953.5,442.4,667.4,852.7,208.4,757.5,534.9,587.0,234.7,372.4,599.4,508.8,127.1,414.0,216.7,291.3,960.7,419.5,274.2,707.7,865.3,966.3,768.5,497.1,125.5,99.6,892.9,1130.2,222.5,448.7,2039.9,125.6,450.2,878.6,688.8,307.2,376.1,903.6,974.5,125.2,698.0,847.3,837.1,67.8,436.4,429.2,885.9,578.0,552.0,859.0,810.2,676.2,616.4,179.6,845.3,485.0,51.6,320.9,388.8,330.9,230.0,823.8,34.4,406.5,641.3,884.3,887.4,288.5,793.9,471.0,856.6,616.5,785.8,352.1,975.6,990.7,580.0,115.3,581.7,997.0,894.2,316.3,20.2,878.4,496.8,245.7,42.5,857.7,232.2,462.2,219.9,411.2,320.5,856.2,888.5,922.4,664.7
DF,459.2,420.6,489.1,246.5,453.1,761.5,584.4,556.4,589.5,775.9,594.2,462.7,470.4,136.8,467.4,397.9,843.2,405.4,540.8,372.3,0.0,543.3,136.8,423.2,477.9,611.7,195.0,377.1,580.8,281.9,22.2,74.3,601.0,563.2,731.1,3.7,493.4,633.9,589.1,536.2,513.3,123.3,448.2,235.3,389.7,490.7,296.1,473.4,491.8,472.0,417.3,655.5,594.9,97.8,1961.6,498.0,144.5,528.2,774.2,656.7,388.0,633.7,498.9,491.5,781.2,371.7,361.5,440.2,110.5,165.3,410.3,752.5,39.3,547.8,334.6,759.4,704.1,545.9,369.7,61.9,417.9,616.6,562.8,504.9,598.4,351.4,397.0,559.8,724.5,553.1,411.8,638.0,318.3,75.9,381.0,103.8,310.2,647.8,500.0,584.3,67.3,481.6,748.8,577.6,563.0,419.5,392.6,402.8,21.2,595.2,386.5,382.1,581.7,84.7,430.4,134.7,501.1,475.5,412.9,484.4,750.1
DN,132.9,297.9,304.9,644.9,955.5,510.2,844.4,1058.8,899.8,524.6,890.2,458.4,972.8,682.5,969.8,900.3,591.9,282.7,941.9,874.7,545.6,0.0,654.3,925.6,473.6,994.6,594.5,274.4,970.0,343.2,567.9,620.0,891.7,924.6,479.8,541.8,950.4,966.2,1091.5,1038.6,124.2,669.0,950.6,634.8,378.6,52.5,585.3,975.8,952.0,974.4,135.9,112.1,955.9,643.9,2490.2,1000.4,701.4,219.9,522.9,878.0,890.4,325.4,44.3,952.3,529.9,249.0,202.5,942.6,656.2,711.0,142.9,501.2,585.0,239.5,323.5,508.1,452.8,936.8,358.6,607.6,920.3,873.1,1065.2,1007.3,948.4,555.7,899.4,958.7,473.2,301.8,400.7,840.7,307.2,621.6,278.3,649.5,255.0,904.3,486.5,408.2,613.0,962.2,497.5,414.5,311.7,921.9,895.0,195.5,524.8,834.0,888.9,366.1,846.9,630.4,932.8,680.3,1003.5,224.2,401.8,176.1,498.8
DW,573.2,525.6,603.1,208.6,553.7,875.5,685.0,657.0,690.1,889.9,688.6,456.0,564.8,232.4,568.0,492.3,957.2,519.4,635.2,472.9,165.3,657.3,0.0,517.6,464.3,706.1,157.1,491.1,681.4,395.9,161.1,82.0,701.6,657.6,845.1,161.5,587.8,728.3,689.7,636.8,627.3,216.6,548.9,197.4,503.7,604.7,258.2,567.8,592.4,566.4,531.3,769.5,689.3,187.2,2091.9,592.4,233.9,642.2,888.2,757.3,467.3,747.7,612.9,585.9,895.2,485.7,475.5,540.8,199.9,254.7,524.3,866.5,118.6,661.8,448.6,873.4,818.1,640.3,483.7,151.3,512.3,711.0,657.2,605.5,692.8,313.5,491.4,654.2,838.5,667.1,525.8,732.4,432.3,165.3,495.0,66.5,424.2,748.4,493.3,577.6,103.6,576.0,862.8,570.9,677.0,520.1,487.0,516.8,169.5,689.6,480.9,467.4,682.3,174.1,531.0,224.1,595.5,589.5,526.9,598.4,864.1
DX,950.2,907.1,1003.2,729.8,360.8,621.3,177.9,172.9,290.6,633.5,281.0,949.2,378.1,469.6,304.3,31.3,700.8,891.9,117.5,59.1,523.5,1013.5,647.3,0.0,964.4,385.4,678.3,863.6,196.7,768.4,545.8,597.9,177.7,315.4,542.4,519.7,70.1,357.0,205.6,302.2,899.2,433.3,285.1,718.6,876.2,981.7,779.4,440.1,68.5,88.5,908.3,1073.2,182.6,459.6,2050.8,114.5,450.7,821.6,631.8,250.2,387.0,846.6,989.9,68.2,641.0,858.2,894.0,56.7,447.3,440.1,901.3,521.0,562.9,802.0,821.1,619.2,559.4,122.6,856.2,495.9,5.2,263.9,399.7,341.8,175.1,809.0,22.4,349.5,584.3,827.3,898.3,231.5,804.8,481.9,867.5,627.4,796.7,295.1,1012.0,933.7,590.9,58.3,524.7,940.0,837.2,327.2,36.6,893.8,507.7,188.7,27.7,868.6,175.2,473.1,230.8,421.4,331.4,799.2,899.4,865.4,607.7
EB,374.2,172.3,427.2,269.2,864.8,558.5,892.7,968.1,948.1,572.9,938.5,14.1,882.1,591.8,879.1,809.6,640.2,187.5,952.5,784.0,454.9,458.3,461.4,834.9,0.0,1042.9,320.7,278.1,992.5,192.6,477.2,506.7,940.0,972.9,528.1,451.1,905.1,1014.5,1000.8,947.9,402.0,578.3,859.9,280.4,380.3,405.7,209.6,885.1,903.5,883.7,332.3,570.5,1004.2,552.8,2399.5,909.7,600.3,421.4,571.2,926.3,816.5,476.8,413.9,903.2,578.2,221.2,276.5,851.9,565.5,620.3,325.3,549.5,483.9,432.2,325.2,556.4,501.1,957.6,360.3,516.9,829.6,921.4,974.5,916.6,996.7,189.8,808.7,1007.0,521.5,221.0,402.4,889.0,308.9,530.9,282.0,528.0,272.7,952.6,22.1,106.3,522.3,893.3,545.8,99.6,210.3,831.2,804.3,317.8,434.1,882.3,798.2,114.1,895.2,539.7,842.1,589.7,912.8,302.0,403.5,377.6,547.1
FB,882.9,922.1,935.9,1010.7,383.8,554.0,187.9,508.7,97.6,566.2,88.0,979.3,401.1,750.5,469.0,350.2,633.5,906.9,285.4,324.6,804.4,946.2,928.2,364.1,965.2,0.0,959.2,898.6,313.5,967.4,826.7,878.8,235.2,122.4,475.1,800.6,293.9,22.1,541.4,466.9,831.9,714.2,449.8,999.5,1002.8,914.4,1060.3,167.9,295.5,424.3,841.0,1005.9,299.4,740.5,2331.7,396.3,731.6,754.3,564.5,221.5,571.4,779.3,922.6,295.8,573.7,873.2,826.7,392.5,728.2,721.0,834.0,453.7,843.8,734.7,947.7,551.9,492.1,280.3,982.8,776.8,369.4,106.3,564.4,506.5,291.9,1145.3,349.3,156.5,517.0,760.0,1024.9,122.5,931.4,762.8,902.5,908.3,879.2,137.5,944.7,866.4,871.8,305.7,457.4,872.7,769.9,350.2,344.9,826.5,788.6,177.5,338.8,990.3,190.4,754.0,395.5,702.3,431.8,731.9,1026.0,798.1,540.4
