from_stop,AN,AP,AR,BK,BN,BR,BS,BU,CJ,CK,DI,DK,DL,DV,DY,EE,EG,ES,EY,FE,FP,FU,GT,GU,GW,HF,HJ,HX,IC,IG,IJ,IZ,JK,JS,JT,JY,KA,KB,KE,KJ,KL,KP,KV,LI,LJ,LN,LV,MA,MB,ML,NJ,NT,OC,OM,OO,PK,PQ,PT,QC,QE,QF,QN,QU,RI,RM,RO,RQ,RU,SD,SG,SP,SR,SZ,TQ,TW,TZ,UB,UY,UZ,VM,WD,WE,WJ,WP,WS,WV,XE,XO,XX,YF,YJ,YQ,YY,ZG,ZQ,ZR,ZT,ZU
DI,1370.6,1316.9,1337.0,1264.9,1265.4,1402.4,1398.3,1368.5,1481.2,1413.0,0.0,1383.9,1316.8,1374.7,1422.9,1336.8,1431.4,1492.9,1444.8,1474.4,1396.7,1321.4,1426.3,1358.4,1404.1,1352.8,1346.4,1371.1,1322.5,1365.6,1379.6,1322.4,1379.2,1356.7,1435.9,1379.2,1392.6,1402.9,1343.8,1395.9,1368.1,1306.3,1404.2,1317.8,1409.3,1434.8,1355.7,1380.8,1352.4,1372.3,1385.4,1290.9,1300.1,1394.6,1300.9,1338.4,1415.4,1396.1,1366.0,1385.0,1353.6,1342.6,1339.0,1354.4,1250.9,1355.6,1397.6,1365.3,1371.1,1334.0,1369.7,1491.1,1356.2,1354.0,1310.5,1251.5,1325.2,1429.1,1399.9,1383.8,1464.9,1361.3,1449.0,1353.3,1338.5,1299.9,1458.5,1418.4,1256.8,1311.2,1517.1,1395.6,1307.4,1359.7,1259.6,1315.6,1307.2,1470.9
DK,87.4,236.0,462.4,195.0,506.2,221.3,217.2,425.3,202.0,338.3,1577.3,0.0,504.6,485.9,332.6,183.6,141.4,442.5,452.5,424.0,184.1,159.9,485.1,174.6,366.1,415.7,422.9,403.1,177.4,278.8,111.1,470.8,118.0,172.9,175.9,421.0,370.4,158.4,379.1,151.4,401.2,210.7,176.6,161.4,317.7,169.9,260.6,230.1,255.7,253.2,140.9,332.1,295.6,393.9,205.9,257.5,125.4,323.5,107.8,296.8,128.2,225.3,473.5,271.9,221.9,171.8,91.3,22.4,310.7,188.9,232.8,384.0,93.9,498.7,170.0,211.5,480.3,432.7,387.9,233.1,408.1,224.1,393.5,70.1,421.4,223.1,408.1,360.6,206.2,182.7,410.0,329.3,174.1,429.2,461.8,288.5,160.6,363.8
DL,456.9,376.5,130.8,342.2,46.7,366.8,340.8,169.5,417.9,221.7,1367.7,507.5,0.0,227.4,238.4,395.6,465.3,246.2,230.0,227.7,389.0,412.2,288.8,349.3,179.8,132.6,126.2,272.6,354.3,289.1,460.2,123.4,424.9,351.0,400.6,180.2,193.6,436.8,144.8,429.8,119.3,288.0,396.5,413.7,226.2,342.3,304.7,328.1,334.1,263.0,419.3,222.8,281.8,260.5,417.9,398.0,449.3,220.3,399.9,274.8,448.0,309.9,76.3,245.1,441.9,352.2,440.4,539.1,261.8,340.2,306.9,224.4,494.1,158.2,489.8,358.7,62.5,236.4,184.0,325.3,218.2,347.3,202.3,482.0,75.8,363.6,211.8,227.2,353.4,394.7,250.4,212.5,426.4,160.7,103.7,306.9,341.1,204.2
DV,415.8,335.4,74.6,365.9,233.2,325.7,299.7,128.4,376.8,180.6,1396.6,466.4,186.4,0.0,197.3,397.0,489.0,114.0,95.9,114.5,347.9,371.1,149.8,350.7,170.5,94.7,88.3,184.9,313.2,248.0,419.1,87.2,383.8,352.4,359.5,78.5,152.5,460.5,103.7,453.5,110.0,311.7,355.4,372.6,216.9,301.2,263.6,329.5,357.8,221.9,443.0,222.8,305.5,166.9,419.3,356.9,473.0,211.0,407.0,233.7,408.4,268.8,121.2,204.0,448.7,353.6,399.3,498.0,220.7,299.1,265.8,170.1,453.0,78.7,448.7,363.2,131.5,120.1,181.3,326.7,154.4,306.2,137.1,440.9,170.9,322.5,127.9,200.2,357.9,396.1,144.1,203.2,385.3,119.6,119.4,265.8,392.0,192.8
DY,320.6,184.1,211.6,193.8,225.7,230.5,204.5,114.2,281.6,40.6,1384.9,371.2,205.1,225.7,0.0,259.3,316.9,179.3,189.3,160.8,252.7,275.9,221.9,213.0,90.5,118.4,125.6,136.3,218.0,152.8,323.9,191.1,288.6,214.7,264.3,141.3,68.7,288.4,99.4,281.4,103.9,139.6,260.2,277.4,16.5,206.0,168.4,191.8,185.7,126.7,270.9,86.5,133.4,124.2,281.6,205.6,300.9,51.0,251.5,138.5,313.2,173.6,176.2,108.8,248.0,215.9,304.1,402.8,125.5,203.9,170.6,118.7,357.8,238.5,353.5,210.3,180.8,169.5,86.3,189.0,142.8,211.0,135.4,293.8,121.9,171.2,144.9,90.9,205.0,258.4,144.7,43.2,290.1,123.0,182.1,170.6,192.7,98.5
EE,129.7,129.9,342.0,77.9,335.0,127.1,133.2,314.4,181.9,244.0,1358.4,170.3,358.7,356.1,234.3,0.0,142.2,342.0,352.0,323.5,96.6,83.5,353.7,58.3,270.7,248.8,256.0,302.6,79.1,147.4,219.4,377.4,205.9,56.6,135.8,320.5,272.1,113.7,314.3,106.7,234.3,112.4,104.1,85.0,219.4,134.7,129.2,80.7,157.4,152.7,96.2,241.3,250.5,293.4,39.0,151.4,126.2,225.2,76.8,166.8,196.1,155.6,306.6,171.4,68.4,55.5,219.6,193.3,179.3,90.6,138.1,283.5,144.6,368.9,145.5,77.6,316.9,332.2,325.7,83.7,307.6,92.7,298.1,119.1,272.5,112.9,307.6,260.1,69.8,15.8,309.5,231.0,97.7,323.2,350.0,190.2,62.3,263.3
EG,103.7,194.9,467.8,153.9,465.1,148.2,144.1,379.3,139.4,301.2,1484.2,108.4,463.5,481.9,291.5,142.5,0.0,439.8,449.8,421.3,135.7,118.8,428.9,133.5,325.0,374.6,381.8,372.3,136.3,207.2,113.9,445.5,186.2,131.8,91.4,395.7,329.3,117.3,353.8,110.3,360.1,169.6,132.0,120.3,276.6,188.7,181.3,155.9,214.6,249.5,99.8,292.1,254.5,368.6,164.8,216.4,9.9,282.4,66.7,226.6,176.4,184.2,432.4,275.4,180.8,130.7,131.9,131.4,238.6,147.8,195.3,379.3,58.1,494.7,83.6,170.4,439.2,430.0,346.8,158.9,403.4,175.1,395.9,57.2,380.3,182.0,405.4,335.3,165.1,141.6,405.3,288.2,133.0,388.1,436.5,247.4,119.5,359.1
ES,387.4,307.0,141.2,349.5,318.5,297.3,271.3,133.3,348.4,139.3,1484.1,438.0,230.4,124.7,192.4,367.5,462.4,0.0,19.2,29.7,319.5,342.7,69.8,321.2,183.3,211.2,162.9,82.9,284.8,219.6,390.7,185.0,355.4,322.9,331.1,74.0,111.2,433.9,93.3,426.9,196.7,285.7,327.0,344.2,184.7,272.8,235.2,300.0,341.4,193.5,416.4,120.8,289.1,52.8,389.8,328.5,446.4,160.8,378.6,205.3,378.5,240.4,195.8,175.6,419.2,324.1,370.9,469.6,192.3,270.7,237.4,56.0,424.6,180.7,420.3,334.8,206.1,17.4,96.5,297.2,69.6,277.8,52.3,412.5,214.7,294.1,43.1,86.1,329.5,366.6,30.0,153.0,356.9,124.5,176.0,216.8,362.5,80.7
EY,376.2,295.8,121.9,338.3,307.3,286.1,260.1,122.1,337.2,155.4,1468.0,426.8,219.2,105.4,192.9,314.9,408.2,18.0,0.0,18.5,308.3,331.5,78.6,268.6,172.1,200.0,193.8,101.0,273.6,208.4,379.5,173.8,344.2,270.3,319.9,54.7,127.3,379.7,82.1,372.7,185.5,274.5,315.8,333.0,179.3,261.6,224.0,247.4,330.2,182.3,362.2,138.9,277.9,70.9,337.2,317.3,392.2,173.4,367.4,194.1,368.8,229.2,226.7,164.4,366.6,271.5,359.7,458.4,181.1,259.5,226.2,74.1,413.4,161.4,409.1,323.6,237.0,26.2,85.3,244.6,58.4,266.6,41.1,401.3,203.5,282.9,31.9,104.2,318.3,314.0,48.1,165.6,345.7,113.3,164.8,226.2,309.9,96.8
FE,357.6,277.2,146.8,319.7,288.7,267.5,241.5,98.6,318.6,136.8,1449.4,408.2,200.6,133.9,174.3,296.3,389.6,18.4,28.4,0.0,289.7,312.9,61.0,250.0,153.5,181.4,133.1,101.4,255.0,189.8,360.9,155.2,325.6,251.7,301.3,83.2,108.7,361.1,63.5,354.1,166.9,255.9,297.2,314.4,160.7,243.0,205.4,228.8,311.6,163.7,343.6,139.3,259.3,71.3,318.6,298.7,373.6,154.8,348.8,176.5,350.2,210.6,166.0,145.8,348.0,252.9,341.1,439.8,162.5,240.9,207.6,74.5,394.8,183.1,390.5,305.0,176.3,8.6,66.7,226.0,39.8,248.0,22.5,382.7,184.9,264.3,13.3,104.6,299.7,295.4,48.5,147.0,327.1,94.7,146.2,207.6,291.3,78.2
FP,99.4,181.9,327.1,156.0,435.4,37.1,33.0,349.6,85.2,271.5,1436.5,180.9,433.8,350.6,261.8,94.8,141.7,307.2,317.2,288.7,0.0,74.9,318.9,48.5,295.3,326.9,334.1,267.8,93.1,94.6,122.7,335.5,109.2,50.2,39.1,285.7,299.6,157.8,243.8,164.8,312.4,139.9,7.5,76.4,246.9,77.6,76.4,45.9,184.9,136.9,119.7,262.4,224.8,258.6,117.1,203.4,125.7,252.7,86.6,114.0,99.4,115.3,384.7,163.3,136.9,51.4,122.9,196.7,126.5,79.0,150.9,248.7,136.6,363.4,141.2,164.6,409.5,297.4,317.1,48.9,272.8,39.9,263.3,133.4,350.6,169.0,272.8,225.3,147.9,93.9,274.7,258.5,89.1,275.0,326.5,217.7,89.8,228.5
FU,95.7,155.0,349.5,103.0,342.5,80.9,76.8,321.9,160.8,251.9,1365.9,136.3,366.2,363.6,242.2,107.2,108.2,367.7,377.7,349.2,68.4,0.0,380.7,128.8,275.7,256.3,263.5,328.3,87.0,156.4,141.8,384.9,177.7,127.1,107.6,346.2,280.0,79.7,304.3,72.7,241.8,120.3,75.9,1.4,227.3,121.4,138.2,107.7,165.3,198.7,62.2,242.8,205.2,319.1,60.6,176.5,92.2,233.1,42.8,175.8,169.4,134.9,314.1,225.1,61.9,126.0,191.4,159.3,188.3,98.5,146.0,309.2,110.6,376.4,111.5,89.6,324.4,357.9,297.5,110.7,333.3,101.7,323.8,85.1,280.0,138.0,333.3,285.8,94.9,81.6,335.2,238.9,14.1,330.7,387.0,198.1,70.2,289.0
GT,421.1,340.7,192.9,383.2,352.2,331.0,305.0,167.0,382.1,200.3,1512.9,471.7,264.1,159.3,237.8,350.1,445.0,80.9,70.9,63.4,337.1,376.4,0.0,303.8,217.0,244.9,196.6,163.9,318.5,253.3,424.4,218.7,389.1,305.5,364.8,125.7,172.2,416.5,127.0,409.5,230.4,319.4,344.6,377.9,224.2,306.5,268.9,282.6,375.1,227.2,399.0,201.8,322.8,133.8,372.4,362.2,429.0,218.3,412.3,239.0,412.2,274.1,229.5,209.3,401.8,306.7,404.6,503.3,226.0,304.4,271.1,137.0,458.3,238.1,454.0,368.5,239.8,55.2,130.2,279.8,103.3,311.5,86.0,446.2,248.4,327.8,76.8,167.1,363.2,349.2,111.0,210.5,390.6,158.2,209.7,271.1,345.1,141.7
GU,137.7,116.6,303.5,107.4,386.8,68.7,74.8,301.0,123.5,222.9,1387.9,169.2,385.2,327.0,213.2,46.2,141.1,283.6,293.6,265.1,38.2,86.5,295.3,0.0,246.7,278.3,285.5,244.2,58.0,89.0,161.0,311.9,147.5,1.6,77.4,262.1,251.0,112.6,220.2,105.6,263.8,91.3,45.7,88.0,198.3,76.3,70.8,22.3,136.3,94.3,95.1,213.8,176.2,235.0,68.5,138.1,125.1,204.1,75.7,108.4,137.7,105.9,336.1,113.0,97.9,2.8,161.2,235.0,120.9,69.5,117.0,225.1,174.9,339.8,179.5,107.1,360.9,273.8,268.5,25.3,249.2,34.3,239.7,118.0,302.0,103.7,249.2,201.7,99.3,45.3,251.1,209.9,100.7,309.8,302.9,169.1,41.2,204.9
GW,396.5,214.1,169.6,223.8,183.7,306.4,280.4,54.2,357.5,74.6,1344.4,375.0,163.1,183.7,88.5,270.0,346.9,176.5,186.5,158.0,328.6,288.2,219.1,288.9,0.0,76.4,83.6,228.0,293.9,228.7,399.8,204.3,364.5,290.6,340.2,131.0,106.7,318.4,84.4,311.4,61.9,169.6,336.1,289.7,74.9,281.9,244.3,267.7,215.7,202.6,300.9,163.2,163.4,215.9,292.3,235.6,330.9,69.0,281.5,215.4,387.6,249.5,134.2,184.7,278.0,291.8,380.0,398.0,201.4,279.8,251.8,156.7,349.3,196.5,353.7,240.3,138.8,166.7,83.5,264.9,148.5,257.3,132.6,323.8,79.9,201.2,142.1,206.1,235.0,269.1,182.7,61.2,302.4,63.0,171.8,246.5,222.7,136.5
HF,377.5,297.1,93.1,271.1,152.7,287.4,261.4,90.1,338.5,121.8,1301.8,428.1,105.9,107.2,135.7,316.2,394.2,166.8,150.6,148.3,309.6,332.8,209.4,269.9,75.7,0.0,7.1,193.2,274.9,209.7,380.8,128.5,345.5,271.6,321.2,100.8,114.2,365.7,65.4,358.7,15.2,216.9,317.1,334.3,122.1,262.9,225.3,248.7,263.0,183.6,348.2,144.2,210.7,181.1,338.5,318.6,378.2,116.2,368.7,196.4,368.6,230.5,57.7,165.7,367.9,272.8,361.0,459.7,182.4,260.8,232.4,145.0,414.7,120.0,410.4,324.9,81.6,157.0,104.6,245.9,138.8,240.7,122.9,402.6,76.1,284.2,132.4,147.8,319.6,315.3,171.0,108.4,347.0,81.3,101.1,227.5,311.2,124.8
HJ,370.3,289.9,85.9,277.5,159.1,280.2,254.2,82.9,331.3,135.1,1308.2,420.9,112.3,100.0,151.8,309.0,400.6,159.6,143.4,141.1,302.4,325.6,202.2,262.7,82.1,6.3,0.0,186.0,267.7,202.5,373.6,121.3,338.3,264.4,314.0,93.6,107.0,372.1,58.2,365.1,21.6,223.3,309.9,327.1,128.5,255.7,218.1,241.5,269.4,176.4,354.6,136.2,217.1,173.9,331.3,311.4,384.6,122.6,361.5,188.2,361.4,223.3,50.5,158.5,360.7,265.6,353.8,452.5,175.2,253.6,220.3,137.8,407.5,112.8,403.2,317.7,60.8,149.8,97.4,238.7,131.6,260.7,115.7,395.4,82.5,277.0,125.2,140.6,312.4,308.1,163.8,114.8,339.8,74.1,93.9,220.3,304.0,117.6
HX,343.3,262.9,189.8,300.6,331.1,253.2,227.2,144.2,304.3,146.0,1425.2,393.9,243.6,210.5,133.5,282.0,375.3,85.7,105.0,115.5,275.4,298.6,155.6,235.7,195.9,223.8,176.1,0.0,240.7,175.5,346.6,198.9,311.3,237.4,287.0,148.4,128.3,346.8,106.5,339.8,209.3,241.6,282.9,300.1,139.9,228.7,191.1,214.5,309.1,149.4,329.3,61.9,256.8,23.4,304.3,284.4,359.3,156.4,334.5,162.2,334.4,196.3,209.0,167.7,333.7,238.6,326.8,425.5,148.2,226.6,193.3,73.1,380.5,226.1,376.2,290.7,219.3,103.2,127.7,211.7,102.7,233.7,120.9,368.4,227.3,250.0,120.5,47.2,285.4,281.1,84.2,148.6,312.8,137.7,189.2,188.2,277.0,91.2
IC,179.9,87.6,313.1,46.6,357.8,110.9,106.8,272.0,165.7,193.9,1453.1,186.0,356.2,374.6,184.2,111.4,157.9,332.5,342.5,314.0,80.4,128.7,320.5,65.1,217.7,267.3,274.5,253.8,0.0,85.2,203.2,321.5,189.7,66.8,119.6,271.7,222.0,129.4,229.8,122.4,252.8,62.3,87.9,130.2,169.3,127.8,67.0,82.5,107.3,127.5,111.9,184.8,147.2,244.6,133.7,109.1,141.9,175.1,92.5,104.6,179.9,76.9,325.1,153.9,100.8,68.0,203.4,209.0,117.1,11.5,88.0,272.0,160.3,387.4,161.2,63.1,331.9,322.7,239.5,85.5,296.1,38.7,288.6,134.8,273.0,74.7,298.1,211.3,57.8,110.5,298.0,180.9,142.9,280.8,312.5,140.1,33.7,251.8
IG,205.5,87.3,253.3,125.0,361.5,136.5,120.0,280.6,197.1,193.6,1478.7,286.7,359.9,276.8,187.9,137.0,224.1,233.4,243.4,214.9,106.0,154.3,276.0,90.7,221.4,271.0,278.2,194.0,89.3,0.0,228.8,261.7,204.1,92.4,145.2,211.9,225.7,195.6,170.0,188.6,256.5,66.0,113.5,155.8,173.0,121.5,59.4,107.3,111.0,42.2,178.1,187.4,150.9,184.8,159.3,108.8,208.1,178.8,192.7,17.9,205.5,20.7,328.8,86.7,152.8,93.6,219.6,302.8,49.9,75.2,74.3,174.9,242.7,289.6,250.8,115.1,335.6,223.6,243.2,104.5,199.0,64.3,184.4,239.5,276.7,74.4,199.0,151.5,109.8,136.1,200.9,184.6,168.5,284.5,252.7,143.8,132.0,154.7
IJ,74.0,222.6,418.7,181.6,492.8,165.9,161.8,407.0,146.6,328.9,1511.9,93.9,491.2,442.2,319.2,170.2,128.0,398.8,408.8,380.3,128.7,146.5,441.4,161.2,352.7,402.3,409.5,359.4,164.0,223.4,0.0,427.1,62.6,159.5,119.1,377.3,357.0,145.0,335.4,138.0,387.8,197.3,121.2,148.0,304.3,126.2,205.2,174.7,242.3,209.5,127.5,319.8,282.2,350.2,192.5,244.1,112.0,310.1,94.4,242.8,72.8,211.9,460.1,228.2,208.5,158.4,17.9,78.8,255.3,175.5,223.0,340.3,97.2,455.0,91.0,198.1,466.9,389.0,374.5,177.7,364.4,168.7,354.9,56.7,408.0,209.7,364.4,316.9,192.8,169.3,366.3,315.9,160.7,415.8,418.1,275.1,147.2,320.1
IZ,416.6,336.2,51.8,366.7,159.7,325.8,299.8,124.3,377.6,185.4,1397.4,466.5,112.2,86.7,198.1,355.3,489.8,200.8,182.7,184.7,348.7,371.9,173.7,309.0,171.3,94.8,89.1,240.6,314.0,248.8,419.9,0.0,384.6,310.7,360.3,165.3,153.3,461.3,104.5,454.3,110.8,312.5,356.2,373.4,217.7,302.0,264.4,287.1,357.9,222.7,443.8,183.3,306.3,253.7,377.6,357.7,473.8,211.8,407.8,235.5,408.5,268.9,121.3,204.8,407.0,311.9,400.1,464.6,221.5,299.9,271.9,256.9,453.1,31.5,454.1,364.0,132.3,176.5,143.7,285.0,224.6,279.8,213.0,441.7,171.7,323.3,198.1,186.9,358.7,354.4,230.9,204.0,386.1,120.4,57.8,266.6,350.3,163.9
JK,74.3,222.9,381.4,181.9,493.1,134.1,130.0,407.3,114.8,329.2,1533.5,122.5,491.5,404.9,319.5,191.8,128.3,361.5,371.5,343.0,96.9,171.9,404.1,145.5,353.0,402.6,409.8,322.1,164.3,191.6,64.3,389.8,0.0,159.8,88.7,340.0,357.3,145.3,298.1,138.3,388.1,197.6,89.4,173.4,304.6,88.9,173.4,142.9,242.6,172.2,127.8,320.1,282.5,312.9,214.1,244.4,112.3,310.4,94.7,211.0,24.5,212.2,460.4,190.9,233.9,158.7,64.5,120.3,223.5,175.8,223.3,303.0,87.5,417.7,64.8,198.4,467.2,351.7,374.8,145.9,327.1,136.9,317.6,57.0,408.3,210.0,327.1,279.6,193.1,190.9,329.0,316.2,186.1,416.1,380.8,275.4,147.5,282.8
