from_stop,AA,AF,BO,BR,BZ,CO,DL,DO,EJ,EQ,EV,FJ,GC,GR,HF,HT,HW,HX,HZ,ID,IH,IK,IN,IV,JI,JM,JN,KC,KJ,KT,LB,LD,LY,MX,NE,NL,NM,NR,NS,NZ,OS,OZ,PC,PD,PL,PO,PP,PT,QD,QH,QU,SG,SV,SW,TG,TO,TP,VZ,WG,WH,WT,XO,XY,YT,YZ,ZC,ZF
FJ,309.9,171.2,237.0,281.6,90.9,100.5,429.0,73.4,419.0,17.0,207.0,0.0,235.7,370.3,248.0,150.2,330.7,300.7,417.4,55.3,356.7,177.2,127.7,153.7,48.1,193.7,9.2,247.8,256.2,201.4,275.8,390.8,314.4,277.5,231.6,158.6,320.7,183.6,67.4,79.1,352.8,224.7,316.2,298.6,123.7,237.1,159.9,350.0,48.2,143.8,104.5,226.6,235.9,60.9,265.0,92.6,242.8,98.9,111.7,83.5,289.1,83.5,215.7,2070.0,84.4,80.0,246.8
GC,179.9,273.8,104.4,246.6,254.5,255.8,192.9,273.8,183.2,219.7,281.9,236.7,0.0,138.0,294.1,206.0,205.8,64.9,203.3,181.3,168.9,209.5,195.7,118.4,188.5,226.0,246.0,275.3,291.1,200.1,63.5,215.2,78.6,264.6,311.5,197.1,157.4,282.3,280.3,300.2,115.8,155.5,80.4,185.7,196.9,202.2,195.7,243.3,210.9,212.7,214.5,248.6,294.5,243.6,52.2,275.3,28.8,192.9,243.0,246.2,176.2,143.9,328.4,2021.0,267.1,266.5,202.6
GR,70.9,251.7,106.8,162.7,362.6,360.5,148.5,381.9,130.5,345.8,237.8,362.8,157.1,0.0,219.5,354.4,133.6,107.6,142.4,303.9,100.4,227.5,347.8,270.3,316.8,211.9,372.1,191.0,218.9,171.8,148.9,130.8,55.9,177.6,239.3,344.2,48.4,239.3,388.4,356.2,34.5,145.7,54.1,135.2,349.9,151.7,342.8,154.4,319.0,359.8,344.6,198.1,222.3,315.1,168.4,346.8,103.2,336.4,390.1,354.3,125.7,272.2,246.5,1971.9,360.2,374.6,152.1
HF,176.3,113.6,177.4,125.8,256.8,278.7,239.0,276.1,229.3,240.0,98.3,257.0,273.4,222.8,0.0,229.5,136.6,273.0,217.9,218.5,136.8,89.4,219.2,173.4,225.7,73.8,266.3,74.1,51.8,73.2,322.7,195.0,221.3,105.0,72.2,220.6,170.5,100.1,282.6,250.4,208.3,128.8,219.5,143.3,219.5,96.2,219.2,214.9,213.2,236.2,215.9,19.9,55.2,246.9,318.9,278.6,280.5,212.1,266.5,248.5,126.4,200.9,89.1,1991.7,231.5,268.8,55.1
HT,282.9,169.9,221.6,264.9,78.1,49.1,429.8,97.4,419.8,133.6,208.0,150.6,212.1,326.9,228.3,0.0,327.8,301.5,428.1,125.4,328.0,135.6,73.8,95.4,132.6,152.1,159.9,232.0,214.6,199.6,244.9,328.8,315.2,269.0,232.6,8.4,320.3,208.4,103.9,189.5,353.6,208.0,317.0,293.0,76.2,207.6,9.7,334.6,112.1,6.6,109.9,206.9,194.3,139.5,193.1,171.2,219.2,49.0,36.9,66.1,283.5,88.0,216.7,2065.6,163.0,90.1,222.0
HW,123.1,211.8,93.9,84.7,361.4,343.2,131.0,380.7,113.0,335.1,175.7,352.1,198.5,133.1,132.2,328.2,0.0,198.5,124.9,291.0,24.1,191.6,309.6,240.3,303.9,176.0,361.4,113.4,129.2,141.8,196.7,78.6,155.8,105.2,149.6,321.0,102.9,199.4,387.2,357.8,118.6,143.2,154.0,87.7,307.2,141.1,319.6,102.2,320.6,323.0,318.1,152.2,132.6,349.1,211.2,380.8,205.6,280.8,320.2,349.4,97.2,283.4,166.5,1928.8,333.7,373.4,140.0
HX,120.5,235.1,124.5,237.9,346.7,355.4,184.5,366.0,174.5,329.9,270.9,346.9,107.0,129.3,285.4,314.7,197.1,0.0,194.6,268.3,160.2,218.8,304.5,234.6,275.5,235.3,356.2,266.6,282.4,192.8,74.4,206.5,39.9,258.4,302.8,305.8,143.2,248.6,372.5,340.3,107.1,169.0,41.7,233.5,300.5,193.7,304.4,234.6,303.1,317.9,302.8,240.0,285.8,299.2,150.4,330.9,87.3,289.5,351.7,338.4,226.0,230.9,319.7,2012.3,302.7,358.7,252.4
HZ,163.8,289.6,151.1,162.5,421.4,422.0,75.7,440.7,36.5,392.3,253.5,421.1,232.0,153.0,210.0,396.9,121.7,194.8,0.0,348.2,88.5,281.2,387.4,329.9,361.1,253.8,418.6,203.0,207.0,226.9,207.4,73.1,176.1,183.0,227.4,388.5,129.5,277.2,447.2,426.8,138.9,226.8,164.0,165.5,386.0,232.8,387.1,39.9,377.8,390.5,395.9,241.8,200.1,385.7,231.5,417.4,217.0,358.6,409.8,413.1,186.8,316.5,244.3,1892.1,377.4,433.4,217.8
ID,280.5,108.7,175.9,220.5,78.8,81.8,367.6,98.1,357.9,44.0,136.1,55.3,180.3,309.2,208.8,131.5,269.6,245.3,356.3,0.0,295.6,121.8,66.6,98.3,12.9,132.6,70.3,192.4,195.1,140.3,214.7,283.1,253.3,235.6,160.7,139.9,265.5,122.2,104.6,124.5,291.7,169.3,255.1,244.9,66.3,174.6,96.1,288.9,35.2,80.0,53.2,193.1,180.5,67.9,209.6,99.6,187.4,51.6,98.7,70.5,233.7,22.4,144.8,2008.9,68.8,90.8,185.7
IH,112.3,201.0,83.1,73.9,350.6,321.6,102.1,369.9,88.3,324.3,164.9,341.3,187.7,108.9,121.4,322.3,33.1,170.2,81.0,285.9,0.0,184.5,298.8,233.2,293.1,165.2,350.6,102.6,118.4,142.6,172.5,58.1,131.6,91.9,138.8,310.2,79.5,187.5,376.4,347.0,92.8,136.1,125.7,69.5,298.5,130.3,312.5,73.9,313.5,315.9,307.3,145.1,121.8,338.3,187.0,370.0,178.7,283.8,313.1,338.6,90.1,272.6,155.7,1904.6,322.9,362.6,129.2
IK,174.5,86.2,131.2,157.0,218.2,189.2,294.5,237.5,284.8,206.1,72.3,223.1,200.0,218.5,92.6,140.0,192.1,226.8,273.4,133.3,192.3,0.0,129.7,141.7,140.5,16.4,232.4,105.3,78.9,65.3,240.1,250.5,175.1,136.2,96.9,131.1,194.6,72.7,244.0,214.0,235.4,100.7,173.3,174.5,130.1,94.4,129.7,270.4,179.3,146.7,126.4,71.2,58.6,157.4,264.0,189.1,207.1,155.3,177.0,206.2,157.6,95.9,81.0,2009.5,142.0,230.2,86.3
IN,259.8,165.5,205.8,252.2,109.7,80.7,419.9,129.0,409.9,159.4,203.6,176.4,207.7,311.1,223.9,77.7,323.4,291.6,352.4,115.3,323.6,131.2,0.0,86.2,128.2,147.7,185.7,222.8,210.2,176.4,235.0,313.0,305.3,264.6,228.2,86.1,307.8,204.0,135.5,181.4,343.7,195.3,307.1,280.3,0.3,203.2,87.4,318.8,150.6,70.5,93.8,202.5,189.9,124.8,205.7,156.5,214.8,42.9,68.5,97.7,270.8,83.6,212.3,2049.5,109.4,121.7,217.6
IV,200.6,150.4,146.6,185.2,167.7,138.7,360.7,187.0,350.7,141.7,201.3,158.7,142.4,251.9,183.0,89.5,254.7,232.4,305.8,97.6,259.0,141.6,82.0,0.0,110.5,158.1,168.0,136.5,196.1,104.1,175.8,257.1,246.1,185.4,216.5,80.6,240.6,201.7,193.5,222.2,283.3,128.3,247.9,208.4,82.4,176.6,79.2,259.6,132.9,96.2,149.9,161.6,199.5,165.6,146.5,197.3,149.5,114.9,126.5,155.7,198.9,65.9,210.0,2077.4,165.5,179.7,135.5
JI,242.8,121.6,188.8,233.4,65.9,63.8,385.2,85.2,367.2,31.1,149.0,48.1,187.5,322.1,221.7,123.1,282.5,252.5,379.1,12.9,312.2,129.0,79.5,105.5,0.0,145.5,57.4,199.6,208.0,167.2,227.6,342.6,266.2,245.6,173.6,132.7,278.2,134.0,91.7,111.6,303.4,176.5,268.0,250.4,77.1,187.5,134.0,301.8,22.3,117.9,66.1,200.3,187.7,55.0,216.8,86.7,194.6,50.7,85.8,57.6,240.9,35.3,157.7,2021.8,78.5,77.9,198.6
JM,182.8,69.7,146.8,140.5,233.8,215.6,282.7,253.1,264.7,221.7,55.8,238.7,215.6,234.1,76.1,156.9,175.6,242.4,276.6,143.2,175.8,15.6,145.3,157.3,156.1,0.0,248.0,88.8,62.4,89.6,255.7,230.3,190.7,116.8,80.4,146.7,178.1,57.3,259.6,229.6,223.0,116.3,188.9,150.6,147.4,110.0,145.3,253.9,194.9,162.3,142.0,54.7,42.1,173.0,279.6,204.7,222.7,154.4,192.6,221.8,141.1,111.5,64.5,1993.0,157.6,245.8,69.8
JN,326.5,180.5,246.3,290.9,81.6,99.0,442.7,64.1,424.7,26.2,216.3,9.2,245.0,379.6,257.3,158.3,340.0,310.0,436.6,70.3,369.7,186.5,137.0,163.0,57.4,203.0,0.0,257.1,265.5,224.7,285.1,400.1,323.7,286.8,240.9,167.9,335.7,192.9,58.1,69.8,360.9,234.0,325.5,307.9,134.6,246.4,169.2,359.3,57.5,153.1,113.8,235.9,245.2,70.2,274.3,88.5,252.1,108.2,121.0,92.8,298.4,92.8,225.0,2079.3,93.7,70.7,256.1
KC,147.7,126.2,148.9,97.2,294.6,265.6,225.2,313.9,210.8,240.1,106.0,257.1,226.8,194.2,62.5,216.4,118.1,244.5,199.4,202.0,118.3,102.0,208.9,126.8,214.9,86.4,266.4,0.0,59.5,35.6,294.1,172.0,192.8,73.5,79.9,207.5,134.8,112.7,320.4,294.1,178.1,100.2,191.0,107.3,211.3,67.6,206.1,196.4,213.3,223.1,206.5,72.6,62.9,237.5,273.4,269.2,233.9,224.7,253.4,282.6,97.8,213.5,96.8,1973.2,222.1,306.6,26.5
KJ,220.0,82.5,164.2,88.7,232.1,213.9,229.9,251.4,211.9,210.1,46.4,227.1,306.3,232.0,61.0,198.9,122.8,297.4,223.8,166.0,123.0,92.0,180.3,195.3,178.9,76.4,236.4,68.4,0.0,96.8,295.6,177.5,254.7,85.0,20.3,208.5,199.8,70.1,257.9,234.1,217.5,147.2,252.9,119.7,177.9,120.9,209.8,201.1,196.9,193.7,154.4,81.0,33.0,185.4,310.1,217.1,313.4,151.5,190.9,220.1,129.2,154.1,37.2,1930.5,170.0,244.1,95.0
KT,156.5,119.8,113.2,110.8,258.9,225.6,262.0,273.9,253.3,204.4,105.9,217.1,198.4,199.0,76.8,176.4,159.3,204.5,249.5,166.3,159.5,96.9,168.9,98.4,179.2,80.0,230.7,32.3,100.7,0.0,267.0,214.0,157.1,87.1,121.1,167.5,148.4,107.4,284.7,257.4,193.3,78.4,162.6,120.9,174.3,72.4,166.1,226.8,173.3,183.1,170.8,66.2,104.1,197.5,233.4,229.2,193.9,185.9,225.0,246.9,100.6,134.6,114.6,2014.4,186.4,266.6,40.1
LB,171.5,265.4,128.6,238.2,278.7,276.6,189.2,298.0,171.2,243.9,329.2,260.9,24.1,129.6,285.7,231.5,197.4,56.5,183.1,199.8,164.2,233.7,219.9,142.6,212.7,250.2,270.2,266.9,282.7,224.3,0.0,207.6,70.2,258.7,303.1,221.3,149.0,277.8,304.5,324.4,107.4,179.7,72.0,235.8,222.0,252.3,219.9,234.9,235.1,236.9,238.7,298.7,286.1,267.8,75.9,299.5,53.0,203.3,267.2,270.4,226.3,168.1,320.0,2012.6,291.3,290.7,252.7
LD,128.4,272.6,111.1,145.5,381.4,384.1,100.0,400.7,100.0,352.3,236.5,365.6,203.9,137.1,193.7,334.9,87.7,210.8,76.0,309.0,71.5,252.4,329.1,247.3,321.1,236.8,378.6,174.2,190.0,202.6,213.4,0.0,159.8,166.0,210.4,326.0,112.5,260.2,407.2,371.3,121.9,209.8,161.3,148.5,329.4,215.8,324.6,59.7,337.8,346.1,337.5,213.0,193.4,330.2,215.2,361.9,210.3,311.2,376.4,373.1,128.7,276.5,227.3,1918.5,337.4,393.4,200.8
LY,80.5,195.1,84.5,198.6,306.7,304.6,149.6,326.0,131.6,289.9,230.9,306.9,67.0,90.0,246.1,277.7,157.8,51.6,143.5,240.9,124.6,178.8,264.5,194.6,281.0,195.3,316.2,227.3,243.1,166.8,79.9,168.0,0.0,219.1,263.5,267.5,109.4,207.5,332.5,300.3,67.8,129.0,1.7,196.2,262.1,153.7,266.1,195.3,263.1,277.9,262.8,200.0,246.5,259.2,110.6,290.9,47.3,235.7,313.4,298.4,186.7,238.3,280.4,1973.0,262.7,318.7,213.1
MX,136.4,153.8,145.1,83.4,281.3,313.7,213.6,300.6,203.9,264.5,123.9,281.5,234.2,180.4,80.4,264.5,111.2,240.7,192.5,249.2,115.5,129.6,254.5,172.4,255.6,114.0,290.8,58.7,77.4,85.5,280.3,169.6,189.0,0.0,97.8,255.6,128.1,140.3,307.1,274.9,164.3,88.9,187.2,100.9,254.8,35.8,251.7,186.6,240.2,268.7,252.1,97.5,80.8,233.8,276.5,265.5,241.3,242.8,299.0,273.0,84.0,231.6,114.7,1966.3,267.7,293.3,56.7
NE,229.9,62.1,213.2,118.2,240.3,222.1,259.4,259.6,241.4,218.3,26.0,235.3,297.2,269.1,107.7,207.1,152.3,308.8,253.3,174.2,152.5,97.1,188.5,219.7,187.1,81.5,244.6,120.4,29.4,121.2,325.1,207.0,257.1,114.5,0.0,216.7,209.7,49.7,266.1,235.7,254.6,175.1,255.3,149.2,186.1,142.5,218.0,230.6,198.5,201.9,162.6,86.3,91.7,193.6,361.2,225.3,304.3,159.7,199.1,228.3,172.7,162.3,16.8,1938.7,178.2,252.3,101.4
NL,267.2,161.5,213.2,256.5,87.0,58.0,421.4,106.3,411.4,142.5,199.6,159.5,203.7,318.5,219.9,8.8,319.4,293.1,419.7,111.3,323.7,127.2,65.4,87.0,124.2,143.7,168.8,223.6,206.2,193.2,236.5,320.4,306.8,260.6,224.2,0.0,319.4,200.0,112.8,198.4,344.0,199.6,308.6,292.0,66.6,199.2,1.3,326.2,121.0,15.5,153.5,198.5,185.9,148.4,184.7,180.1,210.8,114.8,45.8,75.0,275.1,79.6,208.3,2074.5,169.1,99.0,213.6
NM,14.9,203.2,58.3,114.2,328.6,359.3,154.1,353.6,137.1,299.5,189.3,312.6,136.8,59.3,176.7,304.4,100.6,144.4,124.4,260.9,63.7,184.7,299.3,221.8,268.3,163.4,325.8,142.5,185.9,134.9,159.2,101.5,100.0,132.0,206.3,295.7,0.0,189.7,354.4,322.0,43.2,97.2,98.4,94.1,299.6,103.2,294.3,121.4,290.7,311.3,296.1,155.3,182.2,280.9,155.4,312.8,151.2,301.7,347.1,320.3,82.7,223.7,198.0,1966.0,311.7,346.3,109.1
NR,200.5,12.3,163.4,167.2,192.3,191.5,302.7,211.6,293.0,175.5,23.3,192.5,291.2,250.7,101.7,188.5,200.3,259.0,281.6,160.1,204.6,72.6,168.7,160.4,166.6,76.6,201.8,114.4,77.4,113.5,287.3,258.7,207.3,146.4,47.9,195.8,211.9,0.0,218.1,185.9,248.1,132.9,205.5,184.7,167.3,126.6,197.1,277.5,148.7,182.1,142.8,80.3,85.7,144.8,280.7,176.5,246.1,153.7,178.2,184.0,166.7,142.5,32.0,1986.7,148.3,204.3,96.5
NS,333.7,195.0,278.8,323.4,23.4,41.2,475.2,5.9,457.2,78.8,230.8,81.0,277.5,385.0,271.8,100.5,372.5,342.5,469.1,102.8,402.2,219.0,129.6,197.2,89.9,235.5,71.7,289.6,251.4,257.2,346.7,432.6,356.2,301.3,255.4,110.1,368.2,207.4,0.0,85.5,393.4,266.5,339.8,340.4,127.2,260.9,111.4,391.8,57.3,95.3,128.3,250.4,277.7,84.7,294.9,104.2,284.6,98.0,63.2,35.0,330.9,125.3,239.5,2101.2,108.2,12.5,288.6
NZ,304.1,165.4,268.1,294.5,102.7,131.3,457.3,85.2,447.3,83.4,201.2,66.4,284.5,355.4,242.2,181.0,366.8,349.5,448.1,104.1,378.5,177.3,170.2,239.0,96.9,193.8,57.1,248.6,256.3,202.2,324.6,408.9,312.0,274.6,225.8,189.4,337.8,177.8,79.2,0.0,372.3,237.6,310.2,305.7,166.2,231.3,190.7,381.1,79.0,174.6,80.7,220.8,236.0,42.4,313.8,18.6,291.6,177.3,142.5,114.3,296.2,132.3,209.9,2080.0,60.6,91.8,247.6
OS,56.7,244.8,99.9,155.8,370.2,395.4,109.2,388.3,99.5,341.1,230.9,356.9,149.0,22.1,210.4,345.0,122.1,116.1,129.9,302.7,85.2,219.4,339.7,262.2,309.9,205.0,367.4,184.1,207.4,176.5,114.3,127.6,78.1,173.6,227.8,337.3,36.0,231.3,396.0,362.6,0.0,137.6,75.1,135.7,342.1,144.8,334.7,146.3,325.4,352.9,337.7,190.0,210.8,321.5,160.3,353.2,156.1,343.3,382.0,361.9,117.6,265.3,239.6,1937.3,353.3,381.0,144.0
OZ,114.8,163.8,71.5,56.8,238.7,256.5,260.7,258.0,250.7,218.4,149.9,235.4,145.2,158.8,131.6,207.3,148.8,167.1,259.0,180.0,153.1,139.6,202.0,137.1,187.2,124.0,244.7,103.1,139.2,82.2,220.5,209.5,115.4,89.7,159.6,198.4,112.2,150.3,264.5,232.3,155.7,0.0,113.6,84.9,202.4,63.8,197.0,179.5,195.1,214.0,198.8,110.2,142.6,229.8,191.2,261.5,152.3,181.5,244.3,273.5,75.4,142.6,158.6,1997.3,214.4,250.7,64.2
PC,126.4,193.3,82.7,200.4,304.9,313.6,147.0,324.2,137.0,288.1,229.1,305.1,65.2,91.8,247.9,274.6,159.6,53.4,167.4,239.1,126.4,177.0,262.7,192.8,279.2,193.5,314.4,229.1,244.9,165.0,81.7,169.0,1.7,218.4,265.3,265.7,105.5,205.7,330.7,298.5,69.6,127.2,0.0,196.0,260.3,151.9,264.3,197.1,261.3,276.1,261.0,198.2,248.3,257.4,108.8,289.1,45.5,247.7,311.6,296.6,188.5,236.5,282.2,1974.8,260.9,316.9,214.9
PD,102.6,188.7,113.3,61.6,313.0,301.9,190.1,339.7,173.0,293.2,152.6,310.2,201.7,141.7,101.7,298.9,87.7,208.9,169.0,254.8,92.0,161.1,279.1,209.9,262.0,151.5,319.5,82.9,106.1,123.0,241.6,146.1,157.2,79.6,126.5,290.5,89.4,175.2,338.8,306.6,125.6,92.7,162.8,0.0,286.2,91.3,289.1,166.0,276.8,292.5,275.7,129.1,109.5,306.7,237.8,345.8,208.8,271.5,329.7,304.7,16.8,260.3,143.4,1942.8,291.3,332.4,99.1
PL,260.2,166.9,207.2,253.6,108.5,79.5,422.4,128.6,410.3,115.8,205.0,130.5,208.1,312.5,224.3,75.3,324.8,291.9,366.4,116.5,324.8,131.6,0.3,89.0,84.6,149.1,142.1,225.6,211.6,192.8,236.4,317.4,306.7,265.8,229.6,84.9,309.0,205.4,134.3,177.9,346.5,195.7,307.4,281.5,0.0,204.6,83.9,321.2,104.7,70.1,92.6,202.9,192.3,122.4,206.0,156.1,215.1,45.2,65.0,96.5,271.2,85.0,213.7,2048.3,108.2,121.4,218.0
PO,139.8,132.4,109.2,82.0,245.4,243.3,258.7,264.7,240.7,228.6,118.5,245.6,230.3,179.0,100.2,241.9,151.6,204.8,252.6,226.2,151.8,108.2,233.1,151.0,219.7,92.6,254.9,71.7,117.8,52.5,233.1,217.5,153.1,40.3,138.2,231.7,119.6,120.0,271.2,239.0,164.5,78.7,151.3,92.1,235.2,0.0,230.3,186.7,201.8,247.3,230.7,78.8,121.2,197.9,226.5,229.6,191.9,217.1,277.6,237.1,82.6,219.7,127.2,2004.5,246.3,257.4,32.8
PP,273.2,160.2,211.9,255.2,88.4,59.4,419.8,107.7,410.1,143.9,198.3,160.9,202.4,317.2,218.6,10.3,318.1,291.8,418.4,115.7,322.4,125.9,64.1,85.7,122.9,142.4,170.2,222.3,204.9,175.9,235.2,322.4,305.5,259.3,222.9,1.4,310.8,198.7,114.2,199.8,342.7,198.3,307.3,290.7,64.5,197.9,0.0,324.9,122.4,16.9,152.2,197.2,184.6,149.8,183.4,181.5,209.5,113.5,47.2,76.4,273.8,78.3,207.0,2075.9,167.8,100.4,212.3
PT,133.0,247.0,111.1,119.9,381.4,387.8,83.6,400.7,70.1,352.3,210.9,369.3,215.7,164.0,167.4,338.6,87.7,234.8,33.5,320.8,87.9,226.8,328.3,251.0,321.1,211.2,378.6,148.6,164.4,175.3,253.6,65.3,183.1,137.9,184.8,329.7,127.2,233.5,407.2,375.0,147.9,178.4,181.3,115.5,328.7,176.3,328.3,0.0,337.8,345.3,337.5,187.4,167.8,333.9,242.1,365.6,222.8,324.2,375.6,373.1,132.4,276.5,201.7,1906.6,337.4,393.4,175.2
QD,283.6,137.6,221.4,266.0,43.5,52.2,417.8,62.8,403.4,21.4,173.4,38.4,220.1,327.6,214.4,101.9,315.1,285.1,401.8,45.4,344.8,161.6,112.1,138.1,32.5,178.1,47.7,232.2,240.6,199.8,260.2,328.6,298.8,243.9,198.0,110.3,305.1,150.0,69.3,83.9,336.0,209.1,282.4,290.4,108.1,203.5,111.6,334.4,0.0,95.5,70.9,193.0,220.3,27.3,249.4,59.0,227.2,98.2,63.4,35.2,273.5,67.9,182.1,2054.4,50.8,55.5,231.2
