from_stop,AB,AE,AG,AJ,AN,AX,BJ,BM,BO,BZ,DG,DN,DU,DY,DZ,EK,EW,FF,FI,FK,FQ,FZ,GB,GL,HL,HQ,HV,HZ,IF,IG,IL,IN,IU,JD,JM,JO,KC,KD,KK,KP,KR,KW,KY,LH,LK,LX,LZ,MB,MI,MR,NB,NG,NK,NO,NQ,NS,NT,NV,OF,OJ,OO,PH,PI,PQ,PR,QA,QJ,QK,QX,RN,RS,RU,RV,SA,SB,SE,SF,SR,SV,SZ,TG,TJ,TW,TX,TZ,UC,UD,UX,VB,VH,VR,WA,WO,WR,WU,WV,XB,XG,XJ,XO,XU,YD,YG,YM,YO,YW,ZA,ZE,ZM
DG,514.8,663.5,541.3,678.8,625.7,351.4,451.0,573.0,847.6,25.8,0.0,326.6,655.0,511.2,608.3,642.2,694.4,399.5,395.7,188.3,531.5,635.3,586.9,118.6,650.6,513.4,883.7,325.5,591.7,924.5,588.8,646.5,518.0,7.4,362.6,544.4,469.2,153.1,474.0,879.3,509.3,532.6,593.8,480.8,474.9,111.2,856.9,870.3,457.9,518.5,822.0,474.5,825.3,201.2,596.3,487.2,109.1,587.5,457.8,810.4,133.0,436.3,490.0,880.8,253.3,586.6,532.9,287.9,516.4,113.7,600.8,126.8,731.5,419.9,474.6,379.4,906.6,801.6,1862.8,834.4,340.1,668.8,661.2,822.0,353.7,940.4,492.1,160.1,530.3,518.1,713.5,560.8,632.4,118.8,98.1,321.9,229.7,49.4,163.0,146.3,384.2,399.6,209.5,293.7,31.0,462.7,408.5,324.6,570.0
DN,935.3,1140.2,353.1,842.4,971.0,230.1,262.8,948.6,757.1,451.9,479.0,0.0,1108.0,323.0,1028.8,1062.7,1164.0,278.2,203.5,635.3,952.0,1077.6,1007.4,481.1,976.7,933.9,795.4,133.3,1034.0,834.0,1105.9,1050.2,1035.1,486.5,240.7,325.6,889.7,679.6,921.0,788.8,929.8,339.2,1014.3,292.6,286.7,473.7,768.6,779.8,878.4,330.3,733.7,895.0,695.1,648.2,1016.8,907.7,543.3,1008.0,269.6,719.9,535.5,856.8,951.7,792.5,697.3,1007.1,953.4,348.4,936.9,501.1,995.9,600.1,996.3,93.2,895.1,799.9,816.1,708.8,2082.3,682.7,147.9,1111.1,987.3,733.7,800.7,849.9,303.9,629.4,342.1,938.6,1039.6,981.3,480.7,588.1,573.8,4.6,638.2,530.2,632.3,580.6,804.7,820.1,656.5,740.7,510.1,341.4,216.3,167.6,1087.1
DU,331.5,414.0,917.4,298.7,341.8,942.4,899.7,222.4,467.5,662.5,639.2,917.6,0.0,841.8,43.2,458.9,437.8,990.5,986.7,491.8,498.5,351.4,63.1,685.7,141.4,480.4,503.6,916.5,307.8,544.4,343.9,446.4,308.9,631.7,953.0,821.2,295.1,536.1,215.1,499.2,476.3,809.4,419.2,994.3,877.2,693.1,476.8,490.2,424.9,948.4,441.9,441.5,445.2,456.2,54.4,454.2,517.1,295.9,893.3,430.3,527.3,209.6,347.9,500.7,455.0,426.4,480.1,895.7,483.4,665.7,316.9,530.6,397.5,1010.9,352.0,266.5,526.5,421.5,2473.4,457.6,931.1,384.9,129.9,441.9,293.7,560.3,965.1,580.6,932.5,246.2,73.7,269.2,867.4,561.9,547.6,912.9,602.5,588.0,592.4,539.3,351.2,246.3,513.0,363.7,608.1,1053.7,999.5,915.6,360.9
DY,767.7,850.2,73.2,552.4,681.0,437.5,55.5,658.6,467.1,628.0,655.1,341.8,818.0,0.0,861.3,895.1,874.0,485.6,410.9,811.4,973.8,787.6,881.2,657.2,686.7,955.7,505.4,340.7,744.0,544.0,815.9,882.6,745.1,662.6,448.1,35.6,799.9,855.7,1033.2,498.8,951.6,49.2,855.4,150.1,33.0,649.8,478.6,489.8,900.2,104.2,443.7,916.8,405.1,824.3,872.5,929.5,719.4,863.9,49.1,429.9,711.6,951.0,784.1,502.5,873.4,862.6,916.3,555.8,958.7,677.2,705.9,776.2,706.3,435.1,825.3,894.1,526.1,418.8,2258.4,392.7,355.3,821.1,697.3,443.7,976.8,559.9,120.9,805.5,88.3,848.8,749.6,890.6,190.7,764.2,749.9,337.1,820.5,706.3,808.4,756.7,819.4,914.3,832.6,916.8,686.2,548.8,423.7,375.0,797.1
DZ,362.9,460.7,964.1,345.4,388.5,899.1,946.4,269.1,514.2,619.2,595.9,874.3,46.6,888.5,0.0,490.3,484.5,947.2,943.4,448.5,455.2,398.1,19.8,642.4,188.0,437.1,550.3,873.2,354.5,591.1,300.6,477.8,355.6,588.4,909.7,867.9,251.8,492.8,171.8,545.9,433.0,856.1,450.6,1041.0,923.9,649.8,523.5,536.9,381.6,995.1,488.6,398.2,491.9,412.9,11.1,410.9,473.8,252.6,940.0,477.0,484.0,166.3,379.3,547.4,411.7,457.8,456.6,852.4,440.1,622.4,363.6,487.3,444.2,967.6,308.7,223.2,573.2,468.2,2430.1,504.3,887.8,431.6,176.6,488.6,250.4,607.0,1011.8,537.3,979.2,202.9,120.3,225.9,914.1,518.6,504.3,869.6,559.2,544.7,549.1,496.0,307.9,203.0,469.7,320.4,564.8,1010.4,956.2,872.3,319.4
EK,147.3,99.5,990.9,372.2,296.8,970.6,973.2,266.4,541.0,690.7,667.4,945.8,475.3,915.3,517.9,0.0,130.4,1018.7,1014.9,622.2,434.3,172.1,496.5,713.9,344.0,416.2,577.1,944.7,215.7,617.9,282.2,65.7,211.4,659.9,981.2,894.7,260.4,666.5,528.3,572.7,412.1,882.9,309.1,1067.8,950.7,721.3,550.3,563.7,360.7,1021.9,515.4,377.3,518.7,617.6,505.9,390.0,545.3,330.2,966.8,503.8,555.5,411.5,237.8,574.2,555.5,316.3,370.0,907.1,419.2,693.9,271.9,587.0,402.6,1039.1,285.8,354.6,600.0,495.0,2501.6,531.1,959.3,138.6,354.6,515.4,606.9,633.8,1038.6,631.4,1006.0,309.3,406.9,356.9,940.9,590.1,575.8,941.1,701.0,616.2,634.3,567.5,279.9,374.8,643.4,636.8,636.3,1081.9,1027.7,943.8,263.4
EW,186.5,30.8,929.8,311.1,201.0,1010.1,912.1,205.3,479.9,730.2,706.9,985.3,414.2,854.2,457.5,140.4,0.0,1058.2,1054.4,661.7,473.8,76.3,477.4,753.4,282.9,455.7,516.0,984.2,119.9,556.8,315.9,64.6,245.1,699.4,1021.3,833.6,299.9,706.0,567.8,511.6,451.6,821.8,351.3,1006.7,889.6,760.8,489.2,502.6,400.2,960.8,454.3,416.8,457.6,657.1,468.7,429.5,584.8,363.9,905.7,442.7,595.0,451.0,238.8,513.1,595.0,358.5,412.2,946.6,458.7,733.4,176.1,626.5,306.8,1078.6,325.3,394.1,538.9,433.9,2541.1,470.0,998.8,42.8,293.5,454.3,646.4,572.7,977.5,670.9,944.9,348.8,345.8,390.6,879.8,629.6,608.9,980.6,740.5,657.4,673.8,607.0,319.4,414.3,682.9,676.3,675.8,1121.4,1067.2,983.3,297.1
FF,837.5,986.2,497.7,944.6,948.4,43.7,407.4,895.7,859.3,354.1,381.2,259.0,977.7,467.6,931.0,964.9,1017.1,0.0,161.2,537.5,854.2,958.0,909.6,383.3,973.3,836.1,897.6,141.8,914.4,936.2,911.5,952.4,840.7,388.7,33.5,470.2,791.9,581.8,823.2,891.0,832.0,483.1,916.5,437.2,431.3,375.9,870.8,882.0,780.6,474.9,835.9,797.2,797.3,550.4,919.0,809.9,445.5,910.2,414.2,822.1,437.7,759.0,853.9,894.7,599.5,909.3,855.6,250.6,839.1,403.3,923.5,502.3,1054.2,352.3,797.3,702.1,918.3,811.0,1984.5,784.9,215.1,991.5,983.9,835.9,702.9,952.1,448.5,531.6,486.7,840.8,1036.2,883.5,582.9,490.3,476.0,254.3,540.4,432.4,534.5,482.8,706.9,722.3,558.7,642.9,412.3,62.0,186.1,125.5,892.7
FI,939.1,1087.8,434.3,915.3,1043.9,233.9,344.0,997.3,830.0,455.7,482.8,195.6,1079.3,404.2,1032.6,1066.5,1118.7,282.0,0.0,639.1,955.8,1059.6,1011.2,484.9,1049.6,937.7,868.3,78.4,1016.0,906.9,1013.1,1070.8,942.3,490.3,245.1,406.8,893.5,741.2,924.8,861.7,933.6,420.4,1018.1,373.8,367.9,477.5,841.5,852.7,882.2,411.5,806.6,898.8,768.0,652.0,1020.6,911.5,547.1,1011.8,350.8,792.8,539.3,860.6,914.3,865.4,701.1,1010.9,957.2,352.2,940.7,504.9,1025.1,603.9,1069.2,288.9,898.9,803.7,889.0,781.7,2086.1,755.6,151.7,1093.1,1060.2,806.6,804.5,922.8,385.1,633.2,423.3,942.4,1112.5,985.1,553.6,591.9,577.6,190.9,642.0,532.3,636.1,584.4,808.5,823.9,660.3,744.5,513.9,140.1,220.1,171.4,994.3
FK,481.9,630.6,723.2,645.9,592.8,533.3,632.9,540.1,814.7,207.7,181.8,508.5,501.4,693.1,454.7,609.3,661.5,581.4,577.6,0.0,498.6,602.4,433.3,228.3,617.7,480.5,850.8,507.4,558.8,891.6,555.9,596.8,485.1,174.3,543.9,726.3,436.3,44.2,318.9,846.4,476.4,714.5,560.9,662.7,656.8,235.7,824.0,837.4,425.0,700.4,789.1,441.6,792.4,46.1,442.7,454.3,104.2,525.9,639.7,777.5,90.3,403.4,498.3,847.9,98.2,553.7,500.0,469.8,483.5,208.3,567.9,42.0,698.6,601.8,441.7,346.5,873.7,768.7,2042.5,804.8,522.0,635.9,628.3,789.1,198.6,907.5,674.0,119.3,712.2,476.2,575.1,499.2,814.3,122.5,92.3,503.8,188.9,130.6,100.5,55.2,351.3,366.7,21.2,138.6,150.7,644.6,590.4,506.5,537.1
FQ,304.4,419.4,1053.4,434.7,381.6,846.4,946.0,328.9,603.5,566.5,543.2,821.6,506.0,977.8,459.3,398.1,450.3,894.5,890.7,498.0,0.0,391.2,437.9,589.7,406.5,17.3,639.6,820.5,347.6,680.4,344.7,385.6,273.9,523.2,857.6,957.2,221.1,548.4,469.7,635.2,21.2,945.4,159.5,975.8,1013.2,596.4,612.8,626.2,72.3,1013.5,577.9,55.7,581.2,493.4,447.3,43.0,421.1,349.0,952.8,566.3,431.3,287.3,245.9,636.7,431.3,152.3,98.6,782.9,14.5,569.7,356.7,462.8,487.4,914.9,156.4,230.4,662.5,557.5,2377.4,593.6,835.1,424.7,417.1,577.9,548.3,696.3,987.1,507.2,1068.5,270.0,469.4,322.3,1003.4,465.9,451.6,816.9,576.8,493.7,510.1,443.3,155.7,250.6,519.2,512.6,512.1,957.7,903.5,819.6,325.9
FZ,218.2,62.5,853.4,234.7,124.6,933.7,835.7,128.9,403.5,653.8,630.5,908.9,337.8,777.8,381.1,172.1,86.3,981.8,978.0,585.3,397.4,0.0,401.0,677.0,206.5,379.3,439.6,907.8,43.6,480.4,239.5,96.3,168.7,618.3,944.9,757.2,223.5,587.5,491.4,435.2,375.2,745.4,279.0,930.3,813.2,683.7,412.8,426.2,323.8,884.4,377.9,340.4,381.2,580.7,392.3,353.1,508.4,287.5,829.3,366.3,518.6,374.6,166.5,436.7,518.6,286.2,339.9,870.2,382.3,657.0,99.7,550.1,230.4,1002.2,248.9,317.7,462.5,357.5,2464.7,393.6,922.4,33.4,217.1,377.9,570.0,496.3,901.1,594.5,868.5,272.4,269.4,314.2,803.4,553.2,538.9,904.2,664.1,581.0,597.4,530.6,243.0,337.9,606.5,599.9,599.4,1045.0,990.8,906.9,220.7
GB,343.0,482.1,985.5,366.8,409.9,879.2,967.8,290.5,535.6,599.3,576.0,854.4,68.0,909.9,21.4,470.4,505.9,927.3,923.5,428.6,435.3,419.5,0.0,622.5,209.5,417.2,571.7,853.3,375.9,612.5,280.7,457.9,346.2,568.5,889.8,889.3,231.9,472.9,151.9,567.3,413.1,877.5,430.7,1008.6,945.3,629.9,544.9,558.3,361.7,1016.5,510.0,378.3,513.3,393.0,9.4,391.0,453.9,232.7,961.4,498.4,464.1,146.4,359.4,568.8,391.8,437.9,436.7,832.5,420.2,602.5,385.0,467.4,465.6,947.7,288.8,203.3,594.6,489.6,2410.2,525.7,867.9,453.0,198.0,510.0,230.5,628.4,1033.2,517.4,1000.6,183.0,141.7,206.0,935.5,498.7,484.4,849.7,539.3,524.8,529.2,476.1,288.0,183.1,449.8,300.5,544.9,990.5,936.3,852.4,299.5
GL,592.3,707.3,544.2,722.6,669.5,354.3,453.9,616.8,891.4,129.8,111.0,329.5,698.8,514.1,652.1,686.0,738.2,402.4,398.6,232.1,575.3,679.1,630.7,0.0,694.4,557.2,927.5,328.4,635.5,968.3,632.6,673.5,561.8,98.8,365.5,547.3,513.0,258.5,517.8,923.1,553.1,535.5,637.6,483.7,477.8,6.6,900.7,914.1,501.7,521.4,865.8,518.3,849.7,245.0,640.1,531.0,152.9,631.3,460.7,854.2,176.8,480.1,533.8,924.6,297.1,630.4,576.7,290.8,560.2,19.9,644.6,170.6,775.3,422.8,518.4,423.2,950.4,845.4,1851.1,837.3,343.0,712.6,705.0,865.8,397.5,984.2,495.0,203.9,533.2,561.9,757.3,604.6,635.3,162.6,130.3,324.8,272.8,93.2,206.8,190.1,428.0,443.4,253.3,337.5,79.9,465.6,411.4,327.5,613.8
HL,190.1,272.6,776.0,157.3,200.4,932.5,758.3,81.0,326.1,652.6,629.3,907.7,131.3,700.4,174.6,317.5,296.4,980.6,976.8,584.1,396.2,210.0,194.5,675.8,0.0,378.1,362.2,906.6,166.4,403.0,238.3,305.0,167.5,621.8,943.1,679.8,222.3,628.4,346.4,357.8,374.0,668.0,277.8,852.9,735.8,683.2,335.4,348.8,322.6,807.0,300.5,339.2,303.8,579.5,185.7,351.9,507.2,286.3,751.9,288.9,517.4,340.9,206.5,359.3,517.4,285.0,338.7,869.0,381.1,655.8,175.5,548.9,256.1,1001.0,247.7,316.5,385.1,280.1,2463.5,316.2,921.2,243.5,10.6,300.5,425.0,418.9,823.7,593.3,791.1,271.2,62.8,313.0,726.0,552.0,537.7,903.0,662.9,578.1,596.2,529.4,241.8,336.7,605.3,495.0,598.2,1043.8,989.6,905.7,219.5
HQ,253.3,402.0,1036.0,417.3,364.2,829.0,928.6,311.5,586.1,549.1,525.8,804.2,488.6,960.4,441.9,380.7,432.9,877.1,873.3,480.6,18.0,373.8,420.5,572.3,389.1,0.0,622.2,803.1,330.2,663.0,327.3,368.2,256.5,518.3,839.6,939.8,203.7,524.9,452.3,617.8,3.9,928.0,142.1,958.4,995.8,579.7,595.4,608.8,54.9,996.1,560.5,38.3,563.8,476.0,429.9,25.6,403.7,331.6,935.4,548.9,413.9,269.9,213.4,619.3,413.9,134.9,81.2,765.5,2.9,552.3,339.3,445.4,470.0,897.5,139.0,213.0,645.1,540.1,2360.0,576.2,817.7,407.3,399.7,560.5,530.9,678.9,969.7,489.8,1051.1,252.6,452.0,304.9,986.0,448.5,434.2,799.5,559.4,474.6,492.7,425.9,138.3,233.2,501.8,495.2,494.7,940.3,886.1,802.2,308.5
HV,416.0,498.5,587.5,200.7,329.3,869.9,569.8,306.9,137.6,878.5,855.2,856.1,466.3,511.9,509.6,543.4,522.3,918.0,925.2,810.0,622.1,435.9,529.5,901.7,335.0,604.0,0.0,855.0,392.3,214.5,464.2,530.9,393.4,835.2,881.1,491.3,448.2,832.0,681.5,169.3,599.9,479.5,503.7,664.4,547.3,908.4,22.7,160.3,548.5,618.5,56.7,565.1,115.3,805.4,520.8,577.8,733.1,512.2,563.4,100.4,743.3,599.3,391.2,67.2,743.3,510.9,564.6,968.5,607.0,881.7,354.2,774.8,354.6,949.4,473.6,542.4,196.6,91.6,2627.0,127.7,797.4,469.4,345.6,56.7,760.1,230.4,635.2,819.2,602.6,497.1,397.9,538.9,537.5,777.9,763.6,851.4,888.8,805.7,822.1,755.3,467.7,562.6,831.2,824.6,824.1,981.2,856.1,807.4,445.4
HZ,860.6,1009.3,355.8,836.8,965.4,155.4,265.5,918.8,751.5,377.2,404.3,117.1,1000.8,325.7,954.1,988.0,1040.2,203.5,70.1,560.6,877.3,981.1,932.7,406.4,971.1,859.2,789.8,0.0,937.5,828.4,934.6,975.5,863.8,411.8,166.0,328.3,815.0,604.9,846.3,783.2,855.1,341.9,939.6,295.3,289.4,399.0,763.0,774.2,803.7,333.0,728.1,820.3,689.5,573.5,942.1,833.0,468.6,933.3,272.3,714.3,460.8,782.1,877.0,786.9,622.6,932.4,878.7,273.7,862.2,426.4,946.6,525.4,990.7,210.4,820.4,725.2,810.5,703.2,2007.6,677.1,73.2,1014.6,981.7,728.1,726.0,844.3,306.6,554.7,344.8,863.9,1034.0,906.6,475.1,513.4,499.1,112.4,563.5,455.5,557.6,505.9,730.0,745.4,581.8,666.0,435.4,132.4,141.6,92.9,915.8
IF,147.7,106.1,809.8,191.1,81.0,890.1,792.1,85.3,359.9,610.2,586.9,865.3,294.2,734.2,337.5,215.7,129.9,938.2,934.4,541.7,353.8,43.6,357.4,633.4,162.9,335.7,396.0,864.2,0.0,436.8,195.9,139.9,125.1,579.4,900.7,713.6,179.9,586.0,447.8,391.6,331.6,701.8,235.4,886.7,769.6,640.8,369.2,382.6,280.2,840.8,334.3,296.8,337.6,537.1,348.7,309.5,464.8,243.9,785.7,322.7,475.0,331.0,164.1,393.1,475.0,242.6,296.3,826.6,338.7,613.4,56.1,506.5,186.8,958.6,205.3,274.1,418.9,313.9,2421.1,350.0,878.8,77.0,173.5,334.3,526.4,452.7,857.5,550.9,824.9,228.8,225.8,270.6,759.8,509.6,495.3,860.6,620.5,535.7,553.8,487.0,199.4,294.3,562.9,556.3,555.8,1001.4,947.2,863.3,177.1
