from_stop,AG,AL,AM,BA,BL,BM,CD,DE,DV,EV,FE,FJ,GJ,GO,GQ,GR,GU,HB,HE,HI,HK,HM,HS,IC,IF,IK,IW,IZ,JA,JB,JG,JH,JN,JP,JR,JS,KO,KV,KW,LB,LD,LG,LH,LO,MH,NO,OR,PO,PP,QH,QT,QX,RJ,RL,SM,SQ,TW,TY,UB,UH,VC,VD,VH,VU,XP,XX,YE,YN,YQ,YR,YT,YU,YZ,ZA,ZL,ZN,ZO,ZP,ZR,ZS,ZW
FJ,506.0,88.6,321.4,139.4,76.8,103.3,94.2,167.7,55.0,187.4,154.6,0.0,85.3,227.7,481.4,454.2,26.5,155.0,410.7,280.7,208.2,271.8,329.3,139.4,463.3,373.1,148.0,91.8,173.8,193.1,108.1,385.3,146.1,230.7,142.0,476.6,110.6,164.2,481.1,169.8,382.4,33.6,408.2,228.5,77.2,133.3,334.8,417.0,516.8,460.4,427.6,131.8,163.7,278.2,107.2,138.5,453.5,39.1,142.6,40.9,121.0,213.1,0.0,265.0,242.6,4.1,354.3,147.7,72.9,127.9,292.2,1810.2,198.7,371.6,245.1,97.3,477.5,123.3,237.0,133.0,159.2
GJ,417.5,158.2,248.4,116.3,53.7,131.8,163.8,119.8,83.5,237.8,198.3,83.2,0.0,157.0,396.2,388.1,96.1,131.9,312.1,268.8,137.5,223.9,256.3,189.8,377.9,300.5,124.9,138.3,150.7,170.0,154.5,312.3,123.0,192.6,151.4,391.2,87.5,138.4,415.0,146.7,306.7,41.6,333.3,180.6,121.7,183.7,261.8,304.1,428.3,394.3,352.1,108.7,214.1,223.2,157.6,115.4,387.4,67.6,94.7,110.5,171.4,187.3,83.2,217.1,184.5,87.4,281.6,124.6,119.4,104.8,216.6,1780.3,230.2,298.9,197.2,74.2,389.0,192.9,189.1,85.1,136.1
GO,288.9,252.7,117.0,156.3,151.7,284.3,272.8,169.1,236.0,324.1,350.8,225.4,194.7,0.0,267.6,259.5,227.5,112.0,183.5,177.9,85.4,169.0,127.7,276.1,249.3,171.9,145.6,290.8,130.8,52.9,253.5,183.7,123.1,35.5,112.8,262.6,152.2,263.0,286.4,93.2,178.1,194.1,204.7,143.7,274.2,270.0,133.2,175.5,299.7,265.7,224.1,149.4,300.4,94.6,243.9,136.1,258.8,220.1,192.7,241.9,257.7,311.9,225.4,162.2,27.4,221.1,195.4,148.1,271.9,169.5,88.0,1880.3,335.4,212.7,142.3,132.4,260.4,324.3,134.2,202.8,136.2
GQ,71.0,529.1,162.9,428.0,422.7,555.3,549.2,304.8,507.0,540.5,505.9,490.6,401.3,308.1,0.0,103.1,503.9,383.0,120.5,233.3,356.4,242.1,155.2,552.5,20.2,187.4,416.6,382.8,342.3,299.8,406.1,199.2,394.1,281.2,389.2,100.8,423.2,493.4,76.2,329.3,195.0,465.1,142.0,248.2,493.3,546.4,201.8,112.5,81.8,96.9,126.1,420.4,576.8,202.0,520.3,407.1,103.8,491.1,329.0,518.3,534.1,542.3,490.8,248.5,304.8,495.0,132.1,424.5,412.5,383.7,208.3,2004.0,611.8,114.8,215.5,403.4,42.5,550.1,224.8,338.5,407.2
GR,48.7,460.3,154.0,398.4,393.1,525.7,526.5,275.4,477.4,511.1,476.5,461.4,371.9,278.5,100.3,0.0,481.2,353.4,109.1,150.7,326.8,159.5,143.6,529.8,82.2,77.2,387.0,353.4,312.9,270.2,376.7,66.0,364.5,253.8,366.5,22.5,393.6,464.0,26.8,345.2,70.2,435.5,41.1,218.8,465.9,523.7,119.2,101.1,59.5,6.1,23.1,390.8,554.1,172.6,497.6,377.5,0.7,461.5,299.6,495.6,511.4,512.9,461.4,165.9,273.5,465.6,120.7,401.8,383.1,354.3,160.4,1931.9,589.1,102.8,201.8,373.8,50.5,520.7,212.8,309.1,377.6
GU,535.9,62.0,353.0,150.4,87.8,137.7,52.3,202.1,86.2,177.3,137.9,34.3,103.7,240.6,508.1,483.7,0.0,166.0,440.2,315.1,188.8,306.2,363.7,129.3,490.0,403.0,159.0,126.2,184.8,204.1,142.4,414.8,157.1,241.7,131.9,503.3,121.6,170.6,510.6,180.8,410.6,68.0,437.7,262.9,108.5,123.2,369.2,446.5,546.7,489.9,456.5,142.8,153.6,312.6,97.1,149.5,483.0,73.5,177.0,14.4,110.9,219.5,34.3,299.4,253.6,30.0,381.0,124.5,107.3,138.9,326.6,1794.5,187.8,398.9,279.5,108.3,507.4,96.7,271.4,167.4,170.2
HB,416.2,185.5,201.3,71.3,66.0,198.6,205.6,161.0,150.3,256.9,265.1,150.0,109.0,112.7,388.6,364.0,155.5,0.0,267.8,195.5,93.2,186.6,212.0,208.9,370.3,283.3,59.9,205.1,18.7,84.4,221.6,295.1,19.4,122.0,93.6,383.6,66.5,228.2,390.9,61.1,289.5,108.4,320.1,161.3,193.6,202.8,217.5,259.8,427.0,370.2,336.8,63.7,233.2,178.9,176.7,50.4,363.3,134.4,172.9,169.9,190.5,277.1,150.0,179.8,133.9,153.9,261.3,79.6,186.2,83.8,192.9,1905.5,268.2,278.6,159.9,46.7,387.7,252.3,153.0,183.0,32.5
HE,156.6,435.3,73.4,338.5,333.2,460.8,440.9,208.2,412.5,444.6,410.0,394.2,305.4,218.6,117.1,67.1,410.1,293.5,0.0,143.8,266.9,152.6,65.7,458.7,98.8,48.5,279.3,286.2,246.4,210.3,309.8,37.3,304.6,193.9,295.4,79.7,333.7,397.5,94.0,239.8,40.2,375.6,21.1,151.6,401.8,452.6,112.3,6.2,167.4,73.3,40.5,330.9,483.0,105.4,426.5,317.6,66.4,396.6,232.4,424.5,440.3,446.4,394.2,159.0,213.6,398.4,42.6,330.7,315.9,287.8,93.2,1914.5,518.0,25.3,126.0,313.9,140.4,454.2,137.0,241.9,317.7
HI,258.1,324.4,75.1,228.0,224.3,398.4,344.5,145.8,350.1,394.5,359.9,331.8,255.3,132.8,230.3,152.9,299.2,184.6,109.4,0.0,136.9,8.7,85.8,347.8,212.2,72.2,218.2,223.8,196.3,217.6,247.1,84.0,195.7,201.2,184.5,174.0,224.8,347.4,179.8,152.0,79.8,266.7,106.9,89.2,336.3,341.7,33.5,115.7,268.9,159.1,125.7,222.0,372.1,91.3,315.6,208.7,152.2,334.2,170.0,313.6,329.4,396.3,331.8,15.1,160.3,336.0,103.2,219.8,253.5,237.7,105.3,1802.1,407.1,121.1,71.6,205.0,229.6,396.0,82.6,179.5,208.8
HK,323.0,187.4,132.1,91.0,87.3,219.9,207.5,164.3,171.6,258.8,286.4,160.1,130.3,64.5,295.2,287.3,162.2,47.6,235.8,126.3,0.0,117.4,142.8,210.8,277.1,198.6,81.2,226.4,66.4,83.0,242.6,210.4,58.7,47.6,47.5,290.4,87.8,252.0,314.2,15.0,206.2,129.7,233.3,92.1,211.8,204.7,159.9,242.1,333.8,293.5,252.1,85.0,235.1,141.8,178.6,71.7,286.6,155.7,156.8,176.6,192.4,300.9,160.1,110.6,29.0,155.8,168.1,82.8,207.5,105.1,155.8,1828.7,270.1,186.0,90.7,68.0,294.5,259.0,82.6,166.3,71.8
HM,267.0,315.6,84.0,219.2,215.5,348.1,335.7,103.6,299.8,387.0,368.8,288.3,258.5,141.7,239.2,161.8,290.4,175.8,118.3,8.8,128.1,0.0,94.7,339.0,221.1,81.1,209.4,181.6,194.6,226.5,204.9,92.9,186.9,210.1,175.7,182.9,216.0,356.3,188.7,143.2,88.7,257.9,115.8,98.1,294.1,332.9,42.4,124.6,277.8,168.0,134.6,213.2,363.3,100.2,306.8,199.9,161.1,283.9,127.8,304.8,320.6,405.2,288.3,6.4,169.2,284.0,112.1,211.0,211.3,233.3,114.2,1793.3,398.3,130.0,80.5,196.2,238.5,387.2,91.5,137.3,200.0
HS,180.1,346.4,10.3,285.8,280.5,405.0,366.5,152.4,356.7,401.1,366.5,338.4,261.9,165.9,152.3,144.4,365.0,240.8,102.4,84.9,158.9,93.7,0.0,369.8,134.2,65.2,274.4,230.4,202.9,157.6,253.7,77.0,251.9,141.2,206.5,147.5,281.0,354.0,171.3,174.0,72.8,322.9,99.9,95.8,342.9,363.7,77.9,108.7,190.9,150.6,118.7,278.2,394.1,62.6,337.6,264.9,143.7,340.8,176.6,379.4,351.4,402.9,338.4,100.1,160.9,342.6,25.2,241.8,260.1,244.3,50.4,1848.7,429.1,43.1,60.2,261.2,151.6,410.7,71.2,186.1,265.0
IC,569.6,192.2,393.4,176.1,178.8,131.4,235.7,309.8,185.9,47.9,143.4,142.0,194.7,289.8,560.0,546.9,144.1,220.4,506.5,387.6,333.1,378.7,404.1,0.0,541.7,469.3,223.4,233.9,239.2,271.3,206.4,481.1,200.6,290.9,175.3,550.0,188.3,88.4,574.8,253.2,475.5,175.7,504.0,370.6,209.3,13.8,421.2,465.4,580.4,553.1,522.7,183.7,24.2,420.3,43.5,213.9,546.2,181.2,285.3,158.5,29.7,224.3,142.0,371.9,302.8,137.7,447.3,167.9,215.0,205.6,434.3,1824.3,120.7,464.6,352.0,193.0,541.1,156.0,343.9,275.1,188.2
IF,50.8,469.5,145.4,407.8,402.5,535.1,535.9,284.6,486.8,520.3,485.7,470.6,381.1,287.9,18.1,82.9,490.6,362.8,100.3,213.1,336.2,221.9,135.0,539.2,0.0,167.2,396.4,362.6,322.1,279.6,385.9,179.0,373.9,263.2,375.9,80.6,403.0,473.2,56.0,309.1,174.8,444.9,124.1,228.0,475.1,533.1,181.6,92.3,61.6,76.7,106.1,400.2,563.5,181.8,507.0,386.9,83.6,470.9,308.8,505.0,520.8,522.1,470.6,228.3,282.9,474.8,111.9,411.2,392.3,363.5,169.6,1983.8,598.5,94.0,195.3,383.2,22.3,529.9,206.3,318.3,387.0
IK,181.9,429.1,74.0,321.1,315.8,448.4,449.2,198.7,400.1,436.7,402.1,384.7,297.5,201.2,154.3,80.6,403.9,276.1,37.1,73.4,249.5,82.2,66.3,452.5,136.0,0.0,309.7,276.7,238.5,192.9,300.0,11.7,287.2,176.5,289.2,101.7,316.3,389.6,107.5,267.9,7.5,358.2,34.6,142.1,387.2,446.4,41.9,43.4,192.7,86.8,53.4,313.5,476.8,97.9,420.3,300.2,79.9,384.2,222.3,418.3,434.1,438.5,384.7,88.6,196.2,388.9,78.5,324.5,306.4,279.9,104.2,1872.1,511.8,62.5,124.5,296.5,153.4,446.3,133.8,232.4,300.3
IW,389.7,192.4,217.8,48.5,61.2,193.8,203.1,101.0,145.5,263.8,260.3,145.2,104.2,129.2,368.4,360.3,150.7,82.1,284.3,231.3,109.7,222.4,228.5,215.8,350.1,272.7,0.0,200.3,100.9,120.2,216.5,284.5,73.2,157.8,129.4,363.4,61.7,194.2,387.2,96.9,280.3,103.6,305.5,161.8,185.7,209.7,234.0,276.3,400.5,366.5,324.2,40.9,240.1,195.4,183.6,10.0,359.6,129.6,112.9,165.1,197.4,243.1,145.2,215.6,156.7,149.4,297.1,56.8,181.4,79.0,209.4,1833.6,275.1,314.4,195.7,41.9,361.2,247.5,187.6,123.0,86.3
IZ,414.1,137.0,226.7,230.6,168.0,174.5,186.9,75.8,126.2,193.3,189.8,107.9,94.1,186.3,389.5,362.3,134.5,196.5,318.8,188.8,148.8,179.9,237.4,247.4,371.4,281.6,156.2,0.0,215.3,205.2,23.2,293.4,207.6,194.8,196.4,384.7,201.8,146.2,389.2,163.9,289.2,124.8,316.3,136.6,112.4,241.3,242.9,325.1,424.9,368.5,335.1,223.0,215.8,186.3,215.2,166.2,361.6,110.3,50.7,148.9,229.0,195.1,107.9,173.1,176.2,112.1,262.4,231.7,29.6,164.7,200.3,1736.7,272.0,280.3,153.2,188.5,385.6,231.3,145.1,41.1,220.7
JA,354.4,202.5,182.5,88.3,83.0,215.6,222.6,178.0,167.3,273.9,282.1,167.0,126.0,93.9,332.9,325.0,172.5,16.9,249.0,205.7,74.4,203.6,193.2,225.9,314.8,237.4,76.9,222.1,0.0,101.4,238.3,249.2,36.4,129.5,110.6,328.1,83.5,209.4,351.9,78.1,245.0,125.4,270.2,178.0,207.5,219.8,198.7,241.0,365.2,331.2,289.0,80.7,250.2,160.1,193.7,67.4,324.3,151.4,190.5,186.9,207.5,258.3,167.0,196.8,121.4,170.9,218.5,96.6,203.2,100.8,174.1,1851.3,285.2,236.4,176.9,63.7,325.9,269.3,168.8,200.0,49.5
JB,331.7,241.8,188.7,128.1,122.8,255.4,261.9,209.7,207.1,313.2,321.9,206.8,165.8,40.5,303.9,279.5,212.3,83.1,236.0,182.9,56.5,174.0,184.6,265.2,285.8,198.8,116.7,261.9,101.9,0.0,278.1,210.6,94.2,41.6,101.9,299.1,123.3,303.6,306.4,82.3,206.4,165.2,233.5,148.7,247.3,259.1,213.2,242.3,342.5,285.7,252.3,120.5,289.5,178.2,233.0,107.2,278.8,191.2,213.4,226.7,246.8,352.5,206.8,167.2,53.5,210.2,176.8,136.4,243.0,140.6,166.0,1885.3,324.5,194.7,147.3,103.5,303.2,309.1,139.2,222.9,107.3
JG,435.0,113.7,250.4,224.4,161.8,168.3,142.7,96.7,120.0,187.1,183.6,101.8,115.3,207.5,410.6,383.2,128.3,217.4,339.7,209.7,169.7,200.8,258.3,241.2,392.3,302.5,177.1,20.8,236.2,226.1,0.0,314.3,228.5,217.5,217.3,405.6,195.9,140.0,410.1,184.8,311.4,118.6,339.3,157.5,109.3,235.1,263.8,346.0,446.1,389.4,355.9,216.8,209.6,207.2,209.0,223.5,382.5,104.1,72.2,142.7,222.8,188.9,101.7,194.3,195.4,105.9,283.3,232.7,23.7,212.9,200.6,1713.4,265.8,300.6,174.1,182.6,406.5,174.1,167.2,62.3,241.9
JH,170.1,440.3,87.9,332.3,327.0,459.6,460.4,209.9,411.3,447.9,413.3,395.9,308.7,212.4,142.3,68.8,415.1,287.3,25.3,84.6,260.7,93.4,77.5,463.7,124.2,11.1,320.9,287.9,249.7,204.1,311.2,0.0,298.4,187.7,300.4,89.9,327.5,400.8,95.7,279.1,4.2,369.4,22.8,153.3,400.4,457.6,53.1,31.6,180.9,75.0,41.6,324.7,488.0,109.1,431.5,311.4,68.1,395.4,234.1,429.5,445.3,449.7,395.9,99.8,207.4,400.1,68.0,335.7,317.6,291.1,96.9,1883.3,523.0,50.1,135.7,307.7,141.6,457.5,146.7,243.6,311.5
JN,407.6,166.0,192.7,69.6,77.4,210.0,186.1,172.4,161.7,237.4,271.4,138.7,120.4,112.3,380.0,355.4,140.8,19.7,311.9,186.9,60.5,178.0,203.4,189.4,361.7,274.7,71.3,216.5,38.5,75.8,232.7,286.5,0.0,113.4,63.7,375.0,77.9,277.9,382.3,52.5,280.9,119.8,309.4,152.7,201.9,183.3,220.5,318.2,418.4,361.6,328.2,75.1,213.7,198.7,157.2,61.8,354.7,145.8,184.9,155.2,171.0,296.9,138.7,171.2,125.3,134.4,252.7,61.4,197.6,95.2,192.1,1898.5,248.7,270.0,151.3,58.1,379.1,237.6,144.4,194.4,13.0
JP,314.7,262.9,175.3,166.5,161.9,294.5,268.5,193.8,246.2,334.3,361.0,235.6,204.9,24.6,287.1,262.5,237.7,122.2,217.2,170.1,95.6,161.2,167.6,288.5,268.8,181.8,155.8,254.4,141.0,63.1,317.5,193.6,133.3,0.0,125.2,280.3,162.4,287.7,289.4,103.4,190.7,204.3,218.6,135.9,289.5,280.2,196.2,225.3,323.7,268.7,235.2,161.8,310.6,161.2,254.1,146.3,261.8,230.3,200.0,252.1,267.9,336.6,235.6,154.4,21.3,233.5,159.8,158.3,282.1,179.7,112.7,1872.5,345.6,175.3,134.5,144.8,286.2,334.5,127.6,210.1,146.4
JR,394.2,139.8,235.6,43.4,101.0,213.8,145.4,191.8,164.0,211.2,245.2,112.7,124.2,114.4,384.3,371.5,114.6,62.6,331.1,229.8,103.4,220.9,246.3,163.2,366.3,293.9,90.7,204.4,81.4,95.9,220.9,305.7,42.8,115.5,0.0,374.6,83.5,251.7,399.4,95.4,300.1,123.6,328.6,195.6,186.3,157.1,247.7,290.0,405.0,377.7,347.3,51.0,187.5,209.1,131.0,81.2,370.8,149.6,203.7,129.0,144.8,297.3,112.5,214.1,129.1,108.2,271.9,35.2,185.5,100.8,261.1,1872.3,222.5,289.2,194.2,88.2,365.7,211.4,186.1,245.6,30.4
JS,81.3,453.4,144.6,406.4,401.6,475.9,522.9,268.5,472.8,504.2,469.6,454.5,365.0,287.0,107.5,32.5,477.6,361.9,102.2,161.8,335.3,170.6,136.9,526.2,89.2,88.3,338.9,346.5,306.0,278.7,369.8,77.1,373.0,260.1,362.9,0.0,402.1,457.1,59.4,353.7,81.6,444.0,49.9,211.9,457.0,520.1,130.3,94.2,92.1,38.7,33.6,399.3,550.5,165.7,494.0,386.0,31.8,456.9,292.7,492.0,507.8,506.0,454.5,177.0,282.0,458.7,113.8,398.2,376.2,347.4,153.5,1909.3,585.5,96.5,197.2,382.3,83.1,513.8,208.2,302.2,386.1
KO,456.7,164.3,241.8,71.2,21.9,154.5,163.8,129.6,106.2,235.7,221.0,105.9,64.9,157.8,429.1,404.5,111.4,86.8,312.9,236.0,138.3,227.1,252.5,187.7,410.8,323.8,79.8,161.0,105.6,124.9,177.2,335.6,77.9,162.5,115.0,424.1,0.0,183.7,431.4,101.6,331.4,64.3,358.5,190.4,144.4,181.6,262.6,304.9,467.5,410.7,377.3,63.6,212.0,224.0,155.5,70.3,403.8,90.3,142.1,125.8,169.3,232.6,105.9,220.3,174.4,110.1,301.8,79.5,142.1,17.2,217.4,1861.4,247.0,319.1,200.4,29.1,428.2,208.2,193.5,150.1,91.0
KV,523.6,102.7,351.7,273.5,210.9,125.2,146.2,214.0,125.8,46.0,138.8,168.8,219.4,263.1,502.1,494.2,167.5,291.3,418.2,327.0,243.6,318.1,362.4,97.1,484.0,406.6,324.9,138.1,310.1,316.1,117.2,418.4,302.4,298.7,291.2,497.3,244.7,0.0,521.1,258.7,414.2,167.7,439.4,274.8,119.9,111.0,367.9,410.2,534.4,500.4,458.2,265.9,68.5,324.5,155.5,315.4,493.5,141.7,188.9,152.4,169.3,180.3,168.8,311.3,290.6,173.0,387.7,251.9,126.3,262.0,338.5,1759.8,221.0,405.6,291.4,231.4,495.1,163.1,283.3,179.3,315.5
KW,21.8,487.2,175.8,425.3,420.0,552.2,553.4,299.6,503.9,538.0,503.4,485.6,398.8,305.4,73.4,26.8,508.1,380.3,130.7,177.6,353.7,186.4,165.4,556.7,55.3,104.1,413.9,377.6,339.8,297.1,400.9,92.9,391.4,280.7,393.4,49.4,420.5,490.9,0.0,372.1,97.1,462.4,68.0,243.0,490.1,550.6,146.1,122.7,32.6,20.6,50.0,417.7,581.0,196.8,524.5,404.4,27.5,488.0,323.8,522.5,538.3,539.8,485.6,192.8,300.4,489.8,142.3,428.7,407.3,381.2,184.6,1958.8,616.0,124.4,225.7,400.7,23.6,547.6,236.7,333.3,404.5
LB,338.1,172.3,147.2,75.9,133.5,246.3,192.4,179.4,196.5,243.7,277.7,145.0,156.7,79.6,310.3,302.4,147.1,95.1,250.9,141.4,15.0,132.5,157.9,195.7,292.2,213.7,123.2,236.9,113.9,48.3,253.1,225.5,75.3,62.7,32.4,305.5,116.0,284.2,329.3,0.0,221.3,156.1,248.4,107.2,218.8,189.6,175.0,257.2,348.9,308.6,267.2,83.5,220.0,156.9,163.5,113.7,301.7,182.1,171.9,161.5,177.3,316.0,145.0,125.7,44.1,140.7,183.2,67.7,218.0,133.3,170.9,1843.8,255.0,201.1,105.8,120.7,309.6,243.9,97.7,181.4,62.9
LD,174.3,436.1,82.4,328.1,321.5,455.4,454.9,205.7,407.1,443.7,409.1,391.7,304.5,208.2,146.7,73.0,410.9,281.8,29.8,80.4,256.5,89.2,73.3,458.2,128.4,6.9,315.4,283.7,245.5,199.9,305.7,4.2,292.9,182.2,294.9,94.4,322.0,396.6,99.9,274.9,0.0,365.2,27.3,149.1,396.2,453.4,48.9,35.8,185.1,79.2,45.8,320.5,483.8,104.9,427.3,307.2,72.3,391.2,228.6,425.3,441.1,445.5,391.7,96.9,201.9,395.9,72.2,331.5,312.1,286.9,91.4,1879.1,520.1,55.2,130.2,304.8,145.8,453.3,141.2,240.7,306.0
