from_stop,AI,BB,CP,CZ,DM,DS,EB,EC,ER,ET,FI,FP,FQ,GE,GL,HM,IK,IN,IS,IT,JL,JS,KM,LT,LW,MS,MT,NW,OE,OG,PA,PD,PY,QV,QY,SF,SP,SU,TF,TH,TS,UO,UV,VC,VJ,VZ,WS,XF,YQ,YX,ZH,ZI,ZQ
IN,406.6,2449.7,164.3,104.6,325.7,200.2,329.9,137.1,412.4,51.4,230.9,272.1,264.9,136.3,279.9,13.3,614.7,0.0,413.1,190.0,484.8,39.8,423.4,274.7,483.8,142.1,250.8,355.2,15.9,241.3,281.5,312.6,70.6,149.8,162.7,242.8,523.4,291.0,255.7,229.6,469.7,324.8,272.2,294.9,402.2,466.5,304.9,291.1,450.8,514.0,360.7,299.9,157.4
IS,154.9,2838.2,489.5,423.2,612.3,218.8,607.6,525.6,264.1,432.6,535.5,505.0,564.0,402.3,584.5,422.9,363.0,388.4,0.0,306.4,225.5,428.2,60.5,583.7,120.9,408.1,172.5,103.5,419.9,545.9,559.2,599.2,460.6,457.0,469.9,180.1,160.5,239.0,560.3,534.2,225.7,602.5,549.9,609.7,39.3,103.6,582.6,568.8,87.9,262.3,62.3,577.6,482.6
IT,243.0,2609.5,260.8,194.5,383.6,36.6,378.9,296.9,248.8,203.9,306.8,276.3,340.8,173.6,355.8,174.0,451.1,159.7,249.5,0.0,313.6,199.5,259.8,356.1,320.2,179.4,87.5,191.6,145.9,317.2,331.5,370.5,231.9,228.3,241.2,79.2,359.8,184.9,313.8,305.5,306.1,365.6,321.2,381.0,238.6,302.9,353.9,340.0,287.2,350.4,197.1,348.9,253.9
JL,56.6,2880.0,531.3,465.0,642.6,260.6,649.4,584.3,305.9,481.2,584.1,546.8,605.8,432.6,643.2,444.6,227.8,418.7,200.1,348.2,0.0,470.0,193.5,630.9,253.9,449.9,214.6,99.1,461.7,591.4,601.0,641.0,502.4,515.7,516.5,221.9,293.5,280.8,590.6,576.0,358.7,644.3,591.7,655.4,160.8,236.6,641.3,610.6,209.4,144.0,130.8,619.4,512.9
JS,366.7,2532.3,183.6,64.7,306.4,160.3,301.7,219.7,372.5,74.1,229.6,199.1,263.6,96.4,278.6,96.8,574.8,82.5,373.2,150.1,437.3,0.0,383.5,278.9,443.9,102.2,211.2,315.3,129.3,240.0,254.3,293.3,117.8,151.1,168.8,202.9,483.5,251.1,236.6,228.3,429.8,288.4,244.0,303.8,362.3,426.6,276.7,262.8,410.9,474.1,320.8,271.7,176.7
KM,145.2,2828.5,479.8,413.5,602.6,209.1,597.9,515.9,232.7,422.9,525.8,495.3,559.8,392.6,574.8,393.0,353.3,378.7,70.5,296.7,215.8,418.5,0.0,575.1,60.3,398.4,162.8,93.8,364.9,536.2,550.5,589.5,450.9,447.3,465.0,170.4,99.9,229.3,532.8,524.5,165.1,584.6,540.2,600.0,21.1,43.0,572.9,559.0,27.3,252.6,52.6,567.9,472.9
LT,624.4,2662.3,125.4,322.4,88.6,418.0,65.6,180.9,630.2,331.8,62.2,169.8,111.3,306.0,85.4,261.9,832.5,261.9,631.8,407.8,714.0,257.6,641.2,0.0,701.6,303.4,468.6,573.0,249.3,93.4,37.5,71.8,375.5,130.0,116.3,460.6,736.9,504.5,18.6,73.7,687.5,64.2,45.9,71.6,615.7,684.3,39.5,26.8,664.3,732.7,578.5,34.5,172.3
LW,194.8,2878.1,529.4,463.1,652.2,258.7,647.5,565.5,172.3,472.5,575.4,544.9,609.4,442.2,624.4,442.6,402.9,428.3,120.1,346.3,265.4,468.1,49.5,624.7,0.0,448.0,212.4,143.4,414.5,585.8,600.1,639.1,500.5,496.9,514.6,220.0,50.4,278.9,582.4,574.1,104.7,634.2,589.8,649.6,70.7,16.4,622.5,608.6,32.1,302.2,102.2,617.5,522.5
MS,443.6,2517.2,161.6,141.6,284.4,237.2,279.7,204.6,449.4,120.4,207.6,177.1,241.6,6.8,256.6,81.7,651.7,67.4,450.1,227.0,514.2,76.8,460.4,256.9,520.8,0.0,288.1,392.2,72.9,218.0,232.3,271.3,139.6,129.1,146.8,279.8,560.4,328.0,214.6,206.3,506.7,266.4,222.0,281.8,439.2,503.5,254.7,240.8,487.8,551.0,397.7,249.7,154.7
MT,155.4,2665.6,316.9,250.6,439.7,46.2,435.0,352.7,161.2,259.7,362.9,332.4,391.4,229.4,411.6,230.2,363.5,215.5,161.9,133.8,245.0,255.6,172.2,416.5,232.6,235.5,0.0,104.0,247.3,376.7,386.6,426.6,288.0,284.1,297.3,7.5,272.2,97.3,387.7,361.6,218.5,429.9,377.3,441.0,151.3,215.3,409.7,396.2,199.9,262.8,109.5,404.7,309.7
NW,51.3,2780.8,432.1,365.8,554.9,161.4,550.2,468.2,206.7,375.2,478.1,447.6,512.1,344.9,527.1,345.3,259.4,331.0,84.0,249.0,121.9,370.8,94.3,527.4,154.7,350.7,115.1,0.0,317.2,488.5,502.8,541.8,403.2,399.6,412.5,122.7,194.3,181.6,485.1,476.8,259.5,536.9,492.5,552.3,73.1,137.4,525.2,511.3,121.7,158.7,31.6,520.2,425.2
OE,387.0,2463.5,178.1,85.0,314.7,180.6,343.7,150.9,392.8,94.4,237.9,285.9,273.2,120.3,292.0,28.0,595.1,12.0,393.8,170.4,476.6,20.2,403.8,288.5,464.2,122.5,231.5,335.6,0.0,258.8,295.3,326.4,85.9,163.5,177.1,223.2,491.8,259.4,262.7,241.7,450.1,338.5,286.0,308.7,382.9,446.9,318.7,304.8,431.2,498.0,341.1,280.0,185.0
OG,594.5,2632.4,113.5,292.5,122.5,388.1,104.5,146.7,600.3,298.5,49.4,139.9,32.6,289.8,44.2,236.5,802.6,232.9,601.3,377.9,665.1,227.7,611.3,73.5,671.7,282.9,439.0,543.1,223.8,0.0,113.5,148.8,345.6,104.7,91.4,430.7,707.9,475.5,54.5,11.6,657.6,96.0,111.1,63.4,586.7,654.4,101.0,100.4,635.3,698.5,548.6,105.8,159.8
PA,613.6,2669.5,150.0,311.6,83.0,407.2,47.3,168.2,619.4,320.0,85.9,159.0,93.0,334.9,68.2,255.4,821.7,254.4,619.1,397.0,703.2,246.8,630.4,28.8,690.8,328.0,457.8,562.2,238.5,118.0,0.0,71.5,364.7,123.5,104.5,449.8,729.4,497.0,50.3,115.5,676.7,42.2,9.3,53.3,608.2,673.5,22.3,8.5,656.8,720.0,567.7,17.3,196.0
PD,649.6,2637.7,230.0,347.6,13.0,443.2,71.5,205.2,655.4,357.0,165.9,195.0,92.5,391.0,74.4,291.6,857.7,291.4,656.1,433.0,720.2,282.8,666.4,104.5,726.8,384.1,494.1,598.2,278.9,140.1,78.2,0.0,400.7,159.5,141.5,485.8,766.4,534.0,143.1,121.7,712.7,58.2,87.6,55.6,645.2,709.5,51.4,67.8,693.8,757.0,603.7,56.2,276.0
PY,480.1,2543.0,257.6,127.1,401.8,273.7,397.1,230.4,485.9,43.6,324.2,365.4,358.2,191.8,373.2,107.5,688.2,93.2,486.6,263.5,550.7,114.6,496.9,374.3,557.3,197.6,324.6,428.7,94.3,334.6,349.7,388.7,0.0,246.5,259.4,316.3,596.9,364.5,331.2,322.9,543.2,383.8,339.4,399.2,475.7,540.0,372.1,358.2,524.3,587.5,434.2,367.1,250.7
QV,490.0,2592.3,142.5,188.0,155.2,283.6,150.5,45.6,495.8,197.4,78.4,35.4,106.9,203.3,127.4,131.3,698.1,131.8,496.5,273.4,547.7,123.2,506.8,132.0,567.2,196.4,334.2,438.6,119.3,92.5,102.1,142.1,241.1,0.0,13.1,326.2,606.8,374.4,103.2,77.1,553.1,145.4,92.8,155.1,485.6,549.9,125.5,111.7,534.2,597.4,444.1,120.5,83.9
QY,503.0,2610.3,129.6,201.0,137.5,296.6,137.6,58.6,508.8,210.4,65.5,48.4,89.2,221.3,109.7,145.0,711.1,144.8,509.5,291.4,578.6,136.2,524.8,114.3,585.2,209.4,352.5,451.6,132.4,79.3,89.2,129.2,259.1,12.9,0.0,339.2,619.8,392.4,90.3,64.2,566.1,132.5,75.1,134.9,503.6,562.9,107.8,98.8,552.2,610.4,457.1,102.8,96.9
SF,163.7,2658.0,309.3,243.0,432.1,38.6,427.4,345.4,169.5,252.4,355.3,324.8,389.3,222.1,404.3,222.5,371.8,208.2,170.2,126.2,234.3,248.0,180.5,404.6,240.9,227.9,8.3,112.3,194.4,365.7,380.0,419.0,280.4,276.8,289.7,0.0,280.5,105.6,362.3,354.0,226.8,414.1,369.7,429.5,159.3,223.6,402.4,388.5,207.9,271.1,117.8,397.4,302.4
SP,221.2,2904.5,555.8,489.5,678.6,285.1,673.9,591.9,229.6,498.9,601.8,571.3,635.8,468.6,650.8,468.1,429.3,454.7,146.5,372.7,291.8,494.5,75.9,650.0,57.2,474.4,238.8,169.8,486.2,612.2,625.5,665.5,526.9,523.3,536.2,246.4,0.0,305.3,626.6,600.5,162.0,668.8,616.2,676.0,97.1,42.8,648.9,635.1,58.5,328.6,128.6,643.9,548.9
SU,205.5,2726.6,377.9,311.6,500.7,107.2,496.0,414.0,211.3,321.0,423.9,393.4,457.9,290.7,472.9,290.2,413.6,276.8,212.0,194.8,283.7,316.6,222.3,472.1,282.7,296.5,60.9,154.1,264.7,434.3,448.6,487.6,349.0,345.4,363.1,68.5,322.3,0.0,448.7,422.6,268.6,490.9,438.3,498.1,201.1,265.4,471.0,457.2,249.7,312.9,159.6,466.0,371.0
TF,598.6,2636.5,99.6,296.6,107.6,392.2,88.3,154.2,604.4,306.0,35.5,144.0,82.0,284.5,109.2,240.6,806.7,240.4,605.1,382.0,656.3,231.8,615.4,16.4,675.8,277.6,442.8,547.2,230.8,67.6,59.2,94.5,349.7,108.5,95.5,434.8,715.4,483.0,0.0,52.2,661.7,83.2,68.6,90.4,594.2,658.5,63.3,49.5,642.8,706.0,552.7,58.3,145.6
TH,579.4,2617.3,98.4,277.4,124.8,373.0,107.1,135.0,585.2,286.8,34.3,124.8,35.2,284.9,50.2,213.6,787.5,221.2,585.9,362.8,657.6,212.6,596.2,62.7,656.6,278.0,423.6,528.0,208.8,11.6,98.4,133.7,330.5,89.3,76.3,415.6,696.2,463.8,39.1,0.0,642.5,102.0,96.0,65.2,575.0,639.3,102.5,88.7,623.6,686.8,533.5,97.5,144.4
TS,284.7,2903.7,555.0,488.7,677.8,284.3,673.1,591.1,67.5,498.1,601.0,570.5,635.0,467.8,650.0,468.2,492.8,453.9,210.0,371.9,355.3,493.7,139.4,650.3,89.8,473.6,238.0,233.3,440.1,611.4,625.7,664.7,526.1,522.5,535.4,245.6,140.3,304.5,608.0,599.7,0.0,659.8,615.4,675.2,160.6,106.3,648.1,634.2,122.0,392.1,192.1,643.1,548.1
UO,660.6,2724.6,198.7,358.6,55.9,454.2,5.1,216.2,666.4,368.0,134.6,206.0,79.2,361.5,61.1,302.6,868.7,302.4,667.1,444.0,738.8,293.8,677.4,72.1,737.8,354.6,504.8,609.2,290.0,95.5,46.9,100.2,411.7,170.5,157.5,496.8,777.4,545.0,99.0,107.2,723.7,0.0,56.3,42.3,656.2,720.5,20.1,36.3,704.8,768.0,614.7,24.9,244.7
UV,604.2,2660.1,160.3,302.2,93.3,397.8,57.6,159.8,610.0,311.6,96.2,149.6,96.6,317.5,78.5,246.2,812.3,246.0,610.7,387.6,674.8,237.4,621.0,34.8,681.4,310.6,448.7,552.8,233.5,124.6,10.3,81.8,355.3,114.1,101.1,440.4,721.0,488.6,80.7,125.8,667.3,44.3,0.0,59.7,599.8,664.1,32.6,18.7,648.4,711.6,558.3,27.6,206.3
VC,643.0,2680.9,162.0,341.0,55.3,436.6,40.3,201.1,648.8,352.9,96.5,188.4,34.3,331.4,16.2,284.8,851.1,283.4,648.1,426.4,713.6,276.2,659.8,93.3,720.2,325.9,487.5,591.6,272.3,80.0,67.0,71.2,394.1,151.5,133.5,479.2,758.4,529.9,105.2,66.0,706.1,32.5,76.4,0.0,638.6,702.9,37.5,53.7,689.7,752.9,597.1,42.3,208.0
VJ,124.0,2807.3,458.6,392.3,581.4,187.9,576.7,494.7,233.2,401.7,504.6,474.1,533.1,371.4,551.2,372.3,332.1,357.5,49.3,275.5,194.6,397.3,21.1,552.8,81.5,377.2,141.6,72.6,389.0,515.0,528.3,568.3,429.7,426.1,439.0,149.2,121.1,208.1,529.4,503.3,186.3,571.6,519.0,582.7,0.0,64.2,551.7,537.9,48.5,231.4,31.4,546.7,451.7
VZ,178.3,2861.6,512.9,446.6,635.7,242.2,631.0,549.0,189.6,456.0,558.9,528.4,592.9,425.7,607.9,426.1,386.4,411.8,103.6,329.8,248.9,451.6,33.0,608.2,17.2,431.5,195.9,126.9,398.0,569.3,583.6,622.6,484.0,480.4,493.3,203.5,56.8,262.4,565.9,557.6,122.0,617.7,573.3,633.1,54.2,0.0,606.0,592.1,15.7,285.7,85.7,601.0,506.0
WS,640.4,2710.5,178.5,338.4,60.6,434.0,24.9,196.0,646.2,347.8,114.4,185.8,70.6,362.4,45.8,281.7,848.5,282.2,646.9,423.8,711.0,273.6,657.2,51.9,717.6,355.5,484.9,589.0,265.3,111.7,26.7,80.0,391.5,150.3,132.3,476.6,757.2,524.8,78.8,93.1,703.5,19.8,36.1,30.9,636.0,700.3,0.0,16.1,684.6,747.8,594.5,4.7,224.5
XF,624.2,2680.1,162.3,322.2,74.4,417.8,38.7,179.8,630.0,331.6,98.2,169.6,84.4,347.2,59.6,266.0,832.3,266.0,630.7,407.6,681.9,257.4,641.0,35.7,701.4,340.3,468.7,572.8,255.2,129.2,10.5,63.8,375.3,134.1,116.1,460.4,741.0,508.6,62.6,106.9,687.3,33.6,19.9,40.8,619.8,684.1,13.7,0.0,668.4,731.6,578.3,8.7,208.3
YQ,162.6,2845.9,497.2,430.9,620.0,226.5,615.3,533.3,205.3,440.3,543.2,512.7,577.2,410.0,592.2,416.0,370.7,396.1,87.9,314.1,240.8,435.9,17.3,592.5,32.9,415.8,180.5,111.2,384.0,553.6,566.9,606.9,468.3,464.7,477.6,187.8,72.5,246.7,568.0,541.9,137.7,610.2,557.6,617.4,38.5,15.7,590.3,576.5,0.0,270.0,70.0,585.3,490.3
YX,80.3,2903.7,555.0,488.7,677.8,284.3,673.1,591.1,329.6,498.1,601.0,570.5,635.0,467.8,650.0,467.3,100.6,453.9,206.9,371.9,91.6,493.7,217.2,649.2,277.6,473.6,238.0,122.8,440.2,611.4,624.7,664.7,526.1,522.5,535.4,245.6,317.2,304.5,625.8,599.7,382.4,668.0,615.4,675.2,196.0,260.3,648.1,634.3,244.6,0.0,154.5,643.1,548.1
ZH,92.5,2775.8,427.1,360.8,549.9,156.4,545.2,463.2,201.7,370.2,473.1,442.6,507.1,339.9,522.1,340.3,300.6,326.0,52.3,244.0,163.1,365.8,62.6,522.4,123.0,345.7,110.1,41.1,312.2,483.5,497.8,536.8,398.2,394.6,407.5,117.7,162.6,176.6,480.1,471.8,227.8,531.9,487.5,547.3,41.4,105.7,520.2,506.3,90.0,199.9,0.0,515.2,420.2
ZI,635.6,2691.5,173.7,333.6,65.6,429.2,29.9,191.2,641.4,343.0,109.6,181.0,75.6,358.6,50.8,277.4,843.7,277.4,642.1,419.0,706.2,268.8,652.4,48.2,712.8,351.7,480.1,584.2,260.5,116.7,21.9,75.2,386.7,145.5,132.5,471.8,752.4,520.0,74.0,98.1,698.7,24.8,31.3,32.0,631.2,695.5,4.5,11.3,679.8,743.0,589.7,0.0,219.7
ZQ,608.8,2682.4,143.6,306.8,238.6,402.4,202.9,182.5,614.6,285.6,244.8,274.3,149.0,172.0,164.0,246.9,816.9,232.6,615.3,392.2,698.4,242.0,625.6,212.2,686.0,165.1,453.0,557.4,233.7,146.8,268.5,308.5,304.8,166.3,184.0,445.0,725.6,493.2,188.6,149.4,671.9,208.3,259.2,179.0,604.4,668.7,220.8,278.1,653.0,716.2,562.9,225.6,0.0
