from_stop,AB,AD,AJ,AQ,AW,BD,BT,CE,CH,CK,CR,CZ,DD,DK,DM,DP,EE,EI,EV,FF,FQ,GC,GT,IJ,JF,JQ,JV,KG,KH,KV,LJ,LP,MU,NH,NW,OF,QL,QO,QR,RB,RM,RX,SN,SX,SY,TB,TK,TN,TO,UL,UO,UV,UY,VA,VM,VS,WD,WM,WO,XX,YN,YR,YZ,ZC,ZI
CR,574.8,57.6,597.5,121.1,651.2,521.3,518.1,293.3,623.1,350.6,0.0,61.7,464.1,2317.4,288.7,584.3,260.1,69.1,520.4,579.9,619.0,433.6,627.6,494.7,564.0,468.3,635.6,132.1,490.0,264.6,622.5,449.8,370.1,303.2,517.2,676.6,517.2,272.0,512.9,675.6,490.0,614.0,518.4,645.5,584.6,512.3,110.3,33.1,581.0,588.2,589.7,408.0,488.7,571.6,441.4,96.3,321.4,653.4,556.3,425.8,178.3,645.2,531.6,640.0,473.7
CZ,490.0,5.9,535.7,59.3,589.4,459.5,455.8,237.2,561.3,281.9,70.0,0.0,383.3,2255.6,226.9,510.5,198.3,70.0,446.6,516.2,571.0,371.8,565.8,432.9,502.2,406.5,573.8,70.3,428.2,183.8,560.7,388.0,308.3,241.4,455.4,614.8,455.4,191.2,432.1,601.8,428.3,534.5,455.8,564.7,522.8,438.5,48.5,28.6,516.8,526.4,527.9,327.2,426.9,509.8,379.6,97.2,259.6,591.6,494.5,364.0,116.5,583.4,469.8,586.8,411.9
DD,216.2,399.9,261.9,353.7,486.7,185.7,388.5,186.4,458.6,321.4,464.1,394.0,0.0,2180.7,151.2,442.7,258.5,464.1,378.8,438.0,283.4,98.0,292.0,365.1,118.8,338.7,486.9,364.7,360.4,273.0,533.8,320.2,109.6,293.0,387.6,341.0,387.6,386.7,364.3,328.0,360.5,266.4,388.8,324.5,249.0,370.7,386.3,422.6,233.4,364.2,310.0,206.2,359.1,236.0,311.8,491.3,156.6,317.8,426.7,296.2,261.6,309.6,196.0,304.4,344.1
DK,1938.5,2258.4,1977.3,2212.2,1940.7,1954.1,1826.2,1999.4,1912.6,2152.2,2322.6,2252.5,2148.9,0.0,2200.8,1943.8,2183.4,2322.6,1837.0,1886.6,1957.4,2041.8,1936.4,1897.0,2267.8,1842.7,1877.5,2223.2,1970.3,2197.9,1924.4,1853.5,2039.2,2111.7,1825.8,1960.2,1825.8,2253.3,1880.3,1994.8,1970.4,1880.2,1826.2,1874.2,1892.3,1886.7,2244.8,2281.1,1898.5,1835.9,1954.4,2301.1,1875.1,1962.4,1960.7,2349.8,2233.5,2033.2,1958.6,1976.6,2120.1,1890.5,1943.8,1929.2,1939.7
DM,295.9,248.6,341.6,202.4,566.4,265.4,439.9,221.3,538.3,266.0,312.8,242.7,156.3,2260.4,0.0,494.6,107.2,312.8,430.7,500.3,376.9,177.7,371.7,417.0,275.2,390.6,566.6,213.4,412.3,121.7,544.8,372.1,189.3,225.5,439.5,420.7,439.5,235.4,416.2,406.3,412.4,340.4,439.9,404.2,328.7,422.6,235.0,271.3,322.7,443.9,389.7,100.2,411.0,315.7,363.7,340.0,32.6,397.5,478.6,348.1,110.3,389.3,275.7,392.7,396.0
DP,337.0,535.9,381.6,489.7,295.1,358.4,161.1,282.6,267.0,417.6,600.1,530.0,426.4,2109.1,478.3,0.0,460.9,600.1,152.3,204.8,347.9,380.2,287.5,174.5,545.3,112.2,68.9,500.7,233.4,475.4,50.1,131.0,316.7,389.2,161.1,364.5,161.1,530.8,80.2,392.4,233.4,277.8,161.5,270.4,296.6,73.8,522.3,558.6,312.4,232.1,269.5,578.6,85.4,358.6,192.0,627.3,511.0,437.5,236.1,300.4,397.6,286.7,348.1,291.9,202.8
EE,413.2,211.2,458.9,165.0,536.1,382.7,402.5,183.9,508.0,216.5,275.4,205.3,273.6,2361.3,117.2,457.2,0.0,275.4,393.3,462.9,494.2,295.0,489.0,379.6,392.5,353.2,520.5,176.0,374.9,14.4,507.4,334.7,255.0,188.1,402.1,538.0,402.1,128.1,378.8,523.6,375.0,457.7,402.5,521.5,446.0,385.2,197.6,233.9,440.0,473.1,474.6,217.5,373.6,433.0,326.3,302.6,149.9,514.8,441.2,310.7,72.9,506.6,393.0,510.0,358.6
EI,560.4,64.4,606.1,129.7,659.8,529.9,526.2,307.6,631.7,352.3,57.7,70.3,453.7,2326.0,297.3,580.9,268.7,0.0,517.0,586.6,641.4,442.2,636.2,503.3,572.6,476.9,644.2,140.7,498.6,254.2,631.1,458.4,378.7,311.8,525.8,685.2,525.8,261.6,502.5,672.2,498.7,604.9,526.2,635.1,593.2,508.9,118.9,41.7,587.2,596.8,598.3,397.6,497.3,580.2,450.0,27.2,330.0,662.0,564.9,434.4,186.9,653.8,540.2,657.2,482.3
EV,263.4,465.4,282.2,419.2,148.8,279.0,14.8,212.1,120.7,359.2,545.7,459.5,355.9,2012.8,407.8,217.5,390.4,529.6,0.0,58.5,289.7,309.7,186.3,104.0,474.8,49.7,151.2,430.2,177.3,404.9,198.1,60.5,246.2,318.7,14.8,347.3,14.8,460.3,87.3,244.7,177.4,181.5,15.2,124.1,255.3,93.7,451.8,488.1,239.7,85.8,204.3,508.1,82.1,212.3,167.7,556.8,440.5,338.1,165.6,183.6,327.1,140.4,268.7,145.6,146.7
FF,291.8,494.6,287.6,448.4,154.2,284.4,40.7,241.3,126.1,376.3,574.9,488.7,385.1,2062.0,437.0,205.0,419.6,558.8,55.2,0.0,295.1,338.9,191.7,133.2,504.0,78.9,200.4,459.4,206.5,434.1,247.3,89.7,275.4,347.9,41.1,352.7,41.1,489.5,116.5,250.1,206.6,278.1,40.7,129.5,260.7,122.9,481.0,517.3,245.1,91.2,209.7,537.3,111.3,217.7,196.9,586.0,469.7,343.5,194.8,212.8,356.3,145.8,274.1,151.0,175.9
FQ,70.6,601.3,133.2,555.1,346.2,110.0,231.3,348.0,318.1,483.0,681.6,595.4,275.8,1976.8,380.4,349.3,487.7,665.5,242.5,275.0,0.0,197.7,159.3,283.7,394.7,248.2,283.0,566.1,375.8,502.2,329.9,259.0,271.2,454.6,231.3,137.1,231.3,596.2,285.8,193.9,375.8,62.5,232.5,191.8,45.1,292.2,587.7,624.0,64.0,231.5,177.3,435.4,280.6,103.3,366.2,692.7,385.8,189.1,345.3,382.1,463.0,176.9,99.7,171.7,345.2
GC,130.5,403.5,163.8,357.3,388.6,87.7,336.4,150.2,360.5,297.3,467.7,397.6,78.0,2082.6,182.6,455.1,289.9,467.7,351.2,339.9,185.3,0.0,193.9,318.3,196.9,302.5,388.8,368.3,324.2,304.4,435.7,284.0,73.4,256.8,336.4,242.9,336.4,398.4,328.1,228.5,324.3,168.3,336.7,226.4,150.9,334.5,389.9,426.2,135.3,266.1,211.9,237.6,322.9,137.9,275.6,494.9,188.0,219.7,379.9,260.0,265.2,211.5,97.9,206.3,307.9
GT,125.3,525.5,144.1,479.3,222.9,140.9,171.0,266.5,194.8,419.3,589.7,519.6,306.7,2048.9,411.3,271.8,450.5,589.7,185.5,191.3,165.4,228.6,0.0,124.3,425.6,157.7,278.5,490.3,237.4,465.0,325.4,139.2,302.1,378.8,170.7,209.2,170.7,520.4,183.3,108.0,237.5,128.9,171.0,60.7,117.2,189.7,511.9,548.2,111.2,100.4,18.0,466.3,178.1,74.2,227.8,616.9,416.7,200.0,185.9,243.7,387.2,45.8,130.6,49.2,206.8
IJ,238.3,562.6,257.1,516.4,335.9,253.9,244.1,303.6,307.8,456.4,626.8,556.7,419.7,2161.9,505.0,308.9,487.6,626.8,234.9,304.3,278.4,341.6,112.9,0.0,538.6,194.8,362.1,527.4,274.5,502.1,359.1,176.3,343.4,415.9,243.7,322.2,243.7,557.5,220.4,221.0,274.6,241.9,244.1,173.7,230.2,226.8,549.0,585.3,224.2,213.4,94.9,579.3,215.2,187.2,264.9,654.0,529.7,313.0,61.5,280.8,424.3,158.8,243.6,162.2,243.9
JF,310.5,494.2,356.2,448.0,581.0,280.0,482.3,275.0,552.9,427.8,558.4,488.3,94.2,2275.0,245.5,537.0,352.8,558.4,473.1,549.4,391.5,192.3,386.3,459.4,0.0,433.0,581.2,459.0,454.7,367.3,628.1,414.5,203.9,387.3,481.9,435.3,481.9,481.0,458.6,420.9,454.8,355.0,482.3,418.8,343.3,465.0,480.6,516.9,337.3,458.5,404.3,300.5,453.4,330.3,406.1,585.6,250.9,412.1,521.0,390.5,355.9,403.9,290.3,407.3,438.4
JQ,292.6,415.6,311.4,369.4,182.8,308.2,49.2,156.6,154.7,297.3,479.8,409.7,306.1,2028.8,358.0,126.0,340.6,479.8,40.0,109.6,332.7,259.9,167.2,54.2,425.0,0.0,167.2,380.4,127.5,355.1,214.1,10.7,196.4,268.9,48.8,284.2,48.8,410.5,37.5,273.9,127.6,204.2,49.2,158.1,284.5,43.9,402.0,438.3,278.5,119.8,149.2,458.3,32.3,241.5,117.9,507.0,390.7,367.3,115.8,133.8,277.3,174.4,297.9,216.5,96.9
JV,298.1,572.2,336.9,526.0,331.4,313.7,197.8,313.2,303.3,466.0,636.4,566.3,462.7,2064.4,514.6,114.7,497.2,636.4,188.6,258.2,317.0,416.5,323.8,210.8,581.6,148.5,0.0,537.0,237.7,511.7,70.6,167.3,353.0,425.5,197.4,319.8,197.4,567.1,116.5,428.7,237.8,239.8,197.8,306.7,251.9,110.1,558.6,594.9,258.1,268.4,305.8,614.9,121.7,307.0,229.4,663.6,547.3,392.8,272.4,301.9,433.9,323.0,303.4,361.7,207.1
KG,480.7,76.2,526.4,10.9,580.1,450.2,446.5,227.9,552.0,272.6,140.4,70.3,374.0,2185.2,217.6,501.2,189.0,140.4,437.3,506.9,561.7,362.5,556.5,423.6,492.9,397.2,564.5,0.0,418.9,174.5,551.4,378.7,299.0,232.1,446.1,605.5,446.1,181.9,422.8,592.5,419.0,525.2,446.5,555.4,513.5,429.2,62.6,98.9,507.5,517.1,518.6,317.9,417.6,500.5,370.3,167.6,250.3,582.3,485.2,354.7,107.2,574.1,460.5,577.5,402.6
KH,427.4,452.5,460.7,406.3,367.5,384.5,233.5,199.2,339.4,334.2,516.7,446.6,343.0,2213.5,394.9,198.7,377.5,516.7,224.7,277.2,482.2,296.8,324.0,211.0,461.9,184.6,240.8,417.3,0.0,392.0,248.9,166.1,233.3,305.8,233.5,539.8,233.5,447.4,210.2,430.7,0.0,465.2,233.9,342.8,447.8,216.6,438.9,475.2,432.2,304.5,306.0,495.2,205.0,398.3,48.5,543.9,427.6,516.6,272.6,123.8,314.2,359.1,394.8,364.3,20.5
KV,440.1,215.5,473.4,169.3,550.6,397.2,416.6,192.7,522.5,243.1,305.2,209.6,288.1,2365.6,131.7,471.7,14.4,279.7,407.8,460.3,494.9,309.5,503.5,394.1,407.0,367.7,535.0,180.3,389.4,0.0,521.9,349.2,269.5,202.6,416.6,552.5,416.6,113.6,393.3,538.1,389.5,477.9,417.0,536.0,460.5,399.7,201.9,238.2,444.9,487.6,489.1,232.0,388.1,447.5,340.8,306.9,164.4,529.3,455.7,325.2,87.4,521.1,407.5,515.9,373.1
LJ,340.4,621.3,379.2,575.1,339.2,356.0,205.6,362.3,311.1,515.1,685.5,615.4,511.8,2106.7,563.7,44.0,546.3,685.5,196.4,266.0,359.3,465.6,331.6,218.6,630.7,156.3,82.1,586.1,265.1,560.8,0.0,232.2,402.1,474.6,205.2,362.1,205.2,616.2,124.3,436.5,265.2,282.1,205.6,314.5,294.2,117.9,607.7,644.0,300.4,276.2,313.6,664.0,129.5,349.3,256.8,712.7,596.4,435.1,280.2,332.1,483.0,330.8,345.7,369.5,234.5
LP,304.8,404.8,300.6,358.6,201.3,297.4,67.7,151.5,173.2,298.6,485.1,398.9,295.3,2047.3,347.2,132.5,329.8,469.0,58.5,111.0,308.1,249.1,156.4,43.4,414.2,18.4,185.7,369.6,116.7,344.3,182.7,0.0,185.6,258.1,67.3,365.7,67.3,399.7,44.0,264.5,116.7,291.1,67.7,176.6,273.7,50.4,391.2,427.5,258.1,138.3,138.4,447.5,38.8,230.7,107.1,496.2,379.9,356.5,105.0,123.0,266.5,202.3,287.1,197.1,86.1
MU,181.6,330.0,227.3,283.8,411.9,151.1,278.3,71.0,383.8,211.7,394.2,324.1,109.6,2146.1,214.2,333.0,255.0,394.2,269.1,338.7,262.6,63.4,257.4,255.4,228.5,229.0,396.3,294.8,250.7,269.5,383.2,210.5,0.0,183.3,277.9,306.4,277.9,324.9,254.6,293.4,250.8,226.1,278.3,289.9,214.4,261.0,316.4,352.7,208.4,329.6,275.4,269.2,249.4,201.4,202.1,421.4,219.6,283.2,317.0,186.5,191.7,275.0,161.4,278.4,234.4
NH,355.0,273.1,400.7,226.9,454.4,324.5,320.8,102.2,426.3,40.4,337.3,267.2,283.0,2300.4,215.5,375.5,198.1,337.3,311.6,381.2,436.0,236.8,430.8,297.9,401.9,271.5,438.8,237.9,293.2,212.6,425.7,253.0,173.3,0.0,320.4,479.8,320.4,268.0,297.1,466.8,293.3,399.5,320.8,429.7,387.8,303.5,259.5,295.8,381.8,391.4,392.9,315.8,291.9,374.8,244.6,364.5,248.2,456.6,359.5,229.0,134.8,448.4,334.8,451.8,276.9
NW,248.5,453.4,267.3,407.2,133.9,264.1,0.3,194.4,105.8,347.2,517.6,447.5,343.9,2020.8,395.8,163.8,378.4,517.6,14.0,60.7,288.6,297.7,171.4,92.0,462.8,37.7,159.2,418.2,165.3,392.9,206.1,48.5,234.2,306.7,0.0,332.4,0.0,448.3,75.3,229.8,165.4,252.1,0.3,109.2,240.4,81.7,439.8,476.1,234.4,70.9,187.0,496.1,70.1,197.4,155.7,544.8,428.5,323.2,153.6,171.6,315.1,125.5,253.8,164.2,134.7
OF,130.0,632.1,164.0,585.9,376.0,140.8,261.5,378.8,347.9,513.8,712.4,626.2,306.6,2006.6,411.2,379.1,518.5,696.3,272.3,304.8,130.3,228.5,190.1,314.5,425.5,278.0,312.8,596.9,405.6,533.0,359.7,288.8,302.0,485.4,261.1,0.0,261.1,627.0,315.6,224.7,405.7,92.3,261.5,222.6,79.0,322.0,618.5,654.8,94.8,262.3,208.1,466.2,310.4,134.1,396.0,723.5,416.6,219.9,376.1,411.9,493.8,207.7,130.5,202.5,375.0
QL,248.5,453.4,267.3,407.2,133.9,264.1,0.3,200.1,105.8,347.2,517.6,447.5,343.9,2020.8,395.8,163.8,378.4,517.6,14.0,43.6,274.8,297.7,171.4,92.0,462.8,37.7,159.2,418.2,165.3,392.9,206.1,48.5,234.2,306.7,0.0,332.4,0.0,448.3,75.3,229.8,165.3,257.8,0.3,109.2,240.4,81.7,439.8,476.1,224.8,70.9,187.0,496.1,70.1,197.4,155.7,544.8,428.5,323.2,153.6,171.6,315.1,125.5,253.8,130.7,134.7
QO,520.9,184.2,543.6,138.0,597.3,467.4,464.2,239.4,569.2,289.8,248.4,178.3,391.2,2334.3,234.8,518.4,119.4,248.4,454.5,507.0,565.1,379.7,573.7,440.8,510.1,414.4,581.7,149.0,436.1,104.9,568.6,395.9,316.2,249.3,463.3,622.7,463.3,0.0,440.0,609.7,436.1,548.1,464.5,572.6,530.7,446.4,170.6,206.9,515.1,534.3,535.8,335.1,434.8,517.7,387.5,275.6,267.5,599.5,502.4,371.9,124.4,591.3,477.7,586.1,419.8
QR,352.4,455.6,348.2,409.4,214.8,345.0,80.8,202.3,186.7,337.3,545.3,449.7,346.1,2060.8,398.0,88.4,380.6,519.8,72.0,124.5,355.7,299.9,207.2,94.2,465.0,31.9,130.5,420.4,167.5,395.1,138.6,50.7,236.4,308.9,80.8,316.2,80.8,450.5,0.0,312.1,167.5,229.5,81.2,190.1,321.3,6.3,442.0,478.3,305.7,151.8,189.2,498.3,5.2,278.3,157.9,547.0,430.7,404.1,155.8,173.8,317.3,206.4,334.7,211.6,136.9
RB,129.9,633.6,148.7,587.4,301.3,146.9,249.4,378.9,274.6,513.9,713.9,627.7,312.7,2053.5,417.3,426.0,523.2,697.8,263.9,252.6,156.2,234.6,108.0,232.4,430.2,266.0,361.1,597.0,344.1,537.7,408.0,245.9,306.7,485.5,250.5,213.8,249.1,627.1,291.4,0.0,344.2,140.6,248.6,140.5,121.8,297.8,620.0,656.3,107.6,178.8,124.6,472.3,284.8,80.2,335.9,725.0,422.7,204.6,292.6,350.4,493.9,124.2,136.6,119.0,314.9
RM,438.1,452.5,460.8,406.4,367.6,384.6,234.5,199.2,339.5,334.2,542.3,446.7,343.0,2213.6,395.0,198.8,377.6,516.8,224.8,277.2,482.3,296.9,324.1,211.1,462.0,184.7,240.9,417.4,0.0,392.1,249.0,166.1,233.4,305.9,233.6,539.8,233.5,447.4,210.2,430.8,0.0,465.3,234.8,342.8,447.9,216.7,439.0,475.3,432.3,304.6,306.1,495.2,205.1,398.4,48.6,544.0,427.7,516.7,272.7,123.9,314.3,359.2,394.9,364.3,20.6
RX,68.7,570.8,102.7,524.6,282.6,79.5,167.7,317.5,254.5,464.6,651.1,564.9,245.3,1913.2,349.9,285.7,457.2,635.0,178.9,211.4,69.0,167.2,128.8,238.9,364.2,184.6,219.4,535.6,312.2,471.7,266.3,195.4,240.7,424.1,167.7,85.6,167.7,565.7,222.2,164.8,312.3,0.0,168.1,161.3,17.7,228.6,557.2,593.5,33.5,177.8,146.8,404.9,217.0,72.8,302.6,662.2,355.3,158.6,300.5,318.5,432.5,146.4,69.2,141.2,281.6
SN,271.1,453.8,266.9,407.6,133.5,263.7,0.3,200.5,105.4,336.3,543.5,447.9,344.3,2021.2,396.2,164.2,378.8,518.0,14.4,42.4,273.6,298.1,171.0,92.4,463.2,38.1,159.6,418.6,165.7,393.3,206.5,48.9,234.6,307.1,0.3,331.2,0.3,448.7,75.7,229.4,165.7,256.6,0.0,108.0,239.2,82.1,440.2,476.5,224.4,70.5,187.4,496.5,70.5,197.0,156.9,545.2,428.9,322.8,154.0,172.0,315.5,125.1,253.4,129.5,135.1
SX,160.8,541.1,156.6,494.9,160.7,153.4,108.8,287.8,132.6,422.8,621.4,535.2,319.2,2061.4,423.8,282.6,466.1,605.3,123.3,112.0,164.1,241.1,60.7,179.7,438.1,125.4,216.3,505.9,253.0,480.6,263.2,136.2,314.6,394.4,108.5,221.7,108.5,536.0,163.0,119.1,253.1,147.1,108.0,0.0,129.7,169.4,527.5,563.8,114.1,38.2,78.7,478.8,157.8,86.7,228.3,632.5,429.2,212.5,241.3,259.3,402.8,14.8,143.1,20.0,222.4
SY,46.1,553.0,84.9,506.8,301.0,61.7,186.1,299.7,272.9,434.7,642.7,547.1,227.5,1931.6,332.1,304.1,439.4,617.2,197.3,229.8,51.2,149.4,111.0,235.4,346.4,203.0,237.8,517.8,330.6,453.9,284.7,213.8,222.9,406.3,186.1,91.9,186.1,547.9,240.6,145.6,330.7,17.3,186.5,143.5,0.0,247.0,539.4,575.7,15.7,183.2,129.0,387.1,235.4,55.0,321.0,644.4,337.5,140.8,297.0,336.9,414.7,128.6,51.4,123.4,300.0
TB,358.8,462.0,354.6,415.8,221.2,351.4,87.2,208.7,193.1,355.8,551.7,456.1,352.5,2067.2,404.4,82.0,387.0,526.2,78.4,130.9,362.1,306.3,213.6,100.6,471.4,38.3,124.1,426.8,173.9,401.5,132.2,57.1,242.8,315.3,87.2,322.6,87.2,456.9,6.3,318.5,173.9,235.9,88.4,196.5,327.7,0.0,448.4,484.7,312.1,158.2,195.6,504.7,11.5,284.7,164.3,553.4,437.1,410.5,162.2,180.2,323.7,212.8,341.1,218.0,143.3
TK,488.3,40.4,534.0,57.6,587.7,457.8,454.1,235.5,559.6,280.2,104.6,34.5,381.6,2253.9,225.2,508.8,196.6,104.6,444.9,514.5,569.3,370.1,564.1,431.2,500.5,404.8,572.1,68.6,426.5,182.1,559.0,386.3,306.6,239.7,453.7,613.1,453.7,189.5,430.4,600.1,426.6,532.8,454.1,563.0,521.1,436.8,0.0,63.1,515.1,524.7,526.2,325.5,425.2,508.1,377.9,131.8,257.9,589.9,492.8,362.3,114.8,581.7,468.1,585.1,410.2
TN,518.6,22.6,564.3,87.9,618.0,488.1,484.4,265.8,589.9,298.4,41.4,28.6,411.9,2284.2,255.5,539.1,226.9,41.4,475.2,544.8,599.6,400.4,594.4,461.5,530.8,435.1,602.4,98.9,456.8,212.4,589.3,416.6,336.9,270.0,484.0,643.4,484.0,219.8,460.7,629.0,456.9,563.1,484.4,593.3,551.4,467.1,77.1,0.0,545.4,555.0,556.5,355.8,455.5,538.4,408.2,68.6,288.2,620.2,523.1,392.6,145.1,612.0,498.4,615.4,440.5
TO,42.7,537.2,69.1,491.0,289.9,45.9,201.7,283.9,261.8,418.9,617.5,531.3,211.7,1947.2,316.3,319.7,423.6,601.4,212.9,241.2,49.9,133.6,95.2,219.6,330.6,218.6,253.4,502.0,332.7,438.1,300.3,229.4,207.1,390.5,201.7,107.5,201.7,532.1,256.2,129.8,332.8,32.9,202.1,127.7,15.5,262.6,523.6,559.9,0.0,167.4,113.2,371.3,251.0,39.2,323.1,628.6,321.7,125.0,281.2,339.0,398.9,112.8,35.6,107.6,302.1
UL,177.5,502.8,196.3,456.6,122.4,193.1,70.5,243.8,94.3,384.5,567.0,496.9,358.9,2039.6,445.2,244.3,427.8,567.0,85.0,90.8,217.6,280.8,100.4,141.4,477.8,87.1,178.0,467.6,214.7,442.3,224.9,97.9,283.6,356.1,70.2,261.4,70.2,497.7,124.7,160.2,214.8,181.1,70.5,38.2,169.4,131.1,489.2,525.5,163.4,0.0,118.4,518.5,119.5,126.4,205.1,594.2,468.9,252.2,203.0,221.0,364.5,54.5,182.8,93.2,184.1
UO,143.3,507.5,162.1,461.3,240.9,158.9,189.0,248.5,212.8,401.3,571.7,501.6,324.7,2066.9,429.3,253.8,432.5,571.7,179.8,209.3,183.4,246.6,18.0,106.3,443.6,139.7,296.5,472.3,219.4,447.0,304.0,121.2,288.3,360.8,188.7,227.2,188.7,502.4,165.3,124.6,219.5,146.9,189.0,78.7,135.2,171.7,493.9,530.2,129.2,118.4,0.0,484.3,160.1,92.2,209.8,598.9,434.7,218.0,167.9,225.7,369.2,63.8,148.6,67.2,188.8
