from_stop,AD,AU,AY,BF,BP,CA,CY,DA,DX,EA,EB,ED,EE,EF,EG,EN,ER,FB,FC,FR,FW,FY,GK,GO,GP,GR,HB,HD,HJ,HT,IA,IG,IO,JF,JI,JJ,JY,KB,KH,KP,LB,LC,LX,MH,MI,ML,MP,MU,MX,NH,NI,NU,NV,OB,OG,OL,OP,OQ,OU,PJ,PS,PZ,QW,QX,RU,SL,SM,SV,SY,SZ,TJ,TY,UA,UI,UX,VC,WA,WB,XA,XI,XQ,XV,XW,YC,YJ,YM,YT,ZE
EB,172.8,1951.9,145.1,364.3,152.6,143.3,81.0,143.2,124.6,228.7,0.0,93.2,401.1,152.6,202.4,160.9,169.9,221.9,105.0,274.7,343.1,129.8,178.5,208.5,306.7,283.4,149.4,47.7,195.6,184.2,210.9,361.3,97.2,149.4,127.6,31.8,218.0,142.1,112.2,314.7,74.5,178.3,174.2,239.8,122.2,209.4,201.2,216.1,352.6,16.0,210.7,164.2,84.7,201.6,227.3,384.4,409.4,203.4,257.4,127.5,138.1,94.8,291.5,199.0,204.0,191.9,117.3,147.3,165.2,242.1,176.6,192.1,347.6,243.9,127.5,281.0,126.0,155.7,238.0,116.3,266.5,289.6,188.5,193.6,66.3,143.9,111.0,99.9
ED,180.9,1927.6,117.8,372.4,54.9,120.0,58.5,119.9,101.3,271.5,145.4,0.0,321.5,86.8,175.1,137.6,196.0,134.7,133.2,204.2,263.5,104.6,155.2,217.1,298.0,193.6,126.1,107.0,170.8,165.7,262.4,271.5,30.2,78.9,87.1,64.9,202.7,75.1,41.7,293.4,56.4,155.0,103.7,169.3,98.9,186.1,108.3,136.3,343.9,82.9,218.8,93.7,129.6,209.7,164.0,392.5,329.8,132.9,308.1,104.2,63.3,142.8,285.0,190.3,213.3,110.2,24.0,169.4,180.9,171.6,106.1,167.9,338.9,173.4,57.1,214.0,55.0,128.4,169.6,75.0,236.7,297.7,237.1,169.6,107.2,170.0,107.8,111.4
EE,436.9,1944.0,373.8,628.4,317.1,376.0,378.6,375.9,341.0,471.2,385.6,322.1,0.0,339.4,354.4,316.9,382.4,210.1,437.9,111.2,48.1,426.8,352.7,473.1,477.3,121.1,382.1,350.6,350.1,343.3,462.1,117.7,293.2,271.3,304.6,349.5,382.0,292.0,306.9,472.7,341.0,334.3,257.4,173.6,354.9,355.2,236.7,252.1,476.5,367.5,474.8,252.3,451.8,411.9,160.0,648.5,8.3,216.8,519.9,330.9,301.3,465.0,464.3,369.6,392.6,247.2,293.2,400.7,436.9,149.8,238.0,369.5,518.2,150.6,308.6,103.6,269.4,384.4,154.4,397.2,492.7,509.5,436.8,368.0,429.4,400.1,325.3,328.9
EF,160.4,1922.8,97.3,351.9,60.1,99.5,84.9,99.4,42.8,239.2,140.7,86.4,341.1,0.0,116.6,79.1,144.6,141.7,161.4,226.9,283.1,150.9,134.7,188.8,239.5,213.2,105.6,120.5,112.3,102.4,221.4,291.1,54.4,118.5,171.7,108.6,144.2,71.5,66.9,247.5,98.2,96.5,95.9,179.5,78.4,120.3,115.9,125.9,285.4,126.6,198.3,90.1,157.9,181.9,174.7,372.0,349.4,137.7,280.3,73.9,46.0,171.1,224.3,131.8,154.8,99.8,110.5,148.9,160.4,193.6,147.0,141.0,280.4,191.3,35.4,236.7,51.9,107.9,185.4,121.3,254.1,277.2,199.0,142.5,128.2,149.5,129.0,117.9
EG,117.6,1834.5,80.8,309.1,152.4,78.6,113.0,78.7,70.0,145.1,202.6,197.4,367.1,128.7,0.0,48.2,56.3,174.5,118.6,242.4,309.1,157.4,56.2,153.3,151.2,239.2,85.3,162.0,24.0,90.3,136.0,317.1,131.6,105.3,243.4,187.9,55.9,146.8,165.0,146.6,176.2,62.5,126.6,241.7,99.6,10.9,161.3,168.5,197.1,205.9,155.5,202.1,171.8,85.8,183.1,329.2,375.4,159.2,193.8,131.3,170.5,156.3,136.0,43.5,59.6,183.9,221.5,74.6,117.6,220.0,187.8,24.6,192.1,199.7,164.2,252.2,107.4,65.1,193.8,150.2,211.3,183.4,110.7,23.3,164.4,74.0,208.3,197.2
EN,112.1,1843.6,77.9,317.4,91.1,80.1,64.7,80.0,21.7,154.2,154.3,149.1,342.5,80.4,37.4,0.0,65.4,126.8,119.5,209.0,284.5,131.5,35.7,177.2,160.3,214.6,64.8,115.9,33.1,28.0,145.1,292.5,83.3,53.5,195.1,139.6,65.0,128.3,118.0,155.7,126.0,17.3,78.3,163.6,59.0,48.4,113.0,120.2,206.2,157.6,178.9,143.4,138.5,88.7,166.4,337.5,350.8,119.8,202.9,84.3,122.2,151.7,147.3,52.6,75.6,135.6,173.2,83.7,141.0,178.1,129.1,52.5,201.2,175.8,116.0,218.8,59.5,88.5,172.0,101.9,196.8,192.5,119.8,51.0,116.1,83.1,160.0,157.1
ER,71.0,1820.0,83.2,262.5,145.9,81.0,119.5,81.1,76.5,130.6,168.6,203.9,410.4,135.2,54.8,54.7,0.0,181.6,54.0,263.8,352.4,92.8,62.7,107.2,136.7,269.4,91.8,170.7,25.6,79.7,121.5,347.3,138.1,108.3,249.9,194.4,41.4,183.1,167.4,132.1,180.8,69.0,133.1,218.4,102.0,65.8,167.8,175.0,182.6,184.6,108.9,198.2,107.2,65.1,221.2,282.6,418.7,174.6,198.2,133.7,177.0,91.7,123.7,29.0,34.0,190.4,228.0,18.2,71.0,232.9,183.9,49.9,177.6,230.6,170.8,273.6,114.3,72.6,226.8,119.1,126.8,187.8,96.2,48.4,133.4,17.6,214.8,211.9
FB,218.9,1928.0,182.9,438.2,126.2,185.8,189.2,185.7,130.8,266.8,205.8,133.5,216.3,137.7,144.2,106.7,172.2,0.0,225.6,90.4,158.3,237.5,142.5,281.7,267.1,88.4,171.6,224.8,139.9,129.3,249.0,166.3,159.6,55.2,108.6,173.7,171.8,81.1,116.7,275.1,163.3,124.1,59.5,37.1,164.0,154.5,26.5,51.7,312.3,191.7,284.6,69.5,262.2,201.7,32.3,458.3,224.6,63.9,309.0,140.7,87.3,275.4,251.9,159.4,182.4,54.7,104.6,189.8,246.7,51.2,55.8,158.5,307.3,48.9,99.7,100.2,117.1,193.5,43.0,208.6,340.4,299.3,226.6,156.5,239.1,189.9,129.3,143.2
FC,67.7,1887.3,59.9,259.2,131.5,57.7,108.5,57.8,125.5,164.1,114.5,153.0,447.9,153.5,126.1,119.6,64.8,258.9,0.0,328.7,389.9,38.7,127.6,103.4,201.6,320.0,98.5,122.0,90.5,139.8,146.3,397.9,147.5,176.7,240.2,146.3,106.3,195.5,144.1,205.9,136.2,133.9,198.0,296.7,78.7,137.1,232.7,239.9,247.5,130.5,105.6,214.1,53.1,96.5,291.9,279.3,456.2,239.5,194.9,110.4,208.6,37.6,186.4,93.9,98.9,235.0,177.1,38.2,67.7,310.8,248.8,104.6,242.5,308.5,198.0,338.5,178.8,49.3,304.7,65.0,161.4,184.5,123.9,106.1,79.3,38.8,213.6,202.5
FR,311.2,1872.0,275.9,511.3,219.2,278.1,280.7,278.0,223.1,360.3,297.4,225.8,115.9,221.1,236.5,199.0,264.5,92.2,318.6,0.0,206.6,330.5,234.8,356.0,359.4,153.0,263.9,262.4,232.2,215.9,351.2,117.9,205.0,153.4,200.9,261.3,264.1,174.1,209.0,354.8,252.8,216.4,139.1,128.8,257.0,232.3,118.8,144.0,365.2,279.3,357.7,141.2,354.5,294.0,95.4,531.4,124.2,98.5,390.8,233.0,183.0,367.7,346.4,251.7,273.1,147.0,196.9,282.8,339.0,66.7,126.9,251.6,379.0,104.8,190.3,9.7,207.3,286.5,101.0,300.9,375.6,401.2,325.9,250.1,332.1,282.2,221.6,225.2
FW,388.7,1895.8,325.6,580.2,268.9,327.8,330.4,327.7,292.8,423.0,337.4,273.9,57.9,291.2,306.2,268.7,334.2,161.9,389.7,63.0,0.0,378.6,304.5,424.9,429.1,72.9,333.9,302.4,301.9,295.1,413.9,154.5,245.0,223.1,256.4,301.3,333.8,243.8,258.7,424.5,292.8,286.1,209.2,125.4,306.7,307.0,188.5,203.9,428.3,319.3,426.6,204.1,403.6,363.7,111.8,600.3,66.2,168.6,471.7,282.7,253.1,416.8,416.1,321.4,344.4,199.0,245.0,352.5,388.7,101.6,189.8,321.3,470.0,102.4,260.4,55.4,221.2,336.2,106.2,349.0,444.5,461.3,388.6,319.8,381.2,351.9,277.1,280.7
FY,96.3,1915.9,88.5,287.8,137.3,86.3,69.7,86.4,113.3,192.7,137.4,114.2,435.8,141.3,154.7,148.2,93.4,248.4,28.5,339.5,377.8,0.0,156.2,132.0,230.2,307.9,127.1,96.8,119.1,168.4,177.8,385.8,155.4,185.5,201.4,154.4,134.9,184.6,149.9,225.6,109.1,162.5,210.3,286.2,107.3,165.7,222.6,250.6,276.1,153.4,134.2,203.2,83.7,125.1,281.4,307.9,444.1,251.8,223.5,116.2,192.1,68.2,215.0,122.5,127.5,224.5,138.3,66.8,96.3,300.3,215.6,133.2,271.1,298.0,185.9,349.3,191.1,77.9,292.1,26.3,152.1,213.1,152.5,134.7,99.2,67.4,174.8,163.7
GK,120.7,1861.5,57.6,312.2,116.8,59.8,90.4,59.7,47.4,172.1,180.0,174.8,368.2,106.1,55.3,25.6,83.3,152.5,121.7,234.7,310.2,157.2,0.0,156.9,178.2,240.3,29.0,141.6,51.0,50.6,163.0,318.2,109.0,79.2,220.8,165.3,82.9,154.0,131.5,173.6,151.7,39.9,104.0,189.3,66.1,66.3,138.7,145.9,224.1,183.3,158.6,169.1,164.2,106.6,192.1,332.3,376.5,145.5,247.9,97.8,147.9,159.4,165.2,70.5,93.5,161.3,198.9,109.2,120.7,203.8,154.8,70.4,219.1,201.5,141.7,244.5,85.2,68.2,197.7,127.6,176.5,237.5,137.7,68.9,141.8,109.8,185.7,182.8
GO,67.7,1880.2,94.0,155.7,165.6,91.8,143.7,91.9,159.6,116.1,197.4,227.3,482.0,187.6,160.2,171.7,116.9,293.0,82.8,384.1,424.0,121.6,161.7,0.0,141.8,354.1,132.6,194.1,142.6,191.9,131.0,432.0,181.6,225.3,287.4,229.2,98.7,229.6,178.2,137.2,204.2,186.0,250.1,330.8,112.8,171.2,267.2,292.0,187.7,213.4,2.1,248.2,136.0,89.0,326.0,175.8,490.3,291.6,91.4,144.5,242.7,120.5,126.6,124.9,151.0,269.1,251.4,90.3,31.9,344.9,260.6,138.7,182.7,342.6,232.2,393.9,231.3,83.4,336.7,147.9,20.0,81.0,159.5,140.2,162.2,90.9,258.3,252.2
GP,136.0,1778.5,201.0,204.3,241.8,198.8,215.4,198.9,172.4,120.3,286.4,299.8,493.2,231.1,150.7,150.6,117.7,277.5,171.8,359.7,435.2,210.6,158.6,133.2,0.0,365.3,187.7,266.6,121.5,175.6,128.4,443.2,234.0,204.2,345.8,290.3,91.0,279.0,268.7,48.8,276.7,164.9,229.0,314.3,209.7,161.7,263.7,270.9,75.7,302.4,134.9,294.1,225.0,112.6,317.1,224.4,501.5,270.5,89.8,235.0,272.9,209.5,12.9,102.6,147.9,286.3,323.9,136.0,164.5,328.8,279.8,145.8,84.7,326.5,266.7,369.5,210.2,185.5,322.7,236.9,121.7,79.4,103.1,144.3,251.2,135.4,310.7,307.8
GR,315.7,1944.6,252.6,507.2,195.9,254.8,257.4,254.7,219.8,350.0,285.6,200.9,127.8,218.2,233.2,195.7,261.2,88.9,316.7,59.5,69.8,305.6,231.5,351.9,356.1,0.0,260.9,250.6,228.9,222.1,340.9,77.8,231.2,150.1,183.4,249.5,260.8,170.8,185.7,351.5,241.0,213.1,136.2,52.4,233.7,234.0,115.5,130.9,402.0,267.5,353.6,131.1,330.6,290.7,38.8,527.3,136.1,95.6,398.7,209.7,180.1,343.8,343.1,248.4,271.4,126.0,172.0,279.5,315.7,51.7,116.8,248.3,397.0,29.4,187.4,51.9,204.4,263.2,33.2,276.0,371.5,388.3,315.6,246.8,308.2,278.9,204.1,207.7
HB,91.6,1890.6,28.5,283.1,89.8,30.7,67.1,30.6,76.5,182.2,156.7,151.5,406.2,120.8,84.4,54.7,106.7,181.6,92.6,263.8,348.2,131.4,29.0,127.8,207.3,278.3,0.0,118.3,80.1,79.7,173.1,356.2,105.8,108.3,211.6,162.1,112.0,183.1,102.4,202.7,128.4,69.0,133.1,218.4,37.0,95.4,167.8,175.0,253.2,172.7,129.5,198.2,140.9,112.9,221.2,303.2,414.5,174.6,218.8,68.7,162.6,130.3,194.3,99.6,122.6,190.4,175.6,80.1,91.6,232.9,183.9,78.6,248.2,230.6,156.4,273.6,114.3,39.1,226.8,104.3,147.4,208.4,147.8,80.3,118.5,80.7,182.5,179.6
HD,162.6,1956.0,97.5,354.1,105.0,101.7,39.4,101.6,83.0,232.8,77.3,101.9,374.8,111.0,154.8,119.3,167.5,234.4,88.7,248.4,316.8,98.8,136.9,192.8,279.7,295.5,107.8,0.0,152.5,128.7,215.0,373.4,70.2,153.2,112.3,75.3,184.4,134.1,119.6,287.7,12.0,136.7,180.0,213.5,66.7,153.9,208.6,221.9,320.1,93.3,200.5,137.9,63.5,170.0,201.0,374.2,417.8,177.1,289.8,85.9,111.8,76.7,259.0,172.0,201.6,210.5,126.0,127.0,162.6,215.8,152.5,136.6,320.6,217.6,101.2,258.2,99.7,104.6,211.7,74.7,256.3,279.4,192.6,150.0,35.6,141.5,95.7,84.6
HJ,78.9,1810.4,79.6,284.2,120.2,77.4,93.8,77.5,50.8,121.0,186.9,178.2,371.6,100.5,29.1,29.0,32.2,155.9,86.3,238.1,313.6,125.1,37.0,152.1,127.1,243.7,66.1,145.0,0.0,49.2,109.0,321.6,112.4,82.6,224.2,168.7,31.8,157.4,147.1,122.5,155.1,43.3,107.4,192.7,88.1,40.1,142.1,149.3,173.0,186.7,154.3,172.5,139.5,61.7,188.3,304.3,379.9,148.9,169.7,113.4,146.3,124.0,111.9,19.4,42.4,164.7,202.3,50.5,116.4,207.2,158.2,23.4,168.0,204.9,145.1,247.9,88.6,63.9,201.1,131.0,210.1,159.3,86.6,22.1,145.2,49.9,189.1,178.0
HT,126.4,1857.9,107.7,331.7,128.5,109.9,102.9,109.8,59.1,168.5,195.2,186.5,340.7,108.8,51.7,37.3,79.7,178.7,133.8,216.7,282.7,168.9,50.0,186.5,174.6,212.8,79.1,153.3,47.4,0.0,156.5,290.7,122.8,90.9,232.5,177.0,79.3,120.4,155.4,170.0,163.4,7.7,115.7,215.3,96.4,62.7,150.4,157.6,220.5,195.0,188.7,175.7,175.9,109.2,156.7,351.8,349.0,132.8,217.2,121.7,154.6,171.5,159.4,66.9,89.9,173.0,210.6,98.0,150.8,193.6,161.4,66.0,215.5,173.3,153.4,226.5,96.9,106.5,169.5,139.3,244.5,206.8,134.1,64.7,153.5,97.4,197.4,194.5
IA,116.5,1835.3,139.9,213.5,211.5,140.6,192.5,140.7,178.8,14.8,214.6,276.1,481.4,228.5,154.2,157.0,124.1,283.3,128.7,375.4,423.4,170.4,165.0,81.5,129.4,371.7,181.4,214.4,125.0,177.2,0.0,449.6,232.5,214.1,336.2,242.9,97.4,282.5,227.0,137.4,241.2,171.3,235.4,320.7,161.6,168.1,270.1,277.3,178.2,227.1,83.7,300.5,158.1,122.3,313.4,233.6,489.7,276.9,42.4,193.3,274.3,142.6,114.2,109.0,144.1,292.7,300.2,136.2,80.7,335.2,283.3,151.4,170.3,332.9,273.0,385.2,216.2,129.3,327.0,196.7,139.5,50.0,28.4,147.2,181.4,139.7,307.1,296.0
IG,402.2,2014.8,339.1,593.7,282.4,341.3,343.9,341.2,306.3,436.5,372.1,287.4,100.4,304.7,319.7,282.2,347.7,175.4,403.2,120.0,140.0,392.1,318.0,438.4,442.6,86.4,347.4,337.1,315.4,308.6,427.4,0.0,317.7,236.6,269.9,336.0,347.3,257.3,272.2,438.0,327.5,299.6,222.7,138.9,320.2,320.5,202.0,217.4,488.5,354.0,440.1,217.6,417.1,377.2,125.3,613.8,108.7,182.1,485.2,296.2,266.6,430.3,429.6,334.9,357.9,212.5,258.5,366.0,402.2,121.9,203.3,334.8,483.5,115.9,273.9,112.4,290.9,349.7,119.7,362.5,458.0,474.8,402.1,333.3,394.7,365.4,290.6,294.2
IO,188.1,1900.8,81.3,379.6,24.6,127.2,66.0,127.1,108.8,279.0,90.5,32.2,303.8,60.0,128.7,91.2,203.2,124.6,140.4,177.4,245.8,111.8,162.4,224.1,251.6,186.1,133.3,55.5,120.9,111.0,269.9,264.0,0.0,52.1,124.1,54.4,152.8,44.8,14.9,255.9,45.9,108.6,76.9,142.5,106.4,136.2,103.9,118.8,297.5,72.4,226.0,66.9,119.1,165.7,130.0,399.7,312.8,106.1,315.3,41.9,36.5,132.3,232.9,143.9,166.9,94.6,56.3,132.9,188.1,144.8,80.0,132.3,289.0,146.6,30.3,187.9,28.2,135.6,142.8,82.5,244.2,304.9,244.3,133.8,96.7,177.2,74.8,68.7
JF,157.7,1873.1,131.7,363.0,64.0,128.0,113.4,127.9,69.6,205.6,144.6,166.4,276.1,114.0,88.9,45.5,111.0,72.6,171.0,149.7,218.1,185.3,81.3,217.8,205.9,158.4,110.4,149.0,84.6,74.7,187.8,236.3,58.3,0.0,141.5,112.5,116.5,26.5,149.6,213.9,102.1,62.9,24.7,114.8,112.8,99.9,59.4,66.6,257.7,130.5,220.0,39.2,186.4,140.2,108.2,383.1,290.3,78.4,248.5,77.8,63.6,199.6,196.6,98.2,121.2,82.0,137.5,135.2,182.1,117.1,57.5,97.3,252.7,118.9,76.0,159.5,32.0,136.4,113.0,149.8,275.8,238.1,165.4,96.0,164.0,128.7,162.2,176.1
JI,268.6,1999.2,205.5,460.1,148.8,207.7,172.6,207.6,207.0,359.2,147.8,94.3,310.0,187.9,240.6,203.1,283.7,116.7,247.3,207.2,252.0,218.7,242.9,304.8,363.5,182.1,213.8,123.8,236.3,231.2,350.1,260.0,101.8,150.5,0.0,111.7,268.2,146.7,113.3,358.9,114.2,220.5,147.0,153.9,186.6,251.6,90.3,118.3,409.4,129.7,306.5,165.3,187.4,289.9,156.3,480.2,318.3,180.7,395.8,162.6,134.9,200.6,350.5,255.8,278.8,92.2,85.1,257.1,268.6,168.0,172.0,255.6,404.4,165.7,128.7,217.0,126.6,216.1,161.9,189.1,324.4,385.4,324.8,257.3,165.0,257.7,20.6,24.3
JJ,208.9,1988.0,177.2,400.4,93.6,179.4,117.9,179.3,160.7,259.0,36.1,61.4,369.3,197.7,234.5,197.0,206.0,189.4,141.1,242.9,311.3,161.9,214.6,245.1,342.8,251.6,185.5,98.6,231.7,225.1,249.9,329.5,68.9,117.6,95.8,0.0,250.1,113.8,80.4,338.2,108.7,214.4,142.4,208.0,158.3,245.5,169.4,184.3,388.7,17.9,246.8,132.4,120.8,237.7,202.7,420.5,377.6,171.6,289.5,163.6,102.0,130.9,329.8,235.1,240.1,160.1,85.5,179.4,201.3,210.3,144.8,227.3,383.7,212.1,95.8,252.7,93.7,187.8,208.3,152.4,264.7,325.7,224.6,229.0,98.4,180.0,79.2,76.3
JY,44.9,1778.5,109.9,264.9,150.7,107.7,124.3,107.8,81.3,89.1,195.3,208.7,402.1,131.0,59.6,59.5,26.6,185.8,80.7,268.6,344.1,119.5,67.5,109.1,95.2,274.2,96.6,160.7,30.4,79.7,80.0,352.1,144.7,113.1,254.7,199.2,0.0,187.9,177.6,90.6,185.6,73.8,137.9,223.2,118.6,70.6,172.6,179.8,141.1,211.3,111.3,203.0,133.9,27.7,218.8,285.0,410.4,179.4,137.8,143.9,176.8,118.4,80.0,11.5,56.8,195.2,232.8,44.9,73.4,237.7,188.7,53.9,136.1,235.4,175.5,278.4,118.7,94.4,229.5,145.8,129.2,127.4,54.7,52.6,160.1,44.3,219.6,216.7
