from_stop,AA,AD,AG,AK,AO,AW,AX,BT,CH,CS,CT,CU,DP,DQ,DR,DS,DV,EB,EJ,EL,FB,FH,FL,FQ,FY,GC,GG,GH,GY,HI,HL,HT,IA,IE,IJ,IN,IR,IU,KH,KY,LH,LI,MB,MF,MJ,MO,MV,NJ,NK,NL,NQ,NV,OB,OC,OI,OY,PA,PO,PW,QC,QO,RE,RF,RG,RO,RQ,RR,RS,SL,TT,TU,TX,UE,UF,UK,UR,UX,XD,XG,XJ,XR,XS,XV,YF,YG,YH,YI,YK,YM,YN,YO,YV,YX,ZE,ZG
CU,424.9,24.3,333.9,347.0,335.2,288.7,329.8,319.6,523.8,31.3,67.7,0.0,2042.9,192.0,351.6,199.3,402.5,322.1,360.4,263.4,196.7,374.7,332.7,219.8,294.3,158.2,633.5,130.5,172.4,361.2,177.1,186.3,160.7,338.3,258.5,472.2,273.2,384.6,388.5,578.5,252.3,272.5,585.8,329.9,386.4,327.9,240.0,301.2,329.4,136.2,156.2,543.3,97.6,331.5,401.8,435.1,60.5,487.1,219.0,388.8,188.7,178.8,281.2,290.8,96.1,11.6,234.6,609.5,275.4,156.9,358.2,179.4,288.7,144.1,141.9,201.0,415.8,591.6,614.2,362.4,143.9,266.9,513.9,385.6,202.1,252.3,305.2,228.1,549.5,377.2,297.5,225.8,304.6,379.0,188.0
DP,2128.6,1946.8,2037.6,1911.9,1900.1,1829.5,1905.6,1895.4,2010.0,1891.0,1964.8,1922.4,0.0,1926.7,1916.5,1848.9,1967.4,1887.0,1936.2,1828.3,2070.1,1939.6,1873.5,2093.2,1964.7,1854.6,2119.7,1929.1,1908.5,1937.0,1894.7,1835.9,1895.4,1879.1,2078.7,2212.6,1838.1,1949.5,1953.4,2064.7,1812.6,2020.1,2072.0,1870.7,1962.2,1892.8,1889.6,2117.8,1894.3,2015.2,1876.0,2029.5,1934.9,1961.1,1977.6,2138.8,1983.0,1973.3,1916.1,2064.1,1879.3,1828.4,1846.1,1855.7,1916.3,1910.7,1969.3,2095.7,1817.8,2030.3,1923.1,2052.8,1853.6,1964.3,1784.8,1850.6,1991.6,2077.8,2100.4,1946.4,2041.3,2025.7,2000.1,1961.4,1767.0,1987.0,1870.1,1877.7,2035.7,1942.1,1838.3,1960.5,1869.5,2017.9,1986.6
DQ,532.4,161.1,441.4,394.4,382.6,336.1,137.7,127.5,571.2,178.3,117.7,185.5,2000.2,0.0,399.0,246.7,449.9,369.5,182.8,310.8,223.0,422.1,380.1,246.1,62.5,90.3,680.9,82.0,18.5,201.7,84.7,233.7,31.7,385.7,366.0,441.7,320.6,432.0,435.9,625.9,295.1,88.9,633.2,377.3,194.3,375.3,287.4,270.7,376.8,278.7,203.6,590.7,87.8,147.9,242.3,542.6,203.0,534.5,266.4,208.0,236.1,226.2,328.6,338.2,203.6,197.2,51.0,656.9,324.4,183.2,405.6,205.7,336.1,251.6,189.3,248.4,261.7,639.0,661.6,453.0,286.4,83.3,561.3,226.1,249.5,68.7,352.6,275.5,596.9,424.6,344.9,42.2,352.0,486.5,139.5
DR,629.6,339.0,538.6,169.8,146.4,330.5,381.9,371.7,565.6,283.2,382.4,314.6,2112.7,362.6,0.0,241.1,178.0,81.5,412.5,75.1,506.0,205.8,374.5,529.1,425.2,290.5,675.3,365.0,344.4,413.3,330.6,228.1,331.3,380.1,470.9,724.7,161.3,32.9,141.8,620.3,167.4,443.1,627.6,371.7,438.5,107.3,281.8,553.7,261.1,407.4,268.2,585.1,370.8,437.4,453.9,639.8,375.2,528.9,308.3,540.4,271.5,220.6,200.9,102.0,308.5,302.9,405.2,651.3,318.8,466.2,216.3,488.7,151.6,356.5,177.0,242.8,467.9,633.4,656.0,447.4,433.5,437.5,555.7,437.7,133.2,422.9,64.6,269.9,591.3,296.9,339.3,396.4,115.8,518.9,422.5
DS,452.3,232.1,361.3,249.9,238.1,153.2,389.5,379.3,388.3,176.3,275.5,207.7,2005.8,255.7,254.5,0.0,305.4,225.0,420.1,166.3,399.1,277.6,197.2,422.2,318.3,183.6,498.0,258.1,237.5,420.9,223.7,97.8,224.4,202.8,364.0,590.9,176.1,287.5,291.4,443.0,150.6,336.2,450.3,194.4,446.1,230.8,110.5,446.8,232.3,300.5,199.8,407.8,263.9,395.2,461.5,462.5,268.3,351.6,137.0,452.5,141.2,49.3,184.1,193.7,201.6,196.0,298.3,474.0,141.5,359.3,261.1,381.8,191.6,249.6,70.1,71.5,475.5,456.1,478.7,270.1,326.6,330.6,378.4,445.3,105.0,316.0,208.1,28.8,414.0,280.1,162.0,289.5,207.5,341.6,315.6
DV,693.7,403.1,602.7,113.1,178.8,394.6,446.0,435.8,629.7,347.3,446.5,378.7,2176.8,426.7,163.5,305.2,0.0,230.0,476.6,227.2,570.1,27.7,438.6,593.2,489.3,354.6,739.4,429.1,407.1,477.4,394.7,288.4,395.4,444.2,535.0,788.8,147.8,163.0,148.7,684.4,147.1,507.2,691.7,435.8,502.6,118.0,345.9,617.8,83.0,471.5,332.3,649.2,434.9,501.5,518.0,703.9,439.3,593.0,372.4,604.5,335.6,284.7,129.8,223.2,372.6,367.0,469.3,715.4,381.3,530.3,38.2,552.8,171.7,420.6,241.1,306.9,532.0,697.5,720.1,511.5,497.6,501.6,619.8,507.3,197.3,487.0,228.2,334.0,655.4,225.8,403.4,460.5,209.4,583.0,486.6
EB,623.1,332.5,532.1,215.1,139.9,324.0,375.4,365.2,559.1,276.7,375.9,308.1,2106.2,356.1,84.5,234.6,223.3,0.0,406.0,68.6,499.5,251.1,368.0,522.6,418.7,284.0,668.8,358.5,337.9,406.8,324.1,221.6,324.8,373.6,464.4,718.2,154.8,66.9,187.1,613.8,160.9,436.6,621.1,365.2,432.0,152.6,275.3,547.2,284.2,400.9,261.7,578.6,364.3,430.9,447.4,633.3,368.7,522.4,301.8,536.7,265.0,214.1,194.4,95.5,302.0,296.4,398.7,644.8,312.3,459.7,255.4,482.2,145.1,350.0,170.5,236.3,461.4,626.9,649.5,440.9,427.0,431.0,549.2,431.2,126.7,416.4,16.8,263.4,584.8,290.4,332.8,389.9,109.3,512.4,416.0
EJ,685.5,314.2,594.5,547.5,535.7,489.2,30.5,40.7,724.3,331.4,270.8,338.6,2119.4,153.0,552.1,399.8,603.0,522.6,0.0,463.9,376.1,575.2,533.2,399.2,170.4,243.4,834.0,235.1,171.6,18.8,237.8,386.8,184.8,538.8,519.1,594.8,473.7,585.1,589.0,779.0,448.2,83.8,786.3,530.4,108.2,528.4,440.5,423.8,529.9,431.8,356.7,743.8,240.9,24.8,59.4,695.7,356.1,687.6,419.5,130.6,389.2,379.3,481.7,491.3,356.7,350.3,121.7,810.0,477.5,336.3,558.7,358.8,489.2,404.7,342.4,401.5,78.8,792.1,814.7,606.1,439.5,89.4,714.4,43.2,402.6,104.0,505.7,428.6,750.0,577.7,498.0,130.5,505.1,639.6,292.6
EL,554.4,263.8,463.4,150.7,71.7,255.3,306.7,296.5,490.4,208.0,307.2,239.4,2037.5,287.4,88.1,165.9,232.4,58.6,337.3,0.0,430.8,211.3,299.3,453.9,350.0,215.3,600.1,289.8,269.2,338.1,255.4,152.9,256.1,304.9,395.7,649.5,86.1,121.1,192.2,545.1,92.2,367.9,552.4,296.5,363.3,131.6,206.6,478.5,215.5,332.2,193.0,509.9,295.6,362.2,378.7,564.6,300.0,453.7,233.1,465.2,196.3,145.4,125.7,27.3,233.3,227.7,330.0,576.1,243.6,391.0,186.7,413.5,76.4,281.3,101.8,167.6,392.7,558.2,580.8,372.2,358.3,362.3,480.5,362.5,58.0,347.7,41.7,194.7,516.1,221.7,264.1,321.2,41.1,443.7,347.3
FB,601.7,152.3,510.7,523.8,512.0,465.5,367.3,357.1,700.6,208.1,108.9,176.7,2189.4,229.5,528.4,376.1,579.3,498.9,397.9,440.2,0.0,551.5,509.5,23.0,331.8,220.2,810.3,168.0,209.9,398.7,214.6,363.1,198.2,515.1,435.3,509.7,450.0,561.4,565.3,755.3,429.1,310.0,762.6,506.7,423.9,504.7,416.8,338.7,506.2,269.9,333.0,720.1,135.1,369.0,439.3,611.9,194.2,663.9,395.8,426.3,365.5,355.6,458.0,467.6,272.9,188.4,272.1,786.3,452.2,39.7,535.0,17.2,465.5,320.9,318.7,377.8,453.3,768.4,791.0,539.2,277.6,304.4,690.7,428.6,378.9,289.8,482.0,404.9,726.3,554.0,474.3,263.3,481.4,555.8,225.5
FH,665.9,375.3,574.9,85.3,174.3,450.0,418.2,408.0,601.9,319.5,418.7,350.9,2149.0,398.9,191.3,277.4,27.7,257.8,448.8,199.4,542.3,0.0,410.8,565.4,501.2,326.8,711.6,401.3,379.3,449.6,366.9,264.4,367.6,416.4,507.2,761.0,120.0,190.8,176.5,656.6,119.3,479.4,663.9,408.0,474.8,136.9,318.1,590.0,55.2,443.7,304.5,621.4,407.1,473.7,490.2,676.1,411.5,565.2,344.6,576.7,307.8,256.9,102.0,218.7,344.8,339.2,441.5,687.6,353.5,502.5,10.5,525.0,143.9,392.8,213.3,279.1,504.2,669.7,692.3,483.7,469.8,473.8,592.0,474.0,169.5,459.2,241.2,306.2,627.6,198.0,378.2,432.7,204.9,555.2,458.8
FL,387.2,373.2,296.2,391.0,379.2,148.2,551.9,541.7,384.8,317.4,416.6,348.8,2086.0,396.8,395.6,224.9,446.5,366.1,582.5,307.4,540.2,418.7,0.0,563.3,459.4,324.7,494.5,399.2,377.2,583.3,364.8,235.1,365.5,137.7,288.3,587.4,317.2,428.6,432.5,439.5,296.3,477.3,154.9,129.3,608.5,371.9,265.6,587.9,373.4,517.0,302.4,410.3,405.0,536.3,623.9,397.4,409.4,324.7,292.1,593.6,282.3,204.4,325.2,334.8,471.1,337.1,439.4,470.5,69.8,500.4,402.2,522.9,332.7,532.6,211.2,226.6,637.9,458.6,481.2,205.0,543.1,471.7,226.8,613.2,246.1,457.1,349.2,263.2,191.2,421.2,96.9,430.6,348.6,276.5,456.7
FQ,624.8,175.4,533.8,546.9,535.1,488.6,390.4,380.2,723.7,231.2,132.0,199.8,2212.5,252.6,551.5,399.2,602.4,522.0,421.0,463.3,23.0,574.6,532.6,0.0,315.2,243.3,833.4,191.1,234.4,421.8,237.7,386.2,221.3,538.2,458.4,532.8,473.1,584.5,588.4,778.4,447.6,333.1,785.7,529.8,447.0,527.8,439.9,361.8,529.3,293.0,356.1,743.2,158.2,392.1,462.4,635.0,217.3,687.0,418.9,449.4,388.6,378.7,481.1,490.7,296.0,211.5,295.2,809.4,476.9,62.8,558.1,40.3,488.6,344.0,341.8,400.9,476.4,791.5,814.1,562.3,300.7,327.5,713.8,446.2,402.0,312.9,505.1,428.0,749.4,577.1,497.4,286.4,504.5,578.9,248.6
FY,585.2,213.9,523.9,447.2,435.4,472.1,165.3,155.1,624.0,260.8,170.5,268.0,2013.8,52.7,451.8,299.5,532.4,422.3,235.6,363.6,305.5,504.6,462.6,298.9,0.0,172.8,733.7,134.8,101.0,254.5,137.5,282.7,84.5,438.5,448.5,494.5,373.4,484.8,488.7,678.7,352.5,141.7,686.0,430.1,221.9,428.1,340.2,353.2,429.6,331.5,256.4,643.5,140.6,200.7,295.1,625.1,255.8,587.3,319.2,258.0,288.9,279.0,381.4,391.0,256.4,250.0,103.8,709.7,375.6,265.7,458.4,258.5,418.6,334.1,242.1,301.2,314.5,691.8,714.4,505.8,339.2,136.1,608.1,284.4,302.3,121.5,405.4,337.8,649.7,507.1,400.3,95.0,434.5,539.3,192.3
GC,486.7,152.5,395.7,348.7,336.9,290.4,208.8,198.6,525.5,132.6,109.1,164.0,2071.3,71.0,353.3,201.0,404.2,323.8,239.4,265.1,214.4,376.4,334.4,237.5,133.6,0.0,635.2,73.4,52.8,240.2,39.0,184.2,39.7,340.0,320.3,433.1,274.9,386.3,390.2,580.2,254.0,151.5,587.5,331.6,265.4,329.6,241.7,262.1,331.1,256.8,157.9,545.0,79.2,210.5,280.8,496.9,194.4,488.8,220.7,267.8,190.4,180.5,282.9,292.5,157.9,152.3,113.6,611.2,277.1,174.6,359.9,197.1,290.4,205.9,143.6,202.7,294.8,593.3,615.9,407.3,277.8,145.9,515.6,264.6,203.8,131.3,306.9,229.8,551.2,378.9,299.2,104.8,306.3,440.8,130.9
GG,518.7,617.2,413.9,635.0,623.2,465.9,751.3,741.1,210.0,561.4,793.6,592.8,2330.0,640.8,639.6,468.9,690.5,610.1,781.9,551.4,898.9,662.7,476.5,922.0,703.4,568.7,0.0,775.9,622.6,782.7,608.8,482.9,609.5,383.5,749.1,373.0,561.2,672.6,676.5,130.3,535.7,721.3,338.2,378.7,807.9,615.9,509.6,564.9,617.4,685.6,546.4,350.9,763.7,806.8,823.3,528.9,653.4,265.3,536.1,840.4,526.3,448.4,569.2,578.8,586.7,581.1,683.4,182.9,454.2,859.1,646.2,881.6,576.7,634.7,455.2,470.6,837.3,399.2,421.8,454.4,711.7,715.7,266.3,807.1,490.1,701.1,593.2,497.7,301.9,665.2,386.2,674.6,592.6,525.9,833.4
GH,531.3,96.1,440.3,393.3,381.5,335.0,236.3,226.1,570.1,151.9,52.7,120.5,2058.4,98.5,397.9,245.6,448.8,368.4,266.9,309.7,158.0,421.0,379.0,181.1,161.1,89.2,679.8,0.0,80.3,267.7,83.6,232.6,67.2,384.6,364.9,396.7,319.5,430.9,434.8,624.8,294.0,179.0,632.1,376.2,292.9,374.2,286.3,225.7,375.7,213.7,202.5,589.6,22.8,238.0,308.3,541.5,138.0,533.4,265.3,298.1,235.0,225.1,327.5,337.1,202.5,132.2,141.1,655.8,323.3,118.2,404.5,140.7,335.0,250.5,188.2,247.3,322.3,637.9,660.5,451.9,221.4,173.4,560.2,292.1,248.4,158.8,351.5,274.4,595.8,423.5,343.8,132.3,350.9,485.4,57.4
GY,513.8,142.5,422.8,374.3,364.0,400.7,156.2,145.7,552.6,158.2,99.1,166.9,2018.4,18.4,378.9,226.6,429.8,349.4,186.8,292.2,202.9,403.5,361.5,226.0,120.7,71.7,660.8,61.9,0.0,187.6,66.1,209.8,11.6,365.6,345.9,421.6,302.0,411.9,417.3,605.8,281.1,98.6,613.1,357.2,212.8,355.2,267.3,250.6,356.7,258.6,185.0,572.1,67.7,157.6,227.9,522.5,184.4,514.4,246.3,215.2,217.5,206.1,308.5,318.1,185.0,178.6,60.7,636.8,302.7,164.6,385.5,185.6,317.5,233.0,170.7,229.8,241.9,618.9,641.5,432.9,266.3,93.3,535.2,217.5,229.4,78.7,334.0,256.9,576.8,404.5,324.8,51.9,331.9,466.4,120.9
HI,696.3,325.0,605.3,558.3,546.5,500.0,41.3,51.5,735.1,342.2,281.6,349.4,2130.2,163.8,562.9,410.6,613.8,533.4,18.8,474.7,386.9,586.0,544.0,410.0,181.2,254.2,844.8,245.9,182.4,0.0,248.6,397.6,195.6,549.6,529.9,605.6,484.5,595.9,599.8,789.8,459.0,102.7,797.1,541.2,89.3,539.2,451.3,434.6,540.7,442.6,367.5,754.6,251.7,43.7,40.5,706.5,366.9,698.4,430.3,146.7,400.0,390.1,492.5,502.1,367.5,361.1,140.6,820.8,488.3,347.1,569.5,369.6,500.0,415.5,353.2,412.3,59.9,802.9,825.5,616.9,450.3,108.3,725.2,24.4,413.4,122.9,516.5,439.4,760.8,588.5,508.8,149.4,515.9,650.4,303.4
HL,447.6,149.3,356.6,309.6,297.8,251.3,236.7,226.5,486.4,93.5,192.7,124.9,1974.7,130.7,314.2,161.9,365.1,284.7,267.3,226.0,321.7,337.3,295.3,344.8,193.3,58.6,596.1,133.1,112.5,268.1,0.0,148.9,99.4,300.9,281.2,492.8,235.8,347.2,351.1,541.1,210.3,211.2,548.4,292.5,293.3,290.5,202.6,321.8,292.0,217.7,118.8,505.9,222.6,270.2,308.7,457.8,185.5,449.7,181.6,330.3,151.3,141.4,243.8,253.4,118.8,113.2,173.3,572.1,239.6,281.9,320.8,304.4,251.3,166.8,104.5,163.6,322.7,554.2,576.8,368.2,243.8,205.6,476.5,292.5,164.7,191.0,267.8,190.7,512.1,339.8,260.1,164.5,267.2,401.7,190.6
HT,465.1,217.9,370.3,235.7,223.9,249.2,375.3,361.3,401.1,162.1,261.3,193.5,1991.6,241.5,240.3,76.6,291.2,210.8,405.9,152.1,384.9,259.6,206.2,408.0,343.8,165.6,510.8,243.9,218.1,406.7,209.5,0.0,210.2,215.6,346.0,603.7,161.9,273.3,277.2,455.8,137.2,322.0,463.1,207.2,431.9,216.6,117.3,432.6,218.1,286.3,112.1,420.6,249.7,381.0,447.3,475.3,254.1,364.4,143.8,441.1,43.3,56.1,166.1,179.5,187.4,178.0,284.1,486.8,152.7,345.1,246.9,367.6,177.4,231.6,52.1,78.3,461.3,468.9,491.5,282.9,312.4,316.4,385.2,436.6,90.8,298.0,193.9,114.9,426.8,265.9,177.4,275.3,193.3,354.4,301.4
IA,500.6,129.3,409.6,362.6,350.8,304.3,169.0,158.8,539.4,146.5,85.9,153.7,2031.5,31.2,367.2,214.9,418.1,337.7,199.6,279.0,191.2,390.3,348.3,214.3,93.8,58.5,649.1,50.2,13.0,200.4,52.9,201.9,0.0,353.9,334.2,409.9,288.8,400.2,404.1,594.1,263.3,111.7,601.4,345.5,225.6,343.5,255.6,238.9,345.0,246.9,171.8,558.9,56.0,170.7,241.0,510.8,171.2,502.7,234.6,228.0,204.3,194.4,296.8,306.4,171.8,165.4,73.8,625.1,292.6,151.4,373.8,173.9,304.3,219.8,157.5,216.6,255.0,607.2,629.8,421.2,254.6,106.1,529.5,224.8,217.7,91.5,320.8,243.7,565.1,392.8,313.1,65.0,320.2,454.7,107.7
IE,295.1,487.3,204.1,397.5,385.7,108.0,558.4,548.2,292.7,431.5,530.7,462.9,2092.5,403.3,402.1,231.4,453.0,372.6,589.0,313.9,659.7,425.2,118.6,682.8,465.9,331.2,402.4,405.7,385.1,589.8,371.3,245.4,372.0,0.0,196.2,495.3,323.7,435.1,439.0,347.4,298.2,483.8,62.8,37.2,615.0,378.4,272.1,687.2,379.9,424.9,308.9,318.2,411.5,542.8,630.4,305.3,482.2,232.6,298.6,600.1,288.8,210.9,331.7,341.3,379.0,451.2,445.9,378.4,96.3,619.9,408.7,642.4,339.2,440.5,217.7,233.1,644.4,366.5,389.1,112.9,451.0,478.2,134.7,614.2,252.6,463.6,355.7,260.2,99.1,427.7,28.3,437.1,355.1,184.4,463.2
