from_stop,AN,BB,BR,BY,CA,CB,CF,CJ,CM,DB,DG,DL,DP,DZ,EB,EV,EX,FO,FP,FY,GH,GU,GX,HF,HM,HN,HY,HZ,IH,IN,IS,JA,JE,JG,JI,JM,JN,JX,KG,KI,KJ,KW,LA,LG,LH,LK,MB,MN,MR,NR,NV,OC,OM,ON,OY,PB,PG,PI,PO,PQ,QI,QP,QR,RA,RC,RK,RM,RS,RU,RV,RW,TB,TD,TH,TN,TY,UA,UQ,VA,VH,VK,VM,VO,VW,VZ,WD,WS,WV,XA,YK,YP,YR,YX,ZC,ZG,ZT,ZW
DG,257.2,68.1,352.8,164.7,205.3,179.9,324.8,98.3,231.1,100.4,0.0,128.0,75.3,74.9,116.1,197.5,136.1,139.2,286.2,252.7,216.8,208.9,295.4,175.5,242.5,64.8,190.1,300.2,77.8,206.6,100.1,286.1,96.0,338.1,61.2,131.7,2534.3,156.2,81.9,83.6,76.1,197.0,159.5,289.8,36.1,181.2,21.0,81.5,106.6,183.3,360.0,60.8,93.7,121.4,186.1,176.5,16.3,44.8,131.1,160.5,249.0,188.3,359.4,143.9,332.0,99.8,258.4,249.8,289.1,250.0,51.6,174.1,287.4,131.8,235.3,161.1,72.8,254.6,323.2,169.3,354.1,200.6,134.6,372.1,314.9,161.2,238.3,185.9,132.6,4.7,170.5,168.0,209.9,62.7,70.0,196.2,231.1
DL,131.4,120.3,221.2,67.6,99.1,129.3,196.7,100.1,103.0,43.4,130.7,0.0,76.6,67.9,67.3,114.6,87.3,96.7,163.3,129.8,95.3,96.3,167.3,118.8,110.7,106.0,67.2,172.1,130.0,159.4,100.1,163.2,42.7,206.3,77.3,65.6,2625.8,104.0,94.4,59.7,74.9,68.9,108.9,163.2,139.1,96.9,139.0,65.5,80.3,143.6,238.9,129.1,43.8,81.2,139.4,65.5,136.7,144.1,76.8,99.7,120.9,120.4,238.3,32.2,200.2,18.1,130.3,121.7,162.8,123.4,114.4,130.1,159.3,65.5,107.2,110.5,113.6,131.7,195.1,52.8,240.0,151.8,70.3,251.0,192.7,98.4,110.2,160.0,64.8,131.8,64.3,105.1,145.4,144.0,98.6,128.3,103.0
DP,154.7,78.7,314.2,154.1,196.5,169.3,226.0,30.1,132.3,101.4,72.6,81.6,0.0,64.3,107.3,186.9,127.3,130.4,187.4,212.3,113.3,200.1,196.6,172.8,140.0,38.4,149.7,201.4,88.4,217.9,30.1,187.3,57.2,235.6,24.7,82.4,2628.1,144.0,95.8,31.6,65.5,156.6,148.9,187.3,112.5,170.6,93.7,25.8,59.1,200.8,321.4,56.7,83.1,47.7,196.6,167.7,87.1,117.5,120.2,149.9,150.2,177.7,320.4,133.3,289.2,91.0,159.6,151.0,192.1,147.5,60.0,165.3,188.6,82.5,136.5,150.5,46.0,155.8,282.8,155.0,315.5,191.8,124.0,333.5,216.8,168.1,139.5,212.4,83.3,77.4,161.7,157.4,199.3,125.2,78.4,185.6,132.3
DZ,156.2,86.6,306.5,119.0,161.4,134.2,227.5,80.6,133.8,79.2,77.7,73.9,56.5,0.0,72.2,151.8,92.2,95.3,188.9,204.6,114.8,156.6,198.1,138.7,141.5,61.1,142.0,202.9,101.9,182.8,80.6,188.8,19.1,237.1,57.2,56.7,2585.5,112.3,42.7,34.8,12.4,148.9,113.8,188.8,110.2,135.5,98.8,40.6,33.4,165.7,313.7,79.8,48.0,98.2,161.5,134.5,92.2,115.2,81.7,114.8,151.7,142.6,312.3,98.2,286.4,55.9,161.1,152.5,193.6,149.0,92.5,139.7,190.1,56.8,138.0,115.4,69.1,157.3,275.1,119.9,315.2,145.9,88.9,359.7,219.4,115.0,141.0,175.2,57.6,82.5,126.6,122.3,164.2,115.1,110.9,150.5,133.8
EB,211.0,134.4,306.7,46.7,116.0,61.9,282.3,148.9,188.6,49.5,108.5,79.5,118.7,81.8,0.0,79.5,19.9,29.9,243.7,210.2,176.1,92.7,252.9,65.4,196.3,93.7,147.6,257.7,144.1,110.5,148.9,243.6,92.6,291.9,139.1,138.6,2607.8,40.0,93.3,116.7,63.0,154.5,41.5,243.6,150.2,63.2,131.4,122.5,115.3,93.4,319.3,112.4,24.1,166.5,89.2,87.2,124.8,155.2,16.3,49.4,206.5,85.3,318.7,72.3,292.0,59.1,215.9,207.3,248.4,203.8,154.3,57.9,244.9,138.7,192.8,43.1,101.7,212.1,280.7,74.5,320.4,84.4,43.5,331.4,273.1,71.3,195.8,105.0,139.5,115.1,81.2,50.0,91.9,163.1,172.7,93.2,188.6
EV,252.8,208.2,350.4,65.2,135.7,85.8,324.1,170.9,230.4,131.6,198.8,123.8,146.8,138.1,89.5,0.0,77.5,119.5,285.5,241.3,217.9,22.8,294.7,127.3,238.1,183.3,189.4,299.5,223.5,73.4,170.9,285.4,112.9,333.7,147.5,165.0,2725.7,100.9,180.9,125.1,150.6,196.3,59.0,285.4,231.8,37.3,219.9,130.9,141.7,117.3,357.6,202.0,113.7,187.1,113.1,108.8,213.3,236.8,105.9,139.0,248.3,90.5,356.2,74.0,340.7,106.3,250.7,249.1,290.2,245.6,182.8,12.1,286.7,165.1,234.6,104.0,191.3,253.9,319.0,94.2,359.1,36.5,91.7,403.6,316.0,160.9,237.6,128.9,164.7,203.6,100.9,110.9,54.8,236.7,201.2,82.6,230.4
EX,228.8,146.4,329.9,26.7,101.1,63.2,300.1,150.4,206.4,79.5,144.0,97.3,126.3,111.8,29.9,80.8,0.0,59.9,261.5,228.0,193.9,73.4,270.7,48.7,214.1,123.5,165.4,275.5,156.1,107.6,150.4,261.4,99.3,309.7,127.0,144.5,2637.8,19.9,120.5,104.6,93.0,172.3,42.8,261.4,170.0,64.5,161.4,110.4,121.2,92.5,337.1,144.2,54.1,168.0,88.3,86.4,154.8,175.0,49.7,79.2,224.3,68.6,336.5,53.5,304.9,85.8,233.7,225.1,266.2,221.6,162.3,59.2,262.7,144.6,210.6,26.4,131.7,229.9,298.5,73.7,331.2,85.7,71.2,349.2,296.1,101.9,213.6,100.8,145.4,145.1,80.4,33.3,93.2,174.9,180.7,76.5,206.4
FO,224.1,103.1,319.9,86.7,112.6,73.7,295.4,162.0,201.7,62.6,127.1,98.6,131.8,94.9,41.4,119.5,59.9,0.0,256.8,223.3,188.8,126.3,266.0,60.3,209.4,106.8,160.7,270.8,112.8,101.2,162.0,256.7,113.2,305.0,140.9,151.7,2600.2,61.0,78.7,118.5,76.1,167.6,81.5,256.7,128.2,103.2,128.1,124.3,128.4,87.2,332.4,111.8,37.2,179.6,81.9,82.3,133.2,133.2,10.2,17.9,219.6,62.2,331.4,67.4,300.2,72.2,229.0,220.4,261.5,216.9,167.4,97.9,258.0,151.8,205.9,54.5,114.8,225.2,293.8,69.6,326.5,93.9,38.6,346.0,290.6,41.3,208.9,96.2,152.6,128.2,74.1,47.6,87.9,133.1,185.8,70.1,201.7
FP,24.7,254.5,117.1,201.8,164.7,268.3,38.5,157.1,47.8,182.4,226.7,134.1,182.4,206.9,206.3,233.6,226.3,229.4,0.0,10.4,71.3,221.4,9.2,257.8,39.7,220.5,77.4,13.9,269.8,297.7,157.1,0.1,188.6,48.1,236.9,177.7,2573.4,246.4,228.6,193.9,213.9,71.6,247.9,0.1,303.7,231.1,283.6,182.2,210.5,282.6,138.2,239.2,182.1,143.4,278.4,206.4,241.2,308.7,215.8,233.9,29.2,258.7,154.8,170.5,55.1,157.1,19.8,28.4,4.7,31.9,176.6,245.7,1.1,177.6,43.4,249.5,228.5,23.6,147.2,191.8,107.0,270.2,209.3,202.2,30.4,237.4,40.2,294.2,176.9,231.5,198.5,244.1,284.4,281.2,160.8,266.6,47.8
FY,14.2,250.7,130.9,218.2,173.0,284.7,52.3,146.6,37.3,198.8,254.6,150.5,171.9,223.3,222.7,259.6,242.7,245.8,13.7,0.0,60.8,237.8,22.9,274.2,29.2,210.0,66.9,27.7,266.0,314.1,146.6,13.6,205.0,61.9,216.5,167.2,2567.2,262.8,245.0,177.5,230.3,61.1,264.3,13.6,283.3,247.5,263.2,171.7,187.9,299.0,152.0,228.7,198.5,132.9,294.8,178.7,269.1,288.3,232.2,250.3,18.7,275.1,168.6,186.9,68.9,173.5,9.3,17.9,18.4,21.4,166.1,271.7,14.9,167.1,32.9,265.9,218.0,13.1,172.4,208.2,120.8,296.2,225.7,216.0,44.2,253.8,29.7,310.6,166.4,259.4,214.9,260.5,314.5,260.8,150.3,283.0,37.3
GH,41.3,189.8,197.4,183.8,112.1,250.3,112.6,85.7,18.9,164.4,159.0,120.7,111.4,158.1,188.1,225.2,208.3,212.9,74.0,60.2,0.0,212.3,83.2,238.8,26.6,149.5,32.5,88.0,199.5,279.7,85.7,73.9,129.0,122.2,172.0,106.3,2627.5,225.0,210.6,116.6,170.6,26.7,197.2,73.7,238.8,175.5,218.7,110.8,127.0,265.7,212.3,172.9,164.1,72.0,260.4,120.0,169.8,243.8,201.2,215.7,36.8,240.7,229.3,152.5,135.5,138.9,46.2,37.6,78.5,33.9,105.2,246.8,75.2,106.2,23.1,231.5,157.1,42.4,211.1,133.4,186.1,272.6,191.3,242.4,107.8,219.4,26.1,276.2,105.5,160.1,128.6,226.1,280.1,216.3,89.4,248.6,18.9
GU,236.1,190.5,331.8,52.0,122.5,75.7,307.4,157.7,213.7,118.4,183.8,104.6,133.6,124.9,94.3,23.0,64.3,117.2,268.8,244.5,200.8,0.0,278.0,113.1,221.4,171.7,172.7,282.8,200.2,96.5,157.7,268.7,99.7,317.0,134.3,151.8,2676.7,84.3,167.7,111.9,137.4,179.6,45.8,268.7,225.5,24.1,206.7,117.7,128.5,107.2,344.4,192.2,118.1,175.3,103.0,93.7,200.1,230.5,103.6,136.7,231.6,101.3,343.4,60.8,310.9,93.1,253.9,232.4,273.5,228.9,169.6,44.6,270.0,151.9,217.9,90.8,179.7,237.2,305.8,81.0,345.5,70.4,78.5,356.5,298.2,166.3,220.9,118.8,152.7,190.4,85.5,97.7,77.9,219.0,188.0,105.7,213.7
GX,34.4,264.2,107.9,211.5,174.4,278.0,29.3,166.8,57.5,192.1,236.4,143.8,192.1,216.6,216.0,243.3,236.0,239.1,9.7,20.1,81.0,231.1,0.0,267.5,49.4,230.2,87.1,4.7,279.5,307.4,166.8,9.9,198.3,38.9,246.6,187.4,2583.1,256.1,238.3,203.6,223.6,81.3,257.6,9.9,313.4,240.8,293.3,191.9,220.2,292.3,129.0,248.9,191.8,153.1,288.1,216.1,250.9,318.4,225.5,243.6,38.9,268.4,145.6,180.2,45.9,166.8,29.5,38.1,4.7,41.6,186.3,255.4,8.5,187.3,53.1,259.2,238.2,33.3,149.4,201.5,97.8,279.9,219.0,193.0,21.2,247.1,49.9,303.9,186.6,241.2,208.2,253.8,294.1,290.9,170.5,276.3,57.5
HF,251.9,107.1,348.7,76.9,150.3,60.8,324.2,200.6,230.5,75.7,148.0,121.2,174.1,130.1,56.8,127.7,49.1,60.2,285.6,252.1,217.6,123.6,294.8,0.0,237.2,136.6,189.5,299.6,115.8,88.3,200.6,285.5,148.3,332.8,177.2,186.9,2589.4,30.1,81.2,154.8,118.0,196.4,89.7,284.5,129.7,111.4,130.6,160.6,162.6,69.1,361.2,114.3,81.0,217.2,69.0,136.6,136.2,135.7,71.9,38.9,248.4,49.3,359.6,103.7,329.0,100.0,257.8,249.2,289.3,244.7,203.4,105.1,286.8,187.0,234.7,23.6,130.0,254.0,322.6,122.9,354.3,81.5,100.4,372.3,319.4,52.1,237.7,51.0,187.8,146.9,128.4,16.7,75.0,135.6,221.8,57.2,230.5
HM,14.6,221.4,170.7,188.9,143.7,255.4,85.9,117.3,8.1,169.5,185.1,125.3,142.6,194.0,193.4,230.3,213.4,216.5,47.3,33.5,31.1,217.6,56.5,243.9,0.0,180.5,37.6,61.3,231.1,284.8,117.3,47.2,168.8,95.5,197.1,137.9,2600.8,233.5,215.7,148.2,201.0,31.8,235.0,47.2,263.9,218.2,243.8,142.4,158.6,269.7,185.6,201.2,169.2,103.6,265.5,151.6,201.4,268.9,209.1,221.0,10.1,245.8,202.6,157.6,110.4,144.2,19.5,10.9,52.0,7.4,136.8,251.9,48.5,137.8,3.7,236.6,188.7,15.7,206.0,178.9,159.6,277.7,196.4,249.6,81.1,224.5,0.5,281.3,137.1,191.7,185.6,231.2,285.2,241.4,121.0,253.7,8.1
HN,192.2,40.2,332.4,148.5,190.5,163.1,262.9,67.0,169.2,86.8,44.8,106.6,37.4,58.3,101.1,180.7,121.3,124.2,224.5,236.1,150.4,194.1,233.7,167.6,177.1,0.0,173.9,238.3,49.9,205.9,67.0,224.4,77.5,272.7,61.6,115.5,2570.2,138.0,68.3,69.1,59.9,180.2,142.7,224.4,81.8,164.4,67.5,62.7,92.2,179.4,345.0,18.6,77.5,85.2,185.4,161.7,61.5,86.8,110.8,143.9,187.7,171.5,344.6,127.7,312.8,85.0,196.5,188.5,229.0,184.6,90.6,159.1,225.7,115.0,173.4,144.5,8.1,192.9,306.6,148.8,346.7,181.5,118.4,357.3,258.3,140.6,176.6,188.9,115.8,51.8,153.3,151.2,193.3,87.3,108.8,179.4,169.2
HY,63.3,203.9,209.9,151.2,114.1,217.7,134.6,114.2,40.9,131.8,214.1,83.5,139.5,156.3,155.7,192.6,175.7,178.8,96.0,82.2,28.4,170.8,105.2,207.2,48.6,177.6,0.0,110.0,219.2,247.1,114.2,95.9,138.0,144.2,176.0,116.6,2649.5,195.8,178.0,143.3,163.3,6.8,197.3,95.9,242.8,180.5,222.7,149.1,159.9,232.0,217.1,196.3,131.5,100.5,227.8,155.8,228.6,247.8,165.2,183.3,58.8,208.1,215.7,119.9,151.2,106.5,68.2,59.6,100.7,56.1,133.7,204.7,97.2,116.5,45.1,198.9,185.6,64.4,178.5,141.2,203.1,229.2,158.7,263.1,126.5,186.8,48.1,243.6,115.8,218.9,147.9,193.5,247.5,220.3,117.9,216.0,40.9
HZ,39.5,269.3,103.1,216.6,179.5,283.1,24.6,171.9,62.6,197.2,241.5,153.0,197.2,221.7,221.1,248.4,241.1,244.2,14.7,25.2,86.1,236.2,5.0,272.6,54.5,235.3,92.2,0.0,284.6,312.5,171.9,14.9,203.4,34.1,251.7,192.5,2588.2,261.2,243.4,208.7,228.7,86.4,262.7,14.9,318.5,245.9,298.4,197.0,225.3,297.4,124.2,254.0,196.9,158.2,293.2,221.2,256.0,323.5,230.6,248.7,44.0,273.5,140.8,185.3,41.1,171.9,34.6,43.2,9.7,46.7,191.4,260.5,13.5,192.4,58.2,264.3,243.3,38.4,144.6,206.6,93.0,285.0,224.1,188.2,16.5,252.2,55.0,309.0,191.7,246.3,213.3,258.9,299.2,296.0,175.6,281.4,62.6
IH,261.9,8.8,357.6,197.2,215.1,163.3,333.2,116.3,239.5,84.7,77.0,130.4,86.1,95.1,150.4,229.4,170.4,136.3,294.6,261.1,226.6,212.3,303.8,122.4,247.2,48.6,198.5,308.6,0.0,155.3,116.3,294.5,130.2,342.8,110.9,151.9,2519.8,149.2,66.2,117.8,83.0,205.4,192.0,294.5,59.7,213.7,59.6,112.0,128.6,129.0,370.2,28.5,126.2,133.9,134.8,186.3,66.2,64.7,145.2,116.9,257.4,169.8,369.6,152.3,336.7,110.0,266.8,258.2,299.3,254.7,132.4,207.8,295.8,152.0,243.7,146.1,41.0,263.0,331.6,173.6,364.3,182.0,167.1,416.2,328.4,97.3,246.7,138.3,152.8,75.9,178.1,139.2,174.5,64.6,150.8,177.0,239.5
IN,293.0,147.2,394.1,135.0,209.8,65.1,364.3,245.0,270.6,115.8,191.8,161.5,215.2,170.2,101.1,74.0,108.2,101.8,325.7,292.2,258.1,96.9,334.9,68.5,278.3,178.1,229.6,339.7,162.5,0.0,245.0,325.6,187.0,373.9,221.6,227.0,2624.5,84.8,121.3,199.2,158.1,236.5,95.0,325.6,170.8,111.4,170.7,205.0,203.7,57.5,401.3,159.2,125.3,261.2,53.3,182.9,177.3,175.8,115.4,80.0,288.5,29.5,399.9,148.1,374.0,141.1,297.9,289.3,330.4,285.8,243.5,61.9,326.9,227.1,274.8,81.7,170.1,294.1,362.7,168.3,402.8,37.4,140.5,447.3,356.2,101.9,277.8,69.0,227.9,187.0,175.0,74.8,19.1,175.7,261.9,21.6,270.6
IS,124.5,104.0,313.4,179.4,221.8,194.6,195.8,0.0,102.1,126.7,95.2,80.8,25.2,74.7,132.6,212.2,152.6,155.7,157.2,143.4,83.1,217.0,166.4,199.1,109.8,63.3,148.9,171.2,119.3,243.2,0.0,157.1,56.4,205.4,43.9,81.6,2597.9,172.7,117.5,30.8,87.2,109.9,174.2,157.1,135.1,195.9,116.3,25.0,58.3,226.1,320.6,82.0,108.4,17.6,221.9,194.9,109.7,140.1,142.1,175.2,120.0,203.0,319.2,158.6,212.4,116.3,129.4,120.8,161.9,117.3,79.2,200.1,158.4,81.7,106.3,175.8,71.3,125.6,282.0,180.3,264.3,206.3,149.3,366.6,187.7,189.8,109.3,237.7,82.5,100.0,187.0,182.7,224.6,150.5,76.7,210.9,102.1
JA,24.5,254.3,117.2,201.6,164.5,268.1,38.7,156.9,47.6,182.2,226.5,133.9,182.2,206.7,206.1,233.4,226.1,229.2,0.1,10.2,71.1,221.2,9.3,257.6,39.5,220.3,77.2,14.0,269.6,297.5,156.9,0.0,188.4,48.2,236.7,177.5,2573.2,246.2,228.4,193.7,213.7,71.4,247.7,0.0,303.5,230.9,283.4,182.0,210.3,282.4,138.3,239.0,181.9,143.2,278.2,206.2,241.0,308.5,215.6,233.7,29.0,258.5,154.9,170.3,55.2,156.9,19.6,28.2,4.8,31.7,176.4,245.5,1.2,177.4,43.2,249.3,228.3,23.4,147.0,191.6,107.1,270.0,209.1,202.3,30.6,237.2,40.0,294.0,176.7,231.3,198.3,243.9,284.2,281.0,160.6,266.4,47.6
JE,169.0,104.9,264.7,144.2,186.6,152.5,240.3,57.9,146.6,104.4,89.5,37.5,33.8,25.1,97.4,177.0,117.4,120.5,201.7,168.2,95.8,190.2,178.9,162.9,154.3,71.7,105.6,183.7,114.6,208.0,57.9,201.6,0.0,249.9,34.5,52.0,2633.4,137.5,67.9,12.1,37.6,112.5,139.0,201.6,128.5,160.7,106.9,17.9,14.2,184.0,294.5,99.2,73.2,75.5,186.7,157.8,100.3,130.7,100.0,140.0,132.5,160.9,293.9,123.4,261.0,81.1,173.9,165.3,174.4,161.8,73.3,148.5,170.9,52.1,118.8,140.6,83.4,170.1,238.7,145.1,288.6,175.0,107.2,289.4,199.1,140.2,153.8,200.4,52.9,90.6,144.9,147.5,189.4,140.3,88.2,168.8,146.6
JG,75.5,305.3,75.1,252.6,215.5,319.1,9.9,207.9,98.6,233.2,281.2,189.0,233.2,257.7,257.1,284.4,277.1,280.2,50.7,61.2,121.7,281.3,41.0,307.6,90.5,271.1,128.2,35.9,315.0,348.5,207.9,50.9,232.5,0.0,287.7,228.5,2577.9,297.2,279.4,244.7,264.7,122.4,298.7,50.9,354.5,281.9,334.4,233.0,261.3,333.4,90.0,290.0,232.9,194.2,329.2,255.3,292.0,359.5,272.8,284.7,80.0,309.5,107.0,221.3,13.2,207.9,70.6,79.2,45.7,82.7,227.4,306.0,49.5,228.4,94.2,300.3,279.3,74.4,110.4,242.6,64.0,331.8,260.1,120.1,18.5,288.2,91.0,345.0,227.7,282.3,249.3,294.9,335.2,332.0,211.6,317.4,98.6
