from_stop,AA,AH,AI,AM,AP,AS,AW,BB,BK,BX,CA,CB,CQ,CT,CX,DC,DD,DV,DX,DY,EA,ED,EM,EQ,ET,EY,FC,FL,FO,FU,FW,GE,GN,GP,GY,HG,HH,HI,HJ,HN,HO,HV,IA,IB,IC,IM,IW,JI,KA,KI,KP,LA,LF,LL,LN,LR,LS,LV,LZ,MB,ME,MU,MV,MW,NC,NG,NR,NS,OF,OH,OI,ON,OT,OW,OX,OY,PC,PE,PI,PL,PS,PT,PW,PY,QB,QO,QQ,QT,QY,RN,RQ,RS,RU,RW,RY,TB,TC,TL,TM,TP,UB,UC,UF,UN,UO,UP,VC,VK,VZ,WK,WN,WT,XN,XT,XV,XZ,YJ,YU,YV,YX,YY,ZM
CA,956.2,1139.3,1292.9,44.5,1179.0,965.7,908.8,1489.2,960.7,643.5,0.0,765.7,878.4,693.7,650.5,251.5,1603.6,921.6,1069.1,1265.1,66.0,1276.4,1187.8,968.9,848.9,257.2,298.2,944.8,1339.4,1088.6,367.5,109.3,1184.0,1216.0,211.5,1234.3,1462.8,179.7,336.9,448.0,443.3,1314.5,3151.3,214.0,802.6,283.1,486.3,1131.0,611.8,1256.5,152.0,976.0,749.7,532.7,1200.7,1024.6,1000.1,1219.0,494.8,1195.6,1414.6,1142.3,663.0,417.2,1297.0,1297.4,457.0,1213.9,1151.6,673.6,992.3,1382.1,1314.2,631.5,1029.2,1125.3,307.2,292.7,1519.2,871.3,164.6,179.5,172.7,625.0,884.4,443.5,1165.6,1186.9,461.8,199.1,899.4,1229.1,87.2,467.8,470.8,1203.7,946.0,1344.8,1460.7,488.6,908.6,1205.9,1056.3,249.5,1320.7,1251.3,1248.7,958.5,1450.6,309.1,1253.6,1507.2,1217.0,501.3,752.0,339.1,1489.3,1232.5,1171.8,140.0,1087.1,1003.8
CB,190.4,373.5,527.1,856.0,413.2,559.7,394.6,791.7,194.9,250.7,803.8,0.0,112.6,243.0,199.8,561.4,906.1,346.3,502.6,499.3,869.9,510.6,422.0,924.4,83.1,572.3,548.1,176.3,667.5,322.8,787.7,757.1,418.2,551.1,563.1,562.4,765.3,811.5,646.8,345.2,399.6,642.6,2523.4,646.4,396.6,593.0,442.6,365.2,205.8,490.7,799.8,210.2,343.7,460.2,432.2,973.1,234.3,453.2,451.1,429.8,717.1,376.5,212.3,437.3,531.2,528.9,385.8,542.0,605.1,245.8,226.5,710.2,548.4,225.5,507.4,473.5,617.1,602.6,821.7,329.5,812.4,653.5,689.3,216.3,871.8,399.3,493.7,421.1,436.9,575.5,133.6,463.3,735.0,384.3,372.0,443.0,540.0,672.9,763.2,389.3,142.8,440.1,290.5,669.7,648.8,485.5,482.9,383.2,778.7,703.4,581.7,809.7,451.2,404.0,298.6,649.0,723.5,473.7,406.0,787.8,321.3,952.3
CQ,213.4,396.5,550.1,972.5,436.2,636.7,417.6,838.2,217.9,367.2,920.3,116.4,0.0,359.5,316.3,677.9,952.6,369.3,525.6,522.3,986.4,533.6,445.0,947.4,64.1,688.8,664.6,199.3,690.5,345.8,904.2,873.6,441.2,574.1,679.6,585.4,815.6,928.0,763.3,461.7,516.1,665.6,2546.4,762.9,480.3,709.5,559.1,388.2,322.3,513.7,916.3,233.2,485.9,576.7,455.2,996.1,257.3,476.2,567.6,452.8,763.6,399.5,328.8,553.8,554.2,551.9,502.3,565.0,628.1,362.3,249.5,733.2,571.4,342.0,530.4,496.5,733.6,719.1,868.2,352.5,928.9,770.0,805.8,332.8,894.8,515.8,516.7,444.1,553.4,692.0,114.6,486.3,851.5,500.8,488.5,466.0,617.0,695.9,809.7,505.8,165.8,463.1,313.5,786.2,671.8,508.5,505.9,406.2,801.7,819.9,604.7,856.2,474.2,520.5,415.1,765.5,746.5,496.7,429.0,904.3,344.3,975.3
CT,414.8,597.9,751.5,785.3,637.6,489.0,432.1,965.6,419.3,180.0,733.1,224.3,337.0,0.0,35.2,490.7,1080.0,444.9,727.0,723.7,799.2,735.0,646.4,815.7,307.5,501.6,477.4,400.7,891.9,547.2,717.0,686.4,642.6,775.5,492.4,786.8,939.2,740.8,576.1,274.5,328.9,867.0,2747.8,575.7,325.9,522.3,371.9,589.6,135.1,715.1,729.1,434.6,273.0,389.5,656.6,864.4,458.7,677.6,380.4,654.2,891.0,600.9,21.9,366.6,755.6,753.3,315.1,766.4,829.5,84.0,450.9,934.6,772.8,154.8,731.8,697.9,546.4,531.9,995.6,394.6,741.7,582.8,618.6,145.6,724.2,328.6,718.1,645.5,366.2,504.8,358.0,687.7,664.3,313.6,301.3,667.4,469.3,897.3,937.1,318.6,367.2,664.5,514.9,599.0,873.2,709.9,707.3,481.8,1003.1,632.7,806.1,983.6,675.6,333.3,115.7,578.3,947.9,698.1,630.4,717.1,545.7,843.6
CX,379.5,562.6,716.2,750.0,602.3,453.7,396.8,930.3,384.0,144.7,697.8,189.0,301.7,43.1,0.0,455.4,1044.7,409.6,691.7,688.4,763.9,699.7,611.1,780.4,272.2,466.3,442.1,365.4,856.6,511.9,681.7,651.1,607.3,740.2,457.1,751.5,903.9,705.5,540.8,239.2,293.6,831.7,2712.5,540.4,290.6,487.0,336.6,554.3,99.8,679.8,693.8,399.3,237.7,354.2,621.3,829.1,423.4,642.3,345.1,618.9,855.7,565.6,12.4,331.3,720.3,718.0,279.8,731.1,794.2,48.7,415.6,899.3,737.5,119.5,696.5,662.6,511.1,496.6,960.3,359.3,706.4,547.5,583.3,110.3,688.9,293.3,682.8,610.2,330.9,469.5,322.7,652.4,629.0,278.3,266.0,632.1,434.0,862.0,901.8,283.3,331.9,629.2,479.6,563.7,837.9,674.6,672.0,446.5,967.8,597.4,770.8,948.3,640.3,298.0,98.7,543.0,912.6,662.8,595.1,681.8,510.4,808.3
DC,736.1,916.0,1074.6,342.8,955.7,742.4,685.5,1265.9,737.4,420.2,301.0,542.4,655.1,470.4,427.2,0.0,1380.3,698.3,845.8,1041.8,356.7,1053.1,973.9,752.6,625.6,9.4,194.2,722.0,1120.3,865.3,274.5,243.9,960.7,1002.9,49.9,1011.0,1242.5,298.3,85.3,224.7,220.0,1091.2,2928.0,153.0,579.3,31.6,263.0,907.7,388.5,1033.2,289.8,752.7,526.4,396.3,977.9,801.3,776.8,995.7,271.5,972.3,1191.3,919.0,439.7,306.7,1073.7,1074.6,233.7,990.6,928.3,460.5,769.0,1142.4,1096.5,402.6,809.1,902.0,55.5,41.2,1295.9,648.0,299.2,140.3,176.1,402.2,661.1,220.2,942.3,963.6,350.8,62.3,676.1,1005.8,221.8,342.6,247.5,987.4,722.7,1109.8,1237.4,306.3,688.5,986.9,833.0,156.5,1097.4,1028.0,1025.4,735.2,1227.3,190.2,1030.3,1283.9,993.7,275.5,529.2,87.5,1266.0,1016.2,948.5,274.6,829.1,780.5
DD,284.5,799.5,249.0,1767.0,641.3,707.8,488.7,244.2,734.9,1161.7,1714.8,910.9,950.1,1154.0,1110.8,1472.4,0.0,440.4,928.6,727.4,1780.9,738.7,79.7,1420.9,920.6,1483.3,1459.1,750.4,1093.5,109.1,1698.7,1668.1,646.3,977.1,1474.1,988.4,322.2,1722.5,1557.8,1256.2,1310.6,1068.6,2187.3,1557.4,551.4,1504.0,1353.6,87.1,686.1,148.4,1710.8,221.9,557.0,1371.2,660.3,1469.6,197.8,110.9,1362.1,855.8,178.9,660.9,1123.3,1348.3,815.6,954.9,1296.8,968.0,1031.1,1156.8,256.7,1136.2,206.1,661.0,933.4,899.5,1528.1,1513.6,82.4,423.6,1723.4,1564.5,1600.3,672.3,1368.3,1310.3,919.7,847.1,1347.9,1486.5,971.1,691.4,1646.0,1295.3,1283.0,671.1,688.1,1098.9,215.7,1300.3,779.8,162.0,228.1,1580.7,1074.8,713.6,711.0,477.3,1204.7,1614.4,1007.7,195.7,877.2,1315.0,1209.6,1560.0,388.7,701.8,678.5,1698.8,415.4,1448.8
DV,151.0,379.1,530.2,1008.5,434.3,324.4,48.2,687.1,216.0,403.2,956.3,356.3,395.5,420.2,377.0,713.9,442.8,0.0,391.1,520.4,1022.4,531.7,425.1,483.6,366.0,724.8,700.6,197.4,204.9,325.9,940.2,909.6,439.3,201.5,715.6,190.2,765.1,964.0,799.3,497.7,552.1,180.0,2544.5,798.9,168.0,745.5,595.1,368.3,302.7,493.8,952.3,213.3,173.6,612.7,453.3,434.9,237.4,456.3,603.6,334.1,621.8,397.6,389.5,589.8,552.3,235.0,538.3,210.6,493.6,423.0,229.6,247.6,551.5,277.6,395.9,299.2,769.6,755.1,525.3,40.2,964.9,806.0,841.8,288.9,536.2,551.8,258.9,341.5,589.4,728.0,416.5,484.4,887.5,536.8,524.5,464.1,304.7,210.3,658.6,541.8,208.3,443.2,293.6,822.2,203.1,506.6,504.0,36.8,316.1,855.9,170.9,638.6,312.7,556.5,475.8,801.5,734.1,494.8,427.1,940.3,214.5,455.7
DX,281.5,178.5,655.6,1109.6,348.2,597.4,454.6,763.1,309.3,753.0,1057.4,502.2,541.4,745.3,702.1,815.0,877.5,406.3,0.0,434.3,1123.5,445.6,550.5,448.9,511.9,825.9,961.0,324.8,317.4,451.3,1041.3,1010.7,353.2,201.0,816.7,212.3,696.4,1065.1,900.4,836.3,831.6,292.5,2458.4,919.8,517.3,846.6,874.6,493.7,652.0,619.2,1053.4,343.8,522.9,962.5,367.2,497.6,367.9,581.7,883.1,206.9,688.5,311.5,714.6,939.6,466.2,256.5,845.3,191.9,111.6,748.1,360.1,360.1,469.3,626.9,31.9,103.3,870.7,856.2,793.1,389.5,1066.0,907.1,942.9,638.2,396.3,831.8,143.6,145.7,939.2,829.1,562.4,398.3,988.6,886.6,859.1,378.0,617.1,322.8,734.6,917.9,354.2,568.6,431.8,923.3,298.7,420.5,417.9,443.2,428.6,957.0,231.6,781.1,228.3,889.6,800.9,902.6,658.5,408.7,341.0,1041.4,381.3,476.8
DY,371.2,367.7,396.1,1352.1,95.4,794.5,575.4,644.4,303.1,746.8,1299.9,496.0,535.2,739.1,695.9,1057.5,758.8,527.1,496.8,0.0,1366.0,227.7,145.3,918.6,505.7,1068.4,1044.2,318.6,661.7,256.2,1283.8,1253.2,90.4,545.3,1059.2,556.6,577.7,1307.6,1142.9,841.3,895.7,636.8,2339.7,1142.5,638.1,1089.1,938.7,234.2,701.9,230.7,1295.9,369.0,643.7,956.3,234.5,967.3,344.9,147.5,947.2,424.0,569.8,197.0,708.4,933.4,383.8,523.1,881.9,536.2,599.3,741.9,387.3,704.4,47.2,721.6,501.6,467.7,1113.2,1098.7,674.4,510.3,1308.5,1149.6,1185.4,712.4,866.0,895.4,487.9,415.3,933.0,1071.6,556.2,265.6,1231.1,880.4,868.1,65.6,774.8,667.1,615.9,885.4,348.0,309.1,375.2,1165.8,643.0,287.8,98.6,564.0,772.9,1199.5,575.9,662.4,445.4,900.1,794.7,1145.1,229.8,33.8,167.5,1283.9,502.1,946.5
EA,1021.5,1204.6,1363.2,23.3,1244.3,1031.0,974.1,1554.5,1026.0,708.8,72.2,831.0,943.7,759.0,715.8,320.0,1668.9,986.9,1134.4,1330.4,0.0,1341.7,1253.1,1041.2,914.2,329.5,370.5,1007.4,1408.9,1153.9,432.8,174.6,1249.3,1288.3,276.8,1299.6,1528.1,252.0,402.2,513.3,508.6,1379.8,3216.6,286.3,867.9,348.4,551.6,1196.3,677.1,1321.8,217.3,1041.3,815.0,598.0,1263.3,1089.9,1065.4,1284.3,560.1,1260.9,1479.9,1207.6,728.3,479.8,1362.3,1360.0,522.3,1279.2,1216.9,745.9,1057.6,1431.0,1385.1,696.8,1094.5,1190.6,372.3,358.0,1584.5,936.6,229.9,244.8,238.0,687.6,949.7,508.8,1230.9,1252.2,527.1,264.4,964.7,1294.4,152.5,533.1,536.1,1276.0,1011.3,1410.1,1526.0,553.9,973.9,1275.5,1121.6,314.8,1386.0,1316.6,1314.0,1023.8,1515.9,374.4,1318.9,1572.5,1282.3,564.1,814.6,404.4,1554.6,1304.8,1237.1,205.3,1152.4,1069.1
ED,352.0,348.5,611.1,1332.9,141.1,775.3,556.2,625.2,283.9,727.6,1280.7,476.8,516.0,719.9,676.7,1038.3,739.6,507.9,477.6,227.2,1346.8,0.0,360.3,899.4,486.5,1049.2,1025.0,299.4,642.5,443.9,1264.6,1234.0,146.1,526.1,1040.0,537.4,558.5,1288.4,1123.7,822.1,876.5,617.6,2320.5,1123.3,618.9,1069.9,919.5,449.2,682.7,445.7,1276.7,351.8,624.5,937.1,215.3,948.1,375.9,362.5,928.0,404.8,550.6,128.4,689.2,914.2,320.0,503.9,862.7,517.0,580.1,722.7,368.1,685.2,262.2,702.4,482.4,448.5,1094.0,1079.5,655.2,491.1,1289.3,1130.4,1166.2,693.2,846.8,876.2,468.7,396.1,913.8,1052.4,537.0,246.4,1211.9,861.2,848.9,170.9,755.6,647.9,596.7,866.2,328.8,524.1,424.4,1146.6,623.8,268.6,210.8,544.8,753.7,1180.3,556.7,643.2,426.2,880.9,775.5,1125.9,444.8,201.6,98.9,1264.7,482.9,927.3
EM,286.2,458.8,255.7,1285.1,219.1,709.5,490.4,313.4,318.1,679.8,1243.3,429.0,468.2,672.1,628.9,993.7,69.1,442.1,577.4,155.9,1299.0,351.4,0.0,868.7,438.7,1003.2,977.2,290.1,375.4,120.2,1216.8,1186.2,214.1,387.8,992.2,376.5,394.4,1240.6,1075.9,774.3,828.7,346.3,2206.3,1075.5,553.1,1022.1,871.7,88.8,687.8,85.3,1228.9,223.6,558.7,889.3,346.7,820.0,199.5,21.7,880.2,466.6,248.1,320.7,641.4,866.4,507.5,376.9,814.9,396.9,679.9,668.4,258.4,397.5,131.9,669.2,582.2,485.5,1046.0,1031.7,151.6,425.3,1241.5,1082.6,1118.4,674.0,921.3,828.4,445.2,506.4,866.0,1004.6,489.2,389.3,1164.1,813.4,801.1,187.4,689.8,364.9,284.9,818.4,280.9,168.0,229.8,1098.8,389.4,400.0,210.8,479.0,482.4,1132.5,357.2,264.9,445.2,830.6,737.1,1078.1,308.9,146.0,291.2,1216.9,382.4,840.8
EQ,547.9,588.2,932.1,891.7,757.9,148.4,461.1,1172.8,719.0,621.5,849.9,720.1,832.8,648.1,604.9,600.3,1287.2,473.9,456.8,844.0,905.6,855.3,822.0,0.0,803.3,609.8,743.1,734.5,731.3,722.8,823.4,792.8,762.9,610.7,598.8,622.0,1106.1,847.2,682.5,618.4,613.7,702.2,2868.1,701.9,354.9,628.7,656.7,765.2,313.3,890.7,835.5,610.2,302.0,790.0,776.9,48.7,634.3,853.2,665.2,616.6,1098.2,721.2,617.4,785.1,875.9,666.2,627.4,601.6,539.3,635.0,626.5,769.8,884.6,288.2,416.9,513.0,652.6,638.3,1202.8,423.6,848.1,689.2,725.0,299.5,52.5,613.9,553.3,555.4,784.7,611.2,853.8,808.0,770.7,736.3,641.2,789.6,168.1,720.8,1144.3,700.0,763.9,840.1,690.5,705.4,708.4,830.2,827.6,510.8,838.3,739.1,641.3,1190.8,638.0,669.2,703.7,684.7,1068.2,818.4,750.7,823.5,576.7,27.9
ET,205.9,389.0,542.6,965.0,428.7,629.2,410.1,830.7,210.4,359.7,912.8,108.9,56.1,352.0,308.8,670.4,945.1,361.8,518.1,514.8,978.9,526.1,437.5,939.9,0.0,681.3,657.1,191.8,683.0,338.3,896.7,866.1,433.7,566.6,672.1,577.9,808.1,920.5,755.8,454.2,508.6,658.1,2538.9,755.4,472.8,702.0,551.6,380.7,314.8,506.2,908.8,225.7,478.4,569.2,447.7,988.6,249.8,468.7,560.1,445.3,756.1,392.0,321.3,546.3,546.7,544.4,494.8,557.5,620.6,354.8,242.0,725.7,563.9,334.5,522.9,489.0,726.1,711.6,860.7,345.0,921.4,762.5,798.3,325.3,887.3,508.3,509.2,436.6,545.9,684.5,50.4,478.8,844.0,493.3,481.0,458.5,609.5,688.4,802.2,498.3,158.3,455.6,306.0,778.7,664.3,501.0,498.4,398.7,794.2,812.4,597.2,848.7,466.7,513.0,407.6,758.0,739.0,489.2,421.5,896.8,336.8,967.8
