from_stop,AE,AW,BA,BG,BI,BM,BO,BZ,CB,CJ,CO,CV,DA,DN,ED,EG,EX,EZ,FD,FF,FG,FI,FO,FV,GG,GQ,GU,HD,HK,HW,HX,IH,IK,IL,IP,IY,JF,JN,JR,JT,KK,KM,LL,LP,LU,LV,LW,MW,NA,NB,NE,NF,NH,NK,NR,NX,OB,OC,OD,OV,PC,PM,QB,QF,QG,QJ,QP,QQ,RH,RM,RV,RX,RZ,SH,SN,SO,ST,SU,TB,TC,TI,TN,TO,UA,UB,UC,VF,VV,VW,WM,WO,WT,WU,XL,XM,XQ,XU,XY,YA,YB,YC,YT,ZE,ZL,ZS
CO,322.7,141.2,313.6,96.8,157.5,160.3,261.1,200.9,142.9,171.0,0.0,345.2,354.3,359.5,248.9,252.3,344.0,330.4,324.3,151.8,256.1,268.6,128.9,195.7,141.8,147.0,220.8,293.2,185.6,232.8,1520.1,218.6,52.7,38.0,297.9,119.5,325.7,36.8,219.1,162.6,35.4,156.9,25.4,207.5,85.7,87.3,109.0,153.8,323.7,195.8,214.7,210.5,71.7,180.8,120.4,192.1,10.6,373.7,238.5,110.4,110.8,198.2,35.6,290.6,285.6,183.3,103.5,164.7,259.9,298.5,322.0,89.0,280.2,268.5,141.5,299.2,13.4,85.9,63.8,176.4,149.7,112.3,99.9,173.7,244.5,231.1,285.8,284.1,337.8,107.3,66.2,312.6,163.8,311.1,202.8,146.5,80.1,258.0,229.0,226.8,190.7,125.5,362.9,21.5,235.6
CV,33.2,370.4,48.9,288.6,245.3,345.4,210.6,383.7,254.8,353.8,357.9,0.0,17.9,13.9,318.4,149.4,51.6,66.6,70.6,334.8,73.4,68.3,187.7,265.2,271.9,173.4,105.5,110.2,255.1,470.7,1766.8,389.3,357.7,377.3,367.6,358.5,101.8,277.9,288.6,400.3,309.9,386.1,353.2,378.2,318.5,303.8,330.7,166.9,38.0,265.3,186.1,258.3,284.5,140.6,297.4,419.9,345.3,53.6,232.1,316.6,354.0,203.5,329.6,40.9,201.7,412.7,324.2,237.7,135.2,105.4,391.7,362.1,120.2,203.0,397.2,103.6,315.4,398.5,296.4,416.2,219.2,195.1,312.4,147.5,152.9,300.8,355.5,154.3,6.5,328.0,278.5,182.8,157.3,94.2,440.5,174.1,259.8,176.4,170.5,100.8,260.2,347.4,34.9,349.5,318.6
DA,60.1,379.3,27.2,300.1,236.8,357.5,233.7,388.7,267.1,366.1,370.2,32.9,0.0,27.3,330.7,178.3,43.1,57.8,88.1,346.9,82.3,80.6,199.8,274.1,257.3,185.7,117.8,136.9,264.0,482.8,1789.3,401.6,371.5,389.6,376.3,370.6,114.1,290.0,300.9,412.6,322.2,407.1,365.5,390.5,330.6,312.7,339.6,179.2,16.6,274.2,177.6,281.6,296.6,152.7,309.7,441.1,354.2,45.1,251.8,328.9,366.3,194.7,338.3,53.2,195.8,432.3,336.5,229.2,129.6,134.5,408.0,371.0,111.4,226.3,409.5,99.0,327.5,410.6,305.3,428.5,227.4,218.1,324.7,159.8,148.0,312.9,367.6,193.2,35.5,340.1,290.8,194.9,169.6,123.1,452.8,186.4,271.9,203.0,162.0,113.1,269.1,358.7,26.4,361.6,321.5
DN,47.9,385.1,56.8,291.8,240.4,359.9,225.1,392.3,269.5,368.5,372.6,14.6,36.4,0.0,337.7,164.3,46.7,61.4,97.0,349.3,88.1,83.0,202.2,279.9,257.0,188.1,120.2,124.7,269.8,485.2,1781.5,404.0,372.4,392.0,382.1,373.0,116.5,292.4,303.3,415.0,324.6,409.5,367.9,392.9,333.0,318.5,345.4,181.6,53.1,280.0,181.2,273.0,299.0,155.1,312.1,443.3,360.0,48.7,246.6,331.3,361.7,198.3,344.1,55.6,216.4,435.9,338.9,232.8,130.3,119.9,410.4,376.8,115.0,217.7,411.9,98.7,329.9,413.0,311.1,428.8,233.9,220.5,327.1,162.2,147.7,315.3,370.0,169.0,21.1,342.5,293.2,197.5,172.0,108.7,455.2,188.8,274.3,191.1,165.6,115.5,274.9,361.9,30.0,364.0,323.9
ED,320.3,318.5,305.7,236.7,235.5,293.3,164.0,325.3,202.9,301.9,306.0,337.6,348.0,357.1,0.0,225.2,347.7,334.1,304.7,282.7,259.7,266.2,139.0,113.1,219.8,144.6,218.4,265.7,108.5,418.6,1655.1,337.4,300.3,325.4,189.5,306.4,330.7,225.8,40.7,348.4,258.0,335.4,301.3,326.3,266.4,251.9,273.3,151.4,321.3,98.7,292.7,113.4,232.4,178.4,245.5,369.4,289.4,397.1,141.4,264.7,302.1,276.2,272.0,288.2,188.5,360.6,272.3,237.2,337.9,270.8,223.3,304.7,358.2,171.4,345.3,377.2,263.3,346.4,244.5,364.3,101.3,153.9,260.5,171.3,317.0,26.4,182.9,246.8,335.4,275.9,226.6,226.4,161.4,283.6,388.6,143.9,207.7,202.5,307.0,224.4,108.1,295.3,378.4,297.4,136.8
EG,128.2,302.8,162.5,221.0,219.8,277.6,74.2,309.6,187.2,286.2,290.3,165.7,198.9,180.0,222.6,0.0,177.2,163.6,134.2,267.0,104.6,117.1,123.3,151.8,204.5,105.8,69.3,40.8,141.3,402.9,1699.2,321.7,290.1,309.7,271.6,290.7,160.2,210.5,192.8,332.7,242.3,319.7,285.6,310.6,250.7,236.6,263.5,99.3,172.6,122.5,277.4,108.6,216.7,72.8,229.8,353.7,279.6,248.0,82.2,249.0,286.4,260.5,261.8,139.1,66.7,344.9,256.6,227.0,203.8,45.9,299.9,294.9,185.6,53.7,329.6,168.9,247.6,330.7,228.8,348.6,152.8,138.2,244.8,79.9,306.8,204.8,259.5,31.7,158.7,260.2,210.9,59.8,89.7,58.7,372.9,106.5,192.0,26.7,291.3,75.3,146.4,279.6,229.3,281.7,213.4
EX,64.7,340.8,62.5,245.4,193.6,375.7,241.9,353.1,241.1,338.2,389.4,31.4,31.8,43.4,354.5,181.1,0.0,14.7,55.0,363.4,104.9,99.8,219.0,296.7,210.2,204.9,137.0,141.5,283.0,502.0,1761.7,419.8,394.1,408.8,398.9,389.8,60.8,309.2,320.1,431.8,342.8,374.9,384.7,408.7,349.8,272.1,299.0,198.4,51.9,296.8,134.4,289.8,315.8,171.9,288.3,408.7,376.8,29.6,263.4,299.8,378.5,151.5,360.9,72.4,231.1,401.3,355.7,186.0,83.5,136.7,423.0,393.6,68.2,234.5,428.7,51.9,346.7,429.8,327.9,445.6,250.7,226.6,342.9,179.0,93.7,331.8,386.8,185.8,37.9,359.3,309.0,214.3,188.8,125.5,472.0,205.4,290.1,207.9,118.8,132.3,291.7,315.5,12.5,380.8,350.1
EZ,78.3,326.1,76.1,230.7,178.9,361.0,255.5,338.4,226.4,323.5,354.9,45.0,45.4,57.0,368.1,194.7,13.6,0.0,40.3,348.7,123.1,113.4,232.6,310.3,195.5,218.5,150.6,155.1,296.6,432.4,1747.0,405.1,407.7,422.4,412.5,403.4,46.1,322.8,333.7,445.4,356.4,360.2,380.4,394.0,363.4,257.4,284.3,212.0,65.5,310.4,119.7,303.4,329.4,185.5,273.6,394.0,390.4,43.2,277.0,285.1,392.1,136.8,374.5,86.0,191.8,386.6,369.3,171.3,68.8,150.3,436.6,407.2,53.5,248.1,442.3,37.2,342.4,443.4,341.5,459.2,264.3,240.2,328.2,192.6,79.0,345.4,400.4,199.4,51.5,372.9,294.3,227.9,202.4,139.1,485.6,219.0,275.4,221.5,104.1,145.9,305.3,300.8,26.1,376.5,363.7
FD,67.9,326.9,99.0,233.6,179.1,304.7,178.3,340.2,214.3,313.3,325.0,67.7,80.0,88.8,279.5,117.5,45.3,31.7,0.0,294.1,32.9,27.8,144.0,227.2,228.2,129.9,65.0,77.9,211.6,430.0,1699.0,356.4,315.7,336.8,323.9,317.8,28.3,234.2,248.1,359.8,267.8,342.6,312.7,337.7,277.8,260.3,288.7,126.4,97.3,224.8,111.0,224.7,240.8,99.9,261.6,376.4,303.3,75.0,196.8,276.1,310.5,137.0,288.9,38.8,140.8,372.0,283.7,162.6,71.8,76.3,348.0,320.1,53.7,167.9,356.7,35.0,274.7,354.8,258.4,370.6,176.5,151.6,271.9,107.0,77.5,257.1,314.8,125.2,83.3,287.3,238.0,139.9,116.8,64.9,400.0,130.4,219.1,144.3,104.3,60.3,227.3,306.7,60.7,308.8,271.2
FF,400.1,60.6,380.7,96.4,148.8,38.2,328.2,49.0,134.2,19.1,140.7,366.8,367.2,378.8,320.6,319.4,335.3,321.7,310.5,0.0,329.2,346.0,199.4,262.8,133.1,214.1,287.9,360.3,249.1,109.6,1681.4,82.3,124.7,139.4,365.0,79.0,332.7,126.3,286.2,121.0,114.1,55.8,131.8,71.2,175.2,78.6,46.2,220.9,387.3,262.9,206.0,277.6,115.6,247.9,120.5,89.6,152.9,365.0,305.6,110.5,58.8,189.5,176.4,357.7,352.7,82.2,193.0,156.0,254.1,365.6,389.1,237.4,271.5,335.6,69.1,290.5,128.2,119.0,153.3,134.8,216.8,191.5,34.6,240.8,243.9,297.9,352.9,351.2,373.3,76.4,68.2,379.7,230.9,383.1,161.2,213.6,82.1,325.1,220.3,293.9,257.8,30.1,347.9,162.3,316.2
FG,66.5,292.3,57.4,199.0,209.3,267.1,154.6,299.1,176.7,280.3,279.8,89.0,98.1,97.3,244.9,110.7,93.9,80.3,39.7,256.5,0.0,12.5,109.4,191.7,193.6,99.9,32.0,88.5,177.0,392.4,1688.7,315.8,284.2,299.2,289.3,280.2,76.9,204.2,210.5,322.2,231.8,308.0,275.1,304.7,240.2,225.7,257.2,88.8,67.5,187.2,168.5,202.5,206.2,66.9,227.0,341.8,267.2,137.3,176.1,243.1,268.9,250.0,251.3,34.4,156.0,339.0,250.7,216.5,111.6,89.7,322.2,288.6,96.3,147.2,323.7,80.0,241.7,320.2,218.3,336.0,140.4,132.3,234.3,74.0,129.0,227.1,281.8,138.8,81.6,249.7,200.4,156.5,83.8,72.5,362.4,96.0,186.1,116.0,152.9,27.4,186.7,273.7,118.6,275.8,227.0
FI,54.0,289.2,44.9,208.7,219.0,276.8,159.7,315.3,186.4,285.4,289.5,76.5,85.6,88.4,254.6,120.0,81.4,67.8,44.9,266.2,9.7,0.0,119.1,196.8,203.3,105.0,37.1,82.0,183.1,402.1,1700.1,320.9,294.2,308.9,299.0,289.9,64.4,209.3,220.2,331.9,242.9,317.7,284.8,309.8,249.9,235.4,262.3,98.5,55.0,196.9,156.0,207.6,215.9,72.0,236.7,351.5,276.9,130.8,181.2,248.2,278.6,259.7,261.0,21.9,144.9,344.1,255.8,226.2,105.1,77.2,323.1,293.7,89.8,152.3,328.8,73.5,246.8,329.9,228.0,345.7,150.8,126.7,244.0,79.1,115.3,231.9,286.9,126.3,69.1,259.4,210.1,144.0,88.9,66.0,372.1,105.5,191.2,125.7,140.4,32.5,191.8,278.8,113.7,280.9,250.2
FO,193.7,179.4,184.6,101.0,99.8,157.6,129.2,189.6,67.2,166.2,170.3,212.8,218.0,227.1,130.8,120.3,217.7,204.1,174.7,147.0,127.1,136.2,0.0,66.7,80.7,18.0,88.4,160.8,56.6,282.9,1579.2,201.7,171.6,189.7,168.9,170.7,200.7,90.1,101.0,212.7,122.3,199.7,165.6,190.6,130.7,116.2,139.7,21.4,194.7,66.8,153.6,81.5,96.7,48.4,109.8,233.7,154.3,267.1,120.4,129.0,166.4,140.5,138.4,158.2,156.6,224.9,136.6,103.6,202.2,165.9,208.1,171.1,222.5,139.5,209.6,241.5,127.6,210.7,105.4,228.6,32.4,18.2,124.8,41.3,186.8,113.0,167.7,151.7,205.4,140.2,90.9,180.2,31.4,178.7,252.9,14.0,72.0,129.0,171.3,94.4,72.6,159.6,248.4,161.7,121.6
FV,268.9,267.1,259.8,173.8,184.1,241.9,80.8,273.9,151.5,250.5,182.6,291.7,296.6,305.7,100.4,159.8,296.3,282.7,259.8,231.3,202.3,214.8,78.5,0.0,168.4,93.2,167.0,196.3,10.0,341.0,1549.2,286.0,228.2,247.8,149.4,228.8,279.3,148.2,70.6,270.8,180.4,282.8,208.6,274.9,166.7,200.5,227.4,100.0,269.9,29.3,241.3,44.0,154.8,127.0,194.1,316.6,170.0,345.7,72.0,213.3,224.5,224.8,154.1,236.8,119.1,309.2,148.9,191.3,289.4,201.6,173.5,186.8,306.8,102.0,267.7,325.8,196.1,268.8,166.9,284.6,55.4,102.5,209.1,119.9,271.1,82.6,137.3,177.4,284.0,198.3,175.2,162.5,110.0,214.2,311.0,92.5,156.3,138.6,255.6,173.0,4.9,243.9,327.0,185.5,100.6
GG,266.9,156.9,264.7,35.1,15.7,165.4,231.0,157.8,30.8,127.9,159.3,233.6,234.0,248.0,232.6,236.0,202.1,188.5,177.3,153.1,217.9,212.8,112.6,179.4,0.0,130.7,204.5,265.9,169.3,236.8,1618.0,209.5,208.9,197.4,281.6,209.5,231.3,128.9,202.8,251.5,122.5,164.6,184.8,198.4,169.5,61.8,88.7,137.5,254.1,179.5,72.8,194.2,135.5,164.5,73.4,198.4,196.5,231.8,222.2,92.6,143.3,56.3,180.6,223.8,269.3,191.0,175.4,22.9,120.9,261.4,305.7,213.3,138.3,252.2,196.3,157.3,146.8,249.5,147.6,265.3,132.7,108.1,132.6,157.4,102.6,214.8,269.5,267.8,240.1,179.0,98.7,296.3,147.5,249.9,291.7,130.2,79.8,241.7,87.1,210.5,174.4,105.2,214.7,180.9,232.8
GQ,175.6,196.9,166.5,115.1,113.9,171.7,143.3,210.2,81.3,180.3,184.4,198.4,203.3,212.4,144.9,105.2,203.0,189.4,160.0,161.1,115.0,121.5,17.4,91.7,98.2,0.0,73.7,146.1,81.6,297.0,1593.3,215.8,184.2,203.8,193.9,184.8,186.0,104.2,115.1,226.8,136.4,212.6,179.7,204.7,144.8,130.3,157.2,6.7,176.6,91.8,171.1,106.5,110.8,33.7,123.9,246.4,171.8,252.4,134.5,143.1,180.5,154.6,155.9,143.5,150.9,239.0,150.7,121.1,216.3,151.1,218.0,188.6,236.6,137.5,223.7,255.6,141.7,224.8,122.9,240.6,45.0,32.3,138.9,26.6,200.9,127.1,181.8,137.0,190.7,154.3,105.0,165.5,16.7,164.0,267.0,0.5,86.1,110.9,185.4,79.7,86.7,173.7,233.7,175.8,145.1
GU,101.8,252.0,92.7,171.5,181.8,239.6,122.5,278.1,149.2,248.2,252.3,124.3,133.4,136.2,217.4,82.8,129.2,115.6,92.7,229.0,41.2,47.8,81.9,159.6,166.1,67.8,0.0,123.7,145.9,364.9,1661.2,283.7,257.0,271.7,261.8,252.7,112.2,172.1,183.0,294.7,205.7,280.5,247.6,272.6,212.7,198.2,225.1,61.3,102.8,159.7,239.0,170.4,178.7,34.8,199.5,314.3,241.2,178.6,144.0,211.0,241.4,222.5,223.8,69.7,128.5,306.9,218.6,189.0,152.9,125.0,285.9,256.5,137.6,115.1,291.6,121.3,209.6,292.7,190.8,308.5,113.6,89.5,206.8,41.9,163.1,194.7,249.7,114.6,116.9,222.2,172.9,143.1,51.7,113.8,334.9,68.3,154.0,88.5,253.3,6.0,154.6,241.6,161.5,243.7,213.0
HD,87.3,342.4,111.6,249.1,259.4,317.2,100.3,355.7,226.8,325.8,329.9,125.2,161.8,139.5,266.8,39.1,136.3,122.7,88.1,306.6,144.2,156.7,162.9,191.0,243.7,145.4,108.9,0.0,180.9,442.5,1712.2,361.3,329.7,349.3,311.2,330.3,119.3,249.7,232.4,372.3,281.9,358.1,325.2,350.2,290.3,275.8,302.7,138.9,121.7,162.1,210.9,148.2,256.3,112.4,269.4,393.3,317.3,179.2,121.8,288.6,320.6,300.1,301.4,94.8,91.6,384.5,296.2,266.6,160.0,5.1,339.5,334.1,144.7,92.9,369.2,128.4,287.2,370.3,268.4,386.1,192.0,177.8,284.4,119.5,177.4,244.4,299.1,44.2,117.8,299.8,250.5,72.7,129.3,17.9,412.5,145.9,231.6,66.3,195.3,114.9,186.0,319.2,160.5,321.3,262.4
HK,258.8,257.0,249.7,163.7,174.0,231.8,70.7,270.3,141.4,240.4,192.7,281.6,290.4,295.6,94.9,145.3,286.2,272.6,238.0,221.2,192.2,204.7,68.4,10.0,158.3,83.1,156.9,186.2,0.0,357.1,1559.3,275.9,244.3,263.9,139.3,244.9,269.2,164.3,60.5,286.9,196.5,272.7,218.7,264.8,176.8,190.4,217.3,89.9,259.8,19.2,231.2,33.9,170.9,116.9,184.0,306.5,180.1,335.6,61.9,203.2,233.6,214.7,164.2,226.7,109.0,299.1,159.0,181.2,276.4,191.5,167.6,196.9,296.7,91.9,283.8,315.7,206.2,284.9,183.0,300.7,45.3,81.7,199.0,109.8,261.0,72.5,127.2,167.3,273.9,214.4,165.1,152.4,99.9,204.1,327.1,82.6,146.2,128.5,245.5,162.9,5.1,233.8,316.9,195.6,77.0
HW,428.3,176.9,419.2,193.7,246.1,70.4,352.9,165.3,216.9,135.4,190.3,464.1,459.9,462.7,359.1,357.9,432.6,419.0,407.8,116.2,361.7,374.2,237.9,301.3,230.4,252.6,326.4,398.8,287.6,0.0,1650.5,81.5,185.8,200.5,403.5,106.8,414.3,187.4,324.7,77.0,153.5,158.6,191.4,70.4,234.3,175.9,162.5,259.4,429.3,301.4,303.3,316.1,184.2,286.4,209.0,128.6,201.0,462.3,344.1,199.0,127.4,286.8,226.0,396.2,391.2,133.4,252.1,253.3,351.4,404.1,427.6,296.5,368.8,374.1,91.1,387.8,177.8,127.9,212.4,76.6,255.3,230.0,103.2,279.3,341.2,336.4,391.4,389.7,443.4,137.5,136.8,418.2,269.4,416.7,19.9,252.1,150.7,363.6,317.6,332.4,296.3,146.4,445.2,211.9,354.7
HX,1593.9,1499.7,1584.8,1477.6,1487.9,1402.5,1512.9,1506.1,1455.3,1480.9,1412.9,1616.4,1625.5,1628.3,1493.3,1587.5,1603.3,1589.7,1566.8,1461.7,1561.0,1567.5,1431.2,1399.9,1472.2,1445.9,1519.7,1601.1,1413.6,1463.1,0.0,1395.6,1447.5,1462.2,1511.8,1368.5,1586.3,1449.1,1458.9,1357.6,1485.6,1472.7,1453.1,1384.5,1404.3,1525.2,1492.8,1452.7,1594.9,1461.4,1545.1,1476.1,1484.0,1479.7,1559.6,1442.7,1400.3,1633.0,1504.1,1549.6,1451.9,1528.6,1391.7,1561.8,1551.2,1447.5,1386.5,1495.1,1593.2,1606.4,1535.9,1424.4,1610.6,1534.1,1408.5,1629.6,1451.0,1389.6,1476.1,1353.4,1469.5,1423.3,1435.3,1472.6,1583.0,1470.6,1499.7,1565.3,1609.0,1399.2,1468.9,1537.4,1462.7,1619.0,1397.8,1445.4,1482.8,1570.7,1559.4,1525.7,1404.9,1476.7,1615.9,1390.9,1463.0
