from_stop,AA,AO,AV,AW,AZ,BL,BR,BX,BZ,CF,CL,CT,DB,DD,ED,EM,EN,FI,FY,GN,GP,GT,HG,IR,IU,JL,LZ,MJ,MR,NO,NT,NV,NX,NZ,OA,OF,OP,PC,PK,PQ,PV,PY,QD,QF,QH,QP,QR,RC,RL,SL,SS,SW,TK,TN,TU,TZ,UF,UT,VA,VG,WC,WD,WJ,WR,WY,XF,XQ,XU,YG,YJ,ZA,ZJ,ZO
CL,194.7,339.2,121.7,162.0,93.0,101.5,70.1,111.8,77.2,208.4,0.0,195.0,170.0,123.2,65.8,267.3,155.8,157.7,94.4,140.5,179.6,151.0,97.2,23.6,122.4,204.4,190.9,205.9,132.5,184.8,196.9,2518.6,54.5,198.9,192.5,135.3,146.4,228.1,158.2,257.7,51.8,214.4,136.0,94.1,17.4,177.7,242.8,168.3,187.8,175.3,146.8,291.5,195.8,182.1,206.9,217.4,41.0,168.7,210.7,166.2,139.0,188.0,65.0,139.9,172.3,23.6,97.3,163.9,197.7,220.0,89.2,172.6,38.2
CT,224.2,359.4,109.0,64.8,89.3,171.5,189.7,103.0,193.0,156.2,183.6,0.0,58.4,127.6,115.0,287.5,115.3,71.8,125.7,166.0,133.3,75.8,173.4,208.5,92.9,25.2,35.6,51.8,61.4,154.5,60.5,2476.0,163.2,88.7,64.7,80.7,80.5,77.8,68.6,287.2,165.9,144.2,126.1,121.8,202.3,67.5,272.3,197.8,37.5,54.6,172.6,158.7,143.5,27.0,56.6,67.1,140.5,102.8,100.5,104.0,69.6,124.9,162.5,56.0,36.3,208.5,85.2,98.0,47.4,37.8,181.1,140.3,223.1
DB,165.7,300.9,93.6,6.3,73.3,113.0,120.1,87.0,134.5,107.8,167.6,68.8,0.0,69.1,102.7,229.0,128.6,55.8,67.2,113.3,155.7,17.3,114.9,144.8,76.9,94.1,143.9,151.7,45.4,133.4,160.4,2522.0,104.7,54.7,164.6,64.7,64.5,101.9,10.1,228.7,107.4,137.5,108.8,105.8,184.7,33.5,213.8,139.3,61.6,5.4,119.9,133.1,122.4,71.1,81.4,91.2,133.6,126.3,61.2,139.0,92.0,160.8,74.9,40.0,125.3,144.8,69.2,82.0,70.0,150.4,123.6,145.4,137.3
DD,96.5,231.7,173.5,72.4,153.8,48.6,55.8,147.1,65.3,188.3,100.7,149.3,80.4,0.0,167.8,159.8,125.9,136.3,22.8,71.8,144.9,61.4,45.7,80.4,157.4,172.5,159.0,134.3,125.9,213.9,125.3,2438.4,40.3,135.2,120.9,145.2,145.0,182.4,68.6,159.5,43.0,221.6,107.2,129.4,85.7,114.0,144.6,70.1,142.1,85.7,66.6,213.6,202.9,150.2,161.2,171.7,143.0,167.3,147.0,136.3,107.1,153.3,70.0,120.5,140.4,80.4,149.7,162.5,152.0,148.4,53.4,137.9,72.9
ED,259.4,405.3,60.3,145.6,24.2,167.6,136.2,135.1,143.3,146.4,64.8,133.0,153.6,189.3,0.0,333.4,221.9,95.7,160.5,206.6,248.1,132.8,163.3,89.7,145.7,158.3,168.7,180.3,70.5,122.8,189.0,2592.3,120.6,132.9,193.2,104.6,84.4,166.1,141.8,317.0,117.9,148.8,202.1,117.4,81.9,115.7,302.1,227.6,125.8,158.9,212.9,229.5,133.8,135.3,145.6,155.4,30.8,132.8,143.4,187.3,162.3,205.3,88.3,77.9,144.6,89.7,35.4,101.9,130.2,163.9,154.3,238.7,104.3
EM,146.8,71.8,341.1,240.0,321.4,216.2,223.4,314.7,171.0,355.9,268.3,313.5,248.0,167.5,335.4,0.0,214.8,303.9,186.9,141.6,238.6,229.0,151.4,248.0,325.0,313.5,300.0,264.9,293.5,381.5,255.9,2526.2,207.9,302.8,251.5,312.8,312.6,328.6,236.2,94.3,210.6,389.2,177.0,297.0,253.3,281.6,109.2,92.9,288.3,253.3,136.4,381.2,370.5,275.7,307.4,317.9,310.6,334.9,314.6,225.2,232.6,247.0,237.6,288.1,265.9,248.0,317.3,330.1,298.2,279.0,159.1,231.6,240.5
EN,200.9,275.5,225.8,128.6,205.5,124.8,132.0,219.2,134.4,272.4,159.6,116.1,174.6,98.9,234.9,203.6,0.0,188.0,84.2,76.8,42.9,115.8,114.8,156.6,209.1,98.6,85.1,125.6,177.6,270.7,116.6,2405.3,116.5,192.9,112.2,196.9,196.7,208.7,124.8,245.5,119.2,256.8,87.6,157.3,161.9,170.2,243.6,152.3,168.4,170.7,83.4,277.7,259.7,143.2,188.2,198.0,212.2,245.1,197.9,10.4,147.9,51.3,108.2,172.2,146.0,156.6,201.4,214.2,176.8,115.3,123.5,35.9,148.9
FI,256.3,407.7,68.4,87.9,48.1,170.0,117.8,31.1,214.7,97.0,142.4,87.9,81.5,159.7,77.5,335.8,224.3,0.0,162.9,209.0,248.1,136.9,234.7,167.3,21.8,113.2,123.6,135.2,20.2,95.3,143.9,2564.0,143.1,93.3,148.1,8.8,21.3,121.0,144.1,319.3,145.8,81.4,204.5,49.9,161.1,70.6,304.4,229.9,80.7,77.6,215.6,180.1,84.3,90.2,100.5,110.3,108.4,69.7,98.3,192.0,132.8,212.9,90.6,32.8,99.5,167.3,44.0,38.8,89.1,118.8,224.4,241.1,175.5
FY,111.2,244.7,215.6,82.3,186.9,40.5,47.7,139.0,103.8,198.2,92.6,177.5,90.3,14.6,159.7,172.8,61.3,173.7,0.0,46.0,85.1,71.3,60.4,72.3,149.6,160.0,146.5,111.4,135.8,223.8,102.4,2453.1,32.2,145.1,98.0,162.5,195.1,193.1,78.5,174.2,34.9,258.8,41.5,121.3,77.6,123.9,159.3,84.8,152.8,95.6,52.6,223.5,212.8,140.2,171.9,182.4,134.9,217.4,156.9,71.7,97.1,93.5,116.9,130.4,130.4,72.3,191.2,212.6,162.7,125.5,68.1,78.1,64.8
GN,129.3,198.6,236.1,127.6,216.4,85.8,93.0,184.3,89.8,243.5,137.9,171.8,135.6,59.9,205.0,126.7,73.1,198.9,45.2,0.0,96.9,116.6,70.2,117.6,194.9,171.8,158.3,123.2,188.5,281.6,114.2,2425.0,77.5,190.4,109.8,207.8,207.6,186.9,123.8,168.6,80.2,271.3,35.3,166.6,122.9,169.2,177.4,75.4,146.6,181.7,6.5,267.8,270.6,134.0,165.7,176.2,180.2,229.9,202.2,83.5,90.9,105.3,110.7,183.1,124.2,117.6,212.3,225.1,156.5,137.3,77.9,89.9,110.1
GP,219.5,299.5,231.7,190.2,220.4,146.4,156.9,226.0,164.0,279.2,176.0,122.9,180.5,122.9,240.8,227.6,64.0,194.8,108.2,100.8,0.0,134.0,144.4,180.6,215.9,132.7,123.4,147.2,184.4,277.5,140.6,2402.3,140.5,207.8,136.2,202.8,203.5,200.8,141.2,267.1,143.2,267.2,104.0,173.7,185.9,186.6,267.6,176.3,160.5,177.6,105.0,280.8,266.5,150.0,180.3,192.5,233.8,251.0,213.4,73.5,122.8,6.0,123.7,179.0,159.3,180.6,208.2,220.1,170.4,138.0,150.7,9.3,173.1
GT,153.7,283.5,112.6,10.9,101.3,93.8,100.9,106.0,117.1,128.6,108.9,87.8,18.9,51.7,123.5,211.6,109.4,74.8,49.8,95.9,138.3,0.0,97.5,125.6,96.7,140.0,126.5,132.5,64.4,152.4,143.0,2504.6,85.5,75.2,145.4,83.7,91.9,120.9,7.1,209.5,90.0,156.5,89.6,124.8,126.0,52.5,196.4,121.9,80.6,24.4,100.7,152.1,141.4,117.7,100.4,112.0,152.6,145.3,80.2,121.6,74.6,143.4,57.5,59.0,107.9,125.6,88.2,101.0,89.0,135.4,104.4,128.0,119.7
HG,97.4,212.9,199.5,98.4,179.8,74.6,81.8,173.1,19.5,214.3,126.7,175.3,106.4,25.9,193.8,141.0,108.8,162.3,48.8,54.7,127.8,87.4,0.0,106.4,183.4,207.5,194.0,163.1,151.9,239.9,154.1,2421.3,66.3,161.2,149.7,171.2,171.0,241.7,94.6,160.4,69.0,247.6,90.1,155.4,111.7,140.0,145.5,71.0,201.4,111.7,49.5,239.6,228.9,188.8,220.5,231.0,169.0,193.3,173.0,119.2,145.7,136.2,96.0,146.5,179.0,106.4,175.7,188.5,211.3,177.2,7.7,120.8,98.9
IR,171.0,315.5,143.8,138.3,108.5,77.8,46.4,137.7,53.5,229.9,20.2,216.5,146.3,99.5,83.4,243.6,132.1,172.4,70.7,116.8,159.2,127.3,73.5,0.0,148.3,230.8,217.3,182.2,154.0,206.3,173.2,2494.9,30.8,201.1,168.8,161.2,167.9,263.9,134.5,234.0,28.1,235.9,112.3,120.0,5.2,179.9,219.1,144.6,223.6,151.6,123.1,279.5,217.3,211.0,243.4,253.2,55.5,216.3,207.6,142.5,167.9,164.3,86.5,161.4,201.2,0.0,118.8,185.4,233.5,196.3,64.5,148.9,14.5
IU,240.6,386.6,92.5,126.0,81.2,148.1,96.7,10.0,193.6,121.9,120.9,112.0,134.0,138.6,101.6,314.7,202.4,24.8,141.8,187.9,230.3,114.0,213.6,162.1,0.0,137.3,147.7,160.1,44.3,119.4,168.0,2573.5,121.2,117.4,172.2,12.9,53.8,145.1,123.0,297.4,124.7,105.5,182.6,28.8,168.7,94.7,283.3,208.8,104.8,140.3,193.7,204.2,108.4,114.3,124.6,135.2,132.5,94.6,122.4,168.5,143.5,186.5,68.7,56.9,123.6,162.1,68.1,62.9,113.2,142.9,204.6,219.2,154.4
JL,241.7,365.6,126.5,82.3,106.8,214.9,207.2,120.5,210.5,173.7,201.1,17.4,75.9,145.1,132.5,293.7,90.0,89.3,143.2,166.9,129.8,93.3,190.9,226.0,110.4,0.0,10.4,69.3,78.9,172.0,78.0,2501.7,206.6,106.2,82.2,98.2,98.0,95.3,86.1,304.7,209.3,161.7,143.6,139.3,219.8,85.0,289.8,215.3,55.0,72.1,173.5,179.0,161.0,44.5,74.1,84.6,158.0,120.3,118.0,78.7,87.1,121.4,180.0,73.5,53.8,226.0,102.7,115.5,64.9,55.3,198.6,126.0,239.2
LZ,255.2,355.2,140.0,95.8,120.3,204.5,211.7,134.0,214.1,187.2,214.6,30.9,89.4,158.6,146.0,283.3,79.6,102.8,156.7,156.5,119.4,106.8,194.5,236.3,123.9,13.4,0.0,82.8,92.4,185.5,91.5,2491.3,196.2,119.7,95.7,111.7,111.5,108.8,99.6,318.2,198.9,175.2,157.1,152.8,233.3,98.5,303.3,228.8,68.5,85.6,163.1,192.5,174.5,58.0,87.6,98.1,171.5,133.8,131.5,68.3,100.6,111.0,138.3,87.0,67.3,236.3,116.2,129.0,78.4,68.8,202.2,115.6,228.8
MJ,256.6,331.2,147.5,102.7,132.9,180.5,187.7,140.9,198.5,194.1,164.4,62.4,96.3,154.6,156.6,259.3,111.2,109.7,139.9,132.5,132.1,113.7,178.9,212.3,130.8,70.1,56.6,0.0,99.3,192.4,8.6,2499.2,172.2,128.1,12.8,118.6,126.8,125.4,106.5,301.2,174.9,178.5,92.4,159.7,217.6,105.4,299.3,208.0,85.1,92.5,139.1,206.3,181.4,64.9,104.9,114.7,187.5,166.8,133.1,102.3,107.5,127.0,113.0,93.9,62.7,212.3,123.1,135.9,93.5,16.4,187.6,128.0,204.6
MR,227.2,357.0,48.1,62.4,33.5,195.2,143.0,56.3,200.6,89.5,122.1,62.4,56.0,125.2,57.2,285.1,177.8,25.1,123.3,169.4,192.5,73.4,220.6,147.0,46.2,87.7,98.1,109.7,0.0,87.8,118.4,2538.5,177.9,66.3,122.6,34.0,13.8,95.5,66.2,284.8,175.2,73.9,163.8,75.1,139.2,45.1,269.9,195.4,55.2,52.2,176.0,144.7,76.8,64.7,75.0,84.8,88.1,62.2,72.8,166.5,107.3,187.4,115.8,7.3,74.0,147.0,23.7,31.3,65.1,93.3,211.6,202.8,161.6
NO,312.8,448.0,51.6,153.4,88.0,275.3,223.1,136.4,260.8,23.5,182.3,160.5,147.0,216.2,113.7,376.1,275.9,105.2,214.3,260.4,293.9,164.4,280.8,207.2,126.3,185.8,196.2,207.8,98.5,0.0,216.5,2636.6,238.1,95.7,220.7,114.1,87.1,193.6,157.2,375.8,235.4,29.5,261.9,155.2,201.0,143.2,360.9,286.4,153.3,143.2,267.0,106.6,11.0,162.8,172.4,182.9,139.2,58.3,83.9,264.6,205.4,285.5,195.9,105.4,172.1,207.2,83.9,64.4,163.2,193.8,272.8,300.9,221.8
NT,242.5,322.5,155.9,111.7,136.2,171.8,179.0,149.9,189.8,203.1,155.7,71.4,105.3,145.9,161.9,250.6,102.5,118.7,131.2,123.8,126.3,122.7,170.2,203.6,139.8,79.1,65.6,8.9,108.3,201.4,0.0,2490.5,163.5,135.6,4.2,127.6,127.4,134.4,115.5,292.5,166.2,191.1,83.7,168.7,208.9,114.4,290.6,199.3,94.1,101.5,130.4,215.3,190.4,73.9,113.2,123.7,187.4,149.7,147.4,111.3,116.5,134.7,104.3,102.9,71.7,203.6,132.1,144.9,104.0,23.0,177.9,119.3,196.1
NV,2271.4,2349.0,2377.2,2333.0,2357.5,2268.6,2275.8,2371.2,2222.2,2483.8,2294.5,2268.1,2326.6,2219.9,2383.2,2277.1,2200.6,2340.0,2256.1,2210.8,2187.0,2281.4,2202.6,2274.2,2361.1,2277.9,2288.3,2320.0,2329.6,2422.7,2281.5,0.0,2260.3,2355.2,2277.1,2348.9,2348.7,2346.0,2288.6,2319.0,2263.0,2464.6,2287.8,2390.0,2279.5,2334.0,2319.5,2225.8,2305.7,2322.8,2205.6,2435.5,2411.7,2295.2,2324.8,2335.3,2336.8,2371.0,2367.0,2211.0,2337.8,2195.4,2308.4,2324.2,2304.5,2274.2,2353.4,2366.2,2315.6,2306.0,2210.3,2180.0,2262.6
NX,161.7,284.6,183.9,107.4,148.4,46.9,15.5,106.8,71.5,223.3,60.3,217.4,115.4,59.7,123.5,212.7,101.2,141.5,39.8,85.9,127.4,96.4,91.5,40.0,116.6,199.9,186.4,151.3,160.9,236.9,142.3,2505.4,0.0,170.2,137.9,130.3,162.9,233.0,103.6,254.6,2.7,226.6,81.4,89.1,45.3,149.0,204.4,161.4,192.7,120.7,92.5,248.6,225.9,180.1,212.5,222.3,95.6,211.3,176.7,111.6,137.0,133.4,105.0,155.5,170.3,40.0,158.9,180.4,201.1,165.4,82.0,118.0,32.5
NZ,222.4,352.2,129.7,57.6,109.1,164.3,171.4,113.8,185.8,51.5,177.6,75.6,51.2,120.4,129.5,280.3,179.9,82.6,118.5,164.6,207.0,70.4,166.2,196.1,104.5,100.9,111.3,122.9,72.2,78.6,131.6,2551.7,156.0,0.0,137.3,91.5,112.9,108.7,61.4,280.0,158.7,82.7,160.1,132.6,194.7,20.9,265.1,190.6,68.4,47.3,171.2,76.8,67.6,77.9,89.7,98.0,160.4,70.0,5.0,190.3,120.5,212.1,126.2,66.8,87.2,196.1,96.0,99.7,78.3,106.5,174.9,196.7,188.4
OA,243.7,318.3,160.9,116.1,140.6,167.6,174.8,154.3,185.6,207.5,151.5,75.8,109.7,141.7,170.0,246.4,98.3,123.1,127.0,119.6,122.1,128.9,166.0,199.4,144.2,83.5,70.0,13.3,112.7,205.8,4.3,2486.3,159.3,140.0,0.0,132.0,131.8,138.8,119.9,288.3,162.0,195.5,79.5,173.1,204.7,118.8,286.4,195.1,98.5,105.9,126.2,219.7,194.8,78.3,118.3,128.1,200.9,180.2,146.5,108.7,120.9,130.5,100.1,107.3,76.1,199.4,136.5,149.3,106.9,27.4,174.7,115.1,191.7
OF,252.8,398.8,79.6,139.0,65.7,161.1,108.9,22.2,205.8,108.2,153.6,99.1,147.0,150.8,88.7,326.9,215.4,11.1,154.0,200.1,241.6,128.0,225.8,174.3,12.2,124.4,134.8,146.4,31.4,106.5,155.1,2585.7,134.2,104.5,159.3,0.0,32.5,132.2,135.2,310.4,136.9,96.2,195.6,41.0,170.7,81.8,295.5,221.0,91.9,88.9,206.7,191.3,95.5,101.4,111.7,121.5,119.6,80.9,109.5,180.7,155.7,198.7,81.7,44.0,110.7,174.3,55.2,50.0,100.3,130.0,216.8,232.2,166.6
OP,238.1,367.9,73.8,73.3,62.5,188.1,135.9,49.2,232.8,67.2,147.8,73.3,66.9,136.1,82.9,296.0,188.7,18.0,134.2,180.3,203.4,86.1,252.8,172.7,39.9,98.6,109.0,120.6,25.6,73.9,129.3,2549.4,161.2,78.7,144.5,26.9,0.0,106.4,77.1,306.7,163.9,60.0,185.7,68.0,164.9,56.0,280.8,206.3,66.1,63.0,186.9,155.6,62.9,75.6,96.9,106.7,113.8,39.9,83.7,177.4,118.2,198.3,108.7,18.2,84.9,172.7,49.4,9.1,74.5,104.2,243.8,224.7,193.6
PC,273.4,395.9,178.6,114.0,138.5,263.2,238.9,152.2,242.2,129.1,232.8,73.9,107.6,176.8,164.2,324.0,189.3,121.0,174.9,197.2,207.3,125.0,222.6,257.7,142.1,99.2,109.6,127.3,110.6,147.4,136.0,2550.0,254.9,118.7,140.2,129.9,129.7,0.0,117.8,336.4,257.6,109.9,157.3,171.0,251.5,139.7,321.5,247.0,42.6,103.8,203.8,80.8,136.4,58.2,21.0,11.0,189.7,145.9,106.9,178.0,100.8,198.9,211.7,105.2,67.5,257.7,134.4,152.0,29.8,107.2,230.3,214.3,272.3
PK,155.5,290.7,104.8,3.8,85.1,102.8,109.9,98.8,124.3,119.6,116.1,80.6,11.7,58.9,110.8,218.8,118.4,67.6,57.0,103.1,142.2,7.1,104.7,134.6,88.7,147.2,133.7,141.5,57.2,145.2,150.2,2511.8,94.5,66.5,154.4,76.5,76.3,113.7,0.0,218.5,97.2,152.9,98.6,117.6,134.8,45.3,203.6,129.1,73.4,17.0,109.7,144.9,134.2,124.9,92.5,103.0,136.3,98.6,78.3,128.8,81.8,150.6,64.7,51.8,115.1,134.6,81.0,93.8,83.3,140.2,112.4,135.2,127.1
PQ,117.0,156.2,337.1,235.4,322.5,211.6,218.8,310.1,183.2,351.3,263.7,335.4,243.4,162.9,326.9,84.3,236.7,299.3,208.8,163.5,260.5,224.4,163.6,243.4,320.4,335.4,321.9,286.8,288.9,376.9,277.8,2548.1,203.3,298.2,273.4,308.2,308.0,350.5,231.6,0.0,206.0,384.6,198.9,292.4,248.7,277.0,14.9,114.8,310.2,248.7,158.3,376.6,365.9,297.6,330.0,339.8,299.0,369.8,304.7,247.1,254.5,268.9,233.0,283.5,287.8,243.4,312.7,325.5,320.1,300.9,172.3,253.5,235.9
PV,159.0,287.3,180.6,110.1,151.9,49.6,18.2,109.5,68.8,226.0,57.6,220.1,118.1,62.4,124.7,215.4,103.9,144.2,42.5,88.6,127.7,99.1,88.8,37.3,120.1,202.6,189.1,154.0,163.6,239.6,145.0,2508.1,2.7,172.9,140.6,133.0,165.6,235.7,106.3,257.3,0.0,229.3,84.1,91.8,42.6,151.7,207.1,164.1,195.4,123.4,95.2,251.3,228.6,182.8,214.5,225.0,99.9,187.9,184.7,114.3,139.7,136.1,107.7,158.2,173.0,37.3,156.2,183.1,205.3,168.1,80.8,120.7,29.8
PY,302.9,432.7,85.7,135.3,134.5,250.1,197.9,114.0,297.6,16.3,219.8,138.1,128.9,200.9,154.9,360.8,250.7,80.0,199.0,245.1,268.2,150.9,317.6,241.9,104.7,163.4,173.8,185.4,90.4,37.4,194.1,2614.2,226.0,89.8,195.5,88.9,53.7,171.2,141.9,360.5,228.7,0.0,236.7,132.8,236.9,120.8,345.6,271.1,128.1,127.8,248.9,99.4,26.4,140.4,147.9,160.5,183.0,9.5,84.8,242.2,183.0,263.1,170.7,83.0,149.7,241.9,121.4,39.2,139.3,169.0,305.8,275.7,258.4
QD,169.2,238.5,201.3,95.7,186.7,105.8,113.0,142.1,169.1,211.6,126.7,136.4,103.7,79.9,210.4,166.6,73.1,163.5,65.2,39.8,96.9,82.9,110.1,137.6,184.6,152.0,138.5,115.2,153.1,246.2,114.2,2464.9,97.5,160.0,109.8,172.4,180.6,151.5,91.9,208.5,100.2,232.3,0.0,124.4,142.9,137.3,217.3,115.3,111.2,146.3,46.4,232.4,235.2,98.6,131.0,140.8,139.2,220.6,165.0,83.5,55.5,105.3,75.3,147.7,88.8,137.6,176.9,189.7,121.1,113.9,118.8,89.9,129.9
QF,206.3,357.7,120.2,97.9,100.5,120.0,67.8,17.6,164.7,149.4,92.0,140.3,105.9,109.7,126.2,285.8,174.3,52.3,112.9,159.0,198.1,86.9,184.7,133.2,28.2,180.0,166.5,174.3,72.6,147.7,183.0,2544.6,93.1,144.2,187.2,41.1,73.7,173.4,94.1,269.3,95.8,137.4,154.5,0.0,138.5,123.0,254.4,179.9,133.1,111.2,165.6,232.5,136.7,157.7,152.2,162.7,151.7,96.0,156.0,139.6,114.6,157.6,40.6,85.2,147.9,133.2,96.4,91.2,143.0,173.0,176.7,191.1,125.7
QH,182.6,321.7,138.5,144.5,99.6,84.0,52.6,143.9,59.7,224.6,14.9,211.2,152.5,105.7,76.8,249.8,138.3,178.6,76.9,123.0,165.4,131.7,79.7,6.1,153.7,237.0,223.5,188.4,147.4,201.0,179.4,2501.1,37.0,208.8,176.6,169.0,171.0,244.3,140.7,240.2,34.3,227.0,120.1,126.2,0.0,186.1,225.3,150.8,202.7,158.0,129.3,285.7,212.0,217.2,222.5,232.3,48.9,209.7,213.8,148.7,174.1,170.5,81.2,156.1,207.4,6.1,113.5,178.8,212.4,204.9,70.7,155.1,20.5
