from_stop,AF,AJ,AS,AY,AZ,BD,BH,BM,BW,BY,BZ,CK,CW,CX,CZ,DC,DE,DH,DL,DM,DY,DZ,EE,EJ,ET,FJ,FL,FQ,FR,FT,FV,FY,GI,GM,GX,HA,HF,HG,HJ,HK,HM,HP,HR,HX,IG,IJ,IO,IP,IX,IY,JA,JC,JW,JY,KE,KI,KK,KO,KT,KW,KY,KZ,LA,LC,LD,LK,LM,LN,LP,LS,LV,ME,MF,MR,MW,MX,MZ,NC,ND,OC,OE,OH,OM,OP,OQ,OT,OX,PB,PH,PI,QC,QI,QQ,QU,RT,SA,SB,SH,SM,ST,TF,TH,TU,UC,UH,UJ,UL,UO,UQ,UT,UY,VB,VH,VV,WR,WY,XD,XG,XS,XV,XW,YA,YB,YR,ZE,ZI
BZ,896.2,669.0,1023.9,1053.1,3165.1,282.9,1264.9,750.3,552.9,884.1,0.0,1267.3,743.8,69.0,745.7,86.9,530.9,198.6,415.2,627.3,678.0,463.0,345.4,463.7,429.6,1104.4,1028.7,1191.0,1271.9,470.4,1043.1,97.0,1322.7,1075.5,1266.3,301.6,528.0,755.0,453.2,1290.9,1090.4,1279.1,165.3,240.4,1107.5,1275.6,1043.1,253.6,734.1,1271.6,987.3,542.9,835.4,558.0,536.1,341.9,569.0,248.9,736.2,894.4,1179.0,1087.8,644.2,1180.1,68.5,1227.7,1051.4,677.8,536.8,462.8,774.2,205.2,364.3,1059.4,191.6,384.4,1267.5,987.3,252.7,1114.9,1073.0,587.1,1172.2,1128.6,722.6,1294.9,869.1,1265.4,493.7,223.9,1084.1,170.7,564.5,1111.9,787.7,263.4,791.3,1062.4,875.8,485.6,1072.7,92.6,519.1,1294.7,1080.4,125.6,204.4,429.1,334.6,256.8,1090.7,1105.9,883.8,210.3,572.9,408.1,718.2,699.3,440.5,565.5,1168.0,608.2,810.2,364.3,702.0,778.4
CK,564.8,741.9,352.4,356.4,2924.1,961.4,236.1,754.2,722.6,494.8,1182.4,0.0,649.9,1177.4,625.6,1195.3,866.3,1114.2,900.1,777.7,619.0,803.9,1049.1,733.9,855.0,449.4,357.2,271.4,243.1,992.6,351.9,1205.4,55.3,328.9,101.1,989.2,776.5,758.9,888.5,23.5,335.3,250.3,1127.5,1119.0,427.7,110.4,351.9,1066.4,738.0,249.7,489.6,714.2,450.3,945.9,857.8,1055.8,826.0,1094.7,740.1,491.0,150.2,349.1,812.6,260.5,1176.9,54.5,354.7,594.0,708.1,900.4,718.9,1079.3,940.2,309.1,1176.5,889.2,238.7,489.6,1127.6,364.6,377.7,678.3,267.9,378.3,667.3,59.7,484.0,246.9,874.2,1098.0,333.8,1121.1,852.1,224.5,706.0,1120.6,795.2,390.9,739.3,937.3,338.0,1094.8,975.6,69.5,330.1,1114.4,1111.2,868.7,866.4,1039.6,391.3,355.6,552.4,1042.0,764.0,893.0,624.3,644.0,957.7,955.8,280.6,718.1,673.7,1041.7,705.9,723.1
CW,299.0,198.2,426.7,455.9,2951.8,510.1,667.7,210.5,345.1,286.9,731.1,670.1,0.0,726.1,166.5,744.0,488.8,616.0,448.8,400.2,179.9,305.7,550.9,282.6,403.7,548.9,431.5,593.8,674.7,541.3,445.9,754.1,725.5,478.3,669.1,547.4,399.0,215.2,437.2,693.7,434.8,681.9,676.2,620.8,527.2,678.4,445.9,568.2,194.3,674.4,390.1,210.8,238.2,568.4,314.1,527.5,448.5,596.5,196.4,297.2,581.8,490.6,435.1,582.9,725.6,631.2,454.2,154.9,219.5,459.0,74.0,628.0,488.9,462.2,678.3,437.9,670.3,390.1,629.4,517.7,475.8,249.3,575.0,531.4,93.1,697.7,271.9,668.2,496.7,646.7,486.9,622.9,474.6,514.7,56.0,622.4,251.5,465.2,218.2,486.0,475.5,643.5,552.7,697.5,483.2,663.1,659.9,417.4,415.1,541.4,490.8,508.7,286.6,590.7,324.9,441.7,25.6,68.1,514.7,578.3,570.8,212.5,152.6,543.5,162.2,106.7
CX,894.2,667.0,1021.9,1051.1,3163.1,280.9,1262.9,748.3,550.9,882.1,92.0,1265.3,741.8,0.0,743.7,54.5,528.9,196.6,413.2,625.3,676.0,461.0,343.4,461.7,427.6,1102.4,1026.7,1189.0,1269.9,468.4,1041.1,64.6,1320.7,1073.5,1264.3,299.6,526.0,753.0,451.2,1288.9,1088.4,1277.1,163.3,238.4,1105.5,1273.6,1041.1,251.6,732.1,1269.6,985.3,540.9,833.4,556.0,534.1,339.9,567.0,246.9,734.2,892.4,1177.0,1085.8,642.2,1178.1,36.1,1226.4,1049.4,675.8,534.8,460.8,772.2,203.2,362.3,1057.4,159.2,382.4,1265.5,985.3,250.7,1112.9,1071.0,585.1,1170.2,1126.6,720.6,1292.9,867.1,1263.4,491.7,221.9,1082.1,168.7,562.5,1109.9,785.7,261.4,789.3,1060.4,873.8,483.6,1070.7,90.6,517.1,1292.7,1078.4,123.6,202.4,427.1,332.6,254.8,1088.7,1103.9,881.8,208.3,570.9,406.1,716.2,697.3,438.5,563.5,1166.0,606.2,808.2,362.3,700.0,776.4
CZ,262.2,266.0,389.9,419.1,2915.0,519.4,630.9,278.3,412.9,250.1,740.4,633.3,174.0,735.4,0.0,753.3,556.6,597.0,516.6,468.0,125.1,286.7,531.9,350.4,449.1,512.1,394.7,557.0,637.9,550.6,409.1,763.4,688.7,441.5,632.3,556.7,466.8,283.0,505.0,656.9,398.0,645.1,685.5,601.8,490.4,641.6,409.1,549.2,262.1,637.6,353.3,278.6,201.4,636.2,381.9,536.8,516.3,577.5,264.2,260.4,545.0,453.8,502.9,546.1,734.9,594.4,417.4,100.1,287.3,526.8,243.0,637.3,480.6,425.4,659.3,447.2,633.5,353.3,610.4,480.9,439.0,317.1,538.2,494.6,191.4,660.9,235.1,631.4,564.5,656.0,450.1,603.9,542.4,477.9,230.1,603.4,319.3,428.4,263.4,495.3,438.7,652.8,620.5,660.7,446.4,672.4,669.2,485.2,424.4,522.4,454.0,471.9,249.8,600.0,270.1,509.5,148.4,168.1,556.8,646.1,534.0,280.3,197.8,524.5,230.0,247.2
DC,910.4,683.2,1038.1,1067.3,3179.3,297.1,1279.1,764.5,567.1,898.3,108.2,1281.5,758.0,72.8,759.9,0.0,545.1,212.8,429.4,641.5,692.2,477.2,359.6,477.9,443.8,1118.6,1042.9,1205.2,1286.1,484.6,1057.3,10.0,1336.9,1089.7,1280.5,315.8,542.2,769.2,467.4,1305.1,1104.6,1293.3,179.5,254.6,1121.7,1289.8,1057.3,267.8,748.3,1285.8,1001.5,557.1,849.6,572.2,550.3,356.1,583.2,263.1,750.4,908.6,1193.2,1102.0,658.4,1194.3,27.8,1242.6,1065.6,692.0,551.0,477.0,788.4,219.4,378.5,1073.6,104.6,398.6,1281.7,1001.5,266.9,1129.1,1087.2,601.3,1186.4,1142.8,736.8,1309.1,883.3,1279.6,507.9,238.1,1098.3,184.9,578.7,1126.1,801.9,277.6,805.5,1076.6,890.0,499.8,1086.9,106.8,533.3,1308.9,1094.6,139.8,218.6,443.3,348.8,271.0,1104.9,1120.1,898.0,224.5,587.1,422.3,732.4,713.5,454.7,579.7,1182.2,622.4,824.4,378.5,716.2,792.6
DE,673.0,345.9,635.3,664.5,2820.6,314.2,876.3,466.7,144.1,660.9,535.2,878.7,460.2,530.2,540.5,548.1,0.0,582.0,128.5,177.8,532.4,317.4,432.6,235.7,211.3,757.5,640.1,802.4,883.3,351.0,654.5,558.2,934.1,686.9,877.7,154.0,79.1,471.4,147.8,902.3,643.4,890.5,480.3,589.5,735.8,887.0,654.5,536.9,450.5,883.0,671.2,286.6,612.2,80.0,390.5,380.0,71.0,565.2,452.6,671.2,790.4,699.2,235.4,791.5,529.7,839.8,662.8,532.2,280.5,129.2,490.6,434.7,181.0,670.8,561.1,247.6,878.9,671.2,598.1,726.3,684.4,224.6,783.6,740.0,439.0,906.3,645.9,876.8,109.9,453.4,695.5,554.1,45.5,723.3,504.1,591.1,507.7,673.8,592.2,335.3,684.1,447.6,109.7,906.1,691.8,467.2,481.9,146.0,225.7,510.1,699.4,717.3,660.6,397.4,427.3,134.7,434.6,415.7,166.9,89.9,779.4,264.4,526.6,422.8,418.4,494.8
DH,771.6,579.2,899.3,928.5,3195.7,268.3,1140.3,625.7,602.6,759.5,208.2,1142.7,619.2,203.2,621.1,221.1,580.6,0.0,464.9,677.0,553.4,362.8,234.5,494.3,479.3,979.8,904.1,1066.4,1147.3,413.3,918.5,231.2,1198.1,950.9,1141.7,411.5,577.7,630.4,502.9,1166.3,965.8,1154.5,146.2,57.2,982.9,1151.0,918.5,70.4,609.5,1147.0,862.7,558.0,710.8,607.7,469.6,391.6,639.7,65.7,611.6,769.8,1054.4,963.2,693.9,1055.5,202.7,1103.8,926.8,553.2,566.7,512.5,649.6,308.9,414.0,934.8,154.3,366.9,1142.9,862.7,54.0,990.3,948.4,578.5,1047.6,1004.0,598.0,1170.3,744.5,1140.8,543.4,327.6,959.5,42.3,614.2,987.3,663.1,64.7,666.7,937.8,751.2,374.7,948.1,196.3,568.8,1170.1,955.8,147.2,308.1,478.8,403.0,147.7,966.1,981.3,759.2,314.0,448.3,457.8,593.6,574.7,490.2,615.2,1043.4,541.7,685.6,253.4,577.4,653.8
DL,658.7,337.1,669.9,699.1,2855.2,185.6,910.9,457.9,209.2,646.6,406.6,913.3,451.4,401.6,508.2,419.5,145.8,453.4,0.0,243.1,440.5,225.5,304.0,226.2,175.7,866.9,674.7,837.0,917.9,238.6,689.1,429.6,968.7,721.5,912.3,166.1,144.4,462.6,107.0,936.9,678.0,925.1,351.7,460.9,870.0,921.6,689.1,408.3,441.7,917.6,705.8,233.0,597.9,143.0,298.6,203.0,175.0,436.6,443.8,656.9,825.0,733.8,300.5,826.1,401.1,874.4,697.4,440.3,226.9,47.5,481.8,303.5,67.0,705.4,432.5,135.2,913.5,705.8,469.5,760.9,719.0,289.9,818.2,774.6,430.2,940.9,631.6,911.4,78.4,322.2,730.1,425.5,149.5,757.9,495.3,462.5,498.9,708.4,583.4,236.9,718.7,319.0,103.8,940.7,726.4,338.6,335.4,20.8,97.1,381.5,853.2,751.9,646.3,266.2,335.4,6.1,425.8,406.9,65.8,150.2,814.0,294.3,517.8,294.2,409.6,486.0
DM,595.0,267.9,557.3,586.5,2742.6,386.2,798.3,388.7,94.3,582.9,644.2,800.7,382.2,639.2,462.5,657.1,168.4,678.3,238.8,0.0,475.9,365.2,504.6,220.2,258.2,679.5,562.1,724.4,805.3,417.4,576.5,667.2,856.1,608.9,799.7,322.0,78.6,393.4,214.2,824.3,565.4,812.5,552.3,720.1,657.8,809.0,576.5,608.9,372.5,805.0,593.2,200.5,534.2,248.0,328.7,410.7,128.1,637.2,374.6,593.2,712.4,621.2,164.3,713.5,638.7,761.8,584.8,450.9,194.4,202.5,412.6,465.4,283.9,592.8,657.4,314.0,800.9,593.2,732.4,648.3,606.4,146.6,705.6,662.0,361.0,828.3,567.9,798.8,176.3,484.1,617.5,650.4,154.2,645.3,426.1,663.1,429.7,595.8,514.2,401.7,606.1,556.6,277.7,828.1,613.8,539.2,512.6,212.4,314.0,582.1,621.4,639.3,582.6,428.1,475.1,236.7,356.6,337.7,259.8,257.9,701.4,186.4,448.6,494.8,340.4,416.8
DY,276.1,259.9,403.8,433.0,2928.9,472.2,644.8,272.2,406.8,264.0,693.2,647.2,167.9,688.2,125.6,706.1,550.5,549.8,510.5,461.9,0.0,239.5,484.7,344.3,401.9,526.0,408.6,570.9,651.8,503.4,423.0,716.2,702.6,455.4,646.2,509.5,460.7,276.9,498.9,670.8,411.9,659.0,638.3,554.6,504.3,655.5,423.0,502.0,256.0,651.5,367.2,272.5,215.3,630.1,375.8,489.6,510.2,530.3,258.1,274.3,558.9,467.7,496.8,560.0,687.7,608.3,431.3,57.7,281.2,520.7,236.9,590.1,433.4,439.3,612.1,400.0,647.4,367.2,563.2,494.8,452.9,311.0,552.1,508.5,185.3,674.8,249.0,645.3,558.4,608.8,464.0,556.7,536.3,491.8,224.0,556.2,313.2,442.3,257.3,448.1,452.6,605.6,614.4,674.6,460.3,625.2,622.0,479.1,377.2,475.2,467.9,485.8,263.7,552.8,222.9,503.4,142.3,162.0,509.6,640.0,547.9,274.2,191.7,477.3,223.9,241.1
DZ,433.1,240.7,560.8,590.0,2832.8,232.6,801.8,287.2,279.1,421.0,453.6,804.2,280.7,448.6,282.6,466.5,324.0,354.6,244.7,334.2,214.9,0.0,289.5,131.4,162.3,641.3,565.6,727.9,808.8,263.8,580.0,476.6,859.6,612.4,803.2,269.9,321.7,291.9,246.9,827.8,627.3,816.0,398.7,358.9,644.4,812.5,580.0,306.8,271.0,808.5,524.2,195.1,372.3,387.5,106.7,250.0,382.5,335.1,273.1,431.3,715.9,624.7,376.9,717.0,448.1,764.6,588.3,214.7,203.8,286.1,311.1,350.5,193.8,596.3,416.9,160.4,804.4,524.2,368.0,651.8,609.9,215.6,709.1,665.5,259.5,831.8,406.0,802.3,300.9,369.2,621.0,361.5,369.6,648.8,324.6,361.0,328.2,599.3,412.7,208.5,609.6,366.0,348.6,831.6,617.3,385.6,382.4,258.6,137.6,280.0,627.6,642.8,420.7,313.2,109.8,232.0,255.1,236.2,270.0,395.0,704.9,178.8,347.1,282.1,238.9,315.3
EE,715.2,522.8,842.9,872.1,3068.9,122.4,1083.9,569.3,456.7,703.1,389.5,1086.3,562.8,384.5,564.7,402.4,434.7,263.2,319.0,531.1,497.0,306.4,0.0,367.5,333.4,923.4,847.7,1010.0,1090.9,307.0,862.1,412.5,1141.7,894.5,1085.3,265.6,431.8,574.0,357.0,1109.9,909.4,1098.1,271.9,267.5,926.5,1094.6,862.1,215.4,553.1,1090.6,806.3,446.7,654.4,461.8,413.2,245.7,493.8,243.7,555.2,713.4,998.0,906.8,548.0,999.1,384.0,1046.7,870.4,496.8,440.6,366.6,593.2,332.0,268.1,878.4,325.5,221.0,1086.5,806.3,276.6,933.9,892.0,522.1,991.2,947.6,541.6,1113.9,688.1,1084.4,397.5,350.7,903.1,270.1,468.3,930.9,606.7,269.6,610.3,881.4,694.8,318.3,891.7,301.9,422.9,1113.7,899.4,258.8,331.2,332.9,257.1,188.6,909.7,924.9,702.8,308.9,391.9,306.3,537.2,518.3,344.3,469.3,986.6,485.3,629.2,153.8,521.0,597.4
EJ,538.7,183.2,516.0,545.2,2701.3,227.4,757.0,304.0,147.6,526.6,448.4,759.4,297.5,443.4,388.2,461.3,221.2,460.2,174.4,202.7,320.5,105.5,345.8,0.0,129.3,746.9,520.8,683.1,764.0,258.6,535.2,471.4,814.8,567.6,758.4,264.7,201.5,308.7,162.8,783.0,524.1,771.2,393.5,465.0,616.5,767.7,535.2,412.4,287.8,763.7,551.9,79.1,477.9,301.3,178.6,244.8,251.0,440.7,289.9,536.9,671.1,579.9,237.6,672.2,442.9,720.5,543.5,320.3,73.0,184.6,327.9,345.3,214.5,551.5,474.3,155.2,759.6,551.9,473.6,607.0,565.1,123.3,664.3,620.7,276.3,787.0,511.6,757.5,199.4,364.0,576.2,467.1,266.8,604.0,341.4,466.6,345.0,554.5,429.5,203.3,564.8,360.8,278.3,786.8,572.5,380.4,377.2,143.0,132.4,385.6,580.1,598.0,526.3,308.0,215.4,167.3,271.9,253.0,240.3,311.2,660.1,140.4,363.9,336.0,255.7,332.1
ET,572.7,345.5,700.4,729.6,2840.7,196.4,941.4,426.8,176.7,560.6,417.4,943.8,420.3,412.4,422.2,430.3,215.1,464.2,186.3,251.1,354.5,139.5,314.8,140.2,0.0,780.9,705.2,867.5,948.4,227.6,719.6,440.4,999.2,752.0,942.8,233.7,230.2,431.5,174.7,967.4,766.9,955.6,362.5,471.7,784.0,952.1,719.6,419.1,410.6,948.1,663.8,218.5,511.9,295.2,212.6,213.8,286.2,447.4,412.7,570.9,855.5,764.3,268.0,856.6,411.9,904.9,727.9,354.3,212.4,196.5,450.7,314.3,226.4,735.9,443.3,124.2,944.0,663.8,480.3,791.4,749.5,268.3,848.7,805.1,399.1,971.4,545.6,941.9,211.3,333.0,760.6,436.3,260.7,788.4,464.2,473.3,467.8,738.9,552.3,172.3,749.2,329.8,290.2,971.2,756.9,349.4,346.2,154.9,101.4,392.3,767.2,782.4,560.3,277.0,249.4,179.2,394.7,375.8,252.2,305.1,844.5,284.7,486.7,305.0,378.5,454.9
