from_stop,AD,AE,AH,AJ,AL,AO,AQ,AR,AX,AY,BH,BJ,BL,BO,BR,CB,CH,CJ,CK,CL,CP,CQ,CS,CY,DA,DH,DJ,DM,DN,DO,DT,DW,DX,EB,EC,EG,EH,EQ,EU,EX,EZ,FG,FM,FN,FO,FT,FU,GE,GG,GH,GI,GJ,GT,GV,HD,HG,HJ,HK,HQ,HR,HT,HY,IB,IC,ID,IN,IU,IV,IW,IX,JA,JK,JS,KJ,KL,KN,KS,KV,LF,LG,LJ,LM,LV,ME,MF,MH,MN,MY,NB,NC,NG,NH,NK,NL,NM,NO,NT,NW,NZ,OB,OE,OG,OI,OJ,OL,OP,OS,OT,OV,OY,PA,PE,PG,PH,PI,PO,PR,PS,PT,QG,QJ,QO,QP,QX,RB,RC,RJ,RM,RN,RP,RS,RT,RW,SA,SN,SS,ST,SU,SX,SY,SZ,TS,TT,TU,TW,TX,UB,UF,UJ,UQ,UT,UU,UX,VA,VK,VQ,VV,VZ,WI,WM,WN,WQ,WY,XH,XI,XN,XO,XQ,XZ,YG,YJ,YL,YN,YT,ZB,ZF,ZG,ZJ,ZQ,ZU
FO,38.8,784.9,394.6,821.5,849.2,306.6,879.9,825.9,236.8,264.4,1507.2,1501.8,292.3,1467.4,200.4,1588.3,261.2,350.4,911.0,349.4,467.5,212.6,2219.5,1410.6,183.5,373.9,931.1,415.9,1571.1,226.5,940.8,474.5,265.4,1421.1,366.1,770.5,245.7,1404.4,767.5,1435.3,776.8,328.2,290.4,802.2,0.0,402.2,236.9,305.7,848.5,1486.8,559.1,325.8,83.3,577.9,217.7,342.8,492.5,437.8,841.9,228.5,436.9,213.5,309.8,455.2,100.0,716.5,293.0,1583.3,489.5,936.8,868.9,314.0,481.2,340.6,1533.5,911.3,1509.9,96.8,1519.9,1487.8,1014.7,968.2,251.0,1584.3,240.2,41.1,1167.2,888.9,930.2,373.3,326.1,790.4,456.7,358.4,373.4,1338.6,260.6,376.0,917.6,278.7,261.0,669.6,253.4,247.3,192.9,373.0,161.2,897.9,339.4,599.2,549.3,949.2,1458.9,718.4,1393.2,838.3,948.1,251.9,316.9,345.1,986.9,340.2,375.6,1450.2,489.5,180.8,1531.6,1601.0,1454.1,661.0,812.7,886.5,323.7,569.0,463.8,281.8,116.9,1445.8,87.5,279.2,1492.7,1472.0,287.4,850.8,404.1,1502.3,282.8,461.1,469.8,398.2,774.2,418.3,354.4,731.2,368.7,345.4,941.1,365.6,1484.6,874.5,470.3,1447.7,1477.0,975.8,208.6,1381.7,255.7,743.4,444.4,1459.5,310.8,269.3,382.3,1525.4,1016.8,682.1,954.6,1432.8,589.3,1525.5
FT,392.2,542.1,415.9,578.7,606.4,622.6,770.2,583.1,314.2,563.1,1206.0,1200.6,395.1,1166.2,537.4,1287.1,338.6,601.6,746.9,635.0,748.0,383.0,1949.2,1109.4,353.9,93.9,694.2,710.6,1269.9,374.6,698.0,97.9,413.5,1119.9,617.3,527.7,277.1,1103.2,524.7,1134.1,534.0,375.5,113.7,559.4,415.7,0.0,552.9,408.5,605.7,1185.6,165.4,641.8,392.0,254.8,435.4,637.5,191.3,195.0,599.1,523.2,34.6,529.5,153.9,86.1,408.7,415.3,346.7,1282.1,246.7,766.0,626.1,377.9,116.7,591.8,1173.6,668.5,1208.7,436.9,1160.0,1186.6,714.0,725.4,545.7,1283.1,525.8,382.4,924.4,779.2,630.4,624.5,474.2,547.6,751.4,653.1,624.6,1037.4,524.7,627.2,674.8,594.7,496.8,426.8,552.1,350.1,341.0,419.6,431.7,655.1,590.6,318.4,222.3,755.5,1157.7,475.6,1092.0,595.5,722.9,152.3,551.4,533.6,744.1,591.4,626.8,1149.0,246.7,496.8,1230.4,1299.8,1152.9,400.1,569.9,643.7,576.3,288.2,70.1,384.6,470.3,1144.6,331.9,543.3,1191.5,1170.8,573.0,534.3,231.0,1201.1,577.5,755.8,67.5,75.1,531.4,713.0,542.9,430.0,619.9,631.0,727.6,651.2,1183.4,631.7,227.5,1146.5,1175.8,677.9,441.2,1080.5,239.9,500.6,739.1,1158.3,358.1,182.3,530.4,1174.8,715.6,439.3,741.1,1131.6,272.0,1165.6
FU,248.0,933.2,354.1,969.8,997.5,205.3,1045.6,974.2,331.0,285.7,1655.5,1650.1,300.3,1615.7,240.0,1736.6,306.6,279.1,1076.7,289.1,429.7,270.1,2385.2,1558.9,301.0,522.2,1096.8,363.2,1719.4,295.0,1089.1,608.3,333.9,1569.4,294.8,918.8,391.3,1552.7,915.8,1583.6,925.1,287.7,424.2,950.5,228.1,536.0,0.0,277.5,996.8,1635.1,692.9,224.5,156.1,711.7,140.6,298.1,640.8,586.1,990.2,175.8,570.7,154.4,458.1,603.5,138.0,864.8,278.9,1731.6,637.8,1102.5,1017.2,254.0,615.0,269.3,1699.2,1059.6,1658.2,145.3,1685.6,1636.1,1105.1,1116.5,198.3,1732.6,258.0,250.3,1315.5,1054.6,1078.5,302.0,268.1,938.7,404.0,305.7,302.1,1486.9,159.3,304.7,1065.9,177.4,183.9,817.9,274.7,306.1,285.8,332.5,292.5,1046.2,268.1,747.5,683.1,1114.9,1607.2,866.7,1541.5,986.6,1113.8,385.7,285.8,268.0,1135.2,268.9,304.3,1598.5,637.8,79.5,1679.9,1749.3,1602.4,809.3,961.0,1034.8,228.9,717.3,597.6,308.5,251.4,1594.1,221.3,177.9,1641.0,1620.3,227.1,991.2,390.3,1650.6,230.1,408.4,603.6,532.0,922.5,365.6,277.3,879.5,297.4,277.0,1106.8,301.0,1632.9,1022.8,618.6,1596.0,1625.3,1141.5,338.0,1530.0,389.5,891.7,391.7,1607.8,270.3,403.1,324.3,1691.1,1165.1,830.4,1120.3,1581.1,723.1,1691.2
GE,327.3,765.3,202.1,801.9,829.6,369.1,993.4,806.3,127.5,449.5,1490.3,1537.3,22.7,1450.5,403.8,1623.8,126.4,332.1,970.1,452.9,593.5,125.1,2285.8,1393.7,156.0,401.2,917.4,527.0,1606.6,211.6,921.2,484.9,250.5,1404.2,347.8,750.9,169.8,1387.5,747.9,1418.4,757.2,135.7,276.6,782.6,340.1,397.7,299.4,0.0,828.9,1522.3,563.2,388.3,275.7,591.4,147.9,445.2,495.3,502.3,822.3,339.6,432.4,294.0,312.6,483.9,257.6,719.3,132.4,1618.8,554.0,989.2,849.3,102.0,491.6,322.3,1457.9,891.7,1545.4,264.9,1444.3,1470.9,937.2,948.6,362.1,1619.8,421.8,329.6,1147.6,1002.4,910.6,355.0,204.7,770.8,567.8,469.5,355.1,1321.7,323.1,357.7,898.0,341.2,209.3,650.0,438.5,70.0,202.4,180.5,417.3,878.3,321.1,602.0,562.8,978.7,1442.0,698.8,1376.3,818.7,946.1,238.1,281.9,264.1,967.3,321.9,357.3,1433.3,554.0,243.3,1567.1,1636.5,1437.2,696.5,793.1,866.9,392.7,571.8,467.9,68.2,387.5,1428.9,318.6,341.7,1475.8,1455.1,390.9,870.9,238.3,1537.8,393.9,574.8,465.3,400.4,754.6,529.4,273.4,734.0,350.4,440.8,950.8,464.8,1467.7,854.9,534.8,1430.8,1460.1,901.1,426.8,1364.8,326.9,723.8,555.5,1442.6,118.3,255.5,260.9,1459.1,1052.3,662.5,964.3,1415.9,602.8,1449.9
GG,811.9,97.5,846.4,66.9,162.9,1031.6,238.7,121.3,739.8,960.7,917.5,881.7,820.7,877.7,915.6,968.2,764.2,996.8,208.9,1048.2,1086.0,773.9,1672.0,820.9,744.8,485.7,156.2,1114.7,951.0,769.8,246.4,646.5,808.7,831.4,1012.5,431.7,702.7,814.7,341.9,845.6,255.8,806.0,602.0,353.9,824.7,576.2,961.9,834.1,0.0,866.7,714.0,1050.8,801.0,818.5,830.6,1041.6,622.3,496.2,160.6,927.3,583.2,938.5,492.5,585.0,817.7,690.0,777.2,963.2,511.4,228.0,213.0,808.4,689.5,987.0,885.1,130.5,929.3,845.9,871.5,898.1,281.6,238.7,949.8,964.2,939.0,795.6,534.8,247.7,431.8,1019.7,869.4,169.3,1155.5,1057.2,1019.8,748.9,928.8,1022.4,136.8,1003.7,892.0,405.2,968.6,775.7,736.2,850.1,835.8,147.4,985.8,641.1,770.9,217.5,869.2,361.8,803.5,105.0,184.9,640.6,946.6,928.8,257.4,986.6,1022.0,860.5,511.4,905.8,911.5,976.4,864.4,676.7,125.3,174.1,980.4,610.9,618.7,810.2,890.0,856.1,740.9,947.4,903.0,882.3,986.2,726.2,708.3,921.7,981.6,1159.9,634.1,638.8,86.8,1117.1,938.1,704.7,1015.1,1044.2,189.6,1064.4,894.9,25.9,492.2,858.0,887.3,303.0,845.3,792.0,604.5,404.6,1143.2,869.8,788.6,670.6,925.6,886.3,429.3,442.8,203.1,843.1,820.6,877.1
GH,1397.5,897.6,1429.4,933.6,751.8,1534.4,734.8,794.3,1337.5,1350.7,127.2,35.7,1418.4,130.5,1400.3,103.7,1361.9,1435.0,769.2,1403.8,1410.3,1384.0,1470.0,163.5,1357.7,1152.3,797.7,1447.2,86.5,1379.9,778.1,1093.9,1418.8,152.5,1450.7,858.5,1300.4,172.9,795.3,98.4,748.8,1387.8,1119.0,769.8,1421.0,1064.4,1558.2,1427.7,864.4,0.0,1044.7,1492.5,1397.3,945.0,1440.7,1461.9,1059.5,1171.9,787.2,1444.8,1081.6,1534.8,1126.5,1099.1,1414.0,877.5,1359.0,98.7,1067.2,791.6,697.2,1390.2,1100.6,1425.2,165.6,924.8,151.4,1442.2,144.9,89.9,735.8,796.5,1467.3,118.1,1388.7,1387.7,513.1,743.8,661.4,1489.5,1390.9,871.9,1440.4,1399.8,1489.4,207.5,1446.3,1486.7,898.5,1500.6,1432.4,858.6,1360.7,1373.4,1346.3,1407.8,1349.9,785.0,1424.0,998.7,979.6,859.0,140.0,900.6,193.7,806.7,803.0,1157.6,1384.8,1367.2,815.2,1424.8,1487.2,131.3,1067.2,1502.1,47.0,134.8,117.2,883.8,925.4,757.6,1472.2,1000.8,1083.2,1407.9,1475.6,108.9,1337.2,1431.0,114.1,153.1,1435.9,762.3,1243.3,143.8,1499.1,1382.4,1132.0,1037.6,886.9,1408.2,1376.3,892.2,1453.3,1493.9,831.1,1440.0,147.7,890.4,1144.9,48.4,140.1,696.9,1339.1,182.2,1245.2,803.3,1438.2,164.8,1370.4,1187.6,1316.5,139.1,646.1,931.8,844.6,138.1,945.7,187.6
GI,551.5,679.3,582.2,715.9,743.6,781.9,907.4,720.3,499.1,722.4,1054.7,1049.3,580.0,1014.9,696.7,1135.8,523.5,760.9,884.1,794.3,907.3,538.0,1880.1,958.1,508.9,231.1,831.4,869.9,1118.6,533.9,835.2,134.5,572.8,968.6,776.6,400.3,462.0,951.9,507.6,982.8,671.2,541.8,273.0,445.1,575.0,184.8,712.2,593.4,742.9,1034.3,0.0,801.1,551.3,121.1,594.7,796.8,157.8,332.2,736.3,682.5,141.7,688.8,265.2,177.2,568.0,266.2,513.0,1130.8,280.3,903.2,763.3,544.2,123.1,751.1,1022.3,805.7,1057.4,596.2,1008.7,1035.3,851.2,862.6,705.0,1131.8,685.1,541.7,768.2,916.4,479.1,783.8,633.5,684.8,910.7,812.4,783.9,886.1,684.0,786.5,812.0,754.0,656.1,392.1,711.4,535.0,500.3,585.9,591.0,792.3,749.9,273.6,56.8,892.7,1006.4,612.8,940.7,732.7,860.1,311.6,710.7,692.9,881.3,750.7,786.1,997.7,280.3,656.1,1079.1,1148.5,1001.6,208.5,707.1,780.9,735.6,243.4,106.2,569.5,629.6,993.3,491.2,702.6,1040.2,1019.5,732.3,419.6,397.3,1049.8,736.8,915.1,210.2,193.5,668.6,872.3,702.2,280.9,779.2,790.3,864.8,810.5,1032.1,768.9,358.0,995.2,1024.5,815.1,600.5,929.2,399.2,345.1,898.4,1007.0,524.4,341.6,689.7,1023.5,564.3,375.3,878.3,980.3,106.5,1014.3
GJ,281.6,1082.1,440.9,1034.5,1082.9,18.5,932.1,1125.4,417.8,309.4,1565.4,1633.4,387.1,1525.6,207.7,1719.2,393.4,92.1,966.5,152.8,265.9,356.9,2271.7,1468.2,385.0,587.5,983.3,213.7,1702.6,381.8,1108.6,697.1,420.7,1479.3,76.4,984.1,478.6,1462.0,981.1,1492.9,990.4,374.5,513.0,1015.8,309.5,624.8,202.4,364.3,1085.5,1617.7,789.8,0.0,242.9,800.5,227.4,93.0,706.4,651.4,1118.3,113.3,659.5,241.2,523.4,668.8,224.8,930.1,365.7,1714.8,703.1,988.9,1028.3,340.8,703.8,101.3,1585.7,1048.9,1549.0,232.1,1572.1,1546.0,1066.9,1127.6,172.4,1715.8,283.0,301.4,1262.8,941.1,1143.8,66.9,354.9,1035.0,255.1,156.8,69.1,1396.8,187.7,65.8,1057.6,129.6,269.4,883.2,299.7,392.9,372.6,419.3,282.5,1116.1,103.1,812.8,778.1,1000.8,1517.1,932.0,1451.4,1137.8,1000.3,474.5,147.5,160.4,1145.7,102.3,66.9,1508.4,703.6,132.8,1663.1,1624.3,1512.3,874.6,1052.8,1088.7,193.0,782.6,686.4,395.3,241.4,1504.0,308.1,206.3,1550.9,1529.6,186.8,1064.4,477.1,1541.4,148.9,251.0,701.8,620.8,987.8,216.7,151.0,944.8,175.3,209.9,992.7,188.4,1627.2,1057.9,683.9,1505.9,1619.6,1028.0,292.0,1439.9,486.0,957.0,242.8,1517.1,357.1,491.9,254.6,1577.6,1154.7,895.7,1006.8,1491.0,811.9,1577.7
GT,91.8,777.0,355.1,813.6,841.3,230.5,889.4,818.0,232.4,286.9,1499.3,1493.9,287.9,1459.5,222.9,1580.4,256.8,292.3,920.5,314.3,454.9,208.2,2229.0,1402.7,179.1,366.0,940.6,388.4,1563.2,222.1,932.9,452.1,261.0,1413.2,308.0,762.6,241.3,1396.5,759.6,1427.4,768.9,288.7,268.0,794.3,104.6,379.8,160.8,301.3,840.6,1478.9,536.7,249.7,0.0,555.5,141.6,323.3,484.6,429.9,834.0,201.0,414.5,137.4,301.9,447.3,16.7,708.6,288.6,1575.4,481.6,946.3,861.0,255.0,458.8,282.5,1543.0,903.4,1502.0,44.8,1529.4,1479.9,948.9,960.3,223.5,1576.4,277.2,94.1,1159.3,898.4,922.3,315.2,269.1,782.5,429.2,330.9,315.3,1330.7,184.5,317.9,909.7,202.6,184.9,661.7,275.9,242.9,188.5,333.5,214.2,890.0,281.3,591.3,526.9,958.7,1451.0,710.5,1385.3,830.4,957.6,229.5,286.8,269.0,979.0,282.1,317.5,1442.3,481.6,104.7,1523.7,1593.1,1446.2,653.1,804.8,878.6,254.1,561.1,441.4,277.4,167.4,1437.9,65.1,203.1,1484.8,1464.1,252.3,835.0,391.3,1494.4,255.3,433.6,447.4,375.8,766.3,390.8,278.3,723.3,310.6,302.2,950.6,326.2,1476.7,866.6,462.4,1439.8,1469.1,985.3,261.6,1373.8,233.3,735.5,416.9,1451.6,271.3,246.9,325.3,1534.9,1008.9,674.2,964.1,1424.9,566.9,1535.0
GV,549.9,700.9,580.6,737.5,817.2,780.3,949.3,793.9,489.9,720.8,1073.0,1067.6,570.8,1033.2,695.1,1154.1,514.3,759.3,905.7,792.7,905.7,536.4,1898.4,976.4,507.3,304.7,853.0,868.3,1136.9,532.3,908.8,246.3,571.2,986.9,775.0,418.6,452.8,970.2,525.9,1001.1,552.1,540.2,271.4,463.4,573.4,216.8,710.6,580.1,762.4,1052.6,131.8,799.5,549.7,0.0,593.1,795.2,149.9,405.8,809.9,680.9,234.0,687.2,322.3,251.5,566.4,284.5,511.4,1149.1,307.2,924.8,836.9,542.6,253.0,749.5,1040.6,827.3,1075.7,594.6,1027.0,1053.6,924.8,936.2,703.4,1150.1,683.5,540.1,786.5,958.3,497.4,782.2,631.9,726.7,909.1,810.8,782.3,904.4,682.4,784.9,833.6,752.4,654.5,410.4,709.8,525.8,498.7,584.3,589.4,844.2,748.3,226.2,66.7,914.3,1024.7,544.5,959.0,801.8,881.7,310.0,709.1,691.3,954.9,749.1,784.5,1016.0,307.2,654.5,1097.4,1166.8,1019.9,226.8,728.7,854.5,734.0,228.3,235.6,560.3,628.0,1011.6,489.6,701.0,1058.5,1037.8,730.7,379.0,395.7,1068.1,735.2,913.5,284.4,190.0,690.2,870.7,700.6,299.2,777.6,788.7,886.4,808.9,1050.4,788.4,384.9,1013.5,1042.8,888.7,598.9,947.5,397.6,363.4,896.8,1025.3,522.8,340.0,688.1,1041.8,582.6,393.6,899.9,998.6,65.9,1032.6
HD,219.6,797.4,213.4,834.0,861.7,221.1,1017.2,838.4,190.3,301.5,1519.7,1514.3,159.6,1479.9,255.8,1600.8,165.9,218.5,1048.3,304.9,445.5,129.4,2278.0,1423.1,160.3,386.4,949.5,379.0,1583.6,154.3,953.3,498.2,193.2,1433.6,234.2,783.0,250.6,1416.9,780.0,1447.8,789.3,147.0,314.1,814.7,199.7,425.9,151.4,136.8,861.0,1499.3,588.7,240.3,127.7,601.6,0.0,313.9,505.0,450.3,854.4,191.6,460.6,146.0,322.3,467.7,109.6,729.0,138.2,1595.8,502.0,1021.3,881.4,113.3,504.9,208.7,1487.3,923.8,1522.4,116.9,1473.7,1500.3,969.3,980.7,214.1,1596.8,273.8,221.9,1179.7,1026.2,942.7,241.4,127.4,802.9,419.8,321.5,241.5,1351.1,175.1,244.1,930.1,193.2,61.3,682.1,290.5,165.4,145.1,191.8,308.3,910.4,207.5,611.7,573.0,1010.8,1471.4,730.9,1405.7,850.8,978.2,275.6,168.3,150.5,999.4,208.3,243.7,1462.7,502.0,95.3,1544.1,1613.5,1466.6,673.5,825.2,899.0,244.7,581.5,487.5,167.8,239.5,1458.3,192.9,193.7,1505.2,1484.5,242.9,863.3,249.6,1514.8,245.9,424.2,500.7,421.9,786.7,381.4,159.8,743.7,236.8,292.8,982.9,316.8,1497.1,887.0,482.8,1460.2,1489.5,933.2,353.8,1394.2,284.9,755.9,407.5,1472.0,129.6,293.0,183.6,1488.5,1029.3,694.6,996.4,1445.3,613.0,1479.3
HG,305.4,1100.7,423.3,1058.9,1101.5,141.3,950.7,1144.0,514.4,328.6,1584.0,1651.9,468.9,1544.2,231.5,1738.4,490.0,142.1,981.8,171.4,284.5,438.7,2290.3,1487.4,469.6,611.3,1001.9,232.9,1721.2,468.5,1127.8,720.9,507.4,1497.9,126.4,1007.9,538.3,1481.2,1004.9,1512.1,1014.2,425.7,536.8,1039.6,333.3,648.6,284.2,446.1,1104.1,1636.9,813.6,122.7,324.7,824.3,309.2,0.0,729.9,675.2,1136.9,131.9,683.3,323.0,547.2,692.6,306.6,953.9,462.3,1733.4,726.9,1007.6,1046.9,422.6,727.6,151.9,1604.3,1068.1,1567.6,323.0,1590.7,1564.6,1085.5,1146.2,191.0,1734.4,301.6,325.2,1278.4,959.7,1167.6,119.2,344.6,1053.6,273.7,175.4,119.1,1415.4,191.1,116.4,1076.2,146.1,301.5,907.0,318.3,474.7,459.3,401.7,306.3,1130.4,153.1,836.6,795.7,1020.0,1535.7,955.8,1470.0,1156.4,1018.9,498.3,193.4,210.6,1164.9,152.3,116.9,1527.0,726.9,214.6,1681.7,1642.9,1530.9,898.4,1071.4,1107.3,211.6,806.4,710.2,477.1,265.2,1522.6,356.8,245.8,1569.5,1548.8,205.4,1088.2,558.9,1560.0,167.5,269.6,725.6,644.6,1011.6,235.3,201.6,968.6,225.3,228.5,1011.9,207.6,1645.8,1077.1,707.7,1524.5,1638.2,1046.6,315.8,1458.5,509.8,980.8,261.4,1536.3,438.9,515.7,304.6,1596.2,1173.3,919.5,1025.4,1509.6,835.7,1596.3
HJ,491.7,574.5,514.0,610.5,638.8,711.4,802.6,615.5,407.4,640.5,1014.6,1009.3,488.3,974.8,595.4,1095.4,431.8,676.6,776.0,728.0,846.1,453.7,1840.0,917.7,427.4,183.5,726.6,794.5,1078.5,449.6,730.7,162.5,488.5,928.5,692.3,360.2,370.3,911.5,494.4,942.4,566.4,473.6,292.8,405.0,504.5,190.8,641.7,501.7,638.1,993.9,113.8,731.2,480.8,144.5,510.4,721.4,0.0,217.6,631.5,607.1,147.7,618.3,172.3,131.0,497.5,223.9,444.8,1090.7,157.2,798.3,658.5,476.0,133.1,666.8,981.9,700.9,1017.3,525.7,968.6,995.2,746.4,757.8,629.6,1091.7,618.8,475.4,731.1,811.6,439.0,701.8,549.2,580.0,835.3,737.0,699.6,846.0,608.6,702.5,707.2,683.5,570.5,359.6,648.4,443.3,416.0,517.7,515.6,691.8,665.6,198.7,100.8,787.9,966.3,508.0,900.6,627.9,755.3,331.4,622.1,608.8,776.5,666.4,701.8,957.6,157.2,585.9,1039.0,1108.4,961.5,168.4,602.3,676.1,660.2,168.5,134.2,477.8,569.8,952.9,420.7,627.2,1000.1,979.4,666.0,358.2,417.1,1009.7,661.4,839.7,164.0,211.4,563.8,796.9,617.9,238.6,694.9,724.0,760.0,744.2,992.0,664.1,234.9,955.1,984.4,710.3,525.1,889.1,284.3,305.0,823.3,966.6,456.2,361.4,605.7,983.1,523.9,347.6,773.5,940.2,173.3,974.2
HK,438.6,440.8,460.9,477.4,505.1,658.3,668.9,481.8,354.3,587.4,1165.8,1130.0,435.2,1126.0,542.3,1216.5,378.7,623.5,645.6,674.9,793.0,400.6,1921.4,1069.2,371.5,112.4,592.9,741.4,1199.3,396.5,596.7,275.0,435.4,1079.7,639.2,426.4,317.2,1063.0,423.4,1093.9,432.7,420.5,228.7,458.1,451.4,202.9,588.6,448.6,504.4,1115.0,303.3,677.5,427.7,364.2,457.3,668.3,219.6,0.0,497.8,554.0,209.9,565.2,119.2,208.9,444.4,384.9,391.7,1211.5,145.4,664.7,524.8,422.9,267.8,613.7,1133.4,567.2,1176.4,472.6,1119.8,1146.4,612.7,624.1,576.5,1212.5,565.7,422.3,823.1,677.9,586.1,646.4,496.1,446.3,782.2,683.9,646.5,997.2,555.5,649.1,573.5,630.4,518.7,325.5,595.3,390.2,362.9,464.6,462.5,553.8,612.5,245.5,314.3,654.2,1117.5,374.3,1051.8,494.2,621.6,267.3,573.3,555.5,642.8,613.3,648.7,1108.8,145.4,532.5,1159.8,1224.7,1112.7,327.2,468.6,542.4,607.1,215.3,247.2,424.7,516.7,1104.4,367.6,574.1,1151.3,1130.6,612.9,532.5,335.0,1168.8,608.3,786.6,241.9,259.4,430.1,743.8,564.8,399.6,641.8,670.9,626.3,691.1,1143.2,530.4,126.2,1106.3,1135.6,576.6,472.0,1040.3,231.2,399.3,769.9,1118.1,403.1,297.3,552.3,1134.6,683.3,338.0,639.8,1091.4,393.0,1125.4
HQ,804.3,192.6,838.8,162.0,23.3,1024.0,217.5,33.4,732.2,953.1,807.2,771.4,813.1,767.4,908.0,857.9,756.6,989.2,194.9,1040.6,1158.7,766.3,1592.7,710.6,737.2,478.1,136.4,1107.1,840.7,762.2,98.8,638.9,801.1,721.1,1004.9,446.6,695.1,704.4,356.8,735.3,270.7,798.4,594.4,368.8,817.1,568.6,954.3,826.5,140.7,756.4,706.4,1043.2,793.4,810.9,823.0,1034.0,614.7,488.6,0.0,919.7,575.6,930.9,484.9,577.4,810.1,682.4,769.6,852.9,503.8,208.2,71.5,800.8,681.9,979.4,774.8,149.1,817.8,838.3,761.2,787.8,134.0,135.2,942.2,853.9,931.4,788.0,465.3,226.5,446.7,1012.1,861.8,286.1,1147.9,1049.6,1012.2,638.6,921.2,1014.8,146.9,996.1,884.4,420.1,961.0,768.1,728.6,842.5,828.2,55.9,978.2,633.5,763.3,197.7,758.9,354.2,693.2,45.8,203.5,633.0,939.0,921.2,162.0,979.0,1014.4,750.2,503.8,898.2,801.2,866.1,754.1,715.2,220.4,44.5,972.8,603.3,611.1,802.6,882.4,745.8,733.3,939.8,792.7,772.0,978.6,718.6,700.7,810.2,974.0,1152.3,626.5,631.2,181.9,1109.5,930.5,697.1,1007.5,1036.6,169.8,1056.8,784.6,166.7,484.6,747.7,777.0,161.5,837.7,681.7,596.9,419.5,1135.6,759.5,781.0,663.0,918.0,776.0,324.7,457.7,183.3,732.8,813.0,766.8
HR,172.3,889.2,389.6,925.8,953.5,87.7,922.1,930.2,366.5,196.1,1537.5,1501.7,335.8,1497.7,98.4,1588.2,342.1,163.7,953.2,137.7,237.9,305.6,2261.7,1440.9,336.5,478.2,973.3,186.3,1571.0,330.5,1099.2,587.8,369.4,1451.4,148.0,874.8,405.2,1434.7,871.8,1465.6,881.1,323.2,403.7,906.5,200.2,515.5,151.1,313.0,952.8,1486.7,680.5,106.9,191.6,691.2,176.1,113.2,596.8,542.1,946.2,0.0,550.2,189.9,414.1,559.5,173.5,820.8,314.4,1583.2,593.8,979.0,1018.3,289.5,594.5,173.5,1575.7,1039.5,1539.0,189.9,1562.1,1518.1,1056.9,1117.6,17.3,1584.2,168.4,192.1,1249.8,931.1,1034.5,140.8,303.6,906.7,227.1,128.8,140.7,1368.9,58.0,138.0,1047.6,115.4,219.4,773.9,185.1,341.6,321.3,368.0,173.2,1002.2,174.7,703.5,662.6,991.4,1489.2,822.7,1423.5,942.6,990.3,365.2,215.0,232.2,1136.3,173.9,138.5,1480.5,593.8,81.5,1531.5,1596.4,1484.4,765.3,924.5,1078.7,47.9,673.3,577.1,344.0,132.1,1476.1,223.7,112.6,1523.0,1502.3,72.2,955.1,425.8,1531.4,49.1,231.5,592.5,511.5,878.5,188.7,223.2,835.5,246.9,133.7,983.3,153.9,1514.9,978.8,574.6,1478.0,1507.3,1018.0,182.7,1412.0,376.7,847.7,214.8,1489.8,305.8,382.6,359.8,1567.6,1121.1,786.4,996.8,1463.1,702.6,1567.7
HT,435.3,537.5,459.0,574.1,601.8,665.7,765.6,578.5,357.3,606.2,1171.3,1165.9,438.2,1131.5,580.5,1252.4,381.7,644.7,742.3,678.1,791.1,426.1,1957.7,1074.7,397.0,89.3,689.6,753.7,1235.2,417.7,693.4,63.2,456.6,1085.2,660.4,523.1,320.2,1068.5,520.1,1099.4,529.4,418.6,156.8,554.8,458.8,43.0,596.0,451.6,601.1,1150.9,130.7,684.9,435.1,251.9,478.5,680.6,156.6,190.4,594.5,566.3,0.0,572.6,149.3,69.3,451.8,380.6,389.8,1247.4,242.1,761.4,621.5,421.0,106.2,634.9,1138.9,663.9,1174.0,480.0,1125.3,1151.9,709.4,720.8,588.8,1248.4,568.9,425.5,919.8,774.6,595.7,667.6,517.3,543.0,794.5,696.2,667.7,1002.7,567.8,670.3,670.2,637.8,539.9,422.2,595.2,393.2,384.1,462.7,474.8,650.5,633.7,283.7,187.6,750.9,1123.0,471.0,1057.3,590.9,718.3,195.4,594.5,576.7,739.5,634.5,669.9,1114.3,242.1,539.9,1195.7,1265.1,1118.2,365.4,565.3,639.1,619.4,253.5,35.4,427.7,513.4,1109.9,375.0,586.4,1156.8,1136.1,616.1,514.9,274.1,1166.4,620.6,798.9,80.9,65.6,526.8,756.1,586.0,395.3,663.0,674.1,723.0,694.3,1148.7,627.1,222.9,1111.8,1141.1,673.3,484.3,1045.8,283.0,496.0,782.2,1123.6,401.2,225.4,573.5,1140.1,680.9,382.5,736.5,1096.9,237.3,1130.9
