from_stop,AA,AF,AN,AO,AX,AY,AZ,BA,BB,BC,BJ,BO,BU,CC,CF,CS,CT,DD,DH,DL,DN,DO,DU,EC,EL,EN,EO,EX,EZ,FH,FN,FP,FQ,FX,GB,GD,GE,GJ,GK,GW,GY,HC,HK,HM,HP,HX,IH,II,IO,IP,IW,JV,JW,JY,KB,KD,KF,KJ,KK,KM,KR,KZ,LI,LR,LS,LV,LZ,MD,MH,MM,MR,MU,MV,MZ,NA,NC,NI,OK,OT,OY,PL,PM,PP,PR,PY,QC,QH,QL,QS,RA,RB,RG,RL,RQ,RR,RY,SF,SK,SM,SN,SO,TG,TI,TK,TL,TN,TP,TV,UD,UE,UF,UM,UP,UQ,US,UY,VC,VQ,VR,VV,VW,VY,WA,WD,WE,WI,WJ,WM,WS,WT,XA,XE,XH,XI,XJ,XK,XR,XU,XX,YH,YO,YW,YZ,ZC,ZF,ZJ,ZK,ZY
BJ,1870.7,577.6,342.7,484.1,13.8,1403.9,715.4,1596.8,427.9,524.7,0.0,571.9,1446.2,726.3,1445.0,771.9,1289.7,1341.4,379.5,1463.8,1762.0,500.5,579.8,535.1,1814.2,1622.7,847.2,557.0,1410.7,1550.7,600.5,1464.8,1467.1,1811.5,1462.0,569.3,1473.1,1528.0,454.2,722.3,1521.3,580.4,834.1,1802.3,1383.5,1561.4,1810.5,1661.9,582.4,693.7,454.6,1813.2,1352.3,575.8,1476.9,1505.5,457.7,127.8,1683.4,1493.4,1176.9,1496.4,395.3,451.2,478.4,1398.8,1452.0,1543.2,1401.1,1391.9,1470.6,1025.3,1386.1,330.7,1754.9,1493.1,1518.9,1854.4,1569.7,1523.1,73.7,117.4,1556.7,510.1,595.1,1643.1,1501.9,1326.4,415.2,721.9,1505.5,484.4,1441.8,677.2,466.6,1501.5,1345.8,1615.2,1337.1,390.5,1011.4,271.0,1499.9,649.0,686.5,1356.7,1509.5,1417.1,478.0,322.8,1601.9,1542.8,725.1,1483.8,649.9,1518.1,536.1,489.0,1587.3,1649.7,1594.3,986.3,1523.0,933.1,1470.7,1548.3,577.8,1422.8,1419.3,1260.4,473.8,448.2,1260.0,539.4,1456.6,519.9,680.0,1554.4,1370.3,545.9,1441.4,640.6,3107.2,1258.5,1406.8,755.5,1395.5,1447.4
BO,1616.7,263.9,539.4,170.4,534.5,1149.9,436.6,1342.8,152.2,32.6,551.6,0.0,1192.2,447.5,1191.0,493.1,1035.7,1087.4,173.1,1209.8,1508.0,538.2,266.1,203.4,1560.2,1368.7,945.6,225.3,1156.7,1296.7,309.5,1210.8,1213.1,1557.5,1208.0,290.5,1219.1,1272.1,178.5,443.5,1267.3,289.4,555.3,1548.3,1129.5,1307.4,1556.5,1407.9,268.7,414.9,579.8,1559.2,1098.3,262.1,1222.9,1251.5,489.2,412.2,1429.4,1239.4,898.1,1242.4,264.1,482.7,509.9,1144.8,1198.0,1289.2,1147.1,1137.9,1216.6,746.5,1132.1,249.1,1500.9,1239.1,1264.9,1600.4,1290.9,1269.1,525.3,441.7,1302.7,45.5,281.4,1389.1,1247.9,1047.6,513.6,443.1,1251.5,561.2,1187.8,398.4,134.9,1247.5,1067.0,1361.2,1058.3,214.1,732.6,581.3,1245.9,335.3,407.7,1102.7,1255.5,1163.1,164.3,241.9,1347.9,1288.8,446.3,1229.8,371.1,1264.1,204.4,175.3,1333.3,1395.7,1340.3,707.5,1269.0,654.3,1216.7,1294.3,5.8,1168.8,1165.3,1006.4,160.1,172.5,1006.0,178.1,1202.6,206.2,401.2,1300.4,1116.3,232.2,1187.4,68.6,2793.5,979.7,1152.8,476.7,1116.7,1193.4
BU,540.5,1018.2,1493.5,1100.1,1473.3,300.2,1059.1,266.6,1122.8,1174.6,1490.4,1221.8,0.0,1208.2,187.1,1038.5,183.1,329.7,1174.7,103.5,431.8,1297.8,1000.4,1092.2,484.0,292.5,1705.2,1114.1,171.7,166.5,1070.2,80.6,28.1,481.3,25.7,1051.2,142.9,197.8,1096.5,1103.4,191.1,1050.1,1236.6,472.1,195.4,199.3,480.3,331.7,1047.4,1175.6,1533.9,483.0,134.1,956.5,92.7,121.3,1248.8,1370.9,353.2,54.4,899.7,90.5,1199.1,1242.3,1269.5,119.5,33.0,159.0,111.8,125.1,61.2,1121.3,129.7,1166.0,424.7,46.8,134.7,524.2,938.4,138.9,1464.1,1348.8,194.6,1160.0,1060.1,258.9,171.7,793.6,1273.2,1103.0,121.3,1320.8,91.5,1159.1,1075.8,182.2,954.8,285.0,782.9,1215.7,1082.9,1340.9,94.0,1082.4,1168.4,335.2,190.2,69.5,1145.9,1214.0,271.7,223.5,1049.7,99.6,1131.8,133.9,1073.8,1050.1,257.1,265.5,210.1,1039.4,140.5,1203.0,45.0,186.8,1227.7,64.2,100.3,269.3,1064.4,1102.5,248.3,1135.4,76.3,1020.9,1096.1,225.2,182.2,985.6,4.8,1290.5,2608.2,759.8,113.2,1136.6,764.2,87.1
CC,1527.8,258.9,614.1,314.4,615.1,1061.0,93.3,1253.9,349.6,388.4,632.2,435.6,1103.3,0.0,1102.1,284.7,946.8,998.5,370.5,1120.9,1419.1,684.7,261.1,347.2,1471.3,1342.5,1092.1,382.1,1067.8,1207.8,211.4,1121.9,1124.2,1468.6,1119.1,161.2,1130.2,1185.1,375.9,44.9,1178.4,191.3,346.9,1459.4,1040.6,1218.5,1467.6,1319.0,251.0,159.9,654.5,1470.3,1009.4,257.1,1134.0,1162.6,635.7,604.9,1353.2,1150.5,689.7,1153.5,461.5,629.2,656.4,1055.9,1109.1,1200.3,1058.2,1049.0,1127.7,538.1,1043.2,446.5,1412.0,1150.2,1176.0,1511.5,1082.5,1180.2,605.9,594.5,1213.8,373.8,292.8,1300.2,1159.0,839.2,660.1,45.3,1162.6,707.7,1098.9,143.4,350.3,1158.6,858.6,1335.7,849.9,411.5,524.2,727.8,1157.0,223.6,199.3,1013.8,1166.6,1074.2,333.3,439.3,1322.4,1199.9,103.0,1140.9,106.1,1175.2,419.8,264.4,1244.4,1306.8,1251.4,499.1,1180.1,445.9,1127.8,1205.4,441.5,1079.9,1076.4,917.5,278.7,369.9,917.1,349.7,1113.7,235.2,72.9,1211.5,1027.4,227.2,1098.5,504.3,2788.5,771.3,1063.9,53.6,908.3,1104.5
CF,679.6,1020.9,1496.2,1102.8,1476.0,302.9,1061.8,405.7,1125.5,1177.3,1493.1,1224.5,164.7,1210.9,0.0,1041.2,185.8,332.4,1177.4,140.5,570.9,1300.5,1003.1,1094.9,623.1,431.6,1707.9,1116.8,39.9,306.0,1072.9,243.9,192.9,620.4,138.7,1053.9,282.0,336.9,1099.2,1106.1,330.2,1052.8,1239.3,611.2,67.1,238.1,619.4,470.8,1050.1,1178.3,1536.6,622.1,114.7,959.2,257.5,286.1,1251.5,1373.6,492.3,185.3,1038.8,173.1,1201.8,1245.0,1272.2,143.5,197.8,260.3,129.0,136.6,208.2,1260.4,130.8,1168.7,563.8,179.9,256.9,663.3,1077.5,303.7,1466.8,1351.5,233.4,1162.7,1062.8,340.9,310.8,932.7,1275.9,1105.7,286.1,1323.5,148.5,1161.8,1078.5,178.2,1093.9,424.1,922.0,1218.4,1222.0,1343.6,176.6,1085.1,1171.1,337.9,186.2,93.8,1148.6,1216.7,410.8,219.5,1052.4,224.8,1134.5,282.0,1076.5,1052.8,396.2,347.5,292.1,1178.5,276.4,1369.5,209.8,225.0,1230.4,99.5,164.0,272.0,1067.1,1105.2,251.0,1138.1,133.3,1023.6,1098.8,231.1,103.4,988.3,169.5,1293.2,2747.3,898.9,151.5,1139.3,903.3,124.1
CS,1426.6,318.4,673.6,373.9,674.6,959.8,307.7,1152.7,409.1,447.9,691.7,495.1,1002.1,318.6,1000.9,0.0,845.6,897.3,430.0,1019.7,1317.9,744.2,320.6,406.7,1370.1,1224.8,1151.6,441.6,966.6,1106.6,270.9,1020.7,1023.0,1367.4,1017.9,220.7,1029.0,1082.0,435.4,314.6,1077.2,250.8,198.0,1358.2,939.4,1117.3,1366.4,1217.8,310.5,286.0,714.0,1369.1,908.2,316.6,1032.8,1061.4,695.2,664.4,1235.5,1049.3,572.0,1052.3,521.0,688.7,715.9,954.7,1007.9,1099.1,957.0,947.8,1026.5,420.4,942.0,506.0,1310.8,1049.0,1074.8,1410.3,964.8,1079.0,665.4,654.0,1112.6,433.3,352.3,1199.0,1057.8,721.5,719.6,314.2,1061.4,767.2,997.7,269.5,409.8,1057.4,740.9,1218.0,732.2,471.0,406.5,787.3,1055.8,283.1,104.9,912.6,1065.4,973.0,392.8,498.8,1204.7,1098.7,317.4,1039.7,242.2,1074.0,479.3,323.9,1143.2,1205.6,1150.2,381.4,1080.6,328.2,1026.6,1104.2,501.0,978.7,975.2,770.0,338.2,429.4,815.9,409.2,1012.5,294.7,272.3,1110.3,926.2,286.7,997.3,563.8,2848.0,653.6,962.7,347.8,790.6,1003.3
CT,580.9,835.0,1310.3,916.9,1290.1,117.0,875.9,307.0,939.6,991.4,1307.2,1038.6,156.4,1025.0,155.2,855.3,0.0,146.5,991.5,174.0,472.2,1114.6,817.2,909.0,524.4,332.9,1522.0,930.9,120.9,260.9,887.0,175.0,177.3,521.7,172.2,868.0,183.3,238.2,913.3,920.2,231.5,866.9,1053.4,512.5,93.7,271.6,520.7,372.1,864.2,992.4,1350.7,523.4,62.5,773.3,187.1,215.7,1065.6,1187.7,393.6,203.6,940.1,206.6,1015.9,1059.1,1086.3,109.0,162.2,253.4,111.3,102.1,180.8,1161.7,96.3,982.8,465.1,203.3,229.1,564.6,978.8,233.3,1280.9,1165.6,266.9,976.8,876.9,353.3,212.1,834.0,1090.0,919.8,215.7,1137.6,152.0,975.9,892.6,211.7,995.2,325.4,823.3,1032.5,1123.3,1157.7,210.1,899.2,985.2,152.0,219.7,127.3,962.7,1030.8,312.1,253.0,866.5,194.0,948.6,228.3,890.6,866.9,297.5,359.9,304.5,1079.8,234.9,1183.6,180.9,258.5,1044.5,133.0,129.5,86.1,881.2,919.3,65.1,952.2,166.8,837.7,912.9,264.6,80.5,802.4,151.6,1107.3,2648.6,800.2,117.0,953.4,804.6,157.6
DD,737.3,876.5,1351.8,958.4,1331.6,111.7,917.4,463.4,981.1,1032.9,1348.7,1080.1,312.8,1066.5,311.6,896.8,156.3,0.0,1033.0,330.4,628.6,1156.1,858.7,950.5,680.8,489.3,1563.5,972.4,277.3,417.3,928.5,331.4,333.7,678.1,328.6,909.5,339.7,394.6,954.8,961.7,387.9,908.4,1094.9,668.9,250.1,428.0,677.1,528.5,905.7,1033.9,1392.2,679.8,218.9,814.8,343.5,372.1,1107.1,1229.2,550.0,360.0,1096.5,363.0,1057.4,1100.6,1127.8,265.4,318.6,409.8,267.7,258.5,337.2,1317.3,252.7,1024.3,621.5,359.7,385.5,721.0,1135.2,389.7,1322.4,1207.1,423.3,1018.3,918.4,509.7,368.5,990.4,1131.5,961.3,372.1,1179.1,308.4,1017.4,934.1,368.1,1151.6,481.8,979.7,1074.0,1303.4,1199.2,366.5,940.7,1026.7,15.3,376.1,283.7,1004.2,1072.3,468.5,409.4,908.0,350.4,990.1,384.7,932.1,908.4,453.9,516.3,460.9,1278.3,391.3,1225.1,337.3,414.9,1086.0,289.4,285.9,127.6,922.7,960.8,81.3,993.7,323.2,879.2,954.4,421.0,236.9,843.9,308.0,1148.8,2767.1,956.6,273.4,994.9,961.0,314.0
DH,1550.8,198.0,366.2,104.5,361.3,1084.0,370.7,1276.9,48.3,145.1,378.4,192.3,1126.3,381.6,1125.1,427.2,969.8,1021.5,0.0,1143.9,1442.1,382.8,200.2,155.5,1494.3,1302.8,790.2,177.4,1090.8,1230.8,243.6,1144.9,1147.2,1491.6,1142.1,224.6,1153.2,1208.1,74.6,377.6,1201.4,223.5,489.4,1482.4,1063.6,1241.5,1490.6,1342.0,202.8,349.0,406.6,1493.3,1032.4,196.2,1157.0,1185.6,333.8,239.0,1363.5,1173.5,832.2,1176.5,90.9,327.3,354.5,1078.9,1132.1,1223.3,1081.2,1072.0,1150.7,680.6,1066.2,75.9,1435.0,1173.2,1199.0,1534.5,1225.0,1203.2,352.1,268.5,1236.8,130.5,215.5,1323.2,1182.0,981.7,358.2,377.2,1185.6,405.8,1121.9,332.5,87.0,1181.6,1001.1,1295.3,992.4,40.9,666.7,422.1,1180.0,269.4,341.8,1036.8,1189.6,1097.2,98.4,68.7,1282.0,1222.9,380.4,1163.9,305.2,1198.2,156.5,109.4,1267.4,1329.8,1274.4,641.6,1204.8,588.4,1150.8,1228.4,198.2,1102.9,1099.4,940.5,94.2,68.6,940.1,159.8,1136.7,140.3,339.5,1234.5,1050.4,166.3,1121.5,261.0,2727.6,913.8,1086.9,410.8,1050.8,1127.5
DL,619.9,1014.9,1490.2,1096.8,1470.0,296.9,1055.8,346.0,1119.5,1171.3,1487.1,1218.5,79.3,1204.9,158.7,1035.2,179.8,326.4,1171.4,0.0,511.2,1294.5,997.1,1088.9,563.4,371.9,1701.9,1110.8,143.3,245.9,1066.9,144.9,107.5,560.7,53.3,1047.9,222.3,277.2,1093.2,1100.1,270.5,1046.8,1233.3,551.5,160.2,213.7,559.7,411.1,1044.1,1172.3,1530.6,562.4,93.5,953.2,172.1,200.7,1245.5,1367.6,432.6,99.9,979.1,87.7,1195.8,1239.0,1266.2,136.7,112.4,235.9,65.4,142.3,122.8,1200.7,142.8,1162.7,504.1,94.5,157.9,603.6,1017.8,218.3,1460.8,1345.5,209.0,1156.7,1056.8,316.5,251.1,873.0,1269.9,1099.7,200.7,1317.5,45.1,1155.8,1072.5,153.8,1034.2,364.4,862.3,1212.4,1162.3,1337.6,91.2,1079.1,1165.1,331.9,161.8,41.1,1142.6,1210.7,351.1,195.1,1046.4,125.8,1128.5,213.3,1070.5,1046.8,336.5,323.1,267.7,1118.8,219.9,1282.4,124.4,200.6,1224.4,35.8,117.5,266.0,1061.1,1099.2,245.0,1132.1,29.9,1017.6,1092.8,206.7,147.0,982.3,84.1,1287.2,2687.6,839.2,130.4,1133.3,843.6,8.4
DN,143.3,1331.2,1806.5,1413.1,1786.3,613.2,1372.1,181.0,1435.8,1487.6,1803.4,1534.8,449.0,1521.2,584.2,1351.5,496.1,642.7,1487.7,552.6,0.0,1610.8,1313.4,1405.2,172.9,376.5,2018.2,1427.1,549.9,553.5,1383.2,467.6,469.9,66.0,474.8,1364.2,341.6,310.4,1409.5,1416.4,345.3,1363.1,1549.6,40.2,522.7,586.3,48.4,114.0,1360.4,1488.6,1846.9,51.1,491.5,1269.5,479.7,508.3,1561.8,1683.9,437.2,496.2,983.7,521.2,1512.1,1555.3,1582.5,538.0,454.8,546.0,540.3,531.1,473.4,1205.3,525.3,1479.0,9.4,495.9,521.7,92.3,1022.4,525.9,1777.1,1661.8,581.6,1473.0,1373.1,645.9,364.7,877.6,1586.2,1416.0,508.3,1633.8,540.6,1472.1,1388.8,631.3,1038.8,369.0,866.9,1528.7,1166.9,1653.9,524.7,1395.4,1412.1,648.2,639.3,518.6,1458.9,1527.0,355.7,636.0,1362.7,486.6,1444.8,520.9,1386.8,1363.1,190.5,652.5,597.1,1123.4,527.5,1287.0,473.5,573.8,1540.7,513.3,549.4,582.3,1377.4,1415.5,561.3,1448.4,525.4,1333.9,1409.1,612.2,509.5,1298.6,444.2,1603.5,2297.1,843.8,546.0,1449.6,848.2,536.2
DO,1709.8,523.2,679.0,580.0,512.3,1243.0,702.3,1435.9,523.8,520.4,529.4,567.6,1285.3,713.2,1284.1,758.8,1128.8,1180.5,475.4,1302.9,1601.1,0.0,505.4,438.0,1653.3,1461.8,554.3,459.9,1249.8,1389.8,575.2,1303.9,1306.2,1650.6,1301.1,556.2,1312.2,1367.1,419.0,709.2,1360.4,555.1,821.0,1641.4,1222.6,1400.5,1649.6,1501.0,552.4,680.6,777.3,1652.3,1191.4,461.5,1316.0,1344.6,112.3,409.9,1522.5,1332.5,1163.8,1335.5,442.5,48.9,21.7,1237.9,1291.1,1382.3,1240.2,1231.0,1309.7,1012.2,1225.2,409.4,1594.0,1332.2,1358.0,1693.5,1556.6,1362.2,503.1,387.8,1395.8,505.8,565.1,1482.2,1341.0,1313.3,87.2,708.8,1344.6,23.0,1280.9,664.1,421.6,1340.6,1332.7,1454.3,1324.0,486.4,998.3,379.9,1339.0,587.4,673.4,1195.8,1348.6,1256.2,573.9,457.4,1441.0,1381.9,712.0,1322.9,636.8,1357.2,419.6,584.9,1426.4,1488.8,1433.4,973.2,1363.8,920.0,1309.8,1387.4,573.5,1261.9,1258.4,1099.5,569.7,425.0,1099.1,540.5,1295.7,615.8,671.1,1393.5,1209.4,490.6,1280.5,636.3,2904.6,1245.4,1245.9,742.4,1382.4,1286.5
DU,1406.9,36.1,541.0,136.0,542.0,940.1,233.2,1133.0,171.2,210.0,559.1,257.2,982.4,244.1,981.2,289.7,825.9,877.6,192.1,1000.0,1298.2,479.9,0.0,168.8,1350.4,1347.5,887.3,203.7,946.9,1086.9,106.1,1001.0,1003.3,1347.7,998.2,87.1,1009.3,1064.2,197.5,240.1,1057.5,86.0,351.9,1338.5,919.7,1097.6,1346.7,1198.1,83.3,211.5,581.4,1349.4,888.5,52.3,1013.1,1041.7,430.9,431.2,1358.2,1029.6,694.7,1032.6,283.1,424.4,451.6,935.0,988.2,1079.4,937.3,928.1,1006.8,543.1,922.3,268.1,1291.1,1029.3,1055.1,1390.6,1087.5,1059.3,532.8,460.7,1092.9,195.4,96.0,1179.3,1038.1,844.2,455.3,239.7,1041.7,502.9,978.0,195.0,171.9,1037.7,863.6,1340.7,854.9,233.1,529.2,523.0,1036.1,118.3,204.3,892.9,1045.7,953.3,154.9,260.9,1327.4,1079.0,242.9,1020.0,167.7,1054.3,241.4,86.0,1123.5,1185.9,1130.5,504.1,1060.9,450.9,1006.9,1084.5,263.1,959.0,955.5,796.6,100.3,191.5,796.2,171.3,992.8,56.8,202.0,1090.6,906.5,21.5,977.6,325.9,2583.7,776.3,943.0,273.3,913.3,983.6
EC,1512.7,172.4,520.5,81.5,515.6,1045.9,345.1,1238.8,133.3,154.1,532.7,201.3,1088.2,356.0,1087.0,401.6,931.7,983.4,154.2,1105.8,1404.0,426.5,174.6,0.0,1456.2,1264.7,833.9,34.8,1052.7,1192.7,218.0,1106.8,1109.1,1453.5,1104.0,199.0,1115.1,1170.0,128.0,352.0,1163.3,197.9,463.8,1444.3,1025.5,1203.4,1452.5,1303.9,177.2,323.4,560.9,1455.2,994.3,170.6,1118.9,1147.5,377.5,393.3,1325.4,1135.4,806.6,1138.4,245.2,371.0,398.2,1040.8,1094.0,1185.2,1043.1,1033.9,1112.6,655.0,1028.1,230.2,1396.9,1135.1,1160.9,1496.4,1199.4,1165.1,506.4,422.8,1198.7,139.5,189.9,1285.1,1143.9,956.1,401.9,351.6,1147.5,449.5,1083.8,306.9,55.3,1143.5,975.5,1257.2,966.8,195.2,641.1,469.6,1141.9,243.8,316.2,998.7,1151.5,1059.1,125.4,223.0,1243.9,1184.8,354.8,1125.8,279.6,1160.1,92.7,83.8,1229.3,1291.7,1236.3,616.0,1166.7,562.8,1112.7,1190.3,207.2,1064.8,1061.3,902.4,98.6,134.0,902.0,156.8,1098.6,114.7,313.9,1196.4,1012.3,140.7,1083.4,270.0,2702.0,888.2,1048.8,385.2,1025.2,1089.4
EL,129.6,1363.1,1838.4,1445.0,1818.2,645.1,1404.0,212.9,1467.7,1519.5,1835.3,1566.7,480.9,1553.1,616.1,1383.4,528.0,674.6,1519.6,584.5,172.6,1642.7,1345.3,1437.1,0.0,408.4,2050.1,1459.0,581.8,585.4,1415.1,499.5,501.8,222.1,506.7,1396.1,373.5,342.3,1441.4,1448.3,377.2,1395.0,1581.5,212.9,554.6,618.2,202.7,145.9,1392.3,1520.5,1878.8,223.8,523.4,1301.4,511.6,540.2,1593.7,1715.8,469.1,528.1,1015.6,553.1,1544.0,1587.2,1614.4,569.9,486.7,577.9,572.2,563.0,505.3,1237.2,557.2,1510.9,165.5,527.8,553.6,208.9,1054.3,557.8,1809.0,1693.7,613.5,1504.9,1405.0,677.8,396.6,909.5,1618.1,1447.9,540.2,1665.7,572.5,1504.0,1420.7,663.2,1070.7,400.9,898.8,1560.6,1198.8,1685.8,556.6,1427.3,1444.0,680.1,671.2,550.5,1490.8,1558.9,387.6,667.9,1394.6,518.5,1476.7,552.8,1418.7,1395.0,222.4,684.4,629.0,1155.3,559.4,1318.9,505.4,605.7,1572.6,545.2,581.3,614.2,1409.3,1447.4,593.2,1480.3,557.3,1365.8,1441.0,644.1,541.4,1330.5,476.1,1635.4,2191.7,875.7,577.9,1481.5,880.1,568.1
EN,452.8,1139.5,1614.8,1221.4,1594.6,421.5,1180.4,178.9,1244.1,1295.9,1611.7,1343.1,257.3,1329.5,392.5,1159.8,304.4,451.0,1296.0,360.9,344.1,1419.1,1121.7,1213.5,396.3,0.0,1826.5,1235.4,358.2,361.8,1191.5,275.9,278.2,393.6,283.1,1172.5,149.9,154.6,1217.8,1224.7,153.6,1171.4,1357.9,384.4,331.0,394.6,392.6,244.0,1168.7,1296.9,1655.2,395.3,299.8,1077.8,288.0,316.6,1370.1,1492.2,84.2,304.5,723.1,329.5,1320.4,1363.6,1390.8,346.3,263.1,354.3,348.6,339.4,281.7,944.7,333.6,1287.3,337.0,304.2,330.0,436.5,761.8,334.2,1585.4,1470.1,389.9,1281.3,1181.4,454.2,173.0,617.0,1394.5,1224.3,316.6,1442.1,348.9,1280.4,1197.1,439.6,778.2,5.9,606.3,1337.0,906.3,1462.2,333.0,1203.7,1151.5,456.5,447.6,326.9,1267.2,1335.3,16.4,444.3,1171.0,294.9,1253.1,329.2,1195.1,1171.4,169.4,460.8,405.4,862.8,334.1,1026.4,281.8,382.1,1349.0,321.6,357.7,390.6,1185.7,1223.8,369.6,1256.7,333.7,1142.2,1217.4,420.5,317.8,1106.9,252.5,1411.8,2520.5,583.2,354.3,1257.9,587.6,344.5
EO,2057.4,977.6,983.1,884.1,816.4,1590.6,1049.9,1783.5,827.9,924.7,833.5,971.9,1632.9,1060.8,1631.7,1106.4,1476.4,1528.1,779.5,1650.5,1948.7,491.7,853.0,785.6,2000.9,1809.4,0.0,807.5,1597.4,1737.4,922.8,1651.5,1653.8,1998.2,1648.7,903.8,1659.8,1714.7,854.2,1056.8,1708.0,902.7,1168.6,1989.0,1570.2,1748.1,1997.2,1848.6,982.4,1028.2,1081.4,1999.9,1539.0,809.1,1663.6,1692.2,522.7,714.0,1870.1,1680.1,1511.4,1683.1,746.6,498.8,513.5,1585.5,1638.7,1729.9,1587.8,1578.6,1657.3,1359.8,1572.8,713.5,1941.6,1679.8,1705.6,2041.1,1904.2,1709.8,807.2,691.9,1743.4,910.1,995.1,1829.8,1688.6,1660.9,406.4,1056.4,1692.2,475.6,1628.5,1011.7,769.2,1688.2,1680.3,1801.9,1671.6,790.5,1345.9,684.0,1686.6,935.0,1021.0,1543.4,1696.2,1603.8,878.0,761.5,1788.6,1729.5,1059.6,1670.5,984.4,1704.8,767.2,889.0,1774.0,1836.4,1781.0,1320.8,1711.4,1267.6,1657.4,1735.0,977.8,1609.5,1606.0,1447.1,873.8,848.2,1446.7,939.4,1643.3,919.9,1018.7,1741.1,1557.0,838.2,1628.1,1040.6,3252.2,1593.0,1593.5,1090.0,1730.0,1634.1
EX,1521.6,214.3,529.4,123.4,524.5,1054.8,387.0,1247.7,142.2,163.0,541.6,210.2,1097.1,397.9,1095.9,443.5,940.6,992.3,163.1,1114.7,1412.9,435.4,216.5,41.8,1465.1,1273.6,842.8,0.0,1061.6,1201.6,259.9,1115.7,1118.0,1462.4,1112.9,240.9,1124.0,1177.0,136.9,393.9,1172.2,239.8,505.7,1453.2,1034.4,1212.3,1461.4,1312.8,219.1,365.3,569.8,1464.1,1003.2,212.5,1127.8,1156.4,386.4,402.2,1334.3,1144.3,848.5,1147.3,254.1,379.9,407.1,1049.7,1102.9,1194.1,1052.0,1042.8,1121.5,696.9,1037.0,239.1,1405.8,1144.0,1169.8,1505.3,1241.3,1174.0,515.3,431.7,1207.6,148.4,231.8,1294.0,1152.8,998.0,410.8,393.5,1156.4,458.4,1092.7,348.8,64.2,1152.4,1017.4,1266.1,1008.7,204.1,683.0,478.5,1150.8,285.7,358.1,1007.6,1160.4,1068.0,134.3,231.9,1252.8,1193.7,396.7,1134.7,321.5,1169.0,101.6,125.7,1238.2,1300.6,1245.2,657.9,1173.9,604.7,1121.6,1199.2,216.1,1073.7,1070.2,911.3,130.1,142.9,910.9,183.1,1107.5,156.6,347.0,1205.3,1021.2,182.6,1092.3,278.9,2743.9,930.1,1057.7,427.1,1067.1,1098.3
EZ,639.6,980.9,1456.2,1062.8,1436.0,262.9,1021.8,365.7,1085.5,1137.3,1453.1,1184.5,163.6,1170.9,34.2,1001.2,145.8,292.4,1137.4,139.4,530.9,1260.5,963.1,1054.9,583.1,391.6,1667.9,1076.8,0.0,304.9,1032.9,233.7,191.8,580.4,137.6,1013.9,242.0,296.9,1059.2,1066.1,290.2,1012.8,1199.3,571.2,27.1,237.0,579.4,430.8,1010.1,1138.3,1496.6,582.1,75.0,919.2,245.8,274.4,1211.5,1333.6,452.3,184.2,998.8,172.0,1161.8,1205.0,1232.2,103.5,196.7,259.2,123.8,96.6,207.1,1220.4,90.8,1128.7,523.8,178.8,255.8,623.3,1037.5,292.0,1426.8,1311.5,232.3,1122.7,1022.8,339.8,270.8,892.7,1235.9,1065.7,274.4,1283.5,147.4,1121.8,1038.5,177.1,1053.9,384.1,882.0,1178.4,1182.0,1303.6,175.5,1045.1,1131.1,297.9,185.1,92.7,1108.6,1176.7,370.8,218.4,1012.4,223.7,1094.5,280.9,1036.5,1012.8,356.2,346.4,291.0,1138.5,275.3,1329.5,208.7,223.9,1190.4,98.4,124.0,232.0,1027.1,1065.2,211.0,1098.1,132.2,983.6,1120.0,230.0,63.4,948.3,168.4,1253.2,2707.3,858.9,111.5,1099.3,863.3,123.0
FH,634.4,1112.1,1587.4,1194.0,1567.2,394.1,1153.0,360.5,1216.7,1268.5,1584.3,1315.7,175.9,1302.1,305.2,1132.4,277.0,423.6,1268.6,213.1,525.7,1391.7,1094.3,1186.1,577.9,386.4,1799.1,1208.0,289.8,0.0,1164.1,112.7,165.1,575.2,201.7,1145.1,236.8,291.7,1190.4,1197.3,285.0,1144.0,1330.5,566.0,317.0,54.4,574.2,425.6,1141.3,1269.5,1627.8,576.9,252.2,1050.4,73.7,50.2,1342.7,1464.8,447.1,201.3,993.6,175.9,1293.0,1336.2,1363.4,295.4,181.7,82.3,266.5,301.0,149.1,1215.2,301.5,1259.9,518.6,222.8,166.8,618.1,1032.3,27.5,1558.0,1442.7,59.1,1253.9,1154.0,92.3,265.6,887.5,1367.1,1196.9,50.2,1414.7,250.6,1253.0,1169.7,240.0,1048.7,378.9,876.8,1309.6,1176.8,1434.8,171.9,1176.3,1262.3,429.1,188.9,195.9,1239.8,1307.9,365.6,129.8,1143.6,131.7,1225.7,62.8,1167.7,1144.0,351.0,98.9,43.5,1133.3,69.4,1296.9,149.2,67.6,1321.6,201.6,276.2,363.2,1158.3,1196.4,342.2,1229.3,235.4,1114.8,1190.0,106.0,305.7,1079.5,171.1,1384.4,2702.1,853.7,289.1,1230.5,858.1,221.6
