from_stop,AB,AG,AH,AJ,AL,AP,AS,BJ,BR,BW,BY,CB,CE,CF,CI,CN,DB,DC,DK,DQ,DZ,EE,EG,EI,EK,EL,EM,EN,ER,FB,FC,FH,FJ,GA,GH,GI,GM,GN,GQ,GY,HA,HC,HF,HH,HO,HP,HS,IE,IH,IJ,IL,IM,IQ,IR,JB,JI,JK,JO,KF,KJ,KW,KY,LA,LB,LE,LF,LH,LL,LM,LQ,LR,LW,MA,MF,MI,MJ,ML,MN,MS,NC,ND,NH,NO,NQ,NU,NV,NZ,OD,OE,OT,OW,PD,PH,PI,PN,PP,PQ,PU,PW,QC,QE,QG,QI,QL,QM,QQ,RC,RJ,RL,RS,RX,RY,RZ,SD,SG,ST,TE,TI,UA,UF,UK,UO,UP,UU,UW,VG,VR,VU,WG,WH,WM,WS,WT,WV,XC,XG,XH,XI,XK,XO,XT,XU,YA,YE,YK,YP,YR,YU,ZA,ZE,ZF,ZH,ZT
BY,205.0,1443.1,1457.9,1300.6,187.3,108.8,1000.1,1281.7,1534.1,1025.5,0.0,102.5,74.8,1047.5,1462.8,119.2,1547.7,760.1,1324.8,1021.0,501.6,518.2,1402.9,205.4,129.0,290.5,119.1,1234.7,330.4,1423.5,545.3,1548.4,660.4,1040.3,774.4,173.4,982.2,1373.2,1097.0,1257.7,1499.5,1230.7,1141.9,1451.4,711.3,154.0,1293.9,1246.4,1026.3,63.8,1220.7,552.3,1435.8,130.1,202.0,974.4,778.4,203.3,1511.7,92.2,1468.8,1052.9,1032.8,43.3,69.6,1001.3,1347.0,269.5,235.5,1355.7,1223.9,224.1,994.8,74.4,1437.7,1343.4,701.0,761.7,595.8,520.4,1375.7,115.9,1265.7,1485.7,1279.5,2629.4,1177.3,229.5,502.3,723.9,1037.2,329.1,159.1,32.3,606.4,1013.4,768.2,757.1,627.6,1493.1,921.8,1299.0,141.8,137.9,1013.4,1053.1,917.9,453.0,237.9,55.7,589.5,1032.6,1110.9,697.5,1476.9,1419.0,339.1,234.4,1239.6,1361.4,510.3,9.2,331.5,197.1,90.9,1055.3,811.0,790.6,471.5,1463.9,163.0,1386.1,765.6,127.0,117.8,1405.3,486.9,530.4,1347.2,1454.3,62.7,168.2,552.5,1487.2,173.5,619.1,134.4,504.2,63.7,725.9,91.3,296.5,116.8
CB,257.6,1477.7,1492.5,1335.2,228.7,167.4,1034.7,1316.3,1568.7,1060.1,108.4,0.0,115.3,1082.1,1497.4,142.6,1582.3,794.7,1359.4,1055.6,536.2,552.8,1437.5,246.8,133.0,325.1,123.1,1269.3,365.0,1458.1,579.9,1583.0,695.0,1074.9,809.0,226.7,1016.8,1407.8,1131.6,1292.3,1534.1,1265.3,1176.5,1486.0,745.9,195.4,1328.5,1281.0,1060.9,117.1,1255.3,586.9,1470.4,183.4,206.0,1009.0,813.0,207.3,1546.3,92.4,1503.4,1087.5,1067.4,96.6,35.6,1035.9,1381.6,304.1,239.5,1390.3,1258.5,228.1,1029.4,133.0,1472.3,1378.0,735.6,796.3,630.4,555.0,1410.3,169.2,1300.3,1520.3,1314.1,2664.0,1211.9,270.9,536.9,758.5,1071.8,363.7,182.5,119.9,641.0,1048.0,802.8,791.7,662.2,1527.7,956.4,1333.6,145.8,120.1,1048.0,1087.7,952.5,487.6,279.3,32.6,624.1,1067.2,1145.5,732.1,1511.5,1453.6,373.7,275.8,1274.2,1396.0,544.9,99.1,366.1,201.1,73.1,1089.9,845.6,825.2,506.1,1498.5,167.0,1420.7,800.2,109.2,121.8,1439.9,521.5,565.0,1381.8,1488.9,66.7,172.2,587.1,1521.8,177.5,653.7,125.5,538.8,64.1,760.5,95.3,331.1,158.2
CE,167.1,1399.0,1413.8,1256.5,162.5,52.0,956.0,1237.6,1490.0,981.4,60.9,109.6,0.0,1003.4,1418.7,94.4,1503.6,716.0,1280.7,976.9,457.5,474.1,1358.8,180.6,136.1,246.4,126.2,1190.6,286.3,1379.4,501.2,1504.3,616.3,996.2,730.3,166.6,938.1,1329.1,1052.9,1213.6,1455.4,1186.6,1097.8,1407.3,667.2,129.2,1249.8,1202.3,982.2,77.3,1176.6,508.2,1391.7,123.3,206.7,930.3,734.3,210.4,1467.6,133.5,1424.7,1008.8,988.7,97.3,76.7,957.2,1302.9,225.4,242.6,1311.6,1179.8,231.2,950.7,17.6,1393.6,1299.3,656.9,717.6,551.7,476.3,1331.6,109.1,1221.6,1441.6,1235.4,2585.3,1133.2,204.7,458.2,679.8,993.1,285.0,134.3,51.4,562.3,969.3,724.1,713.0,583.5,1449.0,877.7,1254.9,148.9,120.1,969.3,1009.0,873.8,408.9,213.1,62.8,545.4,988.5,1066.8,653.4,1432.8,1374.9,295.0,209.6,1195.5,1317.3,466.2,51.6,287.4,204.2,114.2,1011.2,766.9,746.5,427.4,1419.8,170.1,1342.0,721.5,141.1,124.9,1361.2,442.8,486.3,1303.1,1410.2,69.8,175.3,508.4,1443.1,180.6,575.0,109.6,460.1,105.2,681.8,98.4,252.4,92.0
CF,1094.9,643.7,658.5,501.2,1181.0,1070.5,90.4,482.3,734.7,236.9,1062.7,1111.4,1018.4,0.0,663.4,1112.9,748.3,798.9,525.4,125.4,762.6,797.8,603.5,1199.1,1137.9,1174.2,1128.0,435.3,751.0,624.1,768.8,749.0,492.6,220.0,361.4,1099.2,54.8,573.8,308.4,458.3,700.1,578.7,489.9,652.0,571.3,1110.4,494.5,447.0,68.0,1095.8,568.7,757.8,636.4,1141.8,1210.9,154.1,414.0,1212.2,712.3,1135.3,669.4,232.6,244.2,1106.1,1078.5,125.7,547.6,1153.2,1244.4,556.3,388.0,1233.0,95.3,1036.1,638.3,544.0,739.8,800.5,748.7,800.0,576.3,1127.6,466.3,686.3,480.1,2096.3,525.3,1223.2,781.9,762.7,248.6,1212.8,1132.2,1069.9,598.9,214.4,367.6,339.5,755.5,693.7,241.1,499.6,1150.7,1138.6,224.8,33.8,237.2,732.6,1231.6,1064.6,530.9,14.8,275.0,500.5,677.5,619.6,1222.8,1176.1,587.6,562.0,789.9,1053.4,752.1,1206.0,1116.0,7.7,375.3,544.5,751.1,664.5,1171.9,586.7,804.4,1152.1,1126.7,605.9,571.3,658.3,547.8,654.9,1071.6,1177.1,801.9,687.8,1182.4,657.9,1128.1,783.8,1107.0,445.4,1100.2,764.2,1110.5
CI,1510.3,80.2,153.5,327.6,1596.4,1485.9,582.6,272.4,133.7,707.5,1478.1,1526.8,1433.8,662.2,0.0,1528.3,147.3,1199.5,190.3,603.5,1247.3,1213.2,268.4,1614.5,1553.3,1553.4,1543.4,261.7,1166.4,43.9,1253.5,104.8,890.3,690.6,762.9,1514.6,596.9,238.7,779.0,284.7,122.2,639.6,550.8,28.0,969.0,1525.8,257.8,293.4,615.4,1511.2,629.6,1242.5,56.2,1557.2,1626.3,624.7,763.1,1627.6,68.1,1550.7,45.4,703.2,714.8,1521.5,1493.9,583.8,212.5,1553.0,1659.8,189.8,515.3,1648.4,577.3,1451.5,160.8,208.9,1140.4,1201.1,1233.4,1215.4,209.8,1543.0,292.7,143.0,306.5,1942.0,586.2,1638.6,1197.3,1163.3,719.2,1612.6,1547.6,1485.3,999.5,685.0,769.1,723.0,1240.2,71.5,679.0,246.8,1566.1,1554.0,695.4,667.8,713.6,1148.0,1647.0,1480.0,931.5,647.3,635.4,884.0,55.3,39.4,1667.0,1591.5,648.5,226.9,1205.3,1468.8,1167.5,1621.4,1531.4,670.0,724.4,893.6,1166.5,59.4,1587.3,126.8,1205.0,1567.5,1542.1,187.6,986.7,1143.0,154.2,69.0,1487.0,1592.5,1286.6,65.6,1597.8,1058.5,1543.5,1199.2,1522.4,813.0,1515.6,1179.6,1525.9
CN,114.9,1513.2,1528.0,1370.7,103.5,116.9,1070.2,1351.8,1604.2,1095.6,137.3,181.2,114.1,1117.6,1532.9,0.0,1617.8,830.2,1394.9,1091.1,571.7,588.3,1473.0,121.6,227.8,240.4,236.4,1304.8,400.5,1493.6,615.4,1618.5,730.5,1110.4,844.5,99.2,1052.3,1443.3,1167.1,1327.8,1569.6,1300.8,1212.0,1521.5,781.4,70.2,1364.0,1316.5,1096.4,63.9,1290.8,622.4,1505.9,129.9,147.7,1044.5,848.5,206.7,1581.8,141.5,1538.9,1123.0,1102.9,83.9,151.3,1071.4,1417.1,219.4,315.0,1425.8,1294.0,192.1,1064.9,96.0,1507.8,1413.5,771.1,831.8,665.9,590.5,1445.8,115.7,1335.8,1555.8,1349.6,2699.5,1247.4,145.7,572.4,794.0,1107.3,279.0,39.9,127.5,676.5,1083.5,838.3,827.2,697.7,1563.2,991.9,1369.1,263.1,43.1,1083.5,1123.2,988.0,523.1,154.1,165.3,659.6,1102.7,1181.0,767.6,1547.0,1489.1,289.0,150.6,1309.7,1431.5,580.4,146.6,401.6,244.0,136.9,1125.4,881.1,860.7,541.6,1534.0,235.9,1456.2,835.7,64.1,239.1,1475.4,557.0,600.5,1417.3,1524.4,184.0,204.5,622.6,1557.3,176.2,689.2,32.6,574.3,113.0,796.0,212.6,366.6,33.0
DB,1633.3,129.7,96.0,450.6,1719.4,1608.9,705.6,395.4,8.1,830.5,1601.1,1649.8,1556.8,785.2,139.3,1651.3,0.0,1322.5,313.3,726.5,1370.3,1336.2,391.4,1737.5,1676.3,1676.4,1666.4,384.7,1289.4,183.3,1376.5,90.9,1013.3,813.6,885.9,1637.6,719.9,361.7,902.0,407.7,33.6,762.6,673.8,167.4,1092.0,1648.8,380.8,416.4,738.4,1634.2,752.6,1365.5,195.6,1680.2,1749.3,747.7,886.1,1750.6,71.5,1673.7,184.8,826.2,837.8,1644.5,1616.9,706.8,335.5,1676.0,1782.8,329.2,638.3,1771.4,700.3,1574.5,300.2,331.9,1263.4,1324.1,1356.4,1338.4,349.2,1666.0,415.7,54.4,429.5,2015.4,709.2,1761.6,1320.3,1286.3,842.2,1735.6,1670.6,1608.3,1122.5,808.0,892.1,846.0,1363.2,210.9,802.0,369.8,1689.1,1677.0,818.4,790.8,836.6,1271.0,1770.0,1603.0,1054.5,770.3,758.4,1007.0,194.7,178.8,1790.0,1714.5,771.5,349.9,1328.3,1591.8,1290.5,1744.4,1654.4,793.0,847.4,1016.6,1289.5,108.9,1710.3,266.2,1328.0,1690.5,1665.1,327.0,1109.7,1266.0,293.6,118.5,1610.0,1715.5,1409.6,205.0,1720.8,1181.5,1666.5,1322.2,1645.4,886.4,1638.6,1302.6,1648.9
DC,798.2,1142.7,1157.5,1000.2,884.3,773.8,725.2,981.3,1233.7,750.6,766.0,814.7,721.7,772.6,1162.4,816.2,1247.3,0.0,1024.4,746.1,353.1,401.8,1102.5,902.4,841.2,877.5,831.3,934.3,454.3,1123.1,359.3,1248.0,435.9,765.4,430.1,802.5,707.3,1072.8,822.1,957.3,1199.1,930.3,841.5,1151.0,486.8,813.7,993.5,946.0,751.4,799.1,920.3,348.3,1135.4,845.1,914.2,699.5,434.1,915.5,1211.3,838.6,1168.4,778.0,757.9,809.4,781.8,726.4,1046.6,856.5,947.7,1055.3,949.0,936.3,719.9,739.4,1137.3,1043.0,58.5,101.4,339.2,471.9,1075.3,830.9,965.3,1185.3,979.1,2404.9,876.9,926.5,453.8,158.8,762.3,916.1,835.5,773.2,189.4,738.5,423.9,472.8,346.0,1192.7,602.0,998.6,854.0,841.9,738.5,778.2,636.6,413.9,934.9,767.9,245.2,757.7,836.0,473.0,1176.5,1118.6,926.1,879.4,939.2,1061.0,461.8,756.7,455.4,909.3,819.3,780.4,466.7,446.3,421.9,1163.5,875.2,1085.7,60.9,855.4,830.0,1104.9,298.1,248.8,1046.8,1153.9,774.9,880.4,392.4,1186.8,885.7,130.4,831.4,387.8,810.3,501.4,803.5,467.5,813.8
DK,1387.4,165.7,180.5,204.7,1473.5,1366.4,459.7,155.7,256.7,584.6,1355.2,1403.9,1310.9,539.3,185.4,1405.4,270.3,1076.6,0.0,487.9,1126.4,1090.3,100.3,1496.7,1430.4,1435.6,1420.3,138.8,1043.5,146.1,1130.6,271.0,767.4,572.8,640.0,1391.7,474.0,75.7,656.1,159.8,219.6,516.7,433.0,174.0,834.1,1402.9,146.5,170.5,482.9,1388.3,506.7,1119.6,158.4,1434.3,1508.5,506.9,640.2,1504.7,244.2,1427.2,191.4,580.3,597.0,1398.6,1371.0,466.0,22.1,1430.1,1536.9,83.4,392.4,1525.5,454.4,1328.6,160.3,37.1,1017.5,1083.3,1110.5,1092.5,98.3,1420.1,169.8,208.3,188.7,1928.6,463.3,1520.8,1074.4,1040.4,601.4,1489.7,1424.7,1362.4,876.6,562.1,646.2,600.1,1117.3,214.8,556.1,140.6,1443.2,1436.2,579.3,544.9,590.7,1025.1,1529.2,1357.1,808.6,529.5,512.5,761.1,199.5,141.6,1544.1,1468.6,525.6,36.5,1082.4,1345.9,1044.6,1498.5,1408.5,547.1,601.5,770.7,1043.6,186.5,1464.4,113.8,1082.1,1441.1,1419.2,127.9,863.8,1020.1,69.8,176.9,1364.1,1470.7,1163.7,209.8,1474.9,935.6,1425.7,1076.3,1404.6,793.1,1392.7,1056.7,1408.1
DQ,1070.2,586.8,601.6,444.3,1156.3,1049.2,43.6,429.8,677.8,212.2,1038.0,1086.7,993.7,144.5,606.5,1088.2,691.4,774.2,473.6,0.0,739.9,773.1,546.6,1180.9,1113.2,1156.0,1109.6,384.9,726.3,567.2,744.1,692.1,467.9,201.8,336.7,1074.5,101.6,523.4,290.2,399.4,640.7,521.8,433.0,595.1,534.6,1085.7,437.6,390.1,66.8,1071.1,511.8,733.1,579.5,1117.1,1192.7,129.4,395.8,1187.5,665.3,1104.9,612.5,207.9,226.0,1081.4,1053.8,33.3,490.7,1128.5,1219.7,505.9,331.1,1208.3,38.3,1011.4,587.9,483.4,715.1,782.3,724.0,775.3,525.9,1102.9,409.4,629.4,429.7,2039.4,468.4,1205.0,763.7,738.0,230.4,1188.1,1107.5,1045.2,574.2,189.7,342.9,314.8,730.8,635.9,216.4,449.2,1126.0,1120.4,206.9,156.6,212.5,707.9,1213.4,1034.8,506.2,136.1,218.1,475.8,620.6,562.7,1198.1,1151.4,530.7,505.1,765.2,1035.2,727.4,1181.3,1091.3,152.3,350.6,519.8,726.4,607.6,1153.7,536.3,779.7,1123.9,1102.0,549.0,546.6,633.6,490.9,598.0,1046.9,1153.5,777.2,630.9,1157.7,633.2,1109.9,759.1,1088.8,427.2,1082.0,739.5,1092.3
DZ,563.8,1165.0,1179.8,1022.5,649.9,542.8,722.0,1008.0,1256.0,747.4,531.6,580.3,487.3,769.4,1184.7,581.8,1269.6,369.2,1051.8,750.2,0.0,48.6,1124.8,666.0,606.8,641.1,594.7,956.6,219.9,1145.4,43.6,1270.3,382.3,762.2,496.3,566.1,704.1,1097.1,818.9,979.6,1218.9,952.6,865.8,1173.3,421.2,579.3,1015.8,968.3,745.2,564.7,942.6,50.6,1157.7,610.7,677.8,696.3,500.3,681.1,1243.5,598.5,1190.7,774.8,754.7,575.0,547.4,723.2,1068.9,622.1,713.3,1077.6,945.8,699.9,716.7,505.0,1161.6,1067.3,310.1,370.8,94.1,144.7,1097.6,596.5,987.6,1207.6,1001.4,2351.3,899.2,690.1,124.6,333.0,761.1,681.7,601.1,538.8,273.3,735.3,490.1,479.0,134.9,1214.1,643.7,1020.9,619.6,605.5,742.1,777.0,639.8,60.7,698.5,528.4,311.4,754.5,832.8,419.4,1198.8,1140.9,691.7,645.0,961.5,1083.3,134.6,520.3,221.0,674.9,584.9,777.2,532.9,512.5,95.8,1185.8,640.8,1108.0,374.7,617.5,595.6,1127.2,208.8,128.0,1069.1,1176.2,540.5,647.1,76.7,1209.1,651.3,228.2,595.0,34.6,573.9,449.8,569.1,233.1,577.4
EE,560.9,1168.7,1183.5,1026.2,647.0,536.5,725.7,1007.3,1259.7,751.1,528.7,577.4,484.4,773.1,1188.4,578.9,1273.3,418.4,1050.4,746.6,49.1,0.0,1128.5,665.1,603.9,640.2,594.0,960.3,217.0,1149.1,92.8,1274.0,386.0,765.9,500.0,565.2,707.8,1098.8,822.6,983.3,1225.1,956.3,867.5,1177.0,436.9,576.4,1019.5,972.0,751.9,561.8,946.3,99.8,1161.4,607.8,676.9,700.0,504.0,678.2,1237.3,601.3,1194.4,778.5,758.4,572.1,544.5,726.9,1072.6,619.2,710.4,1081.3,949.5,699.0,720.4,502.1,1163.3,1069.0,359.3,420.0,143.3,141.8,1101.3,593.6,991.3,1211.3,1005.1,2355.0,902.9,689.2,123.7,382.2,762.8,678.8,598.2,535.9,322.5,739.0,493.8,482.7,184.1,1218.7,647.4,1024.6,616.7,604.6,739.0,778.7,643.5,57.8,697.6,530.6,315.1,758.2,836.5,423.1,1202.5,1144.6,688.8,642.1,965.2,1087.0,131.7,519.4,218.1,672.0,582.0,780.9,536.6,516.2,92.9,1189.5,637.9,1111.7,423.9,618.1,592.7,1130.9,212.5,177.2,1072.8,1179.9,537.6,643.1,125.9,1212.8,648.4,277.4,594.1,9.8,573.0,451.5,566.2,230.2,576.5
EG,1452.8,237.8,252.6,270.1,1538.9,1428.4,525.1,141.0,328.8,650.0,1420.6,1469.3,1376.3,604.7,257.5,1470.8,342.4,1142.0,74.3,546.0,1189.8,1155.7,0.0,1557.0,1495.8,1495.9,1485.9,204.2,1108.9,218.2,1196.0,343.1,832.8,633.1,705.4,1457.1,539.4,20.6,721.5,227.2,294.2,582.1,493.3,246.1,911.5,1468.3,126.4,183.0,557.9,1453.7,572.1,1185.0,230.5,1499.7,1568.8,567.2,705.6,1570.1,306.4,1493.2,263.5,645.7,657.3,1464.0,1436.4,526.3,96.5,1495.5,1602.3,150.4,457.8,1590.9,519.8,1394.0,232.4,43.4,1082.9,1143.6,1175.9,1157.9,170.4,1485.5,235.2,280.4,249.0,2000.7,528.7,1581.1,1139.8,1105.8,661.7,1555.1,1490.1,1427.8,942.0,627.5,711.6,665.5,1182.7,287.8,621.5,115.4,1508.6,1496.5,637.9,610.3,656.1,1090.5,1589.5,1422.5,874.0,589.8,577.9,826.5,271.6,213.7,1609.5,1534.0,591.0,110.9,1147.8,1411.3,1110.0,1563.9,1473.9,612.5,666.9,836.1,1109.0,258.6,1529.8,180.8,1147.5,1510.0,1484.6,200.0,929.2,1085.5,141.9,249.0,1429.5,1535.0,1229.1,281.9,1540.3,1001.0,1486.0,1141.7,1464.9,858.5,1458.1,1122.1,1468.4
EI,196.5,1586.1,1600.9,1443.6,32.2,193.2,1143.1,1424.7,1677.1,1168.5,210.2,254.1,187.0,1190.5,1605.8,128.3,1690.7,903.1,1472.9,1171.3,642.6,661.2,1545.9,0.0,188.2,322.0,196.9,1377.7,473.4,1566.5,688.3,1691.4,803.4,1183.3,917.4,180.8,1125.2,1516.2,1240.0,1400.7,1640.0,1373.7,1284.9,1594.4,842.3,122.1,1436.9,1389.4,1166.3,136.8,1363.7,695.3,1578.8,202.8,108.1,1117.4,921.4,167.1,1664.6,208.7,1611.8,1195.9,1175.8,156.8,224.2,1144.3,1490.0,301.0,275.4,1498.7,1366.9,152.5,1137.8,168.9,1580.7,1488.4,844.0,904.7,738.8,663.4,1518.7,188.6,1408.7,1628.7,1422.5,2772.4,1320.3,24.0,645.3,866.9,1180.2,360.6,163.8,200.4,749.4,1156.4,911.2,900.1,770.6,1635.2,1064.8,1442.0,228.6,134.0,1163.2,1196.1,1060.9,596.0,32.4,243.3,732.5,1175.6,1253.9,840.5,1619.9,1562.0,370.6,202.5,1382.6,1504.4,653.3,219.5,474.5,204.4,213.1,1198.3,954.0,933.6,614.5,1606.9,196.3,1529.1,908.6,161.7,242.2,1548.3,629.9,673.4,1490.2,1597.3,256.9,164.9,695.5,1630.2,136.6,762.1,123.5,647.2,185.9,868.9,220.8,439.5,93.2
EK,259.3,1513.0,1527.8,1370.5,169.2,202.7,1070.0,1351.6,1604.0,1095.4,143.7,161.8,150.6,1117.4,1532.7,191.1,1617.6,830.0,1394.7,1090.9,571.5,588.1,1472.8,173.7,0.0,360.4,8.5,1304.6,400.3,1493.4,615.2,1618.3,730.3,1110.2,844.3,243.6,1052.1,1443.1,1166.9,1327.6,1569.4,1300.6,1211.8,1521.3,781.2,184.9,1363.8,1316.3,1096.2,199.6,1290.6,622.2,1505.7,265.6,72.9,1044.3,848.3,74.2,1581.6,185.7,1538.7,1122.8,1102.7,187.1,128.9,1071.2,1416.9,339.4,149.6,1425.6,1293.8,95.0,1064.7,168.3,1507.6,1413.3,770.9,831.6,665.7,590.3,1445.6,251.4,1335.6,1555.6,1349.4,2699.3,1247.2,200.1,572.2,793.8,1107.1,399.0,226.6,155.2,676.3,1083.3,838.1,827.0,697.5,1563.0,991.7,1368.9,77.9,196.8,1083.3,1123.0,987.8,522.9,148.6,115.0,659.4,1102.5,1180.8,767.4,1546.8,1488.9,409.0,265.3,1309.5,1431.3,580.2,134.4,401.4,78.6,166.4,1125.2,880.9,860.5,541.4,1533.8,70.5,1456.0,835.5,202.5,53.9,1475.2,556.8,600.3,1417.1,1524.2,70.9,39.1,622.4,1557.1,44.4,689.0,186.3,574.1,157.4,795.8,32.6,366.4,156.0
EL,180.8,1333.6,1348.4,1191.1,276.3,296.2,1126.1,1176.6,1424.6,1151.5,285.0,333.7,240.7,1173.5,1353.3,269.2,1438.2,886.1,1220.4,1154.3,625.6,644.2,1293.4,294.4,360.2,0.0,350.1,1125.2,456.4,1314.0,671.3,1438.9,786.4,1166.3,900.4,185.1,1108.2,1263.7,1223.0,1146.2,1387.5,1244.8,1156.0,1341.9,825.3,196.3,1184.4,1136.9,1149.3,277.7,1234.8,678.3,1326.3,235.9,320.5,1100.4,904.4,379.5,1402.2,349.6,1359.3,1178.9,1158.8,297.7,300.8,1127.3,1237.5,77.0,466.7,1246.2,1180.0,364.9,1120.8,258.4,1328.2,1233.9,827.0,887.7,721.8,646.4,1266.2,247.2,1156.2,1376.2,1170.0,2696.9,1191.4,318.5,628.3,849.9,1163.2,136.6,218.1,292.2,732.4,1139.4,894.2,883.1,753.6,1382.7,1047.8,1189.5,373.0,274.9,1146.2,1179.1,1043.9,579.0,326.9,281.8,715.5,1158.6,1236.9,823.5,1367.4,1309.5,191.0,262.0,1253.7,1251.9,636.3,275.7,457.5,416.8,338.3,1181.3,937.0,916.6,597.5,1354.4,394.2,1276.6,891.6,302.6,349.0,1295.8,612.9,656.4,1237.7,1344.8,293.9,377.3,678.5,1377.7,349.0,745.1,264.4,630.2,326.8,851.9,322.5,422.5,234.1
EM,269.4,1504.3,1519.1,1361.8,179.3,197.4,1061.3,1347.3,1595.3,1086.7,135.0,153.1,141.9,1108.7,1524.0,201.2,1608.9,821.3,1391.1,1089.5,560.8,579.4,1464.1,183.8,10.0,351.7,0.0,1295.9,391.6,1484.7,606.5,1609.6,721.6,1101.5,835.6,253.7,1043.4,1434.4,1158.2,1316.9,1560.7,1291.9,1203.1,1512.6,760.5,195.0,1355.1,1307.6,1084.5,198.9,1281.9,613.5,1497.0,265.2,83.0,1035.6,839.6,84.3,1582.8,171.3,1530.0,1114.1,1094.0,178.4,120.2,1062.5,1408.2,330.7,159.7,1416.9,1285.1,105.1,1056.0,159.6,1498.9,1400.9,762.2,822.9,657.0,581.6,1436.9,251.0,1326.9,1546.9,1340.7,2690.6,1238.5,210.2,563.5,785.1,1098.4,390.3,236.7,146.5,667.6,1074.6,829.4,818.3,688.8,1554.3,983.0,1360.2,69.2,204.7,1074.6,1114.3,979.1,514.2,158.7,101.2,650.7,1093.8,1172.1,758.7,1538.1,1480.2,400.3,275.4,1300.8,1422.6,571.5,125.7,392.7,88.7,157.7,1116.5,872.2,851.8,532.7,1525.1,80.6,1447.3,826.8,193.8,45.2,1466.5,548.1,591.6,1408.4,1515.5,62.2,50.3,613.7,1548.4,54.5,680.3,196.4,565.4,148.7,787.1,23.9,357.7,166.1
EN,1276.4,256.2,271.0,50.7,1362.5,1252.0,348.7,81.2,347.2,473.6,1244.2,1292.9,1199.9,428.3,275.9,1294.4,360.8,965.6,137.9,376.9,1013.4,979.3,228.3,1380.6,1319.4,1319.5,1309.3,0.0,932.5,236.6,1019.6,361.5,656.4,456.7,529.0,1280.7,363.0,198.6,545.1,5.8,312.6,405.7,316.9,264.5,723.1,1291.9,89.0,41.5,371.9,1277.3,395.7,1008.6,248.9,1323.3,1392.4,390.8,529.2,1393.7,324.8,1311.1,281.9,469.3,480.9,1287.6,1260.0,349.9,160.1,1319.1,1425.9,168.8,281.4,1414.5,343.4,1217.6,250.8,152.8,906.5,967.2,999.5,981.5,188.8,1309.1,15.8,298.8,29.6,1923.3,352.3,1404.7,963.4,929.4,485.3,1378.7,1313.7,1251.4,765.6,451.1,535.2,489.1,1006.3,305.3,445.1,98.1,1332.2,1320.1,468.3,433.9,479.7,914.1,1413.1,1241.0,697.6,413.4,401.5,650.1,290.0,232.1,1433.1,1357.6,414.6,174.5,971.4,1234.9,933.6,1387.5,1297.5,436.1,490.5,659.7,932.6,277.0,1353.4,199.2,971.1,1330.1,1308.2,218.4,752.8,909.1,160.3,267.4,1253.1,1358.6,1052.7,300.3,1363.9,824.6,1309.6,965.3,1288.5,682.1,1281.7,945.7,1292.0
ER,354.7,1143.5,1158.3,1001.0,440.8,330.3,700.5,982.1,1234.5,725.9,322.5,371.2,278.2,747.9,1163.2,372.7,1248.1,460.5,1025.2,721.4,202.0,218.6,1103.3,458.9,397.7,434.0,387.8,935.1,0.0,1123.9,245.7,1248.8,360.8,740.7,474.8,359.0,682.6,1073.6,797.4,958.1,1199.9,931.1,842.3,1151.8,411.7,370.2,994.3,946.8,726.7,355.6,921.1,252.7,1136.2,401.6,470.7,674.8,478.8,472.0,1212.1,395.1,1169.2,753.3,733.2,365.9,338.3,701.7,1047.4,413.0,504.2,1056.1,924.3,492.8,695.2,295.9,1138.1,1043.8,401.4,462.1,296.2,220.8,1076.1,387.4,966.1,1186.1,979.9,2329.8,877.7,483.0,202.7,424.3,737.6,472.6,392.0,329.7,306.8,713.8,468.6,457.5,328.0,1193.5,622.2,999.4,410.5,398.4,713.8,753.5,618.3,153.4,491.4,324.4,289.9,733.0,811.3,397.9,1177.3,1119.4,482.6,435.9,940.0,1061.8,210.7,313.2,1.0,465.8,375.8,755.7,511.4,491.0,171.9,1164.3,431.7,1086.5,466.0,411.9,386.5,1105.7,187.3,230.8,1047.6,1154.7,331.4,436.9,252.9,1187.6,442.2,319.5,387.9,204.6,366.8,426.3,360.0,24.0,370.3
FB,1501.0,134.2,172.1,318.3,1587.1,1476.6,573.3,263.1,187.7,698.2,1468.8,1517.5,1424.5,652.9,53.9,1519.0,201.3,1190.2,181.0,594.2,1238.0,1203.9,259.1,1605.2,1544.0,1544.1,1534.1,252.4,1157.1,0.0,1244.2,158.8,881.0,681.3,753.6,1505.3,587.6,229.4,769.7,275.4,176.2,630.3,541.5,42.5,959.7,1516.5,248.5,284.1,606.1,1501.9,620.3,1233.2,12.2,1547.9,1617.0,615.4,753.8,1618.3,122.1,1541.4,59.9,693.9,705.5,1512.2,1484.6,574.5,203.2,1543.7,1650.5,145.8,506.0,1639.1,568.0,1442.2,116.8,199.6,1131.1,1191.8,1224.1,1206.1,165.8,1533.7,283.4,197.0,297.2,1932.7,576.9,1629.3,1188.0,1154.0,709.9,1603.3,1538.3,1476.0,990.2,675.7,759.8,713.7,1230.9,84.2,669.7,237.5,1556.8,1544.7,686.1,658.5,704.3,1138.7,1637.7,1470.7,922.2,638.0,626.1,874.7,68.0,4.5,1657.7,1582.2,639.2,217.6,1196.0,1459.5,1158.2,1612.1,1522.1,660.7,715.1,884.3,1157.2,113.4,1578.0,82.8,1195.7,1558.2,1532.8,143.6,977.4,1133.7,110.2,123.0,1477.7,1583.2,1277.3,78.3,1588.5,1049.2,1534.2,1189.9,1513.1,803.7,1506.3,1170.3,1516.6
