from_stop,AA,AE,AN,AY,BG,BH,BK,BM,BN,BP,BS,BT,CE,CG,CI,CM,CT,CU,DA,DD,DG,DJ,DQ,DS,DT,EA,EC,ED,EE,EF,EH,EI,EP,EQ,ES,EW,EX,EZ,FB,FL,FM,FP,FT,GA,GB,GE,GF,GI,GK,GL,GO,GR,GT,GU,GY,HA,HH,HK,HM,HN,HO,HV,IB,IE,IF,II,IV,IX,JA,JB,JK,JL,JM,JN,JQ,JS,JZ,KG,KH,KI,KN,KP,KR,KS,KW,LD,LE,LF,LG,LL,LT,LX,LY,LZ,MB,MD,MG,MJ,MO,MS,MT,MW,MZ,NE,NG,NI,NJ,NR,NU,NW,NZ,OH,OL,OP,OX,OY,PC,PD,PF,PH,PI,PJ,PK,PL,PM,PO,PP,PR,QB,QG,QH,QI,QN,QQ,QT,QX,RI,RK,RM,RS,RX,SC,SE,SH,SM,SQ,SV,SW,SX,SZ,TE,TL,TW,TX,UC,UN,UO,UZ,VE,VL,VP,VZ,WA,WH,WI,WJ,WS,WV,XC,XG,XJ,XK,XO,XP,XU,YD,YE,YG,YI,YJ,YK,YM,YT,YV,YZ,ZA,ZB,ZH,ZI,ZN,ZV
GL,412.2,382.2,240.4,309.6,172.4,151.8,202.5,249.1,93.3,215.4,212.8,202.6,124.1,162.9,208.0,361.2,173.7,200.3,296.0,354.4,128.6,167.9,516.1,274.4,138.7,228.3,272.6,151.6,404.7,333.2,157.7,227.7,113.5,214.3,275.0,357.1,277.0,216.7,362.0,175.3,92.2,273.4,265.0,95.0,161.5,466.3,282.4,249.5,251.3,0.0,380.3,365.1,27.6,83.7,349.2,184.8,295.8,252.4,286.9,300.5,293.5,226.2,186.6,104.3,119.3,168.1,148.4,1250.4,307.6,231.3,8.0,417.7,217.8,158.1,169.2,228.7,447.8,172.6,312.6,204.6,149.6,230.2,437.5,207.5,154.8,401.6,234.1,227.5,294.9,277.3,107.0,152.5,151.1,187.2,167.0,443.9,206.9,238.8,179.7,217.8,161.6,280.9,199.0,160.8,141.0,303.5,113.4,92.9,77.3,118.2,270.1,422.7,261.8,162.6,85.0,472.5,174.3,449.2,193.9,391.0,225.9,219.1,119.1,151.4,180.8,141.8,256.8,210.4,364.9,129.1,96.5,203.2,254.0,179.3,198.2,211.2,400.2,107.8,230.2,217.1,135.3,487.2,308.0,366.9,376.7,128.1,195.9,61.0,168.8,201.6,223.6,264.7,296.9,256.6,393.7,46.8,509.7,395.3,222.8,181.7,166.7,182.7,89.7,175.0,331.0,70.5,337.1,240.9,331.9,137.4,251.7,299.9,191.8,193.5,271.1,270.5,343.9,313.7,189.5,127.4,94.7,249.6,160.9,465.5,214.3,193.1,265.4,249.3,462.0,187.0,221.7
GO,72.2,173.9,258.4,74.6,424.3,460.8,243.5,290.1,288.5,358.2,197.1,219.6,303.5,414.8,186.9,29.0,419.3,509.3,247.1,35.8,253.2,476.9,158.4,537.9,244.3,537.3,298.3,434.2,173.8,143.6,409.6,168.1,319.1,177.3,167.7,82.0,302.9,193.3,117.3,202.3,316.5,115.5,381.9,404.0,437.3,108.6,323.4,162.6,269.0,382.3,0.0,144.8,410.0,338.3,135.2,493.8,265.7,167.0,126.3,173.5,252.2,483.5,348.2,301.2,428.3,468.7,237.7,992.1,92.1,494.8,374.3,203.2,204.4,418.3,234.6,474.3,170.2,352.0,92.6,450.2,411.8,157.7,224.0,253.3,415.0,122.5,479.7,536.5,117.6,283.9,416.0,404.4,408.4,351.8,476.0,86.2,315.2,547.8,213.6,304.3,255.5,126.5,508.0,469.8,403.2,118.6,363.6,321.6,370.8,263.6,262.5,176.5,550.5,247.4,353.8,208.6,431.6,170.1,217.2,182.7,266.9,455.9,381.3,352.0,446.3,270.3,163.1,275.8,57.1,281.5,339.3,376.7,295.0,262.7,208.3,520.2,84.2,274.0,370.0,197.3,337.3,140.8,70.4,158.6,46.4,437.1,459.4,354.9,263.3,470.0,186.4,308.3,145.8,346.9,36.0,413.4,152.0,89.1,350.3,441.9,306.5,199.6,319.0,242.1,43.2,355.1,147.3,147.6,89.8,286.1,319.6,243.1,241.0,276.9,229.8,259.8,85.6,91.5,498.5,313.8,353.4,177.1,418.2,114.3,251.2,502.1,145.8,512.8,104.3,228.7,351.4
GR,62.5,67.9,382.7,163.2,389.9,417.9,209.1,255.7,284.7,323.8,322.9,345.4,260.6,380.4,254.2,119.5,384.9,466.4,204.2,126.3,320.0,434.0,200.6,503.5,330.1,494.4,422.6,417.7,90.4,165.9,375.2,273.9,365.9,301.6,203.6,67.1,263.6,150.4,41.3,224.6,273.6,137.8,467.1,361.1,394.4,134.5,289.0,255.3,393.3,365.9,133.1,0.0,393.6,297.5,29.2,450.9,240.8,210.8,181.1,70.7,263.5,498.6,313.8,273.0,385.4,434.2,242.8,1070.3,132.4,460.4,357.9,103.4,328.7,375.4,358.9,439.9,99.6,309.1,100.8,415.8,368.9,246.3,123.2,293.7,372.1,51.9,445.3,493.6,189.1,253.8,373.1,370.0,456.1,317.4,433.1,128.4,280.8,504.9,337.9,269.9,293.5,252.3,465.1,426.9,360.3,166.2,320.7,337.4,327.9,309.6,223.2,105.9,516.1,204.5,366.8,138.0,452.2,99.5,329.8,76.7,232.5,497.0,338.4,309.1,411.9,289.6,185.4,400.1,91.2,238.6,382.6,339.7,260.6,370.7,308.5,477.3,50.5,299.2,494.3,187.1,294.4,139.0,196.2,52.6,103.0,394.2,425.0,342.8,387.6,435.6,143.5,273.9,225.5,312.5,131.2,370.5,194.2,45.6,315.9,399.0,430.8,228.9,276.1,280.1,163.1,403.4,41.3,169.9,81.5,410.4,285.2,200.2,306.0,384.9,241.1,220.5,85.2,217.3,455.6,438.1,310.5,295.8,465.9,115.8,375.5,459.2,271.2,478.4,158.0,352.1,317.0
GT,426.6,396.6,268.1,337.3,182.2,124.1,216.9,263.5,121.0,243.1,240.5,230.3,151.8,148.6,235.7,388.9,201.4,172.6,310.4,382.1,156.3,140.2,543.8,246.7,166.4,200.6,300.3,123.9,419.1,360.9,153.8,255.4,141.2,242.0,302.7,384.8,291.4,231.1,376.4,203.0,106.6,301.1,292.7,67.3,133.8,494.0,296.8,277.2,279.0,27.6,408.0,379.5,0.0,111.4,363.6,157.1,310.2,280.1,314.6,314.9,307.9,204.8,214.3,132.0,91.6,140.4,176.1,1278.1,322.0,203.6,35.6,432.1,245.5,130.4,196.9,207.9,462.2,200.3,340.3,183.6,143.9,257.9,451.9,235.2,127.1,416.0,217.3,199.8,322.6,291.7,79.3,159.0,178.8,229.7,139.3,471.6,249.4,211.1,207.4,260.3,189.3,308.6,171.3,133.1,168.7,331.2,141.1,120.6,49.6,145.9,284.5,437.1,234.1,177.0,112.7,486.9,158.4,463.6,221.6,405.4,240.3,203.2,146.8,178.4,153.1,169.5,284.5,238.1,392.6,143.5,124.2,230.9,268.4,207.0,225.9,183.5,414.6,135.5,257.9,231.5,162.3,501.6,335.7,381.3,404.4,100.4,168.2,88.7,196.5,173.9,238.0,281.7,324.6,284.3,421.4,19.1,537.4,409.7,250.5,154.0,194.4,210.4,104.1,202.7,358.7,98.2,351.5,268.6,359.6,165.1,279.4,314.3,219.5,221.2,285.5,284.9,358.3,341.4,161.8,155.1,67.0,277.3,188.6,479.9,242.0,165.4,293.1,221.6,489.7,214.7,249.4
GU,333.8,303.8,205.3,260.0,144.0,174.2,124.1,170.7,58.2,138.7,177.7,167.5,75.7,134.5,158.4,311.6,144.4,222.7,217.6,304.8,93.5,190.3,466.5,257.6,103.6,250.7,237.5,174.0,326.3,283.6,129.3,178.1,98.3,179.2,225.4,307.5,198.6,138.3,283.6,125.7,29.9,223.8,249.2,117.4,150.7,405.8,204.0,199.9,216.2,72.6,330.7,286.7,100.3,0.0,270.8,207.2,217.4,202.8,237.3,222.1,215.1,254.9,125.0,54.9,141.7,188.4,113.3,1215.3,229.2,214.5,64.6,339.3,182.7,131.7,134.1,199.4,369.4,111.0,263.0,175.3,118.0,180.6,359.1,172.4,128.4,323.2,204.8,249.9,245.3,198.9,129.4,124.1,186.6,118.9,189.4,394.3,138.6,261.2,144.6,149.5,126.5,231.3,221.4,183.2,116.6,253.9,59.0,39.8,84.2,83.1,191.7,344.3,270.2,84.2,69.2,394.1,208.5,370.8,158.8,312.6,147.5,253.3,81.0,67.6,166.0,106.7,207.2,175.3,315.3,50.7,113.1,141.6,175.6,144.2,163.1,233.6,321.8,72.7,214.4,138.7,51.5,408.8,277.6,288.5,327.1,150.5,179.1,45.2,153.0,195.1,145.2,188.0,247.3,179.9,344.1,119.5,460.1,316.9,146.1,155.3,150.9,133.1,32.4,139.9,281.4,110.1,258.7,191.3,282.3,121.6,175.0,221.5,156.7,158.4,192.7,192.1,265.5,264.1,211.9,162.9,66.8,200.0,196.4,387.1,179.2,215.5,215.8,232.5,412.4,151.9,145.0
GY,62.9,38.6,383.1,182.5,394.0,422.0,213.2,259.8,288.8,327.9,330.7,347.1,264.7,384.5,267.5,119.9,389.0,470.5,208.3,126.7,324.1,438.1,201.0,507.6,334.2,498.5,423.0,421.8,61.1,185.2,379.3,287.2,370.0,302.0,222.9,86.4,267.7,154.5,60.6,234.8,277.7,157.1,467.5,365.2,398.5,134.9,293.1,274.6,393.7,370.0,133.5,19.2,397.7,301.6,0.0,455.0,231.6,230.1,200.4,68.6,267.6,502.7,317.9,277.1,389.5,438.3,246.9,1070.7,151.7,464.5,362.0,74.1,329.1,379.5,359.3,444.0,100.0,313.2,120.1,419.9,373.0,265.6,93.9,307.0,376.2,52.3,449.4,497.7,208.4,249.8,377.2,374.1,460.2,321.5,437.2,128.8,284.9,509.0,338.3,274.0,306.8,260.1,469.2,431.0,364.4,185.5,324.8,341.5,332.0,313.7,227.3,79.1,520.2,208.6,370.9,128.9,456.3,99.9,343.1,47.4,236.6,501.1,342.5,313.2,416.0,293.7,204.7,400.5,110.5,242.7,386.7,343.8,264.7,374.8,321.8,481.4,50.9,303.3,494.7,191.2,298.5,139.4,204.0,23.3,122.0,398.3,429.1,346.9,388.0,439.7,147.6,278.0,244.8,316.6,131.6,374.6,194.6,46.0,320.0,403.1,431.2,242.2,280.2,293.4,176.8,407.5,12.0,189.2,100.8,410.8,289.3,204.3,319.3,389.0,245.2,224.6,104.5,225.1,459.7,438.5,314.6,301.8,470.0,116.2,375.9,463.3,279.4,482.5,158.4,353.4,321.1
HA,500.8,470.8,380.7,427.0,177.4,82.8,291.1,337.7,233.6,237.4,353.1,342.9,229.5,143.8,325.4,478.6,177.4,70.2,384.6,471.8,268.9,90.9,633.5,168.0,279.0,43.4,412.9,131.1,493.3,450.6,149.0,345.1,297.7,354.6,392.4,474.5,327.6,305.3,450.6,292.7,180.8,390.8,311.0,117.7,132.7,572.8,311.1,366.9,391.6,188.6,497.7,453.7,160.9,200.8,437.8,0.0,341.2,369.8,404.3,389.1,382.1,145.0,280.9,221.9,68.4,99.1,304.8,1309.8,396.2,162.3,196.6,506.3,358.1,151.7,309.5,166.6,536.4,255.9,430.0,142.3,191.7,347.6,526.1,350.3,152.0,490.2,176.0,68.6,412.3,322.7,113.2,154.2,212.3,292.7,61.1,561.3,312.4,53.9,320.0,323.3,304.4,398.3,86.1,67.3,195.4,420.9,220.0,240.7,123.8,258.5,358.7,511.3,89.1,251.2,254.0,561.1,134.1,537.8,334.2,479.6,314.5,168.8,208.9,241.4,111.8,284.6,374.2,350.7,482.3,217.7,285.2,250.5,317.4,319.6,338.5,26.3,488.8,248.1,396.4,305.7,236.5,575.8,444.6,455.5,494.1,107.6,126.9,230.0,337.8,132.6,312.2,286.7,414.3,278.6,511.1,130.9,627.1,483.9,244.8,132.8,335.7,300.1,178.3,317.8,448.4,259.2,425.7,358.3,449.3,306.4,273.7,388.5,332.1,333.8,359.7,345.8,432.5,431.1,37.1,316.1,141.2,367.0,222.1,554.1,354.6,8.2,382.8,165.5,579.4,327.3,243.7
HH,297.2,257.6,316.0,220.5,213.5,267.0,99.3,117.1,213.3,97.9,242.9,268.8,189.2,230.2,174.0,259.4,168.2,312.8,76.3,251.4,249.6,289.6,414.3,289.4,258.7,374.4,353.1,337.1,285.4,241.2,225.0,193.7,294.5,244.1,202.7,264.9,43.6,115.9,240.0,143.5,202.2,181.4,414.3,289.7,323.0,359.6,138.8,215.5,317.8,294.5,273.7,243.1,322.2,226.1,224.6,339.9,0.0,184.5,176.9,178.5,182.6,427.2,163.6,192.4,304.8,251.2,153.4,1184.2,172.6,262.0,286.5,293.1,271.2,304.0,301.4,223.2,323.2,141.8,210.8,199.1,251.5,196.2,312.9,213.5,261.7,277.0,228.6,349.2,186.4,18.1,301.7,219.8,384.7,158.7,288.7,346.5,130.6,375.3,280.4,119.7,213.3,239.5,308.1,282.5,178.7,211.5,237.3,266.0,255.2,238.2,69.5,298.1,354.8,132.1,294.6,344.6,380.8,324.6,234.0,266.4,79.2,425.6,228.1,195.6,261.7,218.2,184.5,342.6,272.7,167.2,311.2,125.6,62.3,301.8,228.3,366.3,275.6,227.8,436.8,101.3,214.6,362.6,253.5,242.3,274.9,321.7,259.9,261.4,330.1,218.9,109.0,57.2,224.6,95.8,299.0,299.1,407.9,270.7,102.7,285.2,371.2,148.7,195.5,199.9,220.4,332.2,212.5,168.6,230.1,347.0,68.5,72.3,216.6,315.9,157.0,39.0,217.1,241.2,344.6,361.0,229.9,220.8,396.9,340.9,308.8,348.2,231.4,277.5,360.2,280.7,100.3
HK,219.8,267.7,240.7,101.6,298.1,344.1,117.3,163.9,208.1,232.0,154.1,176.6,186.8,288.6,89.5,151.1,293.1,392.6,166.6,144.3,210.2,360.2,306.0,411.7,226.6,420.6,268.6,343.9,290.2,123.1,283.4,109.2,252.6,159.6,64.9,147.0,181.1,102.2,182.3,76.1,199.8,63.3,346.2,287.3,320.6,256.2,197.2,71.5,233.3,256.1,170.2,216.9,283.8,212.1,234.7,377.1,171.3,0.0,76.8,186.0,130.4,424.8,222.0,188.0,311.6,342.5,111.5,1086.8,119.4,368.6,248.1,303.2,186.7,301.6,216.9,348.1,316.6,226.0,102.5,324.0,295.1,54.0,323.0,145.2,298.3,268.9,353.5,419.8,84.8,171.3,299.3,278.2,342.8,225.6,359.3,233.8,189.0,431.1,195.9,178.1,145.0,54.9,391.3,353.1,284.7,93.4,246.9,241.3,254.1,196.3,140.7,308.2,424.3,130.7,252.7,355.0,378.4,316.5,169.2,276.5,140.7,423.2,264.6,235.3,320.1,173.2,46.7,258.1,154.8,164.8,269.3,250.5,168.8,245.0,143.8,403.5,231.8,193.6,352.3,75.5,220.6,288.4,117.8,252.4,166.6,320.4,333.2,228.7,245.6,343.8,109.1,182.1,86.8,220.7,183.6,296.7,299.6,236.7,224.1,325.2,288.8,80.4,202.3,131.6,123.0,293.6,222.6,30.8,121.8,268.4,193.4,170.5,147.1,259.2,108.0,138.0,135.6,105.7,381.8,296.1,236.7,131.1,352.6,261.9,233.5,385.4,87.4,386.6,251.9,198.2,225.2
HM,191.1,236.9,264.0,60.1,333.6,379.2,152.8,211.0,231.4,267.5,181.7,207.6,221.9,324.1,112.8,122.4,328.6,427.7,147.5,114.4,240.1,395.3,277.3,447.2,249.9,455.7,291.9,379.0,264.7,94.4,318.9,132.5,275.9,182.9,87.3,118.3,212.2,111.7,153.6,113.4,234.9,34.6,369.5,322.4,355.7,227.5,232.7,94.8,256.6,291.6,134.8,188.2,319.3,247.6,203.9,412.2,184.7,86.6,0.0,155.2,161.5,441.2,257.5,223.5,346.7,378.0,147.0,1045.3,90.7,404.1,283.6,272.4,210.0,336.7,240.2,383.6,287.9,261.5,73.8,359.5,330.2,77.3,292.2,175.3,333.4,240.2,389.0,454.9,9.4,202.4,334.4,313.7,366.1,261.1,394.4,209.5,224.5,466.2,219.2,213.6,175.1,96.2,423.0,388.2,320.2,64.7,282.0,276.8,289.2,219.6,171.8,277.4,459.8,164.8,288.2,323.9,389.3,287.8,186.1,245.7,176.2,434.1,299.7,270.4,355.6,196.5,72.4,281.4,126.1,199.9,292.6,286.0,204.7,268.3,167.1,438.6,203.1,216.9,375.6,106.6,269.8,259.7,95.3,221.6,137.9,363.6,368.7,264.2,268.9,379.3,104.8,217.6,65.4,256.2,162.0,331.8,270.9,208.0,259.6,357.4,312.1,115.9,237.4,161.7,81.5,308.4,191.8,56.9,93.1,291.7,228.9,143.5,170.4,282.5,139.1,169.1,106.9,64.2,416.9,319.4,271.8,154.4,378.3,233.2,256.8,420.5,110.7,422.1,223.2,229.2,260.7
HN,111.6,81.6,350.0,146.0,325.3,353.3,144.5,202.7,220.1,259.2,267.7,293.6,196.0,315.8,198.8,143.1,320.3,401.8,139.6,136.3,256.4,369.4,249.7,438.9,265.5,429.8,377.9,353.1,104.1,166.7,310.6,218.5,301.3,268.9,204.4,102.1,199.0,85.8,76.3,168.3,209.0,138.6,421.1,296.5,329.8,183.6,224.4,240.3,342.6,301.3,162.2,67.9,329.0,232.9,48.6,386.3,176.2,200.8,164.8,0.0,198.9,434.0,249.2,208.4,320.8,369.6,178.2,1109.7,98.1,395.8,293.3,117.1,296.0,310.8,296.0,375.3,147.2,244.5,114.6,351.2,304.3,221.0,136.9,238.3,307.5,101.0,380.7,429.0,172.8,189.2,308.5,305.4,391.5,252.8,368.5,177.5,216.2,440.3,305.2,205.3,238.1,235.1,397.1,362.3,295.7,167.0,256.1,272.8,262.0,245.0,158.6,122.1,451.5,138.9,302.2,168.6,387.6,148.6,268.0,90.4,167.9,432.4,273.8,244.5,347.3,225.0,186.2,337.2,126.2,174.0,318.0,275.1,196.4,306.1,253.1,412.7,99.6,234.6,431.4,120.6,243.9,186.6,179.0,66.3,138.0,337.7,360.4,278.2,324.7,371.0,78.9,209.3,217.2,247.9,174.1,305.9,243.3,94.7,251.3,331.5,365.8,173.5,211.5,224.7,145.9,338.8,36.5,170.7,116.5,354.6,220.6,135.6,250.6,320.3,176.5,155.9,94.0,200.1,391.0,367.8,245.9,240.4,401.3,164.9,342.8,394.6,254.4,413.8,207.1,287.5,252.4
HO,286.9,269.2,308.4,197.3,326.9,354.9,146.1,192.7,221.7,260.8,226.1,252.0,197.6,317.4,157.2,218.2,321.9,403.4,168.1,211.4,257.0,371.0,373.1,440.5,267.1,431.4,336.3,354.7,291.7,190.2,312.2,176.9,302.9,227.3,132.0,214.1,182.6,103.7,249.0,127.6,210.6,130.4,413.9,298.1,331.4,323.3,226.0,158.3,301.0,302.9,237.3,252.1,330.6,234.5,236.2,387.9,172.8,113.8,143.9,187.5,0.0,435.6,250.8,210.0,322.4,371.2,163.0,1161.0,186.5,397.4,294.9,304.7,254.4,312.4,284.6,376.9,334.8,246.1,169.6,352.8,305.9,158.8,324.5,196.7,309.1,288.6,382.3,430.6,151.9,172.8,310.1,307.0,393.1,254.4,370.1,300.9,217.8,441.9,263.6,206.9,196.5,168.8,402.1,363.9,297.3,160.5,257.7,274.4,264.9,246.6,142.2,309.7,453.1,141.5,303.8,359.5,389.2,336.2,232.8,278.0,169.5,434.0,275.4,246.1,348.9,226.6,113.8,325.8,221.9,175.6,319.6,276.7,197.6,307.7,211.5,414.3,287.2,236.2,420.0,77.0,231.4,355.5,230.3,253.9,233.7,331.2,362.0,279.8,313.3,372.6,110.6,210.9,153.9,249.5,250.7,307.5,366.7,282.3,252.9,336.0,356.5,131.9,213.1,183.1,197.2,340.4,224.1,97.9,188.9,336.1,222.2,172.0,209.0,321.9,18.7,139.5,202.7,208.2,392.6,363.8,247.5,198.8,402.9,329.0,301.2,396.2,174.2,415.4,319.0,273.6,254.0
HV,528.6,498.6,363.5,454.8,245.1,150.5,318.9,365.5,261.4,305.1,379.4,346.6,257.3,211.5,353.2,506.4,245.1,182.9,412.4,499.6,296.7,158.6,601.6,266.5,306.8,188.6,395.7,93.5,521.1,478.4,216.7,372.9,275.9,319.4,420.2,502.3,393.4,333.1,478.4,320.5,208.6,418.6,237.6,145.5,200.4,600.6,378.8,394.7,374.4,193.1,497.6,481.5,165.4,228.6,465.6,145.1,408.9,397.6,432.1,416.9,409.9,0.0,348.6,249.7,96.2,166.8,332.6,1212.3,424.0,230.0,201.1,534.1,328.6,219.4,264.1,234.3,564.2,305.8,457.8,210.0,245.9,375.4,553.9,378.1,219.7,518.0,243.7,213.8,440.1,390.4,157.5,221.9,129.0,331.7,128.8,583.9,351.4,199.1,284.8,362.3,332.2,426.1,189.7,135.0,263.1,448.7,247.8,268.5,151.6,286.3,386.5,539.1,234.3,279.0,278.2,588.9,46.8,565.6,372.8,507.4,342.3,30.5,253.5,280.4,179.5,312.4,402.0,280.4,510.1,245.5,258.9,318.2,370.4,302.4,366.3,171.5,516.6,275.9,280.9,333.5,264.3,603.6,453.2,483.3,521.9,113.4,194.6,254.2,236.3,200.3,340.0,354.4,442.1,346.3,533.7,157.5,649.7,511.7,312.5,200.5,252.2,327.9,206.1,345.6,470.2,263.7,453.5,386.1,477.1,251.8,341.4,416.3,359.9,316.6,387.5,386.9,460.3,458.9,149.8,218.9,169.0,357.9,138.8,581.9,337.4,153.4,410.6,248.0,587.8,324.7,311.4
IB,419.9,389.9,297.8,346.1,76.0,136.2,190.0,192.3,150.7,88.7,270.2,260.0,119.9,66.5,244.5,397.7,94.4,184.2,259.0,390.9,186.0,158.8,552.6,189.6,196.1,243.6,330.0,238.2,412.4,369.7,61.3,264.2,200.3,271.7,311.5,393.6,178.9,224.4,369.7,211.8,96.0,309.9,351.2,181.6,162.0,491.9,162.4,286.0,308.7,168.4,416.8,372.8,196.1,101.9,356.9,209.1,192.5,288.9,323.4,308.2,301.2,296.7,0.0,139.0,205.9,120.4,215.3,1307.8,315.3,146.5,160.4,425.4,275.2,143.0,226.6,145.8,455.5,107.2,349.1,125.3,104.2,266.7,445.2,268.0,98.0,409.3,154.8,218.4,331.4,174.0,193.1,56.1,286.5,132.6,157.9,480.4,152.3,237.4,237.1,163.2,222.1,317.4,189.9,151.7,62.6,340.0,83.9,141.8,148.4,175.6,233.1,430.4,202.2,170.3,171.2,480.2,272.7,456.9,251.3,398.7,166.0,317.5,74.7,81.3,98.0,202.3,293.3,267.8,401.4,136.8,215.1,101.8,168.7,236.7,255.6,235.5,407.9,165.2,316.4,224.8,96.4,494.9,363.7,374.6,413.2,214.7,111.1,147.2,255.0,134.8,231.3,138.0,333.4,129.9,430.2,191.0,546.2,403.0,96.1,127.8,252.9,219.2,98.5,235.5,367.5,205.9,344.8,277.4,368.4,223.6,125.0,262.9,249.2,250.9,278.8,197.1,351.6,350.2,208.0,262.8,131.0,286.1,296.3,473.2,271.7,217.4,301.9,164.5,498.5,244.4,95.0
IE,309.0,279.0,158.7,235.2,158.3,195.0,99.3,152.6,11.6,103.7,131.1,120.9,19.7,148.8,133.6,286.8,159.4,243.5,192.8,280.0,47.9,211.1,441.7,271.9,57.0,271.5,190.9,208.8,306.8,258.8,143.6,153.3,92.8,132.6,200.6,282.7,173.8,113.5,258.8,99.1,50.7,199.0,212.6,138.2,171.5,381.0,177.4,175.1,169.6,88.7,305.9,261.9,116.4,44.7,246.0,228.0,192.6,178.0,212.5,197.3,190.3,258.1,82.2,0.0,162.5,202.7,84.7,1168.7,209.4,228.8,80.7,314.5,136.1,152.5,87.5,214.4,344.6,68.2,238.2,190.3,137.7,155.8,334.3,122.4,149.2,298.4,219.8,270.7,220.5,174.1,150.2,138.4,183.0,82.8,210.2,369.5,102.5,282.0,98.0,113.4,112.6,206.5,238.8,204.0,145.5,229.1,79.8,65.2,105.0,36.5,166.9,319.5,288.3,59.4,85.3,369.3,206.2,346.0,105.8,287.8,122.7,251.0,100.7,68.2,180.3,92.8,182.4,128.7,290.5,25.9,109.5,98.8,150.8,97.6,116.5,254.4,297.0,26.1,222.9,112.0,58.5,384.0,226.3,263.7,302.3,179.4,193.4,61.3,116.2,210.1,120.4,153.0,222.5,144.9,326.4,135.6,435.3,292.1,107.6,173.2,157.3,108.3,53.2,126.0,256.6,125.1,233.9,166.5,257.5,136.0,140.0,196.7,110.1,114.2,164.7,171.0,240.7,239.3,232.7,159.3,87.6,180.4,192.8,362.3,132.6,236.3,191.0,246.8,387.6,105.3,110.0
IF,432.3,402.3,312.2,358.5,165.4,70.8,226.5,280.8,165.1,225.4,284.6,274.4,161.0,131.8,256.9,410.1,165.4,103.2,316.1,402.1,201.4,78.9,565.0,186.8,210.5,108.9,344.4,62.6,424.8,382.1,137.0,276.6,229.2,286.1,323.9,406.0,297.1,236.8,382.1,224.2,112.3,322.3,279.1,49.2,115.7,504.3,299.1,298.4,323.1,120.1,429.2,385.2,92.4,132.3,369.3,65.4,306.3,301.3,335.8,320.6,313.6,113.1,223.5,153.4,0.0,87.1,236.3,1253.9,332.7,150.3,128.1,437.8,289.6,134.7,241.0,154.6,467.9,209.5,361.5,130.3,149.6,279.1,457.6,281.8,132.8,421.7,164.0,134.1,345.3,297.4,61.2,142.2,155.2,235.4,49.1,497.2,255.1,130.3,251.5,266.0,235.9,329.8,106.6,55.3,179.1,352.4,151.5,172.2,56.6,190.0,290.2,442.8,154.6,182.7,185.5,489.3,97.1,469.3,259.3,411.1,246.0,136.9,157.2,184.1,99.8,216.1,305.7,282.2,413.8,149.2,216.7,238.5,274.1,251.1,270.0,91.8,420.3,179.6,330.7,232.3,168.0,507.3,376.1,387.0,425.6,47.2,114.9,161.5,269.3,120.6,243.7,274.7,345.8,266.6,449.7,62.4,558.6,415.4,232.8,123.7,265.1,231.6,109.8,249.3,379.9,190.9,357.2,289.8,380.8,237.9,261.7,320.0,263.6,265.3,288.0,290.6,364.0,362.6,70.1,247.6,72.7,298.5,165.0,485.6,286.1,73.7,314.3,168.3,510.9,258.8,231.7
II,470.0,440.0,349.9,396.2,78.2,15.7,239.5,241.8,202.8,138.2,322.3,312.1,178.0,44.6,294.6,447.8,78.2,70.7,308.5,441.0,238.1,38.3,602.7,106.2,248.2,123.1,382.1,159.7,462.5,419.8,49.8,314.3,248.9,323.8,361.6,443.7,228.4,274.5,419.8,261.9,150.0,360.0,385.2,85.7,92.1,542.0,211.9,336.1,360.8,184.4,466.9,422.9,166.3,170.0,407.0,88.6,242.0,339.0,373.5,358.3,351.3,176.2,181.7,191.1,99.6,0.0,268.6,1359.9,365.4,63.1,176.4,475.5,327.3,88.6,278.7,67.4,505.6,156.7,399.2,43.1,92.5,316.8,495.3,319.5,52.8,459.4,76.8,97.9,381.5,223.5,72.6,55.0,243.5,193.5,37.4,530.5,213.2,142.6,289.2,224.1,273.6,367.5,69.4,31.2,96.2,390.1,128.2,209.9,120.3,227.7,282.6,480.5,118.8,220.4,205.2,530.3,165.3,507.0,303.4,448.8,215.5,200.0,109.7,142.2,12.6,253.8,343.4,319.9,451.5,186.9,247.9,151.3,218.2,288.8,307.7,115.0,458.0,217.3,350.4,274.9,153.8,545.0,413.8,424.7,463.3,136.2,27.7,181.2,289.0,33.4,281.4,187.5,383.5,179.4,480.3,136.3,596.3,453.1,145.6,55.0,286.9,269.3,147.5,287.0,417.6,221.9,394.9,327.5,418.5,257.6,174.5,312.4,301.3,303.0,328.9,246.6,401.7,400.3,93.3,278.8,124.4,336.2,253.3,523.3,323.8,96.9,352.0,81.1,548.6,296.5,144.5
