from_stop,AB,AE,AR,AY,BB,BL,CE,CF,CI,CJ,CL,CM,CS,CV,CX,DD,DN,DW,DZ,FD,GF,GJ,GK,GN,HB,HE,HO,HP,HU,IG,IY,IZ,JA,JD,JO,JQ,JT,JU,JV,JW,KD,KN,KW,KX,LF,LJ,LP,LS,LY,MD,MH,MM,MQ,MU,NA,NE,NI,NO,NW,OB,OJ,OL,OW,PA,PH,PN,PW,PZ,QI,QV,QX,RD,RG,SA,SC,SF,ST,SW,SY,TD,TN,UE,UM,US,UU,UX,VA,VF,WR,WV,XF,XG,XK,XS,XX,YK,ZD,ZQ,ZT
CL,461.1,392.8,97.0,489.1,224.9,481.3,260.2,559.1,487.2,590.9,0.0,529.0,215.7,299.4,269.3,515.2,417.9,449.7,140.9,108.8,345.4,398.5,519.8,467.3,257.5,240.9,160.7,456.6,216.9,579.3,385.5,228.6,232.9,235.6,106.3,92.7,450.9,165.8,413.8,529.2,85.8,290.7,492.9,615.5,654.6,352.8,296.8,490.4,132.7,106.9,636.8,320.7,356.0,194.3,384.3,226.7,512.9,545.4,256.1,69.0,422.4,320.6,226.1,576.6,107.3,463.1,436.1,432.5,196.3,622.7,138.4,584.0,387.0,485.8,231.6,355.5,32.1,34.3,292.8,453.0,260.6,359.6,321.0,257.5,66.7,167.1,422.3,163.8,401.3,73.3,306.5,232.4,161.1,204.1,261.3,224.9,487.2,167.3,163.3
CM,237.9,198.9,743.5,166.7,725.1,282.8,770.6,254.8,216.0,208.6,704.0,0.0,621.4,814.2,344.2,688.2,187.2,251.8,695.6,601.0,297.9,368.9,197.8,60.3,636.8,646.6,712.5,221.0,653.0,275.0,304.0,744.6,706.4,750.4,717.8,638.8,189.0,538.2,819.5,181.2,560.0,301.8,273.5,233.1,272.2,294.0,251.7,186.1,678.7,731.8,293.8,375.1,334.5,734.4,346.4,716.8,208.6,146.9,742.8,739.4,220.1,835.4,740.9,239.0,694.7,256.3,205.4,179.6,751.0,203.3,753.6,164.6,325.8,164.3,771.7,254.9,721.6,723.8,396.4,181.8,812.0,312.1,277.0,757.7,612.8,718.2,131.0,679.8,213.7,733.3,380.2,721.3,745.2,709.6,331.3,805.6,195.1,683.3,756.8
CS,566.7,519.3,122.0,615.6,228.3,607.8,249.9,664.7,613.7,696.9,263.6,634.6,0.0,317.4,374.9,641.7,523.5,576.2,73.5,338.6,471.9,525.0,625.4,572.9,33.3,209.9,91.0,562.2,216.3,684.9,491.7,308.7,151.5,253.6,96.3,341.8,556.5,281.4,427.3,634.8,275.5,417.2,598.5,721.1,760.2,458.4,424.6,596.0,238.3,110.3,742.4,426.3,482.5,112.9,489.9,230.1,618.5,671.9,272.5,174.6,548.9,321.3,244.1,682.2,73.2,568.7,541.7,538.1,129.5,728.3,132.1,689.6,513.5,614.8,150.2,482.0,281.2,283.4,433.8,579.5,179.2,477.5,428.7,260.9,323.6,96.7,548.8,248.9,506.9,109.5,433.0,250.4,136.5,207.5,387.8,184.1,592.8,249.4,155.1
CV,483.4,436.0,188.2,532.3,195.2,524.5,75.1,581.4,530.4,615.5,165.7,551.3,290.4,0.0,291.6,558.4,440.2,492.9,164.5,255.3,388.6,473.3,542.1,566.8,305.8,315.6,180.7,478.9,322.0,601.6,408.4,181.3,221.2,110.4,197.5,258.5,473.2,331.9,264.7,551.5,192.2,333.9,515.2,637.8,676.9,414.9,340.0,512.7,155.0,159.1,659.1,388.6,399.2,121.3,395.7,102.7,535.2,588.6,146.7,173.3,465.6,139.9,45.4,598.9,174.1,485.4,458.4,454.8,161.3,645.0,229.6,606.3,430.2,531.5,145.3,398.7,197.9,200.1,350.5,496.2,185.6,402.8,364.2,62.2,232.5,202.4,465.5,113.7,423.6,126.9,349.7,125.2,224.9,80.1,304.5,303.3,509.5,120.0,254.5
CX,191.7,144.3,450.2,240.6,431.8,232.8,481.7,289.7,282.2,345.5,396.1,259.6,328.1,520.9,0.0,394.9,192.0,201.2,401.7,307.7,96.9,150.0,250.4,241.4,361.5,353.3,419.2,187.2,359.7,309.9,102.9,451.3,413.1,457.1,424.5,345.5,199.2,254.2,526.2,259.8,266.7,42.2,223.5,370.1,409.2,83.4,91.8,221.0,385.4,438.5,391.4,96.9,107.5,441.1,96.0,423.5,243.5,296.9,449.5,452.4,173.9,560.2,447.6,336.6,401.4,193.7,210.2,163.1,457.7,353.3,460.3,314.6,138.5,259.9,478.4,150.5,428.3,430.5,58.8,248.0,507.4,102.5,97.2,464.4,322.0,424.9,217.3,386.5,175.4,424.3,34.6,425.8,464.7,416.3,12.8,512.3,261.3,392.0,483.3
DD,662.2,614.8,712.6,711.1,694.2,703.3,744.1,760.2,709.2,717.8,673.1,730.1,590.5,783.3,470.4,0.0,619.0,671.7,664.7,570.1,567.4,652.1,720.9,745.6,605.9,615.7,681.6,657.7,622.1,780.4,587.2,713.7,675.5,719.5,686.9,607.9,652.0,507.3,736.1,730.3,529.1,512.7,694.0,740.1,779.2,593.7,518.8,691.5,647.8,700.9,761.4,567.4,578.0,703.5,574.5,685.9,714.0,705.7,711.9,708.5,644.4,804.5,710.0,701.2,663.8,664.2,637.2,633.6,720.1,762.1,722.7,723.4,609.0,710.3,740.8,577.5,690.7,692.9,529.3,675.0,781.1,581.6,543.0,726.8,581.9,687.3,644.3,648.9,602.4,702.4,528.5,690.4,714.3,678.7,483.3,774.7,688.3,652.4,725.9
DN,134.9,87.5,612.7,183.8,594.3,176.0,644.2,232.9,232.2,291.0,558.6,202.8,490.6,683.4,162.4,557.4,0.0,144.4,564.8,470.2,116.1,187.1,193.6,218.3,506.0,515.8,581.7,130.4,522.2,253.1,122.2,613.8,575.6,619.6,587.0,508.0,142.4,407.4,688.7,203.0,429.2,120.0,166.7,313.3,352.4,112.2,209.3,164.2,547.9,601.0,334.6,193.3,152.7,603.6,164.6,586.0,186.7,240.1,612.0,608.6,117.1,704.6,610.1,279.8,563.9,136.9,18.1,106.3,620.2,296.5,622.8,257.8,144.0,233.3,640.9,212.5,590.8,593.0,214.6,198.0,681.2,130.3,234.6,626.9,482.0,587.4,167.3,549.0,182.0,602.5,198.4,590.5,614.4,578.8,149.5,674.8,211.3,552.5,626.0
DW,246.7,199.3,730.6,233.6,712.2,291.6,762.1,139.0,203.1,275.5,676.5,108.9,608.5,801.3,328.6,675.3,174.3,0.0,682.7,588.1,282.3,353.3,99.7,169.3,623.9,633.7,699.6,242.2,640.1,159.2,288.4,731.7,693.5,737.5,704.9,625.9,165.2,525.3,754.1,248.1,547.1,286.2,282.3,300.0,339.1,278.4,238.8,70.3,665.8,718.9,360.7,359.5,318.9,721.5,330.8,703.9,92.8,213.8,729.9,726.5,228.9,822.5,728.0,305.9,681.8,243.0,218.5,218.1,738.1,270.2,740.7,231.5,310.2,162.3,758.8,242.0,708.7,710.9,380.8,168.9,799.1,296.5,264.1,744.8,599.9,705.3,118.1,666.9,200.8,720.4,364.6,708.4,732.3,696.7,315.7,792.7,182.2,670.4,743.9
DZ,527.6,480.2,77.4,576.5,145.1,568.7,176.3,625.6,574.6,657.8,224.5,595.5,140.1,234.2,336.4,602.6,484.4,537.1,0.0,299.5,432.8,485.9,586.3,533.8,179.3,165.3,19.7,523.7,172.4,645.8,452.6,225.5,77.9,170.4,51.7,302.7,517.4,236.8,100.9,595.7,236.4,384.9,559.4,682.6,721.1,419.3,385.5,556.9,199.8,48.2,703.3,387.2,443.4,38.7,450.8,146.9,579.4,632.8,189.3,130.7,509.8,247.1,160.9,643.1,43.5,529.6,502.6,503.2,55.3,689.2,88.2,650.5,494.2,552.3,76.0,442.9,242.1,244.3,359.3,540.4,105.0,438.4,389.6,177.7,279.2,69.7,509.7,165.7,467.8,78.7,397.8,167.2,92.6,124.9,348.7,138.4,553.7,166.2,111.2
FD,451.0,403.6,368.3,499.9,474.6,492.1,496.2,549.0,498.0,583.1,495.3,518.9,246.2,563.7,259.2,526.0,407.8,460.5,320.4,0.0,356.2,440.9,509.7,534.4,261.6,271.4,337.3,446.5,277.8,569.2,376.0,555.0,331.2,499.9,342.6,123.2,440.8,299.5,444.3,519.1,62.4,301.5,482.8,605.4,644.5,382.5,307.6,480.3,484.6,356.6,626.7,356.2,366.8,359.2,363.3,476.4,502.8,556.2,520.4,414.6,433.2,549.5,490.4,566.5,319.5,453.0,426.0,422.4,375.8,612.6,378.4,573.9,397.8,499.1,396.5,366.3,527.5,529.7,318.1,463.8,436.8,370.4,331.8,507.2,97.2,343.0,433.1,487.4,391.2,358.1,317.3,498.9,370.0,453.8,272.1,430.4,477.1,493.7,381.6
GF,222.6,175.2,584.9,267.4,566.5,267.5,612.0,333.4,195.0,309.3,530.8,303.3,462.8,655.6,217.6,529.6,104.8,194.3,536.4,442.4,0.0,243.9,294.1,154.2,477.2,488.0,553.9,218.1,494.4,353.6,226.5,586.0,547.8,591.8,559.2,480.2,137.8,388.9,608.4,281.9,401.4,224.9,258.2,333.8,372.9,184.0,93.1,264.7,520.1,573.2,394.5,298.2,257.6,575.8,261.5,558.2,287.2,247.6,584.2,587.1,204.8,676.8,582.3,339.7,532.3,218.9,123.0,194.0,592.4,304.0,595.0,265.3,268.7,196.1,613.1,96.3,563.0,565.2,241.1,160.8,642.1,5.5,118.4,599.1,454.2,576.5,130.1,521.2,88.2,559.0,303.3,560.5,586.6,551.0,254.4,645.2,174.1,524.7,618.0
GJ,203.8,129.9,591.9,248.6,547.0,248.7,619.0,288.1,176.2,290.5,511.3,258.0,469.8,636.1,248.5,536.6,86.0,175.5,544.0,449.4,175.7,0.0,275.3,135.4,513.8,495.0,560.9,199.3,501.4,334.8,181.2,593.0,554.8,598.8,566.2,487.2,119.0,395.9,641.4,263.1,408.4,179.6,239.4,288.5,354.1,165.2,98.8,245.9,527.1,580.2,349.2,233.8,238.8,582.8,261.6,565.2,268.4,228.8,591.2,594.1,186.0,675.4,589.3,320.9,512.8,200.1,104.2,175.2,599.4,258.7,602.0,220.0,230.1,177.3,620.1,103.3,570.0,545.7,257.0,142.0,649.1,207.8,68.2,579.6,461.2,583.5,111.3,528.2,42.9,579.4,288.4,567.5,579.9,558.0,235.6,652.2,128.8,531.7,578.7
GK,247.1,208.1,752.7,175.9,734.3,292.0,784.2,264.0,225.2,217.8,713.2,9.1,630.6,823.4,353.4,697.4,196.4,261.0,704.8,610.2,307.1,378.1,0.0,69.5,646.0,655.8,721.7,230.2,662.2,284.2,313.2,753.8,715.6,759.6,727.0,648.0,198.2,547.4,776.2,190.4,569.2,311.0,282.7,242.3,281.4,303.2,260.9,195.3,687.9,741.0,303.0,384.3,343.7,743.6,355.6,726.0,217.8,156.1,752.0,748.6,229.3,844.6,750.1,248.2,703.9,265.5,214.6,188.8,760.2,212.5,762.8,173.8,335.0,173.5,780.9,264.1,730.8,733.0,405.6,191.0,821.2,321.3,286.2,766.9,622.0,727.4,140.2,689.0,222.9,742.5,389.4,730.5,754.4,718.8,340.5,814.8,204.3,692.5,766.0
GN,167.3,145.3,637.0,113.1,618.6,212.2,664.1,201.2,109.5,156.5,582.9,153.4,514.9,707.7,243.2,581.7,80.7,139.0,588.5,494.5,196.9,224.9,144.2,0.0,529.3,540.1,608.9,167.4,546.5,221.4,202.4,638.1,599.9,643.9,611.3,532.3,82.5,441.0,713.0,127.6,453.5,193.1,202.9,179.5,218.6,193.0,143.9,132.5,572.2,625.3,240.2,228.5,233.5,627.9,256.3,610.3,155.0,93.3,636.3,639.2,149.5,747.0,634.4,185.4,584.4,202.7,98.9,120.9,644.5,149.7,647.1,111.0,224.8,34.4,665.2,148.4,615.1,617.3,260.0,75.3,694.2,202.5,170.5,651.2,514.1,611.7,24.5,581.1,107.2,611.1,255.8,612.6,651.5,603.1,230.3,697.3,88.6,576.8,650.3
HB,533.3,485.9,78.0,582.2,194.9,584.4,226.5,631.3,580.3,663.5,219.6,601.2,161.3,284.0,351.5,608.3,490.1,542.8,30.1,305.2,427.9,491.6,592.0,528.9,0.0,194.5,47.0,546.8,182.9,640.9,454.5,275.3,128.1,209.6,72.9,326.4,523.1,258.0,130.1,601.4,260.1,409.6,565.1,677.1,736.8,454.2,379.3,580.6,194.3,76.9,698.4,427.9,449.1,79.5,455.6,196.7,576.7,638.5,230.1,130.6,515.5,287.8,210.7,640.4,29.2,535.3,518.3,494.1,96.1,704.9,98.7,656.2,469.5,570.8,134.8,448.6,257.8,250.0,389.8,546.1,163.8,442.1,403.5,237.5,285.1,52.7,515.4,197.1,462.9,78.4,395.1,208.6,79.7,192.1,354.4,140.1,559.4,203.4,91.3
HE,514.0,466.6,199.0,562.9,305.3,555.1,331.3,612.0,561.0,643.8,326.0,581.9,76.9,394.4,322.2,589.0,470.8,523.5,150.5,249.6,419.2,472.3,572.7,520.2,100.3,0.0,168.0,509.5,20.8,632.2,425.2,385.7,175.9,330.6,173.3,287.4,503.8,196.1,342.0,582.1,208.6,364.5,545.8,668.4,707.5,445.5,370.6,543.3,315.3,187.3,689.7,419.2,429.8,189.9,418.3,307.1,565.8,619.2,349.5,251.6,496.2,398.3,321.1,629.5,146.4,516.0,489.0,489.6,206.5,675.6,209.1,636.9,480.6,562.1,227.2,429.3,358.2,360.4,345.7,526.8,256.2,424.8,376.0,337.9,269.2,173.7,496.1,325.9,454.2,186.5,356.9,329.6,200.7,284.5,335.1,259.3,540.1,324.4,232.1
HO,510.7,463.3,114.4,559.6,128.2,548.9,170.8,608.7,554.8,640.9,193.0,578.6,202.3,217.3,316.0,585.7,467.5,520.2,95.2,282.6,415.9,466.1,569.4,514.0,240.8,224.6,0.0,506.2,233.9,626.0,421.9,208.6,170.3,150.6,123.7,282.9,500.5,365.6,178.2,578.8,216.6,368.0,542.5,662.2,704.2,402.4,368.6,537.1,179.4,31.3,683.5,370.3,426.5,111.5,433.9,130.0,562.5,615.9,172.4,139.6,492.9,256.6,144.0,626.2,61.6,512.7,482.8,486.3,151.2,672.3,158.7,633.6,477.3,535.4,56.2,426.0,225.2,227.4,342.4,520.6,88.1,421.5,372.7,160.8,262.3,131.2,492.8,148.8,448.0,61.8,380.9,150.3,166.8,104.5,328.9,217.9,536.8,149.3,190.7
HP,93.3,54.3,649.9,109.8,631.5,138.2,681.4,158.9,195.0,217.0,610.4,128.8,527.8,720.6,199.6,594.6,156.0,107.2,601.4,507.4,153.3,176.2,119.6,140.3,551.2,553.0,618.9,0.0,559.4,179.1,145.6,651.0,612.8,656.8,624.2,545.2,105.2,453.9,673.4,129.0,466.4,150.5,128.9,239.3,278.4,116.3,219.2,90.2,585.1,638.2,260.6,184.9,189.9,640.8,193.8,623.2,112.7,166.1,649.2,652.1,75.5,768.1,647.3,205.8,601.1,111.7,158.5,32.3,657.4,222.5,660.0,183.8,201.0,158.8,678.1,223.7,628.0,630.2,216.4,160.8,707.1,158.9,245.8,664.1,521.7,624.6,130.1,586.2,182.5,624.0,235.6,625.5,664.4,616.0,186.7,712.0,174.1,589.7,683.0
HU,499.6,452.2,184.6,548.5,290.9,540.7,312.5,597.6,546.6,631.7,326.2,567.5,62.5,380.0,307.8,574.6,456.4,509.1,136.7,235.2,404.8,489.5,558.3,583.0,77.9,20.0,153.6,495.1,0.0,617.8,424.6,371.3,161.5,316.2,158.9,273.0,489.4,172.4,208.1,567.7,194.2,350.1,531.4,654.0,693.1,431.1,356.2,528.9,300.9,172.9,675.3,404.8,415.4,175.5,411.9,292.7,551.4,604.8,336.7,230.9,481.8,365.8,306.7,615.1,135.8,501.6,474.6,471.0,192.1,661.2,194.7,622.5,446.4,547.7,212.8,414.9,343.8,346.0,366.7,512.4,253.1,419.0,380.4,323.5,247.0,159.3,481.7,303.7,439.8,174.4,365.9,315.2,186.3,270.1,320.7,246.7,525.7,310.0,197.9
IG,160.7,113.3,692.9,209.6,674.5,205.6,720.0,35.0,169.0,283.3,638.8,241.4,570.8,763.6,242.6,637.6,130.0,132.4,644.4,550.4,196.3,224.3,232.2,128.2,609.3,596.0,664.8,156.2,602.4,0.0,201.8,694.0,655.8,699.8,667.2,588.2,79.2,496.9,768.9,255.9,509.4,200.2,196.3,307.8,346.9,192.4,193.2,202.8,628.1,681.2,368.5,273.5,232.9,683.8,262.7,666.2,225.3,221.6,660.6,695.1,142.9,784.8,690.3,313.7,640.3,157.0,132.5,136.3,700.4,278.0,703.0,239.3,224.2,170.1,721.1,197.7,671.0,673.2,259.4,134.8,750.1,201.9,219.8,707.1,562.2,667.6,104.1,637.0,156.5,680.4,282.5,668.5,707.4,659.0,229.7,753.2,148.1,632.7,706.2
IY,256.0,208.6,643.3,300.8,611.7,314.1,674.8,366.8,241.6,344.2,576.0,336.7,521.2,700.8,262.8,574.8,138.2,227.7,581.6,487.6,267.6,290.5,327.5,200.8,544.6,546.4,599.1,264.7,539.6,400.2,0.0,631.2,592.4,650.2,617.6,538.6,171.2,433.5,705.5,315.3,459.8,258.3,291.6,366.6,419.5,250.5,138.3,297.5,578.5,618.4,427.3,331.6,291.0,621.0,310.4,616.6,320.0,281.0,629.4,645.5,238.2,740.1,627.5,386.3,581.3,252.3,169.6,227.4,637.6,336.8,640.2,298.7,22.4,229.5,657.7,141.5,608.2,610.4,321.7,193.6,686.7,268.6,163.6,643.7,506.6,604.8,163.5,566.4,121.6,617.6,336.7,607.9,631.8,609.4,287.8,692.2,207.5,569.9,643.4
IZ,500.8,453.4,205.6,549.7,122.3,541.9,172.2,598.8,547.8,632.9,197.7,568.7,307.8,211.4,309.0,575.8,457.6,510.3,225.1,272.7,406.0,490.7,559.5,584.2,323.2,333.0,242.0,496.3,339.4,619.0,425.8,0.0,302.5,37.5,214.9,275.9,490.6,349.3,545.9,568.9,209.6,351.3,532.6,655.2,694.3,432.3,357.4,530.1,172.4,176.5,676.5,406.0,416.6,214.0,413.1,120.1,552.6,606.0,164.1,190.7,483.0,232.6,138.1,616.3,191.5,502.8,475.8,472.2,254.0,662.4,247.0,623.7,447.6,548.9,238.0,416.1,215.3,217.5,367.9,513.6,278.3,420.2,381.6,154.9,249.9,219.8,482.9,131.1,441.0,144.3,367.1,142.6,242.3,106.8,321.9,320.7,526.9,137.4,271.9
JA,527.0,479.6,369.9,575.9,436.2,568.1,314.3,625.0,574.0,656.8,489.8,594.9,285.2,430.1,335.2,602.0,483.8,536.5,291.7,262.6,432.2,485.3,585.7,533.2,323.7,109.1,307.9,522.5,115.5,645.2,451.4,490.8,0.0,421.8,344.2,300.4,516.8,209.1,355.0,595.1,221.6,384.3,558.8,681.4,720.5,418.7,384.9,556.3,464.5,339.3,702.7,432.2,442.8,249.6,450.2,412.2,578.8,632.2,456.2,422.5,509.2,393.9,364.0,642.5,339.1,529.0,502.0,498.4,288.5,688.6,380.0,649.9,473.8,551.7,367.1,442.3,507.4,509.6,394.1,539.8,396.1,437.8,389.0,359.7,274.4,344.6,509.1,431.0,467.2,372.2,393.3,432.5,384.4,389.6,348.1,432.0,553.1,429.5,403.0
