from_stop,AC,BU,DH,DW,EH,FB,GB,GL,GQ,GV,GX,HI,HS,HW,HY,IW,JF,KW,LO,ME,OE,OK,OO,PI,PK,QB,RL,RU,SY,TS,TV,UH,UO,UZ,VL,VW,XC,XW,XY,YK,YP,YU,ZL
GX,99.0,202.0,188.7,131.6,195.7,192.1,257.8,101.3,206.5,390.6,0.0,260.8,295.4,226.8,200.3,313.7,329.1,267.7,243.2,290.2,278.4,264.9,259.9,269.6,170.8,133.6,98.4,149.8,245.5,237.7,385.1,259.2,202.0,265.4,300.2,329.3,246.6,273.0,51.4,239.7,417.8,983.1,225.2
HI,289.5,96.2,328.1,271.0,191.7,276.9,257.0,273.0,300.2,190.2,290.5,0.0,312.6,277.8,115.0,303.7,165.5,228.2,248.1,206.8,204.7,284.5,170.7,232.6,361.3,324.1,347.1,275.9,250.4,79.8,267.1,276.4,96.2,230.3,299.4,268.9,230.3,187.8,283.6,291.3,253.9,882.0,164.7
HS,240.1,280.5,76.5,19.6,158.1,243.3,95.4,214.7,276.5,241.6,132.1,192.1,0.0,116.2,313.7,151.3,216.9,155.5,131.0,221.5,166.2,163.1,342.2,126.5,303.0,265.8,185.5,42.3,133.3,297.6,89.6,114.8,280.5,178.7,137.8,33.8,178.7,355.3,120.5,129.7,136.8,869.3,166.7
HW,142.1,242.3,145.1,90.2,119.9,205.1,30.9,125.6,238.3,199.9,24.2,140.4,68.5,0.0,224.6,86.8,160.7,99.3,199.6,183.3,206.5,46.8,284.2,70.3,230.0,176.7,121.0,110.9,201.9,259.4,158.2,32.3,242.3,140.5,73.3,102.4,140.5,297.3,56.0,13.4,205.4,877.2,128.5
HY,174.4,20.4,375.0,320.1,238.6,248.7,303.9,157.9,281.9,273.6,326.5,231.9,359.5,302.2,0.0,359.8,212.4,275.9,295.0,253.7,258.2,321.5,59.6,284.1,262.3,209.0,394.0,322.8,297.3,37.3,314.0,323.3,20.4,277.2,346.3,314.3,277.2,72.7,329.0,296.3,300.8,928.9,211.6
IW,199.0,302.0,124.4,67.3,206.0,273.3,143.3,182.5,306.5,289.5,161.2,240.0,47.8,164.1,281.5,0.0,264.8,203.4,178.9,269.4,214.1,167.3,376.2,174.4,270.8,233.6,34.1,97.6,181.2,319.1,137.5,162.7,302.0,226.6,185.7,81.7,226.6,389.3,168.4,177.6,184.7,892.0,214.6
JF,242.5,225.6,223.6,166.7,103.2,188.4,91.4,226.0,221.6,186.0,143.7,86.5,147.0,112.2,201.6,147.3,0.0,63.4,207.4,133.9,170.6,64.5,261.3,71.6,330.4,277.1,181.5,196.8,209.7,166.5,101.5,110.8,225.6,123.8,133.8,180.9,123.8,274.4,116.5,125.7,213.2,841.3,111.8
KW,303.9,257.8,223.9,166.8,135.4,220.6,152.8,287.4,253.8,100.5,186.3,128.7,208.4,173.6,243.8,208.7,61.3,0.0,143.9,150.5,107.1,226.3,303.5,133.0,391.8,338.5,242.9,171.7,146.2,208.6,162.9,172.2,257.8,174.0,195.2,163.2,174.0,316.6,177.9,187.1,149.7,777.8,108.4
LO,219.2,322.2,138.4,81.3,220.0,293.5,139.3,202.7,316.8,303.5,157.2,254.0,158.4,160.1,301.7,186.0,278.8,179.4,0.0,283.4,221.5,212.8,392.4,183.8,291.0,253.8,162.7,86.2,60.7,339.3,133.5,158.7,322.2,240.6,181.7,79.2,240.6,409.5,165.9,173.6,64.2,931.2,237.2
ME,365.4,319.3,285.4,228.3,196.9,282.1,214.3,348.9,315.3,184.0,266.6,190.2,269.9,235.1,305.3,270.2,122.8,61.4,205.4,0.0,168.6,282.0,365.0,194.5,453.3,400.0,304.4,233.2,207.7,270.1,224.4,233.7,319.3,235.5,256.7,224.7,235.5,378.1,240.9,248.6,211.2,839.3,169.9
OE,269.3,191.6,250.4,193.3,120.0,205.9,118.2,252.8,238.4,172.8,151.7,95.3,173.8,139.0,210.4,174.1,133.6,72.2,216.2,142.7,0.0,185.9,270.1,98.4,341.1,303.9,208.3,244.0,218.5,175.2,128.3,137.6,191.6,150.6,160.6,235.5,150.6,283.2,143.3,152.5,222.0,850.1,96.5
OK,356.4,161.0,270.6,215.8,73.0,158.2,251.5,321.0,185.6,132.7,257.6,72.6,260.9,226.1,163.0,261.2,160.0,46.6,242.6,136.4,153.8,0.0,257.1,17.6,422.4,385.2,289.6,224.2,192.9,206.5,261.6,224.7,161.0,59.2,241.9,261.9,87.8,264.4,224.6,233.8,248.4,824.5,75.8
OO,202.9,226.1,373.2,318.4,290.7,268.3,352.8,177.5,301.5,457.3,364.9,337.0,390.4,321.8,205.6,408.7,418.1,393.6,500.7,366.4,463.9,341.1,0.0,364.6,265.8,228.6,313.7,321.0,295.5,243.2,368.3,354.2,226.1,341.6,395.2,312.5,341.6,183.9,377.9,315.9,299.0,964.6,320.2
PI,332.9,166.3,252.9,195.8,164.4,249.6,181.8,316.4,282.8,129.5,234.1,70.0,237.4,202.6,185.1,237.7,90.3,28.9,172.9,117.4,136.1,249.5,244.8,0.0,420.8,367.5,271.9,200.7,175.2,149.9,191.9,201.2,166.3,203.0,224.2,192.2,203.0,257.9,208.4,216.1,178.7,806.8,148.4
PK,198.1,262.8,185.0,128.1,140.4,225.6,70.8,165.5,258.8,258.5,64.1,160.9,108.4,39.8,264.5,142.8,197.3,135.9,239.5,203.8,227.0,67.3,324.1,106.9,0.0,232.7,160.9,150.8,257.9,295.8,198.1,72.2,262.8,161.0,129.3,142.3,161.0,353.3,97.4,33.9,261.4,897.7,165.1
QB,222.2,68.3,422.9,365.8,286.5,296.5,351.8,205.7,319.8,285.0,385.3,279.8,407.4,372.6,47.8,398.5,260.3,323.0,342.9,301.6,299.5,379.3,103.4,327.4,294.0,0.0,441.9,370.7,345.2,85.4,361.9,371.2,68.3,325.1,394.2,363.7,325.1,120.5,378.4,386.1,348.7,976.8,259.5
RL,164.8,267.8,180.6,123.5,261.5,239.1,199.5,148.3,262.4,345.7,217.4,296.2,104.0,220.3,247.3,246.2,321.0,221.6,235.1,325.6,160.8,273.0,338.0,226.0,236.6,199.4,0.0,146.4,102.4,284.9,193.7,218.9,267.8,282.8,241.9,139.4,282.8,355.1,226.1,233.8,105.9,857.8,279.4
RU,197.7,291.8,178.9,123.0,193.8,256.4,45.6,164.9,288.9,288.4,63.5,206.9,101.2,66.4,263.9,101.5,227.2,165.8,232.3,257.2,273.0,120.2,323.5,136.8,260.6,216.0,135.7,0.0,234.6,301.5,39.8,65.0,291.8,207.0,88.0,135.1,207.0,336.6,70.7,79.9,238.1,943.7,195.0
SY,214.3,281.6,77.6,20.5,159.2,244.4,78.5,197.8,267.7,242.7,96.4,193.2,134.1,99.3,296.8,125.2,218.0,118.6,132.1,222.6,160.7,152.0,339.3,123.0,302.2,248.9,168.6,32.8,0.0,298.7,72.7,97.9,281.6,179.8,120.9,18.4,179.8,356.4,105.1,112.8,3.4,870.4,176.4
TS,218.5,16.3,337.4,280.5,201.0,284.6,266.3,193.1,317.0,236.0,318.8,194.3,321.9,287.3,35.0,322.2,174.8,238.3,257.4,216.1,220.8,288.0,94.7,246.5,281.3,244.2,356.4,291.5,259.7,0.0,276.4,292.4,16.3,239.8,308.7,276.7,239.8,107.8,291.4,300.6,263.2,891.3,185.0
TV,141.5,244.5,162.5,106.6,148.9,215.8,48.3,125.0,249.0,214.4,23.6,169.4,85.9,28.9,224.0,87.9,189.7,128.3,217.0,212.3,235.5,75.8,283.6,99.3,213.3,176.1,122.1,128.3,219.3,261.6,0.0,56.4,244.5,169.5,74.4,121.3,169.5,296.7,73.4,42.4,222.8,906.2,166.1
UH,204.4,307.4,112.7,51.2,194.3,272.8,131.6,194.6,306.0,195.8,142.8,228.3,36.1,145.7,293.6,180.8,246.4,185.0,160.5,257.7,195.7,192.6,388.3,162.7,276.2,239.0,147.9,71.8,162.8,324.5,119.1,0.0,307.4,208.2,167.3,64.8,208.2,394.7,150.0,165.9,166.3,898.8,196.2
UO,193.2,0.0,354.5,297.4,218.1,267.5,283.4,176.7,290.8,216.6,316.9,211.4,339.0,304.2,18.7,330.1,191.9,254.6,274.5,233.2,231.1,256.5,74.4,259.0,265.0,227.8,373.5,302.3,276.8,17.0,293.5,302.8,0.0,256.7,325.8,295.3,256.7,91.5,310.0,315.1,280.3,908.4,191.1
UZ,302.8,109.5,323.4,266.3,187.0,272.2,252.3,286.3,305.4,200.0,304.6,180.3,307.9,273.1,128.3,308.2,160.8,224.3,243.4,202.1,206.6,225.4,188.0,232.5,390.7,337.4,342.4,271.2,245.7,93.2,262.4,271.7,109.5,0.0,294.7,264.2,0.0,201.1,277.4,286.6,249.2,877.3,160.0
VL,212.5,315.5,137.9,80.8,219.5,286.8,156.8,196.0,310.1,303.0,174.7,253.5,61.3,177.6,295.0,4.3,278.3,178.9,192.4,282.9,221.0,224.5,385.7,183.3,300.4,247.1,47.6,103.7,194.7,332.6,151.0,176.2,315.5,240.1,0.0,96.7,240.1,402.8,183.4,191.1,198.2,905.5,236.7
VW,204.7,298.8,192.2,137.4,200.8,270.8,60.0,179.3,303.3,302.8,96.7,221.3,115.6,80.8,278.3,115.9,241.6,180.2,246.7,264.2,288.9,129.2,337.9,152.7,267.6,230.4,150.1,7.0,249.0,315.7,54.2,79.4,298.8,221.4,102.4,0.0,221.4,352.5,86.6,94.3,252.5,958.1,209.4
XC,302.8,109.5,323.4,266.3,187.0,272.2,252.3,286.3,305.4,200.0,304.6,180.3,307.9,273.1,128.3,308.2,160.8,224.3,243.4,202.1,206.6,225.4,188.0,232.5,390.7,337.4,342.4,271.2,245.7,93.2,262.4,271.7,109.5,0.0,294.7,264.2,0.0,201.1,277.4,286.6,249.2,877.3,160.0
XW,101.6,204.6,374.6,319.7,198.3,176.6,260.4,85.1,209.1,356.7,272.5,244.6,298.0,229.4,184.1,316.3,332.0,301.2,414.6,274.0,278.5,248.7,243.7,272.2,173.4,136.2,231.7,239.0,213.5,221.5,286.3,261.8,204.6,249.2,302.8,232.0,249.2,0.0,285.5,223.5,217.0,882.6,227.8
XY,133.3,227.4,397.4,342.6,221.1,199.4,283.2,107.9,231.9,416.0,295.3,267.4,320.8,252.2,208.4,339.1,354.8,324.0,437.4,296.8,400.6,271.5,266.5,296.5,196.2,159.0,373.3,363.2,439.7,244.3,410.5,291.3,227.4,272.0,325.6,356.2,272.0,281.1,0.0,246.3,443.2,1008.5,242.0
YK,389.8,228.8,309.8,252.9,106.4,192.3,238.7,373.3,224.8,208.4,291.0,126.9,294.3,259.5,230.8,294.6,147.2,85.8,229.8,169.8,193.0,33.3,290.5,56.8,461.6,424.4,328.8,257.6,232.1,245.7,248.8,258.1,228.8,127.0,281.1,249.1,127.0,303.6,265.3,0.0,235.6,863.7,115.0
YP,210.8,278.1,74.1,17.0,155.7,240.9,75.0,194.3,264.2,239.2,92.9,189.7,130.6,95.8,293.3,121.7,214.5,115.1,128.6,219.1,157.2,148.5,335.8,119.5,298.7,245.4,165.1,21.9,130.9,295.2,69.2,94.4,278.1,176.3,117.4,14.9,176.3,352.9,101.6,109.3,0.0,866.9,172.9
YU,905.7,1008.7,942.4,885.3,933.8,980.0,943.3,889.2,1003.3,964.3,961.2,909.1,962.4,964.1,988.2,990.0,939.6,903.2,862.4,956.5,807.1,1016.8,1038.2,907.6,993.6,940.3,966.7,896.5,864.7,1025.8,937.5,962.7,1008.7,964.4,985.7,883.2,964.4,1055.3,969.9,977.6,868.2,0.0,910.3
ZL,355.6,138.3,266.7,211.9,26.9,112.8,195.6,330.2,134.3,165.3,256.5,20.2,259.8,225.0,140.3,260.1,104.1,166.4,186.7,54.7,149.9,102.9,200.0,137.4,418.5,381.3,285.7,229.4,189.0,100.2,205.7,230.3,149.3,65.5,238.0,206.0,54.5,208.1,220.7,229.9,192.5,820.6,0.0
