from_stop,AF,AI,AK,AR,BC,BJ,BK,BP,BW,BZ,CG,CV,DL,DR,DY,EB,FB,FF,FG,FJ,HK,HU,HW,IF,IP,IS,JL,JS,KC,KG,KI,KO,KV,LB,LM,LP,LV,NO,NQ,NY,OL,PO,QA,QF,QM,QR,QU,RY,SC,SE,SM,SP,TB,TC,TG,TU,UG,UI,UN,UP,UX,VT,WA,WF,XF,XG,XK,XQ,YR,ZO,ZS,ZW,ZY
CV,367.4,248.7,28.2,196.7,157.8,159.9,373.1,344.7,169.8,390.0,216.9,0.0,80.7,149.7,2300.0,206.8,308.4,146.5,246.3,278.5,323.2,262.5,244.7,235.9,218.0,308.4,260.5,187.9,127.6,247.4,490.3,313.5,509.1,189.2,166.7,390.8,204.6,459.8,263.8,154.3,375.4,484.4,186.6,394.6,195.3,145.6,240.1,140.7,364.9,54.9,296.9,332.6,285.7,123.0,130.6,356.0,82.8,310.1,117.7,356.4,344.8,139.1,283.1,179.6,152.4,464.4,476.1,365.2,138.3,247.3,105.9,546.4,95.8
DL,372.6,309.9,126.1,257.9,101.0,217.2,378.3,441.2,231.0,351.5,227.0,101.9,0.0,210.9,2271.9,130.1,404.9,65.7,307.5,240.0,332.1,323.7,163.9,210.0,225.9,404.9,433.3,245.9,34.8,308.6,417.2,341.8,436.0,246.5,85.9,452.0,127.9,440.8,225.3,80.9,336.9,452.8,244.6,356.1,121.9,206.8,163.4,237.2,326.4,118.2,192.9,393.8,377.3,42.2,59.0,452.5,168.5,202.6,43.9,317.9,411.4,65.7,374.7,106.2,213.6,432.8,444.5,326.7,61.6,188.8,202.4,514.8,79.9
DR,207.9,193.6,265.7,141.6,253.7,179.1,219.4,437.4,22.7,240.2,43.0,280.9,286.2,0.0,2150.2,176.3,389.4,243.1,191.2,128.7,220.8,207.4,139.6,80.7,68.2,389.4,317.0,168.5,328.8,192.3,340.5,230.5,373.9,208.4,177.7,335.7,190.0,329.5,114.0,251.6,225.6,334.6,167.2,244.8,225.3,144.6,133.6,280.6,218.7,299.4,249.4,277.5,266.0,316.7,359.8,448.7,315.3,259.1,337.9,206.6,300.1,265.8,263.4,225.5,2.7,314.6,326.3,215.4,220.9,184.7,275.8,396.6,251.3
DY,2360.3,2404.3,2325.0,2296.9,2274.0,2360.8,2366.0,2578.4,2351.9,2297.0,2214.7,2329.4,2345.5,2331.8,0.0,2172.6,2512.5,2236.4,2346.5,2227.7,2319.8,2362.7,2133.6,2202.5,2213.6,2512.5,2438.6,2323.8,2262.3,2402.6,2373.7,2329.5,2392.5,2390.1,2192.8,2491.0,2184.0,2428.5,2213.0,2272.2,2324.6,2316.8,2322.5,2343.8,2239.4,2327.7,2145.6,2429.6,2314.1,2345.7,2184.6,2399.1,2365.0,2252.7,2286.5,2589.7,2374.6,2197.8,2271.4,2305.6,2399.1,2286.4,2362.4,2246.1,2334.5,2296.8,2308.5,2314.4,2217.6,2196.7,2429.9,2378.8,2243.5
EB,305.5,328.2,187.3,242.1,117.1,284.7,295.7,523.6,212.6,284.4,162.7,184.5,287.4,277.0,2183.5,0.0,459.3,66.7,270.4,151.6,243.7,286.6,75.5,121.6,137.5,480.6,362.5,269.0,108.1,347.8,328.8,253.4,362.2,314.0,73.8,414.9,125.9,352.4,136.9,120.5,251.1,387.6,267.7,289.0,103.3,245.9,33.2,319.8,241.6,193.2,153.2,344.3,288.9,192.1,168.9,513.6,267.7,166.4,126.5,250.8,323.0,134.7,286.3,102.4,258.4,367.6,379.3,259.6,156.8,155.2,285.0,427.4,185.4
FB,314.5,369.1,427.5,438.9,506.5,438.9,327.7,281.7,412.0,355.8,459.1,442.7,405.4,391.9,2429.1,541.5,0.0,504.5,506.9,476.6,360.3,361.5,484.7,451.4,460.2,0.0,174.6,412.3,440.3,367.4,421.5,350.6,440.3,468.2,524.7,347.3,539.3,396.4,461.9,486.4,424.6,458.7,411.0,322.1,527.4,387.8,478.7,342.0,398.1,454.2,594.5,216.3,406.4,481.0,464.5,257.0,437.0,604.2,449.4,414.3,363.9,471.2,403.8,511.7,394.6,446.5,467.0,397.0,473.0,529.8,337.2,498.8,413.1
FF,301.2,345.2,170.7,237.8,109.4,301.7,306.9,519.3,208.3,280.1,179.7,167.9,253.4,272.7,2200.5,90.9,476.3,0.0,287.4,168.6,260.7,303.6,92.5,138.6,154.5,476.3,379.5,264.7,100.8,343.5,345.8,270.4,379.2,331.0,39.2,431.9,142.9,369.4,153.9,111.9,268.1,381.4,263.4,284.7,74.6,262.9,68.2,303.2,258.6,176.6,121.5,340.0,305.9,149.0,131.8,530.6,234.5,131.2,109.9,246.5,340.0,126.1,303.3,85.8,275.4,361.4,373.1,255.3,176.5,138.6,268.4,443.4,202.4
FG,80.3,2.3,275.6,104.1,404.9,203.9,86.0,356.5,278.1,230.0,174.3,290.8,296.1,258.0,2256.4,243.4,307.0,352.6,0.0,147.3,57.8,146.7,225.1,185.7,175.4,307.0,216.7,215.5,338.7,1.0,277.4,67.5,296.2,233.2,372.8,253.3,275.5,179.8,169.6,384.8,57.5,329.5,214.2,123.5,308.9,253.9,219.1,319.2,159.6,302.3,331.4,177.2,39.3,329.1,362.9,367.8,325.2,344.6,347.8,98.9,137.1,369.6,36.7,311.0,260.7,299.0,310.7,158.5,321.1,270.2,314.4,369.6,261.2
FJ,135.4,121.1,255.5,69.1,384.8,168.9,141.1,364.9,160.0,264.0,79.8,270.7,276.0,139.9,2227.9,235.6,316.9,332.5,118.7,0.0,112.9,134.9,217.3,98.8,80.9,316.9,244.5,96.0,318.6,119.8,312.8,122.6,331.6,198.2,352.7,263.2,267.7,234.9,165.2,364.7,68.7,366.9,94.7,178.6,301.1,135.8,211.3,270.4,238.9,282.2,323.6,205.0,112.4,309.0,342.8,376.2,305.1,336.8,327.7,92.1,217.2,349.5,109.8,390.0,142.6,392.3,404.0,239.2,301.0,262.4,265.6,407.0,241.1
HK,44.1,84.4,217.7,115.6,347.0,237.7,49.8,320.3,220.2,213.2,244.8,232.9,238.2,200.1,2272.9,331.7,270.8,294.7,165.2,163.8,0.0,88.8,241.6,258.4,245.9,270.8,180.5,157.6,280.8,82.7,260.6,9.6,279.4,267.0,314.9,217.1,329.5,143.6,186.1,326.9,87.0,310.6,156.3,87.3,367.9,196.0,235.6,261.3,123.4,244.4,347.9,141.0,68.8,271.2,305.0,331.6,267.3,361.1,289.9,57.9,79.2,311.7,66.2,352.2,202.8,290.6,302.3,122.3,263.2,286.7,256.5,370.4,203.3
HU,159.5,173.0,280.3,247.0,409.6,312.3,172.7,229.9,285.4,200.3,332.5,295.5,278.8,265.3,2415.6,394.3,181.9,357.3,296.6,362.1,164.2,0.0,455.5,346.1,333.6,181.9,109.5,220.2,343.4,171.3,266.0,154.5,284.8,341.6,377.5,128.2,392.1,197.2,319.7,389.5,228.5,303.2,218.9,122.9,430.5,261.2,399.0,215.4,198.9,307.0,481.0,70.0,210.3,333.8,367.6,241.2,310.4,494.2,352.5,222.2,167.8,374.3,207.7,414.8,268.0,291.0,311.5,197.8,325.8,497.4,210.6,343.3,265.9
HW,356.6,400.6,224.7,293.2,173.7,294.4,362.3,574.7,308.2,335.5,211.0,229.1,245.2,288.1,2255.9,72.3,482.9,136.1,342.8,224.0,316.1,359.0,0.0,194.0,209.9,482.9,434.9,320.1,162.0,398.9,401.2,325.8,420.0,323.7,92.5,487.3,83.7,424.8,209.3,171.9,320.9,459.4,318.8,340.1,139.1,284.0,105.6,329.3,310.4,245.4,196.0,395.4,361.3,152.4,186.2,586.0,274.3,209.2,171.1,301.9,395.4,186.1,358.7,145.8,290.8,439.4,451.1,310.7,117.3,198.6,329.6,478.5,143.2
IF,213.6,257.6,249.6,138.7,378.9,163.0,224.7,437.1,64.8,192.5,36.2,264.8,265.3,129.2,2192.3,200.0,386.5,332.2,193.1,81.0,178.5,209.3,186.5,0.0,11.1,386.5,297.3,129.7,312.7,261.3,258.2,188.2,297.0,192.3,224.6,337.6,232.1,281.8,66.3,354.0,177.9,300.8,128.4,202.5,261.0,128.5,180.5,264.5,176.4,271.5,296.3,257.8,218.3,298.3,338.9,448.4,280.0,306.0,321.8,164.3,257.8,338.8,221.1,272.4,136.7,288.6,309.1,173.1,298.1,226.8,259.7,340.9,235.2
IP,193.9,179.6,233.7,127.6,363.0,147.1,205.4,423.4,53.7,210.4,1.0,248.9,254.2,118.1,2181.2,188.9,375.4,316.3,177.2,98.9,191.0,193.4,170.6,17.8,0.0,375.4,303.0,118.6,296.8,178.3,276.1,200.7,309.5,176.4,208.7,321.7,221.0,299.7,84.2,342.9,195.8,313.3,117.3,215.0,256.3,112.6,164.6,248.6,188.9,267.4,280.4,263.5,236.2,284.7,327.8,434.7,283.3,290.1,305.9,176.8,270.3,327.7,233.6,256.5,120.8,345.6,321.6,185.6,282.2,215.7,243.8,353.4,219.3
IS,314.5,369.1,427.5,438.9,506.5,438.9,333.5,281.7,414.7,355.8,449.1,442.7,405.4,391.9,2429.1,520.2,0.0,510.1,506.9,476.6,360.3,361.5,484.7,451.4,460.2,0.0,174.6,412.3,440.3,367.4,421.5,350.6,440.3,468.2,549.4,347.3,539.3,396.4,461.9,486.4,424.6,458.7,411.0,322.1,529.3,386.4,478.7,342.0,351.7,457.4,594.5,216.3,406.4,481.0,471.3,257.0,437.0,604.2,449.4,414.3,363.9,471.2,403.8,511.7,394.6,446.5,467.0,397.0,473.0,529.8,337.2,498.8,413.1
JL,168.7,223.3,281.7,293.1,360.7,293.1,181.9,139.7,266.2,181.1,313.3,296.9,259.6,246.1,2396.4,395.7,96.7,358.7,342.7,278.2,214.5,215.7,356.0,332.3,314.4,96.7,0.0,266.5,294.5,221.6,246.8,204.8,265.6,322.4,378.9,201.5,393.5,180.2,300.5,340.6,247.5,284.0,265.2,176.3,381.6,242.0,350.0,196.2,252.3,308.4,465.8,41.6,229.3,335.2,318.7,151.0,291.2,475.5,303.6,236.4,218.1,325.4,226.7,365.9,248.8,271.8,292.3,251.2,327.2,401.1,191.4,324.1,267.3
JS,187.9,173.6,308.0,121.6,338.7,221.4,193.6,417.4,107.7,253.3,224.8,323.2,328.5,192.4,2235.2,261.3,369.4,390.6,171.2,141.8,165.4,187.4,224.6,100.7,88.2,369.4,297.0,0.0,371.1,172.3,319.0,175.1,352.4,250.7,262.7,315.7,275.0,287.4,172.5,417.2,238.7,356.2,147.2,257.9,303.9,182.6,218.6,322.9,231.8,334.7,330.9,257.5,164.9,359.0,402.1,428.7,357.6,344.1,380.2,219.7,269.7,402.0,162.3,310.5,195.1,344.0,364.5,228.5,353.5,269.7,318.1,396.3,293.6
KC,372.8,310.1,69.8,258.1,66.1,217.4,384.3,406.3,233.9,351.7,227.2,67.0,146.8,211.1,2272.1,130.3,370.0,71.5,307.7,240.2,332.3,323.9,164.1,210.2,226.1,370.0,322.1,246.1,0.0,308.8,417.4,342.0,450.8,246.7,110.8,452.2,128.1,441.0,225.5,46.0,337.1,453.0,244.8,356.3,82.5,201.3,163.6,202.3,330.2,79.8,188.6,394.0,377.5,42.4,30.9,417.6,133.6,201.8,9.0,318.1,411.6,30.8,374.9,71.3,213.8,433.0,444.7,326.9,64.8,153.9,167.5,515.0,80.1
KG,79.2,1.2,274.5,103.0,403.8,202.8,90.7,355.4,279.7,228.9,153.8,289.7,295.0,256.9,2255.3,242.3,305.9,357.1,152.6,146.2,56.7,145.6,224.0,184.6,174.3,305.9,215.6,214.4,337.6,0.0,276.3,66.4,309.7,232.1,370.2,252.2,274.4,178.7,168.5,383.7,56.4,328.4,213.1,122.4,315.4,251.4,218.0,318.1,152.0,304.4,330.3,176.1,38.2,328.0,368.6,366.7,324.1,343.5,346.7,97.8,136.0,368.5,35.6,309.9,259.6,297.9,309.6,157.4,320.0,269.1,313.3,368.5,260.1
KI,294.3,356.0,501.6,346.0,446.2,445.8,280.0,442.3,377.3,129.4,356.7,504.7,522.1,416.8,2269.8,387.7,399.3,449.7,395.6,276.8,334.4,378.4,341.3,339.1,357.8,399.3,302.5,372.9,437.6,354.3,0.0,344.1,33.4,475.1,399.0,420.9,391.7,292.4,327.8,449.6,339.2,73.2,371.6,292.7,411.4,407.0,377.3,498.8,266.6,513.4,330.4,263.0,341.5,457.9,468.6,453.6,551.2,343.6,446.7,320.2,350.8,463.8,338.9,440.6,419.5,53.2,64.9,250.9,422.6,377.2,494.0,135.2,451.2
KO,53.8,74.7,208.0,174.7,337.3,228.0,59.5,322.6,210.5,222.9,235.1,223.2,228.5,190.4,2282.6,322.0,264.0,285.0,224.3,173.5,9.6,79.1,251.3,248.7,236.2,264.0,182.8,147.9,271.1,73.0,270.3,0.0,289.1,257.3,305.2,210.3,319.8,153.3,195.8,317.2,96.7,320.3,146.6,97.0,358.2,186.3,245.3,251.6,133.1,234.7,361.1,143.3,78.5,261.5,295.3,333.9,257.6,370.8,280.2,67.6,69.5,302.0,75.9,342.5,193.1,300.3,312.0,132.0,253.5,296.4,246.8,380.1,193.6
KV,260.9,337.2,482.8,327.2,427.4,427.0,267.0,408.9,358.5,96.0,361.4,485.9,503.3,398.0,2251.0,368.9,380.5,416.3,376.8,258.0,315.6,359.6,322.5,320.3,339.0,380.5,283.7,354.1,418.8,320.9,138.3,325.3,0.0,456.3,402.6,402.1,372.9,273.6,309.0,430.8,323.0,54.4,352.8,273.9,404.7,388.2,358.5,480.0,247.8,494.6,297.0,244.2,322.7,439.1,449.8,434.8,549.0,324.8,427.9,301.4,332.0,445.0,320.1,421.8,400.7,34.4,46.1,232.1,403.8,358.4,475.2,101.8,432.4
LB,417.7,299.0,166.3,247.0,295.6,37.6,423.4,445.2,220.1,440.3,267.2,181.5,186.8,200.0,2350.3,280.3,408.9,243.3,296.6,328.8,373.5,312.8,341.5,280.8,268.3,408.9,422.4,235.0,229.4,297.7,540.6,363.8,559.4,0.0,263.5,441.1,278.1,510.1,314.1,275.5,425.7,534.7,233.7,444.9,316.5,195.9,313.6,241.2,415.2,193.0,370.5,382.9,336.0,219.8,253.6,456.5,215.9,380.2,238.5,406.7,395.1,260.3,333.4,300.8,202.7,514.7,526.4,415.5,211.8,383.4,236.4,596.7,151.9
LM,285.8,330.6,269.3,224.7,175.1,287.1,298.1,504.7,192.9,264.7,165.1,242.5,289.8,272.6,2185.9,76.3,461.7,142.3,272.8,154.0,246.1,289.0,77.9,128.0,154.4,476.2,364.9,264.6,174.6,328.1,330.4,255.8,364.6,316.4,0.0,417.3,128.3,369.3,139.3,178.5,253.5,366.8,248.0,284.6,161.3,248.3,68.1,377.8,258.5,251.2,102.6,324.6,291.3,194.5,205.6,530.5,325.7,116.6,184.5,233.4,325.4,192.7,288.7,160.4,275.3,346.8,358.5,240.7,159.2,74.9,343.0,423.0,187.8
LP,168.6,223.2,238.3,249.7,367.6,249.7,181.8,283.1,222.8,296.4,269.9,253.5,258.8,202.7,2353.0,352.3,235.1,315.3,299.3,331.5,214.4,215.6,413.5,288.9,271.0,235.1,173.2,240.9,301.4,221.5,362.1,204.7,380.9,279.0,335.5,0.0,350.1,292.5,316.8,347.5,278.7,399.3,239.6,218.2,388.5,198.6,336.4,268.6,273.4,265.0,442.5,183.3,260.5,291.8,325.6,294.4,287.9,452.2,310.5,268.4,218.0,332.3,257.9,372.8,205.4,387.1,407.6,272.3,283.8,455.4,263.8,439.4,223.9
LV,399.0,303.3,140.9,251.3,144.4,210.6,404.7,449.5,224.4,377.9,253.4,145.3,161.4,204.3,2298.3,115.1,413.2,92.1,300.9,266.4,358.5,317.1,190.3,241.2,252.3,413.2,426.7,239.3,78.2,302.0,443.6,368.2,462.4,239.9,112.3,445.4,0.0,467.2,251.7,124.3,363.3,479.2,238.0,382.5,149.4,200.2,148.4,245.5,352.8,161.6,219.3,387.2,403.7,68.6,102.4,460.8,190.5,229.0,87.3,344.3,437.8,109.1,401.1,149.6,207.0,459.2,470.9,353.1,46.6,232.2,245.8,541.2,59.4
NO,131.3,228.8,368.2,225.3,375.1,325.1,122.8,326.1,318.9,159.9,233.8,383.4,388.7,296.1,2292.3,297.7,283.1,364.5,274.9,183.2,151.3,240.2,261.0,216.8,232.7,283.1,186.3,252.2,431.3,227.1,207.3,161.0,240.7,354.4,320.2,296.8,311.4,0.0,205.5,373.0,196.7,226.2,250.9,100.9,344.8,290.6,255.0,382.6,130.5,401.9,370.8,146.8,178.5,419.2,462.3,337.4,417.8,380.5,440.4,185.6,223.6,387.2,175.9,346.9,298.8,260.6,272.3,163.3,416.7,306.1,377.8,266.3,353.8
NQ,316.9,360.9,282.6,227.4,221.3,226.1,322.6,535.6,217.2,222.7,80.0,279.8,319.1,197.1,2138.5,125.5,475.2,205.1,277.0,158.2,276.4,293.2,107.2,67.8,78.9,475.2,395.8,254.3,212.7,359.2,270.1,286.1,288.9,255.4,166.4,421.5,157.6,385.7,0.0,219.2,281.2,314.6,253.0,324.9,191.0,193.0,101.2,327.6,297.6,296.1,217.0,356.3,321.6,226.3,236.9,546.9,346.4,226.7,221.8,262.2,355.7,233.4,319.0,193.1,199.8,294.6,306.3,297.9,191.2,152.3,322.8,371.9,217.1
NY,371.2,415.2,105.6,307.8,35.3,257.3,376.9,442.1,267.2,350.1,225.6,102.8,203.8,247.1,2270.5,126.0,405.8,77.2,357.4,238.6,330.7,373.6,162.5,208.6,224.5,405.8,449.5,285.3,56.9,413.5,415.8,340.4,434.6,286.6,97.4,501.9,125.8,439.4,223.9,0.0,335.5,446.9,284.0,354.7,40.9,243.0,159.3,238.1,325.0,100.9,146.0,410.0,375.9,99.4,59.9,453.4,151.2,155.7,47.0,316.5,410.0,14.2,373.3,25.2,249.8,426.9,438.6,325.3,118.8,107.8,203.3,508.9,137.1
OL,170.5,217.1,350.4,156.3,281.6,258.7,184.6,388.6,187.6,169.8,164.4,365.6,370.9,227.1,2198.8,204.2,348.2,268.4,208.5,89.7,132.6,221.5,167.5,128.1,136.6,345.6,251.4,183.2,273.0,212.8,217.2,142.3,253.2,288.0,205.6,352.7,217.9,241.3,112.0,279.5,0.0,271.9,184.5,154.0,258.9,219.9,161.5,394.0,130.5,384.1,273.8,209.3,177.8,284.1,304.0,402.5,416.6,287.0,282.1,115.8,211.9,293.7,175.2,253.4,232.4,241.4,253.1,124.6,248.8,210.0,389.2,312.0,336.0
PO,280.6,342.3,487.9,332.3,432.5,432.1,266.3,428.6,423.2,115.7,343.0,491.0,508.4,403.1,2256.1,366.6,385.6,430.4,381.9,263.1,320.7,364.7,327.6,330.2,344.1,385.6,288.8,359.2,423.9,340.6,190.3,330.4,209.1,461.4,386.8,407.2,378.0,278.7,314.1,435.9,325.5,0.0,357.9,279.0,402.2,399.0,363.6,485.1,236.9,507.3,320.2,249.3,327.8,446.7,448.1,439.9,537.5,329.9,433.0,306.5,337.1,450.1,325.2,426.9,405.8,21.2,8.3,237.2,411.6,363.5,480.3,61.9,437.5
QA,189.2,174.9,309.3,122.9,340.0,222.7,200.7,418.7,109.0,254.6,88.4,324.5,329.8,193.7,2236.5,244.2,370.7,391.9,172.5,143.1,166.7,188.7,225.9,107.4,89.5,370.7,298.3,1.2,372.4,173.6,320.3,176.4,353.7,252.0,264.0,317.0,276.3,288.7,173.8,418.5,240.0,357.5,0.0,259.2,305.2,188.2,219.9,324.2,233.1,336.0,332.2,258.8,166.2,360.3,403.4,430.0,344.5,345.4,381.5,221.0,271.0,403.3,163.6,311.8,196.4,345.3,365.8,229.8,354.8,271.0,319.4,397.6,294.9
QF,71.3,150.8,290.2,165.3,419.5,265.1,57.0,293.9,295.4,157.2,329.8,305.4,310.7,272.6,2362.5,404.2,253.9,372.8,214.9,226.5,91.3,173.2,304.3,336.3,318.4,253.9,154.1,230.1,353.3,149.1,204.6,101.0,238.0,294.4,385.9,218.8,402.0,117.2,248.8,399.4,136.7,267.1,228.8,0.0,440.4,267.1,298.3,319.5,29.5,320.1,410.6,114.6,118.5,341.2,384.3,305.2,339.8,423.8,362.4,125.6,145.6,384.2,115.9,424.7,275.3,242.4,254.1,74.8,338.7,349.4,314.7,307.2,275.8
QM,392.6,332.0,91.5,272.4,87.8,243.2,411.7,432.5,260.3,371.5,278.7,88.7,174.2,233.0,2299.5,136.4,391.7,98.9,329.6,267.6,359.7,345.8,191.5,230.0,245.9,384.1,343.8,263.6,14.0,328.8,437.2,369.4,478.2,272.5,138.2,474.1,155.5,472.9,252.9,67.7,367.1,480.4,274.4,376.1,0.0,221.3,195.5,224.0,355.7,97.4,202.7,420.4,404.9,67.3,45.0,431.7,171.9,223.5,30.7,337.9,439.0,52.5,402.3,93.0,240.2,460.4,472.1,352.4,92.2,168.0,189.2,546.9,107.5
