from_stop,AC,AG,AI,AV,AZ,BB,BF,BJ,BP,BQ,CL,CP,CQ,CR,CT,CU,CZ,DI,DL,DZ,EB,EE,EI,EJ,EN,EP,ET,FC,FJ,FL,FP,FW,GB,GE,GG,GN,GO,GS,GT,HI,HJ,HV,IA,IB,ID,IE,IG,II,IK,IL,IR,IS,IW,JA,JC,JG,JI,JK,JP,KE,KI,KK,KM,KQ,KX,KY,LB,LG,LI,LJ,LY,MF,MP,MS,MT,MZ,NB,ND,NE,NF,NM,NN,NY,NZ,OA,OD,OE,OI,OK,ON,OT,OW,OZ,PA,PD,PJ,PN,PO,PQ,PR,PU,PV,PW,QD,QP,QR,QV,RA,RC,RF,RK,RO,RQ,RR,RS,RV,SD,SI,SL,SM,SN,TA,TC,TJ,TL,TV,UD,UE,UF,UJ,UL,UM,UN,UQ,UZ,VA,VD,VE,VG,VQ,VV,WC,WD,WE,WL,WT,XA,XJ,XL,XP,XT,YA,YL,YM,YN,YT,YV,ZO,ZW,ZX
CL,677.3,251.1,221.6,407.4,724.6,640.9,290.0,134.4,664.0,211.7,0.0,737.6,285.9,564.7,703.9,714.6,485.3,194.2,603.1,226.1,632.1,215.8,643.2,616.1,224.8,571.7,711.8,601.6,659.6,211.6,220.3,220.0,681.2,544.8,768.6,745.0,250.3,340.7,195.9,540.4,777.9,648.4,263.4,147.8,253.7,294.3,154.7,561.0,516.6,722.1,258.1,315.3,602.1,117.5,706.4,655.0,274.2,187.1,265.2,589.5,472.8,283.2,402.0,701.0,680.9,188.0,554.9,630.7,309.6,371.0,479.5,261.3,87.9,624.2,678.7,274.5,258.8,237.8,285.3,613.0,427.7,247.9,244.4,620.8,582.0,661.1,244.7,346.3,246.9,648.8,254.3,293.5,346.0,180.5,278.9,400.2,720.8,169.3,632.8,617.3,611.2,104.0,192.0,656.9,656.2,130.3,258.1,732.2,312.1,669.1,239.3,696.5,655.0,480.2,186.0,276.5,302.5,652.2,1767.8,568.7,122.6,676.5,449.7,115.8,696.4,175.7,472.4,629.7,676.1,486.3,662.8,186.7,284.6,177.5,516.4,191.4,235.7,142.7,69.5,484.6,179.8,255.2,801.1,627.0,267.2,528.1,671.8,234.6,602.9,382.0,201.0,764.2,669.9,509.8,166.5,617.1,621.9,537.8,269.1,379.4
CP,281.5,681.6,778.6,439.0,328.8,236.0,893.3,805.4,250.2,818.3,804.7,0.0,853.2,349.4,400.4,308.9,425.7,889.3,240.9,856.7,158.6,885.7,329.9,330.2,828.1,344.3,306.1,128.1,193.7,656.7,659.6,806.7,261.6,330.1,372.8,393.0,663.8,592.4,753.9,413.2,382.1,207.8,866.7,763.3,845.2,897.6,684.6,247.7,555.2,326.3,937.4,552.8,288.8,756.7,341.1,304.7,601.2,790.4,868.5,276.2,436.0,919.6,1001.6,397.5,377.4,824.2,373.7,309.2,774.9,497.0,419.9,700.6,781.8,105.9,375.2,734.3,643.6,630.7,613.6,299.7,513.8,851.2,847.7,210.8,324.0,138.6,670.4,596.1,712.2,150.9,857.6,758.8,594.2,732.7,882.2,501.7,417.3,777.5,165.5,157.8,334.3,725.3,795.3,75.2,280.0,745.8,861.4,428.7,751.8,360.8,842.6,204.5,304.7,405.5,841.3,884.4,905.8,316.5,2262.3,255.4,743.9,280.7,328.0,719.1,300.6,727.0,466.2,227.0,112.7,437.8,204.3,749.5,879.1,785.7,269.5,749.4,843.9,668.7,796.8,483.5,878.7,857.2,405.3,324.1,864.7,390.1,179.8,837.9,289.6,540.2,824.7,368.4,309.5,276.1,769.8,292.9,299.2,457.5,948.4,537.6
CQ,732.1,291.4,288.6,462.2,779.4,704.6,74.9,158.4,718.8,247.0,236.2,792.4,0.0,619.5,758.7,769.4,540.1,140.1,657.9,122.7,686.9,104.6,698.0,670.9,114.1,626.5,766.6,656.4,714.4,266.4,269.3,72.7,730.2,599.6,823.4,799.8,333.8,395.5,250.7,595.2,832.7,697.4,105.6,214.8,64.1,136.5,213.4,615.8,565.6,776.9,191.8,370.1,656.9,125.3,761.2,709.8,330.8,76.4,107.4,644.3,527.6,138.5,182.9,755.8,735.7,192.8,608.9,685.5,384.6,425.8,534.3,310.3,213.3,679.0,733.5,320.6,307.8,321.3,371.4,667.8,482.5,90.7,29.3,679.4,642.4,715.9,328.2,413.4,321.9,703.6,96.5,368.5,400.8,229.5,121.1,455.0,775.6,166.1,681.8,672.1,666.0,176.8,42.3,711.7,711.0,197.3,100.3,787.0,338.1,719.1,98.5,751.3,709.8,564.3,107.3,50.9,87.4,707.0,1743.5,623.5,195.4,731.3,504.5,120.3,751.2,248.5,527.2,684.5,725.1,541.1,717.6,259.5,98.0,174.3,571.2,246.2,109.9,197.5,198.9,533.6,129.5,94.4,855.9,682.4,28.3,582.9,726.6,32.5,657.7,436.8,90.7,819.0,722.4,564.6,133.1,671.9,676.7,592.6,202.8,434.2
CR,260.0,513.0,550.8,151.3,307.3,186.5,669.5,596.3,200.7,594.5,570.5,335.2,629.4,0.0,258.3,148.8,151.8,601.6,185.8,639.3,199.3,629.0,135.9,146.0,604.3,6.0,146.0,221.3,216.5,428.9,431.8,582.9,212.1,64.5,351.3,299.4,376.1,304.7,530.1,62.7,360.6,207.3,642.9,539.5,621.4,673.8,460.8,110.4,223.1,304.8,649.7,265.1,69.3,532.9,260.8,89.2,313.5,566.6,644.7,110.7,85.5,696.4,713.9,247.7,235.3,601.2,45.7,167.1,547.1,209.3,146.0,472.8,558.0,245.0,225.4,506.5,355.9,343.0,325.9,94.5,226.1,627.4,623.9,140.0,21.8,234.9,382.7,308.4,484.4,222.6,633.8,531.0,306.5,508.9,658.4,214.0,275.2,553.7,183.9,241.2,45.4,501.5,571.5,277.7,128.7,522.0,637.6,286.6,524.0,211.0,618.8,230.5,89.2,55.0,599.2,660.6,682.0,87.9,1934.3,102.6,520.1,259.2,133.6,495.3,279.1,499.2,239.5,194.4,227.2,163.9,227.5,521.7,655.3,561.9,105.1,525.6,643.1,444.9,509.1,195.8,591.0,633.4,383.8,182.0,640.9,39.6,245.6,614.1,68.6,252.5,614.2,346.9,167.4,98.5,546.0,51.3,204.6,72.6,660.7,249.9
CT,214.3,693.9,731.7,339.7,219.1,237.5,850.4,716.1,251.7,791.8,710.4,386.2,818.0,284.2,0.0,196.0,355.8,745.4,282.6,765.1,359.4,772.8,345.3,149.3,815.0,279.1,159.8,361.9,267.5,609.8,612.7,759.0,263.1,305.8,161.7,129.9,560.4,485.6,711.0,348.0,213.2,367.4,823.8,720.4,807.4,854.7,641.7,291.3,361.0,175.8,748.6,487.0,250.2,699.2,91.3,244.7,494.4,777.3,825.6,291.6,358.2,840.2,812.8,151.6,32.7,721.0,255.3,133.0,728.0,346.8,350.0,653.7,716.5,364.5,129.3,687.4,536.8,527.3,506.8,315.1,363.6,838.1,804.8,191.0,258.8,289.3,567.0,536.3,665.3,301.6,814.7,711.9,466.0,689.8,839.3,402.4,57.1,751.0,234.9,323.1,240.8,682.4,752.4,354.6,189.4,702.9,818.5,68.5,704.9,114.9,829.5,281.5,244.7,340.3,725.0,811.9,921.8,213.0,1909.5,283.5,701.0,213.5,368.1,676.2,133.1,680.1,443.5,354.5,278.2,367.9,355.0,702.6,815.9,759.2,309.6,706.5,768.9,625.8,649.0,359.7,734.8,785.6,194.2,89.4,846.4,280.9,314.2,850.6,249.5,393.4,740.0,214.9,129.2,316.2,726.9,232.9,340.9,263.3,759.6,409.4
CU,193.6,659.6,697.4,297.9,240.9,127.9,816.1,738.9,142.1,741.1,717.1,276.6,776.0,145.5,197.1,0.0,298.4,748.2,173.0,785.9,244.4,775.6,209.5,155.2,750.9,140.4,56.5,266.4,157.9,575.5,578.4,729.5,153.5,209.7,284.9,238.2,522.7,451.3,676.7,209.3,294.2,252.4,789.5,686.1,768.0,820.4,607.4,155.5,374.5,238.4,771.4,411.7,114.4,722.0,199.6,106.0,460.1,713.2,791.3,155.8,232.1,843.0,835.6,176.2,174.1,743.8,192.3,128.5,693.7,355.9,292.6,619.4,704.6,254.9,153.9,653.1,502.5,489.6,472.5,179.3,372.7,774.0,770.5,81.4,120.1,179.7,529.3,455.0,631.0,192.0,780.4,677.6,453.1,655.5,805.0,360.6,214.0,700.3,125.3,213.5,130.4,648.1,718.1,245.0,99.3,668.6,784.2,225.4,670.6,139.5,765.4,171.9,106.0,201.6,745.8,807.2,828.6,135.8,2080.9,147.7,666.7,192.8,258.5,641.9,212.7,645.8,386.1,239.5,168.6,310.5,245.4,668.3,801.9,708.5,200.0,672.2,789.7,591.5,655.7,342.4,737.6,780.0,317.4,132.0,787.5,186.2,204.6,760.7,113.7,399.1,760.8,280.5,95.9,206.6,692.6,94.2,249.7,276.8,782.4,396.5
CZ,324.9,405.4,443.2,43.7,372.2,297.4,561.9,488.7,311.6,486.9,462.9,425.9,521.8,150.9,342.0,300.8,0.0,494.0,250.7,531.7,282.2,521.4,290.8,254.2,496.7,157.9,298.0,304.2,307.2,321.3,324.2,475.3,323.0,190.3,416.2,383.1,268.5,197.1,422.5,134.2,425.5,290.2,535.3,431.9,513.8,566.2,353.2,208.6,148.9,369.7,542.1,157.5,221.3,425.3,344.5,241.2,205.9,459.0,537.1,237.1,66.6,588.8,606.3,339.1,319.0,493.6,151.5,268.8,439.5,101.7,6.5,365.2,450.4,327.9,316.8,398.9,248.3,235.4,218.3,260.6,118.5,519.8,516.3,272.2,173.8,317.8,275.1,200.8,376.8,305.5,526.2,423.4,198.9,401.3,550.8,106.4,358.9,446.1,274.6,324.1,197.4,393.9,463.9,360.6,280.7,414.4,530.0,370.3,416.4,302.4,511.2,321.2,241.2,103.3,491.6,553.0,574.4,239.9,1993.3,216.3,412.5,324.1,97.3,387.7,344.0,391.6,87.6,277.3,317.9,12.0,310.4,414.1,547.7,454.3,164.0,418.0,535.5,337.3,401.5,88.2,483.4,525.8,448.7,265.7,533.3,175.7,328.5,506.5,220.6,144.9,506.6,411.8,305.7,157.4,438.4,203.3,269.5,162.7,553.1,142.3
DI,767.7,327.0,329.0,461.9,815.0,731.3,196.2,155.2,754.4,306.7,202.1,828.0,97.4,611.6,742.7,761.5,524.9,0.0,693.5,81.8,722.5,27.3,733.6,654.9,131.7,618.6,741.9,692.0,750.0,302.0,304.9,75.7,765.8,635.2,815.6,783.8,268.0,405.1,286.3,594.9,819.8,733.0,151.6,255.2,65.2,182.5,249.0,651.4,565.3,782.4,93.8,345.7,692.5,160.9,745.2,701.9,364.6,94.0,153.4,679.9,527.3,94.7,233.8,739.8,719.7,160.1,612.2,669.5,420.2,425.5,519.1,345.9,201.1,714.6,717.5,332.9,343.4,255.5,297.2,703.4,482.2,136.7,150.6,715.0,634.5,751.5,262.4,393.4,357.5,739.2,142.5,404.1,361.3,265.1,167.1,454.7,715.0,190.1,717.4,707.7,658.1,217.2,106.3,747.3,695.0,237.7,146.3,771.0,370.5,707.9,144.5,786.9,701.9,556.8,41.7,91.3,208.7,700.6,1719.9,659.1,235.8,766.9,540.1,155.9,786.8,288.9,562.8,720.1,760.7,537.0,753.2,299.9,90.3,198.3,606.8,281.8,85.6,233.1,129.3,533.3,8.9,66.7,848.1,665.8,125.8,618.5,762.2,130.0,693.3,436.5,56.7,821.5,706.4,600.2,168.7,664.0,712.3,596.8,104.8,396.2
DL,125.4,569.5,607.3,267.7,172.7,97.9,722.0,634.1,112.1,647.0,633.4,226.4,681.9,206.1,262.3,170.8,254.4,718.0,0.0,685.4,148.0,714.4,176.6,192.1,656.8,201.0,168.0,170.0,107.7,485.4,488.3,635.4,123.5,176.8,216.7,236.9,492.5,421.1,582.6,269.9,226.0,156.0,695.4,592.0,673.9,726.3,513.3,94.4,417.1,170.2,766.1,381.5,135.5,585.4,185.0,166.6,429.9,619.1,697.2,122.9,292.7,748.3,830.3,259.4,239.3,652.9,202.4,171.1,603.6,325.7,248.6,529.3,610.5,193.7,237.1,563.0,472.3,459.4,442.3,146.4,342.5,679.9,676.4,72.7,180.7,129.5,499.1,424.8,540.9,141.8,686.3,587.5,422.9,561.4,710.9,330.4,281.0,606.2,75.1,163.3,191.0,554.0,624.0,194.8,141.9,574.5,690.1,290.6,580.5,222.7,671.3,121.7,166.6,262.2,670.0,713.1,734.5,178.4,2102.1,102.1,572.6,124.6,156.7,547.8,144.5,555.7,294.9,143.1,118.4,266.5,176.2,578.2,707.8,614.4,98.2,578.1,672.6,497.4,625.5,312.2,707.4,685.9,249.2,186.0,693.4,176.4,154.4,666.6,136.3,368.9,653.4,212.3,171.4,104.8,598.5,154.8,129.5,319.4,777.1,366.3
DZ,752.7,312.0,309.2,482.8,800.0,716.3,199.9,179.0,739.4,223.3,242.2,813.0,161.7,640.1,764.8,790.0,560.7,64.2,678.5,0.0,707.5,91.6,718.6,677.0,116.7,647.1,787.2,677.0,735.0,287.0,289.9,60.7,750.8,620.2,844.0,805.9,308.1,416.1,271.3,615.8,841.9,718.0,173.3,235.4,129.5,204.2,234.0,636.4,586.2,797.5,115.9,390.7,677.5,145.9,767.3,730.4,349.6,79.0,175.1,664.9,548.2,159.0,255.9,761.9,741.8,213.4,629.5,691.6,405.2,446.4,554.9,330.9,233.9,699.6,739.6,364.6,328.4,295.6,337.3,688.4,503.1,139.8,154.3,696.2,657.4,736.5,302.5,432.4,342.5,724.2,164.2,389.1,421.4,250.1,188.8,475.6,737.1,186.7,702.4,692.7,686.6,197.4,101.9,732.3,717.1,217.9,168.0,793.1,402.2,730.0,131.2,771.9,730.4,584.9,31.4,120.9,212.4,727.6,1724.5,644.1,216.0,751.9,525.1,140.9,771.8,269.1,547.8,705.1,745.7,561.7,738.2,280.1,116.2,194.9,591.8,266.8,70.6,218.1,169.4,554.2,53.6,87.3,876.5,688.5,190.1,603.5,747.2,144.5,678.3,457.4,41.7,839.6,728.5,585.2,153.7,692.5,697.3,618.9,126.9,436.3
