from_stop,AI,AQ,AR,AY,BA,BE,BJ,BK,BM,BR,BS,BW,BX,CB,CE,CL,CM,CO,CR,CV,CW,DA,DE,DG,DL,DT,DW,EE,EO,FA,FH,FJ,FK,FL,FS,FU,FY,FZ,GB,GL,GN,GS,GW,GX,HJ,HL,HN,HS,HU,HY,IA,IE,IF,IR,IS,IT,IV,IY,JI,JO,JR,JT,JU,JW,KH,KT,LB,LC,LE,LF,LV,ML,MN,MS,MV,MW,MY,ND,NE,NG,NN,NO,NR,OG,OH,OM,OW,PF,PH,PK,PP,QA,QT,QU,QW,QX,QY,QZ,RA,RB,RI,SA,SC,SJ,SL,SS,SU,SV,SY,TB,TC,TI,TK,TL,TN,TP,TR,UE,UG,UH,UJ,UL,UO,UX,VF,VH,VI,VK,VM,VW,VX,VZ,WD,WI,WJ,WL,WO,WS,WX,XG,XH,XI,XJ,XP,XY,YJ,YO,YT,ZH,ZI,ZK,ZN
BS,102.7,747.1,120.0,172.9,96.6,580.6,598.2,87.7,156.7,208.2,0.0,434.6,628.2,827.4,749.9,790.9,714.2,463.9,694.9,207.8,715.6,381.7,290.6,92.7,234.2,772.4,151.9,331.8,360.8,548.3,236.6,216.1,299.1,82.4,312.1,631.5,677.9,246.0,671.4,132.0,219.8,595.3,715.5,227.9,272.8,71.7,706.1,662.3,678.0,684.9,153.8,680.0,180.6,751.6,646.9,278.5,832.1,694.5,267.5,116.8,213.2,610.6,770.8,638.1,726.4,579.3,477.6,384.2,636.7,713.3,640.4,258.6,176.3,208.7,145.5,221.7,505.8,704.3,236.6,159.8,278.4,642.2,318.7,587.5,340.9,295.6,266.2,64.6,139.3,714.2,52.1,256.0,91.8,237.0,663.4,757.2,173.0,605.4,137.0,200.0,2015.5,160.3,627.1,82.5,191.8,635.1,100.8,615.1,252.8,551.1,807.7,674.5,651.8,237.0,140.4,866.1,229.0,413.2,290.3,192.0,192.5,772.9,831.9,200.4,110.9,307.1,150.0,208.9,766.3,192.2,736.7,703.6,809.2,63.6,203.4,776.0,168.6,712.4,155.6,303.9,719.3,107.7,212.2,616.1,219.9,92.8,843.8,177.6,787.6,300.6,230.9,132.4
BW,362.1,421.1,482.9,465.6,426.6,254.6,257.6,480.2,449.4,510.7,450.7,0.0,302.2,501.4,528.9,460.5,512.0,166.4,388.7,304.2,352.3,104.9,294.3,382.8,536.7,449.5,426.6,100.2,141.0,222.3,539.1,537.4,122.9,378.0,180.6,305.5,351.9,177.5,308.1,494.9,512.5,256.0,389.5,546.2,280.5,401.7,380.1,336.3,352.0,321.6,430.9,316.7,483.1,425.6,307.6,593.9,506.1,368.5,271.2,409.6,515.7,284.6,503.7,312.1,402.0,253.3,161.3,118.1,329.5,386.8,281.0,592.8,301.1,542.1,448.0,524.2,189.5,359.0,539.1,434.5,443.1,321.7,161.2,228.1,166.2,608.7,156.8,384.2,325.4,493.2,413.8,571.4,415.7,539.5,337.4,393.9,401.0,279.4,459.6,502.5,1896.1,462.8,301.1,412.5,494.3,275.7,463.7,289.1,568.2,225.1,488.6,344.0,325.8,539.5,473.8,540.1,521.7,147.1,131.7,320.4,416.7,465.7,505.9,521.7,413.4,129.6,503.6,542.3,449.7,394.5,410.7,377.6,469.5,411.6,524.7,548.7,493.8,407.9,364.5,264.4,384.3,416.6,376.9,290.1,522.4,440.8,517.8,338.7,480.4,603.1,523.6,352.3
BX,596.2,265.9,735.8,643.3,679.5,212.6,135.8,657.9,627.1,756.0,702.1,343.6,0.0,346.2,380.4,309.7,348.4,279.3,317.5,481.9,276.8,350.2,539.6,635.7,782.0,291.2,604.3,345.5,386.3,180.6,784.4,749.6,368.2,612.1,425.9,191.6,196.7,422.8,265.9,747.8,681.1,213.8,234.3,721.0,510.8,654.6,327.3,186.0,196.8,279.4,667.7,274.5,728.4,270.4,184.8,771.6,350.9,213.3,516.5,636.1,761.0,134.6,348.5,156.9,245.2,211.6,239.4,363.4,190.6,254.9,154.3,751.7,544.5,723.0,693.3,769.5,284.3,245.9,784.4,612.2,620.8,180.1,406.5,146.5,410.1,788.7,402.1,620.6,561.8,348.4,659.1,749.1,593.4,784.8,182.2,303.2,578.7,140.6,704.9,747.8,1837.0,708.1,88.3,665.4,739.6,178.0,716.6,205.6,745.9,167.2,333.4,198.2,211.9,784.8,651.5,384.9,690.3,392.4,377.0,565.7,594.4,291.7,350.7,745.6,658.7,374.9,681.3,720.0,294.5,572.2,255.5,222.4,314.3,621.6,751.2,374.7,699.9,356.2,542.2,515.4,257.5,650.7,554.6,237.3,767.7,639.9,362.6,580.4,306.4,862.2,641.5,590.5
CB,744.7,94.8,884.3,791.8,828.0,422.5,302.3,806.4,775.6,904.5,850.6,492.1,315.5,0.0,203.2,135.4,171.2,427.8,189.0,630.4,212.7,498.7,688.1,784.2,930.5,172.3,752.8,494.0,534.8,329.1,932.9,912.4,516.7,760.6,574.4,364.1,159.3,571.3,249.7,896.3,829.6,281.7,174.5,869.5,659.3,803.1,506.4,412.1,247.8,263.2,816.2,258.3,876.9,85.3,272.8,920.1,4.6,143.2,665.0,784.6,909.5,360.7,171.3,237.2,181.1,360.1,387.9,511.9,317.3,237.9,320.8,900.2,693.0,871.5,841.8,918.0,432.8,228.9,932.9,760.7,769.3,268.1,555.0,313.0,558.6,937.2,550.6,769.1,710.3,171.2,807.6,897.6,741.9,933.3,241.7,239.1,727.2,360.4,853.4,896.3,1901.6,856.6,314.4,813.9,888.1,344.5,865.1,347.7,894.4,315.7,156.2,424.3,384.4,933.3,800.0,56.6,838.8,540.9,525.5,714.2,742.9,143.1,4.5,894.1,807.2,523.4,829.8,868.5,117.3,720.7,105.5,140.9,137.1,770.1,899.7,197.5,848.4,252.3,690.7,663.9,213.4,799.2,703.1,405.2,916.2,788.4,14.3,728.9,157.8,1010.7,790.0,739.0
CE,761.5,181.3,901.1,808.6,844.8,446.9,319.1,823.2,792.4,921.3,867.4,508.9,332.3,205.8,0.0,225.1,56.7,444.6,212.9,647.2,229.5,515.5,704.9,801.0,947.3,263.9,769.6,510.8,551.6,345.9,949.7,827.2,533.5,777.4,591.2,380.9,176.1,588.1,266.5,913.1,846.4,298.5,242.1,886.3,676.1,819.9,572.4,428.9,319.2,280.0,833.0,275.1,893.7,130.0,289.6,936.9,210.5,160.0,681.8,801.4,926.3,377.5,89.6,254.0,197.9,376.9,404.7,528.7,406.8,254.7,337.6,917.0,709.8,888.3,858.6,934.8,449.6,245.7,949.7,777.5,786.1,284.9,571.8,329.8,575.4,954.0,567.4,785.9,727.1,56.7,824.4,914.4,758.7,950.1,258.5,255.9,744.0,383.5,870.2,913.1,1777.7,873.4,331.2,830.7,904.9,361.3,881.9,364.5,911.2,332.5,126.5,441.1,401.2,950.1,816.8,244.5,855.6,557.7,542.3,731.0,759.7,159.9,210.3,910.9,824.0,540.2,846.6,885.3,85.1,737.5,170.9,195.1,128.0,786.9,916.5,94.8,865.2,276.2,707.5,680.7,230.2,816.0,719.9,482.4,933.0,805.2,222.2,745.7,174.6,1027.5,806.8,755.8
CL,705.1,55.2,834.3,746.3,782.5,384.6,256.8,760.9,730.1,854.5,805.1,446.6,270.0,179.3,213.5,0.0,177.0,388.2,132.6,584.9,167.2,453.2,638.1,738.7,885.0,207.4,702.8,448.5,489.3,283.6,887.4,872.8,471.2,721.0,528.9,318.6,113.8,525.8,185.2,846.3,784.1,242.1,179.8,829.9,609.3,757.6,505.6,362.1,279.8,174.1,770.7,179.8,831.4,103.5,227.3,874.6,184.0,97.7,619.5,745.0,864.0,315.2,181.6,191.7,131.1,314.6,342.4,466.4,324.7,192.4,275.3,850.2,647.5,826.0,791.8,868.0,382.8,183.4,887.4,715.2,723.8,228.5,505.0,267.5,491.2,889.4,505.1,729.5,664.8,177.0,762.1,852.1,696.4,887.8,202.1,193.6,681.7,321.2,803.4,850.8,1813.1,811.1,268.9,768.4,842.6,304.9,819.6,297.7,848.9,270.2,166.5,384.7,338.9,887.8,754.5,218.0,793.3,490.9,480.0,668.7,697.4,120.3,179.3,848.6,761.7,477.9,784.3,823.0,127.6,675.2,49.1,128.3,147.4,724.6,849.7,203.3,808.8,195.9,645.2,624.3,154.1,753.7,657.6,406.7,870.7,742.9,195.7,683.4,145.4,965.2,744.5,689.0
CM,728.4,148.2,868.0,775.5,811.7,413.8,286.0,790.1,759.3,888.2,834.3,497.2,299.2,172.7,35.6,192.0,0.0,411.5,179.8,614.1,196.4,482.4,667.7,767.9,914.2,238.4,736.5,477.7,518.5,312.8,916.6,770.4,500.4,744.3,558.1,347.8,143.0,555.0,233.4,880.0,813.3,265.4,209.0,853.2,643.0,786.8,539.3,395.8,286.1,246.9,799.9,242.0,860.6,96.9,256.5,903.8,177.4,126.9,648.7,768.3,893.2,344.4,56.5,220.9,164.8,343.8,371.6,495.6,373.7,221.6,304.5,883.9,676.7,855.2,825.5,901.7,416.5,212.6,916.6,744.4,753.0,251.8,538.7,296.7,524.9,920.9,534.3,752.8,694.0,0.0,791.3,881.3,725.6,917.0,225.4,222.8,710.9,350.4,837.1,880.0,1720.9,840.3,298.1,797.6,871.8,328.2,848.8,331.4,878.1,299.4,93.4,408.0,368.1,917.0,783.7,211.4,822.5,538.6,509.2,697.9,726.6,126.8,177.2,877.8,790.9,507.1,813.5,852.2,52.0,704.4,137.8,162.0,94.9,753.8,883.4,61.7,832.1,192.6,674.4,647.6,197.1,782.9,686.8,449.3,899.9,772.1,189.1,712.6,141.5,994.4,773.7,722.7
CO,378.7,332.6,518.3,523.8,462.0,166.1,220.5,538.4,507.6,546.1,486.1,133.7,213.7,412.9,447.1,368.6,415.1,0.0,384.2,362.4,343.5,140.3,325.6,418.2,572.1,365.5,484.8,135.6,176.4,133.8,574.5,554.0,158.3,394.6,216.0,217.0,263.4,212.9,333.4,530.3,561.6,262.8,301.0,601.5,297.1,437.1,291.6,247.8,263.5,346.9,548.2,342.0,518.5,337.1,269.5,652.1,417.6,280.0,306.6,426.2,551.1,196.1,415.2,223.6,311.9,164.8,63.1,153.5,222.2,321.6,239.0,632.2,336.5,603.5,483.4,559.6,72.7,312.6,574.5,492.7,501.3,264.8,196.6,231.2,182.8,666.5,192.2,448.0,360.8,415.1,449.2,629.6,473.9,574.9,248.9,369.9,459.2,190.9,495.0,537.9,1905.4,498.2,212.6,447.9,529.7,262.7,499.1,200.6,626.4,136.6,400.1,260.0,237.3,574.9,532.0,451.6,570.8,196.5,167.1,355.8,474.9,358.4,417.4,538.3,448.8,165.0,561.8,600.5,361.2,452.7,322.2,289.1,381.0,447.0,541.3,441.4,580.4,422.9,422.7,328.2,324.2,433.2,435.1,201.6,557.8,476.2,429.3,374.1,373.1,638.5,522.0,416.1
CR,684.2,86.0,823.8,731.3,767.5,369.6,207.6,745.9,715.1,844.0,790.1,389.7,255.0,184.3,122.3,129.8,86.6,367.3,0.0,569.9,72.4,421.5,627.6,723.7,870.0,186.6,692.3,433.5,416.5,268.6,849.3,745.4,456.2,700.1,513.9,303.6,98.8,510.8,68.3,835.8,769.1,159.2,164.8,809.0,598.8,742.6,495.1,351.6,241.9,53.6,755.7,59.3,816.4,108.5,210.8,859.6,189.0,82.7,604.5,724.1,849.0,300.2,143.2,176.7,102.0,299.6,327.4,413.6,329.5,154.8,260.3,839.7,632.5,811.0,781.3,857.5,372.3,145.8,849.3,700.2,708.8,206.1,494.5,196.9,449.4,876.7,490.1,708.6,649.8,86.6,747.1,837.1,681.4,848.9,181.2,128.8,666.7,306.2,792.9,835.8,1680.4,796.1,253.9,753.4,827.6,244.5,804.6,287.2,833.9,255.2,180.1,363.8,323.9,848.9,739.5,186.6,778.3,442.6,465.0,653.7,682.4,129.8,188.8,833.6,746.7,462.9,769.3,808.0,138.7,660.2,75.6,117.8,181.6,709.6,839.2,148.4,787.9,75.4,630.2,603.4,85.1,738.7,642.6,405.1,855.7,727.9,183.9,668.4,144.5,888.2,729.5,678.5
CV,121.0,544.2,270.3,161.3,214.0,381.7,432.1,175.9,145.1,384.3,220.1,295.6,425.3,624.5,683.6,588.0,647.9,324.9,628.6,0.0,555.1,242.7,228.0,190.1,343.8,569.5,122.3,192.8,243.2,345.4,341.3,362.7,181.4,179.8,170.4,428.6,475.0,150.4,560.2,282.3,208.2,508.1,512.6,239.0,117.3,189.1,507.2,463.4,475.1,573.7,185.7,568.8,356.7,548.7,481.1,289.6,629.2,491.6,204.9,246.8,322.8,411.7,626.8,435.2,523.5,376.4,338.6,266.6,437.8,533.2,450.6,269.7,99.5,237.8,321.6,331.3,366.8,524.2,341.3,130.2,138.8,476.4,219.7,442.8,223.3,306.7,170.6,138.6,79.8,647.9,263.4,267.1,111.4,340.9,460.5,581.5,96.7,406.5,284.2,333.2,1985.2,336.4,424.2,199.9,367.9,474.3,251.1,412.2,263.9,348.2,611.7,475.6,448.9,340.9,169.5,663.2,217.4,295.6,190.2,126.9,112.4,570.0,629.0,263.6,287.0,173.5,199.3,238.0,572.8,90.2,533.8,500.7,592.6,139.6,313.0,653.0,217.9,646.1,60.2,148.4,535.8,205.1,72.6,417.2,329.5,157.9,640.9,98.4,584.7,380.2,219.3,108.5
CW,654.9,127.2,794.5,702.0,738.2,340.3,212.5,716.6,685.8,814.7,760.8,381.6,225.7,212.3,200.7,171.0,165.0,338.0,78.3,540.6,0.0,408.9,598.3,694.4,840.7,139.3,663.0,404.2,406.0,239.3,843.1,734.9,426.9,670.8,484.6,274.3,69.5,481.5,57.8,806.5,739.8,191.9,117.5,779.7,569.5,713.3,465.8,322.3,212.6,43.1,726.4,48.8,787.1,136.5,183.0,830.3,217.0,79.4,575.2,694.8,819.7,270.9,214.6,147.4,30.8,270.3,298.1,422.1,300.2,111.8,231.0,810.4,603.2,781.7,752.0,828.2,343.0,102.8,843.1,670.9,679.5,178.3,465.2,186.4,468.8,847.4,460.8,679.3,620.5,165.0,717.8,807.8,652.1,843.5,151.9,41.5,637.4,276.9,763.6,806.5,1768.8,766.8,224.6,724.1,798.3,254.7,775.3,257.9,804.6,225.9,199.5,334.5,294.6,843.5,710.2,217.4,749.0,451.1,435.7,624.4,653.1,157.8,216.8,804.3,717.4,433.6,740.0,778.7,160.6,630.9,116.8,70.5,180.4,680.3,809.9,240.8,758.6,97.5,600.9,574.1,31.9,709.4,613.3,375.8,826.4,698.6,214.7,639.1,172.5,920.9,700.2,649.2
