from_stop,AE,AH,AI,AM,AO,AQ,AR,AW,BC,BQ,BT,BX,CB,CJ,CT,DN,DP,DQ,DV,EG,EK,EP,EV,FL,FZ,GB,GE,GK,GQ,GR,GU,GZ,HE,HQ,ID,II,IK,IQ,IT,IU,JD,JM,JO,JX,KA,KD,KL,LF,LI,LT,LW,LY,MF,MG,MI,MJ,MK,MT,MU,MV,NC,NG,OI,OP,OQ,OW,PC,PZ,QL,QP,QW,QY,RD,RU,SC,SH,SI,SN,SP,SR,SX,TD,TH,TM,TS,TU,UA,UB,UH,UU,VB,VJ,WA,XA,XQ,XR,XT,YC,YK,YN,YS,YU,ZD,ZP,ZR,ZW,ZX
BT,2039.3,221.3,311.5,191.3,188.7,83.1,206.9,188.7,188.9,376.3,0.0,95.8,308.6,76.7,428.2,172.7,352.9,168.3,50.8,50.0,158.2,290.6,339.9,4.6,239.5,323.6,207.7,2.5,169.4,193.9,311.4,206.6,158.2,367.7,347.2,399.1,369.4,397.7,176.8,280.4,83.6,21.8,222.5,300.0,265.4,228.1,375.9,293.4,105.0,106.5,155.7,267.3,327.5,184.0,48.4,350.6,156.6,396.0,329.9,348.8,135.8,42.1,327.3,290.4,81.7,381.8,133.4,405.5,188.0,83.8,254.4,330.5,208.5,357.3,201.8,273.9,48.2,303.0,220.3,107.1,267.1,229.9,89.1,390.0,229.4,125.9,243.6,191.4,353.8,0.7,368.9,89.8,166.9,283.3,172.9,310.5,235.1,233.1,351.1,214.1,308.5,343.7,175.6,190.2,336.1,191.3,375.5
BX,2104.9,208.5,353.0,272.8,275.4,165.9,196.7,275.4,275.2,400.7,132.1,0.0,350.1,165.0,386.9,92.1,369.1,137.7,99.9,131.3,148.0,339.7,381.4,136.8,214.8,365.1,234.4,134.7,145.0,187.8,352.9,156.0,148.0,381.4,463.6,423.5,384.4,415.1,146.2,303.9,77.6,106.8,237.5,368.0,309.8,233.8,419.5,329.9,42.4,25.9,243.4,282.7,396.9,173.8,136.1,448.4,90.4,461.9,344.9,390.3,37.6,115.8,412.4,331.9,169.4,426.2,193.9,378.3,178.7,153.5,296.3,356.7,240.6,473.7,191.6,322.2,116.9,308.7,210.3,29.4,308.6,267.3,77.6,451.2,237.6,30.0,229.8,181.2,395.3,126.2,410.4,132.0,75.5,289.0,265.6,352.0,290.1,204.4,337.1,257.3,328.6,385.2,263.3,273.9,377.6,272.8,491.9
CB,2253.3,161.2,75.5,276.5,273.9,312.2,145.3,273.9,274.1,89.2,375.5,351.6,0.0,253.8,158.8,428.5,110.8,474.1,325.0,356.4,251.3,70.1,69.9,370.8,127.2,53.6,156.3,372.9,270.7,199.2,62.2,492.4,251.3,82.9,140.3,112.0,100.5,110.9,482.6,111.4,379.9,386.6,177.1,30.0,93.9,125.3,108.0,91.4,398.1,362.3,240.9,101.6,100.7,266.3,324.8,136.9,434.2,152.2,87.8,78.8,329.4,333.6,100.9,20.4,248.8,114.7,252.0,98.8,304.9,342.2,65.2,60.5,108.4,150.4,198.0,85.8,429.9,60.9,154.4,362.9,52.0,127.3,414.0,122.1,139.5,381.7,124.7,186.2,83.8,374.7,98.9,283.3,360.5,75.9,258.1,40.5,122.5,181.7,72.3,142.1,86.8,73.7,185.3,275.4,66.1,276.5,164.3
CJ,2074.1,143.2,234.7,114.5,111.9,24.0,180.2,111.9,112.1,281.8,77.6,162.5,231.8,0.0,323.5,236.2,277.3,246.0,82.5,61.7,128.0,213.8,262.5,72.9,162.1,246.8,130.9,75.0,125.0,170.3,234.6,264.0,128.0,263.1,333.5,305.2,292.6,296.8,254.5,203.6,163.5,136.3,145.7,249.7,183.9,151.3,301.2,211.6,178.8,162.3,78.9,189.9,293.3,182.2,50.6,329.5,226.8,343.6,253.1,272.0,175.1,35.7,294.1,213.0,4.9,307.9,56.4,294.6,111.1,62.3,177.6,253.1,134.8,343.6,171.6,196.3,125.9,226.2,180.0,162.9,190.3,147.3,166.8,332.9,152.6,181.7,166.8,169.5,277.0,83.1,291.5,56.7,202.8,205.9,96.1,233.7,158.3,155.7,273.7,137.3,227.7,266.9,98.8,113.4,258.7,114.5,357.5
CT,2184.8,256.9,198.8,367.6,365.0,409.2,245.8,365.0,365.2,78.8,422.6,448.6,172.7,344.9,0.0,485.0,92.6,571.1,422.0,406.7,348.3,132.9,116.8,417.9,227.7,163.6,247.4,420.0,367.7,290.3,177.5,568.5,348.3,107.4,71.0,101.6,78.7,64.4,579.6,191.3,474.8,517.6,268.2,130.6,161.1,222.3,82.3,175.7,475.8,459.3,332.0,202.1,101.9,298.7,374.4,120.2,523.8,129.9,70.9,125.7,420.5,380.7,101.7,128.6,339.9,49.0,342.9,72.0,401.9,439.2,165.7,148.4,237.1,60.2,301.2,149.4,470.9,157.9,245.0,459.9,152.5,195.6,511.0,96.4,217.6,478.7,231.8,283.2,147.2,428.1,112.5,375.3,451.6,172.9,354.2,150.5,185.3,272.8,118.0,204.9,216.0,161.6,276.4,366.5,176.1,367.6,138.6
DN,2147.9,282.3,428.2,348.0,350.6,241.1,271.9,350.6,350.4,475.9,198.2,110.4,425.3,239.6,459.6,0.0,411.6,162.2,175.1,206.5,223.2,372.4,456.6,202.9,290.0,440.3,309.6,200.8,188.7,258.9,428.1,180.5,223.2,426.4,525.5,498.7,428.1,469.3,170.7,379.1,154.9,204.8,281.2,416.7,347.2,309.0,494.7,410.1,156.9,88.3,318.6,357.9,487.4,249.0,199.5,523.6,122.3,538.9,388.6,465.5,60.0,206.3,487.6,407.1,244.6,488.2,268.9,454.4,222.4,228.7,371.5,447.2,303.4,535.6,266.8,355.7,193.8,383.9,285.3,137.9,383.8,338.6,139.5,508.8,312.8,140.5,305.0,256.4,470.5,199.0,485.6,212.2,42.0,364.2,335.8,427.2,333.8,279.6,409.8,286.8,407.2,460.4,338.5,349.1,452.8,348.0,553.8
DP,2281.9,188.1,126.9,305.1,302.5,340.4,172.7,302.5,302.7,101.2,360.1,348.8,87.2,281.8,89.0,422.5,0.0,502.3,352.0,384.6,279.5,101.3,81.9,355.4,154.6,84.4,184.9,357.5,298.9,224.3,105.6,498.5,279.5,23.4,160.1,125.2,57.5,104.6,509.6,119.4,404.8,448.8,205.7,67.3,129.5,153.5,121.2,102.6,405.8,390.5,269.5,129.0,112.7,236.2,341.2,135.7,455.0,163.6,39.3,92.0,361.4,317.0,114.1,56.7,277.4,117.6,280.4,80.4,331.4,370.4,92.6,54.5,164.0,149.3,279.5,117.8,458.1,107.5,173.1,389.9,80.6,163.0,442.2,152.9,145.7,409.9,159.9,214.4,97.0,365.6,112.1,305.3,389.1,121.3,291.7,71.3,152.7,209.1,81.9,164.3,144.1,68.9,213.9,304.0,110.3,305.1,177.5
DQ,2006.1,365.1,455.3,312.5,315.1,226.9,316.0,315.1,314.9,432.5,143.7,154.5,452.4,220.5,484.4,186.8,505.9,0.0,194.6,193.8,267.3,434.4,452.8,148.4,334.1,492.0,351.5,146.3,278.1,303.0,455.2,62.1,267.3,483.7,403.4,455.3,482.7,453.9,8.5,423.2,180.1,150.3,366.3,454.7,409.2,353.1,432.1,437.2,162.6,118.2,299.5,411.1,383.7,293.1,192.2,406.8,30.1,452.2,473.7,461.7,149.4,185.9,383.5,464.3,225.5,438.0,277.2,461.7,312.3,227.6,398.2,481.3,352.3,413.5,310.9,417.7,164.0,428.0,329.4,198.3,410.9,373.7,79.4,446.2,373.2,180.9,387.4,300.5,486.0,144.5,461.9,233.6,111.1,408.3,316.7,478.9,378.9,323.7,490.7,357.9,451.3,494.5,319.4,313.6,504.5,312.5,431.7
DV,2094.9,179.2,310.8,190.6,188.0,82.4,168.8,188.0,188.2,358.5,65.2,78.6,307.9,76.0,392.1,169.5,344.1,201.1,0.0,31.3,120.1,289.9,339.2,60.5,186.9,322.9,207.0,62.6,121.2,159.9,310.7,198.5,120.1,339.2,412.5,381.3,360.6,372.9,209.6,276.0,104.8,123.9,213.7,299.3,264.7,205.9,377.3,287.7,105.8,89.3,155.0,266.6,392.8,145.9,47.7,393.0,161.2,419.7,321.1,348.1,105.0,41.4,392.6,289.7,81.0,384.0,132.5,383.5,154.9,74.3,268.4,329.8,210.9,422.6,163.7,272.4,113.5,280.8,182.4,89.9,266.4,229.2,141.0,399.5,228.7,108.7,201.9,153.3,353.1,64.4,368.2,94.5,136.1,261.1,177.2,309.8,234.4,176.5,342.3,213.4,300.7,343.0,174.9,189.5,335.4,190.6,440.8
EG,2078.6,214.6,304.8,180.2,182.8,79.3,195.0,182.8,182.6,352.5,39.2,104.8,301.9,70.0,394.2,195.7,346.2,207.6,26.1,0.0,146.3,283.9,333.2,34.5,213.1,316.9,201.0,36.6,147.4,182.0,304.7,245.6,146.3,361.0,386.5,375.3,362.7,437.0,216.1,302.2,133.1,61.1,215.8,293.3,258.7,232.1,415.2,286.7,144.3,115.5,149.0,260.6,366.8,172.1,41.7,403.1,187.4,435.3,323.2,342.1,131.2,35.4,366.6,283.7,75.0,421.1,126.7,362.1,181.6,42.9,247.7,323.8,201.8,396.6,189.9,267.2,87.5,307.0,208.4,116.1,260.4,223.2,128.4,429.3,222.7,134.9,236.9,179.5,347.1,38.4,362.2,83.1,162.3,287.3,166.2,303.8,228.4,202.7,344.4,207.4,330.3,337.0,168.9,181.3,329.4,180.2,414.8
EK,2126.5,131.8,222.0,210.9,208.3,84.7,92.5,208.3,208.5,269.7,148.0,124.1,253.9,96.3,297.4,201.0,249.4,246.6,97.5,128.9,0.0,210.2,250.4,143.3,110.6,234.1,118.2,145.4,26.5,79.5,221.9,264.9,0.0,264.2,368.5,292.5,265.9,307.1,255.1,206.8,152.4,159.1,119.0,210.5,185.0,129.6,288.5,203.9,170.6,134.8,175.3,177.8,281.2,69.6,97.3,304.2,206.7,332.7,226.4,259.3,149.8,106.1,281.4,200.9,101.3,326.0,112.5,292.2,60.7,114.7,199.2,241.0,119.0,357.7,87.4,193.5,202.4,229.6,105.9,135.4,177.6,176.4,186.5,302.6,139.9,154.2,154.1,77.0,264.3,147.2,279.4,55.8,184.4,209.9,192.5,221.0,171.6,100.2,247.6,124.6,234.9,254.2,195.2,209.8,246.6,210.9,344.8
EP,2211.4,139.4,122.1,234.6,232.0,236.0,157.3,232.0,232.2,133.0,289.6,329.8,64.4,211.9,133.3,352.0,85.3,452.3,303.2,273.7,229.5,0.0,113.7,284.9,139.2,97.4,114.4,287.0,248.9,157.3,100.8,470.6,229.5,100.1,204.4,155.8,101.8,143.0,460.8,105.5,358.1,364.8,135.2,73.8,23.7,103.5,151.8,104.0,376.3,340.5,199.0,125.4,144.5,165.7,291.2,180.7,412.4,196.0,62.3,122.6,287.5,247.7,144.7,64.2,206.9,161.9,210.1,128.1,282.6,274.3,89.0,104.3,132.2,193.6,245.3,15.7,337.9,49.6,156.7,341.1,75.8,57.1,392.2,165.9,129.1,359.9,143.3,164.4,127.6,288.8,142.7,212.8,318.6,64.6,216.2,84.3,52.3,139.8,83.5,71.9,133.6,117.5,143.4,233.5,109.9,234.6,208.1
EV,2247.1,192.4,131.3,308.1,305.5,343.4,176.9,305.5,305.7,47.5,363.1,382.8,90.2,284.8,102.8,425.5,99.5,505.3,356.2,387.6,282.5,119.7,0.0,358.4,158.8,97.6,187.9,360.5,301.9,233.0,118.0,502.7,282.5,74.0,98.6,70.3,78.1,61.9,513.8,122.4,409.0,451.8,208.7,50.1,144.4,156.5,66.3,106.8,410.0,393.5,272.5,133.2,59.0,239.2,356.0,82.0,465.4,108.7,113.1,8.8,361.0,321.2,59.2,59.7,280.4,73.0,283.4,42.3,336.1,373.4,96.8,100.8,168.2,108.7,253.8,136.2,461.1,110.5,176.3,394.1,83.6,160.5,445.2,80.4,195.3,412.9,180.5,217.4,53.3,368.6,57.2,309.5,392.1,125.5,294.7,74.3,155.7,213.3,86.1,167.3,145.6,83.1,216.9,307.0,85.8,308.1,122.6
FL,2044.0,216.6,306.8,186.6,184.0,78.4,202.2,184.0,184.2,381.0,4.6,91.1,303.9,72.0,432.9,168.0,348.2,173.0,46.1,45.3,153.5,285.9,335.2,0.0,234.8,318.9,203.0,2.0,164.7,189.2,306.7,211.3,153.5,363.0,351.9,403.8,364.7,402.4,181.5,275.7,88.3,26.5,217.8,295.3,260.7,223.4,380.6,288.7,109.7,101.8,151.0,262.6,332.2,179.3,43.7,368.5,173.7,400.7,325.2,344.1,131.1,37.4,332.0,285.7,77.0,386.5,128.7,410.2,183.3,79.1,249.7,325.8,203.8,362.0,197.1,269.2,52.9,298.3,215.6,102.4,262.4,225.2,93.8,394.7,224.7,121.2,238.9,186.7,349.1,3.8,364.2,85.1,162.2,278.6,168.2,305.8,230.4,228.4,346.4,209.4,303.8,339.0,170.9,185.5,331.4,186.6,380.2
FZ,2198.1,106.7,112.0,282.5,279.9,156.3,18.1,279.9,280.1,159.7,219.6,202.9,109.1,168.5,231.6,272.6,173.8,318.2,169.1,200.5,95.4,145.0,140.4,214.9,0.0,124.1,171.0,217.0,114.8,120.3,111.9,315.6,95.4,153.4,210.8,182.5,171.0,181.4,326.7,80.9,221.9,264.7,109.9,100.5,115.1,59.0,178.5,88.9,222.9,206.4,246.9,67.8,171.2,110.4,168.9,194.2,278.3,220.9,176.3,149.3,218.1,177.7,171.4,90.9,172.9,185.2,184.1,172.5,148.5,186.3,54.9,131.0,69.4,220.9,73.6,127.5,274.0,133.9,50.3,207.0,67.6,84.3,258.1,192.6,22.7,225.8,36.9,80.8,154.3,225.1,169.4,122.4,256.0,114.2,269.1,111.0,89.5,141.0,142.8,68.5,105.6,144.2,118.1,281.4,136.6,282.5,234.8
GB,2267.3,174.8,80.8,290.5,287.9,325.8,159.3,287.9,288.1,85.4,345.5,365.2,70.9,267.8,164.7,407.9,101.3,487.7,338.6,370.0,264.9,102.1,66.1,340.8,141.2,0.0,170.3,342.9,284.3,213.2,67.5,506.0,264.9,79.1,136.5,108.2,96.7,107.1,496.2,116.7,393.5,400.2,191.1,26.2,125.9,138.9,104.2,96.7,411.7,375.9,254.9,137.0,96.9,221.6,326.6,119.9,447.8,148.4,93.7,75.0,343.4,303.6,97.1,42.1,262.8,110.9,266.0,95.0,318.0,355.8,79.2,56.7,122.4,146.6,203.3,117.8,443.5,92.9,159.7,376.5,66.0,142.9,427.6,118.3,144.8,395.3,130.0,199.8,80.0,344.7,95.1,296.9,374.5,107.9,272.1,12.4,138.1,195.7,50.5,149.7,92.1,69.9,199.3,289.4,12.4,290.5,160.5
GE,2199.3,51.0,142.5,178.9,176.3,157.5,88.6,176.3,176.5,190.2,220.8,204.1,139.6,169.1,255.0,273.8,208.2,319.4,170.3,201.7,96.6,121.6,170.9,216.1,70.5,154.6,0.0,218.2,116.0,42.8,142.4,316.8,96.6,170.9,241.3,213.0,201.5,211.9,327.9,111.4,223.1,265.9,79.5,131.0,96.4,59.1,209.0,119.4,224.1,207.6,143.3,98.3,201.7,51.2,170.1,224.7,272.1,251.4,184.0,179.8,219.3,178.9,201.9,121.4,174.1,215.7,185.3,203.0,149.7,187.5,85.4,161.5,42.6,251.4,144.0,104.1,275.2,134.0,88.0,208.2,98.1,60.9,259.3,240.7,60.4,227.0,74.6,77.3,184.8,226.3,199.9,123.6,257.2,114.3,165.5,141.5,66.1,25.3,173.3,45.1,136.1,174.7,87.7,177.8,167.1,178.9,265.3
GK,2041.9,218.7,308.9,188.7,186.1,80.5,204.3,186.1,186.3,378.9,2.5,93.2,306.0,74.1,430.8,170.1,350.3,170.9,48.2,47.4,155.6,288.0,337.3,2.0,236.9,321.0,205.1,0.0,166.8,191.3,308.8,209.2,155.6,365.1,349.8,401.7,366.8,400.3,179.4,277.8,86.2,24.4,219.9,297.4,262.8,225.5,378.5,290.8,107.6,103.9,153.1,264.7,330.1,181.4,45.8,353.2,159.2,398.6,327.3,346.2,133.2,39.5,329.9,287.8,79.1,384.4,130.8,408.1,185.9,81.2,251.8,327.9,205.9,359.9,199.2,271.3,50.8,300.4,217.7,104.5,264.5,227.3,91.7,392.6,226.8,123.3,241.0,188.8,351.2,1.7,366.3,87.2,164.3,280.7,170.3,307.9,232.5,230.5,348.5,211.5,305.9,341.1,173.0,187.6,333.5,188.7,378.1
GQ,2182.6,105.2,195.4,175.0,172.4,124.0,141.5,172.4,172.6,243.1,177.6,172.3,227.3,99.9,270.8,239.2,222.8,294.8,145.7,161.7,188.3,183.6,223.8,172.9,123.4,207.5,91.6,175.0,0.0,134.5,195.3,313.1,188.3,237.6,341.9,265.9,239.3,280.5,303.3,180.2,200.6,199.5,92.4,183.9,158.4,112.0,261.9,177.3,218.8,183.0,139.4,151.2,254.6,142.9,129.4,290.8,254.9,306.1,199.8,232.7,174.7,135.7,254.8,174.3,94.9,299.4,79.3,265.6,33.6,162.3,172.6,214.4,92.4,331.1,196.9,166.9,225.9,203.0,140.9,183.6,151.0,149.8,234.7,276.0,113.3,202.4,127.5,130.2,237.7,176.8,252.8,100.0,205.8,183.3,156.6,194.4,145.0,117.0,221.0,98.0,208.3,227.6,159.3,173.9,220.0,175.0,318.2
GR,2156.4,101.7,193.2,240.8,238.2,114.6,135.2,238.2,238.4,240.9,177.9,161.2,190.3,126.8,344.0,230.9,297.2,276.5,130.7,158.8,53.7,172.3,224.2,173.2,121.2,205.3,46.5,175.3,73.1,0.0,193.1,271.7,53.7,221.6,292.0,263.7,252.2,255.3,288.3,162.1,178.0,226.3,165.6,208.2,142.4,109.8,259.7,166.2,179.0,164.7,205.2,144.9,248.5,8.3,130.5,288.6,229.2,302.1,273.0,230.5,179.7,136.0,252.6,168.2,131.2,266.4,145.9,256.3,104.6,144.6,136.1,208.3,89.2,302.1,106.5,150.9,232.3,184.7,134.6,163.1,148.8,105.8,216.4,291.4,111.1,184.1,125.3,96.1,235.5,183.4,250.6,84.2,214.3,160.9,230.9,192.2,116.8,16.8,224.0,95.8,186.8,225.4,225.1,239.7,220.4,240.8,316.0
