from_stop,AH,AN,AP,AW,BD,BG,BM,BV,CI,CU,CV,DA,DD,DK,DM,DZ,EB,EF,EI,EN,ES,EU,EW,FO,FU,GW,GX,HB,HV,IM,IO,IT,IY,JA,JI,JK,JO,JW,JY,KF,KI,KJ,KL,KR,KU,KZ,LE,LG,LQ,LU,LY,MV,NP,NU,NV,NZ,OD,OK,OL,ON,PE,PF,PH,PP,QU,RE,RF,RO,RQ,RS,RT,RW,RX,RY,SJ,TH,TO,TT,UG,UP,UR,UV,UW,VN,VY,WC,WW,XE,XJ,XL,XT,XV,YK,YN,YO,YW,YX,ZE,ZL,ZX
DD,354.3,216.3,183.0,274.4,347.5,189.0,298.7,230.7,249.8,328.7,320.3,178.1,0.0,141.6,198.7,257.2,115.1,252.2,217.2,280.4,338.1,359.9,229.7,335.9,332.0,174.2,197.4,252.4,217.0,2475.0,180.6,107.2,310.0,349.2,165.0,153.9,94.8,279.6,221.4,262.1,181.6,281.8,291.4,227.3,347.0,273.6,208.5,267.9,246.2,228.0,237.4,365.3,220.5,305.8,326.7,70.5,359.1,314.5,299.9,195.2,247.2,274.9,244.3,228.4,242.3,101.1,229.8,255.2,250.4,173.0,284.6,245.5,190.2,310.0,242.9,145.3,297.4,257.9,323.3,306.1,335.2,287.6,277.3,260.1,301.6,286.0,277.4,231.3,261.0,325.1,330.2,258.8,274.1,243.1,199.6,203.0,130.7,302.5,222.3,232.0
DK,215.5,114.5,65.1,172.6,245.7,87.2,172.1,104.1,127.5,200.8,193.7,87.3,119.8,0.0,96.9,153.4,113.2,130.0,218.6,175.4,225.7,233.3,127.9,216.3,204.1,72.4,106.6,114.5,106.2,2450.0,38.9,96.7,180.8,222.6,74.2,65.7,92.9,177.8,95.2,160.3,79.8,164.9,164.8,125.5,237.1,171.8,106.7,141.3,144.4,126.2,131.2,242.5,102.7,179.2,200.1,131.5,257.3,199.1,198.1,93.4,145.4,173.1,122.2,89.6,140.5,52.5,109.0,130.3,123.8,171.1,182.8,132.2,57.9,198.7,148.3,57.1,185.4,135.6,221.5,193.7,199.9,162.9,153.2,133.5,189.7,184.2,175.6,188.8,126.3,223.3,203.6,157.0,170.3,116.5,121.1,61.3,28.9,183.0,99.8,135.3
DM,202.5,77.0,107.5,103.7,176.7,9.6,187.3,185.8,96.5,175.4,203.7,167.0,196.9,96.9,0.0,103.9,190.3,140.8,99.3,127.1,184.8,207.9,90.4,219.0,178.7,98.7,186.3,113.3,191.7,2535.5,135.9,182.4,128.5,230.1,153.9,142.8,170.0,108.9,145.9,91.4,73.7,197.7,145.8,74.0,257.0,120.3,55.2,156.5,92.9,74.7,84.1,254.7,81.4,194.4,195.9,227.5,188.3,214.3,111.2,41.9,95.8,76.2,203.9,94.5,89.0,129.6,121.9,101.9,170.7,248.2,128.5,46.8,114.7,260.8,210.4,134.2,144.1,104.6,170.0,152.8,181.9,176.2,124.0,121.2,148.3,132.7,88.7,113.4,125.1,171.8,218.8,105.5,224.9,198.2,200.8,158.3,77.9,149.2,69.0,217.0
DZ,100.3,159.8,137.7,111.6,175.3,96.3,134.1,152.2,80.3,85.6,112.9,171.7,237.5,137.5,106.0,0.0,234.4,129.0,150.4,103.0,104.5,141.3,171.2,111.0,88.9,139.3,193.0,101.7,160.1,2501.9,141.3,211.6,98.0,131.1,160.6,169.6,210.6,116.8,145.8,97.3,112.3,151.7,39.2,96.0,203.8,94.0,38.8,114.3,67.5,64.7,70.2,171.3,109.9,108.0,106.1,203.7,186.9,161.1,137.1,52.6,185.2,121.2,170.3,96.8,14.9,168.2,129.8,80.3,131.3,155.2,105.9,141.3,128.5,227.2,176.8,175.2,70.2,88.4,125.3,123.3,105.4,123.0,20.0,105.0,119.3,119.5,103.9,127.8,113.5,152.9,122.8,80.1,198.8,164.6,146.4,163.7,118.5,82.6,44.1,183.4
EB,211.4,234.1,121.9,281.9,348.9,203.3,193.5,86.4,139.9,196.1,176.0,75.7,85.0,137.6,216.5,188.2,0.0,108.8,182.5,269.2,244.2,215.6,244.0,198.6,193.8,134.2,57.5,124.2,72.7,2359.8,99.0,19.3,163.1,204.9,88.2,102.5,20.2,287.1,91.5,266.1,138.5,163.1,149.4,241.6,231.8,245.2,222.0,123.6,204.3,210.0,250.8,253.1,158.5,161.5,182.4,51.2,360.5,199.3,243.4,213.0,265.0,272.0,129.1,145.4,201.1,120.8,99.2,182.6,106.1,46.5,242.7,251.8,114.7,194.8,144.4,110.7,221.4,128.3,265.0,275.1,259.6,141.7,166.6,115.8,292.9,305.2,240.7,297.3,113.2,326.5,187.9,216.9,166.4,134.4,55.3,77.8,114.0,165.3,219.4,116.8
EF,99.0,213.9,133.9,169.5,236.5,160.1,66.2,84.3,78.5,83.7,58.4,100.1,291.5,172.8,160.1,73.8,129.0,0.0,174.8,163.5,131.8,103.2,228.3,79.2,81.4,142.7,81.9,99.9,69.4,2434.0,99.9,166.3,50.7,97.8,112.6,167.8,170.1,174.7,76.3,162.5,130.9,83.8,34.7,161.2,135.9,132.8,109.6,11.2,97.2,97.6,145.4,141.2,108.1,49.1,70.0,257.7,248.1,72.4,131.0,115.8,209.6,163.1,102.4,104.7,88.7,164.4,61.5,60.5,42.6,66.5,130.3,200.9,136.4,138.5,89.4,132.0,109.0,50.0,157.9,166.2,131.8,36.2,54.2,34.0,195.9,192.8,128.3,160.6,58.9,214.1,73.5,104.5,130.9,96.7,78.5,161.9,172.5,52.9,116.9,115.5
EI,199.1,67.6,194.8,93.3,118.3,96.8,266.9,253.8,176.1,184.4,192.1,210.6,245.5,149.6,87.2,163.4,178.6,220.4,0.0,148.2,244.3,222.1,53.4,207.7,187.7,186.0,229.9,200.6,251.4,2533.2,188.6,170.7,142.7,221.0,197.5,186.4,158.3,51.0,233.2,81.0,161.0,277.3,205.3,66.4,267.7,178.9,114.7,233.0,102.0,134.2,105.2,267.3,168.7,219.4,198.5,276.1,106.7,293.9,100.8,101.4,34.7,63.3,307.8,181.8,148.5,160.2,209.2,161.4,256.9,236.5,60.6,67.6,202.0,373.5,306.4,177.8,202.7,184.2,229.5,212.3,183.5,255.8,183.5,200.8,197.5,179.2,78.3,14.0,212.4,174.0,202.0,89.4,337.6,266.2,234.0,211.0,156.7,163.4,128.5,295.5
EN,115.2,155.1,187.6,98.2,80.9,139.0,197.0,218.3,160.1,82.5,112.5,247.1,280.2,177.0,139.3,102.5,270.4,154.7,114.2,0.0,109.9,176.8,164.5,129.1,89.0,178.8,266.4,192.0,224.2,2568.0,216.0,257.1,97.4,146.0,234.0,226.1,250.1,106.6,226.0,89.1,153.8,214.6,143.8,113.3,219.2,27.4,81.5,139.9,67.3,106.2,98.3,225.0,161.5,170.9,106.2,288.7,89.3,224.2,35.2,92.1,145.8,91.8,233.2,177.8,89.6,209.7,202.0,129.5,194.2,233.9,104.7,133.6,194.8,257.6,239.7,217.9,51.2,168.2,98.3,67.3,99.6,187.8,124.6,184.8,66.5,66.7,57.0,96.8,203.8,88.6,152.8,57.9,257.4,227.5,209.3,241.6,161.2,114.9,85.6,249.5
ES,68.2,242.2,209.0,194.0,98.6,184.7,184.6,208.7,159.6,89.5,113.5,245.0,319.9,225.9,188.4,139.5,316.8,139.1,205.2,111.9,0.0,168.5,261.6,78.9,92.8,221.7,264.3,181.0,208.6,2558.4,220.6,294.0,110.7,45.2,237.9,248.9,293.0,199.2,225.1,187.7,202.7,202.2,136.5,186.4,243.1,88.3,121.2,133.5,121.5,155.1,152.6,241.0,189.2,164.5,110.0,286.1,110.2,240.2,137.3,135.0,240.0,193.9,226.8,176.1,132.5,258.6,201.1,159.6,187.8,211.7,201.7,212.2,201.8,281.5,233.3,257.1,94.1,161.7,20.7,81.4,93.3,175.4,117.3,184.3,42.6,91.6,159.1,210.2,192.8,76.2,106.5,156.8,255.3,221.1,202.9,243.0,200.9,128.5,128.5,239.9
EU,102.0,268.8,203.9,215.1,244.9,212.7,130.9,160.7,155.3,92.7,72.6,197.3,311.3,235.7,222.4,149.6,226.2,102.0,220.4,172.5,146.2,0.0,273.9,82.2,90.4,212.7,179.1,167.1,166.6,2510.4,197.1,234.1,98.9,100.9,209.8,220.6,246.5,220.3,173.5,202.8,201.5,135.9,110.5,214.4,132.5,141.8,155.2,85.5,137.5,183.1,191.0,111.0,197.9,115.0,79.0,341.9,256.5,113.2,207.8,169.0,255.2,208.7,178.8,184.8,164.5,261.6,158.7,162.2,139.8,179.5,175.9,219.3,196.7,170.9,161.5,229.2,118.0,147.2,161.0,203.3,174.2,131.5,130.0,131.2,199.0,232.2,173.9,206.2,156.1,222.5,35.5,150.1,176.0,173.1,154.9,175.9,234.9,78.5,177.4,187.5
EW,273.9,14.2,142.7,111.2,184.2,101.5,254.2,221.0,167.9,246.8,275.8,202.2,232.1,132.1,91.9,173.3,178.9,212.1,61.6,166.1,256.2,266.4,0.0,290.4,250.1,133.9,221.5,170.5,226.9,2533.5,171.1,162.4,187.0,301.5,189.1,178.0,158.6,116.4,181.1,98.9,108.9,247.0,217.2,102.3,322.1,191.7,126.6,223.4,164.3,146.1,128.1,321.6,138.6,261.3,267.3,198.3,195.8,281.2,118.7,113.3,17.4,83.7,239.1,151.7,160.4,160.5,157.1,166.2,205.9,225.5,136.0,66.2,149.9,296.0,245.6,169.4,215.5,176.0,241.4,213.6,232.6,245.0,195.4,192.6,209.6,197.1,96.2,75.7,182.3,191.9,285.7,176.9,267.6,233.4,234.3,193.5,113.1,207.7,119.7,295.8
FO,19.8,286.3,200.6,238.1,186.7,222.8,130.1,148.2,152.2,82.1,112.1,236.6,364.0,246.5,232.5,132.1,210.2,162.6,250.9,131.0,82.0,73.7,299.7,0.0,85.4,216.4,166.6,173.6,154.1,2497.9,213.2,233.0,103.3,42.7,230.5,241.5,234.0,243.3,217.7,225.8,204.6,147.7,129.1,224.5,199.8,110.5,165.3,73.0,126.0,179.6,196.7,167.3,181.8,104.0,102.6,330.2,198.3,157.1,176.5,179.1,285.7,233.1,172.1,168.7,145.0,291.7,192.7,152.2,133.1,151.2,164.4,251.4,200.4,223.2,178.6,249.7,86.7,160.3,98.8,86.9,67.9,120.9,109.9,176.9,130.7,118.0,198.3,254.3,178.4,164.3,46.0,138.6,194.8,160.6,142.4,235.6,245.0,66.0,172.6,179.4
FU,75.6,227.1,166.4,178.9,159.8,163.6,147.0,165.1,111.0,2.2,26.7,202.4,304.8,204.8,173.3,88.9,298.2,128.4,193.1,78.8,85.8,138.6,240.5,72.6,0.0,175.2,221.7,132.4,171.0,2514.8,172.0,290.3,59.2,85.9,189.3,200.3,277.9,184.1,176.5,166.6,163.4,164.6,90.5,165.3,184.2,51.3,106.1,89.9,84.8,134.0,137.5,184.2,140.6,120.9,17.1,325.7,171.4,174.0,117.3,119.9,227.9,173.9,183.2,127.5,103.8,237.5,158.5,99.7,144.2,168.1,123.2,192.2,159.2,222.6,189.7,208.9,27.5,119.1,100.6,99.7,80.1,137.8,68.7,135.7,121.2,105.6,139.1,178.9,144.2,144.7,66.9,136.8,211.7,177.5,159.3,194.4,185.8,79.9,113.4,196.3
GW,185.4,116.3,8.7,174.4,247.5,89.0,162.1,109.9,97.4,170.7,178.5,91.0,152.4,52.4,98.7,123.3,145.8,115.6,220.4,180.4,195.6,223.3,129.7,199.3,174.0,0.0,110.3,84.4,115.8,2459.6,60.6,137.9,173.4,212.6,77.9,88.9,125.5,179.6,47.1,162.1,63.8,154.9,144.9,127.3,227.1,173.6,108.5,131.3,146.2,128.0,137.4,229.5,72.6,169.2,190.1,183.0,259.1,189.1,199.9,95.2,147.2,174.9,128.0,59.5,138.2,85.1,78.9,101.8,113.8,128.7,184.6,145.5,15.9,188.7,138.3,89.7,155.3,105.5,210.4,198.9,169.8,151.0,123.1,122.1,201.6,186.0,177.4,214.9,96.2,225.1,193.6,158.8,152.8,122.3,124.8,83.0,33.4,167.7,122.3,141.1
GX,170.5,193.2,84.5,241.0,308.0,165.9,113.5,45.5,99.0,155.2,129.9,18.2,173.6,96.7,175.6,145.3,170.5,71.4,246.3,235.0,209.3,174.7,206.6,157.7,152.9,93.3,0.0,86.8,31.8,2371.4,58.1,147.7,122.2,164.0,30.6,41.4,146.7,246.2,54.1,228.7,101.1,106.3,106.2,204.2,178.5,204.3,181.1,82.7,163.4,169.1,209.9,180.9,117.6,120.6,141.5,185.3,319.6,140.5,202.5,172.1,224.1,234.6,63.6,104.5,160.2,106.3,58.3,130.4,65.2,40.5,201.8,216.4,77.3,140.1,89.7,49.6,180.5,90.9,224.1,237.7,218.7,104.3,125.7,74.9,252.0,264.3,199.8,232.1,75.8,285.6,145.0,176.0,104.2,57.9,14.4,36.9,116.3,124.4,178.5,76.7
HB,161.1,151.8,74.5,187.9,261.0,102.5,104.1,91.0,73.5,145.8,120.5,110.5,229.5,113.4,112.2,99.4,226.4,71.7,211.6,185.9,171.7,165.3,165.2,148.3,143.5,83.3,129.8,0.0,96.9,2440.7,80.1,203.6,112.8,154.6,97.4,108.4,202.6,193.1,84.6,175.6,71.5,96.9,96.8,140.8,172.0,155.2,122.0,73.3,128.7,115.0,146.5,171.5,30.7,111.2,132.1,241.2,272.6,131.1,167.8,108.7,182.7,188.5,109.1,17.6,114.3,158.6,66.6,76.3,70.1,147.9,167.1,153.0,67.3,166.0,115.6,116.6,131.4,81.5,186.5,185.6,145.9,94.9,99.2,65.5,205.0,205.2,165.1,204.1,11.8,238.6,137.6,141.3,137.6,103.4,85.2,102.5,110.5,115.0,115.1,122.2
HV,177.7,200.4,91.7,248.2,315.2,173.1,148.8,98.0,106.2,162.4,137.1,49.7,163.7,103.9,182.8,152.5,75.1,78.6,253.5,242.2,216.5,214.0,213.8,164.9,160.1,100.5,31.5,94.0,0.0,2362.8,65.3,97.9,129.4,171.2,62.2,73.0,98.9,253.4,61.3,235.9,108.3,118.4,113.4,211.4,183.6,211.5,188.3,89.9,170.6,176.3,217.1,201.9,124.8,185.9,148.7,184.6,326.8,151.1,209.7,179.3,231.3,241.8,80.9,111.7,167.4,114.0,65.5,137.6,138.5,16.1,209.0,218.1,84.5,146.6,96.2,81.2,187.7,98.1,231.3,244.9,225.3,158.0,132.9,82.1,259.2,265.8,207.0,263.6,83.0,292.8,152.2,183.2,118.2,86.2,21.6,44.1,132.9,211.2,185.7,68.6
IM,2562.8,2585.5,2476.8,2624.7,2680.9,2558.2,2515.8,2477.2,2491.3,2547.5,2522.2,2430.6,2474.1,2489.0,2567.9,2569.2,2389.0,2459.3,2571.6,2599.3,2643.1,2510.1,2598.9,2543.0,2545.2,2485.6,2412.4,2479.1,2453.3,0.0,2450.4,2396.9,2508.5,2556.3,2443.1,2453.9,2409.3,2629.9,2446.4,2612.4,2493.4,2489.4,2498.5,2624.0,2435.5,2591.6,2564.8,2513.1,2547.1,2592.7,2600.6,2470.8,2509.9,2534.2,2533.8,2504.7,2692.5,2488.2,2586.2,2578.6,2565.0,2618.3,2460.1,2496.8,2576.1,2473.5,2450.6,2524.3,2503.8,2409.2,2585.5,2628.9,2469.6,2419.4,2445.9,2462.5,2567.8,2483.2,2657.9,2611.4,2582.3,2526.9,2549.0,2467.2,2659.2,2604.9,2583.5,2615.8,2468.1,2668.6,2545.7,2559.7,2431.4,2465.4,2406.7,2429.2,2503.1,2489.3,2587.0,2447.8
IO,190.1,153.1,51.4,211.2,284.3,125.8,133.1,65.1,113.8,174.8,154.7,53.6,158.4,38.5,135.5,139.7,151.8,86.6,251.9,217.2,212.0,194.3,166.5,170.3,172.5,60.2,72.9,100.8,67.2,2411.0,0.0,143.9,144.4,183.6,40.5,51.5,131.5,216.4,73.7,198.9,80.2,125.9,125.8,164.1,198.1,195.5,145.3,102.3,169.0,155.3,174.2,200.5,89.0,140.2,161.1,189.0,295.9,160.1,236.7,132.0,184.0,211.7,83.2,75.9,154.6,91.1,77.9,118.2,84.8,80.1,207.4,182.3,44.2,159.7,109.3,60.1,171.7,110.5,226.8,215.3,186.2,122.0,139.5,94.5,238.4,222.8,205.4,237.7,95.4,261.9,164.6,181.6,123.8,77.5,87.4,22.4,67.5,144.0,159.1,96.3
IT,227.9,183.1,144.7,241.2,314.3,153.0,204.9,102.9,156.4,212.6,192.5,98.5,68.5,105.6,165.5,202.7,16.5,129.9,166.0,241.2,266.7,232.1,193.7,208.1,201.7,150.7,80.3,144.2,80.6,2376.3,115.5,0.0,182.2,221.4,99.6,119.0,3.7,246.4,114.3,226.1,161.3,174.5,163.6,194.1,248.3,261.7,175.3,140.1,220.8,226.5,204.2,266.6,175.0,169.4,198.9,99.1,272.8,215.8,259.9,162.0,168.0,226.6,137.0,161.9,217.6,65.1,107.1,190.5,114.0,65.8,250.6,209.4,137.5,211.3,160.9,127.6,237.9,139.7,272.9,295.1,267.5,161.7,183.1,132.3,268.4,252.8,257.2,180.1,133.2,291.9,202.4,233.4,175.4,150.9,71.8,94.3,97.5,181.8,165.6,133.3
