from_stop,AB,AQ,AU,BF,BK,BL,BM,BZ,CB,CR,CX,DC,DJ,DM,EA,ED,EE,EQ,FD,FG,FI,GC,GD,GH,GK,GL,GQ,HJ,HK,HY,HZ,IF,IG,IH,IN,IV,JI,JK,JT,KD,KE,KF,KR,LA,LB,LC,LJ,LK,MF,MQ,NB,NP,NR,NW,NZ,OE,OM,OO,OP,OQ,PF,PK,PM,PT,PX,QA,QK,QN,QS,QZ,RB,RL,RO,RS,RX,SD,SE,SF,SP,SQ,TF,TL,TR,TY,TZ,UK,UU,VK,VW,VY,VZ,WO,WW,XR,XY,YG,ZA,ZQ,ZV
CX,245.9,207.2,266.6,124.0,233.6,189.5,220.7,139.5,297.2,211.5,0.0,141.9,99.2,213.8,107.0,193.9,106.9,210.9,87.0,269.6,366.9,381.4,122.1,302.5,277.6,91.7,104.5,107.5,211.8,133.2,235.7,226.9,200.9,189.5,204.1,106.0,314.9,116.4,279.4,143.8,181.1,42.7,218.5,55.3,226.8,106.4,218.1,167.5,106.4,340.1,229.4,334.7,200.0,153.8,201.1,253.1,111.1,213.6,155.7,27.8,317.3,118.8,97.9,302.6,219.3,306.7,105.8,333.6,152.6,263.5,149.0,133.0,80.3,171.2,296.5,239.2,134.0,320.6,68.6,106.8,142.5,128.8,2390.6,259.1,284.5,259.8,255.4,267.6,122.5,282.1,282.4,217.6,106.4,178.0,244.0,89.1,218.9,216.6,210.8
DC,175.1,248.2,219.7,200.1,113.6,89.2,65.1,94.9,271.3,84.3,144.8,0.0,180.4,298.2,97.1,234.9,173.8,295.3,159.8,128.2,327.6,342.1,86.9,274.9,122.0,187.9,155.3,107.1,246.7,127.9,108.5,196.9,134.7,47.5,105.1,120.5,146.1,183.3,123.8,138.5,222.1,112.9,91.3,125.5,215.3,47.5,108.0,228.4,164.3,184.5,237.6,205.4,56.9,238.2,171.1,122.9,161.9,84.4,111.1,121.8,251.2,186.1,119.9,173.3,153.1,165.3,95.1,166.7,10.6,321.1,216.0,9.9,156.0,99.5,259.6,136.4,78.4,191.3,112.7,115.9,156.8,92.3,2460.8,143.4,211.1,320.7,240.2,200.4,89.9,179.3,296.0,302.0,106.8,79.7,88.4,143.9,303.3,61.0,199.3
DJ,207.4,168.6,187.3,21.1,229.6,194.1,181.5,118.9,235.8,210.7,99.2,146.5,0.0,144.1,128.0,155.3,62.6,122.8,66.4,235.4,299.3,315.8,125.7,234.9,238.4,10.3,169.9,112.1,150.4,120.3,234.9,199.6,162.4,191.9,198.3,99.5,243.9,80.7,241.2,130.9,142.5,45.2,221.9,56.5,190.2,110.0,221.7,113.9,128.5,261.4,190.8,312.6,163.1,84.1,162.6,249.3,176.5,181.9,135.1,75.2,255.9,179.7,96.7,280.5,180.8,272.5,109.7,264.5,157.2,213.2,209.9,136.6,84.9,157.9,235.1,200.7,137.6,288.8,85.7,110.4,117.4,133.4,2391.8,253.0,167.4,198.4,200.4,229.1,126.1,243.6,214.8,147.9,111.0,172.2,205.8,93.7,149.2,178.4,165.4
DM,246.3,207.5,207.1,132.1,376.4,352.0,313.3,240.7,282.5,313.7,232.3,304.4,157.8,0.0,290.3,194.2,160.1,81.6,180.4,274.3,307.4,321.9,284.6,243.0,289.7,165.3,308.0,223.3,197.1,196.7,289.5,227.3,201.3,260.3,240.3,210.3,282.8,150.6,296.7,186.6,181.4,204.3,306.7,163.7,210.7,268.9,356.2,152.8,139.7,297.6,229.7,351.5,319.7,65.4,201.5,327.4,314.6,214.0,229.7,234.1,238.6,322.3,236.1,319.4,219.7,311.4,267.6,303.4,298.6,248.8,352.5,295.5,242.8,225.7,281.8,239.6,262.1,337.4,244.6,269.3,172.3,257.2,2487.3,335.6,187.2,245.1,239.3,268.0,273.6,282.5,222.9,78.3,268.9,259.4,261.3,233.7,55.3,309.2,194.7
EA,270.1,230.7,314.7,159.7,160.9,147.9,160.1,104.3,336.5,169.9,113.9,100.3,137.5,253.1,0.0,217.4,148.4,226.4,120.9,218.8,427.0,439.1,80.5,369.9,217.0,128.2,75.7,92.4,245.7,118.1,194.1,223.0,180.4,147.9,162.5,111.0,258.7,166.5,218.8,128.7,204.6,83.2,181.1,89.2,234.0,64.8,171.1,206.8,128.0,277.3,247.5,276.9,140.7,193.1,180.6,211.5,82.3,198.3,120.5,80.7,346.2,95.4,72.6,259.5,193.4,251.5,64.2,273.0,111.0,313.9,125.1,91.4,84.2,129.6,330.4,196.8,92.4,262.9,76.4,66.2,146.4,93.6,2429.9,206.8,306.1,299.1,244.2,247.1,80.9,284.0,391.0,256.9,64.8,136.4,183.4,93.0,258.2,156.0,214.6
ED,162.0,13.3,95.7,121.0,330.0,264.8,213.9,141.3,147.3,229.4,185.7,217.2,146.7,191.9,203.1,0.0,109.4,189.0,129.0,190.0,231.6,246.1,197.4,164.9,205.4,154.2,240.6,139.0,91.6,112.4,205.2,143.0,117.0,176.0,156.0,123.5,198.5,99.9,212.4,102.3,10.3,193.2,222.4,199.3,126.4,181.7,256.8,122.1,163.0,213.3,35.5,267.2,232.5,131.9,122.0,243.1,247.2,129.7,145.4,162.7,127.2,250.4,151.8,235.1,135.4,227.1,180.4,219.1,213.9,127.6,280.6,208.3,155.6,141.4,135.6,155.3,177.8,253.1,157.4,182.1,88.0,158.7,2501.7,251.3,75.8,123.9,155.0,183.7,189.3,198.2,186.0,195.7,181.7,175.1,177.0,146.9,197.0,209.8,110.4
EE,172.0,133.2,169.8,74.9,240.6,204.1,163.3,90.7,190.2,182.5,109.2,156.5,59.8,148.3,138.0,119.9,0.0,124.8,20.2,200.0,277.2,295.9,136.7,215.0,213.2,69.1,179.9,91.3,102.6,92.1,208.9,164.2,127.0,163.7,166.0,71.3,208.5,20.3,222.0,102.7,107.1,104.1,193.7,85.7,152.6,121.0,208.4,60.5,129.5,226.0,153.2,277.2,173.1,88.3,129.8,221.1,186.5,146.5,106.9,88.4,210.3,189.7,107.7,242.9,145.4,234.9,119.7,226.9,163.3,167.6,219.9,147.6,94.9,129.7,187.3,163.1,128.6,260.9,96.7,121.4,89.2,108.1,2421.0,230.9,149.9,152.8,162.8,193.7,137.1,208.2,194.9,152.1,121.0,144.0,186.6,96.3,153.4,159.2,130.0
EQ,214.4,175.6,175.2,104.0,356.6,320.1,281.4,208.8,250.6,281.8,200.4,272.5,125.9,62.6,258.4,162.3,128.2,0.0,148.5,242.4,275.5,290.0,252.7,211.1,257.8,136.2,276.1,191.4,165.2,164.8,257.6,195.4,169.4,228.4,208.4,178.4,250.9,107.9,264.8,154.7,149.5,172.4,274.8,131.8,197.2,237.0,324.3,120.9,107.8,265.7,197.8,319.6,289.1,33.5,169.6,295.5,282.7,188.9,197.8,202.2,206.7,290.4,210.4,287.5,187.8,279.5,235.7,271.5,266.7,228.0,320.6,263.6,210.9,193.8,249.9,207.7,230.2,294.8,212.7,237.4,140.4,225.3,2455.4,314.4,155.3,213.2,207.4,236.1,241.7,250.6,191.0,66.4,237.0,227.5,229.4,201.8,67.7,277.3,162.8
FD,191.9,152.4,189.7,64.1,220.3,183.8,168.9,96.3,210.1,188.1,88.9,136.2,44.4,168.2,122.1,139.1,19.8,146.9,0.0,219.9,299.3,313.8,116.4,234.9,225.8,51.9,159.6,96.9,124.7,97.7,212.3,184.1,146.9,169.3,175.7,76.9,228.4,35.9,227.6,108.3,126.3,89.7,195.1,65.4,174.7,100.7,211.8,80.4,139.3,243.2,174.6,297.1,152.8,108.2,147.1,226.7,166.2,166.4,112.5,65.9,230.2,169.4,87.4,265.0,165.3,257.0,99.4,249.0,146.9,176.4,199.6,127.3,74.6,135.3,209.4,185.2,128.3,272.3,76.4,101.1,94.8,113.7,2400.7,236.5,169.8,172.7,184.9,213.6,116.8,228.1,214.8,172.0,100.7,149.6,192.2,83.4,173.3,164.8,140.3
FG,156.8,226.6,210.5,208.2,165.4,111.0,50.8,150.6,262.1,49.2,224.8,121.6,230.1,275.3,177.1,213.3,192.8,254.0,213.1,0.0,296.6,313.1,155.5,243.9,105.3,240.4,235.3,159.2,237.5,132.6,25.0,185.2,111.8,71.3,82.2,177.0,123.2,172.5,92.8,122.5,200.5,192.9,42.2,205.5,210.8,127.5,87.2,205.5,258.7,171.5,228.4,77.1,73.1,215.3,153.0,53.0,241.9,61.5,134.4,201.8,242.0,233.6,178.2,45.0,130.2,37.0,175.1,143.8,109.6,304.4,263.3,131.6,214.1,99.7,250.4,113.5,136.1,52.3,192.7,185.5,140.6,161.9,2540.8,70.5,201.9,297.8,221.0,178.5,147.6,156.4,265.0,279.1,164.5,101.3,57.4,202.0,280.4,54.9,176.4
FI,268.2,243.9,169.5,315.0,474.0,428.1,339.9,445.6,174.0,381.6,404.3,407.8,340.7,346.3,466.2,254.8,312.8,325.0,333.1,357.5,0.0,16.4,437.6,108.2,326.3,348.2,524.4,394.0,210.6,367.4,372.7,226.2,289.0,378.4,389.3,379.4,336.3,292.8,277.5,357.3,265.1,346.0,385.7,335.7,238.7,416.6,405.3,252.2,299.4,320.7,225.9,366.2,360.8,286.3,265.6,410.6,531.0,368.6,441.5,377.0,164.1,522.7,398.5,400.2,270.7,374.3,464.2,314.2,395.8,152.1,552.4,417.8,385.7,406.8,198.1,371.2,429.1,392.9,481.8,466.6,343.0,443.0,2552.4,418.8,220.0,157.3,228.5,224.0,440.6,333.3,129.3,350.1,457.5,408.4,315.8,394.5,351.4,344.0,273.1
GC,285.3,261.0,186.6,335.9,491.1,445.2,357.0,462.7,191.1,398.7,421.4,424.9,358.8,363.4,478.9,271.9,327.7,344.5,352.6,377.0,17.0,0.0,457.1,125.3,345.8,368.1,541.5,411.1,227.7,384.5,392.2,243.3,306.1,395.5,406.4,396.5,353.4,309.6,294.6,374.4,282.2,363.1,402.8,352.8,258.2,433.7,422.4,269.3,328.8,335.6,243.0,383.3,377.9,303.4,277.5,427.7,548.1,378.5,458.6,394.1,181.2,539.8,418.0,417.3,290.2,393.8,481.3,331.3,412.9,162.9,569.5,434.9,402.8,423.9,217.6,388.3,448.6,399.3,498.9,483.7,360.1,460.1,2569.5,446.6,237.1,174.4,245.6,241.1,457.7,350.4,146.4,367.2,474.6,425.5,332.9,411.6,368.5,361.1,280.6
GD,189.4,242.3,240.2,194.2,133.7,97.2,85.6,89.0,291.8,112.3,126.9,49.6,174.5,307.8,74.8,229.0,170.1,286.5,153.9,170.4,348.1,362.6,0.0,295.4,142.5,184.8,137.4,101.2,267.2,122.0,136.5,217.8,144.4,93.5,81.9,113.0,179.8,187.9,144.3,132.6,216.2,96.2,123.5,107.6,243.3,29.6,125.8,228.5,146.4,202.8,258.1,240.3,64.9,247.8,185.6,150.9,144.0,123.2,105.2,99.1,271.7,168.2,120.2,210.3,162.8,207.5,77.2,198.5,60.3,324.5,198.1,40.7,150.1,93.6,280.1,155.2,72.5,217.6,94.8,110.0,150.9,86.4,2442.9,166.8,231.6,320.8,253.5,211.1,84.0,198.1,316.5,311.6,100.9,55.8,108.9,138.0,312.9,81.5,208.9
GH,207.3,156.4,108.6,206.7,411.0,386.6,272.9,295.3,65.7,314.6,296.0,339.0,232.4,238.0,324.9,167.3,204.5,235.1,224.8,290.5,64.3,78.8,319.2,0.0,232.3,239.9,371.7,285.7,102.3,259.1,305.7,177.2,263.7,322.7,302.7,272.7,210.3,195.0,210.5,249.0,177.6,238.9,321.6,227.4,189.1,303.5,338.3,143.9,203.4,169.9,138.4,276.2,295.2,178.0,204.7,343.6,378.3,276.4,292.1,268.7,67.5,386.0,295.0,308.3,209.8,289.6,302.2,188.2,349.7,46.1,416.2,330.1,277.4,288.1,111.8,220.4,324.5,290.3,279.2,303.9,234.7,312.7,2528.0,351.8,111.7,49.0,160.5,163.1,319.6,182.5,21.0,241.8,303.5,321.8,248.8,286.2,243.1,277.0,205.1
GK,53.0,171.3,135.4,225.1,205.4,201.7,71.3,171.3,187.0,128.3,245.3,151.7,250.8,296.0,193.2,182.2,211.3,274.7,233.8,106.9,243.3,257.8,176.2,190.6,0.0,258.3,255.8,179.9,162.4,153.3,104.1,104.7,91.8,101.4,102.9,197.7,37.2,193.5,39.5,143.2,192.5,296.1,121.3,299.2,166.1,205.5,177.9,204.0,262.9,82.0,153.3,79.6,92.2,236.0,92.7,145.8,262.4,82.2,155.1,217.5,166.9,254.1,198.9,113.6,73.5,87.7,195.6,57.8,139.7,234.5,283.8,161.7,234.8,120.4,175.3,53.0,156.8,106.3,213.2,206.2,161.3,182.6,2593.2,166.4,126.8,194.7,155.9,92.7,168.3,66.9,211.7,299.8,185.2,122.0,47.2,222.7,301.1,75.4,197.6
GL,214.9,176.1,194.8,28.6,220.3,186.6,175.0,126.4,243.3,208.6,91.7,139.0,6.4,151.6,120.5,162.8,70.1,130.3,73.9,242.9,306.8,323.3,116.4,242.4,229.1,0.0,162.4,104.6,160.7,127.8,232.8,207.1,169.9,186.6,201.2,104.2,251.4,88.2,233.7,138.4,150.0,37.7,219.8,49.0,197.7,100.7,212.4,121.4,135.0,268.9,201.1,320.1,155.6,91.6,170.1,250.2,169.0,189.4,142.6,65.9,263.4,172.2,90.2,288.0,191.1,280.0,102.2,272.0,149.7,220.7,202.4,130.1,77.4,165.4,242.6,208.2,128.3,295.3,76.4,101.1,124.9,125.9,2384.3,245.5,174.9,205.9,207.9,236.6,116.8,251.1,222.3,155.4,103.5,172.3,198.3,86.2,156.7,170.9,172.9
GQ,297.0,260.8,341.6,193.4,204.8,198.7,187.0,148.7,366.6,220.7,103.4,151.1,168.6,283.2,78.2,247.5,176.3,280.3,156.4,241.3,449.5,464.0,131.3,396.8,243.9,161.1,0.0,122.5,281.2,148.2,244.9,241.9,215.9,238.8,253.1,140.0,281.2,185.8,245.7,158.8,234.7,112.1,227.7,124.7,251.1,115.6,227.3,236.9,163.5,306.4,283.0,341.0,166.3,223.2,216.1,262.3,6.5,232.4,164.9,121.0,373.1,30.9,112.9,286.4,234.3,278.4,59.0,299.9,161.8,332.9,60.6,142.2,114.3,180.4,365.9,284.4,143.2,337.0,109.4,116.0,176.5,138.0,2460.0,296.9,333.0,329.2,279.7,322.3,131.7,310.9,417.9,287.0,115.6,187.2,210.3,123.1,288.3,182.9,235.1
HJ,138.3,162.7,185.5,115.8,181.2,156.8,114.8,42.2,271.3,134.0,116.3,109.2,96.1,211.4,95.1,149.4,89.5,208.5,75.5,166.3,360.5,375.0,89.4,254.7,171.7,103.6,132.6,0.0,185.9,25.6,158.2,119.3,93.3,115.2,121.6,36.2,174.8,99.0,173.5,36.2,136.6,84.4,141.0,97.0,128.5,73.7,157.7,141.6,194.8,189.6,184.9,243.5,124.5,151.4,98.3,172.6,139.2,106.0,58.4,88.5,217.0,157.6,12.7,211.4,111.7,203.4,72.4,195.4,114.8,237.6,187.8,100.3,71.7,81.2,225.4,131.6,80.1,229.4,84.2,74.1,72.5,59.6,2432.3,193.1,176.9,233.9,157.1,160.0,89.8,174.5,275.8,215.2,73.7,95.5,138.1,59.6,216.5,110.7,112.5
HK,206.3,167.5,64.9,129.0,342.8,306.3,265.5,192.9,85.3,273.7,239.0,258.7,150.9,202.6,240.2,154.2,99.9,181.3,122.4,234.3,174.5,189.0,238.9,110.1,249.7,161.2,314.7,183.3,0.0,156.7,249.5,103.1,161.3,220.3,200.3,168.7,148.1,81.8,148.3,146.6,141.4,180.7,262.5,170.4,189.1,223.2,308.4,41.5,134.1,105.5,71.7,214.0,274.0,142.6,161.5,287.4,321.3,174.0,189.7,183.6,105.4,329.0,202.3,279.4,179.7,271.4,221.9,126.0,258.6,58.1,359.2,249.8,197.1,185.7,84.6,199.6,222.1,297.4,198.9,223.6,132.3,210.3,2488.7,289.1,45.0,47.9,93.8,100.9,233.6,120.3,90.0,206.4,223.2,219.4,221.3,193.7,207.7,261.4,164.3
HY,112.6,137.0,159.8,114.8,232.6,183.2,116.5,43.9,245.6,135.7,142.9,128.5,117.8,185.7,121.7,123.7,103.2,182.8,97.2,140.6,334.8,349.3,116.0,229.0,156.0,125.3,159.2,26.5,160.2,0.0,155.8,93.6,67.6,116.9,106.6,57.9,149.1,93.7,163.0,10.6,110.9,111.0,142.7,123.6,102.8,100.3,159.4,115.9,169.1,163.9,159.2,217.8,151.1,125.7,72.6,174.3,165.8,80.3,60.1,115.1,191.3,184.2,39.3,185.7,86.0,177.7,99.0,169.7,116.5,211.9,214.4,126.9,93.4,82.9,199.7,105.9,81.8,203.7,110.8,84.9,51.0,61.3,2458.9,194.8,151.2,208.2,131.4,134.3,93.3,148.8,250.1,189.5,100.3,97.2,127.6,81.3,190.8,112.4,86.8
HZ,144.4,230.6,196.5,208.4,159.0,97.5,54.8,154.6,248.1,24.2,228.8,118.2,234.1,279.3,176.7,217.3,194.6,258.0,217.1,33.8,300.6,315.1,148.0,247.9,91.3,241.6,239.3,163.2,223.5,136.6,0.0,178.0,115.8,75.3,86.2,180.0,127.2,176.8,136.1,126.5,204.5,196.9,17.1,209.5,214.8,131.5,73.7,209.5,262.7,161.3,214.4,103.7,75.7,219.3,152.2,86.9,245.9,65.5,138.4,201.0,228.0,237.6,182.2,78.9,134.2,70.9,179.1,147.8,106.2,259.5,267.3,128.2,217.1,103.7,236.4,117.5,139.5,96.9,196.7,177.0,144.6,153.4,2544.8,98.4,187.9,255.8,217.0,177.2,151.0,158.3,269.0,283.1,167.9,105.3,98.8,205.0,284.4,58.9,180.4
IF,31.0,102.0,66.1,171.7,330.0,271.7,163.9,136.1,117.7,203.9,239.1,200.8,194.6,238.8,213.5,112.9,154.1,217.5,176.6,176.4,202.0,218.5,203.8,135.3,80.6,203.9,255.4,122.7,81.9,96.1,179.7,0.0,85.9,150.5,130.5,140.5,91.7,136.0,120.2,86.0,123.2,238.9,192.7,218.7,96.8,208.4,259.8,134.7,193.6,98.4,72.8,160.3,172.9,178.8,34.1,217.6,262.0,111.0,119.9,216.1,97.6,280.4,153.6,194.3,67.6,168.4,195.2,112.3,188.8,140.2,310.6,210.8,177.6,115.9,106.0,98.6,152.3,198.9,207.0,171.0,104.1,147.4,2548.2,236.5,57.5,125.4,75.4,66.8,163.8,80.6,156.4,242.6,180.7,161.5,151.5,165.5,243.9,200.9,121.6
IG,44.9,157.8,121.9,138.7,252.5,206.3,139.6,84.9,173.5,138.5,209.9,135.4,164.4,209.6,174.6,147.6,127.1,206.7,147.4,99.1,257.8,272.3,138.4,191.1,98.4,171.9,226.2,93.5,148.9,66.9,114.3,85.4,0.0,85.1,65.1,112.9,107.6,117.6,121.5,56.8,134.8,210.9,131.5,217.0,126.7,135.6,182.5,139.8,193.0,113.5,139.8,176.3,121.8,149.6,82.5,152.2,232.8,38.8,68.7,186.9,153.4,251.2,106.3,144.2,18.3,136.2,166.0,128.2,123.4,184.9,281.4,145.4,148.4,50.5,161.8,64.4,86.9,162.2,177.8,119.8,74.9,96.2,2525.9,160.4,113.3,181.2,142.4,66.6,98.4,98.4,212.2,213.4,115.3,84.2,86.1,136.3,214.7,135.5,110.7
