from_stop,AN,BA,BC,BF,BK,BN,CC,CD,CJ,CY,DF,DI,DJ,DL,DN,DV,EC,ED,EE,EF,ET,EZ,FG,FV,GC,GF,GJ,HD,HL,HO,HT,IE,IH,II,IL,IW,IX,KC,KF,KV,KY,LA,LP,LS,MD,MS,MX,NC,NF,NN,NR,NS,NY,OD,OF,OG,OJ,OK,ON,OP,PE,PM,PT,QF,QP,QQ,QW,QX,QY,RG,RP,RZ,SB,SE,SI,SV,TU,TX,UM,UV,UX,VE,VY,VZ,WA,WI,WN,WO,WQ,XA,XJ,XN,XO,XT,YH,YL,YP,YU,ZM,ZR
DF,335.7,178.9,222.6,264.1,285.5,100.8,70.5,129.1,259.3,354.8,0.0,270.2,308.9,231.6,152.4,312.8,188.1,240.8,138.6,250.8,232.8,314.6,278.4,282.1,100.1,265.8,138.5,243.0,225.6,223.1,273.9,129.6,333.7,169.6,281.5,133.0,263.5,191.4,308.1,329.1,342.8,310.3,139.6,277.5,161.8,2432.8,171.9,295.1,127.9,137.2,257.4,300.0,201.6,207.0,266.5,455.0,253.8,6.0,179.4,289.3,418.9,292.4,249.1,215.3,181.7,269.1,284.2,238.1,260.8,109.3,245.0,273.3,284.7,168.9,200.6,242.0,246.8,299.4,192.9,135.5,297.8,210.3,124.4,293.4,456.4,140.8,128.4,164.4,83.8,151.1,168.1,402.0,304.2,270.4,203.4,120.2,187.8,301.7,89.8,113.7
DI,203.8,128.9,315.5,154.9,184.6,296.7,241.1,202.4,280.2,242.1,233.3,0.0,177.0,366.3,180.6,153.3,322.8,125.2,234.4,385.5,256.2,182.7,146.5,150.2,292.2,170.8,265.5,246.0,201.4,96.6,142.0,256.6,201.8,272.4,137.8,232.0,193.6,117.2,176.2,222.6,210.9,178.4,197.3,222.6,136.0,2417.9,367.8,163.2,323.8,333.1,138.4,168.1,336.3,132.8,134.6,361.9,346.7,251.1,155.3,157.4,289.8,130.6,56.4,160.5,377.6,149.9,162.9,216.8,239.5,224.4,362.3,147.7,152.8,286.5,116.9,187.2,96.9,167.5,296.1,270.2,165.9,209.6,320.3,149.3,339.6,335.8,263.1,299.1,184.5,188.5,262.0,308.9,203.0,120.5,191.1,215.1,175.5,195.6,283.2,210.7
DJ,26.7,184.6,422.5,196.0,102.0,375.1,242.9,255.4,333.2,51.0,321.2,199.4,0.0,501.7,221.7,145.9,416.4,203.3,262.3,512.1,297.3,168.3,72.0,93.0,290.5,256.9,380.2,287.1,254.4,250.1,35.5,363.7,25.1,313.5,97.2,273.1,234.7,158.3,33.3,74.4,34.2,135.3,241.3,160.6,189.0,2459.0,387.0,135.4,350.1,331.8,127.6,45.3,429.9,173.9,94.4,186.6,476.0,298.1,186.2,143.7,119.8,171.7,160.9,206.4,402.8,114.0,230.8,266.9,289.6,321.7,403.4,100.6,58.3,324.5,249.9,233.1,155.3,153.1,337.2,309.6,91.4,262.6,342.8,163.6,176.2,351.2,356.7,392.7,309.7,229.6,315.0,133.6,139.6,152.8,232.2,256.2,205.6,71.6,319.3,237.7
DL,512.2,342.0,27.4,412.6,383.7,241.1,344.3,202.5,253.1,511.1,273.7,363.0,457.4,0.0,318.9,478.0,79.6,389.3,315.5,38.5,217.9,463.1,414.7,439.8,288.6,414.3,57.0,228.1,374.1,369.8,422.4,135.8,482.2,238.9,418.2,289.7,412.0,339.9,456.6,491.6,491.3,414.4,248.6,382.4,267.0,2351.8,167.9,430.2,142.9,210.9,405.9,448.5,22.0,355.5,415.0,631.5,35.6,293.8,305.9,438.5,565.1,440.9,385.8,363.8,184.8,417.6,432.7,417.8,406.8,233.0,248.1,404.2,430.9,211.0,333.4,390.5,409.0,447.9,178.0,186.9,393.0,293.0,199.9,462.1,621.1,179.8,85.6,100.1,265.6,264.0,220.5,578.5,409.1,433.3,351.9,247.8,325.3,444.2,195.9,292.2
DN,262.1,119.9,277.6,190.5,234.8,250.2,80.0,110.5,188.3,269.4,158.3,196.6,235.3,356.8,0.0,227.4,271.5,167.2,99.4,367.2,152.4,241.0,204.8,217.7,140.0,192.2,235.3,142.2,152.0,173.3,200.3,218.8,260.1,168.6,196.1,151.4,189.9,117.8,234.5,255.5,269.2,236.7,96.4,280.9,44.1,2314.1,242.1,208.1,205.2,186.9,183.8,226.4,285.0,133.4,192.9,381.4,331.1,135.2,83.8,216.4,345.3,218.8,163.7,141.7,257.9,195.5,210.6,164.5,251.7,183.6,258.5,182.1,211.1,179.6,175.2,168.4,172.5,225.8,192.3,164.7,224.2,117.7,197.9,219.8,371.0,206.3,211.8,247.8,136.6,84.7,170.1,328.4,261.3,196.8,129.8,138.6,103.2,224.4,226.6,92.8
DV,192.1,146.3,432.8,150.5,162.9,363.1,230.9,243.4,321.2,140.1,322.6,168.4,161.8,489.7,209.7,0.0,404.4,84.4,250.3,500.1,285.3,167.5,124.8,97.1,278.5,124.9,368.2,275.1,178.1,218.6,126.8,359.3,176.5,301.5,122.6,261.1,162.7,145.8,171.0,120.6,167.4,156.7,226.4,200.9,177.0,2447.0,382.1,148.0,338.1,318.0,71.8,154.5,417.9,129.2,119.4,244.8,464.0,302.3,184.4,142.2,167.9,159.7,148.9,119.7,390.8,29.9,120.7,170.9,193.6,265.4,391.4,39.6,110.6,308.8,230.5,146.4,73.4,152.3,325.2,297.6,144.2,250.6,330.8,62.7,234.4,339.2,344.7,380.7,326.5,217.6,303.0,191.8,192.4,34.6,200.3,244.2,193.6,97.3,307.3,225.7
EC,476.6,306.4,57.4,377.0,348.1,178.1,265.5,166.9,212.0,475.5,194.9,327.4,421.8,94.8,283.3,442.4,0.0,353.7,279.9,62.6,179.8,427.5,379.1,404.2,212.9,378.7,25.4,190.0,338.5,334.2,386.8,100.2,446.6,188.0,382.6,214.0,376.4,304.3,421.0,456.0,455.7,378.8,213.0,346.8,231.4,2288.8,133.7,394.6,104.8,153.8,370.3,412.9,64.8,319.9,379.4,595.9,89.6,215.0,270.3,402.9,529.5,405.3,350.2,328.2,164.5,382.0,397.1,382.2,371.2,157.3,216.9,368.6,395.3,155.9,297.8,354.9,373.4,412.3,139.9,147.3,357.4,274.7,142.8,426.5,585.5,124.7,50.0,62.0,230.0,228.4,165.4,542.9,373.5,397.7,316.3,212.2,289.7,408.6,132.9,256.6
ED,223.3,61.8,389.0,66.0,186.0,308.4,176.2,188.7,266.5,171.3,254.5,130.2,186.9,426.4,155.0,94.4,382.9,0.0,195.6,445.4,230.6,192.6,156.0,119.6,223.8,85.7,346.7,220.4,136.1,128.8,151.9,297.0,207.7,246.8,147.7,206.4,78.2,61.3,202.2,151.8,198.6,187.9,174.6,232.1,122.3,2392.3,320.3,159.7,283.4,265.1,67.6,185.7,396.4,44.7,144.5,300.7,406.8,231.4,119.5,168.0,251.9,94.3,97.3,35.2,336.1,79.1,52.3,128.9,151.6,255.0,336.7,96.1,141.8,257.8,151.5,61.9,43.4,177.4,270.5,242.9,175.4,195.9,276.1,78.5,290.3,284.5,323.2,359.2,242.0,162.9,248.3,247.7,223.6,49.7,158.3,189.5,138.9,128.5,333.2,171.0
EE,274.5,132.3,281.0,202.9,247.2,199.2,85.8,221.3,220.7,281.8,146.3,209.0,247.7,318.4,91.2,239.8,274.9,179.6,0.0,337.6,184.8,253.4,217.2,230.1,142.4,204.6,238.7,174.6,164.4,185.7,212.7,239.9,272.5,237.8,208.5,153.8,202.3,130.2,246.9,267.9,281.6,249.1,156.5,251.1,76.5,2346.5,263.2,220.5,226.3,233.8,196.2,238.8,288.4,145.8,205.3,393.8,298.8,123.2,96.2,228.8,357.7,231.2,176.1,154.1,280.1,207.9,223.0,176.9,199.6,186.0,313.9,194.5,223.5,248.0,160.3,180.8,184.9,238.2,260.3,185.8,236.6,150.1,222.8,232.2,383.4,239.2,215.2,251.2,49.8,171.9,257.5,340.8,273.7,209.2,142.2,141.0,115.6,236.8,175.6,146.9
EF,532.0,392.6,62.7,463.2,403.5,261.9,365.1,222.3,237.3,530.9,294.5,382.8,508.0,28.7,369.5,497.8,55.3,439.9,335.3,0.0,238.7,513.7,477.5,490.4,309.4,464.9,80.8,248.9,424.7,389.6,473.0,155.6,532.8,259.7,468.8,310.5,462.6,390.5,507.2,511.4,541.9,434.2,268.4,402.2,317.6,2344.2,159.0,480.8,163.7,231.7,456.5,499.1,65.7,406.1,465.6,651.3,65.6,314.6,356.5,489.1,584.9,491.5,436.4,414.4,189.8,468.2,483.3,437.2,426.6,253.8,242.2,454.8,450.7,231.8,353.2,441.1,428.8,498.5,198.8,207.7,412.8,300.0,220.7,481.9,640.9,200.6,105.4,120.9,285.4,317.5,241.3,598.3,428.9,453.1,402.5,267.6,375.9,464.0,216.7,342.8
ET,317.8,175.6,197.0,246.2,290.5,211.4,153.7,97.2,35.8,325.1,232.0,252.3,291.0,216.5,152.5,283.1,221.3,222.9,173.1,253.9,0.0,296.7,260.5,273.4,178.6,247.9,148.7,10.2,207.7,229.0,256.0,168.1,315.8,82.4,251.8,144.0,245.6,173.5,290.2,311.2,324.9,292.4,112.2,336.6,100.6,2260.7,119.8,263.8,114.8,114.5,239.5,282.1,204.4,189.1,248.6,437.1,190.8,208.9,139.5,272.1,401.0,274.5,219.4,197.4,120.1,251.2,266.3,220.2,242.9,124.1,120.7,237.8,266.8,69.6,230.9,224.1,228.2,281.5,39.8,148.5,279.9,83.0,125.5,275.5,426.7,100.8,195.6,116.7,210.3,100.5,60.1,384.1,317.0,252.5,185.5,127.1,158.9,280.1,167.8,125.8
EZ,191.4,206.6,463.5,218.0,131.5,401.4,334.4,277.4,355.2,198.7,349.8,227.3,164.6,500.9,243.7,167.9,457.4,225.3,327.7,520.1,319.3,0.0,134.1,147.0,385.5,278.9,421.2,309.1,276.4,218.2,129.6,423.2,189.4,335.5,125.4,295.1,256.7,180.3,163.8,184.8,198.5,145.0,263.3,146.1,211.0,2481.0,465.4,23.9,428.5,436.0,149.6,155.7,470.9,195.9,122.2,310.7,481.3,366.3,208.2,67.7,295.7,193.7,182.9,228.4,482.3,136.0,252.8,288.9,311.6,420.1,425.4,122.6,161.5,346.5,218.0,255.1,177.3,77.1,359.2,388.0,120.9,284.6,425.0,185.6,300.3,441.4,397.7,433.7,277.8,251.6,337.0,257.7,112.6,174.8,254.2,278.2,227.6,174.8,377.8,259.7
FG,85.1,160.4,372.5,171.8,29.9,348.7,281.7,231.2,309.0,96.3,297.1,174.6,58.3,409.9,197.5,126.7,366.4,167.9,275.0,429.1,273.1,143.2,0.0,68.8,332.8,207.3,330.2,262.9,230.2,165.5,23.3,332.2,83.1,289.3,77.8,248.9,210.5,134.1,57.5,76.8,123.6,31.8,217.1,76.0,164.8,2434.8,410.5,110.3,375.8,383.3,103.4,49.4,379.9,149.7,70.2,225.7,390.3,313.6,162.0,92.4,150.3,147.5,136.7,203.2,427.4,89.8,203.1,253.3,276.0,356.5,379.2,76.4,16.1,300.3,165.3,229.9,156.9,101.8,313.0,335.3,19.3,238.4,372.3,146.2,215.3,379.4,306.7,342.7,225.1,205.4,290.8,172.7,67.5,118.1,208.0,232.0,181.4,29.4,325.1,213.5
FV,148.1,160.9,398.8,171.5,109.9,350.6,218.4,222.2,308.7,96.1,297.5,175.7,106.1,477.2,197.2,98.7,391.9,130.7,237.8,487.6,272.8,143.8,80.8,0.0,266.0,194.6,355.7,262.6,221.2,189.0,71.1,338.1,132.5,289.0,72.7,239.9,208.1,133.8,127.0,76.6,123.4,112.7,217.6,156.9,155.8,2434.5,363.3,111.7,325.6,308.1,103.1,110.5,405.4,149.4,69.9,225.5,451.5,274.4,163.2,120.0,192.5,147.2,136.4,166.0,378.3,89.5,168.4,240.6,263.3,244.2,378.9,73.2,66.6,297.1,202.5,192.7,118.8,128.6,312.7,285.9,100.2,229.4,309.6,109.0,224.3,318.0,332.2,368.2,305.1,205.1,290.5,172.5,148.4,80.9,207.7,231.7,181.9,52.4,274.0,214.0
GC,303.3,161.1,210.6,231.7,276.0,110.1,62.7,78.8,192.8,310.6,112.1,237.8,276.5,285.2,144.6,268.6,204.5,208.4,138.6,267.2,157.7,282.2,246.0,258.9,0.0,233.4,168.3,167.9,193.2,214.5,241.5,150.8,301.3,95.3,237.3,64.3,231.1,159.0,275.7,296.7,310.4,277.9,78.0,291.7,86.1,2374.8,174.1,249.3,137.2,99.8,225.0,267.6,218.0,174.6,234.1,422.6,259.5,89.0,125.0,257.6,386.5,260.0,204.9,182.9,170.8,236.7,251.8,205.7,228.4,43.5,171.4,223.3,252.3,105.5,200.9,209.6,213.7,267.0,117.8,96.7,265.4,149.4,110.8,261.0,412.2,119.2,144.8,180.8,90.4,93.4,115.0,369.6,302.5,238.0,171.0,62.5,144.4,265.6,86.5,50.4
GF,275.9,78.7,396.5,79.2,239.1,326.8,194.6,207.1,284.9,227.9,272.9,171.0,239.5,453.4,173.4,117.1,368.1,82.3,214.0,463.8,249.0,245.2,201.0,185.7,242.2,0.0,331.9,238.8,53.1,198.5,204.5,323.0,282.3,265.2,200.3,224.8,39.3,94.5,265.2,214.8,273.2,232.9,193.0,277.1,140.7,2410.7,345.8,225.7,301.8,281.7,135.0,248.7,381.6,77.9,197.1,296.1,427.7,249.8,111.1,219.9,235.9,107.5,149.9,55.0,354.5,147.1,42.0,45.9,68.6,229.1,355.1,156.8,186.8,272.5,184.7,31.5,71.1,230.0,288.9,261.3,220.4,214.3,294.5,97.0,285.7,302.9,308.4,344.4,256.7,181.3,266.7,243.1,268.6,135.1,75.3,207.9,90.9,169.8,249.0,203.5
GJ,450.1,265.3,27.2,350.5,321.6,151.6,239.0,140.4,172.5,449.0,168.4,300.9,395.3,64.6,256.8,415.9,69.5,327.2,253.4,102.1,194.1,401.0,352.6,368.5,186.4,352.2,0.0,204.3,312.0,307.7,360.3,62.8,420.1,161.5,356.1,187.5,349.9,277.8,394.5,429.5,429.2,352.3,186.5,320.3,204.9,2279.8,115.2,368.1,78.3,129.1,343.8,386.4,34.6,293.4,352.9,569.4,63.1,188.5,254.0,376.4,519.7,378.8,323.7,301.7,125.0,355.5,370.6,355.7,344.7,120.6,177.4,347.9,368.8,129.4,271.3,328.4,346.9,385.8,113.4,120.8,330.9,235.2,116.3,400.0,559.0,98.2,23.5,35.5,203.5,201.9,138.9,516.4,347.0,371.2,289.8,185.7,274.2,385.8,101.1,224.5
HD,307.6,165.4,207.2,236.0,280.3,221.6,143.5,87.0,46.0,314.9,221.8,242.1,280.8,226.7,142.3,272.9,231.5,212.7,162.9,264.1,10.2,286.5,250.3,263.2,168.4,237.7,158.9,0.0,197.5,218.8,245.8,178.3,305.6,92.6,241.6,133.8,235.4,163.3,280.0,301.0,314.7,282.2,102.0,326.4,90.4,2250.5,130.0,253.6,125.0,124.7,229.3,271.9,214.6,178.9,238.4,426.9,201.0,198.7,129.3,261.9,390.8,264.3,209.2,187.2,130.3,241.0,256.1,210.0,232.7,134.3,130.9,227.6,256.6,79.8,220.7,213.9,218.0,271.3,50.0,141.2,269.7,72.8,135.7,265.3,416.5,111.0,188.3,126.9,200.1,90.3,70.3,373.9,306.8,242.3,175.3,116.9,148.7,269.9,178.0,115.6
HL,319.1,110.4,352.2,77.7,274.2,282.5,150.3,162.8,240.6,271.1,266.8,226.0,265.1,409.1,129.1,160.3,323.8,125.4,169.7,419.5,204.7,270.8,244.2,228.9,197.9,43.1,287.6,194.5,0.0,241.7,230.1,278.7,325.5,220.9,225.9,180.5,37.8,137.7,308.4,258.0,316.4,276.1,145.8,320.3,96.4,2366.4,301.5,251.3,257.5,237.4,178.2,291.9,337.3,121.1,222.7,339.3,383.4,221.7,58.0,245.5,262.4,106.0,193.1,86.7,310.2,190.3,85.2,12.4,35.1,184.8,310.8,200.0,230.0,235.0,227.9,63.2,114.9,255.6,244.6,217.0,263.6,170.0,250.2,140.2,328.9,258.6,264.1,300.1,203.5,137.0,222.4,286.3,311.8,175.2,22.2,163.6,48.8,216.7,306.6,145.1
HO,228.0,130.3,333.1,141.7,156.5,250.4,183.4,278.7,278.9,235.3,198.8,90.4,201.2,370.5,167.4,218.6,327.0,138.8,176.7,389.7,243.0,206.9,170.7,183.6,234.5,211.2,290.8,232.8,200.1,0.0,166.2,291.1,226.0,319.2,162.0,245.9,217.1,113.0,200.4,221.4,235.1,187.2,248.6,141.6,134.7,2404.7,314.4,174.0,277.5,285.0,191.8,192.3,340.5,128.6,158.8,347.3,350.9,215.3,131.9,182.3,337.9,117.4,129.6,174.1,331.3,203.3,158.5,257.2,279.9,269.1,394.6,148.0,203.7,321.6,67.0,200.8,136.4,191.7,342.5,237.0,165.8,208.3,274.0,202.7,336.9,290.4,267.3,303.3,126.8,264.0,331.1,294.3,168.3,173.9,177.9,233.1,151.3,217.0,226.8,239.0
HT,61.7,149.0,386.9,160.4,66.4,339.5,207.3,219.8,297.6,102.9,285.6,163.8,34.9,466.1,186.1,110.3,380.8,167.7,226.7,476.5,261.7,132.7,36.4,57.4,254.9,221.3,344.6,251.5,218.8,177.9,0.0,328.1,59.7,277.9,61.6,237.5,199.1,122.7,34.1,83.4,68.8,68.1,205.7,112.5,153.4,2423.4,351.4,99.8,314.5,296.2,92.0,26.0,394.3,138.3,58.8,181.0,440.4,262.5,150.6,108.1,156.9,136.1,125.3,170.8,367.2,78.4,195.2,231.3,254.0,286.1,367.8,65.0,22.7,288.9,200.1,197.5,119.7,117.5,301.6,274.0,55.8,227.0,307.2,128.0,170.6,315.6,321.1,357.1,261.6,194.0,279.4,128.0,104.0,117.2,196.6,220.6,170.0,36.0,283.7,202.1
IE,435.5,293.3,81.2,363.9,368.4,112.6,215.8,119.4,199.2,442.8,145.2,370.0,408.7,132.0,297.7,400.8,88.5,340.6,246.2,151.2,179.0,414.4,378.2,391.1,162.3,365.6,52.3,189.2,325.4,299.1,373.7,0.0,433.5,98.6,369.5,165.0,363.3,291.2,407.9,428.9,442.6,399.1,200.7,353.5,218.3,2333.2,118.9,381.5,74.9,64.4,357.2,399.8,102.0,306.8,366.3,554.8,112.4,165.3,267.4,389.8,518.7,386.6,337.1,315.1,128.7,368.9,384.0,334.7,323.7,99.6,192.0,361.3,384.5,115.9,262.7,341.8,345.9,399.2,139.1,58.4,377.7,152.7,53.4,393.2,544.4,87.8,28.8,64.8,196.3,212.2,128.5,501.8,380.2,370.2,303.2,181.3,276.6,401.5,67.4,200.4
IH,84.0,199.3,437.2,210.7,116.7,389.8,257.6,270.1,347.9,65.7,335.9,214.1,35.0,516.4,236.4,160.6,431.1,218.0,277.0,526.8,312.0,183.0,86.7,107.7,305.2,271.6,394.9,301.8,269.1,228.2,50.2,378.4,0.0,328.2,111.9,287.8,249.4,173.0,48.0,89.1,9.1,112.6,256.0,162.8,203.7,2473.7,401.7,150.1,364.8,346.5,142.3,60.0,444.6,188.6,109.1,161.4,490.7,312.8,200.9,158.4,94.6,186.4,175.6,221.1,417.5,128.7,245.5,281.6,304.3,336.4,418.1,115.3,73.0,339.2,250.4,247.8,170.0,167.8,351.9,324.3,106.1,277.3,357.5,178.3,151.0,365.9,371.4,407.4,311.9,244.3,329.7,108.4,154.3,167.5,246.9,270.9,220.3,86.3,334.0,252.4
