from_stop,AF,AL,AN,AV,AX,BA,BD,BN,BT,BY,CD,CE,CF,CH,CL,CR,CT,DC,DD,DG,DU,DX,EB,ED,EM,EV,FG,FN,FQ,FS,FW,FX,GB,GM,GZ,HD,HE,HK,HO,HQ,HT,HU,ID,IH,IL,IO,IV,IX,IZ,JA,JB,JC,JD,JG,JS,JW,JX,JY,KE,KG,KH,KL,KU,LC,LE,LP,LV,MB,MF,MI,ML,MY,NG,NI,NT,OG,OK,OL,OR,OU,OX,OY,OZ,PB,PF,PL,PN,PQ,PY,QE,QF,QH,QL,QU,QW,QX,QY,QZ,RF,RK,RN,RS,RU,RV,SB,SH,SR,SW,TA,TD,TZ,UC,UI,UV,UW,UX,VA,VD,VH,VI,VJ,VM,VR,VW,VZ,WP,WS,XB,XJ,XN,XW,YD,YE,YG,YJ,YK,YO,ZH,ZQ,ZU
CD,341.7,308.1,545.1,753.9,676.3,444.8,622.9,247.3,420.4,210.5,0.0,408.8,806.5,197.6,792.5,445.4,503.3,442.2,175.3,296.7,861.4,209.8,362.4,2422.4,316.9,457.2,153.5,323.8,259.9,829.0,482.4,288.1,261.7,270.8,367.6,354.2,590.1,455.9,542.0,239.3,447.3,642.9,753.1,722.5,529.5,385.8,369.2,548.3,477.6,354.5,260.3,188.8,729.5,333.3,318.3,690.8,320.5,299.1,333.5,739.2,456.4,296.8,363.2,604.3,627.6,167.2,304.8,307.1,635.7,301.7,470.0,400.8,591.9,837.9,314.0,116.6,592.4,285.0,145.7,758.5,380.3,644.9,208.3,484.6,462.2,633.7,297.6,392.9,664.8,112.3,328.7,713.4,490.7,371.0,56.7,206.1,743.7,416.5,235.9,761.8,506.0,772.8,306.0,777.6,107.9,689.8,371.4,122.0,805.6,404.1,494.5,352.6,777.2,460.4,140.2,300.0,806.3,457.2,500.8,303.6,256.3,345.5,759.4,441.5,419.2,674.3,308.6,437.7,828.7,184.3,625.6,323.4,183.8,483.9,769.4,708.4,249.3,414.0,797.7,388.9
CE,657.6,380.0,296.9,505.7,428.1,92.3,938.8,363.6,736.3,526.4,414.7,0.0,558.3,468.7,544.3,197.2,819.2,758.1,491.2,612.6,613.2,396.9,346.8,2321.0,281.3,48.3,429.3,363.7,376.2,580.8,446.8,272.5,577.6,235.2,172.9,467.4,906.0,47.0,526.4,355.6,763.2,394.7,504.9,474.3,845.4,499.0,333.6,300.1,68.7,670.4,576.2,459.9,481.3,651.1,634.2,1006.7,284.9,263.5,649.4,491.0,208.2,612.7,679.1,920.2,612.0,253.1,421.1,623.0,387.5,266.1,785.9,31.9,576.3,589.7,629.9,432.5,908.3,600.9,461.6,510.3,696.2,399.1,524.2,236.4,446.6,949.6,613.5,276.8,416.6,424.8,212.6,463.6,455.1,254.9,372.6,292.6,495.5,732.4,551.8,513.6,821.9,524.6,270.4,529.4,379.0,441.6,681.8,437.9,557.4,368.5,478.9,65.6,529.0,776.3,456.1,615.9,558.1,341.1,252.6,405.4,572.2,661.4,511.2,405.9,171.0,426.1,273.0,753.6,580.5,500.2,941.5,287.8,454.9,468.3,521.2,460.2,388.8,398.4,549.5,704.8
CF,1012.7,735.1,328.8,104.4,208.3,571.7,1293.9,718.7,1091.4,881.5,769.8,535.7,0.0,823.8,349.8,421.9,1174.3,1113.2,846.3,967.7,85.8,752.0,701.9,2261.1,636.4,584.1,784.4,718.8,731.3,53.4,801.9,627.6,932.7,590.3,528.0,822.5,1261.1,582.8,881.5,710.7,1118.3,243.0,52.6,279.8,1200.5,854.1,688.7,352.9,604.5,1025.5,931.3,815.0,286.8,1006.2,989.3,1361.8,640.0,618.6,1004.5,296.5,418.1,967.8,1034.2,1275.3,967.1,608.2,776.2,978.1,365.0,621.2,1141.0,527.7,931.4,62.3,985.0,787.6,1263.4,956.0,816.7,109.0,1051.3,376.6,879.3,461.1,801.7,1304.7,968.6,631.9,220.4,779.9,567.7,246.5,810.2,610.0,727.7,647.7,278.4,1087.5,906.9,43.5,1177.0,32.5,625.5,128.1,734.1,270.1,1036.9,793.0,30.0,723.6,834.0,479.5,127.7,1131.4,811.2,971.0,206.8,696.2,430.8,760.5,927.3,1016.5,181.8,761.0,456.9,403.6,628.1,1108.7,229.2,855.3,1296.6,642.9,810.0,823.4,119.9,288.7,743.9,753.5,198.2,1059.9
CH,450.4,352.0,589.0,797.8,720.2,488.7,731.6,291.2,529.1,319.2,205.4,452.7,850.4,0.0,836.4,489.3,612.0,550.9,284.0,405.4,905.3,253.7,406.3,2466.3,360.8,501.1,33.5,367.7,303.8,872.9,526.3,332.0,370.4,314.7,411.5,398.1,698.8,499.8,585.9,283.2,556.0,686.8,797.0,766.4,638.2,429.7,413.1,592.2,521.5,463.2,369.0,66.2,773.4,442.0,427.0,799.5,364.4,343.0,442.2,783.1,500.3,405.5,471.9,713.0,671.5,211.1,348.7,415.8,679.6,345.6,578.7,444.7,635.8,881.8,422.7,225.3,701.1,393.7,254.4,802.4,489.0,688.8,317.0,528.5,506.1,742.4,406.3,436.8,706.7,217.6,372.6,757.3,534.6,414.9,165.4,250.0,787.6,525.2,344.6,805.7,614.7,816.7,349.9,821.5,93.8,733.7,480.1,230.7,849.5,448.0,538.4,396.5,821.1,569.1,248.9,408.7,850.2,501.1,544.7,347.5,365.0,454.2,803.3,485.4,463.1,718.2,352.5,546.4,872.6,293.0,734.3,367.3,61.2,527.8,813.3,752.3,293.2,457.9,841.6,497.6
CL,980.9,703.3,200.3,257.8,178.3,539.9,1262.1,686.9,1059.6,849.7,738.0,503.9,292.4,792.0,0.0,299.9,1142.5,1081.4,814.5,935.9,347.3,720.2,670.1,2422.7,604.6,552.3,752.6,687.0,699.5,314.9,770.1,595.8,900.9,558.5,496.2,790.7,1229.3,551.0,849.7,678.9,1086.5,144.9,239.0,60.9,1168.7,822.3,656.9,224.4,572.7,993.7,899.5,783.2,67.9,974.4,957.5,1330.0,608.2,586.8,972.7,31.3,289.6,936.0,1002.4,1243.5,935.3,576.4,744.4,946.3,236.5,589.4,1109.2,495.9,899.6,323.8,953.2,755.8,1231.6,924.2,784.9,240.2,1019.5,248.1,847.5,340.1,769.9,1272.9,936.8,600.1,166.8,748.1,535.9,213.8,778.4,578.2,695.9,615.9,245.7,1055.7,875.1,247.7,1145.2,258.7,593.7,281.5,702.3,191.8,1005.1,761.2,291.5,691.8,802.2,447.7,209.5,1099.6,779.4,939.2,165.5,597.8,302.3,728.7,895.5,984.7,118.6,729.2,425.1,275.1,596.3,1076.9,187.9,823.5,1264.8,611.1,778.2,791.6,273.3,210.4,712.1,721.7,156.9,1028.1
CR,680.9,403.3,99.6,346.3,230.8,239.9,962.1,386.9,759.6,549.7,438.0,203.9,431.2,492.0,347.0,0.0,842.5,781.4,514.5,635.9,486.1,420.2,370.1,2247.5,304.6,252.3,452.6,387.0,399.5,453.7,470.1,295.8,600.9,258.5,196.2,490.7,929.3,251.0,549.7,378.9,786.5,197.4,377.8,277.0,868.7,522.3,356.9,102.8,272.7,693.7,599.5,483.2,284.0,674.4,657.5,1030.0,308.2,286.8,672.7,293.7,10.9,636.0,702.4,943.5,635.3,276.4,444.4,646.3,190.2,289.4,809.2,195.9,599.6,462.6,653.2,455.8,931.6,624.2,484.9,341.6,719.5,201.8,547.5,39.1,469.9,972.9,636.8,300.1,219.3,448.1,235.9,266.3,478.4,278.2,395.9,315.9,298.2,755.7,575.1,386.5,845.2,397.5,293.7,402.3,402.3,244.3,705.1,461.2,430.3,391.8,502.2,147.7,355.3,799.6,479.4,639.2,360.8,296.8,55.3,428.7,595.5,684.7,313.9,429.2,125.1,228.8,296.3,776.9,383.2,523.5,964.8,311.1,478.2,491.6,394.1,262.9,412.1,421.7,352.2,728.1
CT,217.2,726.1,963.1,1171.9,1094.3,862.8,735.3,665.3,532.8,316.0,536.8,826.8,1224.5,615.6,1210.5,863.4,0.0,101.9,560.2,248.4,1279.4,627.8,780.4,2840.4,734.9,875.2,576.2,741.8,677.9,1247.0,900.4,706.1,374.1,688.8,785.6,772.2,702.5,873.9,960.0,657.3,96.8,1060.9,1171.1,1140.5,26.2,803.8,787.2,966.3,895.6,128.9,299.8,606.8,1147.5,330.2,447.3,803.2,738.5,717.1,220.3,1157.2,874.4,291.8,179.3,716.7,1045.6,585.2,722.8,302.1,1053.7,719.7,599.0,818.8,1009.9,1255.9,402.7,449.3,704.8,397.4,432.6,1176.5,469.0,1065.3,380.1,902.6,880.2,746.1,410.0,810.9,1082.8,530.3,746.7,1129.8,908.7,789.0,469.1,624.1,1161.7,188.2,258.7,1179.8,618.4,1190.8,724.0,1195.6,525.9,1107.8,206.0,454.7,1223.6,822.1,912.5,770.6,1195.2,82.7,386.0,429.0,1224.3,875.2,918.8,707.1,368.7,227.2,1177.4,859.5,837.2,1092.3,726.6,106.4,1246.7,514.4,738.0,741.4,601.8,901.9,1187.4,1126.4,667.3,832.0,1215.7,501.3
DC,268.4,684.4,921.4,1130.2,1052.6,821.1,693.6,623.6,491.1,274.3,493.0,785.1,1182.8,573.9,1168.8,821.7,89.8,0.0,518.5,154.8,1237.7,586.1,738.7,2798.7,693.2,833.5,529.8,700.1,636.2,1205.3,858.7,664.4,332.4,647.1,743.9,730.5,660.8,832.2,918.3,615.6,5.1,1019.2,1129.4,1098.8,116.0,762.1,745.5,924.6,853.9,180.1,258.1,565.1,1105.8,288.5,405.6,761.5,696.8,675.4,118.3,1115.5,832.7,250.1,230.5,675.0,1003.9,543.5,681.1,260.4,1012.0,678.0,557.3,777.1,968.2,1214.2,361.0,407.6,663.1,355.7,390.9,1134.8,427.3,1021.2,338.4,860.9,838.5,704.4,368.3,769.2,1039.1,488.6,705.0,1089.7,867.0,747.3,427.4,582.4,1120.0,239.4,217.0,1138.1,576.7,1149.1,682.3,1153.9,484.2,1066.1,255.6,413.0,1181.9,780.4,870.8,728.9,1153.5,18.2,344.3,387.3,1182.6,833.5,877.1,679.9,327.0,275.5,1135.7,817.8,795.5,1050.6,684.9,4.4,1205.0,472.7,696.3,699.7,560.1,860.2,1145.7,1084.7,625.6,790.3,1174.0,459.6
DD,351.1,370.6,607.6,816.4,738.8,507.3,632.3,309.8,429.8,219.9,181.3,471.3,869.0,260.1,855.0,507.9,512.7,451.6,0.0,306.1,923.9,272.3,424.9,2484.9,379.4,519.7,220.7,386.3,322.4,891.5,544.9,350.6,271.1,333.3,430.1,416.7,599.5,518.4,604.5,301.8,456.7,705.4,815.6,785.0,538.9,448.3,431.7,610.8,540.1,363.9,269.7,251.3,792.0,344.6,327.7,700.2,383.0,361.6,342.9,801.7,518.9,306.2,372.6,613.7,690.1,229.7,367.3,316.5,698.2,364.2,479.4,463.3,654.4,900.4,323.4,126.0,601.8,294.4,155.1,821.0,389.7,709.8,217.7,547.1,524.7,643.1,307.0,455.4,727.3,174.8,391.2,774.3,553.2,433.5,113.6,268.6,806.2,425.9,245.3,824.3,515.4,835.3,368.5,840.1,170.4,752.3,375.3,131.4,868.1,466.6,557.0,415.1,839.7,469.8,149.6,309.4,868.8,519.7,563.3,351.6,265.7,354.9,821.9,504.0,481.7,736.8,371.1,447.1,891.2,193.7,635.0,385.9,246.3,546.4,831.9,770.9,311.8,476.5,860.2,398.3
DG,116.8,529.5,766.5,975.3,897.7,666.2,538.7,468.7,336.2,119.4,340.2,630.2,1027.9,419.0,1013.9,666.8,235.3,145.4,363.6,0.0,1082.8,431.2,583.8,2643.8,538.3,678.6,379.6,545.2,481.3,1050.4,703.8,509.5,177.5,492.2,589.0,575.6,505.9,677.3,763.4,460.7,150.5,864.3,974.5,943.9,261.5,607.2,590.6,769.7,699.0,129.6,103.2,410.2,950.9,133.6,250.7,606.6,541.9,520.5,36.7,960.6,677.8,95.2,138.3,520.1,849.0,388.6,526.2,105.5,857.1,523.1,402.4,622.2,813.3,1059.3,206.1,252.7,508.2,200.8,236.0,979.9,272.4,868.7,183.5,706.0,683.6,549.5,213.4,614.3,886.2,333.7,550.1,933.2,712.1,592.4,272.5,427.5,965.1,191.6,62.1,983.2,421.8,994.2,527.4,999.0,329.3,911.2,141.0,258.1,1027.0,625.5,715.9,574.0,998.6,163.6,189.4,232.4,1027.7,678.6,722.2,510.5,172.1,120.6,980.8,662.9,640.6,895.7,530.0,140.9,1050.1,317.8,541.4,544.8,405.2,705.3,990.8,929.8,470.7,635.4,1019.1,304.7
DU,1080.0,802.4,396.1,171.7,275.6,639.0,1361.2,786.0,1158.7,948.8,837.1,603.0,78.2,891.1,417.1,489.2,1241.6,1180.5,913.6,1035.0,0.0,819.3,769.2,2339.4,703.7,651.4,851.7,786.1,798.6,32.0,869.2,694.9,1000.0,657.6,595.3,889.8,1328.4,650.1,948.8,778.0,1185.6,310.3,119.9,347.1,1267.8,921.4,756.0,420.2,671.8,1092.8,998.6,882.3,354.1,1073.5,1056.6,1429.1,707.3,685.9,1071.8,363.8,485.4,1035.1,1101.5,1342.6,1034.4,675.5,843.5,1045.4,432.3,688.5,1208.3,595.0,998.7,23.4,1052.3,854.9,1330.7,1023.3,884.0,176.3,1118.6,443.9,946.6,528.4,869.0,1372.0,1035.9,699.2,287.7,847.2,635.0,313.8,877.5,677.3,795.0,715.0,345.7,1154.8,974.2,110.8,1244.3,99.8,692.8,195.4,801.4,337.4,1104.2,860.3,55.6,790.9,901.3,546.8,195.0,1198.7,878.5,1038.3,274.1,763.5,498.1,827.8,994.6,1083.8,249.1,828.3,524.2,470.9,695.4,1176.0,296.5,922.6,1363.9,710.2,877.3,890.7,187.2,356.0,811.2,820.8,265.5,1127.2
DX,456.3,273.9,510.9,719.7,642.1,410.6,737.5,213.1,535.0,325.1,213.4,374.6,772.3,267.4,758.3,411.2,617.9,556.8,289.9,411.3,827.2,0.0,328.2,2388.2,282.7,423.0,228.0,289.6,225.7,794.8,448.2,253.9,376.3,236.6,333.4,320.0,704.7,421.7,507.8,205.1,561.9,608.7,718.9,688.3,644.1,351.6,335.0,514.1,443.4,469.1,374.9,258.6,695.3,449.8,432.9,805.4,286.3,264.9,448.1,705.0,422.2,411.4,477.8,718.9,593.4,133.0,270.6,421.7,601.5,267.5,584.6,366.6,557.7,803.7,428.6,231.2,707.0,399.6,260.3,724.3,494.9,613.1,322.9,450.4,428.0,748.3,412.2,358.7,630.6,223.5,294.5,677.6,456.5,336.8,171.3,171.9,709.5,531.1,350.5,727.6,620.6,738.6,271.8,743.4,177.7,655.6,480.5,236.6,771.4,369.9,460.3,318.4,743.0,575.0,254.8,414.6,772.1,423.0,466.6,254.9,370.9,460.1,725.2,407.3,385.0,640.1,274.4,552.3,794.5,298.9,740.2,289.2,253.6,449.7,735.2,674.2,215.1,379.8,763.5,503.5
