from_stop,AA,AG,AO,AP,AS,AV,AY,BH,BL,BS,CZ,DA,DB,DI,DJ,DM,DP,DX,EG,EK,EP,EU,EW,EY,FA,FF,FP,FS,GD,GG,GJ,GK,GO,GV,GY,HO,IG,IK,IO,IQ,JD,JH,JO,JQ,JU,KC,KD,KI,KZ,LK,ML,MN,MX,MY,MZ,ND,NG,NK,NS,NY,OE,OG,OL,OT,PN,PV,QK,QQ,RC,RD,RF,RG,RH,RJ,RW,RY,RZ,SN,SP,SS,ST,SU,TG,TM,TN,TX,UB,UF,UN,UW,UX,VQ,VR,WB,WC,WD,WF,WI,WK,WT,XG,XJ,XN,XR,XY,YI,YM,YP,YT,YZ,ZA,ZD,ZG,ZN,ZO,ZQ,ZS,ZW
CZ,306.6,270.7,270.7,30.8,260.5,48.2,175.0,77.3,278.3,78.9,0.0,390.8,91.5,277.5,284.7,334.4,191.9,253.7,99.2,221.6,174.9,223.3,150.2,112.3,112.1,307.1,203.7,138.0,174.9,83.9,256.0,1236.9,166.0,223.1,241.6,251.1,147.5,148.0,127.0,164.9,193.5,213.1,157.9,373.1,290.5,174.9,129.8,127.2,30.1,36.9,239.7,71.3,54.6,80.5,276.7,237.5,170.8,72.4,24.7,300.3,141.4,201.0,178.0,16.6,40.4,350.1,235.8,86.6,230.1,325.3,233.8,144.4,346.3,47.3,350.3,110.9,103.8,98.5,222.9,112.8,220.8,113.3,58.9,183.7,254.7,162.6,45.1,50.4,294.7,75.9,92.4,253.6,150.7,210.7,108.8,195.6,84.6,84.1,129.2,79.8,104.8,268.4,48.6,68.8,119.2,188.3,371.1,359.0,156.5,245.0,69.1,213.1,84.2,124.5,249.2,248.2,213.0,163.3
DA,413.4,195.8,151.8,344.5,156.2,303.5,344.7,391.3,154.9,381.5,340.0,0.0,409.4,457.0,94.8,120.0,211.4,226.8,416.0,482.0,214.9,202.8,304.6,411.8,428.9,96.0,520.5,262.1,246.7,368.5,156.3,1124.0,482.8,346.9,210.4,133.3,271.6,447.5,443.8,253.9,191.3,178.7,474.3,185.4,103.9,473.0,302.0,315.5,326.2,353.7,449.2,388.1,368.3,325.0,110.9,447.0,325.0,389.2,356.4,114.8,281.6,280.7,265.5,333.4,354.1,63.4,155.4,329.1,240.9,397.8,265.8,241.8,41.4,345.7,85.3,409.1,255.7,398.0,221.1,352.0,432.5,332.1,345.2,500.5,491.2,479.4,347.7,373.7,127.8,316.7,296.3,206.0,304.9,232.5,305.9,279.7,401.4,397.8,446.0,293.5,404.8,144.0,385.4,382.5,282.0,342.5,48.6,81.7,264.9,441.5,371.7,498.3,402.8,283.8,458.7,220.9,422.5,270.4
DB,256.4,209.4,306.5,73.0,201.5,125.2,98.9,64.5,247.2,86.1,93.9,346.6,0.0,235.9,240.5,301.0,227.7,210.3,179.1,236.2,134.9,259.1,86.7,111.0,192.0,267.1,239.2,210.3,210.7,67.7,272.1,1313.9,246.5,166.5,232.6,211.1,219.8,146.7,139.3,200.7,153.5,166.1,184.2,366.4,250.5,198.5,89.8,78.4,92.6,99.9,203.4,161.5,50.6,130.6,236.7,201.2,122.0,114.5,82.0,260.3,218.5,181.0,209.6,127.7,63.4,310.1,200.5,97.7,240.0,275.1,193.8,176.0,309.2,114.9,330.7,108.3,194.1,97.2,243.3,43.7,186.7,61.8,76.4,211.0,249.6,184.9,58.8,78.0,287.6,84.5,64.1,275.2,97.7,253.5,131.9,144.5,101.6,107.7,155.3,156.8,104.0,259.8,141.4,35.9,230.2,139.5,351.5,316.0,192.3,195.7,34.8,211.8,170.1,160.3,212.9,284.0,176.7,237.6
DI,89.4,397.2,413.5,256.1,325.1,308.3,166.4,257.5,386.6,289.0,277.0,457.8,253.7,0.0,345.7,412.7,405.1,301.6,276.5,100.5,275.9,416.5,200.4,218.8,289.4,368.1,181.7,398.1,379.4,250.8,370.0,1466.5,157.0,209.1,373.6,309.0,407.6,284.0,193.1,394.5,294.0,306.6,147.6,478.1,353.7,136.0,248.2,223.4,275.7,283.0,137.9,241.4,233.7,324.4,352.6,127.8,218.6,259.0,288.3,372.0,401.5,320.0,402.9,310.8,246.5,409.3,336.8,314.6,373.4,73.8,305.1,369.3,410.9,298.0,428.6,245.6,363.9,232.0,384.3,195.2,63.2,235.3,264.5,165.3,35.5,200.3,279.7,261.1,389.5,301.4,281.0,434.7,200.9,416.6,325.7,289.7,246.1,203.9,213.6,339.9,234.5,357.7,273.6,219.0,379.3,233.5,449.4,417.7,386.1,53.7,281.5,146.5,258.6,354.1,139.5,447.1,71.3,423.4
DJ,378.2,201.4,106.0,329.9,47.7,288.9,249.8,308.4,109.1,335.7,325.4,106.0,289.1,392.1,0.0,56.2,165.6,128.5,401.4,387.1,120.0,157.0,224.4,366.0,414.3,22.3,459.8,216.3,200.9,322.7,110.5,1168.3,468.2,252.0,154.7,77.6,225.8,401.7,394.3,208.1,96.4,83.8,384.2,93.8,48.2,378.1,191.1,220.6,311.6,337.2,354.3,373.5,323.3,279.2,55.2,352.1,230.1,374.6,323.0,59.1,235.8,163.8,219.7,318.8,339.5,65.3,99.7,279.1,193.7,362.6,156.8,227.2,64.4,331.1,90.1,363.3,241.1,352.2,165.4,257.1,337.6,237.2,297.7,443.4,396.3,435.7,301.9,352.6,82.0,270.9,250.5,175.2,210.0,195.1,258.3,184.8,356.6,352.8,406.1,278.9,359.0,98.1,357.6,304.4,236.2,247.6,109.6,67.6,220.7,373.9,278.7,408.2,388.2,238.0,363.8,206.3,327.6,224.6
DM,433.4,169.0,93.8,317.7,104.3,276.7,307.8,321.9,96.9,323.5,313.2,109.3,348.0,447.3,55.1,0.0,153.4,187.1,389.2,442.3,175.2,144.8,264.9,353.8,402.1,33.8,472.1,204.1,188.7,310.5,98.3,1136.1,456.0,307.2,144.6,103.6,213.6,389.5,382.1,195.9,155.9,136.2,414.4,38.6,82.2,431.4,244.0,275.8,299.4,326.9,409.5,361.3,311.1,258.8,89.2,407.3,285.3,362.4,310.8,68.4,223.6,219.3,207.5,306.6,327.3,79.3,132.8,269.4,191.6,417.8,212.0,215.0,75.5,337.3,57.9,352.4,228.9,340.0,163.3,326.0,415.1,299.4,285.5,453.8,451.5,423.5,289.7,340.4,69.8,258.7,242.9,171.3,265.2,175.9,246.1,246.9,344.4,340.6,393.9,266.7,346.8,85.9,338.6,325.3,224.0,302.8,78.7,66.6,208.5,429.1,313.7,441.1,374.2,225.8,419.0,194.1,382.8,212.4
DP,315.2,78.7,78.7,167.3,162.7,126.3,194.4,168.4,95.4,170.0,162.8,209.7,194.5,333.9,173.5,142.4,0.0,162.5,238.8,319.7,135.6,31.3,152.6,200.3,251.7,152.2,318.6,46.9,35.2,157.0,64.0,1139.2,305.6,173.8,49.6,125.0,56.4,236.0,228.6,42.4,118.5,121.9,260.9,181.1,117.1,277.9,90.5,137.3,149.0,176.5,280.2,210.9,157.6,105.3,152.6,293.9,165.3,212.0,157.3,130.0,114.1,161.7,54.0,156.2,176.9,180.5,131.6,115.9,44.8,299.2,194.5,77.1,176.7,186.9,158.3,198.9,91.0,186.5,30.9,172.5,301.7,145.9,132.0,300.3,338.1,270.0,136.2,190.0,102.7,105.2,89.4,61.6,152.9,18.7,92.6,156.3,190.9,187.1,240.4,128.8,193.3,76.4,188.2,171.8,66.8,182.8,179.1,167.0,55.0,315.7,160.2,287.6,223.8,72.3,305.6,56.2,269.4,92.2
DX,307.0,247.4,210.2,269.5,104.3,274.8,210.2,268.8,145.8,269.5,265.0,249.4,245.3,347.2,121.4,199.6,162.7,0.0,341.0,347.5,80.4,197.8,160.9,299.8,353.9,165.7,420.2,195.4,149.8,256.5,170.7,1267.2,404.0,180.8,109.3,109.7,204.9,335.5,328.1,175.0,56.8,68.9,344.6,265.0,149.1,338.5,151.5,181.0,251.2,276.8,285.3,313.1,257.1,224.2,135.3,312.5,190.5,303.3,256.8,158.9,296.0,87.8,186.6,275.5,292.3,208.7,99.1,217.9,143.8,291.4,72.9,225.1,207.8,270.7,229.3,297.1,217.1,286.0,141.9,217.5,298.0,197.6,233.2,403.8,334.8,369.5,235.7,306.9,186.2,204.7,184.3,218.1,170.4,174.2,243.4,145.2,290.4,286.6,339.9,283.6,292.8,158.4,297.2,264.8,215.3,186.1,250.1,214.6,169.6,307.0,239.1,372.2,305.9,204.9,324.2,204.7,288.0,284.8
EG,305.5,195.4,321.9,128.9,299.9,99.6,243.8,149.2,309.1,181.3,94.6,434.9,163.1,276.4,338.9,367.6,249.6,304.5,0.0,195.1,229.1,259.2,218.4,118.6,12.9,361.3,177.2,189.4,237.8,95.9,289.2,1288.3,139.5,267.3,255.3,305.3,198.9,138.8,82.5,240.8,251.9,264.5,156.8,387.1,342.3,173.8,184.0,229.6,110.7,80.6,238.6,26.8,126.2,159.1,330.9,236.4,273.2,81.2,119.4,354.5,192.8,275.2,235.7,72.5,119.3,404.3,294.7,121.6,270.4,324.2,288.0,169.1,400.5,59.3,383.5,100.4,155.2,104.8,244.6,184.4,219.7,213.0,121.1,144.6,253.6,114.3,147.5,96.0,344.4,131.9,146.6,283.3,253.1,219.3,180.5,242.9,89.2,111.7,84.7,131.2,60.3,301.5,31.8,126.8,170.6,290.7,404.3,392.2,240.9,233.6,171.5,186.6,12.3,182.2,248.1,218.1,211.9,214.7
EK,201.3,410.9,410.9,166.7,349.3,218.9,157.0,168.1,376.0,199.6,187.6,479.6,237.3,113.1,373.5,429.8,332.1,342.5,187.1,0.0,263.7,363.5,178.4,129.4,200.0,395.9,76.1,308.7,315.1,161.4,400.9,1407.6,56.4,221.8,353.4,339.9,318.2,194.6,103.7,305.1,282.3,301.9,78.5,468.5,379.3,70.3,232.1,211.2,186.3,191.7,134.4,156.7,144.3,220.7,365.5,132.2,206.4,169.6,198.9,389.1,312.1,289.8,318.2,204.3,157.1,438.9,324.6,226.8,370.3,171.9,322.6,284.6,435.1,227.0,459.5,157.5,274.5,142.6,372.1,187.7,40.9,225.1,176.9,99.6,129.3,118.3,190.3,178.2,416.4,216.1,222.8,393.8,193.4,350.9,249.0,284.4,156.7,114.5,128.9,250.5,145.1,388.5,184.8,129.6,289.9,223.9,480.3,441.2,296.7,94.9,207.8,45.7,172.1,264.7,143.9,388.4,61.2,334.0
EP,258.1,207.8,176.6,189.0,85.5,169.2,132.5,188.3,112.2,189.0,184.5,215.8,169.0,272.0,109.7,166.0,129.1,78.7,260.5,267.0,0.0,164.2,89.6,219.3,273.4,132.1,339.7,161.8,103.4,176.0,137.1,1233.6,323.5,131.9,89.6,76.1,171.3,255.0,247.6,128.6,18.5,38.1,261.4,204.7,115.5,258.0,71.0,100.5,170.7,198.2,234.2,232.6,176.6,191.5,101.7,232.0,110.0,222.8,176.3,125.3,262.4,44.0,140.2,177.9,211.8,175.1,60.8,134.9,113.4,242.5,76.8,178.7,171.3,208.6,195.7,217.9,192.6,205.5,108.3,137.0,239.8,114.4,151.0,323.3,276.2,289.0,155.2,211.7,152.6,124.2,108.4,194.5,89.9,133.6,178.8,71.6,209.9,206.1,259.4,237.2,212.3,124.7,209.9,184.3,181.7,127.5,216.5,177.4,123.2,253.8,158.6,288.1,245.5,158.5,243.7,171.1,207.5,236.1
EU,337.1,65.0,80.6,192.9,149.8,151.9,216.3,190.3,101.0,191.9,188.4,211.6,216.4,355.8,175.4,144.3,21.8,184.4,264.4,341.6,157.5,0.0,165.3,222.2,277.3,154.1,340.5,72.5,57.1,178.9,65.9,1141.1,331.2,195.7,47.2,126.9,82.0,257.9,250.5,64.3,128.4,141.0,282.8,209.7,119.0,299.8,112.4,159.2,174.6,200.2,302.1,236.5,179.5,135.4,154.5,315.8,187.2,237.6,179.2,131.9,149.8,183.6,75.9,181.8,202.5,182.4,131.8,137.8,66.7,321.1,216.4,100.8,178.3,194.1,160.2,219.5,114.7,208.4,36.5,194.4,323.6,170.5,153.9,322.2,360.0,291.9,158.1,222.1,104.6,127.1,106.7,53.5,174.8,51.3,114.5,171.3,212.8,209.0,262.3,152.5,215.2,78.2,233.8,193.7,92.4,204.7,181.0,168.9,76.9,337.6,182.1,313.1,251.2,94.2,327.5,79.9,291.3,96.3
EW,197.5,222.5,261.9,131.7,146.2,151.8,40.0,120.5,197.5,142.1,152.6,299.6,97.0,177.0,193.5,251.3,214.4,160.6,224.4,177.3,85.2,248.0,0.0,169.7,250.7,217.4,250.0,247.1,188.7,126.4,222.4,1340.5,233.8,107.6,207.6,161.4,256.6,205.4,206.1,213.9,98.2,110.8,174.4,316.7,200.8,168.3,53.6,32.7,151.3,158.6,144.5,202.6,118.5,133.9,187.0,142.3,62.2,173.2,138.0,210.6,243.5,131.3,224.0,177.6,122.1,260.4,141.0,120.0,182.7,216.2,168.8,193.3,259.5,172.8,281.0,167.0,197.4,155.9,193.6,48.8,127.8,39.5,132.4,233.6,195.7,240.9,114.8,136.7,237.9,106.8,86.4,260.0,40.6,225.9,145.0,97.5,160.3,163.7,196.4,183.4,162.7,210.1,199.3,94.6,267.0,83.6,301.8,266.3,198.7,136.8,90.8,202.0,224.6,163.6,154.0,256.4,117.8,250.7
EY,250.2,311.1,311.1,83.0,300.9,134.4,202.6,84.4,318.7,115.9,103.9,431.2,119.1,221.1,325.1,374.8,232.3,294.1,122.7,160.3,215.3,263.7,177.8,0.0,137.0,347.5,168.7,214.9,215.3,51.9,296.4,1323.1,144.9,281.5,282.0,291.5,224.4,65.1,65.3,205.3,233.9,253.5,101.5,413.5,330.9,118.5,170.2,185.6,102.6,108.0,183.3,94.9,60.6,120.9,317.1,181.1,229.2,40.1,104.6,340.7,227.6,241.4,218.4,102.7,73.4,390.5,276.2,127.0,270.5,268.9,274.2,184.8,386.7,94.1,390.7,28.0,198.7,13.1,263.3,140.4,164.4,171.7,77.1,109.4,198.3,79.1,103.5,94.5,335.1,116.3,132.8,294.0,209.1,251.1,149.2,236.0,27.2,30.8,49.5,166.0,47.6,308.8,72.2,45.9,234.8,246.7,411.5,399.4,196.9,188.6,127.5,128.2,107.7,164.9,192.8,288.6,156.6,242.2
FA,317.7,322.6,334.1,141.1,326.9,111.8,258.8,161.4,321.3,193.5,106.8,447.1,175.3,288.6,351.1,379.8,261.8,320.1,12.1,207.3,241.3,271.4,234.0,130.8,0.0,373.5,189.4,201.6,250.0,108.1,301.4,1300.5,151.7,279.5,275.5,317.5,211.1,151.0,94.7,253.0,259.9,279.5,169.0,418.5,354.5,186.0,196.2,241.8,122.9,94.7,250.8,39.0,138.4,177.1,343.1,248.6,285.4,93.4,131.6,366.7,205.0,267.4,247.9,80.1,131.5,416.5,302.2,133.8,300.0,336.4,300.2,181.3,412.7,71.5,395.7,113.9,167.4,117.0,256.8,196.6,231.9,227.9,133.3,156.8,265.8,126.5,159.7,108.2,356.6,144.1,158.8,305.5,265.3,231.5,202.3,262.0,101.4,123.9,96.9,143.4,72.5,313.8,51.7,139.0,182.8,302.9,416.5,404.4,253.1,256.1,183.7,198.8,26.1,194.4,260.3,230.3,224.1,226.9
FF,399.5,158.8,83.6,307.5,70.4,266.5,273.9,311.7,86.7,313.3,303.0,86.1,310.4,413.4,21.2,33.8,143.2,153.2,379.0,408.4,141.3,134.6,231.0,343.6,391.9,0.0,461.9,193.9,178.5,300.3,88.1,1145.9,445.8,273.3,134.4,77.7,203.4,379.3,371.9,185.7,122.0,102.3,402.8,72.5,48.3,399.4,233.8,241.9,289.2,316.7,375.6,351.1,300.9,248.6,55.3,373.4,251.4,352.2,300.6,58.2,213.4,185.4,197.3,296.4,317.1,45.4,105.2,259.2,181.4,383.9,178.1,204.8,41.6,327.1,67.7,342.2,218.7,329.8,153.1,278.4,381.2,255.8,275.3,443.6,417.6,413.3,279.5,330.2,59.6,248.5,232.7,161.1,231.3,165.7,235.9,213.0,334.2,330.4,383.7,256.5,336.6,75.7,328.4,315.1,213.8,268.9,88.5,47.7,198.3,395.2,303.5,429.5,364.0,215.6,385.1,183.9,348.9,202.2
FP,261.4,414.5,414.5,170.3,394.5,222.5,233.7,171.7,422.1,203.2,191.2,524.8,252.2,187.7,418.7,478.2,335.7,387.7,189.7,79.9,308.9,367.1,255.1,133.0,202.6,441.1,0.0,312.3,318.7,165.0,399.8,1411.2,66.4,283.3,385.4,385.1,321.8,198.2,107.3,308.7,327.5,347.1,78.8,516.9,424.5,101.3,263.8,269.5,189.9,195.3,194.5,159.3,147.9,224.3,410.7,192.3,283.1,173.2,202.5,434.3,315.7,335.0,321.8,207.9,160.7,484.1,369.8,230.4,373.9,246.5,367.8,288.2,480.3,204.9,494.1,161.1,278.1,146.2,366.7,264.4,115.5,255.6,180.5,41.5,151.2,76.5,193.9,181.8,438.5,219.7,226.4,397.4,270.1,354.5,252.6,329.6,160.3,118.1,110.5,254.1,147.7,412.2,185.1,133.2,293.5,300.6,514.9,486.4,300.3,157.7,211.4,71.4,174.7,268.3,204.0,392.0,135.8,337.6
