from_stop,AJ,AP,AS,AW,AY,BG,BJ,BN,BV,BX,BY,CR,CS,CZ,DM,DW,EG,EJ,EO,HA,HO,IC,IE,IM,IO,IQ,IR,IV,JF,JK,JQ,JR,JX,KA,KN,LB,LC,LD,LE,LG,LH,LL,LQ,LR,LS,LY,MT,MV,NK,NN,NQ,NV,NX,NY,OC,OK,ON,OP,OY,PA,PI,PP,PT,QC,QD,QL,QQ,QR,QT,QU,RB,RM,RO,RR,RW,RX,SF,SO,SQ,SR,SV,TA,TD,TH,TX,UF,UH,UL,UP,UX,UZ,VB,VE,VF,VK,VO,VU,VY,WC,WG,WP,WX,XB,XL,XM,XW,YD,YE,YI,YR,YS,YW,ZB,ZK,ZM,ZO,ZQ
BY,155.7,196.3,190.7,139.5,189.1,236.1,311.4,81.0,198.7,147.5,0.0,49.7,72.6,120.0,210.6,190.7,143.2,346.1,156.9,209.4,94.6,182.0,100.1,147.1,173.1,91.6,131.9,216.3,210.0,228.4,65.7,298.5,88.0,21.7,198.8,154.8,52.9,119.6,105.0,210.8,85.7,131.7,206.2,166.3,133.0,34.7,143.5,66.2,252.9,283.5,108.3,255.1,204.2,29.6,217.1,74.2,118.4,46.2,173.5,200.3,117.8,70.6,110.2,98.1,131.7,102.8,129.6,75.3,178.2,88.1,159.4,252.2,132.2,234.6,43.5,207.0,159.2,135.3,242.4,141.0,320.5,118.1,159.1,134.7,103.3,209.9,111.5,118.0,187.5,45.9,141.8,143.4,117.6,165.2,72.0,168.3,145.9,165.4,100.8,187.0,1285.2,108.7,140.0,142.7,126.0,90.7,104.1,110.3,84.8,124.6,242.0,245.6,201.5,170.2,107.5,223.5,240.7
CR,121.5,209.3,200.4,105.3,193.8,247.1,304.4,91.3,201.7,162.8,59.3,0.0,22.8,130.3,220.3,189.3,141.8,339.1,148.2,220.4,99.3,191.7,50.3,152.7,152.1,102.6,134.9,216.8,203.0,234.9,76.0,291.5,91.0,81.1,191.8,122.8,73.9,132.7,116.0,213.8,52.0,134.7,215.9,136.4,126.0,61.0,153.2,87.0,263.9,327.6,161.0,257.1,202.8,20.0,226.8,133.6,128.7,67.0,183.2,211.3,87.9,81.6,113.2,101.1,97.5,70.8,105.1,134.7,181.2,81.1,125.2,250.8,130.8,237.6,53.8,200.0,162.2,167.6,235.4,151.3,313.5,121.1,162.1,145.7,116.4,208.5,114.5,129.0,190.5,66.9,144.8,113.5,83.4,135.3,82.3,171.3,156.9,168.4,111.1,180.0,1290.5,101.7,150.3,110.7,129.0,150.1,107.1,78.0,87.8,92.6,246.7,251.4,206.2,174.9,117.8,222.1,239.3
CS,98.6,232.2,223.3,82.4,170.9,224.2,281.5,114.2,179.3,139.9,82.2,22.8,0.0,153.2,243.2,166.4,118.9,316.2,171.1,197.5,76.4,214.6,27.4,175.6,129.2,79.7,112.5,194.4,180.1,212.0,98.9,268.6,113.9,104.0,168.9,105.8,53.5,155.6,138.9,233.9,74.9,157.6,238.8,129.1,103.1,83.9,176.1,74.1,241.0,304.7,183.9,234.2,179.9,42.9,249.7,156.5,151.6,89.9,206.1,188.4,110.8,58.7,136.1,114.8,74.6,93.7,82.2,157.6,158.8,58.2,102.3,227.9,107.9,215.2,76.7,177.1,184.0,190.5,212.5,174.2,290.6,144.0,185.0,122.8,139.3,185.6,137.4,106.1,213.4,60.5,122.4,106.2,60.5,128.0,105.2,148.9,134.0,191.3,134.0,157.1,1267.6,78.8,173.2,93.7,106.6,173.0,108.8,91.8,103.9,97.0,223.8,228.5,183.3,152.0,94.9,199.2,216.4
CZ,152.8,262.0,254.4,162.1,254.6,283.5,373.7,37.7,272.8,230.3,113.0,133.7,156.6,0.0,289.0,256.8,209.3,408.4,102.3,290.6,191.6,233.1,163.6,192.7,227.3,191.6,229.3,288.4,272.3,310.4,74.2,360.8,192.8,134.8,260.9,136.0,152.5,187.9,32.0,306.1,129.8,225.8,257.3,97.2,218.3,147.8,194.6,179.3,300.3,330.9,173.2,292.8,264.9,113.6,274.7,139.5,78.1,159.3,219.3,284.4,49.5,170.6,210.2,197.1,164.0,80.5,172.6,152.9,242.6,175.2,158.1,307.9,198.3,308.7,69.8,294.1,259.2,186.4,320.6,97.9,382.8,217.1,251.1,218.8,183.2,276.0,210.5,192.4,243.8,149.0,236.0,65.3,149.9,97.3,56.5,232.7,230.0,268.4,25.9,249.8,1332.6,199.2,19.3,123.9,222.5,153.7,204.1,133.6,184.8,107.2,290.1,312.6,257.3,226.0,185.3,285.9,306.8
DM,323.0,172.1,165.9,323.6,334.9,426.7,421.8,312.7,281.4,230.2,231.6,251.3,274.2,324.8,0.0,253.2,278.2,456.5,385.7,400.0,262.8,157.2,289.6,161.7,342.9,293.7,214.6,296.5,322.9,368.0,297.4,408.9,156.2,199.8,311.5,347.0,255.8,171.1,297.9,65.2,289.5,115.8,166.2,369.6,257.9,230.9,152.3,240.1,393.8,445.0,212.5,374.5,243.3,261.3,131.4,218.3,337.9,220.1,175.8,351.7,325.5,272.7,126.7,180.8,315.8,308.3,303.8,223.2,260.9,242.3,337.5,296.0,303.2,317.3,275.2,207.7,119.3,171.3,353.2,372.7,430.9,117.2,91.5,326.9,157.2,254.4,135.7,310.2,137.9,248.8,224.5,347.4,301.7,369.2,303.7,251.0,338.1,125.2,304.4,310.1,1201.3,227.3,334.5,334.9,208.7,232.9,186.8,315.5,207.4,330.1,379.8,307.6,347.3,321.2,309.6,264.3,285.2
DW,99.9,244.1,237.9,130.8,117.0,205.2,211.4,270.3,83.5,61.0,210.1,201.9,190.1,264.6,271.3,0.0,67.0,246.1,250.5,178.5,113.8,229.2,144.8,176.3,127.5,106.2,75.0,98.6,110.0,158.1,255.0,198.5,135.0,214.4,98.8,161.6,144.9,185.7,284.0,241.2,184.3,160.9,253.4,177.6,87.3,184.7,190.7,140.4,183.4,234.6,227.1,164.1,38.2,226.1,264.3,232.9,264.7,170.7,220.7,146.6,224.6,127.2,150.7,110.4,137.6,214.9,80.7,237.8,63.0,121.8,148.2,90.9,80.7,119.4,232.8,157.6,164.5,185.9,142.4,266.4,220.5,158.6,186.2,103.8,171.8,49.3,130.2,87.1,228.4,148.8,66.7,226.9,149.7,178.6,246.4,53.1,115.0,215.7,277.5,87.0,1131.3,120.7,255.6,173.7,81.8,248.1,104.4,197.3,140.6,192.1,169.9,102.5,129.4,98.1,90.3,59.2,80.1
EG,81.5,242.3,233.4,95.4,86.6,180.9,158.0,225.7,82.5,32.6,149.2,141.0,123.4,248.0,253.3,59.1,0.0,192.7,215.1,154.2,75.6,224.7,99.4,157.1,84.4,70.8,48.2,97.6,56.6,121.8,210.4,145.1,95.4,150.0,45.4,126.2,100.3,147.0,231.7,221.5,142.3,158.2,248.9,183.1,20.2,123.8,186.2,93.3,130.0,181.2,188.4,110.7,72.6,165.2,259.8,172.3,263.1,109.8,216.2,105.5,215.1,85.5,146.2,82.0,128.6,173.8,45.3,173.4,54.6,55.1,106.4,120.6,45.3,118.4,188.2,164.7,171.6,172.0,89.0,241.6,167.1,154.1,183.5,68.4,131.4,78.3,139.2,51.7,223.5,107.3,38.3,160.2,114.5,182.0,205.3,44.7,79.6,201.4,236.4,33.6,1155.3,48.4,221.2,147.7,54.1,188.8,76.0,145.8,73.5,151.0,133.6,105.0,99.0,62.7,54.9,91.9,109.1
EJ,258.6,433.1,424.2,272.5,176.7,175.4,82.9,416.5,173.0,224.2,340.0,331.8,314.2,438.8,444.1,261.2,190.7,0.0,392.2,148.7,262.5,415.5,290.2,348.7,242.9,255.2,239.8,155.4,134.0,136.4,401.2,48.7,287.0,340.8,145.2,303.3,291.1,338.5,422.5,407.5,333.1,349.8,439.7,287.1,211.0,314.6,377.0,284.1,101.1,86.1,379.9,85.3,206.5,356.0,450.6,363.1,430.7,300.6,407.0,138.8,334.1,276.2,337.0,273.6,279.3,364.6,222.4,364.2,193.5,245.9,283.5,159.4,229.4,137.1,379.0,350.7,357.6,363.6,101.6,408.1,92.0,344.9,375.1,210.0,322.2,201.2,323.3,228.0,414.3,298.1,229.9,351.0,305.3,288.1,396.1,203.4,195.1,392.2,427.2,157.0,1169.8,239.2,364.6,315.4,245.7,379.6,267.6,336.6,264.3,341.8,130.9,158.3,164.3,193.2,239.3,188.1,170.9
EO,148.7,324.8,335.6,162.6,240.0,306.8,359.1,89.4,258.2,215.7,164.7,169.6,176.4,114.1,350.8,242.2,194.7,393.8,0.0,278.9,203.4,322.2,172.4,288.5,205.0,186.6,231.3,273.3,257.7,281.1,137.6,346.2,226.8,186.5,246.5,129.8,180.5,268.5,146.6,349.6,169.5,270.5,346.4,116.0,215.0,196.8,283.7,201.1,323.6,382.3,248.5,325.8,255.7,173.8,357.3,232.4,38.4,202.8,313.7,269.8,58.7,185.7,249.0,241.8,169.4,78.0,158.0,242.0,237.7,185.2,146.9,303.7,183.7,294.1,121.5,304.1,311.0,275.5,290.1,15.8,368.2,256.9,297.9,204.2,252.2,261.4,250.3,187.5,326.3,187.5,221.4,72.2,161.7,117.0,109.5,227.8,215.4,304.2,140.6,234.7,1343.4,205.8,89.2,117.7,237.2,248.9,235.8,145.4,223.6,99.6,292.9,298.0,252.4,221.1,170.7,275.0,292.2
HA,145.4,368.9,360.0,159.3,88.8,26.6,89.4,280.8,105.7,156.9,218.0,209.0,196.5,303.1,379.9,201.2,151.0,124.1,279.0,0.0,177.5,351.3,172.5,281.4,103.6,116.7,172.5,88.1,94.3,47.7,265.5,76.5,219.7,239.8,105.5,190.1,155.4,271.3,286.8,347.5,215.4,282.5,375.5,206.1,171.3,220.6,312.8,194.0,43.4,74.0,302.6,45.6,146.5,229.4,386.4,286.5,317.5,214.0,342.8,56.9,283.1,137.7,272.8,206.3,166.1,246.9,109.2,293.4,126.2,178.1,170.3,99.4,144.4,69.8,243.3,290.7,297.6,296.3,61.9,294.9,98.5,280.7,307.8,71.5,259.7,141.2,263.3,89.5,350.0,162.4,162.6,233.3,187.6,207.1,271.8,136.1,60.3,327.9,300.6,117.3,1075.7,198.7,323.1,202.2,178.4,303.0,200.3,218.9,223.8,224.1,42.9,102.2,76.4,108.2,100.8,128.1,110.9
HO,103.8,224.3,215.4,87.6,94.4,202.2,236.5,164.5,143.0,88.1,83.4,93.2,74.6,199.2,235.3,114.6,67.1,271.2,182.2,175.5,0.0,206.7,50.6,160.3,115.2,57.7,82.9,160.6,135.1,135.5,149.2,223.6,98.6,99.7,123.9,111.0,51.5,147.7,182.9,204.3,93.5,149.7,230.9,134.3,73.5,58.0,168.2,26.5,180.1,259.7,186.3,182.3,128.1,113.1,241.8,152.2,201.9,46.5,198.2,137.2,167.3,36.7,128.2,85.2,79.8,125.0,76.1,153.3,110.1,28.6,107.5,176.1,40.4,178.9,127.0,147.5,154.4,175.2,167.5,192.8,245.6,136.1,177.1,100.8,131.4,133.8,129.5,84.1,205.5,58.5,93.8,111.4,65.7,133.2,155.5,100.2,112.0,183.4,184.3,118.6,1212.4,49.2,172.4,98.9,77.0,168.7,79.2,97.0,74.3,102.2,147.3,167.5,106.8,75.5,73.6,147.4,164.6
IC,301.6,19.5,8.7,285.4,307.7,399.5,394.6,265.4,254.2,203.0,204.4,212.9,235.8,251.1,44.4,228.4,240.0,429.3,335.4,372.8,224.6,0.0,248.4,118.6,318.1,255.5,187.4,269.3,295.7,340.8,209.3,381.7,147.0,179.4,284.5,308.8,217.4,150.7,192.3,102.8,251.1,95.4,85.7,325.6,219.7,195.7,68.2,201.7,366.6,417.8,116.4,347.3,223.9,235.8,50.9,131.2,296.9,181.7,73.2,324.5,277.1,234.5,86.3,153.6,277.6,269.9,279.0,139.2,233.7,204.1,305.3,271.9,265.0,290.1,249.7,169.5,130.8,99.9,326.0,319.5,403.7,76.8,71.1,298.6,139.1,229.6,115.3,281.9,19.2,210.4,197.3,302.7,263.5,324.5,256.7,223.8,309.8,41.3,225.6,273.7,1238.9,197.8,247.6,296.7,181.5,114.7,159.6,277.1,172.7,291.7,352.6,282.8,320.1,296.4,271.4,243.2,260.4
IE,73.4,257.4,251.2,58.8,136.7,202.3,255.8,142.1,154.9,112.4,110.1,50.7,27.8,153.1,284.6,138.9,91.4,290.5,153.4,175.6,72.8,242.5,0.0,194.7,109.4,76.1,110.5,169.5,154.4,177.8,129.9,242.9,138.9,131.9,143.0,82.2,49.9,174.5,168.4,267.7,64.7,185.5,266.7,104.8,99.5,102.0,204.0,70.5,219.1,279.0,197.1,208.5,144.0,70.8,284.1,177.2,170.4,90.5,228.7,166.5,138.8,55.1,164.0,114.3,51.0,96.2,54.7,185.5,131.4,57.7,72.7,196.7,80.4,190.8,104.6,176.6,180.4,201.2,186.8,164.0,264.9,171.9,212.7,100.9,160.5,158.1,164.1,81.2,252.0,56.9,118.1,82.6,36.9,104.4,127.7,121.5,112.1,228.6,158.8,128.4,1240.1,80.4,144.1,70.1,103.7,192.4,105.2,68.2,100.3,73.4,186.6,194.7,146.1,114.8,67.4,168.0,188.9
IM,224.7,119.1,108.1,243.0,238.5,330.3,325.4,195.2,185.0,133.8,123.0,161.7,184.6,167.1,141.5,168.0,184.6,360.1,257.1,303.6,178.9,99.4,206.0,0.0,239.3,198.4,118.2,200.1,226.5,271.6,142.1,312.5,65.1,103.4,220.4,260.6,164.0,69.6,140.2,113.9,199.9,41.1,123.6,259.6,164.3,134.5,65.2,150.5,297.4,353.9,61.1,278.1,163.4,154.4,134.5,78.6,225.7,130.5,95.2,260.6,206.9,177.4,76.8,84.4,235.2,208.6,200.2,72.0,164.5,161.7,256.9,210.8,224.6,226.2,168.0,160.0,121.3,5.3,256.8,241.2,334.5,67.3,66.4,241.5,66.1,169.2,50.5,224.8,108.6,160.1,128.1,232.5,224.4,258.6,177.8,154.6,234.5,101.2,146.7,223.6,1251.2,130.9,176.8,248.5,112.3,98.9,90.4,225.9,111.0,230.4,288.7,227.7,256.2,217.6,218.6,179.1,200.0
IO,59.1,341.7,327.0,90.0,107.8,131.5,212.0,247.8,138.4,109.7,185.0,157.9,135.0,223.8,360.4,136.2,88.7,246.7,209.7,104.8,110.8,318.3,104.0,239.5,0.0,83.7,123.7,138.5,130.5,123.8,232.5,199.1,192.2,206.8,119.1,120.8,122.4,224.1,243.2,315.6,152.0,235.3,342.5,137.4,109.0,168.9,279.8,137.4,148.3,178.9,269.6,142.8,158.8,178.0,359.9,249.7,232.4,157.4,304.5,95.7,183.7,104.7,239.8,167.6,96.8,182.6,52.0,260.4,138.2,145.1,107.4,158.5,77.7,155.1,210.3,243.7,250.6,249.1,141.4,225.6,221.1,256.2,260.6,53.0,210.2,145.4,216.3,56.5,327.8,126.3,115.4,178.5,108.9,137.8,205.6,144.9,58.8,304.4,236.7,114.0,1180.6,142.4,214.8,132.9,130.5,264.9,153.1,156.5,162.3,151.3,138.3,141.0,108.5,97.5,67.8,152.1,153.9
IQ,74.1,252.1,243.2,92.7,97.8,144.4,221.9,164.0,128.4,72.5,101.2,92.2,79.7,186.3,263.1,99.0,51.5,256.6,187.3,117.7,73.6,234.5,55.7,193.0,81.4,0.0,88.1,146.0,120.5,136.7,148.7,209.0,131.3,123.0,109.3,116.1,38.6,175.5,170.0,237.0,98.6,177.5,258.7,139.4,71.8,103.8,196.0,77.2,161.2,191.8,185.8,163.4,112.5,112.6,269.6,169.7,201.4,97.2,226.0,108.6,166.3,20.9,156.0,117.9,84.9,130.1,37.9,176.6,94.5,61.3,112.6,160.5,40.5,164.3,126.5,180.2,187.1,207.9,152.9,197.9,231.0,163.9,204.9,43.0,159.2,118.2,157.3,26.3,233.3,45.6,78.2,116.5,70.8,138.3,155.0,84.6,54.2,211.2,183.8,104.0,1193.5,81.9,206.3,104.0,94.0,186.2,111.9,102.1,107.0,107.3,150.7,153.9,110.2,87.5,15.8,131.8,149.0
IR,101.1,180.7,174.5,122.7,120.2,212.0,207.1,203.8,66.7,15.5,122.7,114.5,109.7,252.3,207.9,67.1,77.3,241.8,217.3,185.3,61.9,165.8,88.7,114.1,128.7,92.8,0.0,80.2,108.2,153.3,188.5,194.2,58.3,127.4,96.8,146.1,88.2,98.7,224.0,190.2,128.6,109.9,190.0,168.7,57.0,97.3,127.3,79.6,179.1,230.3,140.1,158.2,75.2,138.7,207.4,145.9,229.0,83.3,152.0,137.0,188.7,71.8,87.3,33.7,114.9,160.1,81.9,150.8,44.6,41.4,136.6,129.5,102.3,102.6,166.3,114.0,120.9,123.7,136.9,227.9,216.2,96.8,135.2,105.0,84.8,87.9,88.6,88.3,188.1,90.5,9.8,146.5,100.8,168.3,186.4,34.7,116.2,164.7,217.5,86.6,1154.2,57.9,246.0,134.0,5.2,161.1,27.7,132.1,74.3,137.3,163.5,104.9,131.0,97.7,108.7,97.8,118.7
IV,123.1,262.6,256.4,154.0,72.4,130.1,122.7,288.2,17.6,66.2,204.6,196.4,194.1,290.3,289.8,113.2,97.6,157.4,273.7,100.9,146.3,250.2,170.1,200.3,142.0,144.1,80.2,0.0,60.4,68.9,272.9,112.3,140.2,209.3,49.2,184.8,168.5,180.6,305.9,264.6,213.0,194.3,274.4,200.8,120.4,179.2,209.2,161.5,97.2,145.9,224.5,75.4,74.1,220.6,289.3,234.1,313.4,165.2,232.7,52.6,273.0,153.7,169.2,115.6,160.8,242.0,106.4,232.7,35.5,123.3,171.4,49.8,120.8,18.2,248.2,195.9,202.8,208.1,56.6,289.6,131.8,177.1,217.1,98.9,169.2,65.3,170.5,112.8,272.5,178.0,74.4,228.4,185.2,201.8,268.3,45.4,84.0,246.6,299.4,66.4,1072.3,142.3,280.8,196.9,89.5,242.4,112.1,216.5,156.2,219.2,80.7,24.6,78.1,82.1,128.2,58.4,35.0
