from_stop,AC,AH,AM,AW,BG,BR,BV,CL,CO,CQ,CV,CX,DH,DJ,DO,DS,EC,EG,ES,EU,EX,FB,FC,FN,FS,GC,GK,GP,GX,HL,HP,HU,IK,IL,IT,IW,JG,JK,JR,KE,KI,KP,KR,KS,LA,LD,LG,MA,ML,MT,ND,NH,NL,NS,OG,OH,OK,OM,OT,OU,OZ,PF,PH,PI,PK,PW,PX,QI,QJ,QN,QT,RN,RO,RT,RX,SD,SR,SS,SU,SX,SZ,TH,UH,UU,VK,VS,VX,WA,WB,WN,WP,XD,XE,YQ,YV,ZA,ZB,ZM,ZO,ZS,ZU
CV,166.5,110.0,102.3,296.6,118.1,201.0,81.9,226.0,95.7,65.9,0.0,134.0,112.8,109.6,214.9,146.6,237.6,67.3,106.8,134.8,94.3,206.8,106.1,245.5,89.3,90.1,166.4,141.7,260.5,172.7,180.1,121.6,88.2,158.2,146.3,129.3,99.0,117.0,127.9,157.7,91.4,106.6,114.3,156.8,187.2,102.2,136.6,1279.9,130.7,120.8,172.7,86.8,78.1,27.8,10.3,298.9,182.1,153.4,235.3,136.3,126.3,156.4,69.7,103.3,48.4,188.1,214.6,120.0,164.2,128.1,168.6,175.6,188.3,130.5,143.1,157.9,187.3,121.1,329.7,68.4,119.5,245.7,370.4,65.8,282.6,180.4,322.4,123.1,203.1,59.8,386.2,271.7,31.3,139.4,100.6,238.4,109.2,72.9,69.7,256.4,54.9
CX,112.6,169.3,261.2,431.8,275.7,140.6,172.5,361.2,211.6,148.5,135.1,0.0,135.0,262.2,358.4,290.1,381.1,202.5,165.5,57.0,107.9,379.9,169.6,389.0,140.9,142.2,300.9,97.2,395.7,299.9,100.2,256.8,185.4,293.4,107.9,196.9,234.2,193.7,134.6,134.1,240.6,229.4,225.9,292.9,322.4,227.4,288.8,1268.3,266.8,130.8,308.8,161.4,160.7,111.1,133.6,434.1,325.6,287.9,370.5,172.5,261.5,289.5,194.5,238.5,165.4,323.3,358.1,256.1,161.7,167.8,129.9,319.1,128.8,70.1,278.3,293.1,320.9,188.1,464.9,203.6,83.2,389.2,513.9,132.8,417.8,322.3,457.6,138.9,338.3,156.1,521.4,406.9,155.0,131.1,193.8,373.6,149.8,201.8,231.3,385.9,167.0
DH,160.9,49.1,239.5,407.7,259.1,97.1,129.4,337.1,189.9,84.7,116.1,130.0,0.0,232.2,326.0,257.7,353.8,178.4,120.6,101.3,81.6,330.3,129.5,356.6,128.8,45.6,275.0,165.7,371.6,283.8,178.0,232.7,145.3,274.4,145.2,68.4,224.6,105.5,121.7,159.6,200.5,207.7,162.1,260.6,308.4,143.0,253.9,1215.5,241.8,104.5,283.8,105.6,96.9,92.1,101.2,410.0,293.2,256.9,346.4,155.9,237.4,272.9,138.0,219.5,137.7,299.2,330.8,235.3,149.8,128.8,74.9,291.8,146.7,80.1,254.2,269.0,290.8,134.9,440.8,190.9,181.2,356.8,481.5,79.6,390.4,289.0,433.5,147.0,314.2,76.9,497.3,382.8,105.2,163.3,106.3,349.5,34.7,161.7,191.2,367.5,98.6
DJ,166.2,209.2,7.3,255.3,43.5,325.5,127.0,232.5,43.0,139.5,120.3,240.6,243.3,0.0,173.6,115.8,216.9,86.1,149.5,259.9,236.3,165.5,105.8,248.4,168.6,215.8,74.5,202.2,219.2,123.4,179.8,33.2,89.2,116.9,187.9,189.6,60.2,172.7,173.0,157.4,38.5,72.7,138.2,115.5,138.0,169.1,112.0,1267.1,71.0,259.2,123.2,184.3,129.1,173.9,130.7,257.6,140.8,61.5,196.6,83.6,85.0,76.4,114.8,62.0,121.5,146.8,173.3,78.7,126.2,173.7,306.5,134.3,312.8,255.0,101.8,95.9,95.4,163.5,286.2,93.5,162.5,204.4,321.9,178.8,241.3,88.5,281.1,118.3,161.8,184.6,345.6,230.4,151.7,134.6,186.4,197.1,228.3,72.6,34.5,208.5,144.9
DO,309.3,321.3,162.6,148.0,146.9,393.5,273.6,197.9,213.0,283.9,214.4,331.6,327.3,169.9,0.0,119.9,166.6,188.1,261.6,337.8,308.8,150.8,248.9,213.8,311.7,304.6,165.9,369.3,45.5,88.8,322.9,134.6,231.0,109.6,338.0,301.7,157.8,309.4,319.6,300.5,178.3,194.1,281.3,87.3,131.3,264.8,109.9,1301.4,126.3,335.3,69.7,327.4,272.2,242.3,224.8,151.4,106.2,197.1,159.3,251.9,76.2,184.0,261.4,99.1,263.6,71.2,138.7,113.3,270.0,305.6,396.9,127.0,402.8,345.0,59.2,137.9,145.5,283.5,155.1,210.4,329.6,30.7,192.3,280.3,67.6,152.8,107.4,286.6,54.5,274.3,224.3,123.1,245.8,302.9,298.5,89.8,323.7,215.7,204.5,150.4,257.0
DS,253.0,257.8,104.8,226.4,65.4,330.0,221.3,137.5,154.3,227.7,150.9,268.1,263.8,112.1,144.7,0.0,149.1,124.6,234.9,274.3,245.3,115.9,199.1,164.5,257.4,241.1,132.4,289.0,190.3,54.0,273.1,71.1,181.2,35.2,274.7,238.2,94.3,245.9,265.8,250.7,129.7,112.6,231.5,73.6,117.6,201.3,9.9,1237.9,44.8,271.8,107.9,273.1,216.0,178.8,161.3,197.8,74.1,119.4,124.4,170.4,56.1,134.3,209.1,35.6,197.6,129.6,103.8,31.8,220.2,253.3,333.4,53.3,339.3,281.5,72.9,70.5,153.3,220.6,217.8,146.9,249.3,175.5,252.4,216.8,212.4,114.3,236.0,205.1,132.9,210.8,273.2,201.5,182.3,221.4,235.0,168.2,260.2,165.9,128.8,119.0,233.8
EC,378.1,367.0,231.4,107.4,218.7,447.8,342.4,78.0,281.8,352.7,260.1,394.2,373.0,238.7,188.9,153.2,0.0,256.9,307.3,395.0,354.5,64.5,317.7,97.5,380.5,350.3,268.5,442.3,234.5,105.5,391.7,203.4,299.8,138.2,406.8,347.4,222.0,330.5,388.4,369.3,247.1,265.9,350.1,131.4,169.1,333.6,163.2,1413.8,195.8,377.4,108.6,396.2,341.0,288.0,270.5,77.8,88.1,258.4,60.1,323.7,145.0,252.7,330.2,167.9,332.4,162.1,45.6,185.1,366.3,388.6,429.1,120.6,448.5,390.7,128.0,198.0,248.1,305.7,97.8,279.2,402.6,183.8,132.4,326.0,160.7,221.5,116.0,358.4,175.4,320.0,167.0,106.8,291.5,374.7,344.2,140.1,369.4,284.5,282.1,97.4,302.7
EG,178.9,185.6,58.8,270.2,74.6,292.7,85.4,258.9,109.2,116.5,93.6,242.2,220.3,66.1,188.5,120.2,231.8,0.0,125.9,241.7,212.7,197.2,118.5,263.3,141.0,192.8,140.6,203.8,234.1,138.3,192.5,82.3,100.6,131.8,149.8,166.0,55.5,149.1,131.4,169.3,47.9,120.9,117.8,130.4,169.1,132.2,110.2,1240.6,102.1,235.6,138.1,156.7,124.6,150.9,104.0,272.5,155.7,127.6,211.5,149.1,99.9,142.5,73.2,76.9,97.9,161.7,188.2,97.8,169.9,131.6,294.7,149.2,314.4,250.4,116.7,127.0,161.5,121.2,301.1,22.3,199.2,219.3,336.8,155.2,256.2,150.5,296.0,183.8,176.7,161.0,357.6,245.3,125.0,200.1,162.8,212.0,204.7,85.3,91.2,230.0,121.3
ES,223.9,89.3,151.4,358.4,167.2,189.8,139.3,293.1,153.1,141.3,71.9,168.9,123.6,158.7,276.7,208.4,320.0,116.4,0.0,128.7,144.7,288.5,163.5,312.6,180.0,109.7,223.8,232.4,322.3,226.5,237.5,174.9,145.6,220.0,203.7,69.7,143.9,52.8,185.3,215.1,140.5,164.9,171.7,205.0,249.0,73.5,198.4,1290.7,191.7,171.2,226.3,161.5,152.8,99.8,82.3,361.8,243.9,210.8,297.0,193.7,188.1,213.8,127.1,165.1,87.6,261.6,276.4,181.8,184.6,171.3,202.1,237.4,258.1,158.5,204.9,199.3,244.7,14.2,390.4,125.8,191.5,307.5,425.0,40.9,344.4,237.8,384.2,197.8,264.9,93.0,448.7,333.5,87.8,214.1,66.5,300.2,107.0,130.3,127.1,301.7,54.2
EU,166.5,129.9,273.5,431.2,289.1,169.2,159.4,360.6,225.0,108.9,166.4,67.3,100.7,266.2,361.1,292.8,372.2,242.3,137.7,0.0,38.4,389.6,164.6,391.7,99.8,102.8,293.4,165.5,395.1,299.3,148.8,299.5,167.9,292.8,136.9,160.8,259.7,154.3,131.8,169.7,224.0,230.3,197.2,291.4,321.8,194.2,291.5,1301.3,265.3,103.0,299.1,112.0,132.0,154.1,136.3,446.2,328.3,292.0,369.9,174.3,260.9,291.3,161.5,249.5,161.2,322.7,360.8,258.8,159.5,131.2,167.2,321.8,160.9,103.1,289.3,292.5,325.9,140.4,480.0,231.9,131.8,391.9,516.6,96.7,417.2,319.0,457.0,164.5,337.7,88.7,520.8,417.9,107.3,193.3,192.6,384.6,122.0,196.8,233.2,384.4,110.4
EX,128.0,124.4,238.8,393.1,254.6,197.6,127.1,322.5,181.2,76.7,135.8,107.1,101.3,235.6,311.4,243.1,334.1,203.8,141.8,88.8,0.0,343.0,133.6,342.0,61.3,83.0,274.0,113.7,357.0,261.2,141.6,262.3,150.7,254.7,98.4,143.7,224.5,152.0,80.0,119.2,204.6,198.1,153.4,239.7,283.7,186.6,233.1,1272.8,229.5,26.4,261.0,73.5,88.2,104.8,86.6,396.5,278.6,261.0,329.1,142.1,222.8,259.1,140.8,199.8,151.5,296.3,311.1,216.5,112.9,94.9,167.8,272.1,178.3,108.0,239.6,286.7,294.9,156.1,430.3,189.7,148.3,342.2,466.9,100.8,379.1,288.0,418.9,126.0,299.6,50.2,482.7,368.2,69.6,142.3,179.6,334.9,104.9,165.8,191.0,336.4,88.4
FB,387.0,319.1,240.3,191.5,236.6,407.0,354.0,66.9,290.7,363.4,268.7,384.9,386.4,161.4,236.7,181.4,98.2,265.8,315.9,392.1,363.1,0.0,326.6,88.1,389.4,358.9,195.2,460.2,282.3,119.4,404.1,132.4,311.8,163.6,417.5,356.0,230.9,387.1,397.3,387.1,256.0,285.6,359.0,67.1,201.1,347.9,185.2,1379.1,121.8,386.0,187.4,325.2,352.6,296.6,279.1,165.0,110.0,271.0,95.9,344.7,67.7,265.3,339.1,96.9,359.5,209.9,35.1,195.2,384.2,398.0,408.3,159.8,457.1,399.3,164.9,130.7,302.3,314.3,185.6,288.1,420.5,200.3,219.6,334.6,244.8,234.1,200.1,290.1,224.9,328.6,169.7,190.9,300.1,392.6,352.8,224.2,321.5,293.4,282.2,191.1,323.7
FC,60.3,151.3,113.0,335.3,132.1,198.8,49.1,310.5,63.4,34.9,92.0,159.7,132.6,105.7,253.6,185.3,296.9,127.2,160.9,148.8,119.8,265.4,0.0,330.0,62.7,109.9,140.3,120.3,299.2,203.4,73.9,139.0,17.0,196.9,89.5,170.6,90.8,169.8,71.1,51.5,70.9,87.7,73.9,181.9,215.3,204.8,175.3,1299.7,155.4,146.3,203.2,78.4,23.2,68.0,82.2,338.7,220.8,127.3,273.9,66.9,165.0,142.2,62.8,142.0,102.0,225.1,253.3,158.7,21.0,66.0,211.1,214.3,230.9,167.5,181.8,163.0,161.2,175.2,367.3,104.9,80.6,284.4,401.9,124.5,321.3,154.3,361.1,59.3,241.8,95.1,425.6,310.4,114.5,75.6,197.8,277.1,131.8,32.1,61.6,278.6,133.3
FN,385.6,362.2,238.9,135.8,226.8,434.4,349.9,21.1,289.3,360.2,255.3,372.5,368.2,246.2,243.0,161.3,103.6,264.4,302.5,390.2,349.7,105.7,325.2,0.0,388.0,345.5,280.0,450.4,263.5,126.0,399.2,210.9,307.3,162.2,414.3,342.6,234.1,325.7,395.9,376.8,254.6,274.0,357.6,145.6,189.6,341.1,171.3,1409.0,206.2,376.2,184.9,403.7,348.5,283.2,265.7,106.2,108.6,269.6,58.7,331.8,152.5,263.9,337.7,175.4,339.9,220.2,113.6,193.2,346.3,381.9,424.3,155.3,443.7,385.9,163.5,196.2,300.9,300.9,105.7,286.7,410.7,212.2,160.8,321.2,192.4,232.7,144.4,366.5,203.8,315.2,184.5,135.2,286.7,382.8,339.4,168.5,364.6,292.0,290.2,171.5,297.9
FS,66.6,174.2,184.5,378.8,200.3,210.2,65.7,308.2,135.7,43.6,82.1,129.4,125.0,178.0,297.1,228.8,319.8,149.5,168.4,101.0,72.0,289.0,72.2,327.7,0.0,127.1,212.6,75.8,342.7,246.9,80.2,203.8,88.0,240.4,37.0,193.5,167.3,187.0,18.6,56.5,143.2,160.0,121.0,239.0,269.4,228.3,225.0,1312.3,212.9,98.5,246.7,15.6,55.8,58.1,72.3,381.1,264.3,199.6,317.5,100.2,208.5,214.5,79.4,185.5,112.4,282.0,296.8,202.2,51.6,33.5,188.0,257.8,201.6,131.7,225.3,240.1,233.5,182.7,416.0,132.3,86.9,327.9,452.6,127.4,361.5,226.6,404.6,64.6,285.3,91.9,476.3,353.9,111.3,80.9,221.3,320.6,154.7,104.4,133.9,322.1,113.6
GC,159.9,66.0,241.7,452.5,262.6,113.5,123.3,340.7,215.8,84.4,134.6,142.6,47.3,234.4,370.8,302.5,352.3,210.8,104.8,102.4,80.6,361.2,128.5,360.2,135.7,0.0,286.5,164.7,416.4,320.6,173.5,267.7,145.6,314.1,139.1,85.3,237.0,59.8,120.7,151.1,217.1,227.6,161.1,299.1,343.1,104.0,292.5,1214.4,284.1,107.1,320.4,104.6,95.9,103.2,145.0,455.9,338.0,273.5,391.1,149.8,282.2,276.5,137.0,259.2,150.3,355.7,370.5,275.9,120.6,106.7,125.8,331.5,174.8,64.2,299.0,291.7,307.4,119.1,448.5,188.5,179.6,401.6,485.1,63.8,438.5,300.5,478.3,140.9,359.0,73.2,500.9,427.6,68.0,157.2,115.0,394.3,46.5,160.7,189.8,395.8,104.8
GK,210.2,270.4,71.7,219.2,56.8,359.7,188.2,251.3,105.0,184.8,181.5,296.1,282.5,64.4,155.5,126.0,235.7,150.5,210.7,298.7,269.7,201.5,149.8,267.2,212.6,259.8,0.0,257.7,201.1,150.2,227.3,97.7,131.9,120.6,239.4,250.8,106.6,233.9,221.0,201.4,82.5,80.4,182.2,116.3,114.3,233.5,124.7,1325.5,81.2,296.2,147.1,228.3,173.1,217.9,232.1,221.5,159.6,31.1,215.4,139.1,106.7,43.4,176.0,126.5,164.5,84.7,192.1,89.5,170.9,216.6,361.0,138.0,368.3,317.4,123.5,59.0,20.8,225.0,288.5,154.7,218.0,186.3,319.4,240.0,219.9,35.5,263.0,173.8,125.7,245.0,354.0,194.3,212.9,190.1,247.6,161.0,281.7,116.6,96.5,217.4,222.6
GP,79.9,207.3,220.6,414.9,236.4,178.9,130.6,344.3,200.6,87.7,118.2,83.9,185.3,227.9,333.2,264.9,355.9,185.6,210.7,102.2,133.4,364.8,137.1,363.8,64.8,159.7,277.5,0.0,378.8,283.0,67.5,239.9,154.2,276.5,101.9,226.6,213.1,219.6,83.5,122.7,208.1,209.1,164.4,261.5,305.5,263.8,254.9,1295.5,251.3,159.9,282.8,59.0,99.2,94.2,108.4,418.3,300.4,264.5,350.9,153.1,244.6,274.7,144.3,221.6,148.5,318.1,332.9,238.3,116.5,98.4,173.9,293.9,155.1,97.3,261.4,268.5,298.4,225.0,452.1,186.7,50.5,364.0,488.7,169.7,400.9,291.5,440.7,129.5,321.4,153.3,504.5,390.0,172.7,90.1,221.0,356.7,187.8,169.3,188.0,358.2,191.5
GX,374.9,386.9,228.2,213.6,212.5,459.1,339.2,263.5,278.6,344.1,280.0,397.2,392.9,235.5,65.5,185.5,232.2,253.7,327.2,403.4,374.4,216.4,314.5,272.9,377.3,370.2,231.5,434.9,0.0,154.4,388.5,200.2,296.6,175.2,403.6,367.3,223.4,375.0,385.2,366.1,243.9,259.7,346.9,152.9,196.9,330.4,175.5,1367.0,191.9,400.9,135.3,393.0,332.4,307.9,290.4,217.0,171.8,262.7,224.9,317.5,141.8,249.6,327.0,164.7,329.2,136.8,204.3,178.9,335.6,371.2,462.5,192.6,468.4,410.6,124.8,203.5,211.1,349.1,175.6,276.0,395.2,51.2,183.1,345.9,88.1,218.4,127.9,352.2,120.1,339.9,251.9,188.7,311.4,368.5,364.1,155.4,389.3,281.3,270.1,216.0,322.6
HL,259.5,279.5,112.8,173.4,117.1,365.7,231.8,101.0,163.2,234.9,172.6,288.8,282.3,120.1,109.2,70.1,85.4,138.3,211.8,288.0,259.0,49.4,199.1,124.9,269.9,254.8,153.9,332.7,154.8,0.0,276.6,84.8,182.5,59.8,288.2,251.9,111.4,259.6,269.8,259.6,128.5,155.4,239.5,33.8,73.6,220.4,66.3,1251.6,74.2,281.9,60.0,285.6,222.4,192.5,175.0,145.1,17.3,143.5,65.1,222.1,34.4,137.8,211.6,49.3,232.0,82.4,49.8,67.7,256.7,270.5,317.7,42.2,353.0,295.2,37.4,83.1,174.8,233.7,162.7,160.6,293.0,140.0,198.4,230.5,173.6,106.6,182.0,248.8,97.4,224.5,211.2,172.8,204.0,265.1,248.7,132.7,273.9,165.9,154.7,91.6,219.6
HP,12.7,216.1,182.8,405.1,201.9,194.0,122.0,384.3,133.2,96.5,144.4,105.1,206.5,179.5,323.4,255.1,366.7,201.0,230.7,128.4,158.6,322.7,69.7,399.8,90.5,170.7,210.1,66.7,369.0,281.2,0.0,208.8,85.5,266.7,56.4,231.4,164.8,257.9,84.9,57.0,140.7,158.4,138.7,258.0,295.2,269.2,251.3,1317.7,232.2,181.5,281.2,106.2,88.0,120.4,130.6,407.4,290.6,197.1,346.4,90.6,234.8,216.0,135.7,211.8,150.6,296.6,323.1,232.7,61.8,117.8,171.0,288.1,177.3,119.5,251.6,247.6,231.0,245.0,436.0,174.7,27.0,354.2,471.7,185.3,387.8,224.1,430.9,56.1,311.6,155.9,492.5,380.2,179.3,40.9,243.2,346.9,192.6,101.9,131.4,364.9,177.6
HU,201.5,244.5,27.9,222.0,61.7,360.8,162.3,199.2,78.3,174.8,134.1,275.9,273.8,35.2,140.3,72.0,183.6,84.3,176.0,295.2,266.3,132.2,141.1,215.1,203.9,251.1,109.8,237.5,185.9,90.1,218.6,0.0,124.5,83.6,223.2,224.9,58.4,208.0,208.3,192.7,70.8,107.1,173.5,74.9,112.6,172.7,68.2,1233.8,56.1,289.2,89.9,219.6,164.4,162.0,144.5,224.3,107.5,96.8,163.3,118.9,51.7,111.7,150.1,28.7,138.6,113.5,140.0,49.6,161.5,194.3,328.4,101.0,348.1,290.3,68.5,83.3,130.7,161.7,252.9,106.6,197.8,171.1,288.6,214.1,208.0,106.8,247.8,153.6,128.5,214.6,309.4,197.1,165.5,169.9,221.7,163.8,263.6,107.9,69.8,165.3,174.9
