from_stop,AM,BE,BP,CA,CC,CD,DF,DG,DZ,EJ,FF,FH,FR,GA,GQ,GV,GW,HC,HM,HO,IG,JF,JR,JY,KL,KT,KX,MT,MY,NA,NC,NE,NW,OD,OL,PJ,PQ,PT,PZ,QU,RD,RM,SL,UF,UI,VC,VG,VV,WN,WW,WY,XR,XU,YB,YF,YS,ZD,ZH,ZQ
FF,1291.1,27.3,97.0,72.4,212.2,138.9,241.6,100.6,203.1,71.9,0.0,250.7,68.9,88.6,120.3,106.2,161.1,49.8,104.2,77.3,128.6,84.6,109.6,13.9,114.5,43.5,123.0,112.9,196.3,273.8,154.8,219.4,131.4,158.5,124.7,173.1,109.8,66.9,22.8,131.1,55.1,158.4,163.0,133.5,104.2,79.6,177.0,231.3,55.4,206.8,120.7,104.2,84.4,137.5,163.6,182.5,180.9,189.4,169.6
FH,1190.2,210.0,165.8,255.3,184.9,229.4,166.5,154.7,284.4,190.6,235.8,0.0,194.5,153.3,133.1,268.2,142.3,212.2,221.4,239.3,178.7,170.1,204.0,221.3,203.7,277.1,168.5,281.8,191.1,178.2,166.6,211.1,263.7,185.8,110.3,112.5,135.1,210.6,258.7,144.7,218.9,100.6,143.7,148.7,213.9,288.6,257.6,89.5,218.2,84.9,211.2,221.4,179.6,125.3,175.4,95.6,55.5,91.5,85.6
FR,1222.8,40.4,28.0,77.8,169.9,151.9,196.1,65.9,206.9,52.1,76.7,198.1,0.0,42.5,81.7,147.8,119.0,107.1,35.2,118.9,59.6,48.6,119.1,71.2,126.2,120.3,65.8,158.8,202.7,203.0,112.5,222.7,173.0,89.5,83.9,130.8,57.1,56.0,99.6,65.1,96.7,106.8,124.3,91.2,23.8,25.7,177.1,178.6,66.6,188.4,133.7,35.2,53.5,96.7,99.9,142.8,151.6,152.1,133.4
GA,1214.3,56.6,80.3,98.5,168.5,112.4,156.6,53.5,160.8,50.3,92.6,152.0,49.2,0.0,72.3,116.6,72.0,72.6,81.9,82.1,106.3,40.9,76.5,72.5,80.1,120.7,43.6,148.2,163.2,160.4,120.5,176.6,136.2,121.7,41.3,136.6,21.1,48.6,97.9,99.0,65.5,64.2,160.3,96.0,70.5,131.3,137.6,136.0,64.8,148.9,94.2,81.9,3.5,54.1,104.7,96.7,91.0,112.6,87.3
GQ,1175.2,123.4,51.6,152.2,91.8,174.4,218.6,18.5,229.4,90.9,128.3,143.9,82.9,68.5,0.0,152.3,60.4,113.9,88.2,123.4,64.5,32.9,145.1,113.8,160.6,171.9,48.0,183.9,225.2,229.0,34.4,248.3,177.5,53.6,59.9,52.7,83.1,133.1,151.2,27.5,101.2,103.9,98.8,13.1,76.8,190.8,199.6,142.5,118.5,148.8,156.2,88.2,57.7,60.6,43.2,87.6,125.4,112.5,92.7
GV,1316.7,123.5,187.4,168.1,245.6,60.1,172.2,134.0,97.1,131.0,95.6,264.4,146.0,132.6,153.7,0.0,186.7,101.2,176.6,28.8,218.3,118.0,58.6,81.1,96.5,139.2,152.0,58.5,146.7,168.8,188.2,126.8,25.1,207.4,150.3,206.5,141.5,162.6,118.5,181.3,51.0,189.6,252.6,166.9,165.2,157.6,107.6,263.0,151.1,232.4,47.7,176.6,117.8,163.1,197.0,208.1,212.6,215.0,195.2
GW,1164.7,162.8,88.8,207.3,93.5,170.0,259.8,59.4,225.0,146.3,178.0,139.9,128.0,103.7,49.6,202.0,0.0,155.7,137.7,173.1,49.3,75.7,134.6,163.5,144.3,227.3,89.2,233.6,226.1,236.5,36.1,245.1,219.3,37.3,41.8,54.4,96.7,163.0,200.9,68.3,150.9,128.8,86.4,37.1,129.8,245.6,195.2,93.0,167.9,80.4,151.8,137.7,113.4,34.9,26.9,80.9,118.7,71.0,44.3
HC,1255.9,86.1,155.8,130.7,210.1,103.7,193.5,114.6,158.7,103.5,58.2,203.6,127.7,66.2,132.0,100.2,125.9,0.0,153.0,71.3,177.6,98.6,74.4,43.7,86.2,101.8,91.2,129.3,168.0,229.1,162.1,191.1,125.4,163.3,89.5,178.2,80.7,125.2,81.1,140.6,49.1,128.8,208.5,144.2,153.2,137.9,128.9,202.2,113.7,171.6,85.5,153.0,75.3,102.3,152.9,147.3,151.8,154.2,134.4
HM,1237.6,87.2,42.8,91.3,170.4,190.4,234.6,58.8,245.4,45.4,102.7,218.8,46.7,84.5,78.5,185.5,134.2,147.1,0.0,156.6,74.4,66.1,161.1,116.7,164.7,120.8,63.2,205.6,241.2,245.0,113.0,264.3,206.1,104.3,97.8,131.3,99.1,72.2,102.1,76.9,134.4,119.1,108.8,91.7,0.0,155.9,215.6,217.4,57.6,223.7,172.2,0.0,73.7,110.6,114.7,154.3,170.2,162.5,142.7
HO,1297.2,94.6,158.5,139.2,216.7,89.0,164.2,105.1,126.0,102.1,66.7,255.2,117.1,107.5,124.8,28.8,167.2,72.3,147.7,0.0,189.4,89.1,63.4,52.2,67.6,110.3,127.5,70.5,138.7,196.4,159.3,149.5,54.0,178.5,130.8,177.6,114.3,133.7,89.6,152.4,22.1,162.9,223.7,138.0,136.3,146.4,99.6,235.8,122.2,242.1,76.6,147.7,88.9,143.6,168.1,188.6,185.4,195.5,175.7
IG,1163.1,105.5,31.5,169.2,116.7,213.5,261.2,81.5,268.5,104.1,141.8,165.4,65.0,104.5,63.8,216.2,67.3,172.2,88.3,187.3,0.0,97.8,184.2,136.3,187.8,185.4,98.9,223.9,267.8,271.6,59.3,288.6,241.4,29.8,91.4,77.6,125.7,124.9,164.7,26.9,165.1,132.9,34.3,56.0,76.9,203.9,238.7,167.4,135.5,173.7,195.3,88.3,129.1,85.5,40.2,110.9,116.4,130.4,111.7
JF,1212.2,76.3,70.6,95.7,128.8,140.4,184.6,18.1,195.4,56.9,94.3,186.6,58.0,27.9,36.9,118.3,97.4,79.9,59.8,89.4,101.5,0.0,111.1,79.8,126.6,138.9,39.0,149.9,191.2,196.3,71.4,211.2,143.5,90.6,74.2,89.7,49.1,73.9,117.2,64.5,67.2,96.6,121.4,50.1,59.8,133.4,165.6,170.6,84.5,176.9,122.2,59.8,44.4,87.0,80.2,123.0,128.5,138.9,120.2
JR,1258.0,120.1,148.7,166.9,212.2,29.2,119.0,131.4,84.2,105.6,92.2,202.3,117.6,68.3,134.1,71.4,128.0,68.6,155.1,62.0,179.7,118.8,0.0,77.7,46.4,135.8,93.9,95.1,93.5,154.6,164.2,101.2,63.5,165.4,91.6,180.3,82.8,122.6,115.1,142.7,73.7,132.0,208.1,146.3,144.6,145.6,54.4,204.3,133.2,173.7,11.0,155.1,90.7,104.4,155.0,147.8,153.3,156.3,138.2
JY,1277.1,42.3,112.0,86.9,198.2,124.9,227.6,86.6,189.1,83.6,14.4,236.7,83.9,74.6,106.3,92.2,147.1,35.8,119.2,63.3,143.6,70.6,95.6,0.0,100.5,58.0,109.0,98.9,182.3,259.8,140.8,205.4,117.4,160.0,110.7,159.1,95.8,81.4,37.3,133.9,41.1,144.4,178.0,119.5,107.8,94.1,163.0,217.3,69.9,192.8,106.7,119.2,70.4,123.5,149.6,168.5,166.9,175.4,155.6
KL,1274.7,132.9,165.4,183.6,228.9,68.8,137.5,155.4,88.5,122.3,117.0,236.8,137.3,90.6,150.8,89.6,144.7,85.3,171.8,60.7,196.4,139.4,39.5,102.5,0.0,160.6,110.0,103.2,81.7,169.8,180.9,104.8,114.8,182.1,108.3,197.0,99.5,164.5,139.9,159.4,72.4,147.6,227.3,163.0,160.4,196.7,79.9,217.4,149.9,223.7,50.6,171.8,94.1,121.1,171.7,166.1,165.4,173.0,153.2
KT,1270.9,80.1,149.0,54.8,264.2,190.9,293.6,153.5,255.9,131.2,51.9,285.4,120.9,126.7,172.3,158.2,207.4,101.8,133.1,129.3,180.6,136.1,161.6,65.9,166.5,0.0,175.2,164.9,248.3,326.6,206.8,268.3,162.4,205.9,176.7,225.1,147.1,74.5,128.8,183.9,107.9,196.8,233.6,185.5,131.8,36.1,229.8,268.6,60.9,274.9,172.7,133.1,105.6,189.5,216.3,230.1,217.0,241.4,222.7
KX,1201.5,96.3,71.9,152.5,148.1,133.8,223.6,37.4,188.8,81.8,119.2,145.8,59.3,59.4,56.2,143.2,65.8,104.8,61.1,114.3,103.5,24.8,104.5,104.7,108.1,162.8,0.0,174.8,189.9,221.2,90.7,205.8,168.4,108.9,35.1,109.0,74.0,108.2,142.1,83.8,92.1,57.5,141.2,69.4,50.6,175.9,159.0,147.8,118.8,117.2,115.6,61.1,69.3,47.9,98.5,91.6,96.8,99.8,81.1
MT,1333.2,117.1,186.8,176.0,267.3,104.1,175.9,155.7,142.9,152.7,103.5,280.9,158.7,149.1,175.4,58.5,203.2,122.9,194.0,50.5,218.4,139.7,75.1,89.0,109.4,147.1,168.5,0.0,150.4,219.0,209.9,161.2,53.5,229.1,166.8,228.2,158.0,170.5,126.4,203.0,72.7,206.1,252.8,188.6,194.0,183.2,111.3,279.5,159.0,248.9,99.2,194.0,152.6,179.6,218.7,224.6,229.1,231.5,211.7
MY,1327.9,204.6,236.7,254.9,262.5,128.4,55.7,227.1,62.6,193.6,188.7,202.1,208.6,161.9,222.5,152.6,216.4,157.0,243.5,132.4,268.1,211.1,111.2,174.2,71.6,232.3,181.7,176.3,0.0,88.0,265.9,23.0,163.3,253.8,180.0,250.2,138.1,235.8,211.6,231.1,144.1,185.1,287.7,234.7,232.1,268.4,124.9,182.7,221.2,189.0,110.2,243.5,165.4,192.8,243.4,226.1,187.9,226.2,220.8
NA,1332.6,240.8,264.5,282.7,267.2,154.6,65.2,244.6,109.3,234.5,280.0,204.7,233.4,184.1,262.1,184.3,295.5,241.8,273.0,211.9,296.1,226.4,174.4,264.2,169.7,322.3,267.1,230.0,98.0,0.0,270.6,72.8,170.9,338.6,264.8,256.2,165.9,239.7,301.6,315.9,234.1,215.3,283.5,320.8,273.0,262.2,192.0,187.4,249.0,193.7,176.0,273.0,256.9,247.5,328.2,232.1,211.8,232.2,226.3
NC,1140.7,156.7,83.9,185.5,57.3,195.8,251.9,51.8,250.8,124.2,161.6,156.2,116.2,101.8,33.2,185.6,25.7,147.2,121.5,156.7,58.8,66.2,166.5,147.1,170.1,205.2,81.3,217.2,251.9,262.3,0.0,270.9,210.8,38.9,73.7,18.2,116.4,166.4,184.5,59.8,134.5,121.4,71.4,20.7,121.7,224.1,221.0,100.5,151.8,95.9,177.6,121.5,91.0,72.9,28.5,99.9,137.7,88.8,69.0
NE,1348.4,227.7,259.8,280.1,283.0,119.2,66.5,253.2,53.4,218.8,211.8,219.2,233.8,176.3,244.4,143.4,238.3,178.9,265.4,155.4,290.0,229.8,107.1,197.3,94.7,256.4,201.1,167.1,23.0,64.9,286.4,0.0,140.2,275.7,198.8,270.7,161.2,230.6,234.7,255.1,167.2,206.2,299.1,256.6,256.1,270.6,115.7,200.1,244.3,209.5,101.0,265.4,200.1,211.6,265.3,248.7,213.1,243.6,237.7
NW,1314.6,138.7,202.6,175.8,260.8,58.0,179.7,149.2,95.0,146.2,110.8,262.3,161.2,130.5,168.9,15.1,184.6,125.2,191.8,44.0,233.5,133.2,56.5,96.3,111.7,154.4,149.9,59.0,147.8,165.4,203.4,124.7,0.0,222.0,148.2,221.7,139.4,170.3,131.6,196.5,66.2,187.5,267.2,182.1,193.1,132.4,122.8,260.9,158.8,230.3,45.6,191.8,134.0,161.0,211.6,206.0,210.5,212.9,193.1
OD,1170.2,125.4,51.4,164.2,86.8,207.5,297.3,81.5,262.5,118.3,161.7,185.9,84.9,131.0,62.9,215.3,37.4,176.9,100.3,186.4,19.8,95.9,178.2,156.2,181.8,192.7,111.0,243.8,263.6,291.5,29.4,282.6,240.5,0.0,85.4,47.7,145.6,145.1,184.6,46.8,164.2,151.1,45.1,50.4,96.8,202.5,232.7,122.5,130.5,117.9,189.3,100.3,120.2,72.4,10.3,129.6,167.4,100.5,80.7
OL,1166.3,110.9,75.1,130.3,120.5,122.0,211.8,60.1,177.0,104.6,128.4,110.6,108.6,54.2,42.4,160.8,36.3,104.8,106.8,131.9,88.0,76.4,92.7,113.9,96.3,172.0,45.6,174.4,178.1,194.6,72.5,194.0,156.3,73.7,0.0,88.6,48.7,108.5,151.3,51.0,119.3,63.7,118.9,54.6,96.3,168.0,147.2,112.6,119.1,82.0,103.8,106.8,63.3,12.7,63.3,56.1,61.6,64.6,45.9
PJ,1122.4,172.4,99.6,201.2,39.0,211.5,267.6,67.5,266.5,139.9,177.3,125.0,131.9,117.5,48.9,201.3,41.4,162.9,137.2,172.4,74.5,81.9,182.2,162.8,185.8,220.9,97.0,232.9,267.6,278.0,15.6,286.6,226.5,54.6,89.4,0.0,132.1,182.1,200.2,75.5,150.2,137.1,53.1,36.4,137.2,253.5,236.7,82.2,167.5,77.6,193.3,137.2,106.7,88.6,44.2,115.6,153.4,43.1,84.7
PQ,1225.8,74.8,98.5,116.7,180.0,103.9,135.4,77.3,158.9,68.5,110.8,137.4,67.4,18.1,96.1,134.8,90.1,86.7,105.7,105.9,130.1,59.1,74.6,96.3,78.2,137.9,61.7,166.4,142.0,145.8,130.6,179.0,138.2,133.2,59.4,148.1,0.0,72.4,116.1,110.5,83.7,49.6,164.5,109.3,105.7,96.2,129.1,121.4,83.0,127.7,85.7,105.7,40.5,72.2,122.8,82.1,94.9,124.1,105.4
PT,1242.4,83.0,102.2,44.2,215.3,177.2,221.4,95.6,254.1,32.2,55.6,223.4,56.3,64.7,114.4,161.9,160.8,105.5,59.3,133.0,126.3,77.4,147.9,69.6,170.2,72.7,122.0,168.6,252.0,233.1,160.8,272.0,159.0,131.3,112.7,179.1,85.9,0.0,55.0,110.8,110.8,135.6,159.0,139.4,69.8,68.8,202.4,207.4,10.5,213.7,159.0,59.3,78.8,125.5,141.7,169.7,155.8,177.4,158.7
PZ,1304.3,40.5,110.2,64.5,225.4,152.1,254.8,113.8,216.3,69.4,13.1,263.9,82.1,114.6,133.5,119.4,174.3,63.0,105.2,90.5,141.8,97.8,122.8,27.1,127.7,109.7,136.2,126.1,209.5,288.3,168.0,232.6,125.2,171.7,137.9,186.3,123.0,102.2,0.0,144.3,68.3,171.6,176.2,146.7,105.2,89.3,190.2,244.5,55.7,220.0,133.9,105.2,97.6,150.7,176.8,195.7,194.1,202.6,182.8
QU,1191.1,98.0,24.0,121.2,107.7,186.5,276.3,54.5,241.5,97.8,134.3,138.4,57.5,97.0,36.8,189.2,76.4,150.8,79.8,160.3,36.9,70.8,157.2,128.8,160.8,172.2,84.3,216.4,242.6,264.1,50.3,258.5,214.4,66.8,64.4,68.6,118.2,99.4,157.2,0.0,138.1,105.9,101.6,29.0,69.4,161.7,211.7,140.4,110.0,146.7,168.3,79.8,100.7,58.5,59.1,83.9,124.0,110.4,91.7
RD,1277.9,72.4,136.3,117.0,194.5,103.0,186.4,82.9,147.9,79.9,44.5,233.0,94.9,77.5,102.6,51.0,158.9,50.1,125.5,22.1,167.2,66.9,85.6,30.0,59.3,88.1,105.3,82.6,141.1,218.6,137.1,164.2,76.2,156.3,122.5,155.4,92.1,111.5,67.4,130.2,0.0,140.7,201.5,115.8,114.1,124.2,121.8,213.6,100.0,219.9,98.8,125.5,66.7,135.3,145.9,190.3,163.2,187.2,167.4
RM,1203.3,131.3,120.6,173.2,178.8,161.8,170.3,104.9,216.8,111.9,167.3,104.9,126.8,74.6,87.9,191.3,99.8,144.6,128.6,162.4,133.5,92.3,132.5,152.8,136.1,194.4,67.4,214.2,176.9,180.7,121.4,196.9,196.1,140.6,62.1,125.6,56.4,128.9,172.6,96.5,140.2,0.0,154.5,100.1,128.8,188.4,187.0,106.9,139.5,113.2,143.6,128.6,83.7,76.2,130.2,32.4,55.9,101.6,95.7
SL,1135.1,160.4,86.4,192.8,55.7,252.4,308.5,107.5,307.4,146.9,196.7,138.1,120.5,159.3,90.0,242.4,82.2,204.0,128.3,213.5,53.7,123.7,223.3,191.2,226.7,220.9,137.5,278.8,308.5,320.1,56.7,327.4,267.6,55.6,131.5,41.0,172.6,147.1,203.0,82.3,191.3,177.6,0.0,78.0,127.5,221.9,277.6,98.4,158.7,94.3,234.2,128.3,147.6,130.2,66.0,156.1,195.2,59.2,126.9
UF,1162.0,135.9,63.1,164.7,78.6,180.1,231.1,30.1,235.1,103.4,140.8,132.0,98.9,74.4,12.4,164.8,39.7,126.4,100.7,135.9,60.3,46.4,150.8,126.3,154.4,184.4,59.9,196.4,236.2,241.5,21.2,257.3,190.0,40.4,72.4,39.5,95.6,120.4,163.7,39.0,113.7,99.5,71.7,0.0,89.7,197.5,205.3,134.0,131.0,140.3,161.9,100.7,77.7,52.1,30.0,77.5,117.6,104.0,85.3
UI,1226.2,75.8,32.3,67.5,159.0,185.1,231.5,59.9,240.1,39.1,101.4,215.6,35.3,74.8,67.1,185.5,128.5,135.7,0.0,156.6,63.0,56.6,156.7,106.6,159.4,131.3,52.1,194.2,239.9,245.0,101.6,257.1,199.3,104.3,87.3,131.5,97.8,46.8,100.8,77.1,134.6,120.4,129.3,80.7,0.0,0.9,215.6,217.6,69.0,225.0,166.9,0.0,86.5,100.1,103.3,142.9,166.4,151.1,132.4
VC,1246.4,103.1,152.9,82.7,271.8,168.8,305.9,145.9,221.2,108.7,75.7,286.0,121.8,130.2,179.9,141.3,222.5,125.6,142.8,153.1,64.9,140.0,157.7,89.7,190.3,129.3,165.3,164.3,272.1,291.6,214.4,252.1,126.1,198.9,163.0,232.7,136.2,56.5,75.1,67.4,130.9,198.2,216.7,193.1,0.9,0.0,249.0,272.9,94.3,279.2,171.8,142.8,136.6,101.1,209.3,233.6,246.4,227.7,134.3
VG,1331.8,190.0,222.5,240.7,286.0,89.3,130.4,212.5,97.4,179.4,174.1,286.5,194.4,147.7,207.9,113.5,201.8,142.4,228.9,117.8,253.5,196.5,80.3,159.6,57.0,217.7,167.1,137.2,104.9,180.7,238.0,115.7,123.6,239.2,165.4,254.1,156.6,221.6,197.0,216.5,129.5,204.7,284.4,220.1,228.9,253.8,0.0,267.1,207.0,273.4,71.1,228.9,151.2,178.2,228.8,223.2,219.9,230.1,210.3
VV,1145.1,182.7,160.6,224.6,79.7,193.8,164.8,134.1,248.8,176.4,200.2,39.3,176.8,131.6,116.4,232.6,72.8,176.6,178.6,203.7,138.8,150.4,164.5,185.7,168.1,243.8,117.4,246.2,189.4,176.5,83.1,209.4,228.1,122.1,71.7,67.4,120.5,180.3,223.1,136.5,191.1,74.4,96.0,103.9,167.2,257.4,219.0,0.0,190.9,6.2,175.6,178.6,135.1,58.7,111.7,43.3,75.9,43.4,37.5
WN,1255.2,72.4,115.0,33.6,228.1,184.0,286.7,107.5,243.5,45.0,45.0,239.6,72.1,84.1,127.2,151.3,161.9,94.9,72.1,122.4,139.1,91.5,154.7,59.0,159.6,62.1,135.4,158.0,241.4,244.6,173.6,264.5,148.4,144.1,125.5,191.9,98.7,11.4,44.4,123.6,100.2,147.3,166.6,152.7,70.8,98.2,222.1,220.2,0.0,226.5,165.8,72.1,73.3,138.3,154.5,182.5,169.8,190.2,170.4
WW,1138.8,176.4,154.3,218.3,73.4,187.5,169.4,128.7,242.5,157.0,193.9,47.3,167.0,125.3,110.1,226.3,72.2,170.3,172.3,197.4,132.5,143.1,158.2,179.4,161.8,237.5,110.5,239.9,194.0,179.8,76.8,217.1,221.8,115.8,65.4,61.1,114.2,199.2,216.8,130.2,184.8,69.2,98.6,97.6,160.9,256.9,212.7,4.5,184.6,0.0,169.3,172.3,128.8,52.4,105.4,37.0,103.5,37.1,31.7
WY,1268.9,131.0,159.6,177.8,223.1,18.1,129.6,141.4,73.1,116.5,103.1,216.6,131.5,84.8,145.0,62.0,138.9,79.5,166.0,72.9,190.6,128.7,10.8,88.6,57.3,146.7,104.2,85.7,104.1,144.8,175.1,102.8,52.4,176.3,102.5,191.2,93.7,158.7,126.0,153.6,84.6,141.8,221.5,157.2,166.2,182.8,65.0,215.2,144.1,184.6,0.0,166.0,88.3,115.3,165.9,160.3,164.8,167.2,147.4
XR,1237.6,87.2,42.8,91.3,170.4,190.4,234.6,58.8,245.4,45.4,102.7,218.8,46.7,84.5,78.5,185.5,134.2,147.1,0.0,156.6,74.4,66.1,161.1,116.7,164.7,120.8,63.2,205.6,241.2,245.0,113.0,264.3,206.1,104.3,97.8,131.3,99.1,72.2,102.1,76.9,134.4,119.1,108.8,91.7,0.0,155.9,215.6,217.4,57.6,223.7,172.2,0.0,73.7,110.6,114.7,154.3,170.2,162.5,142.7
XU,1240.5,61.9,98.9,118.4,158.5,137.7,222.4,40.6,183.9,57.1,64.4,162.8,72.1,33.5,66.6,88.4,117.7,50.0,88.1,59.5,129.8,42.8,108.4,49.9,95.3,106.6,68.7,120.0,177.1,256.0,101.1,198.5,113.6,120.3,52.1,119.4,69.3,45.1,87.3,103.2,37.3,75.0,151.3,72.6,78.6,136.6,157.8,170.4,70.1,182.5,119.5,88.1,0.0,64.9,109.9,167.5,140.4,140.4,128.9
YB,1153.5,123.9,89.4,165.8,107.7,135.0,224.8,74.4,190.0,104.5,141.4,104.9,114.5,67.2,56.7,173.8,17.8,117.8,119.8,144.9,80.8,83.5,105.7,126.9,109.3,185.0,58.6,187.4,191.1,208.9,59.7,207.0,169.3,60.9,12.9,75.8,61.7,121.5,164.3,65.3,132.3,72.4,103.4,60.7,121.1,198.6,160.2,106.9,132.1,113.2,116.8,119.8,76.3,0.0,50.5,50.4,90.5,51.8,33.1
YF,1159.8,135.8,61.8,174.6,76.4,197.1,286.9,71.1,252.1,128.7,172.1,175.5,95.3,121.1,52.5,204.9,27.0,166.5,110.7,176.0,30.2,85.5,167.8,166.4,171.4,203.1,100.6,236.5,253.2,281.6,19.0,272.2,230.1,10.3,75.0,37.3,135.7,155.5,195.0,57.2,153.8,140.7,55.5,40.0,107.2,212.9,222.3,112.1,140.9,107.5,178.9,110.7,110.3,62.0,0.0,119.2,157.0,90.1,70.3
YS,1169.2,162.4,117.2,181.8,103.8,180.8,201.4,102.2,235.8,156.1,187.2,81.5,154.2,104.5,84.5,219.6,104.3,163.6,159.7,190.7,128.9,117.3,151.5,172.7,155.1,224.3,98.5,233.2,208.0,210.6,107.2,228.0,215.1,137.2,57.5,91.5,86.3,160.0,210.1,91.9,185.8,29.8,120.4,96.7,148.3,150.2,206.0,82.3,170.6,89.8,162.6,159.7,142.6,82.8,126.8,0.0,66.4,67.5,61.6
