from_stop,AH,AI,AL,AO,AP,AX,BO,CB,CJ,CO,CP,CQ,CS,CZ,DD,DJ,DK,DO,DQ,ED,EF,EH,EN,ER,EV,FA,FC,FD,FI,GA,GD,GH,GL,GM,GU,GY,HA,HB,HD,HF,HH,HI,HT,HZ,IE,IJ,IY,IZ,JE,JT,JV,KD,KG,KJ,KK,KU,KZ,LD,MB,MG,MI,MJ,MK,MN,MP,MW,MX,MY,NG,NH,NJ,NP,NQ,NU,NW,NX,OC,OO,OP,OV,OX,PA,PJ,PL,PN,PO,PP,PS,PV,QA,QB,QI,QL,QM,QW,RG,RP,RY,SA,SD,SV,SX,SY,TM,TR,TU,TZ,UE,UI,UQ,UY,VA,VJ,VL,VS,WJ,WK,WO,WU,XD,XE,XF,XP,XV,YA,YE,YF,YH,YK,YM,YU,ZA,ZE,ZJ,ZK,ZN
CP,701.7,261.7,764.9,723.1,730.8,289.9,635.3,542.0,214.5,639.8,0.0,768.1,667.5,378.4,584.0,561.1,335.3,233.8,617.4,447.7,688.3,647.0,561.3,520.9,631.0,670.4,555.5,385.5,415.2,915.5,609.4,889.1,742.7,926.3,942.1,395.7,439.4,523.1,347.7,740.7,633.0,648.0,2614.7,436.4,582.0,677.2,430.0,380.3,455.8,383.5,963.4,735.7,366.2,681.3,485.3,745.6,577.3,484.9,773.1,623.0,284.0,364.1,761.4,453.5,370.4,520.4,179.5,183.7,425.3,657.2,10.3,231.4,304.1,444.3,920.1,721.1,691.2,282.1,419.1,484.9,671.8,387.5,551.2,503.4,421.8,981.0,683.4,348.8,570.5,538.7,488.0,418.8,621.3,409.5,729.1,672.7,620.1,436.4,857.4,24.4,548.2,129.5,959.3,981.1,595.9,531.6,438.4,458.3,313.6,447.7,429.8,481.3,241.3,462.6,747.3,591.1,516.7,567.2,748.9,705.9,587.5,360.0,985.9,718.8,945.3,715.1,771.5,655.4,643.6,977.0,623.7,672.4,898.0,602.4,605.7,757.4
CQ,970.2,611.3,1060.5,629.4,999.3,583.6,912.2,632.4,649.5,349.9,813.5,0.0,248.6,541.7,490.3,481.2,729.4,731.9,960.9,625.0,129.5,553.3,335.8,281.1,538.9,274.7,461.8,613.2,854.9,533.6,330.9,710.1,131.3,683.5,560.2,537.4,833.5,613.5,739.6,1009.2,901.5,991.5,2922.9,830.5,488.3,972.8,510.1,707.5,642.3,488.8,581.5,1031.3,434.8,589.2,410.5,1041.2,483.6,442.3,1068.7,713.4,588.3,543.2,667.7,457.6,667.7,914.5,685.4,717.8,446.8,310.8,803.2,715.2,568.4,489.7,741.1,1016.7,412.7,745.8,382.7,575.3,210.9,414.1,361.6,358.2,848.3,599.1,485.3,453.1,866.1,834.3,882.1,605.3,527.6,588.6,268.2,968.3,241.4,776.8,694.1,774.0,255.0,735.4,577.4,599.2,891.5,451.7,528.8,378.4,707.7,634.2,482.1,875.4,722.2,856.7,1042.9,985.2,423.0,873.1,656.8,1001.5,850.8,574.4,643.9,625.1,671.2,983.6,375.8,561.7,939.2,595.1,530.0,283.6,719.0,898.0,696.1,1053.0
CS,883.8,501.4,974.1,590.8,912.9,473.7,825.8,546.0,539.6,436.0,727.1,242.8,0.0,455.3,451.7,394.8,619.5,645.5,874.5,586.4,163.0,514.7,249.4,194.7,500.3,188.3,423.2,526.8,699.4,619.7,417.0,756.8,217.4,769.6,646.3,427.5,723.6,527.1,649.9,922.8,815.1,905.1,2823.9,720.6,449.7,886.4,400.2,668.9,532.4,378.9,667.6,944.9,348.4,550.6,371.9,954.8,445.0,355.9,982.3,627.0,478.4,433.3,629.1,371.2,629.1,804.6,575.5,631.4,336.9,396.9,716.8,605.3,458.5,403.3,787.8,930.3,498.8,584.3,296.3,488.9,297.0,327.7,447.7,444.3,706.0,685.2,537.1,366.7,779.7,747.9,772.2,495.4,489.0,478.7,354.3,881.9,327.5,738.2,725.1,687.6,168.6,625.5,663.5,685.3,805.1,365.3,442.4,292.0,597.8,524.3,395.7,765.5,635.8,746.8,956.5,875.3,384.4,786.7,618.2,915.1,812.2,464.5,730.0,586.5,757.3,897.2,289.4,523.1,852.8,681.2,491.4,369.7,765.7,811.6,609.7,966.6
CZ,529.8,389.1,620.1,478.5,558.9,361.4,471.8,162.5,404.8,381.2,373.1,527.5,426.9,0.0,339.4,317.2,507.2,291.5,520.5,448.6,447.7,402.4,320.7,280.3,388.0,429.8,310.9,69.5,587.1,656.9,350.8,644.5,502.1,681.7,683.5,315.2,611.3,143.6,537.6,568.8,461.1,551.1,2469.9,608.3,337.4,532.4,287.9,531.1,420.1,266.6,704.8,590.9,202.0,438.3,265.5,600.8,332.7,105.4,628.3,243.5,366.1,321.0,516.8,74.0,491.3,537.1,369.8,277.4,224.6,398.6,362.8,421.7,346.2,64.8,675.5,575.1,432.6,472.0,202.0,105.4,413.2,181.3,292.6,244.8,593.7,722.4,424.8,156.1,425.7,393.9,539.9,379.4,376.7,376.7,470.5,527.9,361.5,600.4,608.7,333.6,307.6,319.8,700.7,722.5,451.1,287.7,58.9,171.0,485.5,412.0,50.3,530.5,281.8,546.9,602.5,670.7,272.1,432.7,505.9,561.1,674.4,352.2,741.3,474.2,700.7,543.2,530.9,410.8,498.8,718.4,382.2,413.8,653.4,457.6,226.2,612.6
DD,566.9,358.3,657.2,169.6,596.0,386.5,508.9,483.1,354.0,320.7,498.3,550.8,450.2,337.1,0.0,325.8,451.9,416.7,557.6,165.2,471.0,107.3,344.0,303.6,75.1,453.1,72.1,344.2,395.1,474.0,290.3,335.6,434.3,372.8,512.2,308.9,482.2,464.2,279.8,605.9,498.2,588.2,2463.1,479.2,28.5,569.5,281.6,247.7,413.8,260.3,490.9,628.0,324.9,125.4,149.7,637.9,186.2,286.9,665.4,564.1,380.6,314.7,207.9,308.3,207.9,563.2,389.9,402.6,218.3,338.1,488.0,419.7,339.9,340.4,366.6,613.4,372.1,286.0,245.3,426.0,352.7,276.7,232.1,184.3,388.5,474.2,145.6,307.5,462.8,431.0,530.8,376.8,67.8,360.1,410.0,565.0,301.0,317.0,303.9,458.8,330.9,439.9,464.5,504.3,488.2,296.3,379.5,223.0,430.2,405.7,332.8,524.1,407.0,505.4,639.6,591.8,111.7,469.8,193.0,598.2,391.0,345.9,432.4,165.3,391.8,580.3,554.2,101.9,535.9,477.9,39.6,353.3,344.5,494.7,546.8,649.7
DJ,722.9,322.5,813.2,411.9,752.0,294.8,664.9,385.1,360.7,314.6,566.2,460.9,360.3,294.4,272.8,0.0,440.6,484.6,722.7,407.5,381.1,335.8,254.1,213.7,321.4,363.2,244.3,365.9,520.5,590.3,284.2,577.9,435.5,615.1,616.9,248.6,544.7,366.2,471.0,761.9,654.2,753.3,2663.0,541.7,270.8,725.5,221.3,490.0,353.5,200.0,638.2,784.0,187.5,371.7,193.0,793.9,266.1,215.4,821.4,466.1,299.5,254.4,450.2,210.3,450.2,625.7,396.6,470.5,158.0,332.0,555.9,426.4,279.6,242.4,608.9,768.2,366.0,405.4,135.4,328.0,346.6,166.8,226.0,178.2,527.1,655.8,358.2,201.7,618.8,587.0,593.3,312.8,310.1,299.8,403.9,721.0,294.9,559.3,542.1,528.5,241.0,446.6,634.1,655.9,644.2,29.4,281.5,104.4,418.9,345.4,234.8,586.6,474.9,567.9,795.6,696.4,205.5,625.8,439.3,754.2,633.3,285.6,674.7,407.6,634.1,736.3,464.3,344.2,691.9,651.8,312.5,347.2,586.8,650.7,448.8,805.7
DK,473.9,124.8,690.5,586.2,503.0,153.0,407.5,618.0,138.5,526.9,371.5,685.7,585.1,527.3,447.1,460.7,0.0,402.5,389.6,328.8,605.9,510.1,478.9,438.5,495.7,588.0,418.6,554.2,187.4,802.6,496.5,752.2,660.3,789.4,829.2,258.8,211.6,599.1,228.8,512.9,405.2,420.2,2783.4,208.6,445.1,602.8,293.1,261.4,318.9,246.6,850.5,661.3,432.3,546.0,348.4,671.2,440.4,421.8,698.7,699.0,147.1,227.2,624.5,443.2,251.5,292.6,174.4,352.4,288.4,544.3,361.2,204.2,167.2,475.3,783.2,646.7,578.3,163.2,380.2,560.9,558.9,411.6,438.3,390.5,194.0,890.8,566.2,517.5,496.1,464.3,260.2,281.9,484.4,272.6,616.2,598.3,507.2,265.4,720.5,332.0,465.8,224.4,881.1,868.2,521.5,431.2,514.4,357.9,28.3,310.8,467.7,253.5,410.0,234.8,672.9,363.3,379.8,339.4,613.6,631.5,468.6,223.1,849.0,581.9,808.4,487.3,689.1,518.5,569.2,894.5,486.8,559.5,761.1,528.0,681.7,683.0
DO,571.8,311.5,662.1,634.3,600.9,339.7,513.8,439.2,264.3,537.0,232.6,665.3,564.7,275.6,495.2,458.3,385.1,0.0,562.5,497.5,585.5,558.2,458.5,418.1,543.8,567.6,466.7,282.7,465.0,812.7,506.6,800.3,639.9,837.5,839.3,471.0,489.2,420.3,397.5,610.8,503.1,593.1,2511.9,486.2,493.2,576.4,443.7,430.1,505.6,422.4,860.6,632.9,263.4,594.1,421.3,642.8,488.5,382.1,670.3,520.2,333.8,413.9,672.6,350.7,420.2,570.2,229.3,136.9,380.4,554.4,222.3,281.2,353.9,341.5,831.3,617.1,588.4,331.9,316.3,382.1,569.0,284.7,448.4,400.6,471.6,878.2,580.6,249.7,467.7,435.9,537.8,464.9,532.5,459.3,626.3,569.9,517.3,486.2,764.5,193.1,445.4,179.3,856.5,878.3,493.1,428.8,335.6,355.5,363.4,497.5,327.0,531.1,138.5,512.4,644.5,640.9,427.9,474.7,661.7,603.1,637.3,409.8,897.1,630.0,856.5,585.2,668.7,566.6,540.8,874.2,490.4,569.6,809.2,499.6,502.9,654.6
DQ,210.5,426.2,427.1,658.3,239.6,454.4,154.8,670.5,435.8,808.7,668.1,896.6,796.0,506.9,568.6,689.6,428.9,586.5,0.0,559.4,816.8,611.6,689.8,649.4,593.1,798.9,560.1,514.0,278.4,952.3,778.3,824.3,867.1,861.5,1000.9,560.2,257.9,651.6,530.2,249.5,141.8,30.5,2678.6,200.1,533.1,341.4,594.5,562.8,620.3,548.0,979.6,397.9,494.7,643.4,640.0,407.8,741.8,613.4,435.3,751.5,448.5,528.6,696.6,582.0,466.8,162.8,475.8,572.4,585.7,826.1,657.8,505.6,468.6,572.8,855.3,378.0,860.1,464.6,547.6,613.4,840.7,516.0,720.1,672.3,280.9,956.6,667.7,481.0,232.7,200.9,165.6,579.6,556.5,584.3,898.0,334.9,789.0,352.3,788.5,630.4,676.7,525.8,946.9,986.7,258.1,660.1,566.9,586.8,407.2,612.2,554.2,156.2,576.8,172.6,409.5,296.4,599.7,76.0,715.1,368.1,683.9,524.5,921.1,654.0,880.5,223.9,900.0,590.6,305.8,966.6,611.4,841.3,833.2,264.6,734.2,419.6
ED,720.2,262.5,748.5,261.3,749.3,290.7,653.8,574.1,258.2,411.7,491.2,641.8,541.2,483.4,171.6,416.8,356.1,522.2,635.9,0.0,562.0,214.6,435.0,394.6,200.2,544.1,163.1,435.5,370.8,565.7,381.3,427.3,525.3,464.5,603.9,396.5,457.9,555.2,114.5,759.2,651.5,666.5,2554.4,454.9,136.1,660.8,430.8,82.4,456.6,384.3,582.6,719.3,388.4,250.5,240.7,729.2,243.8,377.9,756.7,655.1,284.8,364.9,299.6,399.3,183.6,538.9,294.1,472.1,309.3,429.1,480.9,323.9,304.9,431.4,458.3,704.7,463.1,190.2,336.3,517.0,443.7,367.7,323.1,275.3,364.2,565.9,270.7,398.8,554.1,522.3,506.5,419.6,159.5,410.3,501.0,656.3,392.0,292.7,395.6,451.7,421.9,344.1,556.2,596.0,579.5,387.3,470.5,314.0,334.4,448.5,423.8,499.8,529.7,481.1,730.9,567.5,202.7,585.7,318.1,689.5,366.7,360.8,524.1,257.0,483.5,733.6,645.2,193.6,627.2,569.6,211.3,444.3,436.2,586.0,637.8,741.0
EF,877.7,495.3,968.0,569.5,906.8,467.6,819.7,539.9,533.5,290.0,721.0,96.8,156.1,449.2,430.4,388.7,613.4,639.4,864.2,565.1,0.0,493.4,243.3,188.6,479.0,182.2,401.9,520.7,693.3,473.7,271.0,650.2,71.4,623.6,500.3,421.4,717.5,521.0,679.7,916.7,809.0,899.0,2817.8,714.5,428.4,880.3,394.1,647.6,526.3,372.8,521.6,938.8,342.3,529.3,356.5,948.7,423.7,349.8,976.2,620.9,472.3,427.2,607.8,365.1,607.8,798.5,569.4,625.3,330.8,250.9,710.7,599.2,452.4,397.2,681.2,923.0,352.8,578.2,290.2,482.8,151.0,321.6,301.7,298.3,788.4,539.2,425.4,360.6,773.6,741.8,766.1,489.3,467.7,472.6,208.3,875.8,181.5,716.9,638.3,681.5,162.5,619.4,517.5,539.3,799.0,359.2,436.3,285.9,591.7,518.2,389.6,759.4,629.7,740.7,950.4,869.2,363.1,780.6,596.9,909.0,790.9,458.4,584.0,565.2,611.3,891.1,283.3,501.8,846.7,535.2,425.6,223.7,659.1,805.5,603.6,960.5
EH,611.8,403.2,702.1,234.1,640.9,431.4,553.8,524.2,398.9,361.8,543.2,591.9,491.3,382.0,129.2,366.9,496.8,461.6,602.5,210.1,512.1,0.0,385.1,344.7,157.8,494.2,152.1,389.1,440.0,538.5,331.4,400.1,475.4,437.3,576.7,350.0,527.1,505.3,324.7,650.8,543.1,633.1,2508.0,524.1,93.7,616.4,322.7,292.6,454.9,301.4,555.4,672.9,369.8,208.1,196.7,682.8,78.8,328.0,710.3,605.2,425.5,355.8,272.4,349.4,252.8,608.1,434.8,447.5,259.4,379.2,532.9,464.6,445.6,381.5,431.1,657.1,413.2,330.9,286.4,467.1,393.8,391.1,273.2,225.4,433.4,538.7,228.3,352.4,507.7,475.9,575.7,417.9,132.3,401.2,451.1,609.9,342.1,361.9,364.3,505.5,372.0,484.8,529.0,568.8,533.1,337.4,420.6,264.1,475.1,446.8,373.9,569.0,451.9,550.3,684.5,636.7,152.8,514.7,275.7,643.1,435.9,501.5,496.9,229.8,456.3,625.2,595.3,166.4,580.8,542.4,168.9,394.4,409.0,539.6,587.9,694.6
EN,708.0,325.6,798.3,415.0,737.1,297.9,650.0,370.2,363.8,317.7,551.3,300.4,199.8,279.5,275.9,219.0,443.7,469.7,698.7,410.6,220.6,338.9,0.0,53.2,324.5,202.7,247.4,351.0,523.6,593.4,287.3,581.0,275.0,618.2,620.0,251.7,547.8,351.3,474.1,747.0,639.3,729.3,2648.1,544.8,273.9,710.6,224.4,493.1,356.6,203.1,641.3,769.1,172.6,374.8,196.1,779.0,269.2,180.1,806.5,451.2,302.6,257.5,453.3,195.4,453.3,628.8,399.7,455.6,161.1,335.1,541.0,429.5,282.7,227.5,612.0,754.5,369.1,408.5,120.5,313.1,354.6,151.9,229.1,181.3,530.2,658.9,361.3,190.9,603.9,572.1,596.4,319.6,313.2,302.9,411.9,706.1,298.0,562.4,549.3,511.8,80.5,449.7,637.2,659.0,629.3,189.5,266.6,116.2,422.0,348.5,219.9,589.7,460.0,571.0,780.7,699.5,208.6,610.9,442.4,739.3,636.4,288.7,677.8,410.7,637.2,721.4,303.8,347.3,677.0,654.9,315.6,427.3,589.9,635.8,433.9,790.8
