from_stop,AA,AC,AD,AE,AI,AM,AO,AP,AT,AY,BA,BB,BF,BM,BR,BY,CA,CB,CF,CK,CM,CN,CO,DI,DO,DP,DU,EA,EB,EG,EL,EM,EP,EV,EW,EX,FG,FH,FJ,FL,FN,FQ,FT,FV,FY,GE,GG,GJ,GO,GQ,GT,GW,GY,HC,HD,HH,HI,HK,HM,HQ,HV,HX,HY,IC,IG,IL,IO,IP,IS,JB,JC,JF,JG,JI,JM,JP,JR,JT,JV,JX,JY,KB,KD,KJ,KL,KM,KO,KP,KX,KZ,LF,LJ,LP,MB,MD,MN,MQ,NB,NP,NX,OD,OK,ON,OU,OW,OZ,PC,PD,PJ,PK,PN,PP,QC,QG,QL,QP,QS,QT,QU,QV,QX,QY,RA,RL,RP,SA,SC,SG,SK,SM,SO,SR,ST,SU,SY,TI,TU,TV,TW,UD,UE,UF,UH,UI,UJ,UN,UO,UQ,US,VI,VL,VP,VT,VU,VY,WA,WE,WH,WN,XD,XH,XS,YI,YO,YS,YV,YW,YY,YZ,ZD,ZE,ZK,ZN,ZS,ZU
FY,600.1,1261.1,547.7,373.9,864.1,1070.7,1139.8,1033.2,363.8,392.5,647.7,994.9,339.0,612.7,1028.2,92.1,1114.0,895.9,1160.3,310.9,905.0,548.2,279.4,184.4,448.3,1116.4,967.4,157.3,1062.2,327.3,1291.2,1193.9,88.0,396.8,962.7,223.1,112.7,1389.2,1097.3,1250.0,345.4,744.4,361.0,349.7,0.0,384.9,433.2,504.2,1026.8,563.9,1123.6,49.1,600.1,1261.7,590.9,542.8,1226.8,1025.2,1130.6,192.0,383.2,1084.3,920.9,627.1,978.1,334.3,918.5,590.5,368.2,546.4,469.6,1275.8,654.5,971.0,606.3,1096.0,1285.6,1165.1,962.8,427.2,930.6,976.9,675.5,1130.8,129.3,254.0,321.9,476.6,1434.3,413.4,437.0,341.2,555.9,617.5,1205.2,165.5,1444.1,429.9,1127.9,920.4,1096.0,206.8,1009.9,985.2,601.0,860.4,1267.4,596.6,1179.7,930.6,507.6,1172.2,61.3,1305.9,947.9,461.6,401.8,1261.0,1442.3,148.9,950.2,616.6,1192.3,954.6,570.8,333.5,402.8,1091.6,235.1,1228.3,533.5,1338.4,1169.1,356.6,898.0,725.6,1049.8,746.8,2088.3,439.6,1304.1,426.4,247.1,203.4,1044.4,350.6,346.7,881.0,429.8,854.5,941.8,766.5,1388.7,189.4,1005.6,20.0,357.3,428.4,274.3,1201.2,338.5,1016.9,1200.9,691.3,699.8,865.6,656.1,936.1,349.7,698.0,757.1,1149.9,1015.9,270.5,601.9
GE,258.2,1425.7,162.7,74.9,1028.7,1235.3,1320.7,1197.8,110.0,557.1,828.6,1159.5,268.4,777.3,1192.8,295.6,1278.6,1076.8,1324.9,183.0,1069.6,163.2,222.5,306.5,63.3,1297.3,1132.0,488.1,1226.8,239.7,1455.8,1358.5,418.8,314.9,1127.3,267.8,275.0,1553.8,1261.9,1414.6,105.9,909.0,168.3,514.3,397.4,0.0,142.8,509.3,1191.4,744.8,1288.2,446.6,781.0,1426.3,755.5,723.7,1391.4,1189.8,1311.5,240.3,547.8,1265.2,1085.5,808.0,1142.7,206.4,1083.1,755.1,532.8,727.3,474.7,1440.4,819.1,1135.6,770.9,1260.6,1450.2,1329.7,1127.4,432.3,1095.2,1141.5,840.1,1295.4,471.3,215.4,129.2,91.6,1598.9,28.4,442.1,148.5,736.8,275.6,1369.8,213.1,1608.7,44.9,1292.5,1101.3,1260.6,238.4,1190.8,1166.1,765.6,1025.0,1432.0,198.8,1344.3,1095.2,322.9,1336.8,392.1,1470.5,1128.8,76.6,566.4,1425.6,1606.9,239.3,1131.1,797.5,1356.9,1119.2,735.4,140.8,68.2,1272.5,342.5,1392.9,549.4,1503.0,1333.7,163.9,1062.6,890.2,1230.7,927.7,1773.5,54.6,1468.7,52.5,224.9,215.7,1225.3,178.2,62.6,1061.9,83.3,1019.1,1122.7,931.1,1553.3,436.2,1170.2,378.3,26.6,43.4,217.3,1365.8,166.1,1197.8,1365.5,855.9,864.4,1030.2,314.2,1117.0,514.3,862.6,921.7,1314.5,1180.5,231.2,204.1
GG,412.6,1466.6,317.1,158.9,1069.6,1276.2,1361.6,1238.7,172.6,598.0,869.5,1200.4,309.3,818.2,1233.7,336.5,1319.5,1117.7,1365.8,223.9,1110.5,317.6,263.4,347.4,217.7,1338.2,1172.9,529.0,1267.7,280.6,1496.7,1399.4,459.7,486.0,1168.2,308.7,315.9,1594.7,1302.8,1455.5,154.2,949.9,209.2,555.2,438.3,154.3,0.0,593.4,1232.3,785.7,1329.1,487.5,821.9,1467.2,796.4,764.6,1432.3,1230.7,1352.4,281.2,588.7,1306.1,1126.4,848.9,1183.6,247.3,1124.0,796.0,573.7,768.2,558.8,1481.3,860.0,1176.5,811.8,1301.5,1491.1,1370.6,1168.3,516.4,1136.1,1182.4,881.0,1336.3,512.2,256.3,170.1,246.0,1639.8,182.8,526.2,189.4,777.7,430.0,1410.7,254.0,1649.6,199.3,1333.4,1142.2,1301.5,279.3,1231.7,1207.0,806.5,1065.9,1472.9,353.2,1385.2,1136.1,477.3,1377.7,433.0,1511.4,1169.7,231.0,607.3,1466.5,1647.8,280.2,1172.0,838.4,1397.8,1160.1,776.3,181.7,114.4,1313.4,383.4,1433.8,633.5,1543.9,1374.6,204.8,1103.5,931.1,1271.6,968.6,1927.9,209.0,1509.6,195.8,265.8,256.6,1266.2,219.1,146.6,1102.8,205.7,1060.0,1163.6,972.0,1594.2,477.1,1211.1,419.2,126.7,197.8,258.2,1406.7,207.0,1238.7,1406.4,896.8,905.3,1071.1,468.6,1157.9,555.2,903.5,962.6,1355.4,1221.4,272.1,358.5
GJ,438.0,1178.2,459.2,576.4,781.2,987.8,1096.2,950.3,566.3,392.6,627.4,912.0,541.5,529.8,945.3,429.8,1031.1,852.3,1077.4,513.4,822.1,458.7,514.5,598.5,543.6,1072.8,884.5,622.3,979.3,531.7,1208.3,1111.0,553.0,234.7,879.8,559.8,409.2,1306.3,1014.4,1167.1,547.9,661.5,563.5,316.3,531.6,541.0,635.7,0.0,943.9,629.4,1040.7,580.8,607.4,1178.8,508.0,638.3,1143.9,942.3,1087.0,341.5,300.3,1040.7,838.0,606.8,895.2,536.8,835.6,507.6,298.1,641.9,163.4,1192.9,571.6,888.1,523.4,1013.1,1202.7,1082.2,879.9,121.0,847.7,894.0,592.6,1047.9,661.0,456.5,524.4,588.5,1351.4,568.5,130.8,543.7,651.4,455.4,1122.3,368.0,1361.2,585.0,1045.0,876.8,1013.1,409.3,966.3,941.6,518.1,777.5,1184.5,434.5,1096.8,847.7,345.5,1089.3,526.3,1223.0,904.3,465.3,318.9,1178.1,1359.4,373.5,906.6,596.3,1109.4,871.7,487.9,536.0,609.3,1048.0,634.5,1145.4,238.1,1255.5,1086.2,559.1,815.1,642.7,1006.2,787.9,2109.9,579.6,1221.2,592.6,449.6,405.9,1000.8,553.1,549.2,837.4,632.3,771.6,898.2,683.6,1305.8,721.1,922.7,512.5,559.8,536.5,476.8,1118.3,541.0,973.3,1118.0,608.4,616.9,782.7,494.0,892.5,316.3,615.1,674.2,1067.0,933.0,523.2,439.8
GO,1243.7,477.0,1264.9,1237.1,279.1,180.2,384.1,232.6,1227.0,804.4,505.4,194.3,1202.2,687.1,137.7,1017.9,223.5,489.2,269.8,1174.1,667.0,1264.4,1175.2,1259.2,1311.5,360.7,293.9,1165.5,171.7,1192.4,460.5,393.3,1096.2,1040.4,101.2,1220.5,1038.5,516.8,206.8,449.4,1208.6,818.8,1224.2,728.1,1074.8,1248.1,1296.4,991.7,0.0,588.8,233.1,1124.0,609.5,461.1,614.3,609.3,426.2,71.8,321.7,1002.2,694.7,292.7,682.9,527.4,290.0,1197.5,680.5,613.9,709.9,605.8,886.1,458.6,659.8,170.4,629.7,205.5,484.2,364.5,180.0,870.6,212.2,262.5,437.5,330.2,1198.8,1117.2,1185.1,1339.8,561.9,1276.6,860.7,1204.4,596.6,1261.1,441.7,1028.7,571.7,1293.1,237.4,464.7,205.5,1070.0,457.5,399.9,624.4,188.4,497.5,1240.2,416.2,130.0,1151.2,371.6,1069.5,483.2,513.7,1271.0,713.2,460.4,569.9,1034.2,434.9,537.6,391.7,154.0,594.2,1196.7,1266.0,286.6,1295.2,614.8,882.4,433.5,368.5,1219.8,660.0,800.0,367.8,614.6,2697.5,1302.8,503.5,1289.6,1110.3,1066.6,332.0,1213.8,1209.9,572.7,1293.0,288.7,443.3,528.5,516.3,1264.3,205.0,1055.7,1220.5,1291.6,1137.5,310.7,1201.7,582.7,478.7,765.7,399.3,627.6,1299.7,546.5,728.1,417.5,519.1,349.3,125.4,1183.9,1245.5
GQ,752.4,810.1,773.6,745.8,457.3,603.2,618.6,565.7,735.7,428.0,83.7,527.4,710.9,422.3,560.7,510.3,646.5,374.7,692.8,682.8,344.6,773.1,683.9,751.7,820.2,595.2,627.0,657.9,594.7,701.1,793.6,726.4,588.6,549.1,495.2,729.2,530.9,849.9,629.8,782.5,717.3,554.0,732.9,351.7,567.2,756.8,805.1,615.3,559.3,0.0,656.1,616.4,36.1,794.2,349.5,20.4,759.3,557.7,609.4,510.9,318.3,563.1,360.5,63.1,623.1,706.2,358.1,349.1,333.5,16.9,509.7,791.7,133.9,503.5,364.9,628.5,817.3,697.6,513.1,494.2,545.3,595.6,140.0,663.3,691.2,625.9,693.8,848.5,895.0,785.3,484.3,713.1,7.7,769.8,774.8,537.4,904.8,801.8,660.4,399.2,628.5,578.7,488.7,464.0,359.6,392.9,830.6,748.9,749.3,463.1,659.9,704.7,561.9,816.3,426.7,779.7,336.8,793.5,903.0,542.9,429.0,52.6,724.8,487.1,329.4,705.4,774.7,570.4,802.4,821.5,506.0,766.6,701.6,728.5,337.6,535.2,528.6,225.6,2442.2,811.5,836.6,798.3,619.0,575.3,523.2,722.5,718.6,359.8,801.7,447.7,420.6,206.1,849.4,756.7,538.1,548.1,729.2,800.3,646.2,733.7,710.4,495.7,811.8,500.9,191.1,305.2,808.4,414.9,351.7,212.5,196.7,682.4,548.4,692.6,754.2
GT,1303.3,536.6,1324.5,1296.7,338.7,102.7,306.6,292.2,1286.6,864.0,565.0,253.9,1261.8,746.7,156.4,1077.5,97.4,411.7,192.3,1233.7,594.5,1324.0,1234.8,1318.8,1371.1,283.2,360.5,1225.1,61.3,1252.0,520.1,452.9,1155.8,1100.0,160.8,1280.1,1098.1,576.4,155.3,530.3,1268.2,878.4,1283.8,787.7,1134.4,1307.7,1356.0,1051.3,225.9,648.4,0.0,1183.6,669.1,520.7,673.9,668.9,485.8,214.5,244.2,1061.8,754.3,215.2,610.4,587.0,349.6,1257.1,608.0,673.5,769.5,665.4,945.7,518.2,719.4,230.0,689.3,166.2,543.8,370.7,239.6,930.2,271.8,322.1,497.1,389.8,1258.4,1176.8,1244.7,1399.4,621.5,1336.2,920.3,1264.0,656.2,1320.7,504.4,1088.3,631.3,1352.7,159.9,387.2,166.2,1129.6,385.4,322.4,684.0,248.0,557.1,1299.8,475.8,189.6,1210.8,431.2,1129.1,542.8,436.2,1329.3,772.8,520.0,629.5,1093.8,357.4,597.2,451.3,213.6,653.8,1256.3,1325.6,209.1,1354.8,674.4,942.0,493.1,428.1,1279.4,587.5,859.6,290.3,537.1,2757.1,1362.4,563.1,1349.2,1169.9,1126.2,254.5,1273.4,1269.5,495.2,1352.6,348.3,365.8,588.1,575.9,1323.9,264.6,1115.3,1280.1,1351.2,1197.1,233.2,1261.3,505.2,538.3,825.3,458.9,687.2,1359.3,469.0,787.7,477.1,578.7,408.9,107.6,1243.5,1305.1
GW,659.1,1320.1,606.7,432.9,923.1,1129.7,1198.8,1092.2,422.8,451.5,706.7,1053.9,398.0,671.7,1087.2,151.1,1173.0,954.9,1219.3,369.9,964.0,607.2,267.3,172.3,507.3,1175.4,1026.4,216.3,1121.2,315.2,1350.2,1252.9,147.0,455.8,1021.7,211.0,171.7,1448.2,1156.3,1309.0,404.4,803.4,420.0,408.7,58.9,443.9,492.2,563.2,1085.8,622.9,1182.6,0.0,659.1,1320.7,649.9,601.8,1285.8,1084.2,1189.6,251.0,442.2,1143.3,979.9,686.1,1037.1,393.3,977.5,649.5,427.2,605.4,528.6,1334.8,713.5,1030.0,665.3,1155.0,1344.6,1224.1,1021.8,486.2,989.6,1035.9,734.5,1189.8,80.1,313.0,380.9,535.6,1493.3,472.4,496.0,400.2,614.9,676.5,1264.2,224.5,1503.1,488.9,1186.9,979.4,1155.0,265.8,1068.9,1044.2,660.0,919.4,1326.4,655.6,1238.7,989.6,566.6,1231.2,120.3,1364.9,1006.9,520.6,460.8,1320.0,1501.3,207.9,1009.2,675.6,1251.3,1013.6,629.8,392.5,461.8,1150.6,223.0,1287.3,592.5,1397.4,1228.1,415.6,957.0,784.6,1108.8,805.8,2076.2,498.6,1363.1,485.4,306.1,262.4,1103.4,409.6,405.7,940.0,488.8,913.5,1000.8,825.5,1447.7,177.3,1064.6,79.0,416.3,487.4,333.3,1260.2,397.5,1075.9,1259.9,750.3,758.8,924.6,715.1,995.1,408.7,757.0,816.1,1208.9,1074.9,258.4,660.9
GY,858.6,817.3,879.8,852.0,464.5,610.4,625.9,572.9,841.9,419.3,90.9,534.6,817.1,422.8,567.9,553.0,653.7,382.0,700.0,789.0,351.8,879.3,790.1,794.4,926.4,602.5,634.2,700.6,601.9,807.3,800.8,733.6,631.3,655.3,502.4,835.4,573.6,857.1,637.0,789.7,823.5,554.5,839.1,343.0,609.9,863.0,911.3,606.6,566.5,42.6,663.3,659.1,0.0,801.4,356.7,63.1,766.5,564.9,616.7,617.1,309.6,570.4,367.7,70.3,630.3,812.4,365.3,356.3,324.8,59.6,501.0,798.9,97.7,510.7,372.1,635.7,824.5,704.8,520.3,485.5,552.5,602.8,147.2,670.5,733.9,732.1,800.0,954.7,902.2,891.5,475.6,819.3,50.4,876.0,782.0,643.6,912.0,908.0,667.6,406.5,635.7,684.9,496.0,471.3,366.8,400.1,837.8,855.1,756.5,470.3,766.1,711.9,604.6,823.5,434.0,885.9,328.1,800.7,910.2,649.1,436.3,59.8,732.0,494.3,336.6,811.6,880.9,577.7,910.1,828.7,497.3,773.8,708.8,834.7,344.8,535.7,535.9,268.3,2484.9,917.7,843.8,904.5,725.2,681.5,530.5,828.7,824.8,367.1,907.9,454.9,427.9,213.3,856.6,799.4,545.3,590.8,835.4,906.5,752.4,740.9,816.6,503.0,819.0,501.4,198.3,312.4,914.6,422.2,343.0,219.7,203.9,689.6,555.6,798.8,860.4
HC,1365.2,196.1,1277.6,1445.6,581.3,534.1,730.5,403.2,1435.5,1012.9,786.4,364.9,1410.7,895.6,491.6,1226.4,559.1,835.6,623.7,1382.6,951.5,1277.1,1383.7,1467.7,1340.1,707.1,536.0,1374.0,525.6,1400.9,178.3,246.8,1304.7,1248.9,426.1,1429.0,1247.0,388.7,560.7,361.9,1417.1,1027.3,1432.7,936.6,1283.3,1337.5,1504.9,1200.2,490.2,869.8,587.0,1332.5,890.5,0.0,822.8,890.3,92.6,488.6,668.1,1210.7,903.2,639.1,967.4,808.4,532.1,1406.0,965.0,822.4,918.4,886.8,1094.6,210.8,969.0,412.5,838.2,559.4,272.3,277.0,422.1,1079.1,454.3,504.6,722.0,364.7,1407.3,1325.7,1393.6,1385.0,433.8,1365.0,1069.2,1412.9,877.6,1382.6,159.5,1237.2,443.6,1381.5,591.3,811.1,559.4,1278.5,803.9,746.3,832.9,472.4,241.7,1305.8,134.0,397.3,1359.7,284.1,1278.0,271.3,860.1,1261.8,921.7,372.9,441.8,1242.7,781.3,818.6,255.2,396.1,802.7,1405.2,1405.8,633.0,1503.7,332.6,1090.9,303.0,403.0,1428.3,944.5,1008.5,714.2,917.3,2415.3,1376.1,367.0,1389.1,1318.8,1275.1,678.4,1422.3,1418.4,966.8,1420.9,571.7,789.7,813.0,388.2,1472.8,375.6,1264.2,1364.2,1333.0,1346.0,664.6,1410.2,929.1,196.5,974.2,746.3,912.1,1421.2,892.9,936.6,744.5,803.6,383.8,479.3,1392.4,1311.1
HD,755.1,815.9,776.3,748.5,418.9,625.5,733.9,588.0,738.4,315.8,327.7,549.7,713.6,198.5,583.0,529.3,668.8,490.0,715.1,685.5,459.8,775.8,686.6,770.6,822.9,710.5,522.2,676.9,617.0,703.8,846.0,748.7,607.6,551.8,517.5,731.9,549.9,944.0,652.1,804.8,720.0,330.2,735.6,239.5,586.2,759.5,807.8,503.1,581.6,329.7,678.4,635.4,307.7,816.5,0.0,350.2,781.6,580.0,724.7,513.6,206.1,678.4,475.7,307.1,532.9,708.9,473.3,60.0,221.3,346.7,397.5,830.6,271.9,525.8,27.0,650.8,840.4,719.9,517.6,382.0,485.4,531.7,230.3,685.6,710.2,628.6,696.5,851.2,989.1,788.0,372.1,715.8,337.5,772.5,760.0,540.1,998.9,804.5,682.7,514.5,650.8,581.4,604.0,579.3,39.7,415.2,822.2,751.6,734.5,485.4,662.6,727.0,580.9,860.7,542.0,782.4,224.6,815.8,997.1,545.6,544.3,296.6,747.1,509.4,26.2,708.1,777.4,685.7,806.6,783.1,393.8,893.2,723.9,731.2,452.8,311.4,643.9,425.6,2461.2,814.2,858.9,801.0,621.7,578.0,638.5,725.2,721.3,475.1,804.4,409.3,535.9,321.3,943.5,775.7,560.4,567.1,731.9,803.0,648.9,756.0,713.1,611.0,755.7,277.1,254.6,420.4,811.1,530.2,239.5,252.8,311.9,704.7,570.7,695.3,756.9
HH,731.9,831.2,753.1,725.3,478.4,624.3,598.1,586.8,715.2,449.1,104.8,548.5,690.4,443.4,581.8,489.8,667.6,354.2,696.2,662.3,399.4,752.6,663.4,731.2,799.7,574.7,648.1,637.4,615.8,680.6,814.7,747.5,568.1,528.6,516.3,708.7,510.4,871.0,650.9,803.6,696.8,575.1,712.4,372.8,546.7,736.3,784.6,636.4,580.4,21.0,677.2,595.9,57.2,815.3,370.6,0.0,780.4,578.8,588.9,490.4,339.4,542.6,415.3,84.2,644.2,685.7,412.9,370.2,354.6,3.6,530.8,812.8,155.0,524.6,386.0,649.6,838.4,718.7,534.2,515.3,566.4,616.7,161.1,684.4,670.7,605.4,673.3,828.0,916.1,764.8,505.4,692.6,13.0,749.3,795.9,516.9,925.9,781.3,681.5,378.7,649.6,558.2,468.2,443.5,380.7,414.0,851.7,728.4,770.4,484.2,639.4,725.8,541.4,837.4,406.2,759.2,357.9,814.6,924.1,522.4,408.5,73.7,745.9,508.2,350.5,684.9,754.2,549.9,781.9,842.6,527.1,787.7,722.7,708.0,392.4,556.3,508.1,205.1,2421.7,791.0,857.7,777.8,598.5,554.8,502.7,702.0,698.1,339.3,781.2,468.8,400.1,242.9,870.5,736.2,559.2,527.6,708.7,779.8,625.7,737.1,689.9,475.2,832.9,522.0,212.2,287.4,787.9,394.4,372.8,233.6,217.8,703.5,569.5,672.1,733.7
HI,1331.0,161.9,1243.4,1411.4,547.1,499.9,696.3,369.0,1401.3,978.7,752.2,330.7,1376.5,861.4,457.4,1192.2,524.9,801.4,589.5,1348.4,917.3,1242.9,1349.5,1433.5,1305.9,672.9,501.8,1339.8,491.4,1366.7,144.1,212.6,1270.5,1214.7,391.9,1394.8,1212.8,354.5,526.5,327.7,1382.9,993.1,1398.5,902.4,1249.1,1303.3,1470.7,1166.0,456.0,835.6,552.8,1298.3,856.3,73.3,788.6,856.1,0.0,454.4,633.9,1176.5,869.0,604.9,933.2,774.2,497.9,1371.8,930.8,788.2,884.2,852.6,1060.4,176.6,934.8,378.3,804.0,525.2,238.1,242.8,387.9,1044.9,420.1,470.4,687.8,330.5,1373.1,1291.5,1359.4,1350.8,399.6,1330.8,1035.0,1378.7,843.4,1348.4,125.3,1203.0,409.4,1347.3,557.1,776.9,525.2,1244.3,769.7,712.1,798.7,438.2,207.5,1271.6,99.8,363.1,1325.5,249.9,1243.8,237.1,825.9,1227.6,887.5,338.7,407.6,1208.5,747.1,784.4,221.0,361.9,768.5,1371.0,1371.6,598.8,1469.5,298.4,1056.7,268.8,368.8,1394.1,910.3,974.3,680.0,883.1,2381.1,1341.9,332.8,1354.9,1284.6,1240.9,644.2,1388.1,1384.2,932.6,1386.7,537.5,755.5,778.8,354.0,1438.6,341.4,1230.0,1330.0,1298.8,1311.8,630.4,1376.0,894.9,162.3,940.0,712.1,877.9,1387.0,858.7,902.4,710.3,769.4,349.6,445.1,1358.2,1276.9
HK,1214.9,448.2,1236.1,1208.3,250.3,141.6,345.5,203.8,1198.2,775.6,476.6,165.5,1173.4,658.3,99.1,989.1,184.9,450.6,231.2,1145.3,633.4,1235.6,1146.4,1230.4,1282.7,322.1,265.1,1136.7,133.1,1163.6,431.7,364.5,1067.4,1011.6,72.4,1191.7,1009.7,488.0,168.2,420.6,1179.8,790.0,1195.4,699.3,1046.0,1219.3,1267.6,962.9,64.6,560.0,194.5,1095.2,580.7,432.3,585.5,580.5,397.4,0.0,283.1,973.4,665.9,254.1,649.3,498.6,261.2,1168.7,646.9,585.1,681.1,577.0,857.3,429.8,631.0,141.6,600.9,166.9,455.4,335.7,151.2,841.8,183.4,233.7,408.7,301.4,1170.0,1088.4,1156.3,1311.0,533.1,1247.8,831.9,1175.6,567.8,1232.3,412.9,999.9,542.9,1264.3,198.8,426.1,166.9,1041.2,418.9,361.3,595.6,159.6,468.7,1211.4,387.4,101.2,1122.4,342.8,1040.7,454.4,475.1,1242.2,684.4,431.6,541.1,1005.4,396.3,508.8,362.9,125.2,565.4,1167.9,1237.2,248.0,1266.4,586.0,853.6,404.7,339.7,1191.0,626.4,771.2,329.2,576.0,2668.7,1274.0,474.7,1260.8,1081.5,1037.8,293.4,1185.0,1181.1,534.1,1264.2,259.9,404.7,499.7,487.5,1235.5,176.2,1026.9,1191.7,1262.8,1108.7,272.1,1172.9,544.1,449.9,736.9,370.5,598.8,1270.9,507.9,699.3,388.7,490.3,320.5,86.8,1155.1,1216.7
HM,1277.3,608.0,1298.5,1270.7,423.8,137.9,122.9,377.3,1260.6,889.3,509.2,339.0,1235.8,772.0,241.5,1035.2,241.1,228.0,187.8,1207.7,410.8,1298.0,1208.8,1276.6,1345.1,99.5,438.6,1182.8,189.3,1226.0,591.5,524.3,1113.5,1074.0,245.9,1254.1,1055.8,611.7,240.4,544.3,1242.2,903.7,1257.8,813.0,1092.1,1281.7,1330.0,1076.6,311.0,587.6,250.7,1141.3,623.8,592.1,699.2,566.5,557.2,299.6,0.0,1035.8,779.6,31.5,426.7,531.2,434.7,1231.1,424.3,698.8,794.8,570.1,971.0,589.6,663.6,315.1,714.6,251.3,615.2,388.0,324.7,955.5,356.9,407.2,489.7,474.9,1216.1,1150.8,1218.7,1373.4,656.8,1310.2,945.6,1238.0,579.6,1294.7,572.7,1062.3,666.6,1326.7,221.0,203.5,251.3,1103.6,196.3,138.7,709.3,333.1,628.5,1273.8,547.2,274.7,1184.8,466.5,1086.8,614.2,252.5,1304.6,798.1,555.3,664.8,1067.8,173.7,541.4,522.7,298.7,679.1,1230.3,1299.6,41.5,1327.3,679.1,967.3,528.4,513.2,1253.4,403.8,884.9,106.6,353.4,2828.5,1336.4,634.5,1323.2,1143.9,1100.2,70.8,1247.4,1243.5,311.5,1326.6,433.4,182.1,493.7,611.2,1281.6,349.7,1073.0,1254.1,1325.2,1171.1,228.7,1235.3,321.5,609.7,850.6,544.0,592.8,1333.3,285.3,813.0,562.2,401.1,494.0,192.7,1217.5,1279.1
HQ,408.0,1185.3,408.6,234.8,788.3,994.9,1080.3,957.4,224.7,316.7,588.2,919.1,199.9,536.9,952.4,88.2,1038.2,836.4,1084.5,177.9,829.2,409.1,172.9,256.9,309.2,1056.9,898.6,280.7,986.4,190.1,1215.4,1118.1,211.4,204.7,886.9,218.2,67.6,1313.4,1021.5,1195.5,206.3,668.6,221.9,273.9,190.0,245.8,294.1,312.1,951.0,504.4,1047.8,239.2,540.6,1185.9,515.1,483.3,1151.0,949.4,1071.1,0.0,307.4,1024.8,845.1,567.6,902.3,195.2,842.7,514.7,292.4,486.9,277.5,1200.0,578.7,895.2,530.5,1020.2,1209.8,1089.3,887.0,235.1,854.8,901.1,599.7,1055.0,319.4,114.9,182.8,337.5,1358.5,274.3,244.9,202.1,496.4,425.4,1129.4,26.4,1368.3,290.8,1052.1,860.9,1020.2,67.7,955.8,925.7,525.2,784.6,1191.6,404.5,1103.9,854.8,315.5,1096.4,184.7,1230.1,888.4,322.6,326.0,1185.2,1366.5,31.9,890.7,557.1,1116.5,878.8,495.0,194.4,263.7,1032.1,292.9,1152.5,352.2,1152.1,1093.3,217.5,822.2,649.8,990.3,687.3,2019.4,300.5,1228.3,287.3,108.0,64.3,984.9,217.2,207.6,821.5,290.7,778.7,882.3,690.7,1312.9,379.5,929.8,170.9,218.2,289.3,135.2,1125.4,199.4,957.4,1125.1,615.5,624.0,789.8,464.0,876.6,273.9,622.2,681.3,1074.1,940.1,181.6,409.8
HV,548.9,877.8,570.1,542.3,480.8,687.4,795.8,649.9,532.2,109.6,327.0,611.6,507.4,229.4,644.9,323.1,730.7,551.9,777.0,479.3,521.7,569.6,480.4,564.4,616.7,772.4,584.1,470.7,678.9,497.6,907.9,810.6,401.4,345.6,579.4,525.7,343.7,1005.9,714.0,866.7,513.8,361.1,529.4,33.3,380.0,553.3,601.6,296.9,643.5,329.0,740.3,429.2,307.0,878.4,207.6,349.5,843.5,641.9,786.6,307.4,0.0,740.3,537.6,306.4,594.8,502.7,535.2,207.2,15.1,346.0,191.3,892.5,271.2,587.7,223.0,712.7,902.3,781.8,579.5,175.8,547.3,593.6,292.2,747.5,504.0,422.4,490.3,645.0,1051.0,581.8,165.9,509.6,336.8,566.3,821.9,333.9,1060.8,598.3,744.6,576.4,712.7,375.2,665.9,641.2,217.7,477.1,884.1,545.4,796.4,547.3,456.4,788.9,374.7,922.6,603.9,576.2,18.5,877.7,1059.0,339.4,606.2,295.9,809.0,571.3,187.5,501.9,571.2,747.6,600.4,845.0,187.6,955.1,785.8,525.0,514.7,342.3,705.8,487.5,2255.0,608.0,920.8,594.8,415.5,371.8,700.4,519.0,515.1,537.0,598.2,471.2,597.8,383.2,1005.4,569.5,622.3,360.9,525.7,596.8,442.7,817.9,506.9,672.9,817.6,308.0,316.5,482.3,604.9,592.1,33.3,314.7,373.8,766.6,632.6,489.1,550.7
