from_stop,AG,AH,AI,AL,AR,AT,AY,BA,BF,BH,BK,BO,BS,BX,BY,CG,CJ,CK,CM,CN,CQ,CU,CX,DH,EA,FU,FV,GD,GG,GK,GO,GP,GS,HE,HF,HI,HJ,HM,HS,HW,HZ,IM,IU,IV,IY,IZ,JA,JP,JR,JZ,KM,KN,KR,KY,LA,LD,LE,LR,LZ,MD,MF,MI,ML,MM,MN,MO,MR,MW,NC,NF,NI,NK,NL,NO,NP,NW,OF,OK,OS,OT,OU,OV,OY,PA,PC,PD,PG,PP,PQ,QC,QF,QI,QL,QR,QS,QX,RE,RO,RP,RS,RW,SH,SJ,TE,TF,TL,TM,TT,UI,UM,UU,UV,UW,VB,VC,VD,VE,VI,VN,WC,WD,WJ,WQ,XM,XR,XS,YF,YJ,YN,YR,YW,ZF,ZG,ZK,ZL,ZY
BK,765.6,310.2,1139.3,857.4,543.9,871.6,243.6,1259.2,409.0,846.6,0.0,1104.0,1166.2,873.0,780.4,1162.4,1156.2,817.7,1120.1,1255.4,731.3,638.4,1180.2,1291.2,766.8,1218.1,747.8,1125.1,1264.8,323.3,1214.1,688.3,788.5,255.9,761.3,453.7,1217.3,1144.3,1157.9,1214.1,713.4,427.6,1166.4,1124.9,841.8,1829.8,853.1,730.0,975.9,1132.3,1204.5,984.4,878.6,952.7,202.0,1227.4,1212.4,1270.6,1067.5,1163.7,1222.4,1203.5,1249.5,841.5,1158.5,1162.1,287.6,1208.7,1149.0,682.3,1236.2,1277.3,1005.2,620.0,1198.5,887.4,1159.5,991.1,944.2,682.7,1121.0,1136.0,1165.5,1169.7,1182.4,900.4,1195.5,881.0,567.2,467.3,973.4,443.5,1175.6,1083.9,1096.8,1087.0,1214.9,1198.8,1210.0,1198.1,1174.9,329.9,1266.6,247.3,315.8,1171.8,1136.5,739.0,1092.5,937.3,1261.7,238.7,498.2,453.1,893.1,1085.0,995.7,144.0,880.7,1174.6,1000.4,837.6,922.0,214.5,1222.8,1297.2,498.1,558.2,1211.4,1231.0,1022.5,898.3,456.6,956.9,1080.2,244.3
BO,352.5,731.8,379.7,404.5,835.4,476.3,1022.3,320.7,646.1,333.6,1035.1,0.0,62.1,360.0,446.5,58.3,251.4,364.8,499.7,151.3,534.6,847.0,324.5,311.9,669.0,114.0,708.4,504.7,160.7,767.9,110.0,529.2,525.4,787.9,721.9,744.3,328.7,40.2,180.4,265.8,516.7,627.5,310.7,295.0,278.4,2533.9,459.6,533.3,366.5,302.4,340.4,355.5,242.0,390.6,980.7,436.2,421.2,411.6,237.6,346.9,244.9,298.4,358.9,388.6,54.4,370.9,1066.3,417.5,259.0,701.9,258.3,304.3,529.0,501.0,280.7,283.7,71.1,435.5,468.0,437.2,291.1,158.5,309.8,364.4,78.3,220.2,331.0,466.9,739.2,758.8,427.2,881.4,235.0,254.0,266.9,257.1,110.8,94.7,232.5,342.4,342.2,751.9,349.2,1026.0,760.4,122.2,306.6,745.7,262.6,319.3,157.6,1017.4,569.7,744.6,380.1,255.1,343.6,900.9,367.7,383.4,394.9,569.7,426.6,1094.7,118.7,319.1,789.6,1449.5,330.0,126.9,445.6,385.3,794.1,480.7,250.3,1023.0
BS,417.1,796.4,437.9,469.1,900.0,540.9,1086.9,378.9,710.7,398.2,1099.7,64.5,0.0,424.6,511.1,59.8,309.6,429.4,557.9,152.8,599.2,911.6,382.7,370.1,733.6,115.5,773.0,562.9,162.2,832.5,47.8,593.8,590.0,852.5,786.5,808.9,386.9,12.8,238.6,324.0,581.3,692.1,368.9,359.6,343.0,2598.5,524.2,597.9,431.1,367.0,398.6,420.1,306.6,455.2,1045.3,494.4,479.4,469.8,302.2,405.1,303.1,356.6,417.1,453.2,96.3,429.1,1130.9,475.7,317.2,766.5,316.5,362.5,593.6,565.6,338.9,348.3,91.5,500.1,532.6,501.8,355.7,216.7,368.0,422.6,49.6,284.8,389.2,531.5,803.8,823.4,491.8,946.0,293.2,318.6,331.5,321.7,112.3,132.4,290.7,400.6,400.4,816.5,407.4,1090.6,825.0,110.9,371.2,810.3,327.2,383.9,159.1,1082.0,634.3,809.2,444.7,319.7,408.2,965.5,432.3,441.6,459.5,634.3,491.2,1159.3,56.5,377.3,854.2,1514.1,388.2,152.3,510.2,449.9,858.7,545.3,314.9,1087.6
BX,109.3,528.2,326.8,161.3,664.1,196.3,818.7,446.7,442.5,39.4,831.5,402.2,464.4,0.0,202.4,460.6,316.0,121.6,384.8,553.6,291.4,603.9,340.0,478.7,425.8,516.3,344.8,442.2,563.0,564.3,512.3,286.0,282.2,584.3,330.4,540.7,377.1,442.5,463.4,373.9,273.5,423.9,326.2,388.7,105.6,2416.8,216.4,290.1,86.5,396.1,364.3,75.5,142.4,110.6,777.1,383.3,368.3,426.5,331.3,351.2,428.6,333.9,437.0,145.4,456.7,318.0,862.7,364.6,308.8,458.7,396.0,401.9,249.0,257.8,358.3,151.2,540.8,134.7,188.0,194.0,384.8,412.4,325.3,357.2,569.4,164.2,383.0,186.9,496.0,587.5,147.2,710.1,335.4,347.7,360.6,350.8,513.1,497.0,416.2,357.9,362.4,570.9,454.1,822.4,556.8,553.1,400.3,502.5,356.3,201.1,559.9,813.8,398.4,573.3,60.6,348.8,63.6,697.3,7.7,330.5,103.3,326.5,146.6,891.1,521.0,484.7,618.3,1332.4,398.9,529.2,140.4,67.1,590.5,200.7,344.0,819.4
BY,88.1,448.7,478.1,180.8,584.6,312.7,738.9,598.0,362.1,170.0,752.0,461.8,524.0,195.5,0.0,520.2,466.4,141.1,536.1,613.2,211.9,617.2,491.3,630.0,374.9,575.9,302.4,593.5,622.6,483.9,571.9,298.4,78.8,504.8,279.5,461.2,528.4,501.2,614.7,524.3,194.0,344.4,477.5,448.3,165.2,2337.3,229.7,209.7,202.0,455.7,515.6,194.5,201.1,226.1,697.6,533.7,518.7,577.8,390.9,502.5,579.9,550.6,587.4,164.0,516.3,468.4,782.3,515.9,460.1,455.0,547.3,553.2,365.4,177.4,509.6,210.8,517.3,271.9,304.4,114.5,444.4,549.4,476.6,507.6,540.2,223.8,534.3,303.3,509.3,508.0,262.7,630.6,486.7,407.3,420.2,410.4,572.7,556.6,567.5,509.2,513.7,490.5,604.5,742.9,477.3,528.7,459.9,451.6,415.9,260.7,619.5,734.3,318.9,493.8,216.5,408.4,180.0,617.8,204.1,481.8,234.1,275.6,262.1,811.6,581.6,636.0,538.8,1252.9,549.3,587.9,282.0,218.4,510.1,316.2,402.7,739.9
CG,410.5,789.8,437.7,462.5,893.4,534.3,1080.3,378.7,704.1,391.6,1093.1,57.9,77.0,418.0,504.5,0.0,309.4,422.8,557.7,92.9,592.6,905.0,382.5,369.9,727.0,55.6,766.4,562.7,102.3,825.9,124.9,587.2,583.4,845.9,779.9,802.3,386.7,55.1,238.4,323.8,574.7,685.5,368.7,353.0,336.4,2591.9,517.6,591.3,424.5,360.4,398.4,413.5,300.0,448.6,1038.7,494.2,479.2,469.6,295.6,404.9,302.9,356.4,416.9,446.6,89.7,428.9,1124.3,475.5,317.0,759.9,316.3,362.3,587.0,559.0,338.7,341.7,106.4,493.5,526.0,495.2,349.1,216.5,367.8,422.4,93.2,278.2,389.0,524.9,797.2,816.8,485.2,939.4,293.0,312.0,324.9,315.1,52.4,72.5,290.5,400.4,400.2,809.9,407.2,1084.0,818.4,154.5,364.6,803.7,320.6,377.3,99.2,1075.4,627.7,802.6,438.1,313.1,401.6,958.9,425.7,441.4,452.9,627.7,484.6,1152.7,133.6,377.1,847.6,1507.5,388.0,92.4,503.6,443.3,852.1,538.7,308.3,1081.0
CJ,379.9,798.8,128.2,431.9,934.7,431.8,1089.0,175.0,713.1,310.0,1102.1,235.7,293.0,335.7,473.9,294.1,0.0,392.2,248.2,387.1,562.0,874.4,105.3,207.0,696.4,349.8,623.9,253.2,396.5,834.9,326.2,556.6,552.8,854.9,601.0,811.3,90.2,276.0,147.3,57.8,544.1,694.5,59.2,480.7,464.1,2658.9,487.0,560.7,345.9,488.1,101.9,346.1,427.7,346.1,1047.7,184.7,169.7,160.1,423.3,95.4,112.5,46.9,165.3,416.0,241.4,119.4,1133.3,166.0,7.5,729.3,79.9,85.8,484.5,528.4,42.2,469.4,224.7,336.1,423.5,464.6,476.8,96.3,58.3,112.9,253.3,405.9,79.5,422.4,766.6,858.1,382.7,980.7,19.3,439.7,452.6,442.8,346.6,330.5,100.1,109.1,90.7,841.5,130.7,1093.0,827.4,237.0,492.3,773.1,448.3,505.0,393.4,1084.4,669.0,843.9,339.2,440.8,334.2,967.9,343.4,131.9,304.7,597.1,382.1,1161.7,335.9,213.0,888.9,1441.7,78.5,362.7,341.8,257.8,861.1,436.2,436.0,1090.0
CK,64.0,482.9,393.3,102.0,618.8,227.9,773.4,513.2,397.2,85.2,786.2,377.0,439.2,111.6,158.0,435.4,382.5,0.0,451.3,528.4,246.1,558.5,406.5,545.2,380.5,491.1,299.5,508.7,537.8,519.0,487.1,240.7,236.9,539.0,285.1,495.4,443.6,417.3,529.9,440.4,228.2,378.6,392.7,363.5,80.4,2371.5,171.1,244.8,118.1,370.9,430.8,107.1,117.2,142.2,731.8,449.8,434.8,493.0,306.1,417.7,495.1,400.4,503.5,23.7,431.5,384.5,817.4,431.1,375.3,413.4,462.5,468.4,280.6,212.5,424.8,126.0,432.5,187.1,219.6,148.7,359.6,465.5,391.8,423.7,455.4,139.0,449.5,218.5,450.7,542.2,178.8,664.8,401.9,322.5,335.4,325.6,487.9,471.8,482.7,424.4,428.9,525.6,520.6,777.1,511.5,444.8,375.1,457.2,331.1,175.9,534.7,768.5,353.1,528.0,131.7,323.6,95.2,652.0,119.3,397.0,146.5,281.2,178.2,845.8,495.8,551.2,573.0,1287.1,465.4,504.0,197.2,136.9,545.2,232.3,318.8,774.1
CM,397.0,815.9,68.8,449.0,951.8,448.9,1106.4,188.7,730.2,327.1,1119.2,390.3,447.6,352.8,490.1,448.7,154.5,409.3,0.0,541.7,579.1,891.6,202.6,220.7,713.5,504.4,632.5,54.6,551.1,852.0,480.8,573.7,569.9,872.0,618.1,828.4,239.7,430.6,301.9,212.4,561.2,711.6,188.8,635.3,393.3,2704.5,504.1,577.8,363.0,642.7,226.9,363.2,430.1,363.2,1064.8,143.3,128.3,186.5,577.9,93.2,253.9,133.0,179.0,433.1,396.0,188.8,1150.4,124.6,147.3,746.4,234.5,206.8,501.6,545.5,230.7,438.9,379.3,353.2,440.6,481.7,631.4,250.9,187.9,99.2,407.9,451.9,125.0,439.5,783.7,875.2,399.8,997.8,173.9,594.3,607.2,597.4,501.2,485.1,266.5,220.5,104.4,858.6,196.1,1110.1,844.5,391.6,646.9,790.2,602.9,488.8,548.0,1101.5,686.1,861.0,356.3,595.4,351.3,985.0,360.5,90.5,321.8,614.2,399.2,1178.8,489.5,226.7,906.0,1406.5,140.9,517.3,358.9,274.9,878.2,453.3,590.6,1107.1
CN,509.4,888.7,536.6,561.4,992.3,633.2,1179.2,477.6,803.0,490.5,1192.0,156.8,183.5,516.9,603.4,106.4,408.3,521.7,656.6,0.0,691.5,1003.9,481.4,468.8,825.9,50.7,865.3,661.6,47.7,924.8,231.4,686.1,682.3,944.8,878.8,901.2,485.6,161.6,337.3,422.7,673.6,784.4,467.6,451.9,435.3,2690.8,616.5,690.2,523.4,459.3,497.3,512.4,398.9,547.5,1137.6,593.1,578.1,568.5,394.5,503.8,401.8,455.3,515.8,545.5,188.6,527.8,1223.2,574.4,415.9,858.8,415.2,461.2,685.9,657.9,437.6,440.6,205.3,592.4,624.9,594.1,448.0,315.4,466.7,521.3,199.7,377.1,487.9,623.8,896.1,915.7,584.1,1038.3,391.9,410.9,423.8,414.0,53.9,52.4,389.4,499.3,499.1,908.8,506.1,1182.9,917.3,256.4,463.5,902.6,419.5,476.2,106.1,1174.3,726.6,901.5,537.0,412.0,500.5,1057.8,524.6,540.3,551.8,726.6,583.5,1251.6,240.1,476.0,946.5,1606.4,486.9,23.1,602.5,542.2,951.0,637.6,407.2,1179.9
CQ,179.9,362.4,569.0,271.7,498.3,403.6,652.9,688.9,276.7,260.9,665.7,552.7,614.9,287.3,194.7,611.1,558.2,232.0,627.0,704.1,0.0,697.1,582.2,720.9,360.1,666.8,320.1,684.4,713.5,398.5,662.8,390.2,202.8,418.5,333.6,374.9,619.3,593.0,705.6,616.1,25.8,258.1,568.4,539.2,256.1,2251.0,320.6,9.3,293.8,546.6,606.5,282.8,292.9,317.9,611.3,625.5,610.5,668.7,481.8,593.4,670.8,576.1,679.2,255.8,607.2,560.2,696.9,606.8,551.0,440.2,638.2,644.1,456.3,92.0,600.5,301.7,608.2,362.8,395.3,97.0,535.3,641.2,567.5,599.4,631.1,314.7,625.2,394.2,565.2,421.7,354.5,544.3,577.6,498.2,511.1,501.3,663.6,647.5,658.4,600.1,604.6,405.1,696.3,656.6,391.0,620.5,550.8,436.8,506.8,351.6,710.4,648.0,232.6,407.5,307.4,499.3,270.9,531.5,295.0,572.7,322.2,260.8,353.9,725.3,671.5,726.9,452.5,1166.6,641.1,679.7,372.9,312.6,424.7,408.0,494.5,653.6
CU,509.4,477.3,898.6,594.2,211.7,630.9,713.0,1018.5,463.1,583.4,726.1,875.2,937.4,609.8,602.4,933.6,915.5,554.5,879.5,1026.6,691.4,0.0,939.5,1050.5,295.3,989.3,481.1,884.4,1036.0,421.5,985.3,307.6,682.2,478.8,458.2,507.9,976.6,915.5,1062.9,973.5,673.5,481.8,925.7,861.8,578.6,2142.1,472.3,690.2,735.3,869.1,963.8,741.7,615.5,712.0,671.7,986.8,971.7,1029.9,804.3,923.0,1028.1,971.1,1008.8,578.3,929.7,921.4,757.2,968.0,908.3,210.8,995.5,1036.6,764.5,657.8,957.8,624.2,930.7,750.4,703.5,594.0,857.8,963.7,924.8,929.0,953.6,637.2,954.8,640.3,269.3,288.0,732.8,313.9,934.9,820.7,833.6,823.8,986.1,970.0,1015.7,957.4,934.2,414.8,1025.9,716.9,427.8,943.1,873.3,267.6,829.3,674.1,1032.9,708.4,480.5,302.2,629.9,821.9,593.4,591.9,617.5,933.9,763.4,726.5,681.3,785.7,995.0,1056.5,257.9,935.3,970.8,1002.2,781.8,631.8,459.5,716.3,817.0,714.0
CX,407.5,913.5,123.0,459.5,1049.4,459.4,1204.0,184.6,827.8,337.6,1216.8,292.4,349.7,363.3,501.5,350.8,56.6,419.8,202.9,443.8,589.6,902.0,0.0,216.6,724.0,406.5,643.0,280.8,453.2,949.6,382.9,584.2,580.4,969.6,628.6,926.0,84.4,332.7,204.0,114.5,571.7,809.2,33.5,537.4,520.8,2715.6,514.6,588.3,373.5,544.8,71.6,373.7,484.4,373.7,1162.4,205.7,197.3,169.7,480.0,105.0,169.2,56.5,174.9,443.6,298.1,104.4,1248.0,193.6,49.4,756.9,136.6,161.3,512.1,556.0,82.1,526.1,281.4,363.7,451.1,492.2,533.5,153.0,14.6,122.5,310.0,462.6,89.1,450.0,794.2,972.8,410.3,1095.4,76.0,496.4,509.3,499.5,403.3,387.2,156.8,65.2,100.3,956.2,192.0,1207.7,942.1,293.7,549.0,800.7,505.0,561.7,450.1,1199.1,783.7,958.6,366.8,497.5,361.8,1082.6,371.0,159.5,336.0,624.7,409.7,1276.4,391.6,222.6,1003.6,1469.3,88.1,419.4,369.4,282.1,975.8,463.8,492.7,1204.7
