from_stop,AC,AH,AP,AS,AT,AW,BG,BN,BT,BU,BX,BZ,CO,CP,CQ,CS,CT,CV,DC,DG,DK,DO,DV,DZ,EE,EI,EO,EP,EQ,ER,ES,EW,EZ,FJ,FK,FM,FN,FQ,FZ,GE,GF,GI,GL,GO,GU,HA,HD,HE,HP,HW,IB,IO,JF,KG,KL,KM,KN,KS,LF,LH,LL,LM,LO,LU,LX,MA,MB,MD,MJ,NA,NF,NJ,NN,NT,NV,NW,OB,OC,OF,OG,OP,OR,OW,OZ,PB,PF,PH,PO,PU,PV,PX,QC,QL,QM,QR,RC,RD,RJ,RM,RO,RP,RT,SB,SD,SF,SG,SS,ST,SW,TB,TC,TF,TS,TU,UG,UH,UM,VB,VF,VH,VU,VW,WB,WK,WM,WO,WT,WU,WV,XA,XD,XE,XH,XI,XR,YA,YB,YJ,YK,YN,YV,YZ,ZA,ZD,ZG,ZM,ZP,ZU,ZV,ZY
BX,86.8,613.4,184.6,728.8,159.2,755.8,417.7,759.3,139.0,857.9,0.0,150.1,302.6,133.7,140.9,433.2,494.3,750.4,655.3,645.5,542.5,504.8,155.4,796.6,637.6,675.4,843.3,320.2,206.3,401.2,156.6,112.0,734.7,758.4,693.7,746.3,162.0,308.8,753.4,115.5,336.4,675.5,165.1,487.4,761.9,146.1,420.1,568.9,179.0,897.2,486.5,503.1,716.6,435.3,759.6,351.6,164.7,791.4,346.7,82.0,549.2,460.7,87.5,72.2,104.3,408.1,476.0,894.0,354.0,198.4,629.1,442.3,832.1,839.6,389.2,16.3,626.9,727.7,516.5,639.5,155.2,224.1,149.0,827.2,474.2,780.8,385.6,743.3,517.0,510.1,457.8,166.6,779.8,821.7,246.2,146.9,108.5,177.2,407.4,511.6,178.2,369.9,131.7,878.3,524.0,331.3,202.1,90.5,441.0,314.5,659.7,700.0,76.4,868.8,107.3,173.0,183.8,127.4,385.0,877.1,655.0,302.4,731.0,325.6,98.2,697.7,3144.7,182.7,586.5,500.5,181.4,377.9,347.6,163.7,526.5,696.1,445.5,726.6,704.2,136.0,403.7,327.9,399.1,711.5,397.3,72.8,499.1,768.5,275.1,718.4
BZ,93.9,538.2,140.0,653.6,115.9,680.6,357.8,684.1,95.7,782.7,107.4,0.0,208.2,218.7,203.5,358.0,419.1,675.2,580.1,570.3,443.3,405.6,233.8,721.4,562.4,600.2,768.1,225.8,92.2,310.2,131.6,215.0,659.5,683.2,618.5,671.1,117.4,217.8,678.2,52.9,291.8,600.3,243.5,366.0,686.7,87.7,325.7,493.7,79.1,822.0,393.3,427.9,641.4,360.1,684.4,313.1,14.5,716.2,302.1,66.9,474.0,385.5,88.1,138.2,142.7,313.7,400.8,818.8,263.0,153.8,553.9,347.9,756.9,764.4,287.3,94.7,551.7,652.5,441.3,564.3,210.2,179.5,118.6,752.0,399.0,705.6,325.7,668.1,441.8,434.9,364.6,245.0,704.6,746.5,155.2,102.3,89.7,27.0,332.2,390.2,121.7,270.6,33.9,803.1,424.8,240.3,81.7,128.9,365.8,223.5,584.5,624.8,163.6,793.6,79.0,128.4,83.9,150.1,290.6,801.9,579.8,208.0,655.8,281.0,176.6,622.5,3063.2,237.7,511.3,425.3,73.0,302.7,253.2,207.2,427.3,620.9,352.3,651.4,629.0,144.9,312.7,279.9,323.9,636.3,322.1,133.3,423.9,693.3,184.1,643.2
CO,300.5,462.3,158.3,577.7,177.3,604.7,180.5,608.2,196.5,706.8,314.0,278.3,0.0,328.7,291.5,277.0,343.2,599.3,504.2,494.4,399.1,361.4,370.9,645.5,486.5,524.3,692.2,71.0,119.7,218.0,230.9,312.7,583.6,607.3,542.6,595.2,146.9,107.6,602.3,264.6,99.2,524.4,317.4,252.3,610.8,212.9,127.7,417.8,236.3,746.1,197.0,272.6,565.5,214.7,608.5,115.1,292.9,640.3,109.5,242.4,398.1,245.3,205.0,344.8,251.3,115.7,275.5,742.9,170.8,120.6,478.0,162.6,681.0,688.5,158.3,301.3,475.8,576.6,365.4,488.4,245.5,197.8,293.7,676.1,258.8,629.7,148.4,592.2,286.5,279.6,224.6,376.7,628.7,670.6,117.5,213.7,230.2,238.8,223.8,228.1,240.2,229.7,282.7,727.2,380.6,130.1,152.2,252.1,220.4,71.4,508.6,548.9,346.9,717.7,285.6,160.5,231.6,260.1,82.3,650.5,503.9,53.2,579.9,116.3,383.2,546.6,3032.8,221.5,435.4,349.4,247.1,226.8,55.2,316.9,383.1,545.0,194.6,575.5,553.1,286.1,114.7,308.4,248.0,560.4,246.2,356.1,268.6,617.4,80.5,567.3
CP,150.0,644.4,293.9,759.8,154.2,786.8,471.3,790.3,138.8,888.9,123.7,214.4,290.7,0.0,82.0,529.7,579.6,781.4,686.3,676.5,494.1,456.4,42.1,827.6,668.6,706.4,874.3,295.9,185.7,351.2,97.7,68.7,765.7,789.4,724.7,777.3,271.3,262.6,784.4,213.4,390.0,706.5,47.6,378.3,792.9,248.2,408.2,591.8,239.6,928.2,405.6,563.4,747.6,505.5,790.6,411.7,214.1,822.4,400.3,227.4,634.5,536.1,156.5,98.9,85.0,396.2,488.0,925.0,307.8,261.8,660.1,424.2,863.1,870.6,308.3,140.1,657.9,758.7,601.8,670.5,106.8,333.4,262.5,858.2,549.6,811.8,439.2,774.3,577.3,570.4,376.9,63.8,810.8,852.7,200.0,256.2,159.5,191.5,476.2,402.5,137.6,289.0,173.9,909.3,475.6,285.1,195.8,99.4,511.2,268.3,690.7,731.0,200.2,899.8,159.2,282.3,244.4,68.5,373.1,908.1,686.0,278.1,762.0,379.2,183.8,728.7,3085.8,134.3,617.5,523.4,184.3,463.2,335.7,109.7,478.1,727.1,364.6,757.6,735.2,104.9,357.5,279.5,484.4,742.5,482.6,196.6,559.4,799.5,228.9,749.4
CQ,126.1,578.1,294.6,693.5,148.3,720.5,465.4,728.2,132.9,822.6,140.2,208.5,284.8,71.3,0.0,466.6,474.0,715.1,620.0,610.2,427.8,384.2,113.5,761.3,602.3,640.1,808.0,290.0,179.8,317.4,91.8,21.1,699.4,723.1,658.4,706.3,272.0,318.0,718.1,207.5,384.1,640.2,86.1,372.7,726.6,242.3,400.0,525.5,233.7,861.9,369.7,557.5,681.3,499.6,724.3,389.5,208.2,753.4,394.4,221.5,528.9,530.2,144.8,75.0,79.1,388.0,424.4,858.7,328.6,255.9,593.8,392.4,796.8,804.3,274.5,154.0,591.6,688.7,515.6,604.2,40.5,334.1,256.6,791.9,543.7,745.5,433.3,708.0,571.4,564.5,343.1,97.2,744.5,786.4,194.1,256.9,153.6,185.6,442.4,396.9,131.7,255.2,168.0,843.0,409.3,296.6,189.9,93.5,505.3,262.4,624.4,664.7,216.7,833.5,153.3,281.3,238.5,62.6,370.4,841.8,619.7,272.2,698.9,373.3,229.7,662.4,3043.6,68.0,551.2,457.1,178.4,457.3,367.9,58.3,411.8,660.8,330.8,691.3,668.9,99.0,335.3,213.2,478.5,676.2,476.7,213.1,553.5,733.2,223.0,683.1
CS,396.8,258.0,254.6,373.4,368.5,400.8,133.3,408.1,428.9,499.3,409.3,362.7,236.5,537.0,449.2,0.0,138.9,395.0,301.1,290.1,258.8,224.3,533.5,441.2,282.2,320.0,487.9,315.2,347.1,217.0,399.8,521.4,379.3,403.0,338.3,386.2,243.2,355.0,394.8,280.8,123.8,320.1,475.1,144.1,406.5,288.4,183.8,213.5,252.5,538.6,137.8,144.5,361.2,118.0,406.6,164.7,329.0,433.3,132.1,338.7,193.8,123.0,424.7,441.1,454.3,151.8,39.8,538.6,229.2,282.2,273.7,207.0,473.5,484.2,279.2,397.6,271.5,368.6,161.1,284.1,403.2,265.0,309.9,471.8,136.5,425.4,163.6,384.7,170.9,154.7,163.4,547.9,424.4,466.3,344.9,302.0,422.9,296.2,70.1,116.7,388.1,207.6,367.1,522.9,145.8,293.1,337.1,440.5,123.7,315.6,304.3,344.6,363.1,513.4,381.9,256.8,247.8,429.0,244.1,521.7,302.0,300.6,375.6,180.7,479.5,339.1,3175.2,379.2,231.1,145.1,304.5,45.8,212.2,522.2,242.8,340.7,196.3,371.2,348.8,478.1,183.7,434.8,99.1,356.1,59.6,369.1,143.7,409.9,324.7,363.0
CT,458.3,180.6,316.1,296.0,397.4,323.4,194.8,330.7,416.6,425.1,470.8,424.2,298.0,483.8,446.6,116.1,0.0,317.6,222.5,212.7,156.0,81.4,526.0,363.8,204.8,242.6,410.5,362.5,408.6,251.3,386.0,467.8,301.9,325.6,260.9,313.5,304.7,348.8,320.6,342.3,185.3,242.7,472.5,227.4,329.1,349.9,250.3,167.5,314.0,464.4,197.3,192.6,283.8,179.5,329.2,226.2,390.5,355.9,193.6,400.2,54.9,184.5,482.8,502.6,467.6,213.3,162.1,461.2,263.5,343.7,196.3,268.5,399.3,406.8,305.3,459.1,194.1,291.2,123.1,206.7,400.6,326.5,371.4,394.4,198.0,348.0,228.3,310.5,186.5,202.1,224.9,531.8,347.0,388.9,406.4,363.5,484.4,357.7,131.6,203.2,395.3,241.9,428.6,445.5,103.0,329.5,398.6,502.0,185.2,343.1,226.9,267.2,424.6,436.0,443.4,318.3,309.3,415.2,305.6,444.3,224.6,362.1,298.2,245.4,541.0,264.9,3153.1,376.6,153.7,99.1,366.0,107.3,273.7,426.1,140.0,263.3,257.8,293.8,271.4,441.2,245.2,422.9,160.6,278.7,121.1,433.8,191.1,335.7,380.7,285.6
CV,733.1,180.0,590.9,154.6,627.7,85.4,469.6,154.0,646.9,287.2,745.6,699.0,572.8,714.1,676.9,394.1,356.3,0.0,171.5,138.6,430.8,356.2,756.3,225.9,142.9,107.3,272.6,592.8,683.4,481.6,616.3,698.1,176.3,77.0,51.2,94.9,579.5,579.1,173.8,617.1,458.1,162.8,702.8,446.2,205.7,624.7,525.1,442.3,588.8,242.3,472.1,467.4,160.4,454.3,132.5,501.0,665.3,58.5,468.4,675.0,411.2,459.3,687.8,735.8,697.9,488.1,436.9,323.3,493.8,618.5,164.7,543.3,257.9,268.9,535.6,733.9,193.2,31.6,397.9,155.7,630.9,601.3,646.2,256.5,472.8,60.4,513.2,184.9,461.3,476.9,499.7,762.1,193.9,122.2,643.3,638.3,713.0,632.5,406.4,478.0,625.6,472.2,703.4,258.5,377.8,559.8,673.4,712.3,460.0,573.4,184.3,85.8,699.4,298.1,718.2,593.1,584.1,645.5,580.4,196.5,165.1,607.9,29.6,520.2,815.8,129.6,2948.1,606.9,162.3,373.9,640.8,382.1,542.3,656.4,414.8,117.7,532.6,168.2,145.8,671.5,509.7,653.2,435.4,143.4,395.9,708.6,465.9,67.6,611.0,122.8
DC,601.8,41.3,459.6,73.4,496.4,100.8,338.3,108.1,515.6,201.3,614.3,567.7,441.5,582.8,545.6,259.6,225.0,186.1,0.0,43.0,299.5,224.9,625.0,140.0,192.1,168.5,187.9,461.5,552.1,350.3,485.0,566.8,132.2,155.9,167.4,86.2,448.2,447.8,152.0,485.8,328.8,212.0,571.5,314.9,106.5,493.4,388.8,311.0,457.5,240.6,342.8,336.1,61.2,323.0,106.6,369.7,534.0,182.0,337.1,543.7,279.9,328.0,559.9,604.5,566.6,356.8,302.7,238.6,362.5,487.2,26.0,412.0,176.7,184.2,412.5,602.6,54.1,156.6,266.6,15.9,499.6,470.0,514.9,171.8,341.5,125.4,390.1,140.8,339.3,345.6,368.4,630.8,124.4,166.3,512.0,507.0,581.7,501.2,275.1,346.7,494.3,340.9,572.1,222.9,246.5,426.4,542.1,581.0,328.7,442.1,113.1,155.7,568.1,212.2,586.9,461.8,452.8,514.2,452.3,221.7,84.6,476.6,166.8,388.9,684.5,190.8,2930.5,475.6,160.6,242.6,509.5,250.8,411.0,525.1,283.5,93.6,401.3,124.1,101.7,540.2,378.4,521.9,304.1,204.6,264.6,577.3,334.6,166.0,480.8,63.0
DG,601.8,41.3,459.6,106.3,496.4,133.3,338.3,136.8,515.6,235.4,614.3,567.7,441.5,582.8,545.6,262.8,225.0,149.0,32.8,0.0,299.5,224.9,625.0,174.1,149.0,125.4,220.8,461.5,552.1,350.3,485.0,566.8,89.1,112.8,124.3,123.8,448.2,447.8,107.8,485.8,326.8,168.9,571.5,314.9,139.4,493.4,393.8,311.0,457.5,274.7,340.8,336.1,94.1,323.0,137.1,369.7,534.0,145.8,337.1,543.7,279.9,328.0,556.5,604.5,566.6,356.8,305.6,271.5,362.5,487.2,26.0,412.0,209.6,217.1,404.3,602.6,82.2,117.2,266.6,17.0,499.6,470.0,514.9,204.7,341.5,147.5,390.1,97.7,330.0,345.6,368.4,630.8,157.3,199.2,512.0,507.0,581.7,501.2,275.1,346.7,494.3,340.9,572.1,255.8,246.5,428.5,542.1,581.0,328.7,442.1,73.3,112.6,568.1,246.3,586.9,461.8,452.8,514.2,449.1,254.6,54.1,476.6,155.9,388.9,684.5,147.7,2963.4,475.6,168.4,242.6,509.5,250.8,411.0,525.1,283.5,50.5,401.3,81.0,58.6,540.2,378.4,521.9,304.1,161.5,264.6,577.3,334.6,122.9,479.7,95.9
DK,526.6,300.3,384.4,415.7,404.9,442.7,263.1,446.2,424.1,544.8,539.1,492.5,366.3,491.3,454.1,187.6,181.2,437.3,342.2,332.4,0.0,88.1,533.5,483.5,324.5,362.3,530.2,370.0,476.9,258.8,393.5,475.3,421.6,445.3,380.6,433.2,373.0,356.3,440.3,410.6,251.6,362.4,480.0,295.7,448.8,418.2,318.6,132.4,382.3,584.1,265.6,260.9,403.5,247.8,446.5,294.5,458.8,478.3,261.9,468.5,236.1,252.8,465.0,570.9,475.1,281.6,230.4,580.9,271.0,412.0,316.0,336.8,519.0,526.5,312.8,527.4,313.8,414.6,203.4,326.4,408.1,394.8,439.7,514.1,266.3,467.7,296.6,430.2,254.8,270.4,293.2,539.3,466.7,508.6,474.7,431.8,552.7,426.0,199.9,271.5,402.8,249.4,496.9,565.2,63.2,337.0,466.9,489.5,253.5,350.6,346.6,386.9,492.9,555.7,511.7,386.6,377.6,422.7,373.9,564.0,341.9,385.1,417.9,313.7,609.3,384.6,3305.0,384.1,273.4,64.0,434.3,175.6,342.0,433.6,16.6,383.0,326.1,413.5,391.1,448.7,313.5,430.4,228.9,398.4,189.4,502.1,259.4,455.4,388.2,405.3
