from_stop,AC,AG,AJ,AK,AQ,AV,AZ,BA,BF,BH,BI,BL,BN,BS,BT,BU,BY,BZ,CF,CG,CH,CN,CP,CQ,CU,DC,DG,DO,DV,DW,DY,EG,EH,EK,ET,EU,EY,FE,FN,FU,FW,GI,GO,GP,GQ,GW,GZ,HF,HG,HI,HT,IG,IN,IO,IU,JH,JP,JQ,JU,JV,KA,KK,KL,KQ,KR,KX,KY,KZ,LA,LH,LL,LQ,MC,MM,NC,NG,NJ,NP,NV,NW,NX,OJ,OP,OS,OT,OX,PA,PC,PD,PH,PL,PP,PX,PY,QH,QM,QN,QV,RF,RK,RS,RY,SD,SE,SI,SK,SM,SO,SP,SU,SW,SX,SZ,TD,TH,TL,TM,TS,UA,UB,UC,UD,UF,UG,VF,VJ,VK,VO,VS,WM,WN,WT,WY,WZ,XB,XM,XU,XX,YD,YE,YF,YN,YP,YS,YT,YU,YW,ZA,ZN,ZO,ZP,ZS,ZT,ZX
BI,507.6,697.2,167.7,205.2,562.4,271.0,20.9,971.4,475.8,423.1,0.0,395.9,184.0,820.6,369.4,414.2,192.1,395.3,119.3,812.0,210.6,899.7,445.1,291.7,958.4,692.8,438.9,790.8,527.1,394.0,211.4,356.4,837.5,530.4,591.1,411.7,243.1,974.4,180.1,214.0,215.1,675.0,86.2,376.7,446.2,431.5,463.2,817.5,509.7,359.9,435.2,244.1,425.3,231.3,433.9,132.4,139.5,154.3,285.3,110.4,483.3,498.9,547.2,680.3,724.2,946.4,321.3,464.9,579.4,126.7,881.0,498.2,610.1,165.6,560.9,445.0,113.9,165.6,296.8,156.8,466.2,462.8,460.6,168.6,196.9,597.0,926.9,260.9,222.4,294.1,147.2,407.1,64.3,248.4,196.5,647.2,905.3,73.6,123.1,257.4,79.2,134.0,864.4,376.0,435.4,803.5,320.8,500.0,846.9,270.4,207.0,142.9,95.7,707.5,853.5,438.1,513.4,155.3,850.1,174.6,43.0,153.6,571.3,215.6,511.4,743.0,274.9,277.0,40.2,52.2,133.3,672.6,844.6,380.1,265.4,341.9,318.3,1493.2,228.7,544.9,294.3,655.8,155.1,346.1,242.6,182.5,810.4,155.5,680.8,264.0,184.6,497.0,799.0,350.7
BL,210.9,817.7,584.5,604.5,265.7,562.3,560.2,1030.2,131.4,492.2,539.2,0.0,423.4,879.4,82.7,117.5,531.8,594.7,564.5,881.1,541.0,958.5,514.2,526.8,1017.2,891.1,648.8,849.6,726.5,463.1,410.3,554.1,896.3,729.8,294.4,621.6,582.8,1033.2,625.3,334.2,452.3,744.1,593.8,80.0,50.2,619.4,532.3,886.6,709.1,63.2,504.3,488.8,128.6,396.6,633.3,575.8,427.6,592.8,348.4,555.6,138.9,202.2,746.6,749.4,800.4,1005.2,748.5,124.3,778.8,571.9,939.8,697.6,809.5,383.1,760.3,514.1,616.9,610.8,455.0,602.3,535.3,166.1,529.7,465.2,642.1,796.4,985.7,491.1,621.7,410.1,592.4,188.3,493.8,588.1,487.8,716.3,964.1,518.8,443.9,531.4,604.8,642.7,933.5,76.1,39.4,872.6,486.1,699.4,905.7,669.7,341.1,651.6,522.9,905.8,922.6,163.0,712.8,446.6,919.2,374.0,506.3,598.8,770.7,444.5,580.5,812.1,566.2,523.7,547.8,559.8,417.7,741.7,913.7,45.8,605.1,681.6,123.8,1341.1,394.0,744.3,439.9,724.9,466.4,695.2,479.8,421.9,1008.7,411.8,879.1,663.3,629.8,152.6,868.1,115.6
BN,438.4,717.8,309.7,347.2,493.2,187.3,214.6,930.3,502.8,392.3,193.6,326.7,0.0,779.5,296.2,345.0,156.8,494.8,261.3,781.2,352.6,858.6,414.3,176.1,917.3,791.2,548.9,749.7,626.6,363.2,95.8,392.0,796.4,632.2,521.9,521.7,207.8,933.3,322.1,98.4,99.5,644.2,167.7,307.5,377.0,519.5,432.4,786.7,609.2,290.7,404.4,128.5,356.1,115.7,533.4,274.4,261.0,296.3,169.7,252.4,510.3,429.7,646.7,649.5,700.5,905.3,319.3,451.1,678.9,268.7,839.9,597.7,709.6,50.0,660.4,416.8,190.8,307.6,355.1,298.8,435.4,393.6,429.8,298.6,338.9,696.5,885.8,391.2,364.4,178.5,289.2,333.9,118.8,213.1,112.8,616.4,864.2,215.6,277.3,399.4,229.2,216.6,833.6,302.8,366.2,772.7,205.2,599.5,805.8,412.4,91.4,225.5,237.7,805.9,822.7,368.9,612.9,71.6,819.3,59.0,185.0,295.6,670.8,259.9,480.6,712.2,191.2,423.8,142.8,131.2,42.7,641.8,813.8,310.9,230.1,306.6,245.1,1515.9,113.1,644.4,178.7,625.0,91.4,488.1,127.0,1.5,908.8,245.2,779.2,406.0,326.6,486.4,768.2,277.5
BS,784.3,191.9,635.4,587.5,839.1,959.7,803.0,218.4,804.1,605.9,782.0,672.6,820.8,0.0,646.1,690.9,951.6,404.9,695.9,359.3,640.8,146.7,533.7,772.8,205.4,207.6,475.3,108.0,379.6,527.5,721.3,458.0,101.9,265.0,867.8,448.1,993.5,221.4,690.1,814.5,763.3,222.3,836.6,653.4,722.9,861.7,507.0,364.8,320.4,636.6,487.2,734.8,702.0,831.8,415.7,709.0,673.6,730.9,869.1,687.0,811.6,775.6,249.6,277.0,320.9,193.4,1020.2,797.0,400.0,676.4,128.0,350.7,257.1,780.5,381.5,630.4,859.7,689.8,515.0,700.7,456.3,739.5,461.9,714.6,735.2,417.6,173.9,551.1,570.3,721.1,655.9,683.8,814.7,998.8,885.2,256.5,152.3,721.1,689.9,591.4,847.6,885.5,411.7,652.7,712.1,350.8,921.3,334.9,90.1,524.3,807.5,894.4,754.6,222.3,400.8,714.8,365.9,844.0,397.4,775.1,749.1,697.2,391.9,636.8,541.9,339.7,963.6,707.2,790.6,802.6,883.7,269.3,391.9,656.8,1015.8,1074.8,595.0,1861.8,829.2,365.5,685.9,216.9,905.5,521.7,790.8,819.3,325.2,657.8,195.6,529.6,694.6,832.3,346.3,627.4
BT,243.6,833.4,600.2,620.2,298.4,578.0,597.6,1045.9,205.8,507.9,576.6,74.3,439.1,895.1,0.0,150.2,556.6,610.4,601.9,896.8,556.7,974.2,529.9,501.2,1032.9,906.8,664.5,865.3,742.2,478.8,426.0,591.5,912.0,745.5,327.1,637.3,598.5,1048.9,662.7,349.9,468.0,759.8,558.4,112.7,124.6,635.1,548.0,902.3,729.9,95.9,520.0,453.6,161.3,412.3,649.0,613.2,465.0,630.2,364.1,593.0,213.3,234.9,762.3,765.1,809.0,1020.9,710.0,198.7,794.5,609.3,955.5,713.3,825.2,398.8,776.0,532.4,581.5,648.2,470.7,639.7,551.0,198.8,545.4,506.0,679.5,812.1,1001.4,506.8,637.4,425.8,620.7,105.5,509.5,603.8,503.5,732.0,979.8,556.2,481.3,547.1,642.2,607.3,949.2,6.5,113.8,888.3,501.8,715.1,921.4,685.4,356.8,616.2,560.3,921.5,938.3,209.8,728.5,462.3,934.9,389.7,543.7,636.2,786.4,464.8,596.2,827.8,581.9,539.4,585.2,521.9,433.4,757.4,929.4,38.0,620.8,697.3,41.0,1356.8,409.7,760.0,477.3,740.6,482.1,710.9,495.5,437.6,1024.4,449.2,894.8,679.0,667.2,227.0,883.8,71.7
BU,93.3,825.4,592.2,612.2,148.1,570.0,546.8,1037.9,166.8,499.9,525.8,126.9,431.1,887.1,148.0,0.0,539.5,602.4,551.1,888.8,548.7,966.2,521.9,493.2,1024.9,898.8,656.5,857.3,734.2,470.8,418.0,607.5,904.0,737.5,176.8,629.3,590.5,1040.9,611.9,341.9,460.0,751.8,550.4,37.4,177.2,627.1,540.0,894.3,716.8,54.2,512.0,445.6,11.0,404.3,641.0,562.4,414.2,579.4,356.1,542.2,159.3,84.6,754.3,757.1,801.0,1012.9,702.0,177.7,786.5,558.5,947.5,705.3,817.2,390.8,768.0,521.8,573.5,597.4,462.7,588.9,543.0,48.5,537.4,451.8,628.7,804.1,993.4,498.8,629.4,417.8,612.7,253.6,501.5,595.8,495.5,724.0,971.8,505.4,430.5,539.1,591.4,599.3,941.2,141.4,166.4,880.3,493.8,707.1,913.4,677.4,348.8,608.2,509.5,913.5,930.3,45.4,720.5,454.3,926.9,381.7,492.9,585.4,778.4,456.8,588.2,819.8,573.9,531.4,534.4,513.9,425.4,749.4,921.4,111.1,612.8,689.3,175.6,1348.8,401.7,752.0,426.5,732.6,474.1,702.9,487.5,429.6,1016.4,398.4,886.8,671.0,616.4,141.3,875.8,139.9
BY,556.3,835.7,327.3,364.8,611.1,273.3,232.2,1048.2,620.7,510.2,211.2,444.6,186.3,897.4,414.1,472.0,0.0,554.9,278.9,899.1,370.2,976.5,532.2,294.0,1035.2,852.4,598.5,867.6,686.7,481.1,208.1,516.0,914.3,690.0,639.8,571.3,50.9,1051.2,339.7,216.3,217.4,762.1,185.3,425.4,494.9,600.2,550.3,904.6,678.4,408.6,522.3,240.8,474.0,233.6,593.5,292.0,299.1,313.9,296.7,270.0,628.2,547.6,706.8,776.5,827.5,1023.2,162.4,569.0,739.0,280.7,957.8,657.8,769.7,177.0,720.5,534.7,208.4,325.2,456.4,316.7,553.3,520.6,547.7,328.2,356.5,756.6,998.1,420.5,382.0,296.4,306.8,451.8,136.4,56.2,193.2,728.7,982.1,233.2,282.7,417.0,246.8,234.2,960.6,420.7,484.1,890.6,323.1,659.6,923.7,430.0,209.3,243.1,255.3,867.1,940.6,486.8,673.0,152.0,937.2,171.3,202.6,313.2,730.9,377.8,598.5,824.5,277.2,436.6,160.4,148.8,144.7,768.8,931.7,428.8,73.2,149.7,363.0,1652.8,240.1,704.5,296.6,737.3,157.4,505.7,244.9,184.8,970.0,315.1,840.4,423.6,344.2,604.3,880.5,395.4
BZ,508.9,301.8,230.4,182.5,563.7,616.4,398.0,576.0,528.7,200.9,377.0,397.2,529.4,425.2,370.7,415.5,546.6,0.0,290.9,536.2,235.8,504.3,128.7,497.4,563.0,297.4,70.3,395.4,131.7,122.5,445.9,182.6,442.1,135.0,592.4,43.1,588.5,579.0,285.1,559.4,560.5,399.2,431.6,378.0,447.5,456.7,102.0,541.7,119.4,361.2,82.2,459.4,426.6,576.7,38.5,304.0,402.5,325.9,630.7,282.0,536.2,500.2,151.8,458.1,502.0,551.0,578.0,521.6,184.0,271.4,485.6,102.8,214.7,511.0,165.5,225.4,454.7,284.8,322.0,295.7,51.3,464.1,56.9,439.2,330.2,201.6,531.5,286.1,165.3,445.7,250.9,408.4,409.7,593.8,541.9,425.0,509.9,316.1,386.1,282.6,442.6,480.5,588.6,377.3,436.7,527.7,666.2,104.6,451.5,119.3,552.4,489.4,349.6,312.1,577.7,439.4,118.0,500.7,574.3,520.0,344.1,292.2,175.9,361.4,136.9,520.8,620.3,302.2,385.6,397.6,478.7,450.4,568.8,381.4,610.8,632.6,319.6,1586.4,574.1,149.5,410.5,393.8,500.5,116.7,588.0,527.9,415.0,382.4,285.4,124.6,289.6,556.9,523.2,352.0
CF,526.2,590.0,60.5,98.0,581.0,357.6,139.2,864.2,494.4,315.9,118.2,414.5,270.6,713.4,388.0,432.8,287.8,288.1,0.0,704.8,103.4,792.5,337.9,336.5,851.2,585.6,331.7,683.6,419.9,286.8,298.0,249.2,730.3,423.2,609.7,304.5,329.7,867.2,72.9,300.6,301.7,567.8,172.8,395.3,464.8,324.3,356.0,710.3,407.6,378.5,328.0,298.5,443.9,317.9,326.7,13.0,158.1,34.9,371.9,8.9,501.9,517.5,440.0,573.1,617.0,839.2,287.0,483.5,472.2,19.5,773.8,391.0,502.9,252.2,453.7,340.4,195.9,58.4,189.6,49.9,359.0,481.4,353.4,187.2,89.7,489.8,819.7,153.7,115.2,380.7,40.0,425.7,150.9,335.0,283.1,540.0,798.1,57.3,141.7,150.2,183.8,221.7,757.2,394.6,454.0,696.3,407.4,392.8,739.7,163.2,293.6,230.6,58.6,600.3,746.3,456.7,406.2,241.9,742.9,261.2,85.3,46.4,464.1,234.2,404.2,635.8,361.5,169.8,126.8,138.8,219.9,565.4,737.4,398.7,352.0,341.6,336.9,1458.9,315.3,437.7,249.6,548.6,241.7,238.9,329.2,269.1,703.2,174.1,573.6,156.8,77.4,515.6,691.8,369.3
CG,805.6,297.2,740.7,692.8,860.4,981.0,827.5,509.7,825.4,541.2,806.5,693.9,842.1,358.9,667.4,712.2,976.1,510.2,801.2,0.0,622.3,438.0,639.0,794.1,496.7,370.6,580.6,329.1,484.9,494.1,742.6,479.3,375.8,370.3,889.1,553.4,1018.0,512.7,795.4,835.8,784.6,126.9,861.1,674.7,744.2,828.4,612.3,5.4,462.4,657.9,592.5,756.1,723.3,853.1,521.0,814.3,694.9,836.2,890.4,792.3,832.9,796.9,354.9,298.3,342.2,484.7,1015.8,818.3,547.2,781.7,419.3,456.0,420.1,801.8,528.7,565.7,884.2,795.1,536.3,806.0,561.6,760.8,567.2,735.9,840.5,564.8,465.2,572.4,675.6,742.4,761.2,705.1,839.2,1023.3,906.5,277.8,443.6,826.4,711.2,612.7,872.1,910.0,52.3,674.0,733.4,8.4,942.6,467.8,385.2,629.6,828.8,918.9,790.2,385.3,41.4,736.1,471.2,865.3,38.0,796.4,773.6,802.5,539.1,658.1,647.2,361.0,984.9,812.5,815.1,827.1,836.4,290.6,32.5,678.1,1040.3,1070.4,616.3,1883.1,850.5,512.7,707.2,213.8,930.0,627.0,812.1,840.6,488.2,679.1,358.6,634.9,799.9,853.6,12.9,648.7
