from_stop,AP,AV,BC,BE,BF,BH,BK,BM,BP,BY,CC,CE,CG,CI,CR,CT,CU,CZ,DA,DE,DK,DO,DS,DW,EC,EP,EQ,ES,EW,EZ,FA,FE,FH,FI,FJ,FO,FW,GA,GC,GR,GW,HF,HG,HH,HT,IF,II,IL,IS,IT,IV,IY,JC,JH,KJ,KS,KU,KW,LE,LN,LU,MC,MH,MI,MJ,MK,MM,MO,MR,NA,NL,NN,NP,NU,NX,OE,OJ,OT,OW,PP,QE,QH,QJ,QR,QV,QW,RE,RJ,SJ,SM,SN,ST,SU,TF,TG,TH,TN,TO,TP,TQ,TR,TS,TV,TW,UH,UJ,UQ,US,UT,UX,VG,VI,VR,VS,VW,VZ,WD,WI,WL,WM,WX,XE,XF,XL,XP,XS,XX,YC,YH,YL,YM,YP,YW,ZA,ZH,ZJ,ZK
CC,482.1,663.7,555.5,693.1,752.5,660.4,134.9,576.8,347.0,345.1,0.0,477.2,701.2,541.0,559.8,459.7,675.2,567.5,417.9,396.3,308.2,643.9,560.8,804.0,473.6,618.6,290.8,490.8,54.1,378.1,418.2,756.1,484.1,434.9,606.6,320.3,337.2,137.0,533.9,712.6,267.7,480.4,571.7,465.8,579.8,657.7,800.9,564.8,676.3,379.1,626.5,677.0,790.1,471.4,1015.6,647.3,570.0,719.2,535.8,814.7,508.7,786.2,330.0,1204.3,343.6,467.7,209.7,674.3,614.8,754.4,408.1,370.4,645.6,763.5,636.0,249.6,742.6,683.1,715.9,411.2,405.9,580.4,365.2,761.1,198.3,488.4,586.5,930.1,712.0,215.2,687.9,392.8,750.9,624.6,310.1,357.3,652.8,484.6,286.7,671.1,308.2,415.4,308.6,720.7,715.4,417.5,703.4,656.3,690.1,608.2,774.2,221.7,748.1,372.5,660.0,333.1,656.2,626.3,822.3,303.6,816.6,146.7,731.4,811.7,477.6,461.9,774.8,818.3,613.7,440.3,297.1,549.8,166.0,426.3,418.0,429.8,1016.5
CE,668.1,263.9,262.3,634.1,938.5,818.6,434.6,116.8,533.0,146.3,506.4,0.0,859.4,727.0,500.8,256.3,861.2,508.5,169.8,189.8,182.6,301.7,642.3,909.4,494.7,218.8,476.8,431.8,469.8,564.1,499.7,914.3,6.8,516.4,792.6,334.3,472.1,396.5,719.9,658.5,304.6,421.4,757.7,393.7,765.8,815.9,664.8,165.0,834.5,112.5,567.5,863.0,976.1,552.9,879.5,833.3,110.0,877.4,721.8,1000.7,449.7,650.1,516.0,1145.3,147.0,653.7,395.7,832.5,800.8,695.4,314.8,273.3,586.6,868.9,577.0,331.1,853.5,624.1,656.9,352.2,487.4,661.9,551.2,872.0,338.9,439.9,668.0,794.0,300.2,316.7,227.9,97.3,614.8,565.6,391.6,260.2,734.3,566.1,359.9,829.3,184.5,401.2,410.1,661.7,255.4,499.0,889.4,597.3,230.1,794.2,960.2,323.2,853.5,558.5,200.0,224.7,814.4,166.3,961.5,385.1,1002.6,422.8,672.4,997.7,429.1,255.4,960.8,1004.3,554.7,626.3,195.3,631.3,371.2,507.8,318.7,615.8,960.6
CG,403.9,1044.8,936.6,821.9,220.8,56.7,561.6,957.9,546.2,726.4,689.9,858.3,0.0,423.7,627.4,840.8,231.9,722.0,799.0,777.4,691.5,954.4,553.4,601.7,579.6,999.7,411.7,645.3,653.3,443.3,676.3,54.8,865.2,693.0,269.2,701.4,403.6,638.7,416.6,785.1,648.8,548.0,369.4,846.9,522.8,54.0,704.0,945.9,108.9,760.2,755.3,382.5,258.4,709.5,593.9,356.8,951.1,17.9,478.8,233.2,663.2,604.3,529.2,1232.4,724.7,483.3,498.3,70.6,261.0,883.2,789.2,751.5,774.4,561.2,703.6,630.7,540.3,750.7,844.7,691.1,627.0,573.0,430.4,558.8,700.0,869.5,576.8,577.5,1093.1,596.3,1069.0,773.9,639.6,753.4,691.2,738.4,643.1,497.8,667.8,103.7,689.3,636.6,689.7,788.3,1096.5,558.0,260.1,723.9,1071.2,375.3,479.7,602.8,545.8,437.7,1041.1,714.2,52.5,1007.4,102.0,684.7,522.1,549.8,860.2,109.7,858.7,843.0,243.1,523.8,681.3,559.7,678.2,542.4,667.7,549.2,587.5,629.0,583.1
CI,71.2,887.4,776.9,944.6,282.5,454.3,410.8,828.3,205.7,596.6,539.1,728.7,397.5,0.0,824.5,712.7,205.2,819.0,669.4,647.8,559.7,686.7,631.1,334.0,657.3,768.6,340.9,742.3,502.5,426.5,669.7,401.9,735.6,686.4,136.6,571.8,463.9,509.1,7.3,977.3,520.7,745.1,101.7,668.0,99.0,451.6,436.3,816.3,506.5,630.6,878.0,207.0,320.1,722.9,571.0,177.3,821.5,379.3,55.0,344.7,760.2,336.6,222.7,1455.8,595.1,150.6,347.5,468.2,144.8,1005.9,659.6,621.9,897.1,293.5,900.7,501.1,272.6,947.8,967.4,662.7,657.4,650.7,413.6,291.1,570.4,739.9,654.5,541.6,793.1,466.7,939.4,644.3,371.9,876.1,561.6,608.8,720.8,575.5,538.2,501.3,559.7,666.9,560.1,985.4,830.8,635.7,233.4,921.0,941.6,138.2,304.2,473.2,278.1,420.9,911.5,584.6,450.1,877.8,352.3,555.1,346.6,399.0,982.9,341.7,729.1,713.4,304.8,348.3,878.4,227.0,548.6,620.1,538.1,626.9,669.5,352.7,546.5
CR,755.8,665.8,557.6,228.1,855.6,577.0,490.5,596.9,620.7,365.2,562.3,497.3,634.7,816.1,0.0,461.8,948.9,243.3,438.0,416.4,328.3,646.4,327.1,1077.7,176.8,620.7,485.5,195.1,525.7,517.8,356.6,689.6,504.2,373.3,880.3,375.4,478.1,452.4,807.6,186.4,359.1,73.1,845.4,467.9,853.5,579.7,803.0,566.9,701.5,399.2,161.5,950.7,893.2,389.8,1017.7,921.0,590.1,652.7,809.5,868.0,179.1,788.3,603.7,845.4,363.7,741.4,451.6,563.2,888.5,289.4,410.2,390.5,180.6,1037.2,109.8,340.5,1016.3,174.9,250.9,290.7,307.3,346.7,504.9,1034.8,394.8,490.5,352.8,932.2,714.1,372.6,708.0,412.9,753.0,159.6,374.7,377.4,419.1,250.9,389.7,696.3,328.3,236.2,464.8,212.5,735.5,238.3,977.1,148.1,710.2,881.9,1047.9,379.1,1021.8,512.2,680.1,353.2,581.2,646.4,736.8,368.2,1090.3,478.7,266.4,744.5,479.7,482.0,877.9,1092.0,105.5,714.0,317.2,316.1,427.1,229.5,187.1,703.5,1098.8
CT,639.3,203.9,202.3,587.3,909.7,789.8,405.8,383.2,504.2,220.8,477.6,274.5,830.6,698.2,454.0,0.0,832.4,461.7,136.2,264.3,220.9,241.7,571.9,758.6,447.9,158.8,448.0,385.0,441.0,535.3,470.9,885.5,263.5,487.6,763.8,253.9,443.3,367.7,691.1,611.7,237.6,374.6,728.9,178.9,737.0,787.1,514.0,105.0,805.7,185.5,520.7,834.2,947.3,510.4,728.7,804.5,376.4,848.6,693.0,971.9,402.9,499.3,487.2,1098.5,221.5,624.9,366.9,803.7,772.0,648.6,58.4,283.1,539.8,718.1,530.2,302.3,702.7,577.3,610.1,305.4,427.9,591.5,522.4,721.2,310.1,183.5,597.6,643.2,252.2,287.9,494.3,199.2,464.0,518.8,362.8,270.0,663.9,495.7,268.2,800.5,220.9,354.4,343.3,614.9,282.3,428.6,860.6,550.5,496.5,765.4,931.4,294.4,702.7,529.7,466.4,245.8,785.6,432.7,932.7,356.3,829.9,394.0,625.6,968.9,172.7,329.9,932.0,975.5,507.9,597.5,209.8,560.9,342.4,437.4,271.9,587.0,809.8
CU,194.4,945.6,835.1,1056.7,119.7,291.5,534.0,951.5,328.9,720.0,662.3,851.9,234.7,214.2,862.2,834.4,0.0,942.2,792.6,771.0,685.1,744.9,754.3,392.2,780.5,826.8,462.4,865.5,625.7,549.7,792.9,239.1,858.8,809.6,59.7,695.0,587.1,632.3,207.1,1019.9,642.4,782.8,159.9,726.2,313.3,288.8,494.5,878.3,343.7,753.8,990.1,173.0,157.3,846.1,537.0,147.3,944.7,216.5,269.3,181.9,883.4,394.8,345.9,1467.2,718.3,273.8,470.7,305.4,51.5,1118.0,782.8,745.1,1009.2,351.7,938.4,624.3,330.8,985.5,1079.5,785.9,780.6,773.9,536.8,349.3,693.6,863.1,777.7,507.6,851.3,589.9,1062.6,767.5,430.1,988.2,684.8,732.0,844.0,698.7,661.4,338.5,682.9,790.1,683.3,1023.1,889.0,758.9,28.1,958.7,1064.8,165.8,270.2,596.4,336.3,544.1,1034.7,707.8,287.3,1001.0,189.5,678.3,312.6,522.2,1095.0,178.9,852.3,836.6,142.0,314.3,916.1,350.2,671.8,743.3,661.3,750.1,792.7,474.4,512.5
CZ,729.9,671.7,563.5,218.2,1000.3,675.9,496.4,602.8,594.8,371.3,568.2,503.2,733.6,788.8,221.9,467.7,923.0,0.0,443.9,422.3,336.4,653.8,444.0,1051.8,293.7,626.6,538.6,64.4,531.6,625.9,364.9,788.5,510.1,381.6,854.4,381.3,533.9,458.3,781.7,258.8,365.0,220.4,819.5,473.8,827.6,678.6,808.9,572.8,818.4,405.1,151.6,924.8,1037.9,398.1,1023.6,895.1,596.0,751.6,783.6,966.9,48.4,794.2,577.8,944.3,369.6,715.5,457.5,662.1,862.6,279.5,416.1,396.4,170.7,1011.3,177.3,346.4,990.4,363.2,241.0,296.6,315.6,463.6,613.0,1008.9,400.7,496.4,469.7,938.1,720.0,378.5,713.9,418.8,758.9,149.7,380.6,383.3,536.0,367.8,395.6,813.2,334.2,242.1,470.7,400.8,741.4,316.3,951.2,336.4,716.1,856.0,1022.0,385.0,995.9,620.3,686.0,359.1,680.1,652.3,835.7,374.1,1064.4,484.6,256.5,843.4,485.6,487.9,1022.6,1066.1,293.8,688.1,323.1,433.0,433.0,325.1,193.0,677.6,1104.7
DA,605.3,306.6,305.0,571.3,875.7,755.8,371.8,245.9,470.2,83.5,443.6,146.3,796.6,664.2,438.0,134.8,798.4,445.7,0.0,127.0,119.8,344.4,579.5,893.5,431.9,261.5,414.0,369.0,407.0,501.3,436.9,851.5,153.2,453.6,729.8,271.5,409.3,333.7,657.1,595.7,241.8,358.6,694.9,313.8,703.0,753.1,648.9,207.7,771.7,48.2,504.7,800.2,913.3,490.1,863.6,770.5,239.1,814.6,659.0,937.9,386.9,634.2,453.2,1082.5,84.2,590.9,332.9,769.7,738.0,632.6,193.3,210.5,523.8,853.0,514.2,268.3,865.8,561.3,594.1,289.4,424.6,599.1,488.4,884.3,276.1,318.4,605.2,778.1,354.9,253.9,357.0,61.9,598.9,502.8,328.8,197.4,671.5,503.3,297.1,766.5,121.7,338.4,347.3,598.9,384.5,436.2,826.6,534.5,359.2,731.4,897.4,260.4,837.6,495.7,329.1,161.9,751.6,295.4,898.7,322.3,939.8,360.0,609.6,934.9,307.6,192.6,898.0,941.5,491.9,563.5,132.5,568.5,308.4,445.0,255.9,553.0,944.7
DE,561.4,432.4,430.8,527.4,831.8,711.9,327.9,283.6,426.3,52.1,399.7,184.0,752.7,620.3,394.1,260.6,754.5,401.8,124.7,0.0,75.9,470.2,535.6,883.3,388.0,387.3,370.1,325.1,363.1,457.4,393.0,807.6,190.9,409.7,685.9,227.6,365.4,289.8,613.2,551.8,197.9,314.7,651.0,320.1,659.1,709.2,655.2,333.5,727.8,85.9,460.8,756.3,869.4,446.2,869.9,726.6,276.8,770.7,615.1,894.0,343.0,640.5,409.3,1038.6,36.4,547.0,289.0,725.8,694.1,588.7,319.1,166.6,479.9,842.8,470.3,224.4,821.9,517.4,550.2,245.5,380.7,555.2,444.5,840.4,232.2,342.7,561.3,784.4,467.0,210.0,394.7,99.6,605.2,458.9,284.9,153.5,627.6,459.4,253.2,722.6,77.8,294.5,303.4,555.0,422.2,392.3,782.7,490.6,396.9,687.5,853.5,216.5,827.4,451.8,366.8,118.0,707.7,333.1,854.8,278.4,895.9,316.1,565.7,891.0,331.9,65.5,854.1,897.6,448.0,519.6,88.6,524.6,264.5,401.1,212.0,509.1,951.0
DK,485.4,415.1,413.5,449.5,755.8,635.9,251.9,266.3,350.3,34.6,321.8,166.7,676.7,545.7,316.2,243.3,678.5,325.8,107.4,85.8,0.0,454.4,459.6,805.4,312.0,370.0,295.8,249.1,287.1,381.4,317.0,729.7,173.6,333.7,609.9,149.7,289.4,213.8,537.2,470.9,120.0,238.7,575.0,244.1,583.1,633.2,579.2,316.2,651.8,68.6,384.8,680.3,793.4,370.2,793.9,650.6,259.5,692.8,539.1,818.0,267.0,564.5,333.3,962.6,33.1,471.0,213.0,649.8,618.1,512.7,186.4,90.6,403.9,766.8,394.3,148.4,744.0,441.4,474.2,169.5,304.7,479.2,368.5,764.4,156.2,264.8,485.3,706.5,449.7,132.1,377.4,82.3,529.2,382.9,208.9,75.6,551.6,383.4,177.2,646.6,1.8,218.5,227.4,477.1,404.9,316.3,706.7,412.7,379.6,611.5,777.5,140.5,751.4,375.8,349.5,42.0,629.8,315.8,776.9,202.4,819.9,240.1,489.7,815.0,255.9,153.6,778.1,821.6,372.0,443.6,12.6,448.6,188.5,323.2,136.0,433.1,875.0
DO,667.2,102.9,159.5,763.8,833.5,966.8,582.8,413.0,681.2,407.0,656.1,296.1,948.5,686.5,632.5,236.4,756.2,638.7,322.0,450.1,399.6,0.0,748.9,605.6,624.9,83.3,624.5,562.0,618.0,712.3,647.9,952.4,285.1,664.6,687.6,432.4,620.3,544.7,679.9,788.2,416.1,551.6,630.3,167.7,786.1,964.1,361.5,133.3,982.7,371.3,697.7,758.0,872.6,687.4,576.2,728.3,406.2,929.8,742.1,895.7,579.9,346.8,664.2,1275.5,407.3,746.6,543.9,980.7,695.8,825.6,278.2,460.1,716.8,565.6,707.2,479.3,549.7,753.8,787.1,482.4,604.9,768.5,698.9,568.7,487.1,420.0,774.6,490.2,163.6,464.4,342.9,385.0,311.5,695.8,539.8,448.5,840.9,672.7,445.2,977.5,397.9,531.4,520.3,793.4,201.3,605.6,784.4,729.0,268.1,689.2,850.2,471.4,550.2,706.7,304.3,422.8,962.1,292.0,904.8,533.3,677.4,571.0,802.6,892.7,410.7,514.2,855.8,894.3,684.9,774.5,386.8,737.9,519.4,613.9,448.9,763.5,657.3
DS,542.9,786.4,678.2,524.1,813.3,472.7,423.2,735.2,407.8,503.7,551.5,635.6,513.5,601.8,329.6,582.4,736.0,442.2,576.3,554.7,468.8,768.5,0.0,864.8,162.4,741.3,273.3,365.5,514.9,304.9,259.1,568.4,642.5,275.8,667.4,460.7,265.2,453.4,594.7,487.3,426.1,250.2,632.5,588.5,640.6,470.0,923.6,687.5,488.6,537.5,457.5,737.8,850.9,292.3,1101.8,708.1,728.4,531.5,596.6,746.8,383.4,867.4,390.8,992.1,502.0,528.5,359.9,486.6,675.6,585.4,530.8,528.8,476.6,824.3,405.8,309.2,803.4,452.9,546.9,411.3,209.8,18.4,292.0,821.9,395.8,611.1,86.9,1052.8,834.7,355.6,846.3,551.2,873.6,455.6,343.4,515.7,120.7,80.6,427.1,483.4,466.6,225.5,449.0,490.5,873.8,140.8,764.2,426.1,848.5,669.0,835.0,362.1,808.9,299.3,818.4,491.5,468.5,784.7,615.6,336.9,877.4,411.4,562.4,623.3,600.3,620.3,835.6,879.1,383.5,501.1,455.5,10.4,428.1,132.0,307.7,490.6,1077.3
