from_stop,AO,AR,AS,AT,AW,AX,AY,BB,BD,BG,BH,BT,BW,CB,CK,CW,CZ,DI,DQ,DX,DZ,EA,EE,EG,EK,EO,ER,EU,EY,FA,FI,FM,FR,FS,FZ,GD,GG,GI,GJ,GM,HB,HI,HJ,HO,HR,HV,HW,HZ,IB,IC,IG,IL,IS,IX,JA,JB,JJ,JO,JQ,JU,JW,KH,KM,KR,KU,LG,LH,LI,LK,LM,LN,LU,LW,MF,MH,MV,MW,ND,NH,NN,NQ,NU,OC,OE,OK,ON,OT,OX,OY,OZ,PC,PE,PF,PP,PX,QA,QI,QN,QQ,QT,QX,QY,RB,RE,RJ,RL,RM,RP,RY,SG,SL,SW,SZ,TA,TD,TG,TI,TQ,TS,TU,TY,UB,UD,UE,UH,UJ,UO,UR,US,UU,VF,VQ,WA,WH,WJ,WS,WW,WX,XA,XJ,XY,YH,YJ,YN,ZA,ZE,ZF,ZQ,ZU,ZX
BH,866.1,545.8,114.6,1077.6,260.8,373.1,363.9,650.8,744.0,1040.8,0.0,1022.5,600.4,857.5,59.0,451.5,481.9,940.6,554.7,100.6,876.7,386.3,341.2,940.5,95.8,939.0,943.9,896.1,246.6,778.6,425.4,1016.5,550.1,208.3,253.9,256.9,891.8,544.6,329.9,478.1,637.3,767.7,122.6,417.1,699.9,282.6,294.2,637.4,592.5,987.6,516.7,297.4,264.5,132.1,877.2,238.8,780.8,997.5,657.0,172.0,271.8,690.6,223.1,1042.0,743.7,84.6,264.0,1089.4,529.6,903.4,155.9,247.3,439.7,844.3,769.3,832.1,950.7,310.8,128.6,208.1,1042.5,619.4,689.5,581.1,630.5,863.0,982.9,962.2,487.3,805.6,375.7,489.8,889.2,998.8,116.5,220.3,569.3,475.0,716.3,303.8,603.2,975.9,556.2,507.8,2761.1,510.2,713.8,438.3,333.9,727.9,541.4,560.5,510.4,1213.2,1099.2,39.3,410.5,619.3,727.1,668.0,779.5,906.7,124.5,272.5,178.3,718.9,246.5,107.5,952.9,499.8,529.9,374.4,307.4,890.9,88.4,1012.2,893.6,202.6,686.0,634.2,532.1,918.7,716.4,928.5,198.2,748.8,319.2,198.7,1057.1,445.4
BT,275.6,787.5,947.0,365.4,982.5,741.7,753.0,892.5,640.7,251.8,989.4,0.0,842.1,235.9,941.6,693.2,712.5,91.8,796.4,966.9,286.2,654.2,778.0,455.8,971.7,725.3,177.6,677.5,1039.9,675.3,667.1,531.8,791.8,806.9,1073.1,802.6,141.6,750.2,965.9,719.8,879.0,664.4,1007.2,634.6,893.6,1025.7,1037.3,692.7,834.2,502.9,680.2,1105.4,836.3,883.9,392.5,874.8,901.4,361.4,898.7,895.9,966.6,819.4,836.4,405.9,640.4,1034.6,1007.1,604.7,604.3,300.0,907.6,1001.6,670.3,359.6,366.8,201.8,297.5,1064.2,1118.1,1001.4,198.5,861.1,446.1,822.8,872.2,801.8,76.5,95.6,651.2,860.9,635.4,499.0,253.1,514.1,1106.0,974.6,811.0,680.6,586.2,732.6,563.3,46.5,797.9,671.3,2125.0,715.8,955.5,680.0,752.4,407.7,783.1,802.2,716.0,728.5,35.6,989.3,641.2,861.0,598.7,723.3,834.8,253.5,1035.7,983.8,940.4,774.2,882.5,960.0,316.8,663.3,771.6,1182.4,1115.4,811.4,917.4,300.0,240.4,995.9,741.3,530.9,729.4,434.0,844.9,216.3,816.8,804.1,717.3,1109.9,67.7,676.0
BW,739.0,255.8,558.2,853.3,593.7,462.0,452.8,50.3,519.7,816.5,600.6,910.6,0.0,730.4,552.8,167.0,434.8,888.6,99.4,578.1,749.6,243.8,430.1,716.2,582.9,338.5,719.6,384.1,651.1,620.6,193.0,530.9,260.1,418.1,658.4,370.7,764.7,542.3,577.1,140.4,347.3,609.7,618.4,426.7,99.4,687.1,698.7,236.7,45.1,763.3,389.6,716.6,447.5,495.1,669.9,486.0,180.3,870.4,56.5,507.1,577.8,90.1,447.6,914.9,585.7,645.8,668.5,865.1,304.7,679.1,518.8,651.8,393.7,702.8,545.0,705.0,823.6,715.3,675.8,612.6,818.2,161.8,465.2,115.9,340.5,262.5,848.7,867.8,360.2,217.4,266.6,362.7,762.1,548.6,663.7,624.8,279.3,472.7,492.0,449.4,378.9,927.4,266.2,380.7,2655.1,507.9,423.8,180.2,479.5,503.6,251.4,270.5,508.1,988.9,874.9,600.5,433.3,329.3,592.7,185.5,231.7,779.6,646.9,677.0,551.6,135.3,493.7,571.2,825.8,372.7,239.9,793.6,726.6,290.4,528.6,787.9,766.5,607.1,168.0,409.9,429.8,694.4,115.9,704.2,428.0,217.7,509.4,721.1,832.8,388.0
CB,126.7,638.6,798.1,471.7,833.6,592.8,604.1,743.6,770.3,381.4,840.5,222.1,693.2,0.0,792.7,544.3,563.6,140.2,647.5,818.0,137.3,505.3,629.1,585.4,822.8,854.9,307.2,807.1,891.0,804.9,518.2,661.4,642.9,658.0,924.2,653.7,91.4,601.3,817.0,570.9,730.1,794.0,858.3,485.7,792.7,876.8,888.4,719.1,685.3,632.5,531.3,956.5,687.4,735.0,522.1,725.9,873.6,197.1,749.8,747.0,817.7,783.4,687.5,241.6,770.0,885.7,858.2,734.3,611.3,429.6,758.7,852.7,521.4,489.2,496.4,43.0,191.9,915.3,969.2,852.5,328.1,712.2,575.7,673.9,723.3,955.8,182.5,161.8,502.3,910.7,486.5,350.1,88.8,643.7,957.1,825.7,662.1,531.7,715.8,583.7,684.9,175.5,649.0,522.4,1960.7,566.9,806.6,531.1,603.5,537.3,634.2,653.3,567.1,610.2,212.3,840.4,492.3,712.1,728.3,749.7,861.2,147.9,886.8,834.9,791.5,828.6,733.6,811.1,152.5,514.4,622.7,1033.5,966.5,983.7,768.5,374.3,134.8,847.0,767.7,660.5,613.8,563.6,809.2,345.9,667.9,830.5,568.4,961.0,197.3,527.1
CK,807.0,486.7,162.4,1018.5,201.7,314.0,304.8,591.7,684.9,981.7,47.7,963.4,541.3,798.4,0.0,392.4,422.8,881.5,495.6,101.7,817.6,327.2,282.1,881.4,104.1,879.9,884.8,837.0,187.5,719.5,366.3,957.4,491.0,149.2,194.8,197.8,832.7,485.5,270.8,419.0,578.2,708.6,65.5,358.0,640.8,223.5,235.1,578.3,533.4,928.5,457.6,253.0,205.4,73.0,818.1,179.7,721.7,938.4,597.9,219.8,212.7,631.5,270.9,982.9,684.6,92.9,204.9,1030.3,470.5,844.3,203.7,188.2,380.6,785.2,706.4,773.0,891.6,251.7,176.4,149.0,983.4,560.3,630.4,522.0,568.5,803.9,923.8,903.1,428.2,746.5,316.6,430.7,830.1,939.7,164.3,161.2,510.2,415.9,657.2,244.7,544.1,916.8,497.1,448.7,2702.0,451.1,654.7,379.2,274.8,668.8,482.3,501.4,451.3,1154.1,1040.1,47.6,351.4,560.2,668.0,608.9,720.4,847.6,132.8,213.4,226.1,659.8,187.4,94.8,893.8,440.7,470.8,330.0,263.0,831.8,29.3,953.1,834.5,143.5,626.9,575.1,473.0,859.6,657.3,869.4,139.1,689.7,260.1,207.0,998.0,386.3
CW,571.9,94.2,391.1,801.4,426.6,294.9,285.7,199.2,467.8,764.6,433.5,728.3,148.8,563.3,385.7,0.0,205.7,646.4,103.1,411.0,582.5,76.7,263.0,664.3,415.8,487.4,667.7,533.0,484.0,502.4,25.9,679.8,98.5,251.0,491.3,203.6,597.6,375.2,410.0,26.5,185.7,491.5,451.3,259.6,248.3,520.0,531.6,385.6,140.9,711.4,222.5,549.5,280.4,328.0,601.0,318.9,329.2,703.3,205.4,340.0,410.7,239.0,280.5,747.8,467.5,478.7,501.4,813.2,253.4,627.2,351.7,484.7,163.5,568.1,489.3,537.9,656.5,548.2,562.2,445.5,766.3,167.8,413.3,129.5,176.0,411.4,688.7,668.0,193.1,366.3,99.5,195.6,595.0,697.5,550.1,457.7,117.7,305.6,440.1,282.3,327.0,681.7,104.6,212.2,2466.9,340.8,262.2,13.1,312.4,451.7,89.8,108.9,341.0,937.0,718.5,433.4,266.2,167.7,450.9,334.4,380.6,612.5,479.8,509.9,384.5,284.2,326.6,404.1,658.7,205.6,78.3,626.5,559.5,439.3,361.5,736.0,599.4,440.0,316.9,358.0,255.9,642.5,264.8,652.3,260.9,366.6,342.3,554.0,703.5,169.2
CZ,578.6,306.8,448.3,703.0,483.8,352.1,342.9,411.8,369.4,666.2,490.7,760.3,361.4,570.0,442.9,212.5,0.0,738.3,315.7,468.2,589.2,173.5,320.2,565.9,473.0,572.4,569.3,521.5,541.2,404.0,186.4,641.9,311.1,308.2,548.5,260.8,604.3,450.4,467.2,239.1,398.3,393.1,508.5,334.8,460.9,577.2,588.8,262.8,353.5,613.0,297.7,606.7,337.6,385.2,502.6,376.1,541.8,710.0,418.0,397.2,467.9,451.6,337.7,754.5,369.1,535.9,558.6,714.8,155.0,528.8,408.9,541.9,65.1,469.7,394.7,544.6,663.2,605.4,619.4,502.7,667.9,380.4,314.9,342.1,388.6,624.0,698.4,717.5,268.3,431.0,124.5,270.8,601.7,624.2,607.3,512.3,330.3,380.8,341.7,339.5,228.6,777.1,317.2,288.8,2504.8,416.0,474.8,199.3,369.6,353.3,302.4,321.5,416.2,838.6,724.6,490.6,341.4,380.3,352.5,293.4,404.9,619.2,537.0,567.1,441.7,344.3,383.8,461.3,665.4,280.8,290.9,683.7,616.7,651.9,418.7,637.6,606.1,497.2,311.4,259.6,81.8,544.1,477.4,553.9,318.1,374.2,354.9,611.2,682.5,110.5
DI,183.7,695.6,855.1,354.7,890.6,649.8,661.1,800.6,630.0,241.1,897.5,81.8,750.2,144.0,849.7,601.3,620.6,0.0,704.5,875.0,194.3,562.3,686.1,445.1,879.8,714.6,166.9,666.8,948.0,664.6,575.2,521.1,699.9,715.0,981.2,710.7,49.7,658.3,874.0,627.9,787.1,653.7,915.3,542.7,849.7,933.8,945.4,682.0,742.3,492.2,588.3,1013.5,744.4,792.0,381.8,782.9,930.6,269.5,806.8,804.0,874.7,840.4,744.5,314.0,629.7,942.7,915.2,594.0,593.6,289.3,815.7,909.7,578.4,348.9,356.1,109.9,205.6,972.3,1026.2,909.5,187.8,769.2,435.4,730.9,780.3,791.1,42.2,21.5,559.3,850.2,543.5,407.1,161.2,503.4,1014.1,882.7,719.1,588.7,575.5,640.7,552.6,35.2,706.0,579.4,2033.1,623.9,863.6,588.1,660.5,397.0,691.2,710.3,624.1,717.8,72.0,897.4,549.3,769.1,588.0,712.6,824.1,161.6,943.8,891.9,848.5,763.5,790.6,868.1,224.9,571.4,679.7,1090.5,1023.5,800.7,825.5,289.3,148.5,904.0,730.6,520.2,670.8,423.3,866.2,205.6,724.9,793.4,625.4,1018.0,57.0,584.1
DQ,670.8,187.6,490.0,900.3,525.5,393.8,384.6,160.6,566.7,863.5,532.4,827.2,110.2,662.2,484.6,98.8,304.6,745.3,0.0,509.9,681.4,175.6,361.9,763.2,514.7,448.8,766.6,494.4,582.9,601.3,124.8,641.2,191.9,349.9,590.2,302.5,696.5,474.1,508.9,72.2,279.1,590.4,550.2,358.5,209.7,618.9,630.5,347.0,102.3,810.3,321.4,648.4,379.3,426.9,780.2,417.8,290.6,802.2,166.8,438.9,509.6,200.4,379.4,846.7,566.4,577.6,600.3,912.1,352.3,726.1,450.6,583.6,262.4,667.0,592.0,636.8,755.4,647.1,661.1,544.4,865.2,64.6,512.2,55.3,272.3,372.8,787.6,766.9,292.0,327.7,198.4,294.5,693.9,658.9,649.0,556.6,211.1,404.5,539.0,381.2,425.9,780.6,198.0,312.5,2565.8,439.7,355.6,112.0,411.3,550.6,183.2,202.3,439.9,1035.9,817.4,532.3,365.1,261.1,549.8,295.8,342.0,711.4,578.7,608.8,483.4,245.6,425.5,503.0,757.6,304.5,171.7,725.4,658.4,400.7,460.4,834.9,698.3,538.9,278.3,456.9,354.8,741.4,226.2,751.2,359.8,328.0,441.2,652.9,802.4,268.1
DX,828.9,508.6,225.3,1040.4,223.6,335.9,326.7,613.6,706.8,1003.6,110.6,985.3,563.2,820.3,88.2,414.3,444.7,903.4,517.5,0.0,839.5,349.1,304.0,903.3,4.8,901.8,906.7,858.9,166.5,741.4,388.2,979.3,512.9,171.1,173.8,219.7,854.6,507.4,292.7,440.9,600.1,730.5,133.8,379.9,662.7,202.5,214.1,600.2,555.3,950.4,479.5,232.0,227.3,94.9,840.0,201.6,743.6,960.3,619.8,282.7,234.6,653.4,333.8,1004.8,706.5,111.8,183.9,1052.2,492.4,866.2,266.6,167.2,402.5,807.1,728.3,794.9,913.5,230.7,239.3,128.0,1005.3,582.2,652.3,543.9,593.3,825.8,945.7,925.0,450.1,768.4,338.5,452.6,852.0,961.6,227.2,137.6,532.1,437.8,679.1,266.6,566.0,938.7,519.0,469.2,2723.9,473.0,676.6,401.1,296.7,690.7,504.2,523.3,473.2,1176.0,1062.0,61.2,373.3,582.1,689.9,630.8,742.3,869.5,68.7,192.4,289.0,681.7,209.3,6.8,915.7,462.6,492.7,309.0,242.0,853.7,92.6,975.0,856.4,122.5,648.8,597.0,494.9,881.5,679.2,891.3,161.0,711.6,282.0,142.9,1019.9,408.2
DZ,18.8,623.5,783.0,537.6,818.5,577.7,589.0,728.5,810.6,447.3,825.4,288.0,678.1,123.0,777.6,529.2,548.5,206.1,632.4,802.9,0.0,490.2,614.0,651.3,807.7,1016.7,373.1,962.7,875.9,845.2,503.1,727.3,627.8,642.9,909.1,638.6,157.3,586.2,801.9,555.8,715.0,834.3,843.2,470.6,777.6,861.7,873.3,704.0,670.2,698.4,516.2,941.4,672.3,719.9,588.0,710.8,858.5,263.0,734.7,731.9,802.6,768.3,672.4,307.5,810.3,870.6,843.1,800.2,596.2,495.5,743.6,837.6,506.3,555.1,562.3,97.6,216.2,900.2,954.1,837.4,394.0,697.1,756.1,658.8,708.2,940.7,248.4,227.7,487.2,895.6,471.4,335.0,154.7,709.6,942.0,810.6,647.0,516.6,782.9,568.6,669.8,241.4,633.9,507.3,2026.6,551.8,791.5,516.0,588.4,603.2,619.1,638.2,552.0,676.1,278.2,825.3,477.2,697.0,793.7,734.6,846.1,172.2,871.7,819.8,776.4,813.5,718.5,796.0,218.4,499.3,607.6,1018.4,951.4,968.6,753.4,440.2,159.1,831.9,752.6,700.8,598.7,629.5,794.1,411.8,652.8,815.4,553.3,945.9,263.2,512.0
