from_stop,AD,AE,AK,AL,AR,AZ,BA,BE,BG,BH,BX,CC,CK,CZ,DI,DL,DS,DU,DV,ED,EE,EG,FE,FJ,GN,GW,HC,HK,HL,HO,IA,II,IR,IS,IT,IV,IW,IY,JC,JL,JM,JO,JQ,JW,JX,JZ,KC,KD,KG,KI,KK,KM,KT,KV,LC,LE,LH,LI,LJ,LO,LP,LV,LX,MD,ME,MU,NT,NV,OD,OG,OI,OO,OR,OV,OX,PB,PE,PI,PK,PL,PQ,PV,QC,QV,QX,RC,RI,RM,RN,RP,RQ,RS,SF,SN,SO,SZ,TA,TB,TJ,TS,TW,TY,UB,UE,UG,UK,UT,VF,VN,VP,VQ,VR,VT,VU,VY,VZ,WD,WE,WF,WG,WH,WI,XC,XD,XK,XM,XX,XY,YH,YV,ZB,ZU,ZX
BX,104.3,738.1,499.5,798.1,372.3,400.6,235.9,743.2,832.3,816.2,0.0,230.6,708.9,757.1,490.6,50.8,820.4,310.1,738.3,193.4,413.0,229.4,135.3,99.8,777.9,825.3,803.0,945.0,363.5,683.8,704.0,739.8,688.0,714.3,715.0,417.3,632.2,332.2,655.1,178.8,28.4,451.9,266.7,357.8,463.0,744.7,636.0,259.9,690.2,729.3,218.2,290.8,672.9,816.0,416.0,262.3,208.0,125.1,729.1,73.6,355.0,163.5,129.2,746.8,354.8,656.0,288.7,793.9,636.0,397.9,763.5,636.0,701.2,201.1,409.9,371.4,450.4,258.9,285.2,321.1,313.2,274.2,680.8,348.5,200.9,971.2,242.1,383.3,235.6,795.6,634.5,244.9,666.4,209.4,650.1,378.3,272.6,899.8,213.7,232.9,723.3,156.2,382.4,749.6,772.2,88.0,56.3,710.8,645.3,715.2,278.6,275.1,371.8,664.5,442.9,756.1,648.0,585.3,769.8,234.1,383.2,227.6,304.2,729.4,81.7,1331.9,391.0,406.1,730.5,265.7,752.3,522.1,321.9
CC,213.4,797.7,555.7,697.1,391.2,422.9,292.1,606.1,775.9,863.2,239.2,0.0,765.1,616.8,546.8,165.9,876.6,170.3,797.9,323.3,469.2,285.6,191.5,218.2,834.1,881.5,859.2,852.6,178.1,740.0,760.2,796.0,744.2,770.5,774.6,476.9,688.4,215.3,711.3,206.0,191.2,508.1,283.2,414.0,328.1,791.7,692.2,316.1,746.4,785.5,274.4,173.9,729.1,872.2,271.9,296.0,264.2,152.3,776.1,232.0,411.2,190.7,159.8,803.0,411.0,715.6,58.0,850.1,692.2,167.2,819.7,692.2,757.4,155.9,536.4,390.3,506.6,315.1,341.4,377.3,369.4,43.5,737.0,106.5,228.1,878.8,298.3,181.4,291.8,694.6,590.3,278.6,722.6,265.6,709.7,434.5,41.9,789.5,240.9,289.1,779.5,212.4,438.6,805.8,828.4,230.0,159.5,767.0,701.5,771.4,334.8,401.6,169.8,720.7,148.9,812.3,607.2,544.5,829.4,290.3,439.4,283.8,76.9,785.6,186.6,1287.7,409.9,67.2,790.1,392.2,808.5,581.7,378.1
CK,734.8,459.6,527.7,283.7,882.8,914.5,584.5,145.0,194.8,197.3,760.6,739.1,0.0,242.7,297.4,687.3,556.3,818.6,109.6,707.3,613.0,703.3,659.1,739.6,388.6,151.8,538.9,271.5,872.0,247.1,30.5,303.1,327.1,132.4,281.7,448.9,390.6,773.2,130.9,736.4,712.6,480.1,824.3,460.1,904.0,346.2,442.8,756.2,28.5,465.2,672.1,731.8,340.0,142.5,847.8,795.0,592.3,682.7,283.2,753.4,555.0,721.1,690.2,73.3,554.8,222.7,797.2,529.8,442.8,768.7,326.8,442.8,73.5,651.0,828.9,881.9,314.2,712.8,494.4,775.0,767.1,782.7,416.7,857.0,758.5,297.7,696.0,891.8,584.2,281.2,157.5,777.6,402.3,520.2,460.3,479.1,781.1,208.4,771.3,689.9,286.6,688.9,628.1,465.2,508.1,751.4,680.9,101.0,118.7,29.6,774.9,694.1,880.3,471.3,922.9,492.0,323.0,260.3,194.8,574.2,341.7,681.5,816.1,97.3,708.0,1601.0,901.5,806.4,124.1,684.7,366.6,200.7,521.9
CZ,657.9,430.8,599.0,115.2,792.8,824.5,629.2,165.4,335.2,339.7,684.5,649.1,219.2,0.0,342.1,623.8,611.6,728.6,252.0,617.3,657.7,743.5,586.2,675.3,433.3,297.0,594.2,411.9,782.0,281.9,214.3,337.9,249.0,224.6,203.6,331.4,435.3,683.2,175.6,663.9,649.1,524.8,769.1,504.8,814.0,268.1,487.5,774.0,200.5,507.6,716.8,641.8,384.7,326.3,745.2,753.9,637.0,610.2,205.1,637.8,437.5,648.6,617.7,257.1,599.5,144.6,707.2,572.2,487.5,678.7,361.6,487.5,211.5,561.0,738.9,810.4,358.9,757.5,539.1,819.7,811.8,692.7,461.4,767.0,686.0,442.9,740.7,801.8,628.9,112.7,149.6,736.5,447.0,402.7,505.0,361.6,691.1,362.3,698.8,747.0,331.3,670.3,672.8,500.0,550.5,652.2,617.4,221.1,155.6,225.5,792.7,604.1,790.3,353.8,832.9,547.3,194.5,131.8,200.9,618.9,386.4,726.2,713.5,238.1,644.5,1511.0,811.5,716.4,244.2,594.7,401.4,83.2,566.6
DI,492.7,250.8,285.6,382.8,724.3,756.0,342.4,327.9,417.0,391.7,518.5,546.1,293.6,341.8,0.0,445.2,329.7,625.6,326.4,548.8,370.9,461.2,417.0,497.5,287.2,410.0,312.3,529.7,679.0,268.5,288.7,353.1,197.3,299.0,243.3,206.8,141.5,647.7,239.8,494.3,470.5,238.0,582.2,218.0,778.5,244.8,145.3,514.1,274.9,238.6,430.0,606.3,182.2,400.7,722.3,552.9,350.2,440.6,241.9,511.3,312.9,479.0,448.1,331.5,312.7,244.1,604.2,303.2,145.3,713.4,348.2,145.3,285.9,516.6,712.7,723.4,72.1,470.7,252.3,532.9,525.0,589.7,190.1,664.0,516.4,555.9,453.9,698.8,342.1,380.3,340.4,535.5,175.7,278.1,162.8,237.0,588.1,466.6,529.2,447.8,238.6,446.8,386.0,258.9,281.5,509.3,438.8,295.5,230.0,299.9,532.8,577.9,687.3,173.8,729.9,265.4,445.6,382.9,357.9,332.1,99.6,439.4,623.1,314.1,465.9,1484.8,743.0,613.4,318.6,568.5,291.3,110.2,279.8
DL,42.5,689.5,447.5,746.1,363.6,395.3,183.9,691.2,780.3,755.0,72.1,178.6,656.9,705.1,438.6,0.0,768.4,258.1,689.7,188.1,361.0,177.4,83.3,47.3,725.9,773.3,751.0,893.0,311.5,631.8,652.0,687.8,636.0,662.3,666.4,368.7,580.2,280.2,603.1,126.8,24.1,399.9,214.7,305.8,411.0,683.5,584.0,207.9,638.2,677.3,166.2,238.8,620.9,764.0,354.8,210.3,156.0,73.1,667.9,84.7,303.0,111.5,80.6,694.8,302.8,607.4,236.7,741.9,584.0,345.9,711.5,584.0,649.2,149.1,401.2,362.7,398.4,206.9,233.2,269.1,261.2,222.2,628.8,296.5,148.9,919.2,190.1,331.3,183.6,743.6,703.7,192.9,614.4,157.4,601.5,326.3,220.6,829.9,161.7,180.9,671.3,104.2,330.4,697.6,720.2,59.1,7.7,658.8,593.3,663.2,226.6,266.4,319.8,612.5,362.4,704.1,642.7,580.0,721.2,182.1,331.2,175.6,255.6,677.4,15.7,1323.2,382.3,245.9,681.9,257.0,700.3,473.5,269.9
DS,813.6,177.9,606.5,648.3,1045.2,1076.9,663.3,506.5,370.2,344.9,839.4,867.0,531.4,607.3,320.8,766.1,0.0,946.5,430.6,869.7,691.8,782.1,737.9,818.4,322.5,587.4,104.1,483.4,999.9,329.0,490.8,280.2,232.6,493.9,278.6,527.7,179.3,968.6,513.5,815.2,791.4,558.9,903.1,538.9,1099.4,280.1,225.0,835.0,504.5,165.7,750.9,927.2,217.5,578.1,1043.2,873.8,671.1,761.5,277.2,832.2,633.8,799.9,769.0,481.9,633.6,332.4,925.1,230.3,225.0,1034.3,378.3,225.0,584.1,837.5,1033.6,1044.3,393.0,791.6,573.2,853.8,845.9,910.6,169.5,984.9,837.3,509.6,774.8,1019.7,663.0,645.8,519.0,856.4,177.0,599.0,210.9,557.9,909.0,420.3,850.1,768.7,273.9,767.7,706.9,186.0,208.6,830.2,759.7,469.0,528.2,598.1,853.7,898.8,1008.2,253.5,1050.8,63.1,711.1,648.4,439.2,653.0,420.5,760.3,944.0,441.8,786.8,1805.7,1063.9,934.3,616.8,889.4,218.4,460.0,600.7
DU,344.0,855.3,598.3,642.5,336.6,368.3,395.7,551.5,721.3,766.0,306.0,130.5,672.4,562.2,650.4,296.5,952.0,0.0,705.2,233.5,572.8,389.2,244.4,312.4,784.3,788.8,934.6,798.0,58.8,642.8,667.5,698.8,722.8,677.8,677.4,580.5,786.3,428.5,618.6,336.6,273.6,611.7,422.1,517.6,467.0,741.9,795.8,446.7,653.7,860.9,378.0,387.1,735.7,779.5,410.8,426.6,367.8,282.9,678.9,286.2,514.8,321.3,290.4,710.3,514.6,618.4,82.7,925.5,795.8,306.1,722.5,795.8,664.7,286.5,458.8,335.7,610.2,418.7,445.0,480.9,473.0,96.6,812.4,38.3,358.7,824.2,401.9,138.1,395.4,640.0,535.7,409.2,798.0,369.2,817.9,538.1,180.8,734.9,371.5,392.7,682.3,343.0,542.2,860.9,903.8,300.6,290.1,674.3,608.8,678.7,465.4,324.0,67.1,824.3,105.6,887.7,552.6,489.9,722.9,393.9,543.0,387.4,215.8,692.9,317.2,1233.1,355.3,99.7,697.4,314.6,762.3,614.4,481.7
DV,703.1,325.9,496.8,252.8,851.9,883.6,553.6,126.5,187.3,87.6,720.5,708.2,110.2,177.8,266.5,656.4,525.4,787.7,0.0,676.4,582.1,672.4,628.2,707.9,357.7,226.6,508.0,300.5,841.1,216.2,105.3,272.2,296.2,97.6,250.8,418.0,359.7,742.3,100.0,705.5,681.7,449.2,793.4,429.2,873.1,315.3,411.9,725.3,91.5,339.1,641.2,700.9,309.1,217.3,816.9,764.1,561.4,651.8,252.3,722.5,524.1,690.2,659.3,148.1,523.9,191.8,766.3,403.7,411.9,737.8,295.9,411.9,102.5,620.1,798.0,872.0,283.3,681.9,463.5,744.1,736.2,751.8,385.8,826.1,727.6,326.7,665.1,860.9,553.3,250.3,139.0,746.7,371.4,489.3,429.4,448.2,750.2,246.1,740.4,659.0,255.7,658.0,597.2,331.5,382.0,720.5,650.0,38.3,87.8,116.5,744.0,663.2,849.4,440.4,892.0,461.1,304.5,241.8,163.9,543.3,310.8,650.6,785.2,11.2,677.1,1570.1,870.6,775.5,108.3,653.8,232.9,169.8,491.0
ED,250.9,799.3,557.3,642.8,273.8,305.5,293.7,551.8,721.6,766.3,194.8,296.3,672.7,657.3,548.4,194.0,878.2,298.3,705.5,0.0,470.8,287.2,142.4,210.4,784.6,789.1,860.8,798.3,331.5,643.1,667.8,699.1,745.8,678.1,677.7,478.5,690.0,326.5,618.9,290.4,171.6,509.7,412.4,415.6,457.3,742.2,693.8,346.6,654.0,787.1,276.0,285.1,730.7,779.8,401.1,349.0,265.8,236.7,679.2,184.2,412.8,275.1,244.2,710.6,412.6,618.7,248.5,851.7,693.8,322.0,722.8,693.8,665.0,204.3,356.8,272.9,508.2,316.7,343.0,378.9,371.0,262.4,738.6,259.9,312.5,824.5,299.9,334.8,293.4,640.3,536.0,331.6,724.2,267.2,711.3,436.1,334.4,743.9,325.3,290.7,682.6,242.9,440.2,807.4,830.0,198.6,202.9,674.6,609.1,679.0,365.3,222.0,323.2,722.3,302.3,813.9,552.9,490.2,723.2,291.9,441.0,285.4,369.4,691.6,224.9,1233.4,292.5,265.5,697.7,212.6,762.6,583.3,379.7
EE,399.2,635.1,393.1,691.7,630.8,662.5,248.9,636.8,725.9,700.6,425.0,452.6,602.5,650.7,384.2,351.7,714.0,532.1,635.3,455.3,0.0,367.7,323.5,404.0,671.5,718.9,696.6,838.6,585.5,577.4,597.6,633.4,581.6,607.9,612.0,314.3,525.8,554.2,548.7,400.8,377.0,345.5,488.7,251.4,685.0,629.1,529.6,420.6,583.8,622.9,336.5,512.8,566.5,709.6,628.8,459.4,256.7,347.1,613.5,417.8,47.9,385.5,354.6,640.4,48.1,553.0,510.7,687.5,529.6,619.9,657.1,529.6,594.8,423.1,668.4,629.9,344.0,377.2,116.9,439.4,431.5,496.2,574.4,570.5,422.9,864.8,360.4,605.3,248.6,689.2,649.3,442.0,560.0,184.6,547.1,271.9,494.6,775.5,435.7,354.3,616.9,353.3,292.5,643.2,665.8,415.8,345.3,604.4,538.9,608.8,439.3,533.6,593.8,558.1,636.4,649.7,754.5,691.8,666.8,238.6,276.8,345.9,529.6,623.0,372.4,1649.5,649.5,519.9,627.5,524.2,645.9,419.1,81.0
EG,228.9,689.5,447.5,746.1,483.8,515.5,183.9,691.2,780.3,755.0,309.0,282.3,656.9,705.1,438.6,181.4,768.4,361.8,689.7,308.3,361.0,0.0,184.8,315.4,725.9,773.3,751.0,893.0,415.2,631.8,652.0,687.8,636.0,662.3,666.4,368.7,580.2,383.9,603.1,230.5,276.6,399.9,318.4,305.8,514.7,683.5,584.0,232.3,638.2,677.3,148.2,342.5,620.9,764.0,458.5,289.1,156.0,176.8,667.9,289.2,303.0,215.2,184.3,694.8,302.8,607.4,340.4,741.9,584.0,449.6,711.5,584.0,649.2,252.8,521.4,482.9,398.4,188.9,233.2,251.1,243.2,325.9,628.8,400.2,252.6,919.2,172.1,435.0,183.6,743.6,703.7,271.7,614.4,157.4,601.5,326.3,324.3,829.9,265.4,180.9,671.3,183.0,330.4,697.6,720.2,303.6,175.0,658.8,593.3,663.2,251.0,386.6,423.5,612.5,466.1,704.1,808.9,746.2,721.2,182.1,331.2,157.6,359.3,677.4,202.1,1443.4,502.5,349.6,681.9,377.2,700.3,473.5,269.9
FE,180.1,656.8,414.8,713.4,307.2,338.9,151.2,658.5,747.6,722.3,132.4,199.7,624.2,672.4,405.9,122.4,735.7,279.2,657.0,131.7,328.3,144.7,0.0,138.8,693.2,740.6,718.3,860.3,332.6,599.1,619.3,655.1,603.3,629.6,633.7,336.0,547.5,314.5,570.4,147.9,100.0,367.2,235.8,273.1,445.3,650.8,551.3,204.1,605.5,644.6,133.5,273.1,588.2,731.3,389.1,206.5,123.3,94.2,635.2,112.6,270.3,132.6,101.7,662.1,270.1,574.7,324.0,709.2,551.3,367.0,678.8,551.3,616.5,170.2,344.8,306.3,365.7,174.2,200.5,236.4,228.5,243.3,596.1,335.4,170.0,886.5,157.4,352.4,150.9,710.9,671.0,189.1,581.7,124.7,568.8,293.6,241.7,797.2,182.8,148.2,638.6,100.4,297.7,664.9,687.5,127.0,131.3,626.1,560.6,630.5,222.8,210.0,340.9,579.8,377.8,671.4,586.3,523.6,688.5,149.4,298.5,142.9,276.7,644.7,153.3,1266.8,325.9,341.0,649.2,200.6,667.6,440.8,237.2
FJ,47.8,752.8,511.6,810.2,380.2,411.9,248.0,755.3,844.4,818.3,113.8,242.7,721.0,611.6,502.7,49.1,832.5,322.2,753.8,204.7,425.1,241.5,147.4,0.0,790.0,836.6,814.3,957.1,375.6,695.9,716.1,751.9,699.3,726.4,729.7,432.8,644.3,344.3,667.2,190.9,78.4,464.0,278.8,369.9,475.1,746.8,648.1,272.0,701.5,741.4,230.3,302.9,685.0,828.1,418.1,274.4,220.1,137.2,731.2,37.3,366.3,175.6,144.7,758.9,366.9,670.7,300.8,806.0,648.1,410.0,775.6,648.1,713.3,213.2,417.8,397.8,462.5,271.0,297.3,333.2,325.3,286.3,692.9,360.6,213.0,982.5,254.2,395.4,247.7,807.7,642.4,257.0,678.5,220.7,664.8,389.6,283.9,902.7,225.8,245.0,735.4,168.3,394.5,761.7,784.3,11.8,71.0,722.9,657.4,727.3,290.7,283.8,383.9,675.8,450.8,768.2,659.3,596.6,784.5,246.2,395.3,239.7,318.9,739.9,32.2,1339.8,398.9,414.0,745.2,273.6,764.4,536.8,334.0
