from_stop,AC,AG,AJ,AT,AV,AW,AY,AZ,BB,BM,BN,BX,BZ,CC,CD,CG,CI,CK,CL,CQ,CS,CY,DB,DM,DN,DT,DZ,ED,EG,EN,EO,EP,ER,ES,FF,FO,FQ,FU,FX,FY,FZ,GC,GD,GE,GF,GI,GJ,GL,GM,GO,HH,HI,HQ,HW,IA,IB,II,IJ,IM,IU,JF,JH,JM,JN,JP,JR,JS,JT,JU,JZ,KE,KH,KJ,KN,KO,KQ,KS,KT,KW,KY,LD,LJ,LL,LX,LZ,MH,MM,MN,MV,NO,NT,NW,NX,NY,OA,OB,OD,OG,OI,OO,OY,PC,PD,PE,PI,PK,PO,PR,PT,PY,QC,QD,QE,QF,QG,QL,QP,QZ,RB,RC,RF,RG,RN,RR,RV,SH,SI,SM,SR,SZ,TA,TE,TM,TU,TY,UB,UE,UL,UN,UP,UR,UV,VB,VF,VH,VL,VM,VN,VT,VU,VW,VX,VY,WF,WH,WS,WT,WW,WY,XE,XM,XQ,XT,XY,YE,YN,YS,YV,YX,YY,YZ,ZB,ZE,ZH,ZK,ZQ,ZU,ZW,ZX
GL,962.3,263.1,1216.5,212.1,364.8,9.0,1080.5,722.0,405.6,279.6,250.2,1118.8,432.6,1094.7,1161.3,1038.3,433.2,190.1,42.9,427.4,1138.6,1183.2,326.7,609.0,154.6,40.7,1216.4,696.6,454.3,638.1,875.7,580.7,340.7,132.2,1157.2,392.0,484.8,226.3,427.6,88.4,1057.5,327.0,268.1,982.0,768.1,448.6,337.1,0.0,1130.4,407.1,341.1,474.6,975.9,287.3,1098.0,872.5,1222.0,424.3,473.4,443.5,1105.5,662.8,362.0,483.2,224.9,354.0,430.9,868.6,490.7,754.7,429.4,1133.7,1042.1,0.1,397.0,834.1,1027.5,1299.1,1010.0,421.0,1238.9,306.8,414.2,46.4,633.5,632.0,112.7,952.3,833.4,1288.9,54.9,313.7,561.5,673.2,1057.7,396.0,1165.9,1142.1,1175.0,1237.0,1117.7,1101.4,274.7,1237.0,463.0,375.6,1101.3,287.3,1133.4,18.0,1161.9,1152.7,442.2,1057.1,1219.8,718.1,415.1,422.2,951.7,515.8,1131.4,1113.5,1005.2,425.7,626.6,1059.5,891.8,248.4,1214.6,717.3,776.3,420.2,413.5,907.5,60.3,1325.9,1123.3,1160.4,1314.0,806.7,416.5,673.8,1139.6,1278.4,723.6,949.5,1056.5,400.2,468.0,478.5,43.6,849.6,472.5,864.9,288.7,969.3,1191.8,430.6,1146.6,1255.4,436.3,362.8,550.2,1090.3,1016.1,485.4,860.8,593.6,445.8,1171.8,436.7,1278.0,1280.8,886.3,311.1,621.8,1142.0,1266.7,609.7
GM,163.1,1043.7,163.2,946.6,1041.2,1162.7,208.7,499.5,1137.2,847.2,1030.8,131.4,1167.1,45.5,335.6,87.0,1162.4,951.2,1161.9,1160.0,155.6,141.0,798.2,527.3,1052.0,1090.1,174.2,487.4,1188.8,637.3,441.1,555.6,784.2,1169.9,285.4,1126.5,1219.3,1006.9,1162.1,1106.7,360.0,852.9,944.5,289.7,427.8,1183.1,1071.6,1153.6,0.0,1187.7,1121.7,766.3,192.4,1021.8,366.8,317.3,234.6,1158.8,1208.7,1178.0,63.3,610.2,848.1,1217.7,985.3,1030.4,1211.5,419.0,1225.2,429.6,1210.0,296.6,125.8,1153.8,1131.5,403.3,244.0,236.9,332.9,1155.5,185.6,1041.3,1148.7,1084.4,546.3,543.6,1013.5,484.9,391.4,235.6,1075.9,1048.2,593.5,484.8,141.4,944.9,348.1,408.8,357.2,183.7,53.7,299.7,1035.1,1153.8,1197.5,1115.6,325.1,1067.9,69.4,1154.6,119.7,334.9,1176.7,500.8,166.5,1009.8,1146.5,1156.7,322.4,1250.3,365.5,124.8,217.9,1201.4,583.5,607.0,273.9,877.6,396.8,679.4,395.1,1154.7,1148.0,472.9,1102.6,272.6,373.6,118.2,260.7,340.1,1151.0,488.9,390.4,225.1,438.2,258.2,83.7,1180.8,1202.5,770.2,1129.0,389.6,1228.3,298.3,1069.3,185.8,382.6,1196.5,404.2,202.1,839.9,1097.3,604.8,310.8,503.7,1219.9,384.6,542.7,1180.3,184.4,1171.2,224.7,227.5,426.3,1091.7,514.5,78.0,213.4,552.0
GO,1043.6,233.5,1297.8,339.7,553.6,438.4,1161.8,816.2,217.6,360.9,180.1,1200.1,244.6,1176.0,1242.6,1119.6,442.5,271.4,437.6,276.4,1224.3,1264.5,408.0,690.3,267.5,365.8,1297.7,777.9,106.8,719.4,969.9,662.0,422.0,463.6,1238.5,204.0,296.8,224.4,130.4,382.4,1138.8,408.3,456.9,1063.3,849.4,463.2,352.3,429.3,1211.7,0.0,115.9,555.9,1057.2,264.5,1179.3,953.8,1303.3,275.2,324.3,255.5,1186.8,744.1,443.3,295.2,418.0,542.8,23.8,962.8,302.7,836.0,22.3,1215.0,1123.4,429.5,209.0,915.4,1108.8,1371.5,1091.3,368.8,1320.2,322.0,375.1,360.1,714.8,713.3,305.8,1046.5,927.6,1370.2,351.6,328.9,642.8,754.5,1139.0,477.3,1260.1,1223.4,1269.2,1318.3,1199.0,1195.6,467.8,1430.1,275.0,181.3,1182.6,182.7,1214.7,442.9,1243.2,1246.9,119.5,1151.3,1301.1,799.4,385.2,139.5,1033.0,375.1,1212.7,1194.8,1086.5,94.8,707.9,1153.7,973.1,329.7,1308.8,798.6,870.5,232.2,148.2,1001.7,396.3,1407.2,1204.6,1241.7,1395.3,888.0,249.5,768.0,1220.9,1359.7,817.8,1030.8,1137.8,6.8,417.0,559.8,417.3,943.8,65.3,946.2,142.1,1050.6,1273.1,99.7,1227.9,1336.7,517.6,378.0,631.5,1184.5,1110.3,297.4,942.1,674.9,365.2,1253.1,287.6,1359.3,1362.1,980.5,143.2,703.1,1223.3,1348.0,691.0
HH,964.3,154.2,1218.5,214.1,474.3,359.1,1082.5,736.9,224.0,281.6,100.8,1120.8,251.0,1096.7,1163.3,1040.3,435.2,192.1,358.3,284.7,1140.6,1185.2,328.7,611.0,188.2,286.5,1218.4,698.6,189.5,640.1,890.6,582.7,342.7,384.3,1159.2,210.4,303.2,145.1,213.1,303.1,1059.5,329.0,377.6,984.0,770.1,450.6,339.1,350.0,1132.4,82.6,0.0,476.6,977.9,270.9,1100.0,874.5,1224.0,281.6,330.7,261.9,1107.5,664.8,364.0,301.6,338.7,463.5,106.4,883.5,309.1,756.7,104.9,1135.7,1044.1,350.2,215.4,836.1,1029.5,1301.1,1012.0,375.2,1240.9,308.8,381.5,280.8,635.5,634.0,226.5,967.2,848.3,1290.9,272.3,315.7,563.5,675.2,1059.7,398.0,1180.8,1144.1,1189.9,1239.0,1119.7,1116.3,388.5,1350.8,281.4,264.0,1103.3,103.4,1135.4,363.6,1163.9,1167.6,125.9,1072.0,1221.8,720.1,391.6,145.9,953.7,381.5,1133.4,1115.5,1007.2,101.2,628.6,1074.4,893.8,250.4,1229.5,719.3,791.2,238.6,154.6,922.4,317.0,1327.9,1125.3,1162.4,1316.0,808.7,305.3,688.7,1141.6,1280.4,738.5,951.5,1058.5,75.7,423.4,480.5,338.0,864.5,148.0,866.9,62.8,971.3,1193.8,106.1,1148.6,1257.4,438.3,364.8,552.2,1105.2,1031.0,303.8,862.8,595.6,371.6,1173.8,294.0,1280.0,1282.8,901.2,63.9,623.8,1144.0,1268.7,611.7
HI,615.9,385.6,870.1,288.5,383.1,499.6,734.1,388.5,482.0,189.1,372.7,772.4,509.0,748.3,814.9,691.9,504.3,293.1,498.8,501.9,792.2,836.8,140.1,262.6,328.7,427.0,870.0,350.2,530.7,291.7,542.2,234.3,126.1,524.8,810.8,468.4,561.2,348.8,504.0,443.6,711.1,194.8,286.4,635.6,421.7,525.0,413.5,490.5,784.0,529.6,463.6,0.0,629.5,363.7,751.6,526.1,875.6,500.7,549.8,519.9,759.1,316.4,190.0,559.6,306.6,372.3,553.4,535.1,567.1,408.3,551.9,787.3,695.7,490.7,473.4,487.7,681.1,943.8,663.6,497.4,892.5,383.2,490.6,421.3,287.1,285.6,367.0,618.8,499.9,942.5,412.8,390.1,215.1,326.8,711.3,286.8,832.4,795.7,841.5,890.6,771.3,767.9,347.1,1094.8,539.4,457.5,754.9,409.8,787.0,504.1,815.5,819.2,518.6,723.6,873.4,243.4,488.4,498.6,605.3,592.2,785.0,767.1,658.8,543.3,280.2,726.0,545.4,219.5,881.1,370.9,442.8,496.6,489.9,574.0,457.5,979.5,776.9,814.0,967.6,460.3,492.9,340.3,793.2,932.0,390.1,603.1,710.1,522.7,544.4,3.8,478.5,516.1,570.2,518.5,411.2,622.9,845.4,538.4,800.2,909.0,181.8,439.2,203.8,756.8,682.6,561.8,514.4,247.2,522.2,825.4,513.1,931.6,934.4,552.8,433.6,275.4,795.6,920.3,263.3
HQ,40.5,907.9,279.9,810.8,905.4,1021.9,325.4,384.1,1001.4,711.4,895.0,248.1,1031.3,147.4,452.3,116.5,1026.6,815.4,1019.9,1024.2,272.3,217.9,662.4,391.5,851.0,949.3,251.1,355.7,1053.0,501.5,476.0,419.8,648.4,1046.0,402.1,990.7,1083.5,871.1,1026.3,965.9,476.7,717.1,808.7,131.4,269.5,1047.3,935.8,1012.8,183.1,1051.9,985.9,630.5,0.0,886.0,483.5,159.0,351.3,1024.0,1072.1,1042.2,140.2,474.4,712.3,1081.9,828.9,894.6,1075.7,404.6,1089.4,297.9,1074.2,413.3,120.3,1013.0,995.7,253.6,51.5,353.6,449.6,1019.7,302.3,905.5,1012.9,943.6,430.9,407.8,889.6,601.6,508.1,352.3,935.1,912.4,478.1,353.1,135.9,809.1,464.8,525.5,473.9,300.4,170.4,416.4,911.2,1063.0,1061.7,979.8,441.8,932.1,186.1,1030.7,196.6,451.6,1040.9,617.5,283.2,874.0,1010.7,1020.9,164.1,1114.5,482.2,219.7,334.6,1065.6,447.7,723.7,115.6,741.8,513.5,564.0,429.0,1018.9,1012.2,507.8,978.7,389.3,490.3,195.1,377.4,181.8,1015.2,373.5,507.1,341.8,376.3,99.9,178.6,1045.0,1066.7,634.4,1005.1,506.3,1092.5,140.0,933.5,7.5,499.3,1060.7,520.9,318.8,704.1,961.5,489.4,427.5,620.4,1084.1,226.3,406.9,1044.5,301.1,1035.4,341.4,344.2,543.0,955.9,378.7,187.1,330.1,436.6
HW,863.1,190.0,1117.3,75.1,373.1,304.0,981.3,635.7,118.2,180.4,177.1,1019.6,145.2,995.5,1062.1,939.1,183.8,97.5,303.2,140.0,1039.4,1084.0,227.5,509.8,133.1,231.4,1117.2,597.4,166.9,538.9,789.4,481.5,241.5,329.2,1058.0,104.6,197.4,153.2,140.2,248.0,958.3,227.8,276.4,882.8,668.9,199.2,87.7,294.9,1031.2,260.7,268.0,375.4,876.7,0.0,998.8,773.3,1122.8,136.9,186.0,156.1,1006.3,563.6,262.8,195.8,283.6,362.3,236.9,782.3,203.3,655.5,238.4,1034.5,942.9,295.1,109.6,734.9,928.3,1199.9,910.8,171.6,1139.7,57.4,164.8,225.7,534.3,532.8,171.4,866.0,747.1,1189.7,217.2,64.3,462.3,574.0,958.5,296.8,1079.6,1042.9,1088.7,1137.8,1018.5,1015.1,333.4,1295.7,175.6,88.2,1002.1,214.2,1034.2,308.5,1062.7,1066.4,154.8,970.8,1120.6,618.9,165.7,134.8,852.5,236.8,1032.2,1014.3,906.0,179.5,527.4,973.2,792.6,149.2,1128.3,618.1,690.0,132.8,126.1,821.2,261.9,1226.7,1024.1,1061.2,1214.8,707.5,129.1,587.5,1040.4,1179.2,637.3,850.3,957.3,267.6,218.6,379.3,282.9,763.3,206.4,765.7,215.6,870.1,1092.6,174.6,1047.4,1156.2,337.1,113.4,451.0,1004.0,929.8,198.0,761.6,494.4,226.9,1072.6,149.3,1178.8,1181.6,800.0,238.0,522.6,1042.8,1167.5,510.5
IA,435.0,955.2,337.5,858.1,952.7,1042.5,150.1,379.3,1048.7,758.7,942.3,239.8,1078.6,317.4,63.2,358.9,1073.9,862.7,1041.7,1073.4,251.0,397.9,709.7,441.0,931.8,969.9,446.1,367.2,1100.3,551.0,126.6,469.3,695.7,1049.7,79.5,1038.0,1130.8,918.4,1073.6,986.5,45.5,764.4,856.0,484.1,372.1,1094.6,983.1,1033.4,358.3,1099.2,1033.2,677.8,464.3,933.3,0.0,374.6,233.0,1070.3,1120.2,1089.5,335.2,523.9,759.6,1129.2,865.1,941.9,1123.0,298.8,1136.7,309.4,1121.5,68.0,397.7,1033.6,1043.0,283.1,515.9,411.2,152.8,1067.0,359.9,952.8,1060.2,964.2,426.1,457.3,893.3,203.2,271.2,409.9,955.7,959.7,473.3,364.6,413.3,856.4,204.5,44.0,213.6,358.0,296.2,156.1,914.9,898.2,1109.0,1027.1,35.6,979.4,282.7,1034.4,391.6,191.3,1088.2,357.2,340.8,921.3,1058.0,1068.2,453.8,1161.8,33.3,396.7,230.7,1112.9,497.2,310.4,393.9,789.1,253.2,559.2,274.9,1066.2,1059.5,158.4,982.4,446.9,25.2,375.1,435.0,308.8,1062.5,368.7,62.5,399.4,318.0,451.6,355.6,1092.3,1114.0,681.7,1008.8,269.4,1139.8,367.0,980.8,457.7,93.7,1108.0,48.5,376.4,751.4,1008.8,484.6,167.2,267.0,1131.4,362.9,456.4,1091.8,284.7,1082.7,399.0,401.8,306.1,1003.2,428.2,329.5,387.7,431.8
IB,131.4,810.5,370.8,713.4,808.0,924.5,416.3,286.7,906.9,614.0,797.6,339.0,933.9,238.3,543.2,207.4,934.5,718.0,923.7,928.7,358.8,308.8,565.0,294.1,753.6,851.9,342.0,258.3,955.6,404.1,378.6,322.4,551.0,948.6,493.0,893.3,986.1,773.7,928.9,868.5,371.1,619.7,711.3,151.1,172.1,949.9,838.4,915.4,274.0,954.5,888.5,533.1,145.0,788.6,411.6,0.0,442.2,925.6,974.7,944.8,231.1,377.0,614.9,984.5,731.5,797.2,978.3,307.2,992.0,200.5,976.8,504.2,211.2,915.6,898.3,156.2,196.6,453.4,323.6,922.3,393.2,808.1,915.5,846.2,333.5,310.4,792.2,455.2,388.7,443.2,837.7,815.0,380.7,255.7,226.8,711.7,555.7,455.7,564.8,391.3,261.3,507.3,813.8,965.6,964.3,876.9,414.9,834.7,277.0,933.3,287.5,542.5,943.5,560.0,374.1,776.6,916.4,923.5,120.8,1017.1,445.0,310.6,318.8,968.2,350.3,562.4,60.9,644.4,604.4,466.6,331.6,921.5,914.8,410.4,881.3,480.2,436.9,286.0,468.3,84.4,917.8,276.1,453.2,432.7,278.9,118.6,269.5,947.6,969.3,537.0,907.7,355.3,995.1,42.6,836.1,138.4,590.2,963.3,460.2,409.7,606.7,864.1,392.0,518.4,519.0,986.7,128.9,309.5,947.1,392.0,938.0,432.3,435.1,392.0,858.5,281.3,278.0,421.0,339.2
II,292.6,1061.7,195.1,964.6,1059.2,1149.0,195.0,485.8,1158.1,865.2,1048.8,91.0,1185.1,175.0,171.0,216.5,1185.7,969.2,1148.2,1179.9,71.9,255.5,816.2,547.5,1038.3,1076.4,303.7,473.7,1206.8,657.5,362.2,575.8,802.2,1156.2,271.7,1144.5,1237.3,1024.9,1180.1,1093.0,282.8,870.9,962.5,419.2,478.6,1201.1,1089.6,1139.9,215.9,1205.7,1139.7,784.3,321.9,1039.8,237.2,446.8,0.0,1176.8,1225.9,1196.0,192.8,630.4,866.1,1235.7,971.6,1048.4,1229.5,405.3,1243.2,415.9,1228.0,282.9,255.3,1140.1,1149.5,389.6,373.5,277.7,319.2,1173.5,217.5,1059.3,1166.7,1070.7,532.6,563.8,999.8,320.3,404.0,267.5,1062.2,1066.2,579.8,471.1,270.9,962.9,183.5,248.1,192.6,215.6,153.8,135.1,1021.4,970.3,1215.5,1128.1,272.9,1085.9,140.3,1140.9,249.2,170.3,1194.7,336.2,198.4,1027.8,1167.6,1174.7,451.9,1268.3,200.9,254.3,204.2,1219.4,603.7,435.9,403.4,895.6,232.2,665.7,381.4,1172.7,1166.0,328.6,1088.9,304.5,209.0,232.7,292.6,415.3,1169.0,475.2,266.6,257.0,424.5,387.7,213.2,1198.8,1220.5,788.2,1115.3,375.9,1246.3,427.8,1087.3,315.3,218.0,1214.5,252.6,234.0,857.9,1115.3,591.1,146.2,339.1,1237.9,469.4,562.9,1198.3,83.7,1189.2,256.6,259.4,412.6,1109.7,534.7,187.1,245.3,538.3
IJ,1009.7,336.6,1264.9,221.7,519.7,450.6,1128.9,782.3,115.6,327.0,323.7,1166.2,145.5,1142.1,1208.7,1085.7,167.2,244.1,449.7,90.4,1190.4,1230.6,374.1,656.4,279.7,378.0,1263.8,744.0,218.7,685.5,936.0,628.1,388.1,475.8,1204.6,104.9,197.7,299.8,192.0,394.6,1104.9,374.4,424.0,1029.4,815.5,186.9,208.2,441.5,1177.8,286.1,305.8,522.0,1024.3,146.5,1145.4,919.9,1269.4,0.0,68.5,156.4,1152.9,710.2,409.4,196.1,430.2,508.9,288.7,928.9,203.6,802.1,290.2,1181.1,1089.5,441.7,109.9,881.5,1074.9,1337.6,1057.4,92.5,1286.3,195.6,99.8,372.3,680.9,679.4,318.0,1012.6,893.7,1336.3,363.8,188.7,608.9,720.6,1105.1,443.4,1226.2,1189.5,1235.3,1284.4,1165.1,1161.7,480.0,1442.3,175.9,145.5,1148.7,360.8,1180.8,455.1,1209.3,1213.0,155.1,1117.4,1267.2,765.5,113.0,135.1,999.1,99.8,1178.8,1160.9,1052.6,179.8,674.0,1119.8,939.2,295.8,1274.9,764.7,836.6,133.8,126.4,968.8,408.5,1373.3,1170.7,1207.8,1361.4,854.1,180.9,734.1,1187.0,1325.8,783.9,996.9,1104.9,280.2,141.7,525.9,429.5,909.9,258.2,912.3,332.0,1016.7,1239.2,174.9,1194.0,1302.8,483.7,177.9,597.6,1150.6,1076.4,198.3,908.2,641.0,89.9,1219.2,101.6,1325.4,1328.2,946.6,333.1,669.2,1189.4,1314.1,657.1
IM,1079.1,406.8,1333.3,291.1,589.1,520.0,1197.3,851.7,185.0,396.4,393.1,1235.6,214.9,1211.5,1278.9,1155.1,235.3,313.5,519.1,159.8,1259.8,1300.0,443.5,725.8,349.1,447.4,1333.2,813.4,288.1,754.9,1005.4,697.5,457.5,545.2,1274.0,174.3,267.9,369.2,261.4,464.0,1174.3,443.8,492.4,1098.8,884.9,256.0,276.3,510.9,1248.0,355.5,375.2,592.2,1092.7,215.9,1214.8,989.3,1338.8,69.0,0.0,225.8,1222.3,779.6,478.8,265.5,499.6,578.3,358.1,998.3,273.0,871.5,359.6,1250.5,1158.9,511.1,179.3,950.9,1144.3,1407.8,1126.8,161.6,1355.7,263.7,167.9,441.7,750.3,748.8,387.4,1082.0,963.1,1405.7,433.2,256.8,678.3,790.0,1174.5,512.8,1295.6,1258.9,1304.7,1353.8,1234.5,1231.1,549.4,1511.7,245.3,214.9,1218.1,430.2,1250.2,524.5,1278.7,1282.4,224.5,1186.8,1336.6,834.9,181.1,204.5,1068.5,167.9,1248.2,1230.3,1122.0,249.2,743.4,1189.2,1008.6,365.2,1344.3,834.1,906.0,203.2,195.8,1037.2,477.9,1442.7,1240.1,1277.2,1430.8,923.5,250.3,803.5,1256.4,1395.2,853.3,1066.3,1173.3,348.6,209.8,595.3,498.9,979.3,327.6,981.7,401.4,1086.9,1308.6,245.1,1263.4,1372.2,553.1,246.0,667.0,1220.0,1145.8,267.7,977.6,710.4,158.0,1288.6,171.0,1394.8,1397.6,1016.0,402.5,738.6,1258.8,1383.5,726.5
IU,1029.1,356.0,1283.3,241.1,539.1,470.0,1147.3,801.7,116.2,346.4,343.1,1185.6,81.6,1161.5,1228.1,1105.1,349.2,263.5,469.2,179.7,1205.4,1250.0,393.5,675.8,299.1,397.4,1283.2,763.4,238.1,704.9,955.4,647.5,407.5,495.2,1224.0,102.6,149.8,319.2,211.4,414.0,1124.3,393.8,442.4,1048.8,834.9,364.6,253.7,460.9,1197.2,266.6,286.3,541.4,1042.7,165.9,1164.8,939.3,1288.8,176.6,225.7,0.0,1172.3,729.6,428.8,132.2,449.6,528.3,290.4,948.3,167.2,821.5,288.9,1200.5,1108.9,461.1,107.6,900.9,1094.3,1365.9,1076.8,270.2,1305.7,223.4,276.5,391.7,700.3,698.8,337.4,1032.0,913.1,1355.7,383.2,230.3,628.3,740.0,1124.5,462.8,1245.6,1208.9,1254.7,1303.8,1184.5,1181.1,499.4,1461.7,128.0,159.4,1168.1,380.2,1200.2,474.5,1228.7,1232.4,135.6,1136.8,1286.6,784.9,286.6,115.6,1018.5,276.5,1198.2,1180.3,1072.0,160.3,693.4,1139.2,958.6,315.2,1294.3,784.1,856.0,101.0,106.9,987.2,427.9,1392.7,1190.1,1227.2,1380.8,873.5,200.3,753.5,1206.4,1345.2,803.3,1016.3,1123.3,259.7,318.4,545.3,448.9,929.3,277.6,931.7,312.5,1036.1,1258.6,155.4,1213.4,1322.2,503.1,279.4,617.0,1170.0,1095.8,150.4,927.6,660.4,266.6,1238.6,189.0,1344.8,1347.6,966.0,313.6,688.6,1208.8,1333.5,676.5
JF,101.0,999.6,160.9,902.5,997.1,1113.6,206.4,497.2,1096.0,803.1,986.7,129.1,1123.0,28.4,333.3,24.9,1123.6,907.1,1112.8,1117.8,148.9,77.6,754.1,483.2,942.7,1041.0,110.8,485.1,1144.7,593.2,438.8,511.5,740.1,1167.6,283.1,1082.4,1175.2,962.8,1118.0,1057.6,357.7,808.8,900.4,227.6,365.7,1139.0,1027.5,1104.5,64.1,1143.6,1077.6,722.2,130.3,977.7,364.5,255.2,232.3,1114.7,1163.8,1133.9,0.0,566.1,804.0,1173.6,920.6,986.3,1167.4,416.7,1181.1,427.3,1165.9,294.3,63.7,1104.7,1087.4,349.8,181.9,243.5,330.6,1111.4,183.3,997.2,1104.6,1035.3,544.0,499.5,1011.2,482.6,389.1,233.3,1026.8,1004.1,591.2,482.5,79.3,900.8,345.8,406.5,354.9,181.4,51.4,297.4,961.1,1151.5,1153.4,1066.0,322.8,1023.8,67.1,1118.1,56.3,332.6,1132.6,498.5,164.2,965.7,1105.5,1112.6,260.3,1206.2,363.2,80.7,215.6,1157.3,539.4,604.7,211.8,833.5,394.5,677.1,392.8,1110.6,1103.9,470.6,1100.3,270.3,371.3,54.8,258.4,278.0,1106.9,486.6,388.1,222.8,435.9,196.1,39.6,1136.7,1158.4,726.1,1092.5,387.3,1184.2,236.2,1025.2,123.7,380.3,1152.4,401.9,199.8,795.8,1053.2,602.5,308.5,501.4,1175.8,322.5,498.6,1136.2,182.1,1127.1,222.4,225.2,424.0,1047.6,470.4,46.8,211.1,549.7
JH,409.8,563.8,664.0,466.7,561.3,677.8,528.0,354.4,657.3,367.3,550.9,566.3,687.2,542.2,608.8,485.8,682.5,471.3,676.9,680.1,586.1,630.7,318.3,56.5,506.9,605.2,663.9,144.1,708.9,98.3,512.5,80.0,304.3,703.0,604.7,646.6,739.4,527.0,682.2,621.8,505.0,373.0,464.6,429.5,215.6,703.2,591.7,668.7,577.9,707.8,641.8,286.4,423.4,541.9,545.5,320.0,669.5,678.9,728.0,698.1,553.0,0.0,368.2,737.8,484.8,550.5,731.6,448.4,745.3,202.2,730.1,581.2,489.6,668.9,651.6,281.6,475.0,737.7,457.5,675.6,686.4,561.4,668.8,599.5,260.7,79.5,560.1,589.1,465.8,736.4,591.0,568.3,188.7,120.7,505.2,465.0,750.1,589.6,759.2,684.5,565.2,701.7,525.3,1091.0,717.6,635.7,548.8,588.0,580.9,682.3,609.4,736.9,696.8,693.9,667.3,529.9,666.6,676.8,399.2,770.4,578.9,561.0,452.7,721.5,28.3,696.3,339.3,397.7,798.8,344.5,408.7,674.8,668.1,544.3,635.7,773.4,570.8,607.9,761.5,254.2,671.1,306.2,587.1,725.9,356.0,397.0,504.0,700.9,722.6,290.3,656.7,489.2,748.4,312.4,589.4,416.8,639.3,716.6,594.1,702.9,360.0,617.4,177.4,712.8,652.9,740.0,308.3,64.2,700.4,619.3,691.3,725.5,728.3,525.9,611.8,69.3,589.5,714.2,236.9
JM,694.9,270.2,949.1,173.1,267.7,384.2,813.1,467.5,366.6,73.7,257.3,851.4,393.6,827.3,893.9,770.9,394.2,177.7,383.4,388.4,871.2,915.8,59.3,341.6,213.3,311.6,949.0,429.2,415.3,370.7,621.2,313.3,73.3,409.4,889.8,353.0,445.8,233.4,388.6,328.2,790.1,62.2,171.0,714.6,500.7,409.6,298.1,375.1,863.0,414.2,348.2,207.2,708.5,248.3,830.6,605.1,954.6,385.3,434.4,404.5,838.1,395.4,0.0,444.2,191.2,256.9,438.0,614.1,451.7,487.3,436.5,866.3,774.7,375.3,358.0,566.7,760.1,1031.7,742.6,382.0,971.5,267.8,375.2,305.9,366.1,364.6,251.6,697.8,578.9,1021.5,297.4,274.7,294.1,405.8,790.3,171.4,911.4,874.7,920.5,969.6,850.3,846.9,231.7,1173.8,424.0,336.6,833.9,294.4,866.0,388.7,894.5,898.2,403.2,802.6,952.4,450.7,376.1,383.2,684.3,476.8,864.0,846.1,737.8,427.9,359.2,805.0,624.4,104.1,960.1,449.9,521.8,381.2,374.5,653.0,342.1,1058.5,855.9,893.0,1046.6,539.3,377.5,419.3,872.2,1011.0,469.1,682.1,789.1,407.3,429.0,211.1,363.1,595.1,454.8,597.5,295.8,701.9,924.4,423.0,879.2,988.0,168.9,323.8,282.8,835.8,761.6,446.4,593.4,326.2,406.8,904.4,397.7,1010.6,1013.4,631.8,318.2,354.4,874.6,999.3,342.3
JN,1069.1,396.0,1323.3,281.1,579.1,510.0,1187.3,841.7,156.2,386.4,383.1,1225.6,50.5,1201.5,1268.1,1145.1,389.2,303.5,509.2,219.7,1245.4,1290.0,433.5,715.8,339.1,437.4,1323.2,803.4,278.1,744.9,995.4,687.5,447.5,535.2,1264.0,142.6,21.9,359.2,251.4,454.0,1164.3,433.8,482.4,1088.8,874.9,404.6,293.7,500.9,1237.2,306.6,326.3,581.4,1082.7,205.9,1204.8,979.3,1328.8,216.6,265.7,205.1,1212.3,769.6,468.8,0.0,489.6,568.3,330.4,988.3,39.3,861.5,328.9,1240.5,1148.9,501.1,147.6,940.9,1134.3,1405.9,1116.8,310.2,1345.7,263.4,316.5,431.7,740.3,738.8,377.4,1072.0,953.1,1395.7,423.2,270.3,668.3,780.0,1164.5,502.8,1285.6,1248.9,1294.7,1343.8,1224.5,1221.1,539.4,1501.7,26.8,199.4,1208.1,420.2,1240.2,514.5,1268.7,1272.4,175.6,1176.8,1326.6,824.9,326.6,155.6,1058.5,316.5,1238.2,1220.3,1112.0,200.3,733.4,1179.2,998.6,355.2,1334.3,824.1,896.0,95.5,146.9,1027.2,467.9,1432.7,1230.1,1267.2,1420.8,913.5,240.3,793.5,1246.4,1385.2,843.3,1056.3,1163.3,299.7,358.4,585.3,488.9,969.3,317.6,971.7,352.5,1076.1,1298.6,195.4,1253.4,1362.2,543.1,319.4,657.0,1210.0,1135.8,40.5,967.6,700.4,306.6,1278.6,229.0,1384.8,1387.6,1006.0,353.6,728.6,1248.8,1373.5,716.5
