from_stop,AH,AL,AN,AW,BG,BH,BO,BS,BX,BY,CC,CD,CE,CK,DI,DV,EE,FG,GE,GK,GM,GN,GR,HM,HN,HV,HX,ID,IJ,IM,IO,JC,JF,JK,JL,JU,KI,KW,KX,LB,LT,MF,ML,NL,OG,OP,OU,PJ,PM,PO,PS,PY,QL,QN,QO,QX,RC,RQ,RT,RU,RW,SA,SL,SV,SW,TB,TM,TT,UE,UV,UW,UX,VH,VZ,WB,WQ,WX,XN,XS,YA,YM,YQ,YU,ZB,ZE
CC,63.5,682.6,253.9,569.1,516.0,513.8,2750.5,213.7,323.0,135.1,0.0,331.9,341.6,543.8,543.4,468.9,258.2,223.8,516.9,437.8,10.5,278.9,565.0,484.1,522.8,304.9,719.5,266.0,410.6,375.4,659.3,445.3,396.6,369.5,657.8,514.2,27.4,539.3,562.4,454.9,494.7,493.3,849.1,734.9,497.1,290.5,391.9,675.5,350.9,388.6,510.4,255.5,286.1,356.8,504.0,601.5,460.5,535.7,299.7,432.6,578.0,219.5,477.5,249.0,271.1,522.2,482.8,460.0,476.7,880.1,262.8,155.7,248.8,357.6,358.4,414.9,935.9,369.4,535.0,398.5,451.7,577.4,322.1,709.0,644.1
CD,414.3,427.4,183.3,313.9,260.8,258.6,2495.3,143.1,252.4,198.4,350.8,0.0,271.0,288.6,288.2,398.3,187.6,153.2,446.3,367.2,361.3,208.3,309.8,287.7,452.2,163.0,464.3,195.4,340.0,304.8,404.1,374.7,326.0,298.9,402.6,443.6,314.2,468.7,307.2,384.3,239.5,422.7,593.9,479.7,241.9,87.9,321.3,420.3,280.3,318.0,439.8,176.5,215.5,160.4,248.8,346.3,205.3,465.1,229.1,177.4,322.8,99.0,222.3,107.1,200.5,267.0,227.6,204.8,406.1,624.9,192.2,168.3,178.2,102.4,287.8,344.3,680.7,298.8,464.4,327.9,255.3,506.8,251.5,453.8,388.9
CE,417.8,635.5,87.5,522.0,468.9,466.7,2703.4,128.0,151.9,201.9,354.3,284.8,0.0,227.3,496.3,127.2,83.2,117.6,175.2,96.1,364.8,97.2,300.6,437.0,181.1,257.8,672.4,70.4,68.9,42.4,612.2,103.6,54.9,187.8,610.7,171.7,317.7,197.6,515.3,113.2,447.6,151.6,802.0,687.8,450.0,243.4,210.2,628.4,169.2,46.9,168.7,176.3,104.4,319.4,456.9,554.4,413.4,194.0,118.0,385.5,530.9,170.1,430.4,201.9,89.4,475.1,435.7,412.9,135.0,817.9,139.7,171.8,139.9,310.5,176.7,73.2,888.8,187.7,193.3,56.8,404.6,243.5,140.4,661.9,597.0
CK,652.8,537.7,322.5,424.2,263.6,261.4,2605.6,363.0,386.9,436.9,589.3,296.5,234.9,0.0,398.5,110.7,318.2,352.6,359.9,296.6,599.8,332.2,73.2,527.5,354.0,492.8,574.6,305.4,269.4,277.4,514.4,134.3,255.4,422.8,512.9,343.5,552.7,275.8,283.0,191.4,349.8,86.3,704.2,590.0,352.2,327.7,445.2,530.6,404.2,191.0,339.7,402.9,339.4,400.2,359.1,456.6,315.6,341.1,353.0,239.2,433.1,407.4,225.1,436.9,324.4,377.3,230.4,266.6,306.0,735.2,374.7,406.8,374.9,276.3,411.7,164.7,791.0,422.7,271.5,227.8,495.1,380.7,375.4,564.1,499.2
DI,622.3,362.5,391.3,25.7,366.0,363.8,2430.4,351.1,460.4,406.4,558.8,264.7,479.0,393.8,0.0,606.3,395.6,361.2,654.3,572.8,569.3,416.3,365.4,495.7,660.2,371.0,407.5,403.4,548.0,512.8,339.2,582.7,534.0,506.9,337.7,650.8,522.2,676.7,412.4,592.3,92.1,630.7,529.0,414.8,153.0,295.9,529.3,355.4,488.3,526.0,647.8,384.5,423.5,378.1,101.4,198.9,74.6,673.1,437.1,282.6,257.9,307.0,327.5,315.1,408.5,119.6,332.8,310.0,614.1,544.9,400.2,376.3,386.2,244.5,495.8,552.3,615.8,506.8,672.4,535.9,463.3,722.6,459.5,388.9,324.0
DV,542.0,759.7,211.7,646.2,593.1,590.9,2827.6,252.2,276.1,326.1,478.5,409.0,124.1,100.0,620.5,0.0,207.4,241.8,249.1,185.8,489.0,221.4,125.4,561.2,243.2,382.0,796.6,194.6,158.6,166.6,736.4,23.5,144.6,312.0,734.9,232.7,441.9,165.0,639.5,80.6,571.8,24.4,926.2,812.0,574.2,367.6,334.4,752.6,293.4,80.2,228.9,292.1,228.6,443.6,581.1,678.6,537.6,230.3,242.2,509.7,655.1,296.6,554.6,326.1,213.6,599.3,559.9,537.1,195.2,942.1,263.9,296.0,264.1,434.7,300.9,53.9,1013.0,311.9,160.7,117.0,528.8,277.7,264.6,786.1,721.2
EE,334.5,552.2,4.2,438.7,385.6,383.4,2620.1,44.7,64.7,118.6,271.0,201.5,83.3,310.7,413.0,210.6,0.0,34.3,258.6,179.5,281.5,20.6,384.0,353.7,264.5,174.5,589.1,7.7,152.3,117.1,528.9,187.0,138.3,111.2,527.4,255.9,234.4,281.0,432.0,196.6,364.3,235.0,718.7,604.5,366.7,160.1,133.6,545.1,92.6,130.3,252.1,84.6,27.8,226.4,373.6,471.1,330.1,277.4,41.4,302.2,447.6,89.1,347.1,118.6,12.8,391.8,352.4,329.6,218.4,749.7,56.4,88.5,56.6,227.2,100.1,156.6,805.5,111.1,276.7,140.2,321.3,319.1,63.8,578.6,513.7
FG,300.1,517.8,30.0,404.3,351.2,349.0,2585.7,10.3,99.1,84.2,236.6,167.1,117.7,345.1,378.6,245.0,34.3,0.0,293.0,211.5,247.1,55.0,400.2,319.3,298.9,140.1,554.7,42.1,186.7,151.5,494.5,221.4,172.7,145.6,493.0,289.5,200.0,315.4,397.6,231.0,329.9,269.4,684.3,570.1,332.3,125.7,168.0,510.7,127.0,164.7,286.5,50.2,62.2,201.7,339.2,436.7,295.7,311.8,75.8,267.8,413.2,52.4,312.7,84.2,48.0,357.4,318.0,295.2,252.8,700.2,38.9,54.1,22.2,192.8,134.5,191.0,771.1,145.5,311.1,174.6,286.9,361.3,98.2,544.2,479.3
GE,589.3,807.0,259.0,693.5,640.4,638.2,2874.9,299.5,323.4,373.4,525.8,456.3,171.4,314.8,667.8,214.7,254.7,289.1,0.0,233.1,536.3,268.7,388.1,608.5,5.8,429.3,843.9,241.9,205.9,213.9,783.7,191.1,191.9,359.3,782.2,163.3,489.2,148.9,686.8,200.7,619.1,239.1,973.5,859.3,621.5,414.9,381.7,799.9,340.7,134.4,169.1,347.8,275.9,490.9,628.4,725.9,584.9,18.7,289.5,557.0,702.4,341.6,601.9,373.4,260.9,646.6,607.2,584.4,40.9,989.4,311.2,343.3,311.4,482.0,348.2,160.7,1060.3,359.2,198.4,108.1,576.1,68.2,311.9,833.4,768.5
GK,490.5,708.2,160.2,592.4,539.3,539.4,2776.1,200.7,224.6,274.6,427.0,357.5,72.6,285.5,569.0,185.4,155.9,188.0,233.4,0.0,435.2,169.9,310.9,509.7,239.3,328.2,753.2,143.1,72.2,115.1,682.6,161.8,60.5,260.5,683.4,229.9,390.4,255.8,588.0,169.1,520.3,209.8,874.7,760.5,522.7,316.1,282.9,701.1,241.9,105.1,224.6,240.6,177.1,392.1,529.6,627.1,486.1,252.2,188.4,458.2,601.3,242.8,500.8,274.6,162.9,547.8,506.1,483.3,193.2,888.3,210.1,244.5,210.3,380.9,249.4,131.4,961.5,260.4,251.5,112.7,477.3,301.7,210.8,734.6,669.7
GM,52.9,690.5,261.8,577.0,523.9,521.7,2758.4,221.6,330.9,143.0,7.8,339.8,349.5,551.7,551.3,476.8,266.1,231.7,524.8,443.3,0.0,286.8,523.3,492.0,530.7,312.8,735.5,273.9,418.5,383.3,667.2,453.2,404.5,377.4,665.7,521.3,35.3,547.2,570.3,462.8,502.6,501.2,857.0,742.8,505.0,298.4,399.8,683.4,358.8,396.5,518.3,263.4,294.0,374.4,511.9,609.4,468.4,543.6,307.6,440.5,585.9,225.1,485.4,256.9,279.8,530.1,490.7,467.9,484.6,872.9,270.7,163.6,256.7,365.5,366.3,422.8,943.8,377.3,542.9,406.4,459.6,593.1,330.0,716.9,652.0
GN,356.1,573.8,25.8,460.3,407.2,405.0,2641.7,66.3,90.2,140.2,292.6,223.1,78.2,305.6,434.6,205.5,21.5,55.9,253.5,174.4,303.1,0.0,378.9,375.3,259.4,196.1,610.7,12.7,147.2,112.0,550.5,181.9,133.2,90.5,549.0,250.8,256.0,275.9,453.6,191.5,385.9,229.9,740.3,626.1,388.3,181.7,112.9,566.7,71.9,125.2,247.0,106.2,7.1,248.0,395.2,492.7,351.7,272.3,20.7,323.8,469.2,110.7,368.7,140.2,8.4,413.4,374.0,351.2,213.3,771.3,78.0,110.1,78.2,248.8,79.4,151.5,827.1,90.4,271.6,135.1,342.9,314.0,43.1,600.2,535.3
GR,730.7,543.5,400.4,398.8,269.4,267.2,2611.4,440.9,464.8,514.8,667.2,302.3,312.8,77.8,404.3,139.1,396.1,381.0,388.3,372.1,628.2,410.1,0.0,533.3,431.9,408.6,588.5,383.3,297.8,355.3,520.2,212.2,333.3,500.7,518.7,420.6,630.6,353.7,288.8,219.8,355.6,114.7,710.0,595.8,358.0,333.5,523.1,536.4,482.1,268.9,368.1,480.8,417.3,384.5,364.9,462.4,321.4,419.0,381.4,213.8,438.9,346.9,230.9,352.7,403.1,383.1,236.2,272.4,334.4,725.9,403.1,484.7,403.3,282.1,489.6,242.6,796.8,500.6,349.4,256.2,500.9,416.9,403.8,569.9,505.0
HM,623.8,715.7,392.8,602.2,549.1,546.9,2783.6,352.6,461.9,407.9,560.3,365.0,480.5,576.9,576.5,607.8,397.1,362.7,655.8,576.7,570.8,417.8,598.1,0.0,661.7,372.5,752.6,404.9,549.5,514.3,692.4,584.2,535.5,508.4,690.9,653.1,523.7,678.2,595.5,593.8,527.8,632.2,882.2,768.0,530.2,323.6,530.8,708.6,489.8,527.5,649.3,386.0,425.0,172.5,537.1,634.6,493.6,674.6,438.6,465.7,611.1,308.5,510.6,316.6,410.0,555.3,515.9,493.1,615.6,913.2,401.7,377.8,387.7,390.7,497.3,553.8,969.0,508.3,673.9,537.4,41.2,716.3,461.0,742.1,677.2
HN,595.2,812.9,264.9,699.4,646.3,644.1,2880.8,305.4,329.3,379.3,531.7,462.2,177.3,320.7,673.7,220.6,260.6,295.0,5.8,239.0,542.2,274.6,394.0,614.4,0.0,435.2,849.8,247.8,211.8,219.8,789.6,197.0,197.8,365.2,788.1,170.0,495.1,143.0,692.7,201.5,625.0,245.0,979.4,865.2,627.4,420.8,387.6,805.8,346.6,140.3,175.0,345.3,281.8,487.1,634.3,731.8,590.8,12.8,295.4,562.9,708.3,349.8,607.8,379.3,266.8,652.5,613.1,590.3,46.8,1010.4,317.1,349.2,317.3,487.9,354.1,166.6,1066.2,365.1,192.5,114.0,582.0,54.5,317.8,839.3,774.4
HV,403.2,509.6,172.2,396.1,343.0,340.8,2577.5,132.0,241.3,187.3,339.7,158.9,259.9,370.8,370.4,387.2,176.5,142.1,435.2,353.7,350.2,197.2,392.0,311.1,441.1,0.0,546.5,184.3,328.9,293.7,486.3,363.6,314.9,287.8,484.8,432.5,303.1,457.6,389.4,373.2,321.7,411.6,676.1,561.9,324.1,117.5,310.2,502.5,269.2,306.9,428.7,165.4,204.4,193.5,331.0,428.5,287.5,454.0,218.0,259.6,405.0,90.2,304.5,48.4,189.4,349.2,309.8,287.0,395.0,692.0,181.1,157.2,167.1,184.6,276.7,333.2,762.9,287.7,453.3,316.8,278.7,503.5,240.4,536.0,471.1
HX,843.3,160.5,612.3,450.0,587.0,584.8,2178.6,572.1,681.4,627.4,779.8,485.7,700.0,614.8,424.3,827.3,616.6,592.2,875.3,793.8,800.3,637.3,586.4,716.7,881.2,592.0,0.0,624.4,769.0,733.8,137.2,803.7,755.0,727.9,191.8,871.8,743.2,897.7,633.4,813.3,375.6,851.7,327.0,212.8,378.0,516.9,750.3,171.0,709.3,747.0,868.8,613.9,644.5,609.1,384.9,482.4,341.4,894.1,658.1,513.6,162.3,530.3,548.5,536.1,630.3,403.1,553.8,531.0,835.1,352.9,621.2,597.3,617.2,465.5,716.8,773.3,413.8,727.8,893.4,756.9,684.3,953.6,680.5,186.9,139.6
ID,342.3,560.0,12.0,446.5,393.4,391.2,2627.9,52.5,76.4,126.4,278.8,209.3,60.5,287.9,420.8,187.8,7.7,42.1,235.8,156.7,289.3,11.8,361.2,361.5,241.7,182.3,596.9,0.0,129.5,94.3,536.7,164.2,115.5,102.4,535.2,233.1,242.2,258.2,439.8,173.8,372.1,212.2,726.5,612.3,374.5,167.9,124.8,552.9,83.8,107.5,229.3,100.8,19.0,234.2,381.4,478.9,337.9,254.6,32.6,310.0,455.4,96.9,354.9,126.4,4.0,399.6,360.2,337.4,195.6,757.5,64.2,96.3,64.4,235.0,91.3,133.8,813.3,102.3,253.9,117.4,329.1,296.3,55.0,586.4,521.5
IJ,490.8,708.5,160.5,595.0,541.9,539.7,2776.4,201.0,224.9,274.9,427.3,357.8,72.9,285.8,569.3,185.7,156.2,190.6,233.7,82.0,437.8,170.2,311.2,510.0,239.6,330.8,745.4,143.4,0.0,115.4,685.2,162.1,22.6,260.8,683.7,230.2,390.7,256.1,588.3,171.7,520.6,210.1,875.0,760.8,523.0,316.4,283.2,701.4,242.2,105.4,227.2,240.9,177.4,392.4,529.9,627.4,486.4,252.5,191.0,458.5,603.9,243.1,503.4,274.9,162.4,548.1,508.7,485.9,193.5,890.9,212.7,244.8,212.9,383.5,249.7,131.7,961.8,260.7,251.8,115.3,477.6,302.0,213.4,734.9,670.0
IM,447.1,664.8,116.8,551.3,498.2,496.0,2732.7,157.3,181.2,231.2,383.6,314.1,57.9,285.3,525.6,185.2,112.5,146.9,233.2,154.1,394.1,126.5,358.6,466.3,239.1,287.1,701.7,99.7,126.9,0.0,641.5,161.6,112.9,217.1,640.0,230.5,347.0,255.6,544.6,171.2,476.9,209.6,831.3,717.1,479.3,272.7,239.5,657.7,198.5,104.9,226.7,205.6,133.7,339.0,486.2,583.7,442.7,252.0,147.3,414.8,560.2,201.7,459.7,231.2,118.7,504.4,465.0,442.2,193.0,862.3,169.0,201.1,169.2,339.8,206.0,131.2,918.1,217.0,251.3,114.8,433.9,293.7,169.7,691.2,626.3
IO,776.8,23.2,545.8,383.5,520.5,518.3,2141.9,505.6,614.9,560.9,713.3,419.2,633.5,548.3,357.8,760.8,550.1,515.7,808.8,729.7,723.8,570.8,569.5,650.2,814.7,525.5,110.9,557.9,702.5,667.3,0.0,737.2,688.5,661.4,125.3,805.3,676.7,831.2,566.9,746.8,309.1,785.2,189.7,75.5,311.5,450.4,683.8,104.5,642.8,680.5,802.3,547.4,578.0,532.6,318.4,415.9,274.9,827.6,591.6,437.1,95.8,461.5,482.0,469.6,563.8,336.6,487.3,464.5,768.6,205.6,554.7,530.8,540.7,399.0,650.3,706.8,276.5,661.3,826.9,690.4,617.8,877.1,614.0,49.6,73.1
JC,518.4,736.1,188.1,622.6,569.5,567.3,2804.0,228.6,252.5,302.5,454.9,385.4,100.5,123.6,596.9,23.5,183.8,218.2,225.5,162.2,465.4,197.8,196.9,537.6,219.6,358.4,773.0,171.0,135.0,143.0,712.8,0.0,121.0,288.4,711.3,209.1,418.3,141.4,615.9,57.0,548.2,47.9,902.6,788.4,550.6,344.0,310.8,729.0,269.8,56.6,205.3,268.5,205.0,410.3,557.5,655.0,514.0,206.7,218.6,486.1,631.5,273.0,531.0,302.5,190.0,575.7,536.3,513.5,171.6,933.6,240.3,272.4,240.5,411.1,277.3,30.3,989.4,288.3,137.1,93.4,505.2,246.3,241.0,762.5,697.6
JF,468.1,685.8,137.8,572.3,519.2,517.0,2753.7,178.3,202.2,252.2,404.6,335.1,50.2,263.1,546.6,163.0,133.5,167.9,211.0,59.3,415.1,147.5,336.4,487.3,216.9,308.1,722.7,120.7,13.9,92.7,662.5,139.4,0.0,238.1,661.0,208.3,368.0,233.4,565.6,149.0,497.9,187.4,852.3,738.1,500.3,293.7,260.5,678.7,219.5,82.7,204.5,218.2,154.7,360.0,507.2,604.7,463.7,229.8,168.3,435.8,581.2,222.7,480.7,252.2,139.7,525.4,486.0,463.2,170.8,883.3,190.0,222.1,190.2,360.8,227.0,109.0,939.1,238.0,229.1,92.6,454.9,271.5,190.7,712.2,647.3
JK,445.2,662.9,114.9,549.4,496.3,494.1,2730.8,155.4,179.3,229.3,381.7,312.2,167.3,394.7,523.7,294.6,110.6,145.0,342.6,263.5,392.2,89.0,468.0,464.4,348.5,285.2,699.8,101.8,236.3,201.1,639.6,271.0,222.3,0.0,638.1,339.9,345.1,365.0,542.7,280.6,475.0,319.0,829.4,715.2,477.4,270.8,112.1,655.8,47.7,214.3,336.1,195.3,81.3,337.1,484.3,581.8,440.8,361.4,67.6,412.9,558.3,199.8,457.8,229.3,97.4,502.5,463.1,440.3,302.4,860.4,167.1,199.2,167.3,337.9,140.0,240.6,916.2,89.6,360.7,224.2,432.0,403.1,43.9,689.3,624.4
JL,750.7,144.0,519.7,357.4,494.4,492.2,2211.9,479.5,588.8,534.8,687.2,393.1,607.4,522.2,331.7,734.7,524.0,489.6,782.7,703.6,697.7,544.7,543.4,624.1,788.6,499.4,180.9,531.8,676.4,641.2,120.7,711.1,662.4,635.3,0.0,780.0,650.6,805.1,540.8,720.7,283.0,759.1,310.5,196.3,285.4,424.3,657.7,136.9,616.7,654.4,776.2,512.9,551.9,496.8,292.3,389.8,248.8,801.5,565.5,411.0,69.7,435.4,455.9,443.5,536.9,310.5,461.2,438.4,742.5,341.5,528.6,504.7,514.6,372.9,624.2,680.7,397.3,635.2,800.8,664.3,591.7,843.2,587.9,170.4,105.5
JU,573.3,791.0,243.0,676.9,624.4,622.2,2858.9,283.5,306.8,357.4,509.8,440.3,154.8,298.8,651.8,198.1,238.7,272.5,130.8,214.7,520.3,252.7,324.2,592.5,136.7,412.7,836.0,225.9,189.9,197.9,767.1,175.1,175.9,343.3,766.2,0.0,473.2,269.1,670.8,184.7,603.1,222.5,957.5,842.7,605.5,398.9,365.7,783.9,324.7,118.4,152.5,331.2,259.9,474.9,612.4,709.9,568.9,149.6,272.9,540.4,685.8,325.6,585.3,357.4,245.7,630.6,590.6,568.4,90.6,972.8,294.6,327.3,294.8,465.4,332.2,144.7,1044.3,343.2,264.8,91.5,560.1,199.1,295.3,817.4,752.5
KI,100.0,655.2,226.5,541.7,488.6,486.4,2723.1,186.3,295.6,107.7,36.5,304.5,314.2,516.4,516.0,441.5,230.8,196.4,489.5,410.4,47.1,251.5,537.6,456.7,495.4,277.5,692.1,238.6,383.2,348.0,631.9,417.9,369.2,342.1,630.4,486.8,0.0,511.9,535.0,427.5,467.3,465.9,821.7,707.5,469.7,263.1,364.5,648.1,323.5,361.2,483.0,219.7,258.7,329.4,476.6,574.1,433.1,508.3,272.3,405.2,550.6,192.1,450.1,221.6,243.7,494.8,455.4,432.6,449.3,852.7,235.4,128.3,221.4,330.2,331.0,387.5,908.5,342.0,507.6,371.1,424.3,550.0,294.7,681.6,616.7
KW,622.8,840.5,292.5,727.0,673.9,671.7,2908.4,333.0,356.9,406.9,559.3,489.8,204.9,255.5,701.3,155.4,288.2,322.6,130.3,266.6,569.8,302.2,328.8,642.0,124.4,462.8,877.4,275.4,239.4,247.4,817.2,131.8,225.4,392.8,815.7,294.5,522.7,0.0,720.3,84.7,652.6,179.8,1007.0,892.8,655.0,448.4,415.2,833.4,374.2,161.0,299.5,372.9,309.4,514.7,661.9,759.4,618.4,111.5,323.0,590.5,735.9,377.4,635.4,406.9,294.4,680.1,640.7,617.9,171.3,1038.0,344.7,376.8,344.9,515.5,381.7,134.7,1093.8,392.7,75.7,197.8,609.6,151.1,345.4,866.9,802.0
